# _root_ West German Economics Minister Helmut Haussmann said , `` In my view , the stock market will stabilize relatively quickly .
#goldHeads=6,6,6,6,6,7,0,7,7,17,12,10,17,16,16,17,7,17,18,19,7,
#predictedHeads=2,6,6,6,6,7,0,7,17,17,12,10,17,16,16,17,7,17,18,19,7,
(2,5),0.72916 # DEPENDENCYPART_ARC
(2,6),0.4691 # DEPENDENCYPART_ARC
(2,7),0.267407 # DEPENDENCYPART_ARC
(2,8),0.601674 # DEPENDENCYPART_ARC
(2,9),-0.246303 # DEPENDENCYPART_ARC
(2,10),-0.66064 # DEPENDENCYPART_ARC
(2,11),-1.15996 # DEPENDENCYPART_ARC
(2,12),-0.499506 # DEPENDENCYPART_ARC
(2,13),0.0230768 # DEPENDENCYPART_ARC
(2,14),-1.51711 # DEPENDENCYPART_ARC
(2,15),-0.862947 # DEPENDENCYPART_ARC
(2,16),-1.21843 # DEPENDENCYPART_ARC
(2,17),-1.1073 # DEPENDENCYPART_ARC
(2,18),-1.49347 # DEPENDENCYPART_ARC
(2,19),-1.20702 # DEPENDENCYPART_ARC
(2,20),-1.11501 # DEPENDENCYPART_ARC
(2,21),-0.567491 # DEPENDENCYPART_ARC
(3,1),0.449359 # DEPENDENCYPART_ARC
(3,2),1.41682 # DEPENDENCYPART_ARC
(3,4),0.684238 # DEPENDENCYPART_ARC
(3,5),0.528979 # DEPENDENCYPART_ARC
(3,6),0.549697 # DEPENDENCYPART_ARC
(3,7),-0.773395 # DEPENDENCYPART_ARC
(3,8),-0.0302376 # DEPENDENCYPART_ARC
(3,9),-0.523543 # DEPENDENCYPART_ARC
(3,10),-2.30521 # DEPENDENCYPART_ARC
(3,11),-2.27452 # DEPENDENCYPART_ARC
(3,12),-2.10375 # DEPENDENCYPART_ARC
(3,13),-0.455889 # DEPENDENCYPART_ARC
(3,14),-1.85109 # DEPENDENCYPART_ARC
(3,15),-3.33054 # DEPENDENCYPART_ARC
(3,16),-2.87589 # DEPENDENCYPART_ARC
(3,17),-2.33051 # DEPENDENCYPART_ARC
(3,18),-3.01218 # DEPENDENCYPART_ARC
(3,19),-3.05978 # DEPENDENCYPART_ARC
(3,20),-2.94756 # DEPENDENCYPART_ARC
(3,21),-1.39684 # DEPENDENCYPART_ARC
(4,1),0.852872 # DEPENDENCYPART_ARC
(4,2),1.64415 # DEPENDENCYPART_ARC
(4,3),2.07202 # DEPENDENCYPART_ARC
(4,5),0.828561 # DEPENDENCYPART_ARC
(4,6),1.63898 # DEPENDENCYPART_ARC
(4,7),-0.528592 # DEPENDENCYPART_ARC
(4,8),-0.144937 # DEPENDENCYPART_ARC
(4,9),-0.756482 # DEPENDENCYPART_ARC
(4,10),-2.37305 # DEPENDENCYPART_ARC
(4,11),-2.21552 # DEPENDENCYPART_ARC
(4,12),-1.90623 # DEPENDENCYPART_ARC
(4,13),-0.846181 # DEPENDENCYPART_ARC
(4,14),-2.0308 # DEPENDENCYPART_ARC
(4,15),-3.58257 # DEPENDENCYPART_ARC
(4,16),-3.04672 # DEPENDENCYPART_ARC
(4,17),-2.36806 # DEPENDENCYPART_ARC
(4,18),-3.06601 # DEPENDENCYPART_ARC
(4,19),-3.14952 # DEPENDENCYPART_ARC
(4,20),-2.95451 # DEPENDENCYPART_ARC
(4,21),-1.24331 # DEPENDENCYPART_ARC
(5,1),0.707542 # DEPENDENCYPART_ARC
(5,2),1.56501 # DEPENDENCYPART_ARC
(5,3),2.02198 # DEPENDENCYPART_ARC
(5,4),2.38804 # DEPENDENCYPART_ARC
(5,6),2.43509 # DEPENDENCYPART_ARC
(5,7),-0.459792 # DEPENDENCYPART_ARC
(5,8),-0.165204 # DEPENDENCYPART_ARC
(5,9),-0.776381 # DEPENDENCYPART_ARC
(5,10),-2.19003 # DEPENDENCYPART_ARC
(5,11),-2.16372 # DEPENDENCYPART_ARC
(5,12),-1.88982 # DEPENDENCYPART_ARC
(5,13),-0.962339 # DEPENDENCYPART_ARC
(5,14),-2.11841 # DEPENDENCYPART_ARC
(5,15),-3.18385 # DEPENDENCYPART_ARC
(5,16),-3.08566 # DEPENDENCYPART_ARC
(5,17),-2.23848 # DEPENDENCYPART_ARC
(5,18),-3.00388 # DEPENDENCYPART_ARC
(5,19),-3.18764 # DEPENDENCYPART_ARC
(5,20),-2.95201 # DEPENDENCYPART_ARC
(5,21),-1.27186 # DEPENDENCYPART_ARC
(6,1),2.40248 # DEPENDENCYPART_ARC
(6,2),3.51708 # DEPENDENCYPART_ARC
(6,3),4.02107 # DEPENDENCYPART_ARC
(6,4),4.53053 # DEPENDENCYPART_ARC
(6,5),4.7651 # DEPENDENCYPART_ARC
(6,7),2.02998 # DEPENDENCYPART_ARC
(6,8),1.35558 # DEPENDENCYPART_ARC
(6,9),0.637729 # DEPENDENCYPART_ARC
(6,10),-0.390787 # DEPENDENCYPART_ARC
(6,11),-0.717092 # DEPENDENCYPART_ARC
(6,12),-0.814312 # DEPENDENCYPART_ARC
(6,13),0.207328 # DEPENDENCYPART_ARC
(6,14),-0.789819 # DEPENDENCYPART_ARC
(6,15),-1.85701 # DEPENDENCYPART_ARC
(6,16),-1.44497 # DEPENDENCYPART_ARC
(6,17),-0.542177 # DEPENDENCYPART_ARC
(6,18),-1.60151 # DEPENDENCYPART_ARC
(6,19),-1.75215 # DEPENDENCYPART_ARC
(6,20),-1.58458 # DEPENDENCYPART_ARC
(6,21),-0.0392253 # DEPENDENCYPART_ARC
(7,1),0.693441 # DEPENDENCYPART_ARC
(7,2),0.142172 # DEPENDENCYPART_ARC
(7,3),1.38157 # DEPENDENCYPART_ARC
(7,4),1.81312 # DEPENDENCYPART_ARC
(7,5),1.51372 # DEPENDENCYPART_ARC
(7,6),2.80371 # DEPENDENCYPART_ARC
(7,8),4.01161 # DEPENDENCYPART_ARC
(7,9),2.22311 # DEPENDENCYPART_ARC
(7,10),-0.326402 # DEPENDENCYPART_ARC
(7,11),-0.872689 # DEPENDENCYPART_ARC
(7,12),-1.22064 # DEPENDENCYPART_ARC
(7,13),1.49257 # DEPENDENCYPART_ARC
(7,14),-1.82957 # DEPENDENCYPART_ARC
(7,15),-2.95253 # DEPENDENCYPART_ARC
(7,16),-2.90717 # DEPENDENCYPART_ARC
(7,17),1.91444 # DEPENDENCYPART_ARC
(7,18),-0.283568 # DEPENDENCYPART_ARC
(7,19),-1.22908 # DEPENDENCYPART_ARC
(7,20),-0.904484 # DEPENDENCYPART_ARC
(7,21),4.61884 # DEPENDENCYPART_ARC
(8,1),-2.2324 # DEPENDENCYPART_ARC
(8,2),-2.09113 # DEPENDENCYPART_ARC
(8,3),-2.39226 # DEPENDENCYPART_ARC
(8,4),-2.17961 # DEPENDENCYPART_ARC
(8,5),-1.83571 # DEPENDENCYPART_ARC
(8,6),-1.94214 # DEPENDENCYPART_ARC
(8,7),-1.00926 # DEPENDENCYPART_ARC
(8,9),0.515775 # DEPENDENCYPART_ARC
(8,10),-0.674481 # DEPENDENCYPART_ARC
(8,11),-1.19975 # DEPENDENCYPART_ARC
(8,12),-1.21776 # DEPENDENCYPART_ARC
(8,13),-0.121168 # DEPENDENCYPART_ARC
(8,14),-1.45471 # DEPENDENCYPART_ARC
(8,15),-1.86204 # DEPENDENCYPART_ARC
(8,16),-1.9891 # DEPENDENCYPART_ARC
(8,17),-1.45626 # DEPENDENCYPART_ARC
(8,18),-1.5076 # DEPENDENCYPART_ARC
(8,19),-1.88078 # DEPENDENCYPART_ARC
(8,20),-2.03921 # DEPENDENCYPART_ARC
(8,21),-1.42063 # DEPENDENCYPART_ARC
(9,1),-2.00403 # DEPENDENCYPART_ARC
(9,2),-1.85933 # DEPENDENCYPART_ARC
(9,3),-1.85017 # DEPENDENCYPART_ARC
(9,4),-1.79812 # DEPENDENCYPART_ARC
(9,5),-1.5666 # DEPENDENCYPART_ARC
(9,6),-1.2227 # DEPENDENCYPART_ARC
(9,7),-1.26082 # DEPENDENCYPART_ARC
(9,8),-0.237757 # DEPENDENCYPART_ARC
(9,10),-0.573956 # DEPENDENCYPART_ARC
(9,11),-1.36832 # DEPENDENCYPART_ARC
(9,12),-1.25734 # DEPENDENCYPART_ARC
(9,13),-0.999746 # DEPENDENCYPART_ARC
(9,14),-2.15276 # DEPENDENCYPART_ARC
(9,15),-1.82352 # DEPENDENCYPART_ARC
(9,16),-1.76274 # DEPENDENCYPART_ARC
(9,17),-1.91781 # DEPENDENCYPART_ARC
(9,18),-2.15015 # DEPENDENCYPART_ARC
(9,19),-1.94605 # DEPENDENCYPART_ARC
(9,20),-2.07908 # DEPENDENCYPART_ARC
(9,21),-1.46533 # DEPENDENCYPART_ARC
(10,1),-1.23562 # DEPENDENCYPART_ARC
(10,2),-1.18065 # DEPENDENCYPART_ARC
(10,3),-1.05187 # DEPENDENCYPART_ARC
(10,4),-1.0456 # DEPENDENCYPART_ARC
(10,5),-1.06423 # DEPENDENCYPART_ARC
(10,6),-0.898805 # DEPENDENCYPART_ARC
(10,7),-0.264383 # DEPENDENCYPART_ARC
(10,8),0.629204 # DEPENDENCYPART_ARC
(10,9),0.654283 # DEPENDENCYPART_ARC
(10,11),1.14003 # DEPENDENCYPART_ARC
(10,12),3.9997 # DEPENDENCYPART_ARC
(10,13),1.11722 # DEPENDENCYPART_ARC
(10,14),-1.2462 # DEPENDENCYPART_ARC
(10,15),-1.55776 # DEPENDENCYPART_ARC
(10,16),1.22863 # DEPENDENCYPART_ARC
(10,17),-0.521299 # DEPENDENCYPART_ARC
(10,18),-0.617979 # DEPENDENCYPART_ARC
(10,19),-0.888673 # DEPENDENCYPART_ARC
(10,20),-0.976607 # DEPENDENCYPART_ARC
(10,21),0.307495 # DEPENDENCYPART_ARC
(11,1),-2.83347 # DEPENDENCYPART_ARC
(11,2),-2.74593 # DEPENDENCYPART_ARC
(11,3),-2.68812 # DEPENDENCYPART_ARC
(11,4),-2.55769 # DEPENDENCYPART_ARC
(11,5),-2.41641 # DEPENDENCYPART_ARC
(11,6),-2.28583 # DEPENDENCYPART_ARC
(11,7),-2.36123 # DEPENDENCYPART_ARC
(11,8),-1.53912 # DEPENDENCYPART_ARC
(11,9),-1.39397 # DEPENDENCYPART_ARC
(11,10),-0.895535 # DEPENDENCYPART_ARC
(11,12),-0.0434288 # DEPENDENCYPART_ARC
(11,13),-0.658958 # DEPENDENCYPART_ARC
(11,14),-1.48701 # DEPENDENCYPART_ARC
(11,15),-1.38585 # DEPENDENCYPART_ARC
(11,16),-1.55739 # DEPENDENCYPART_ARC
(11,17),-1.35823 # DEPENDENCYPART_ARC
(11,18),-1.76108 # DEPENDENCYPART_ARC
(11,19),-1.85891 # DEPENDENCYPART_ARC
(11,20),-1.93416 # DEPENDENCYPART_ARC
(11,21),-1.71343 # DEPENDENCYPART_ARC
(12,1),-1.1756 # DEPENDENCYPART_ARC
(12,2),-0.560975 # DEPENDENCYPART_ARC
(12,3),-1.53089 # DEPENDENCYPART_ARC
(12,4),-1.91531 # DEPENDENCYPART_ARC
(12,5),-1.95496 # DEPENDENCYPART_ARC
(12,6),-2.45792 # DEPENDENCYPART_ARC
(12,7),-0.982815 # DEPENDENCYPART_ARC
(12,8),0.408046 # DEPENDENCYPART_ARC
(12,9),0.0164847 # DEPENDENCYPART_ARC
(12,10),0.720076 # DEPENDENCYPART_ARC
(12,11),4.45676 # DEPENDENCYPART_ARC
(12,13),1.15747 # DEPENDENCYPART_ARC
(12,14),-0.096555 # DEPENDENCYPART_ARC
(12,15),0.583013 # DEPENDENCYPART_ARC
(12,16),0.621616 # DEPENDENCYPART_ARC
(12,17),-0.19206 # DEPENDENCYPART_ARC
(12,18),-0.352306 # DEPENDENCYPART_ARC
(12,19),-0.402642 # DEPENDENCYPART_ARC
(12,20),-0.473782 # DEPENDENCYPART_ARC
(12,21),0.697709 # DEPENDENCYPART_ARC
(13,1),-2.52497 # DEPENDENCYPART_ARC
(13,2),-2.4215 # DEPENDENCYPART_ARC
(13,3),-2.45222 # DEPENDENCYPART_ARC
(13,4),-2.38444 # DEPENDENCYPART_ARC
(13,5),-2.29506 # DEPENDENCYPART_ARC
(13,6),-2.15036 # DEPENDENCYPART_ARC
(13,7),-1.61752 # DEPENDENCYPART_ARC
(13,8),-0.74173 # DEPENDENCYPART_ARC
(13,9),-1.25781 # DEPENDENCYPART_ARC
(13,10),-1.21759 # DEPENDENCYPART_ARC
(13,11),-0.514248 # DEPENDENCYPART_ARC
(13,12),-1.06191 # DEPENDENCYPART_ARC
(13,14),0.052997 # DEPENDENCYPART_ARC
(13,15),-0.623645 # DEPENDENCYPART_ARC
(13,16),-1.02071 # DEPENDENCYPART_ARC
(13,17),-0.866859 # DEPENDENCYPART_ARC
(13,18),-0.866234 # DEPENDENCYPART_ARC
(13,19),-1.32366 # DEPENDENCYPART_ARC
(13,20),-1.45745 # DEPENDENCYPART_ARC
(13,21),-1.13773 # DEPENDENCYPART_ARC
(14,1),-3.44432 # DEPENDENCYPART_ARC
(14,2),-3.36261 # DEPENDENCYPART_ARC
(14,3),-3.39723 # DEPENDENCYPART_ARC
(14,4),-3.13725 # DEPENDENCYPART_ARC
(14,5),-3.0506 # DEPENDENCYPART_ARC
(14,6),-2.96121 # DEPENDENCYPART_ARC
(14,7),-2.72092 # DEPENDENCYPART_ARC
(14,8),-2.55762 # DEPENDENCYPART_ARC
(14,9),-2.58256 # DEPENDENCYPART_ARC
(14,10),-2.02564 # DEPENDENCYPART_ARC
(14,11),-1.2024 # DEPENDENCYPART_ARC
(14,12),-2.12218 # DEPENDENCYPART_ARC
(14,13),-0.953011 # DEPENDENCYPART_ARC
(14,15),-0.0495916 # DEPENDENCYPART_ARC
(14,16),-0.578166 # DEPENDENCYPART_ARC
(14,17),-0.437759 # DEPENDENCYPART_ARC
(14,18),-1.48282 # DEPENDENCYPART_ARC
(14,19),-1.71718 # DEPENDENCYPART_ARC
(14,20),-1.71856 # DEPENDENCYPART_ARC
(14,21),-1.23424 # DEPENDENCYPART_ARC
(15,1),-3.83658 # DEPENDENCYPART_ARC
(15,2),-3.49186 # DEPENDENCYPART_ARC
(15,3),-5.48693 # DEPENDENCYPART_ARC
(15,4),-5.55361 # DEPENDENCYPART_ARC
(15,5),-5.21454 # DEPENDENCYPART_ARC
(15,6),-5.70198 # DEPENDENCYPART_ARC
(15,7),-3.00581 # DEPENDENCYPART_ARC
(15,8),-1.69013 # DEPENDENCYPART_ARC
(15,9),-2.70434 # DEPENDENCYPART_ARC
(15,10),-1.42394 # DEPENDENCYPART_ARC
(15,11),-0.605389 # DEPENDENCYPART_ARC
(15,12),-1.59508 # DEPENDENCYPART_ARC
(15,13),-0.318497 # DEPENDENCYPART_ARC
(15,14),2.37969 # DEPENDENCYPART_ARC
(15,16),0.923156 # DEPENDENCYPART_ARC
(15,17),0.543572 # DEPENDENCYPART_ARC
(15,18),-0.37432 # DEPENDENCYPART_ARC
(15,19),-1.07447 # DEPENDENCYPART_ARC
(15,20),-0.935888 # DEPENDENCYPART_ARC
(15,21),0.145952 # DEPENDENCYPART_ARC
(16,1),-1.40855 # DEPENDENCYPART_ARC
(16,2),-0.998893 # DEPENDENCYPART_ARC
(16,3),-3.05483 # DEPENDENCYPART_ARC
(16,4),-3.31357 # DEPENDENCYPART_ARC
(16,5),-3.35854 # DEPENDENCYPART_ARC
(16,6),-3.58498 # DEPENDENCYPART_ARC
(16,7),-1.40207 # DEPENDENCYPART_ARC
(16,8),-0.0727611 # DEPENDENCYPART_ARC
(16,9),-0.81728 # DEPENDENCYPART_ARC
(16,10),-0.332914 # DEPENDENCYPART_ARC
(16,11),1.87346 # DEPENDENCYPART_ARC
(16,12),0.917844 # DEPENDENCYPART_ARC
(16,13),0.79568 # DEPENDENCYPART_ARC
(16,14),5.29487 # DEPENDENCYPART_ARC
(16,15),4.25187 # DEPENDENCYPART_ARC
(16,17),-0.36082 # DEPENDENCYPART_ARC
(16,18),-0.0628152 # DEPENDENCYPART_ARC
(16,19),-0.63347 # DEPENDENCYPART_ARC
(16,20),-0.772971 # DEPENDENCYPART_ARC
(16,21),0.271432 # DEPENDENCYPART_ARC
(17,1),-0.397406 # DEPENDENCYPART_ARC
(17,2),-0.682063 # DEPENDENCYPART_ARC
(17,3),0.293982 # DEPENDENCYPART_ARC
(17,4),0.0497967 # DEPENDENCYPART_ARC
(17,5),0.322132 # DEPENDENCYPART_ARC
(17,6),0.181972 # DEPENDENCYPART_ARC
(17,7),0.186486 # DEPENDENCYPART_ARC
(17,8),1.12112 # DEPENDENCYPART_ARC
(17,9),2.80355 # DEPENDENCYPART_ARC
(17,10),2.09795 # DEPENDENCYPART_ARC
(17,11),1.14794 # DEPENDENCYPART_ARC
(17,12),1.19705 # DEPENDENCYPART_ARC
(17,13),3.79612 # DEPENDENCYPART_ARC
(17,14),0.593332 # DEPENDENCYPART_ARC
(17,15),1.91668 # DEPENDENCYPART_ARC
(17,16),2.85886 # DEPENDENCYPART_ARC
(17,18),3.84704 # DEPENDENCYPART_ARC
(17,19),0.458122 # DEPENDENCYPART_ARC
(17,20),-0.0740579 # DEPENDENCYPART_ARC
(17,21),2.89722 # DEPENDENCYPART_ARC
(18,1),-0.84456 # DEPENDENCYPART_ARC
(18,2),-0.659764 # DEPENDENCYPART_ARC
(18,3),-1.22948 # DEPENDENCYPART_ARC
(18,4),-1.45872 # DEPENDENCYPART_ARC
(18,5),-1.27018 # DEPENDENCYPART_ARC
(18,6),-1.30942 # DEPENDENCYPART_ARC
(18,7),-1.04618 # DEPENDENCYPART_ARC
(18,8),-0.148718 # DEPENDENCYPART_ARC
(18,9),0.249467 # DEPENDENCYPART_ARC
(18,10),-0.431708 # DEPENDENCYPART_ARC
(18,11),0.174379 # DEPENDENCYPART_ARC
(18,12),-0.134253 # DEPENDENCYPART_ARC
(18,13),0.28971 # DEPENDENCYPART_ARC
(18,14),0.63706 # DEPENDENCYPART_ARC
(18,15),0.622133 # DEPENDENCYPART_ARC
(18,16),0.3659 # DEPENDENCYPART_ARC
(18,17),0.950893 # DEPENDENCYPART_ARC
(18,19),2.19229 # DEPENDENCYPART_ARC
(18,20),2.05934 # DEPENDENCYPART_ARC
(18,21),0.715042 # DEPENDENCYPART_ARC
(19,1),-1.2892 # DEPENDENCYPART_ARC
(19,2),-1.32674 # DEPENDENCYPART_ARC
(19,3),-2.15311 # DEPENDENCYPART_ARC
(19,4),-2.11331 # DEPENDENCYPART_ARC
(19,5),-2.02857 # DEPENDENCYPART_ARC
(19,6),-1.86527 # DEPENDENCYPART_ARC
(19,7),-1.59879 # DEPENDENCYPART_ARC
(19,8),-0.996887 # DEPENDENCYPART_ARC
(19,9),-1.21699 # DEPENDENCYPART_ARC
(19,10),-1.1164 # DEPENDENCYPART_ARC
(19,11),-0.751438 # DEPENDENCYPART_ARC
(19,12),-1.17006 # DEPENDENCYPART_ARC
(19,13),-0.400922 # DEPENDENCYPART_ARC
(19,14),-0.0623174 # DEPENDENCYPART_ARC
(19,15),-0.579496 # DEPENDENCYPART_ARC
(19,16),-0.575726 # DEPENDENCYPART_ARC
(19,17),0.039962 # DEPENDENCYPART_ARC
(19,18),0.800417 # DEPENDENCYPART_ARC
(19,20),2.30333 # DEPENDENCYPART_ARC
(19,21),0.300962 # DEPENDENCYPART_ARC
(20,1),-0.873023 # DEPENDENCYPART_ARC
(20,2),-0.84721 # DEPENDENCYPART_ARC
(20,3),-1.81968 # DEPENDENCYPART_ARC
(20,4),-1.78707 # DEPENDENCYPART_ARC
(20,5),-1.68473 # DEPENDENCYPART_ARC
(20,6),-1.59758 # DEPENDENCYPART_ARC
(20,7),-1.17371 # DEPENDENCYPART_ARC
(20,8),-0.743442 # DEPENDENCYPART_ARC
(20,9),-0.892573 # DEPENDENCYPART_ARC
(20,10),-0.691415 # DEPENDENCYPART_ARC
(20,11),-0.327057 # DEPENDENCYPART_ARC
(20,12),-0.856671 # DEPENDENCYPART_ARC
(20,13),-0.212284 # DEPENDENCYPART_ARC
(20,14),0.47703 # DEPENDENCYPART_ARC
(20,15),-0.193313 # DEPENDENCYPART_ARC
(20,16),-0.468864 # DEPENDENCYPART_ARC
(20,17),0.0542526 # DEPENDENCYPART_ARC
(20,18),0.575169 # DEPENDENCYPART_ARC
(20,19),1.39336 # DEPENDENCYPART_ARC
(20,21),0.165585 # DEPENDENCYPART_ARC
(21,1),-3.21955 # DEPENDENCYPART_ARC
(21,2),-3.03945 # DEPENDENCYPART_ARC
(21,3),-2.45927 # DEPENDENCYPART_ARC
(21,4),-2.46729 # DEPENDENCYPART_ARC
(21,5),-2.43983 # DEPENDENCYPART_ARC
(21,6),-2.47314 # DEPENDENCYPART_ARC
(21,7),-1.56367 # DEPENDENCYPART_ARC
(21,8),-0.629573 # DEPENDENCYPART_ARC
(21,9),-1.7988 # DEPENDENCYPART_ARC
(21,10),-2.29821 # DEPENDENCYPART_ARC
(21,11),-1.34765 # DEPENDENCYPART_ARC
(21,12),-1.3103 # DEPENDENCYPART_ARC
(21,13),-0.574452 # DEPENDENCYPART_ARC
(21,14),-1.2053 # DEPENDENCYPART_ARC
(21,15),-1.37214 # DEPENDENCYPART_ARC
(21,16),-1.6064 # DEPENDENCYPART_ARC
(21,17),-1.0364 # DEPENDENCYPART_ARC
(21,18),-1.21069 # DEPENDENCYPART_ARC
(21,19),-1.51548 # DEPENDENCYPART_ARC
(21,20),-1.233 # DEPENDENCYPART_ARC
