# _root_ They said the exchange 's trading procedures , personnel , equipment and links with other exchanges could n't have performed better .
#goldHeads=2,0,4,7,4,7,17,7,7,9,9,11,12,13,16,14,2,17,17,19,20,2,
#predictedHeads=2,0,4,7,4,7,17,7,7,9,9,11,12,13,16,14,2,17,17,19,20,2,
(2,11),-0.653595 # DEPENDENCYPART_ARC
(2,12),-0.414326 # DEPENDENCYPART_ARC
(2,13),-2.63767 # DEPENDENCYPART_ARC
(2,14),-0.60185 # DEPENDENCYPART_ARC
(2,15),-1.07699 # DEPENDENCYPART_ARC
(2,16),-3.47111 # DEPENDENCYPART_ARC
(2,17),2.05203 # DEPENDENCYPART_ARC
(2,18),-0.54025 # DEPENDENCYPART_ARC
(2,19),0.240917 # DEPENDENCYPART_ARC
(2,20),0.381536 # DEPENDENCYPART_ARC
(2,21),-0.806698 # DEPENDENCYPART_ARC
(2,22),6.5228 # DEPENDENCYPART_ARC
(3,1),-0.882887 # DEPENDENCYPART_ARC
(3,2),-1.19252 # DEPENDENCYPART_ARC
(3,4),0.347687 # DEPENDENCYPART_ARC
(3,5),-0.450257 # DEPENDENCYPART_ARC
(3,6),-0.540921 # DEPENDENCYPART_ARC
(3,7),-1.09248 # DEPENDENCYPART_ARC
(3,8),-0.71593 # DEPENDENCYPART_ARC
(3,9),-1.39512 # DEPENDENCYPART_ARC
(3,10),-0.312718 # DEPENDENCYPART_ARC
(3,11),-1.20841 # DEPENDENCYPART_ARC
(3,12),-1.14493 # DEPENDENCYPART_ARC
(3,13),-1.73982 # DEPENDENCYPART_ARC
(3,14),-2.32541 # DEPENDENCYPART_ARC
(3,15),-2.40304 # DEPENDENCYPART_ARC
(3,16),-2.31569 # DEPENDENCYPART_ARC
(3,17),-2.48193 # DEPENDENCYPART_ARC
(3,18),-2.35844 # DEPENDENCYPART_ARC
(3,19),-3.36167 # DEPENDENCYPART_ARC
(3,20),-2.63381 # DEPENDENCYPART_ARC
(3,21),-2.94476 # DEPENDENCYPART_ARC
(3,22),-0.64127 # DEPENDENCYPART_ARC
(4,1),0.163881 # DEPENDENCYPART_ARC
(4,2),-0.253322 # DEPENDENCYPART_ARC
(4,3),4.96892 # DEPENDENCYPART_ARC
(4,5),4.33002 # DEPENDENCYPART_ARC
(4,6),0.612797 # DEPENDENCYPART_ARC
(4,7),0.148212 # DEPENDENCYPART_ARC
(4,8),0.0840503 # DEPENDENCYPART_ARC
(4,9),-0.248563 # DEPENDENCYPART_ARC
(4,10),-0.202237 # DEPENDENCYPART_ARC
(4,11),-0.00531899 # DEPENDENCYPART_ARC
(4,12),-1.11104 # DEPENDENCYPART_ARC
(4,13),-1.47002 # DEPENDENCYPART_ARC
(4,14),-0.416927 # DEPENDENCYPART_ARC
(4,15),-1.18853 # DEPENDENCYPART_ARC
(4,16),-1.81196 # DEPENDENCYPART_ARC
(4,17),-0.400984 # DEPENDENCYPART_ARC
(4,18),-0.966666 # DEPENDENCYPART_ARC
(4,19),-0.495535 # DEPENDENCYPART_ARC
(4,20),-0.364107 # DEPENDENCYPART_ARC
(4,21),-2.12476 # DEPENDENCYPART_ARC
(4,22),-0.493391 # DEPENDENCYPART_ARC
(5,1),-0.275387 # DEPENDENCYPART_ARC
(5,2),-0.461956 # DEPENDENCYPART_ARC
(5,3),1.24402 # DEPENDENCYPART_ARC
(5,4),0.203279 # DEPENDENCYPART_ARC
(5,6),-0.708726 # DEPENDENCYPART_ARC
(5,7),-1.40303 # DEPENDENCYPART_ARC
(5,8),-1.16295 # DEPENDENCYPART_ARC
(5,9),-2.19921 # DEPENDENCYPART_ARC
(5,10),-1.73878 # DEPENDENCYPART_ARC
(5,11),-2.61849 # DEPENDENCYPART_ARC
(5,12),-1.19247 # DEPENDENCYPART_ARC
(5,13),-3.08941 # DEPENDENCYPART_ARC
(5,14),-2.83476 # DEPENDENCYPART_ARC
(5,15),-3.14854 # DEPENDENCYPART_ARC
(5,16),-3.55565 # DEPENDENCYPART_ARC
(5,17),-2.36538 # DEPENDENCYPART_ARC
(5,18),-2.61208 # DEPENDENCYPART_ARC
(5,19),-2.62599 # DEPENDENCYPART_ARC
(5,20),-2.71495 # DEPENDENCYPART_ARC
(5,21),-3.2323 # DEPENDENCYPART_ARC
(5,22),-2.44254 # DEPENDENCYPART_ARC
(6,1),-0.880863 # DEPENDENCYPART_ARC
(6,2),-1.76152 # DEPENDENCYPART_ARC
(6,3),0.389404 # DEPENDENCYPART_ARC
(6,4),2.63661 # DEPENDENCYPART_ARC
(6,5),0.290275 # DEPENDENCYPART_ARC
(6,7),1.00605 # DEPENDENCYPART_ARC
(6,8),-0.0953113 # DEPENDENCYPART_ARC
(6,9),-0.0571397 # DEPENDENCYPART_ARC
(6,10),0.0667182 # DEPENDENCYPART_ARC
(6,11),-0.619787 # DEPENDENCYPART_ARC
(6,12),-1.07314 # DEPENDENCYPART_ARC
(6,13),-1.39695 # DEPENDENCYPART_ARC
(6,14),-1.58415 # DEPENDENCYPART_ARC
(6,15),-1.92613 # DEPENDENCYPART_ARC
(6,16),-1.71013 # DEPENDENCYPART_ARC
(6,17),-1.20304 # DEPENDENCYPART_ARC
(6,18),-1.37131 # DEPENDENCYPART_ARC
(6,19),-1.38412 # DEPENDENCYPART_ARC
(6,20),-1.58751 # DEPENDENCYPART_ARC
(6,21),-2.61159 # DEPENDENCYPART_ARC
(6,22),-1.18443 # DEPENDENCYPART_ARC
(7,1),-0.162131 # DEPENDENCYPART_ARC
(7,2),-0.00238505 # DEPENDENCYPART_ARC
(7,3),2.56181 # DEPENDENCYPART_ARC
(7,4),4.67245 # DEPENDENCYPART_ARC
(7,5),1.84027 # DEPENDENCYPART_ARC
(7,6),4.46414 # DEPENDENCYPART_ARC
(7,8),2.56936 # DEPENDENCYPART_ARC
(7,9),2.41695 # DEPENDENCYPART_ARC
(7,10),1.81789 # DEPENDENCYPART_ARC
(7,11),1.51894 # DEPENDENCYPART_ARC
(7,12),0.490383 # DEPENDENCYPART_ARC
(7,13),-0.611164 # DEPENDENCYPART_ARC
(7,14),0.328395 # DEPENDENCYPART_ARC
(7,15),0.508273 # DEPENDENCYPART_ARC
(7,16),-0.531643 # DEPENDENCYPART_ARC
(7,17),0.205592 # DEPENDENCYPART_ARC
(7,18),-0.351225 # DEPENDENCYPART_ARC
(7,19),-0.268356 # DEPENDENCYPART_ARC
(7,20),-0.130075 # DEPENDENCYPART_ARC
(7,21),-0.794887 # DEPENDENCYPART_ARC
(7,22),0.479852 # DEPENDENCYPART_ARC
(8,1),-2.35292 # DEPENDENCYPART_ARC
(8,2),-1.74177 # DEPENDENCYPART_ARC
(8,3),-1.55988 # DEPENDENCYPART_ARC
(8,4),-1.79225 # DEPENDENCYPART_ARC
(8,5),-1.49831 # DEPENDENCYPART_ARC
(8,6),-1.77354 # DEPENDENCYPART_ARC
(8,7),-1.48205 # DEPENDENCYPART_ARC
(8,9),-0.814038 # DEPENDENCYPART_ARC
(8,10),-0.178262 # DEPENDENCYPART_ARC
(8,11),-1.82499 # DEPENDENCYPART_ARC
(8,12),-1.84327 # DEPENDENCYPART_ARC
(8,13),-2.21304 # DEPENDENCYPART_ARC
(8,14),-1.79381 # DEPENDENCYPART_ARC
(8,15),-2.50254 # DEPENDENCYPART_ARC
(8,16),-2.81298 # DEPENDENCYPART_ARC
(8,17),-2.30795 # DEPENDENCYPART_ARC
(8,18),-2.62725 # DEPENDENCYPART_ARC
(8,19),-2.40515 # DEPENDENCYPART_ARC
(8,20),-2.77564 # DEPENDENCYPART_ARC
(8,21),-2.90049 # DEPENDENCYPART_ARC
(8,22),-2.27957 # DEPENDENCYPART_ARC
(9,1),-1.73554 # DEPENDENCYPART_ARC
(9,2),-1.61903 # DEPENDENCYPART_ARC
(9,3),-0.0446752 # DEPENDENCYPART_ARC
(9,4),2.20534 # DEPENDENCYPART_ARC
(9,5),-0.472881 # DEPENDENCYPART_ARC
(9,6),0.984792 # DEPENDENCYPART_ARC
(9,7),0.414894 # DEPENDENCYPART_ARC
(9,8),0.833296 # DEPENDENCYPART_ARC
(9,10),3.37987 # DEPENDENCYPART_ARC
(9,11),2.63217 # DEPENDENCYPART_ARC
(9,12),1.75476 # DEPENDENCYPART_ARC
(9,13),0.501673 # DEPENDENCYPART_ARC
(9,14),0.968568 # DEPENDENCYPART_ARC
(9,15),0.914086 # DEPENDENCYPART_ARC
(9,16),0.367062 # DEPENDENCYPART_ARC
(9,17),0.78261 # DEPENDENCYPART_ARC
(9,18),0.383754 # DEPENDENCYPART_ARC
(9,19),0.383724 # DEPENDENCYPART_ARC
(9,20),0.336483 # DEPENDENCYPART_ARC
(9,21),-0.33637 # DEPENDENCYPART_ARC
(9,22),1.0055 # DEPENDENCYPART_ARC
(10,1),-2.45755 # DEPENDENCYPART_ARC
(10,2),-1.80153 # DEPENDENCYPART_ARC
(10,3),-1.57198 # DEPENDENCYPART_ARC
(10,4),-1.67455 # DEPENDENCYPART_ARC
(10,5),-1.94428 # DEPENDENCYPART_ARC
(10,6),-1.50184 # DEPENDENCYPART_ARC
(10,7),-1.95384 # DEPENDENCYPART_ARC
(10,8),-0.220029 # DEPENDENCYPART_ARC
(10,9),-1.29035 # DEPENDENCYPART_ARC
(10,11),-1.31451 # DEPENDENCYPART_ARC
(10,12),-1.8983 # DEPENDENCYPART_ARC
(10,13),-2.23716 # DEPENDENCYPART_ARC
(10,14),-2.17047 # DEPENDENCYPART_ARC
(10,15),-2.6412 # DEPENDENCYPART_ARC
(10,16),-3.02676 # DEPENDENCYPART_ARC
(10,17),-2.57915 # DEPENDENCYPART_ARC
(10,18),-2.94087 # DEPENDENCYPART_ARC
(10,19),-2.7541 # DEPENDENCYPART_ARC
(10,20),-3.04623 # DEPENDENCYPART_ARC
(10,21),-3.17514 # DEPENDENCYPART_ARC
(10,22),-2.57542 # DEPENDENCYPART_ARC
(11,1),-1.0071 # DEPENDENCYPART_ARC
(11,2),-1.41646 # DEPENDENCYPART_ARC
(11,3),0.864728 # DEPENDENCYPART_ARC
(11,4),2.11596 # DEPENDENCYPART_ARC
(11,5),-0.183454 # DEPENDENCYPART_ARC
(11,6),1.39454 # DEPENDENCYPART_ARC
(11,7),0.43122 # DEPENDENCYPART_ARC
(11,8),0.897765 # DEPENDENCYPART_ARC
(11,9),1.17965 # DEPENDENCYPART_ARC
(11,10),0.819613 # DEPENDENCYPART_ARC
(11,12),3.54561 # DEPENDENCYPART_ARC
(11,13),1.24229 # DEPENDENCYPART_ARC
(11,14),1.6141 # DEPENDENCYPART_ARC
(11,15),0.206835 # DEPENDENCYPART_ARC
(11,16),0.475973 # DEPENDENCYPART_ARC
(11,17),1.00267 # DEPENDENCYPART_ARC
(11,18),0.0633826 # DEPENDENCYPART_ARC
(11,19),0.340795 # DEPENDENCYPART_ARC
(11,20),0.586499 # DEPENDENCYPART_ARC
(11,21),-0.560333 # DEPENDENCYPART_ARC
(11,22),1.20326 # DEPENDENCYPART_ARC
(12,1),-2.31028 # DEPENDENCYPART_ARC
(12,2),-0.923726 # DEPENDENCYPART_ARC
(12,3),-1.56079 # DEPENDENCYPART_ARC
(12,4),-1.30567 # DEPENDENCYPART_ARC
(12,5),-1.65585 # DEPENDENCYPART_ARC
(12,6),-0.996207 # DEPENDENCYPART_ARC
(12,7),-1.2005 # DEPENDENCYPART_ARC
(12,8),-1.35753 # DEPENDENCYPART_ARC
(12,9),-0.675454 # DEPENDENCYPART_ARC
(12,10),-1.09978 # DEPENDENCYPART_ARC
(12,11),-0.113931 # DEPENDENCYPART_ARC
(12,13),3.42685 # DEPENDENCYPART_ARC
(12,14),0.589988 # DEPENDENCYPART_ARC
(12,15),-0.376467 # DEPENDENCYPART_ARC
(12,16),0.423943 # DEPENDENCYPART_ARC
(12,17),0.0937191 # DEPENDENCYPART_ARC
(12,18),-0.845452 # DEPENDENCYPART_ARC
(12,19),0.573268 # DEPENDENCYPART_ARC
(12,20),-0.271081 # DEPENDENCYPART_ARC
(12,21),-0.653281 # DEPENDENCYPART_ARC
(12,22),-0.656887 # DEPENDENCYPART_ARC
(13,1),-3.10986 # DEPENDENCYPART_ARC
(13,2),-2.93308 # DEPENDENCYPART_ARC
(13,3),-1.2781 # DEPENDENCYPART_ARC
(13,4),0.703215 # DEPENDENCYPART_ARC
(13,5),-2.16094 # DEPENDENCYPART_ARC
(13,6),-0.877284 # DEPENDENCYPART_ARC
(13,7),-2.23579 # DEPENDENCYPART_ARC
(13,8),-1.6649 # DEPENDENCYPART_ARC
(13,9),-0.768007 # DEPENDENCYPART_ARC
(13,10),-1.1651 # DEPENDENCYPART_ARC
(13,11),0.316694 # DEPENDENCYPART_ARC
(13,12),0.27939 # DEPENDENCYPART_ARC
(13,14),3.19682 # DEPENDENCYPART_ARC
(13,15),1.33173 # DEPENDENCYPART_ARC
(13,16),0.837162 # DEPENDENCYPART_ARC
(13,17),1.22362 # DEPENDENCYPART_ARC
(13,18),0.225245 # DEPENDENCYPART_ARC
(13,19),0.134374 # DEPENDENCYPART_ARC
(13,20),0.208261 # DEPENDENCYPART_ARC
(13,21),-0.053479 # DEPENDENCYPART_ARC
(13,22),0.513975 # DEPENDENCYPART_ARC
(14,1),-2.01317 # DEPENDENCYPART_ARC
(14,2),-1.79761 # DEPENDENCYPART_ARC
(14,3),-1.62086 # DEPENDENCYPART_ARC
(14,4),-1.59545 # DEPENDENCYPART_ARC
(14,5),-0.89923 # DEPENDENCYPART_ARC
(14,6),-1.78594 # DEPENDENCYPART_ARC
(14,7),-1.13229 # DEPENDENCYPART_ARC
(14,8),-1.1505 # DEPENDENCYPART_ARC
(14,9),-0.767482 # DEPENDENCYPART_ARC
(14,10),-0.788163 # DEPENDENCYPART_ARC
(14,11),0.159978 # DEPENDENCYPART_ARC
(14,12),0.17514 # DEPENDENCYPART_ARC
(14,13),0.88839 # DEPENDENCYPART_ARC
(14,15),1.74334 # DEPENDENCYPART_ARC
(14,16),4.18513 # DEPENDENCYPART_ARC
(14,17),1.39786 # DEPENDENCYPART_ARC
(14,18),-0.00646547 # DEPENDENCYPART_ARC
(14,19),0.677592 # DEPENDENCYPART_ARC
(14,20),0.809476 # DEPENDENCYPART_ARC
(14,21),-0.493314 # DEPENDENCYPART_ARC
(14,22),0.389886 # DEPENDENCYPART_ARC
(15,1),-3.96453 # DEPENDENCYPART_ARC
(15,2),-3.84869 # DEPENDENCYPART_ARC
(15,3),-2.24882 # DEPENDENCYPART_ARC
(15,4),-2.70417 # DEPENDENCYPART_ARC
(15,5),-3.03734 # DEPENDENCYPART_ARC
(15,6),-2.44715 # DEPENDENCYPART_ARC
(15,7),-3.06247 # DEPENDENCYPART_ARC
(15,8),-2.52671 # DEPENDENCYPART_ARC
(15,9),-2.63398 # DEPENDENCYPART_ARC
(15,10),-2.05147 # DEPENDENCYPART_ARC
(15,11),-1.67736 # DEPENDENCYPART_ARC
(15,12),-2.11936 # DEPENDENCYPART_ARC
(15,13),-1.37904 # DEPENDENCYPART_ARC
(15,14),-0.817596 # DEPENDENCYPART_ARC
(15,16),1.22066 # DEPENDENCYPART_ARC
(15,17),0.671787 # DEPENDENCYPART_ARC
(15,18),-0.485981 # DEPENDENCYPART_ARC
(15,19),-0.685478 # DEPENDENCYPART_ARC
(15,20),-0.550899 # DEPENDENCYPART_ARC
(15,21),-1.17758 # DEPENDENCYPART_ARC
(15,22),-0.0211647 # DEPENDENCYPART_ARC
(16,1),-2.45003 # DEPENDENCYPART_ARC
(16,2),-2.27012 # DEPENDENCYPART_ARC
(16,3),-2.353 # DEPENDENCYPART_ARC
(16,4),0.124331 # DEPENDENCYPART_ARC
(16,5),-1.70155 # DEPENDENCYPART_ARC
(16,6),-1.07192 # DEPENDENCYPART_ARC
(16,7),-2.03725 # DEPENDENCYPART_ARC
(16,8),-1.53748 # DEPENDENCYPART_ARC
(16,9),-0.955536 # DEPENDENCYPART_ARC
(16,10),-1.55619 # DEPENDENCYPART_ARC
(16,11),-0.519115 # DEPENDENCYPART_ARC
(16,12),-0.77695 # DEPENDENCYPART_ARC
(16,13),0.591067 # DEPENDENCYPART_ARC
(16,14),0.378255 # DEPENDENCYPART_ARC
(16,15),4.34895 # DEPENDENCYPART_ARC
(16,17),0.326811 # DEPENDENCYPART_ARC
(16,18),-0.465646 # DEPENDENCYPART_ARC
(16,19),-0.385059 # DEPENDENCYPART_ARC
(16,20),-0.493477 # DEPENDENCYPART_ARC
(16,21),-0.702329 # DEPENDENCYPART_ARC
(16,22),-0.262788 # DEPENDENCYPART_ARC
(17,1),0.605193 # DEPENDENCYPART_ARC
(17,2),0.111321 # DEPENDENCYPART_ARC
(17,3),-0.260421 # DEPENDENCYPART_ARC
(17,4),0.0677696 # DEPENDENCYPART_ARC
(17,5),-0.25648 # DEPENDENCYPART_ARC
(17,6),0.291524 # DEPENDENCYPART_ARC
(17,7),0.163123 # DEPENDENCYPART_ARC
(17,8),1.8487 # DEPENDENCYPART_ARC
(17,9),1.07201 # DEPENDENCYPART_ARC
(17,10),1.93473 # DEPENDENCYPART_ARC
(17,11),1.92201 # DEPENDENCYPART_ARC
(17,12),0.277925 # DEPENDENCYPART_ARC
(17,13),2.22892 # DEPENDENCYPART_ARC
(17,14),1.22881 # DEPENDENCYPART_ARC
(17,15),1.13401 # DEPENDENCYPART_ARC
(17,16),3.08007 # DEPENDENCYPART_ARC
(17,18),3.5496 # DEPENDENCYPART_ARC
(17,19),3.44788 # DEPENDENCYPART_ARC
(17,20),1.13336 # DEPENDENCYPART_ARC
(17,21),0.56847 # DEPENDENCYPART_ARC
(17,22),3.6984 # DEPENDENCYPART_ARC
(18,1),-2.81134 # DEPENDENCYPART_ARC
(18,2),-2.29565 # DEPENDENCYPART_ARC
(18,3),-1.28228 # DEPENDENCYPART_ARC
(18,4),-2.42964 # DEPENDENCYPART_ARC
(18,5),-1.92939 # DEPENDENCYPART_ARC
(18,6),-2.43888 # DEPENDENCYPART_ARC
(18,7),-2.05393 # DEPENDENCYPART_ARC
(18,8),-1.08117 # DEPENDENCYPART_ARC
(18,9),-1.5291 # DEPENDENCYPART_ARC
(18,10),-0.883015 # DEPENDENCYPART_ARC
(18,11),-1.47608 # DEPENDENCYPART_ARC
(18,12),-1.1827 # DEPENDENCYPART_ARC
(18,13),-1.15016 # DEPENDENCYPART_ARC
(18,14),-0.621636 # DEPENDENCYPART_ARC
(18,15),-0.0121282 # DEPENDENCYPART_ARC
(18,16),-0.390641 # DEPENDENCYPART_ARC
(18,17),0.813147 # DEPENDENCYPART_ARC
(18,19),0.270445 # DEPENDENCYPART_ARC
(18,20),-0.39151 # DEPENDENCYPART_ARC
(18,21),-0.551099 # DEPENDENCYPART_ARC
(18,22),-1.41153 # DEPENDENCYPART_ARC
(19,1),-1.60287 # DEPENDENCYPART_ARC
(19,2),-2.83451 # DEPENDENCYPART_ARC
(19,3),-0.807567 # DEPENDENCYPART_ARC
(19,4),-0.352431 # DEPENDENCYPART_ARC
(19,5),-2.00044 # DEPENDENCYPART_ARC
(19,6),-0.34941 # DEPENDENCYPART_ARC
(19,7),-0.659113 # DEPENDENCYPART_ARC
(19,8),0.170193 # DEPENDENCYPART_ARC
(19,9),-0.15342 # DEPENDENCYPART_ARC
(19,10),-0.422608 # DEPENDENCYPART_ARC
(19,11),0.0200943 # DEPENDENCYPART_ARC
(19,12),-1.40378 # DEPENDENCYPART_ARC
(19,13),0.537041 # DEPENDENCYPART_ARC
(19,14),-0.635556 # DEPENDENCYPART_ARC
(19,15),0.0986359 # DEPENDENCYPART_ARC
(19,16),0.801665 # DEPENDENCYPART_ARC
(19,17),0.315177 # DEPENDENCYPART_ARC
(19,18),0.686202 # DEPENDENCYPART_ARC
(19,20),4.15688 # DEPENDENCYPART_ARC
(19,21),0.981568 # DEPENDENCYPART_ARC
(19,22),2.19441 # DEPENDENCYPART_ARC
(20,1),-0.996235 # DEPENDENCYPART_ARC
(20,2),-0.857961 # DEPENDENCYPART_ARC
(20,3),-1.0343 # DEPENDENCYPART_ARC
(20,4),-0.679819 # DEPENDENCYPART_ARC
(20,5),-1.26034 # DEPENDENCYPART_ARC
(20,6),-0.829097 # DEPENDENCYPART_ARC
(20,7),-0.618035 # DEPENDENCYPART_ARC
(20,8),-0.0911789 # DEPENDENCYPART_ARC
(20,9),-0.373889 # DEPENDENCYPART_ARC
(20,10),0.145268 # DEPENDENCYPART_ARC
(20,11),-0.168838 # DEPENDENCYPART_ARC
(20,12),-1.08426 # DEPENDENCYPART_ARC
(20,13),0.226101 # DEPENDENCYPART_ARC
(20,14),0.356353 # DEPENDENCYPART_ARC
(20,15),0.192169 # DEPENDENCYPART_ARC
(20,16),0.391306 # DEPENDENCYPART_ARC
(20,17),0.2572 # DEPENDENCYPART_ARC
(20,18),0.749641 # DEPENDENCYPART_ARC
(20,19),0.847481 # DEPENDENCYPART_ARC
(20,21),2.4947 # DEPENDENCYPART_ARC
(20,22),1.05583 # DEPENDENCYPART_ARC
(21,1),-2.03295 # DEPENDENCYPART_ARC
(21,2),-1.61765 # DEPENDENCYPART_ARC
(21,3),-0.681015 # DEPENDENCYPART_ARC
(21,4),-1.39155 # DEPENDENCYPART_ARC
(21,5),-1.28813 # DEPENDENCYPART_ARC
(21,6),-1.43621 # DEPENDENCYPART_ARC
(21,7),-1.0364 # DEPENDENCYPART_ARC
(21,8),-0.876333 # DEPENDENCYPART_ARC
(21,9),-0.674728 # DEPENDENCYPART_ARC
(21,10),-0.702037 # DEPENDENCYPART_ARC
(21,11),-0.542336 # DEPENDENCYPART_ARC
(21,12),-0.0436568 # DEPENDENCYPART_ARC
(21,13),-0.109137 # DEPENDENCYPART_ARC
(21,14),-0.172101 # DEPENDENCYPART_ARC
(21,15),0.31453 # DEPENDENCYPART_ARC
(21,16),0.405894 # DEPENDENCYPART_ARC
(21,17),0.0860342 # DEPENDENCYPART_ARC
(21,18),0.837591 # DEPENDENCYPART_ARC
(21,19),0.886072 # DEPENDENCYPART_ARC
(21,20),1.3903 # DEPENDENCYPART_ARC
(21,22),1.24651 # DEPENDENCYPART_ARC
(22,1),-2.2555 # DEPENDENCYPART_ARC
(22,2),-2.00296 # DEPENDENCYPART_ARC
(22,3),-2.49749 # DEPENDENCYPART_ARC
(22,4),-2.72351 # DEPENDENCYPART_ARC
(22,5),-2.59982 # DEPENDENCYPART_ARC
(22,6),-2.45335 # DEPENDENCYPART_ARC
(22,7),-2.36402 # DEPENDENCYPART_ARC
(22,8),-1.18253 # DEPENDENCYPART_ARC
(22,9),-2.17011 # DEPENDENCYPART_ARC
(22,10),-1.0202 # DEPENDENCYPART_ARC
(22,11),-1.91983 # DEPENDENCYPART_ARC
(22,12),-1.9338 # DEPENDENCYPART_ARC
(22,13),-1.73607 # DEPENDENCYPART_ARC
(22,14),-1.6168 # DEPENDENCYPART_ARC
(22,15),-1.68502 # DEPENDENCYPART_ARC
(22,16),-1.73361 # DEPENDENCYPART_ARC
(22,17),-1.24553 # DEPENDENCYPART_ARC
(22,18),-1.41023 # DEPENDENCYPART_ARC
(22,19),-1.12505 # DEPENDENCYPART_ARC
(22,20),-1.21135 # DEPENDENCYPART_ARC
(22,21),-0.557924 # DEPENDENCYPART_ARC
