# _root_ Synchronized circuit breakers would not have halted the slide in prices on Friday , but they probably would have made for smoother , less volatile executions .
#goldHeads=3,3,4,0,4,4,6,9,7,9,10,9,12,4,4,18,18,15,18,19,20,26,26,25,26,21,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,9,10,11,12,4,4,18,18,15,18,19,20,26,26,25,26,21,4,
(2,10),-0.895474 # DEPENDENCYPART_ARC
(2,11),-0.848512 # DEPENDENCYPART_ARC
(2,12),-0.788284 # DEPENDENCYPART_ARC
(2,13),-0.998925 # DEPENDENCYPART_ARC
(2,14),-1.00483 # DEPENDENCYPART_ARC
(2,15),-1.10406 # DEPENDENCYPART_ARC
(2,16),-1.64984 # DEPENDENCYPART_ARC
(2,17),-1.8311 # DEPENDENCYPART_ARC
(2,18),-1.61678 # DEPENDENCYPART_ARC
(2,19),-1.04501 # DEPENDENCYPART_ARC
(2,20),-1.81363 # DEPENDENCYPART_ARC
(2,21),-3.13178 # DEPENDENCYPART_ARC
(2,22),-1.93458 # DEPENDENCYPART_ARC
(2,23),-2.22356 # DEPENDENCYPART_ARC
(2,24),-2.65 # DEPENDENCYPART_ARC
(2,25),-2.96938 # DEPENDENCYPART_ARC
(2,26),-2.52765 # DEPENDENCYPART_ARC
(2,27),0.340906 # DEPENDENCYPART_ARC
(3,1),3.25108 # DEPENDENCYPART_ARC
(3,2),4.24825 # DEPENDENCYPART_ARC
(3,4),0.430065 # DEPENDENCYPART_ARC
(3,5),0.159152 # DEPENDENCYPART_ARC
(3,6),-0.0845098 # DEPENDENCYPART_ARC
(3,7),-0.0243265 # DEPENDENCYPART_ARC
(3,8),-0.817024 # DEPENDENCYPART_ARC
(3,9),-0.307999 # DEPENDENCYPART_ARC
(3,10),0.12965 # DEPENDENCYPART_ARC
(3,11),-0.744757 # DEPENDENCYPART_ARC
(3,12),0.212224 # DEPENDENCYPART_ARC
(3,13),-0.695184 # DEPENDENCYPART_ARC
(3,14),0.9669 # DEPENDENCYPART_ARC
(3,15),-0.816879 # DEPENDENCYPART_ARC
(3,16),-1.70491 # DEPENDENCYPART_ARC
(3,17),-0.915692 # DEPENDENCYPART_ARC
(3,18),-1.42563 # DEPENDENCYPART_ARC
(3,19),-1.43735 # DEPENDENCYPART_ARC
(3,20),-0.83139 # DEPENDENCYPART_ARC
(3,21),-1.10556 # DEPENDENCYPART_ARC
(3,22),-2.0796 # DEPENDENCYPART_ARC
(3,23),0.802062 # DEPENDENCYPART_ARC
(3,24),-2.24283 # DEPENDENCYPART_ARC
(3,25),-1.81048 # DEPENDENCYPART_ARC
(3,26),-2.27995 # DEPENDENCYPART_ARC
(3,27),-0.184308 # DEPENDENCYPART_ARC
(4,1),1.10642 # DEPENDENCYPART_ARC
(4,2),1.61649 # DEPENDENCYPART_ARC
(4,3),2.7731 # DEPENDENCYPART_ARC
(4,5),3.47308 # DEPENDENCYPART_ARC
(4,6),3.68364 # DEPENDENCYPART_ARC
(4,7),1.05342 # DEPENDENCYPART_ARC
(4,8),0.130006 # DEPENDENCYPART_ARC
(4,9),0.578358 # DEPENDENCYPART_ARC
(4,10),0.950106 # DEPENDENCYPART_ARC
(4,11),0.165335 # DEPENDENCYPART_ARC
(4,12),0.254936 # DEPENDENCYPART_ARC
(4,13),-0.0662242 # DEPENDENCYPART_ARC
(4,14),2.94841 # DEPENDENCYPART_ARC
(4,15),3.95856 # DEPENDENCYPART_ARC
(4,16),0.205486 # DEPENDENCYPART_ARC
(4,17),0.220685 # DEPENDENCYPART_ARC
(4,18),0.503535 # DEPENDENCYPART_ARC
(4,19),0.610849 # DEPENDENCYPART_ARC
(4,20),-0.768709 # DEPENDENCYPART_ARC
(4,21),0.215297 # DEPENDENCYPART_ARC
(4,22),-1.53236 # DEPENDENCYPART_ARC
(4,23),1.146 # DEPENDENCYPART_ARC
(4,24),-1.56481 # DEPENDENCYPART_ARC
(4,25),-1.34365 # DEPENDENCYPART_ARC
(4,26),-2.00167 # DEPENDENCYPART_ARC
(4,27),5.0828 # DEPENDENCYPART_ARC
(5,1),-0.915465 # DEPENDENCYPART_ARC
(5,2),-0.774143 # DEPENDENCYPART_ARC
(5,3),-0.630917 # DEPENDENCYPART_ARC
(5,4),0.387379 # DEPENDENCYPART_ARC
(5,6),1.26516 # DEPENDENCYPART_ARC
(5,7),0.343258 # DEPENDENCYPART_ARC
(5,8),0.0143867 # DEPENDENCYPART_ARC
(5,9),-0.161667 # DEPENDENCYPART_ARC
(5,10),-0.031443 # DEPENDENCYPART_ARC
(5,11),-1.29629 # DEPENDENCYPART_ARC
(5,12),0.247169 # DEPENDENCYPART_ARC
(5,13),-1.46161 # DEPENDENCYPART_ARC
(5,14),0.559616 # DEPENDENCYPART_ARC
(5,15),0.208032 # DEPENDENCYPART_ARC
(5,16),-1.16254 # DEPENDENCYPART_ARC
(5,17),-1.25503 # DEPENDENCYPART_ARC
(5,18),-1.42937 # DEPENDENCYPART_ARC
(5,19),-1.34214 # DEPENDENCYPART_ARC
(5,20),-1.64958 # DEPENDENCYPART_ARC
(5,21),-1.24574 # DEPENDENCYPART_ARC
(5,22),-2.08353 # DEPENDENCYPART_ARC
(5,23),-0.362876 # DEPENDENCYPART_ARC
(5,24),-2.22124 # DEPENDENCYPART_ARC
(5,25),-1.56792 # DEPENDENCYPART_ARC
(5,26),-3.31575 # DEPENDENCYPART_ARC
(5,27),-0.860497 # DEPENDENCYPART_ARC
(6,1),-0.122318 # DEPENDENCYPART_ARC
(6,2),0.943901 # DEPENDENCYPART_ARC
(6,3),1.06987 # DEPENDENCYPART_ARC
(6,4),0.906378 # DEPENDENCYPART_ARC
(6,5),1.39379 # DEPENDENCYPART_ARC
(6,7),4.05394 # DEPENDENCYPART_ARC
(6,8),-0.335488 # DEPENDENCYPART_ARC
(6,9),0.662417 # DEPENDENCYPART_ARC
(6,10),1.15833 # DEPENDENCYPART_ARC
(6,11),-0.807216 # DEPENDENCYPART_ARC
(6,12),0.663656 # DEPENDENCYPART_ARC
(6,13),-0.680265 # DEPENDENCYPART_ARC
(6,14),0.520095 # DEPENDENCYPART_ARC
(6,15),0.609262 # DEPENDENCYPART_ARC
(6,16),-1.04902 # DEPENDENCYPART_ARC
(6,17),-0.628336 # DEPENDENCYPART_ARC
(6,18),-0.304602 # DEPENDENCYPART_ARC
(6,19),-0.495555 # DEPENDENCYPART_ARC
(6,20),1.01521 # DEPENDENCYPART_ARC
(6,21),-1.66474 # DEPENDENCYPART_ARC
(6,22),-1.71087 # DEPENDENCYPART_ARC
(6,23),-0.546938 # DEPENDENCYPART_ARC
(6,24),-1.78984 # DEPENDENCYPART_ARC
(6,25),-3.42528 # DEPENDENCYPART_ARC
(6,26),-6.05055 # DEPENDENCYPART_ARC
(6,27),3.05705 # DEPENDENCYPART_ARC
(7,1),-0.205569 # DEPENDENCYPART_ARC
(7,2),0.23004 # DEPENDENCYPART_ARC
(7,3),0.366269 # DEPENDENCYPART_ARC
(7,4),0.380715 # DEPENDENCYPART_ARC
(7,5),0.49832 # DEPENDENCYPART_ARC
(7,6),0.873573 # DEPENDENCYPART_ARC
(7,8),1.67616 # DEPENDENCYPART_ARC
(7,9),2.8219 # DEPENDENCYPART_ARC
(7,10),2.77032 # DEPENDENCYPART_ARC
(7,11),1.34521 # DEPENDENCYPART_ARC
(7,12),2.04688 # DEPENDENCYPART_ARC
(7,13),1.28041 # DEPENDENCYPART_ARC
(7,14),1.47542 # DEPENDENCYPART_ARC
(7,15),1.1711 # DEPENDENCYPART_ARC
(7,16),0.426081 # DEPENDENCYPART_ARC
(7,17),0.591966 # DEPENDENCYPART_ARC
(7,18),0.906085 # DEPENDENCYPART_ARC
(7,19),0.274319 # DEPENDENCYPART_ARC
(7,20),0.480111 # DEPENDENCYPART_ARC
(7,21),0.713947 # DEPENDENCYPART_ARC
(7,22),-0.289345 # DEPENDENCYPART_ARC
(7,23),1.04911 # DEPENDENCYPART_ARC
(7,24),0.108301 # DEPENDENCYPART_ARC
(7,25),-0.941113 # DEPENDENCYPART_ARC
(7,26),-1.98474 # DEPENDENCYPART_ARC
(7,27),1.10802 # DEPENDENCYPART_ARC
(8,1),-2.03236 # DEPENDENCYPART_ARC
(8,2),-2.17788 # DEPENDENCYPART_ARC
(8,3),-1.83253 # DEPENDENCYPART_ARC
(8,4),-1.66559 # DEPENDENCYPART_ARC
(8,5),-0.943323 # DEPENDENCYPART_ARC
(8,6),-0.634581 # DEPENDENCYPART_ARC
(8,7),-0.263536 # DEPENDENCYPART_ARC
(8,9),0.0306685 # DEPENDENCYPART_ARC
(8,10),-1.0527 # DEPENDENCYPART_ARC
(8,11),-0.989708 # DEPENDENCYPART_ARC
(8,12),-1.601 # DEPENDENCYPART_ARC
(8,13),-1.61169 # DEPENDENCYPART_ARC
(8,14),-0.799571 # DEPENDENCYPART_ARC
(8,15),-1.10809 # DEPENDENCYPART_ARC
(8,16),-1.86625 # DEPENDENCYPART_ARC
(8,17),-1.79117 # DEPENDENCYPART_ARC
(8,18),-2.15559 # DEPENDENCYPART_ARC
(8,19),-2.76195 # DEPENDENCYPART_ARC
(8,20),-2.09818 # DEPENDENCYPART_ARC
(8,21),-2.30966 # DEPENDENCYPART_ARC
(8,22),-3.19496 # DEPENDENCYPART_ARC
(8,23),-1.56327 # DEPENDENCYPART_ARC
(8,24),-3.04877 # DEPENDENCYPART_ARC
(8,25),-3.00347 # DEPENDENCYPART_ARC
(8,26),-2.96609 # DEPENDENCYPART_ARC
(8,27),-1.12956 # DEPENDENCYPART_ARC
(9,1),-1.12376 # DEPENDENCYPART_ARC
(9,2),-1.23843 # DEPENDENCYPART_ARC
(9,3),-1.12559 # DEPENDENCYPART_ARC
(9,4),-1.31219 # DEPENDENCYPART_ARC
(9,5),-0.384585 # DEPENDENCYPART_ARC
(9,6),-0.58104 # DEPENDENCYPART_ARC
(9,7),0.632676 # DEPENDENCYPART_ARC
(9,8),4.09566 # DEPENDENCYPART_ARC
(9,10),3.08474 # DEPENDENCYPART_ARC
(9,11),1.05997 # DEPENDENCYPART_ARC
(9,12),2.36326 # DEPENDENCYPART_ARC
(9,13),0.847481 # DEPENDENCYPART_ARC
(9,14),0.801973 # DEPENDENCYPART_ARC
(9,15),0.507827 # DEPENDENCYPART_ARC
(9,16),0.0226971 # DEPENDENCYPART_ARC
(9,17),-0.345738 # DEPENDENCYPART_ARC
(9,18),0.946603 # DEPENDENCYPART_ARC
(9,19),0.201049 # DEPENDENCYPART_ARC
(9,20),0.352172 # DEPENDENCYPART_ARC
(9,21),-0.454469 # DEPENDENCYPART_ARC
(9,22),-0.557952 # DEPENDENCYPART_ARC
(9,23),0.00419379 # DEPENDENCYPART_ARC
(9,24),-0.773092 # DEPENDENCYPART_ARC
(9,25),-1.1273 # DEPENDENCYPART_ARC
(9,26),-1.11791 # DEPENDENCYPART_ARC
(9,27),1.16966 # DEPENDENCYPART_ARC
(10,1),-1.11156 # DEPENDENCYPART_ARC
(10,2),-1.55897 # DEPENDENCYPART_ARC
(10,3),-0.964158 # DEPENDENCYPART_ARC
(10,4),-1.56041 # DEPENDENCYPART_ARC
(10,5),-0.543593 # DEPENDENCYPART_ARC
(10,6),-0.635852 # DEPENDENCYPART_ARC
(10,7),-0.262011 # DEPENDENCYPART_ARC
(10,8),0.190729 # DEPENDENCYPART_ARC
(10,9),0.27166 # DEPENDENCYPART_ARC
(10,11),4.17374 # DEPENDENCYPART_ARC
(10,12),0.807487 # DEPENDENCYPART_ARC
(10,13),0.620371 # DEPENDENCYPART_ARC
(10,14),1.17189 # DEPENDENCYPART_ARC
(10,15),0.588489 # DEPENDENCYPART_ARC
(10,16),-1.24581 # DEPENDENCYPART_ARC
(10,17),-0.256574 # DEPENDENCYPART_ARC
(10,18),0.0477085 # DEPENDENCYPART_ARC
(10,19),-0.29485 # DEPENDENCYPART_ARC
(10,20),-0.710817 # DEPENDENCYPART_ARC
(10,21),0.328798 # DEPENDENCYPART_ARC
(10,22),-1.00445 # DEPENDENCYPART_ARC
(10,23),-0.0713226 # DEPENDENCYPART_ARC
(10,24),-1.79976 # DEPENDENCYPART_ARC
(10,25),-2.1619 # DEPENDENCYPART_ARC
(10,26),-4.45206 # DEPENDENCYPART_ARC
(10,27),0.922335 # DEPENDENCYPART_ARC
(11,1),-1.88922 # DEPENDENCYPART_ARC
(11,2),-2.34397 # DEPENDENCYPART_ARC
(11,3),-2.87122 # DEPENDENCYPART_ARC
(11,4),-2.39768 # DEPENDENCYPART_ARC
(11,5),-2.40036 # DEPENDENCYPART_ARC
(11,6),-1.5472 # DEPENDENCYPART_ARC
(11,7),-0.985551 # DEPENDENCYPART_ARC
(11,8),0.284657 # DEPENDENCYPART_ARC
(11,9),-0.407195 # DEPENDENCYPART_ARC
(11,10),0.321435 # DEPENDENCYPART_ARC
(11,12),2.74094 # DEPENDENCYPART_ARC
(11,13),0.103673 # DEPENDENCYPART_ARC
(11,14),0.521655 # DEPENDENCYPART_ARC
(11,15),-0.0653375 # DEPENDENCYPART_ARC
(11,16),-0.705817 # DEPENDENCYPART_ARC
(11,17),-0.0708063 # DEPENDENCYPART_ARC
(11,18),0.194998 # DEPENDENCYPART_ARC
(11,19),-0.713524 # DEPENDENCYPART_ARC
(11,20),0.493561 # DEPENDENCYPART_ARC
(11,21),0.328154 # DEPENDENCYPART_ARC
(11,22),-1.11782 # DEPENDENCYPART_ARC
(11,23),0.343543 # DEPENDENCYPART_ARC
(11,24),-1.23902 # DEPENDENCYPART_ARC
(11,25),-1.00526 # DEPENDENCYPART_ARC
(11,26),-1.18589 # DEPENDENCYPART_ARC
(11,27),-0.552846 # DEPENDENCYPART_ARC
(12,1),-1.16797 # DEPENDENCYPART_ARC
(12,2),-1.63187 # DEPENDENCYPART_ARC
(12,3),-0.989182 # DEPENDENCYPART_ARC
(12,4),-1.66871 # DEPENDENCYPART_ARC
(12,5),-0.788345 # DEPENDENCYPART_ARC
(12,6),-0.600099 # DEPENDENCYPART_ARC
(12,7),-0.570836 # DEPENDENCYPART_ARC
(12,8),-0.17919 # DEPENDENCYPART_ARC
(12,9),0.264138 # DEPENDENCYPART_ARC
(12,10),0.269391 # DEPENDENCYPART_ARC
(12,11),0.645062 # DEPENDENCYPART_ARC
(12,13),3.47782 # DEPENDENCYPART_ARC
(12,14),0.629035 # DEPENDENCYPART_ARC
(12,15),0.143051 # DEPENDENCYPART_ARC
(12,16),-0.657996 # DEPENDENCYPART_ARC
(12,17),-0.24829 # DEPENDENCYPART_ARC
(12,18),0.67131 # DEPENDENCYPART_ARC
(12,19),-0.283491 # DEPENDENCYPART_ARC
(12,20),-0.673662 # DEPENDENCYPART_ARC
(12,21),-0.816531 # DEPENDENCYPART_ARC
(12,22),-1.17788 # DEPENDENCYPART_ARC
(12,23),-0.301943 # DEPENDENCYPART_ARC
(12,24),-1.63098 # DEPENDENCYPART_ARC
(12,25),-2.16774 # DEPENDENCYPART_ARC
(12,26),-2.38996 # DEPENDENCYPART_ARC
(12,27),0.242321 # DEPENDENCYPART_ARC
(13,1),-4.21805 # DEPENDENCYPART_ARC
(13,2),-4.5764 # DEPENDENCYPART_ARC
(13,3),-3.90795 # DEPENDENCYPART_ARC
(13,4),-3.88285 # DEPENDENCYPART_ARC
(13,5),-3.32295 # DEPENDENCYPART_ARC
(13,6),-3.1547 # DEPENDENCYPART_ARC
(13,7),-3.33311 # DEPENDENCYPART_ARC
(13,8),-1.9309 # DEPENDENCYPART_ARC
(13,9),-3.33113 # DEPENDENCYPART_ARC
(13,10),-1.81774 # DEPENDENCYPART_ARC
(13,11),-1.51877 # DEPENDENCYPART_ARC
(13,12),-0.451307 # DEPENDENCYPART_ARC
(13,14),0.125741 # DEPENDENCYPART_ARC
(13,15),0.435661 # DEPENDENCYPART_ARC
(13,16),-0.0330567 # DEPENDENCYPART_ARC
(13,17),-0.44871 # DEPENDENCYPART_ARC
(13,18),-0.362461 # DEPENDENCYPART_ARC
(13,19),-1.16668 # DEPENDENCYPART_ARC
(13,20),-0.34557 # DEPENDENCYPART_ARC
(13,21),-0.974688 # DEPENDENCYPART_ARC
(13,22),-1.19469 # DEPENDENCYPART_ARC
(13,23),-0.759349 # DEPENDENCYPART_ARC
(13,24),-1.70539 # DEPENDENCYPART_ARC
(13,25),-1.20991 # DEPENDENCYPART_ARC
(13,26),-1.81144 # DEPENDENCYPART_ARC
(13,27),0.160057 # DEPENDENCYPART_ARC
(14,1),-0.885991 # DEPENDENCYPART_ARC
(14,2),-1.46178 # DEPENDENCYPART_ARC
(14,3),-1.7488 # DEPENDENCYPART_ARC
(14,4),-1.79791 # DEPENDENCYPART_ARC
(14,5),-1.96257 # DEPENDENCYPART_ARC
(14,6),-1.35536 # DEPENDENCYPART_ARC
(14,7),-0.391429 # DEPENDENCYPART_ARC
(14,8),-0.640519 # DEPENDENCYPART_ARC
(14,9),-1.00908 # DEPENDENCYPART_ARC
(14,10),-0.877832 # DEPENDENCYPART_ARC
(14,11),-0.77558 # DEPENDENCYPART_ARC
(14,12),-0.539866 # DEPENDENCYPART_ARC
(14,13),-0.38547 # DEPENDENCYPART_ARC
(14,15),-0.0883734 # DEPENDENCYPART_ARC
(14,16),-0.979654 # DEPENDENCYPART_ARC
(14,17),-1.25119 # DEPENDENCYPART_ARC
(14,18),-1.26511 # DEPENDENCYPART_ARC
(14,19),-1.27582 # DEPENDENCYPART_ARC
(14,20),-1.68657 # DEPENDENCYPART_ARC
(14,21),-1.53244 # DEPENDENCYPART_ARC
(14,22),-2.02161 # DEPENDENCYPART_ARC
(14,23),0.304036 # DEPENDENCYPART_ARC
(14,24),-2.07705 # DEPENDENCYPART_ARC
(14,25),-2.52328 # DEPENDENCYPART_ARC
(14,26),-2.72902 # DEPENDENCYPART_ARC
(14,27),-1.6481 # DEPENDENCYPART_ARC
(15,1),-2.31885 # DEPENDENCYPART_ARC
(15,2),-2.32906 # DEPENDENCYPART_ARC
(15,3),-1.96971 # DEPENDENCYPART_ARC
(15,4),-2.11677 # DEPENDENCYPART_ARC
(15,5),-2.19731 # DEPENDENCYPART_ARC
(15,6),-1.77671 # DEPENDENCYPART_ARC
(15,7),-1.7157 # DEPENDENCYPART_ARC
(15,8),-1.20423 # DEPENDENCYPART_ARC
(15,9),-1.51323 # DEPENDENCYPART_ARC
(15,10),-1.07892 # DEPENDENCYPART_ARC
(15,11),-1.01525 # DEPENDENCYPART_ARC
(15,12),-0.537874 # DEPENDENCYPART_ARC
(15,13),-0.464063 # DEPENDENCYPART_ARC
(15,14),-0.493109 # DEPENDENCYPART_ARC
(15,16),0.886857 # DEPENDENCYPART_ARC
(15,17),0.62078 # DEPENDENCYPART_ARC
(15,18),2.35932 # DEPENDENCYPART_ARC
(15,19),0.587489 # DEPENDENCYPART_ARC
(15,20),0.861057 # DEPENDENCYPART_ARC
(15,21),0.217488 # DEPENDENCYPART_ARC
(15,22),0.00807828 # DEPENDENCYPART_ARC
(15,23),0.850587 # DEPENDENCYPART_ARC
(15,24),-0.544027 # DEPENDENCYPART_ARC
(15,25),-0.559919 # DEPENDENCYPART_ARC
(15,26),-2.74397 # DEPENDENCYPART_ARC
(15,27),-0.0252338 # DEPENDENCYPART_ARC
(16,1),-3.12873 # DEPENDENCYPART_ARC
(16,2),-3.64863 # DEPENDENCYPART_ARC
(16,3),-3.28101 # DEPENDENCYPART_ARC
(16,4),-3.04331 # DEPENDENCYPART_ARC
(16,5),-3.20048 # DEPENDENCYPART_ARC
(16,6),-2.71399 # DEPENDENCYPART_ARC
(16,7),-2.52858 # DEPENDENCYPART_ARC
(16,8),-1.63734 # DEPENDENCYPART_ARC
(16,9),-2.73636 # DEPENDENCYPART_ARC
(16,10),-1.88506 # DEPENDENCYPART_ARC
(16,11),-2.29145 # DEPENDENCYPART_ARC
(16,12),-1.59682 # DEPENDENCYPART_ARC
(16,13),-1.52617 # DEPENDENCYPART_ARC
(16,14),-0.550579 # DEPENDENCYPART_ARC
(16,15),-0.291167 # DEPENDENCYPART_ARC
(16,17),1.04592 # DEPENDENCYPART_ARC
(16,18),0.739529 # DEPENDENCYPART_ARC
(16,19),-0.295623 # DEPENDENCYPART_ARC
(16,20),-0.317924 # DEPENDENCYPART_ARC
(16,21),0.448458 # DEPENDENCYPART_ARC
(16,22),-0.538819 # DEPENDENCYPART_ARC
(16,23),0.698451 # DEPENDENCYPART_ARC
(16,24),-0.686198 # DEPENDENCYPART_ARC
(16,25),-1.02117 # DEPENDENCYPART_ARC
(16,26),-0.536474 # DEPENDENCYPART_ARC
(16,27),-0.025257 # DEPENDENCYPART_ARC
(17,1),-2.38045 # DEPENDENCYPART_ARC
(17,2),-3.03447 # DEPENDENCYPART_ARC
(17,3),-2.67297 # DEPENDENCYPART_ARC
(17,4),-2.31273 # DEPENDENCYPART_ARC
(17,5),-1.55416 # DEPENDENCYPART_ARC
(17,6),-2.12746 # DEPENDENCYPART_ARC
(17,7),-1.75233 # DEPENDENCYPART_ARC
(17,8),-0.744355 # DEPENDENCYPART_ARC
(17,9),-1.73445 # DEPENDENCYPART_ARC
(17,10),-1.38826 # DEPENDENCYPART_ARC
(17,11),-1.62182 # DEPENDENCYPART_ARC
(17,12),-1.17591 # DEPENDENCYPART_ARC
(17,13),-1.26688 # DEPENDENCYPART_ARC
(17,14),-0.131607 # DEPENDENCYPART_ARC
(17,15),-0.200999 # DEPENDENCYPART_ARC
(17,16),0.324756 # DEPENDENCYPART_ARC
(17,18),0.721806 # DEPENDENCYPART_ARC
(17,19),0.161306 # DEPENDENCYPART_ARC
(17,20),-0.306101 # DEPENDENCYPART_ARC
(17,21),-0.229845 # DEPENDENCYPART_ARC
(17,22),-0.749586 # DEPENDENCYPART_ARC
(17,23),-0.298873 # DEPENDENCYPART_ARC
(17,24),-0.83923 # DEPENDENCYPART_ARC
(17,25),-0.589927 # DEPENDENCYPART_ARC
(17,26),-1.73974 # DEPENDENCYPART_ARC
(17,27),-0.98806 # DEPENDENCYPART_ARC
(18,1),0.314945 # DEPENDENCYPART_ARC
(18,2),0.431542 # DEPENDENCYPART_ARC
(18,3),0.704017 # DEPENDENCYPART_ARC
(18,4),-1.14682 # DEPENDENCYPART_ARC
(18,5),-0.419404 # DEPENDENCYPART_ARC
(18,6),0.162493 # DEPENDENCYPART_ARC
(18,7),0.634065 # DEPENDENCYPART_ARC
(18,8),0.143197 # DEPENDENCYPART_ARC
(18,9),1.75943 # DEPENDENCYPART_ARC
(18,10),0.272692 # DEPENDENCYPART_ARC
(18,11),1.66355 # DEPENDENCYPART_ARC
(18,12),-0.0211123 # DEPENDENCYPART_ARC
(18,13),1.07484 # DEPENDENCYPART_ARC
(18,14),0.691925 # DEPENDENCYPART_ARC
(18,15),0.89811 # DEPENDENCYPART_ARC
(18,16),3.11464 # DEPENDENCYPART_ARC
(18,17),3.26248 # DEPENDENCYPART_ARC
(18,19),4.37753 # DEPENDENCYPART_ARC
(18,20),1.53247 # DEPENDENCYPART_ARC
(18,21),1.4466 # DEPENDENCYPART_ARC
(18,22),-0.127121 # DEPENDENCYPART_ARC
(18,23),1.68261 # DEPENDENCYPART_ARC
(18,24),-0.128582 # DEPENDENCYPART_ARC
(18,25),-0.251821 # DEPENDENCYPART_ARC
(18,26),-0.160183 # DEPENDENCYPART_ARC
(18,27),3.55062 # DEPENDENCYPART_ARC
(19,1),-2.00853 # DEPENDENCYPART_ARC
(19,2),-0.446536 # DEPENDENCYPART_ARC
(19,3),-1.29065 # DEPENDENCYPART_ARC
(19,4),-2.08079 # DEPENDENCYPART_ARC
(19,5),-1.39092 # DEPENDENCYPART_ARC
(19,6),-1.34214 # DEPENDENCYPART_ARC
(19,7),-1.37727 # DEPENDENCYPART_ARC
(19,8),-0.36393 # DEPENDENCYPART_ARC
(19,9),-0.230039 # DEPENDENCYPART_ARC
(19,10),-0.611431 # DEPENDENCYPART_ARC
(19,11),-0.110948 # DEPENDENCYPART_ARC
(19,12),-0.298698 # DEPENDENCYPART_ARC
(19,13),-0.380309 # DEPENDENCYPART_ARC
(19,14),-0.123108 # DEPENDENCYPART_ARC
(19,15),-0.820478 # DEPENDENCYPART_ARC
