# _root_ Aimed at commercial photographers , the film can be used in very low light without sacrificing quality , says Donald Franz of Photofinishing Newsletter .
#goldHeads=8,1,4,2,8,7,8,19,8,9,10,13,14,11,10,15,16,8,0,21,19,21,24,22,19,
#predictedHeads=8,1,4,2,8,7,8,19,8,9,10,13,14,11,10,15,16,19,0,21,19,21,24,22,19,
(2,12),-0.700122 # DEPENDENCYPART_ARC
(2,13),-1.64251 # DEPENDENCYPART_ARC
(2,14),-2.07901 # DEPENDENCYPART_ARC
(2,15),-0.286556 # DEPENDENCYPART_ARC
(2,16),-1.08312 # DEPENDENCYPART_ARC
(2,17),-4.0605 # DEPENDENCYPART_ARC
(2,18),-0.0372723 # DEPENDENCYPART_ARC
(2,19),-4.20776 # DEPENDENCYPART_ARC
(2,20),-6.05313 # DEPENDENCYPART_ARC
(2,21),-5.48439 # DEPENDENCYPART_ARC
(2,22),-1.72143 # DEPENDENCYPART_ARC
(2,23),-6.83552 # DEPENDENCYPART_ARC
(2,24),-6.40643 # DEPENDENCYPART_ARC
(2,25),-1.00195 # DEPENDENCYPART_ARC
(3,1),-0.892375 # DEPENDENCYPART_ARC
(3,2),1.23822 # DEPENDENCYPART_ARC
(3,4),1.29397 # DEPENDENCYPART_ARC
(3,5),0.501574 # DEPENDENCYPART_ARC
(3,6),-0.952205 # DEPENDENCYPART_ARC
(3,7),-0.51423 # DEPENDENCYPART_ARC
(3,8),-0.281376 # DEPENDENCYPART_ARC
(3,9),-1.27742 # DEPENDENCYPART_ARC
(3,10),-0.802297 # DEPENDENCYPART_ARC
(3,11),-1.9319 # DEPENDENCYPART_ARC
(3,12),-1.2206 # DEPENDENCYPART_ARC
(3,13),-1.14071 # DEPENDENCYPART_ARC
(3,14),-1.35077 # DEPENDENCYPART_ARC
(3,15),-2.28942 # DEPENDENCYPART_ARC
(3,16),-1.29011 # DEPENDENCYPART_ARC
(3,17),-1.50922 # DEPENDENCYPART_ARC
(3,18),-0.136611 # DEPENDENCYPART_ARC
(3,19),-1.46604 # DEPENDENCYPART_ARC
(3,20),-2.25591 # DEPENDENCYPART_ARC
(3,21),-2.30685 # DEPENDENCYPART_ARC
(3,22),-3.73305 # DEPENDENCYPART_ARC
(3,23),-2.52774 # DEPENDENCYPART_ARC
(3,24),-2.64588 # DEPENDENCYPART_ARC
(3,25),-0.344829 # DEPENDENCYPART_ARC
(4,1),0.342969 # DEPENDENCYPART_ARC
(4,2),0.899067 # DEPENDENCYPART_ARC
(4,3),4.00257 # DEPENDENCYPART_ARC
(4,5),1.61532 # DEPENDENCYPART_ARC
(4,6),0.589057 # DEPENDENCYPART_ARC
(4,7),0.66775 # DEPENDENCYPART_ARC
(4,8),0.537594 # DEPENDENCYPART_ARC
(4,9),0.272616 # DEPENDENCYPART_ARC
(4,10),0.163041 # DEPENDENCYPART_ARC
(4,11),-0.145121 # DEPENDENCYPART_ARC
(4,12),0.0369912 # DEPENDENCYPART_ARC
(4,13),0.166174 # DEPENDENCYPART_ARC
(4,14),-0.150527 # DEPENDENCYPART_ARC
(4,15),-0.825784 # DEPENDENCYPART_ARC
(4,16),-0.419469 # DEPENDENCYPART_ARC
(4,17),-0.140364 # DEPENDENCYPART_ARC
(4,18),0.710678 # DEPENDENCYPART_ARC
(4,19),-0.901167 # DEPENDENCYPART_ARC
(4,20),-0.858461 # DEPENDENCYPART_ARC
(4,21),-0.646999 # DEPENDENCYPART_ARC
(4,22),-3.24881 # DEPENDENCYPART_ARC
(4,23),-1.45137 # DEPENDENCYPART_ARC
(4,24),-1.49193 # DEPENDENCYPART_ARC
(4,25),-0.149337 # DEPENDENCYPART_ARC
(5,1),-1.38886 # DEPENDENCYPART_ARC
(5,2),-1.2001 # DEPENDENCYPART_ARC
(5,3),-1.39032 # DEPENDENCYPART_ARC
(5,4),-1.32476 # DEPENDENCYPART_ARC
(5,6),-0.31457 # DEPENDENCYPART_ARC
(5,7),-0.943748 # DEPENDENCYPART_ARC
(5,8),-0.827343 # DEPENDENCYPART_ARC
(5,9),-0.956879 # DEPENDENCYPART_ARC
(5,10),-1.45502 # DEPENDENCYPART_ARC
(5,11),-1.37977 # DEPENDENCYPART_ARC
(5,12),-1.70289 # DEPENDENCYPART_ARC
(5,13),-2.03062 # DEPENDENCYPART_ARC
(5,14),-2.5817 # DEPENDENCYPART_ARC
(5,15),-1.47827 # DEPENDENCYPART_ARC
(5,16),-1.83246 # DEPENDENCYPART_ARC
(5,17),-2.71198 # DEPENDENCYPART_ARC
(5,18),-0.621609 # DEPENDENCYPART_ARC
(5,19),-2.07816 # DEPENDENCYPART_ARC
(5,20),-2.681 # DEPENDENCYPART_ARC
(5,21),-2.80865 # DEPENDENCYPART_ARC
(5,22),-2.10957 # DEPENDENCYPART_ARC
(5,23),-3.0489 # DEPENDENCYPART_ARC
(5,24),-3.18382 # DEPENDENCYPART_ARC
(5,25),-2.38975 # DEPENDENCYPART_ARC
(6,1),-2.40572 # DEPENDENCYPART_ARC
(6,2),-1.61099 # DEPENDENCYPART_ARC
(6,3),-1.60118 # DEPENDENCYPART_ARC
(6,4),-1.77221 # DEPENDENCYPART_ARC
(6,5),-0.770353 # DEPENDENCYPART_ARC
(6,7),-0.247215 # DEPENDENCYPART_ARC
(6,8),-0.16693 # DEPENDENCYPART_ARC
(6,9),-1.14513 # DEPENDENCYPART_ARC
(6,10),-1.40408 # DEPENDENCYPART_ARC
(6,11),-2.03565 # DEPENDENCYPART_ARC
(6,12),-1.81804 # DEPENDENCYPART_ARC
(6,13),-2.18257 # DEPENDENCYPART_ARC
(6,14),-2.35639 # DEPENDENCYPART_ARC
(6,15),-2.71987 # DEPENDENCYPART_ARC
(6,16),-2.1901 # DEPENDENCYPART_ARC
(6,17),-2.66753 # DEPENDENCYPART_ARC
(6,18),-2.3947 # DEPENDENCYPART_ARC
(6,19),-3.22929 # DEPENDENCYPART_ARC
(6,20),-3.32956 # DEPENDENCYPART_ARC
(6,21),-3.36598 # DEPENDENCYPART_ARC
(6,22),-3.63576 # DEPENDENCYPART_ARC
(6,23),-3.53746 # DEPENDENCYPART_ARC
(6,24),-3.61573 # DEPENDENCYPART_ARC
(6,25),-2.55883 # DEPENDENCYPART_ARC
(7,1),-1.20145 # DEPENDENCYPART_ARC
(7,2),0.275141 # DEPENDENCYPART_ARC
(7,3),0.966947 # DEPENDENCYPART_ARC
(7,4),-0.0326697 # DEPENDENCYPART_ARC
(7,5),0.894224 # DEPENDENCYPART_ARC
(7,6),4.48962 # DEPENDENCYPART_ARC
(7,8),0.840315 # DEPENDENCYPART_ARC
(7,9),0.896219 # DEPENDENCYPART_ARC
(7,10),1.20959 # DEPENDENCYPART_ARC
(7,11),-0.0676918 # DEPENDENCYPART_ARC
(7,12),-0.315174 # DEPENDENCYPART_ARC
(7,13),0.0212666 # DEPENDENCYPART_ARC
(7,14),-0.0166685 # DEPENDENCYPART_ARC
(7,15),-0.546401 # DEPENDENCYPART_ARC
(7,16),-0.283226 # DEPENDENCYPART_ARC
(7,17),-0.779018 # DEPENDENCYPART_ARC
(7,18),0.140697 # DEPENDENCYPART_ARC
(7,19),-0.120484 # DEPENDENCYPART_ARC
(7,20),-1.43413 # DEPENDENCYPART_ARC
(7,21),-1.13642 # DEPENDENCYPART_ARC
(7,22),-3.11651 # DEPENDENCYPART_ARC
(7,23),-1.74676 # DEPENDENCYPART_ARC
(7,24),-1.76384 # DEPENDENCYPART_ARC
(7,25),0.814349 # DEPENDENCYPART_ARC
(8,1),0.661857 # DEPENDENCYPART_ARC
(8,2),1.19955 # DEPENDENCYPART_ARC
(8,3),0.481204 # DEPENDENCYPART_ARC
(8,4),0.771155 # DEPENDENCYPART_ARC
(8,5),3.3767 # DEPENDENCYPART_ARC
(8,6),0.338101 # DEPENDENCYPART_ARC
(8,7),3.09493 # DEPENDENCYPART_ARC
(8,9),4.5004 # DEPENDENCYPART_ARC
(8,10),1.63802 # DEPENDENCYPART_ARC
(8,11),1.1897 # DEPENDENCYPART_ARC
(8,12),0.476242 # DEPENDENCYPART_ARC
(8,13),0.0143415 # DEPENDENCYPART_ARC
(8,14),0.444334 # DEPENDENCYPART_ARC
(8,15),0.535316 # DEPENDENCYPART_ARC
(8,16),0.198876 # DEPENDENCYPART_ARC
(8,17),-0.00628779 # DEPENDENCYPART_ARC
(8,18),1.10448 # DEPENDENCYPART_ARC
(8,19),1.75464 # DEPENDENCYPART_ARC
(8,20),-0.488902 # DEPENDENCYPART_ARC
(8,21),-0.37777 # DEPENDENCYPART_ARC
(8,22),-0.809087 # DEPENDENCYPART_ARC
(8,23),-0.645813 # DEPENDENCYPART_ARC
(8,24),-0.627108 # DEPENDENCYPART_ARC
(8,25),4.68911 # DEPENDENCYPART_ARC
(9,1),-0.503435 # DEPENDENCYPART_ARC
(9,2),0.02369 # DEPENDENCYPART_ARC
(9,3),0.316252 # DEPENDENCYPART_ARC
(9,4),0.383082 # DEPENDENCYPART_ARC
(9,5),0.144032 # DEPENDENCYPART_ARC
(9,6),0.911267 # DEPENDENCYPART_ARC
(9,7),0.676951 # DEPENDENCYPART_ARC
(9,8),1.24862 # DEPENDENCYPART_ARC
(9,10),3.91937 # DEPENDENCYPART_ARC
(9,11),1.08525 # DEPENDENCYPART_ARC
(9,12),0.0708515 # DEPENDENCYPART_ARC
(9,13),-0.0353393 # DEPENDENCYPART_ARC
(9,14),0.037516 # DEPENDENCYPART_ARC
(9,15),0.925821 # DEPENDENCYPART_ARC
(9,16),-0.127273 # DEPENDENCYPART_ARC
(9,17),-1.19274 # DEPENDENCYPART_ARC
(9,18),-0.0353984 # DEPENDENCYPART_ARC
(9,19),-1.35154 # DEPENDENCYPART_ARC
(9,20),-1.975 # DEPENDENCYPART_ARC
(9,21),-1.67784 # DEPENDENCYPART_ARC
(9,22),-1.84215 # DEPENDENCYPART_ARC
(9,23),-2.6476 # DEPENDENCYPART_ARC
(9,24),-2.27082 # DEPENDENCYPART_ARC
(9,25),-0.0514739 # DEPENDENCYPART_ARC
(10,1),-0.866207 # DEPENDENCYPART_ARC
(10,2),-0.414778 # DEPENDENCYPART_ARC
(10,3),-0.178134 # DEPENDENCYPART_ARC
(10,4),-0.691422 # DEPENDENCYPART_ARC
(10,5),0.0647383 # DEPENDENCYPART_ARC
(10,6),0.517427 # DEPENDENCYPART_ARC
(10,7),0.521799 # DEPENDENCYPART_ARC
(10,8),0.14265 # DEPENDENCYPART_ARC
(10,9),0.569115 # DEPENDENCYPART_ARC
(10,11),3.96531 # DEPENDENCYPART_ARC
(10,12),1.25561 # DEPENDENCYPART_ARC
(10,13),0.656123 # DEPENDENCYPART_ARC
(10,14),1.07882 # DEPENDENCYPART_ARC
(10,15),2.66776 # DEPENDENCYPART_ARC
(10,16),0.533842 # DEPENDENCYPART_ARC
(10,17),0.117135 # DEPENDENCYPART_ARC
(10,18),1.52841 # DEPENDENCYPART_ARC
(10,19),-0.538155 # DEPENDENCYPART_ARC
(10,20),-0.84549 # DEPENDENCYPART_ARC
(10,21),-0.466116 # DEPENDENCYPART_ARC
(10,22),0.820452 # DEPENDENCYPART_ARC
(10,23),-1.6479 # DEPENDENCYPART_ARC
(10,24),-1.44619 # DEPENDENCYPART_ARC
(10,25),2.04596 # DEPENDENCYPART_ARC
(11,1),-1.34236 # DEPENDENCYPART_ARC
(11,2),-0.477618 # DEPENDENCYPART_ARC
(11,3),-1.16045 # DEPENDENCYPART_ARC
(11,4),-1.19862 # DEPENDENCYPART_ARC
(11,5),-0.88167 # DEPENDENCYPART_ARC
(11,6),-0.479782 # DEPENDENCYPART_ARC
(11,7),-0.707739 # DEPENDENCYPART_ARC
(11,8),-0.931818 # DEPENDENCYPART_ARC
(11,9),-0.235644 # DEPENDENCYPART_ARC
(11,10),0.387062 # DEPENDENCYPART_ARC
(11,12),1.65877 # DEPENDENCYPART_ARC
(11,13),1.22939 # DEPENDENCYPART_ARC
(11,14),3.78721 # DEPENDENCYPART_ARC
(11,15),0.965464 # DEPENDENCYPART_ARC
(11,16),1.53813 # DEPENDENCYPART_ARC
(11,17),0.78352 # DEPENDENCYPART_ARC
(11,18),0.820436 # DEPENDENCYPART_ARC
(11,19),-0.416768 # DEPENDENCYPART_ARC
(11,20),-2.28492 # DEPENDENCYPART_ARC
(11,21),-2.02825 # DEPENDENCYPART_ARC
(11,22),-0.937951 # DEPENDENCYPART_ARC
(11,23),-3.76718 # DEPENDENCYPART_ARC
(11,24),-3.60574 # DEPENDENCYPART_ARC
(11,25),0.0064363 # DEPENDENCYPART_ARC
(12,1),-2.49681 # DEPENDENCYPART_ARC
(12,2),-1.5584 # DEPENDENCYPART_ARC
(12,3),-1.86774 # DEPENDENCYPART_ARC
(12,4),-2.55027 # DEPENDENCYPART_ARC
(12,5),-2.04047 # DEPENDENCYPART_ARC
(12,6),-1.21199 # DEPENDENCYPART_ARC
(12,7),-2.11156 # DEPENDENCYPART_ARC
(12,8),-2.12165 # DEPENDENCYPART_ARC
(12,9),-1.62579 # DEPENDENCYPART_ARC
(12,10),-1.05291 # DEPENDENCYPART_ARC
(12,11),0.455979 # DEPENDENCYPART_ARC
(12,13),2.13939 # DEPENDENCYPART_ARC
(12,14),0.665442 # DEPENDENCYPART_ARC
(12,15),-0.435687 # DEPENDENCYPART_ARC
(12,16),0.179049 # DEPENDENCYPART_ARC
(12,17),-0.359091 # DEPENDENCYPART_ARC
(12,18),-0.0835562 # DEPENDENCYPART_ARC
(12,19),0.0636134 # DEPENDENCYPART_ARC
(12,20),-1.35924 # DEPENDENCYPART_ARC
(12,21),-1.40142 # DEPENDENCYPART_ARC
(12,22),-1.86802 # DEPENDENCYPART_ARC
(12,23),-1.64109 # DEPENDENCYPART_ARC
(12,24),-1.74219 # DEPENDENCYPART_ARC
(12,25),-1.02333 # DEPENDENCYPART_ARC
(13,1),-1.64257 # DEPENDENCYPART_ARC
(13,2),-0.810661 # DEPENDENCYPART_ARC
(13,3),-0.452612 # DEPENDENCYPART_ARC
(13,4),-1.50822 # DEPENDENCYPART_ARC
(13,5),-0.871201 # DEPENDENCYPART_ARC
(13,6),-0.00598611 # DEPENDENCYPART_ARC
(13,7),-0.693266 # DEPENDENCYPART_ARC
(13,8),-0.978425 # DEPENDENCYPART_ARC
(13,9),-0.286545 # DEPENDENCYPART_ARC
(13,10),-0.135127 # DEPENDENCYPART_ARC
(13,11),0.86798 # DEPENDENCYPART_ARC
(13,12),3.68066 # DEPENDENCYPART_ARC
(13,14),0.856929 # DEPENDENCYPART_ARC
(13,15),-0.664897 # DEPENDENCYPART_ARC
(13,16),-0.838178 # DEPENDENCYPART_ARC
(13,17),-0.764206 # DEPENDENCYPART_ARC
(13,18),-0.463197 # DEPENDENCYPART_ARC
(13,19),-0.591071 # DEPENDENCYPART_ARC
(13,20),-1.65346 # DEPENDENCYPART_ARC
(13,21),-1.77079 # DEPENDENCYPART_ARC
(13,22),-2.25224 # DEPENDENCYPART_ARC
(13,23),-1.95972 # DEPENDENCYPART_ARC
(13,24),-2.16099 # DEPENDENCYPART_ARC
(13,25),-0.303438 # DEPENDENCYPART_ARC
(14,1),-1.46873 # DEPENDENCYPART_ARC
(14,2),-0.615033 # DEPENDENCYPART_ARC
(14,3),-0.226571 # DEPENDENCYPART_ARC
(14,4),-0.688063 # DEPENDENCYPART_ARC
(14,5),-1.07386 # DEPENDENCYPART_ARC
(14,6),1.24985 # DEPENDENCYPART_ARC
(14,7),-0.284838 # DEPENDENCYPART_ARC
(14,8),-0.406344 # DEPENDENCYPART_ARC
(14,9),0.317439 # DEPENDENCYPART_ARC
(14,10),0.940335 # DEPENDENCYPART_ARC
(14,11),1.05886 # DEPENDENCYPART_ARC
(14,12),2.80624 # DEPENDENCYPART_ARC
(14,13),3.97837 # DEPENDENCYPART_ARC
(14,15),1.70664 # DEPENDENCYPART_ARC
(14,16),0.984424 # DEPENDENCYPART_ARC
(14,17),0.503529 # DEPENDENCYPART_ARC
(14,18),1.08014 # DEPENDENCYPART_ARC
(14,19),0.429411 # DEPENDENCYPART_ARC
(14,20),-0.739637 # DEPENDENCYPART_ARC
(14,21),-0.586684 # DEPENDENCYPART_ARC
(14,22),-0.230654 # DEPENDENCYPART_ARC
(14,23),-1.19111 # DEPENDENCYPART_ARC
(14,24),-0.867442 # DEPENDENCYPART_ARC
(14,25),0.705369 # DEPENDENCYPART_ARC
(15,1),-1.59036 # DEPENDENCYPART_ARC
(15,2),-0.792215 # DEPENDENCYPART_ARC
(15,3),-1.56798 # DEPENDENCYPART_ARC
(15,4),-1.91764 # DEPENDENCYPART_ARC
(15,5),-1.6354 # DEPENDENCYPART_ARC
(15,6),-0.854084 # DEPENDENCYPART_ARC
(15,7),-0.981899 # DEPENDENCYPART_ARC
(15,8),-1.52909 # DEPENDENCYPART_ARC
(15,9),-0.733676 # DEPENDENCYPART_ARC
(15,10),-0.700017 # DEPENDENCYPART_ARC
(15,11),0.633352 # DEPENDENCYPART_ARC
(15,12),0.518072 # DEPENDENCYPART_ARC
(15,13),-0.381301 # DEPENDENCYPART_ARC
(15,14),0.410508 # DEPENDENCYPART_ARC
(15,16),3.60307 # DEPENDENCYPART_ARC
(15,17),2.265 # DEPENDENCYPART_ARC
(15,18),1.23307 # DEPENDENCYPART_ARC
(15,19),0.760175 # DEPENDENCYPART_ARC
(15,20),-1.44757 # DEPENDENCYPART_ARC
(15,21),-1.44312 # DEPENDENCYPART_ARC
(15,22),-0.362237 # DEPENDENCYPART_ARC
(15,23),-2.61742 # DEPENDENCYPART_ARC
(15,24),-2.00045 # DEPENDENCYPART_ARC
(15,25),0.0399943 # DEPENDENCYPART_ARC
(16,1),-1.65342 # DEPENDENCYPART_ARC
(16,2),-1.82262 # DEPENDENCYPART_ARC
(16,3),-1.84002 # DEPENDENCYPART_ARC
(16,4),-1.31592 # DEPENDENCYPART_ARC
(16,5),-1.29269 # DEPENDENCYPART_ARC
(16,6),-0.475868 # DEPENDENCYPART_ARC
(16,7),-0.744912 # DEPENDENCYPART_ARC
(16,8),-1.67627 # DEPENDENCYPART_ARC
(16,9),-1.07087 # DEPENDENCYPART_ARC
(16,10),-0.649486 # DEPENDENCYPART_ARC
(16,11),-0.304121 # DEPENDENCYPART_ARC
(16,12),0.216006 # DEPENDENCYPART_ARC
(16,13),-0.200065 # DEPENDENCYPART_ARC
(16,14),0.122739 # DEPENDENCYPART_ARC
(16,15),0.564465 # DEPENDENCYPART_ARC
(16,17),3.45894 # DEPENDENCYPART_ARC
(16,18),1.21982 # DEPENDENCYPART_ARC
(16,19),0.81216 # DEPENDENCYPART_ARC
(16,20),0.302585 # DEPENDENCYPART_ARC
(16,21),0.894474 # DEPENDENCYPART_ARC
(16,22),0.344548 # DEPENDENCYPART_ARC
(16,23),-0.585044 # DEPENDENCYPART_ARC
(16,24),-0.0863233 # DEPENDENCYPART_ARC
(16,25),-0.152326 # DEPENDENCYPART_ARC
(17,1),-2.88844 # DEPENDENCYPART_ARC
(17,2),-2.02956 # DEPENDENCYPART_ARC
(17,3),-1.8755 # DEPENDENCYPART_ARC
(17,4),-2.238 # DEPENDENCYPART_ARC
(17,5),-2.38298 # DEPENDENCYPART_ARC
(17,6),-1.47768 # DEPENDENCYPART_ARC
(17,7),-1.57729 # DEPENDENCYPART_ARC
(17,8),-1.40883 # DEPENDENCYPART_ARC
(17,9),-1.10131 # DEPENDENCYPART_ARC
(17,10),-0.853419 # DEPENDENCYPART_ARC
(17,11),-0.86165 # DEPENDENCYPART_ARC
(17,12),0.244604 # DEPENDENCYPART_ARC
(17,13),1.17179 # DEPENDENCYPART_ARC
(17,14),0.173441 # DEPENDENCYPART_ARC
(17,15),0.770546 # DEPENDENCYPART_ARC
(17,16),3.13332 # DEPENDENCYPART_ARC
(17,18),0.932803 # DEPENDENCYPART_ARC
(17,19),0.112193 # DEPENDENCYPART_ARC
(17,20),-0.0566913 # DEPENDENCYPART_ARC
(17,21),-0.415524 # DEPENDENCYPART_ARC
(17,22),-0.579674 # DEPENDENCYPART_ARC
(17,23),-0.772479 # DEPENDENCYPART_ARC
(17,24),-1.13664 # DEPENDENCYPART_ARC
(17,25),-0.569602 # DEPENDENCYPART_ARC
(18,1),-1.63257 # DEPENDENCYPART_ARC
(18,2),-2.37249 # DEPENDENCYPART_ARC
(18,3),-2.43349 # DEPENDENCYPART_ARC
(18,4),-2.04952 # DEPENDENCYPART_ARC
(18,5),-0.381133 # DEPENDENCYPART_ARC
(18,6),-1.80364 # DEPENDENCYPART_ARC
(18,7),-1.79475 # DEPENDENCYPART_ARC
(18,8),-2.07581 # DEPENDENCYPART_ARC
(18,9),-1.72132 # DEPENDENCYPART_ARC
(18,10),-0.974183 # DEPENDENCYPART_ARC
(18,11),-1.41824 # DEPENDENCYPART_ARC
(18,12),-1.85947 # DEPENDENCYPART_ARC
(18,13),-1.39246 # DEPENDENCYPART_ARC
(18,14),-1.19268 # DEPENDENCYPART_ARC
(18,15),-0.754329 # DEPENDENCYPART_ARC
(18,16),-0.566095 # DEPENDENCYPART_ARC
(18,17),-0.552155 # DEPENDENCYPART_ARC
(18,19),-0.332824 # DEPENDENCYPART_ARC
(18,20),-1.22052 # DEPENDENCYPART_ARC
(18,21),-1.48841 # DEPENDENCYPART_ARC
(18,22),-1.80965 # DEPENDENCYPART_ARC
(18,23),-1.92707 # DEPENDENCYPART_ARC
(18,24),-2.37969 # DEPENDENCYPART_ARC
(18,25),-1.77131 # DEPENDENCYPART_ARC
(19,1),0.337937 # DEPENDENCYPART_ARC
(19,2),-1.80264 # DEPENDENCYPART_ARC
(19,3),-0.595591 # DEPENDENCYPART_ARC
(19,4),-1.6374 # DEPENDENCYPART_ARC
(19,5),0.500689 # DEPENDENCYPART_ARC
(19,6),-1.77876 # DEPENDENCYPART_ARC
(19,7),-0.585559 # DEPENDENCYPART_ARC
(19,8),1.76008 # DEPENDENCYPART_ARC
(19,9),0.296475 # DEPENDENCYPART_ARC
(19,10),1.25124 # DEPENDENCYPART_ARC
(19,11),-0.0582113 # DEPENDENCYPART_ARC
(19,12),0.156052 # DEPENDENCYPART_ARC
(19,13),-0.445625 # DEPENDENCYPART_ARC
(19,14),0.0339928 # DEPENDENCYPART_ARC
(19,15),0.0824655 # DEPENDENCYPART_ARC
(19,16),1.15368 # DEPENDENCYPART_ARC
(19,17),0.327985 # DEPENDENCYPART_ARC
(19,18),3.30126 # DEPENDENCYPART_ARC
(19,20),1.71399 # DEPENDENCYPART_ARC
(19,21),2.33873 # DEPENDENCYPART_ARC
(19,22),0.249487 # DEPENDENCYPART_ARC
(19,23),0.666504 # DEPENDENCYPART_ARC
(19,24),1.29278 # DEPENDENCYPART_ARC
(19,25),7.75487 # DEPENDENCYPART_ARC
(20,1),-4.82516 # DEPENDENCYPART_ARC
(20,2),-4.31274 # DEPENDENCYPART_ARC
(20,3),-4.65142 # DEPENDENCYPART_ARC
(20,4),-4.89774 # DEPENDENCYPART_ARC
(20,5),-4.26651 # DEPENDENCYPART_ARC
(20,6),-4.10692 # DEPENDENCYPART_ARC
(20,7),-5.03872 # DEPENDENCYPART_ARC
(20,8),-4.02862 # DEPENDENCYPART_ARC
(20,9),-3.52006 # DEPENDENCYPART_ARC
(20,10),-3.30024 # DEPENDENCYPART_ARC
(20,11),-2.87239 # DEPENDENCYPART_ARC
(20,12),-2.76801 # DEPENDENCYPART_ARC
(20,13),-2.64485 # DEPENDENCYPART_ARC
(20,14),-3.67474 # DEPENDENCYPART_ARC
(20,15),-1.95931 # DEPENDENCYPART_ARC
(20,16),-1.2352 # DEPENDENCYPART_ARC
(20,17),-1.73042 # DEPENDENCYPART_ARC
(20,18),-0.993949 # DEPENDENCYPART_ARC
(20,19),-0.656509 # DEPENDENCYPART_ARC
(20,21),1.41746 # DEPENDENCYPART_ARC
(20,22),1.44096 # DEPENDENCYPART_ARC
(20,23),-0.437357 # DEPENDENCYPART_ARC
(20,24),-0.197085 # DEPENDENCYPART_ARC
(20,25),-0.0756864 # DEPENDENCYPART_ARC
(21,1),-3.50784 # DEPENDENCYPART_ARC
(21,2),-3.17017 # DEPENDENCYPART_ARC
(21,3),-3.4957 # DEPENDENCYPART_ARC
(21,4),-3.55611 # DEPENDENCYPART_ARC
(21,5),-2.87594 # DEPENDENCYPART_ARC
