# _root_ Foreign stock markets , which kicked off Black Monday with a huge selling spree , began the day off by relatively modest amounts .
#goldHeads=3,3,16,3,6,3,6,9,6,6,14,14,14,10,3,0,18,16,16,19,23,23,20,16,
#predictedHeads=3,3,16,3,6,3,6,9,6,6,14,14,14,10,16,0,18,16,18,19,22,23,20,16,
(4,3),-1.17122 # DEPENDENCYPART_ARC
(4,5),-0.871935 # DEPENDENCYPART_ARC
(4,6),-0.556396 # DEPENDENCYPART_ARC
(4,7),-1.21331 # DEPENDENCYPART_ARC
(4,8),-1.42109 # DEPENDENCYPART_ARC
(4,9),-1.61275 # DEPENDENCYPART_ARC
(4,10),-1.66195 # DEPENDENCYPART_ARC
(4,11),-2.12062 # DEPENDENCYPART_ARC
(4,12),-2.3294 # DEPENDENCYPART_ARC
(4,13),-2.69251 # DEPENDENCYPART_ARC
(4,14),-2.76351 # DEPENDENCYPART_ARC
(4,15),-1.14739 # DEPENDENCYPART_ARC
(4,16),-2.1575 # DEPENDENCYPART_ARC
(4,17),-2.80603 # DEPENDENCYPART_ARC
(4,18),-3.23926 # DEPENDENCYPART_ARC
(4,19),-3.08662 # DEPENDENCYPART_ARC
(4,20),-2.36891 # DEPENDENCYPART_ARC
(4,21),-3.04826 # DEPENDENCYPART_ARC
(4,22),-3.42525 # DEPENDENCYPART_ARC
(4,23),-3.73294 # DEPENDENCYPART_ARC
(4,24),-2.70903 # DEPENDENCYPART_ARC
(5,1),-0.833047 # DEPENDENCYPART_ARC
(5,2),-0.839741 # DEPENDENCYPART_ARC
(5,3),-0.864354 # DEPENDENCYPART_ARC
(5,4),0.176936 # DEPENDENCYPART_ARC
(5,6),0.977021 # DEPENDENCYPART_ARC
(5,7),-0.110771 # DEPENDENCYPART_ARC
(5,8),-0.550734 # DEPENDENCYPART_ARC
(5,9),-0.814236 # DEPENDENCYPART_ARC
(5,10),-0.979405 # DEPENDENCYPART_ARC
(5,11),-1.591 # DEPENDENCYPART_ARC
(5,12),-1.56162 # DEPENDENCYPART_ARC
(5,13),-1.27777 # DEPENDENCYPART_ARC
(5,14),-1.37146 # DEPENDENCYPART_ARC
(5,15),-1.06867 # DEPENDENCYPART_ARC
(5,16),-1.99453 # DEPENDENCYPART_ARC
(5,17),-2.37368 # DEPENDENCYPART_ARC
(5,18),-1.78833 # DEPENDENCYPART_ARC
(5,19),-2.44651 # DEPENDENCYPART_ARC
(5,20),-2.1188 # DEPENDENCYPART_ARC
(5,21),-2.52202 # DEPENDENCYPART_ARC
(5,22),-2.73168 # DEPENDENCYPART_ARC
(5,23),-2.85655 # DEPENDENCYPART_ARC
(5,24),-2.02433 # DEPENDENCYPART_ARC
(6,1),-0.346793 # DEPENDENCYPART_ARC
(6,2),-0.068944 # DEPENDENCYPART_ARC
(6,3),-0.173548 # DEPENDENCYPART_ARC
(6,4),0.833988 # DEPENDENCYPART_ARC
(6,5),3.65918 # DEPENDENCYPART_ARC
(6,7),3.40964 # DEPENDENCYPART_ARC
(6,8),1.95718 # DEPENDENCYPART_ARC
(6,9),2.6956 # DEPENDENCYPART_ARC
(6,10),3.36743 # DEPENDENCYPART_ARC
(6,11),-0.290847 # DEPENDENCYPART_ARC
(6,12),-0.0571513 # DEPENDENCYPART_ARC
(6,13),0.998685 # DEPENDENCYPART_ARC
(6,14),1.49892 # DEPENDENCYPART_ARC
(6,15),1.77501 # DEPENDENCYPART_ARC
(6,16),1.04807 # DEPENDENCYPART_ARC
(6,17),-0.849825 # DEPENDENCYPART_ARC
(6,18),0.319341 # DEPENDENCYPART_ARC
(6,19),0.0230653 # DEPENDENCYPART_ARC
(6,20),1.21174 # DEPENDENCYPART_ARC
(6,21),-0.205829 # DEPENDENCYPART_ARC
(6,22),-1.17917 # DEPENDENCYPART_ARC
(6,23),-0.963468 # DEPENDENCYPART_ARC
(6,24),0.394702 # DEPENDENCYPART_ARC
(7,1),-0.749252 # DEPENDENCYPART_ARC
(7,2),-0.863993 # DEPENDENCYPART_ARC
(7,3),-0.735666 # DEPENDENCYPART_ARC
(7,4),-0.0814296 # DEPENDENCYPART_ARC
(7,5),0.700212 # DEPENDENCYPART_ARC
(7,6),0.138955 # DEPENDENCYPART_ARC
(7,8),1.15215 # DEPENDENCYPART_ARC
(7,9),0.677085 # DEPENDENCYPART_ARC
(7,10),0.243544 # DEPENDENCYPART_ARC
(7,11),-0.842121 # DEPENDENCYPART_ARC
(7,12),-0.448646 # DEPENDENCYPART_ARC
(7,13),0.301169 # DEPENDENCYPART_ARC
(7,14),0.399861 # DEPENDENCYPART_ARC
(7,15),-0.451818 # DEPENDENCYPART_ARC
(7,16),-0.558739 # DEPENDENCYPART_ARC
(7,17),-1.42302 # DEPENDENCYPART_ARC
(7,18),0.0806272 # DEPENDENCYPART_ARC
(7,19),-1.42667 # DEPENDENCYPART_ARC
(7,20),-0.796697 # DEPENDENCYPART_ARC
(7,21),-1.60005 # DEPENDENCYPART_ARC
(7,22),-1.64821 # DEPENDENCYPART_ARC
(7,23),-1.11438 # DEPENDENCYPART_ARC
(7,24),-0.922597 # DEPENDENCYPART_ARC
(8,1),-1.65663 # DEPENDENCYPART_ARC
(8,2),-2.15977 # DEPENDENCYPART_ARC
(8,3),-1.93726 # DEPENDENCYPART_ARC
(8,4),-1.50113 # DEPENDENCYPART_ARC
(8,5),-0.958664 # DEPENDENCYPART_ARC
(8,6),-0.789918 # DEPENDENCYPART_ARC
(8,7),0.46403 # DEPENDENCYPART_ARC
(8,9),1.54376 # DEPENDENCYPART_ARC
(8,10),0.235988 # DEPENDENCYPART_ARC
(8,11),-0.385097 # DEPENDENCYPART_ARC
(8,12),-0.324013 # DEPENDENCYPART_ARC
(8,13),-0.307789 # DEPENDENCYPART_ARC
(8,14),-0.0611264 # DEPENDENCYPART_ARC
(8,15),1.19314 # DEPENDENCYPART_ARC
(8,16),-1.46536 # DEPENDENCYPART_ARC
(8,17),-1.11019 # DEPENDENCYPART_ARC
(8,18),-2.23122 # DEPENDENCYPART_ARC
(8,19),-1.75205 # DEPENDENCYPART_ARC
(8,20),-2.53991 # DEPENDENCYPART_ARC
(8,21),-2.04691 # DEPENDENCYPART_ARC
(8,22),-2.13843 # DEPENDENCYPART_ARC
(8,23),-1.98955 # DEPENDENCYPART_ARC
(8,24),-0.0919686 # DEPENDENCYPART_ARC
(9,1),-0.169239 # DEPENDENCYPART_ARC
(9,2),-1.21719 # DEPENDENCYPART_ARC
(9,3),-1.56474 # DEPENDENCYPART_ARC
(9,4),-0.460756 # DEPENDENCYPART_ARC
(9,5),-0.344664 # DEPENDENCYPART_ARC
(9,6),-0.101112 # DEPENDENCYPART_ARC
(9,7),0.936967 # DEPENDENCYPART_ARC
(9,8),3.82363 # DEPENDENCYPART_ARC
(9,10),1.16489 # DEPENDENCYPART_ARC
(9,11),0.246854 # DEPENDENCYPART_ARC
(9,12),0.322322 # DEPENDENCYPART_ARC
(9,13),0.612065 # DEPENDENCYPART_ARC
(9,14),1.24329 # DEPENDENCYPART_ARC
(9,15),1.36309 # DEPENDENCYPART_ARC
(9,16),-0.753477 # DEPENDENCYPART_ARC
(9,17),-0.681163 # DEPENDENCYPART_ARC
(9,18),-1.58561 # DEPENDENCYPART_ARC
(9,19),-1.07163 # DEPENDENCYPART_ARC
(9,20),-1.85675 # DEPENDENCYPART_ARC
(9,21),-1.3533 # DEPENDENCYPART_ARC
(9,22),-1.53071 # DEPENDENCYPART_ARC
(9,23),-1.39112 # DEPENDENCYPART_ARC
(9,24),0.392664 # DEPENDENCYPART_ARC
(10,1),-1.38901 # DEPENDENCYPART_ARC
(10,2),-2.11815 # DEPENDENCYPART_ARC
(10,3),-1.67741 # DEPENDENCYPART_ARC
(10,4),-1.52601 # DEPENDENCYPART_ARC
(10,5),-0.0292747 # DEPENDENCYPART_ARC
(10,6),-0.94993 # DEPENDENCYPART_ARC
(10,7),-0.527504 # DEPENDENCYPART_ARC
(10,8),-0.403041 # DEPENDENCYPART_ARC
(10,9),-0.088149 # DEPENDENCYPART_ARC
(10,11),0.634801 # DEPENDENCYPART_ARC
(10,12),1.95182 # DEPENDENCYPART_ARC
(10,13),2.21916 # DEPENDENCYPART_ARC
(10,14),3.29698 # DEPENDENCYPART_ARC
(10,15),0.598776 # DEPENDENCYPART_ARC
(10,16),0.377267 # DEPENDENCYPART_ARC
(10,17),-1.83173 # DEPENDENCYPART_ARC
(10,18),-2.0249 # DEPENDENCYPART_ARC
(10,19),0.740218 # DEPENDENCYPART_ARC
(10,20),-0.261895 # DEPENDENCYPART_ARC
(10,21),-0.595228 # DEPENDENCYPART_ARC
(10,22),-0.0774151 # DEPENDENCYPART_ARC
(10,23),-2.77736 # DEPENDENCYPART_ARC
(10,24),0.48846 # DEPENDENCYPART_ARC
(11,1),-2.70023 # DEPENDENCYPART_ARC
(11,2),-3.00327 # DEPENDENCYPART_ARC
(11,3),-2.71395 # DEPENDENCYPART_ARC
(11,4),-2.36837 # DEPENDENCYPART_ARC
(11,5),-1.44629 # DEPENDENCYPART_ARC
(11,6),-2.25107 # DEPENDENCYPART_ARC
(11,7),-1.85221 # DEPENDENCYPART_ARC
(11,8),-1.53596 # DEPENDENCYPART_ARC
(11,9),-1.50939 # DEPENDENCYPART_ARC
(11,10),-0.332558 # DEPENDENCYPART_ARC
(11,12),0.678043 # DEPENDENCYPART_ARC
(11,13),0.0661926 # DEPENDENCYPART_ARC
(11,14),-0.109196 # DEPENDENCYPART_ARC
(11,15),-0.846032 # DEPENDENCYPART_ARC
(11,16),-0.564917 # DEPENDENCYPART_ARC
(11,17),-1.62975 # DEPENDENCYPART_ARC
(11,18),-0.869409 # DEPENDENCYPART_ARC
(11,19),-1.29035 # DEPENDENCYPART_ARC
(11,20),-1.47435 # DEPENDENCYPART_ARC
(11,21),-1.36887 # DEPENDENCYPART_ARC
(11,22),-1.97768 # DEPENDENCYPART_ARC
(11,23),-2.00243 # DEPENDENCYPART_ARC
(11,24),-1.08055 # DEPENDENCYPART_ARC
(12,1),-1.68823 # DEPENDENCYPART_ARC
(12,2),-2.2018 # DEPENDENCYPART_ARC
(12,3),-2.08726 # DEPENDENCYPART_ARC
(12,4),-1.39525 # DEPENDENCYPART_ARC
(12,5),-0.825177 # DEPENDENCYPART_ARC
(12,6),-1.91845 # DEPENDENCYPART_ARC
(12,7),-1.13432 # DEPENDENCYPART_ARC
(12,8),-0.313396 # DEPENDENCYPART_ARC
(12,9),-0.851906 # DEPENDENCYPART_ARC
(12,10),-0.134436 # DEPENDENCYPART_ARC
(12,11),1.74004 # DEPENDENCYPART_ARC
(12,13),1.30777 # DEPENDENCYPART_ARC
(12,14),0.442517 # DEPENDENCYPART_ARC
(12,15),0.401351 # DEPENDENCYPART_ARC
(12,16),0.284132 # DEPENDENCYPART_ARC
(12,17),-1.05098 # DEPENDENCYPART_ARC
(12,18),-0.988829 # DEPENDENCYPART_ARC
(12,19),-0.684943 # DEPENDENCYPART_ARC
(12,20),-1.08864 # DEPENDENCYPART_ARC
(12,21),-1.05368 # DEPENDENCYPART_ARC
(12,22),-0.8237 # DEPENDENCYPART_ARC
(12,23),-1.16112 # DEPENDENCYPART_ARC
(12,24),-0.447818 # DEPENDENCYPART_ARC
(13,1),-2.9765 # DEPENDENCYPART_ARC
(13,2),-4.34077 # DEPENDENCYPART_ARC
(13,3),-3.60443 # DEPENDENCYPART_ARC
(13,4),-3.13645 # DEPENDENCYPART_ARC
(13,5),-2.36234 # DEPENDENCYPART_ARC
(13,6),-2.29088 # DEPENDENCYPART_ARC
(13,7),-2.18048 # DEPENDENCYPART_ARC
(13,8),-1.06047 # DEPENDENCYPART_ARC
(13,9),-1.8827 # DEPENDENCYPART_ARC
(13,10),-0.954435 # DEPENDENCYPART_ARC
(13,11),2.5025 # DEPENDENCYPART_ARC
(13,12),2.37359 # DEPENDENCYPART_ARC
(13,14),0.708254 # DEPENDENCYPART_ARC
(13,15),0.569433 # DEPENDENCYPART_ARC
(13,16),0.433329 # DEPENDENCYPART_ARC
(13,17),-0.99009 # DEPENDENCYPART_ARC
(13,18),-1.20225 # DEPENDENCYPART_ARC
(13,19),-0.706262 # DEPENDENCYPART_ARC
(13,20),-1.05482 # DEPENDENCYPART_ARC
(13,21),-1.32876 # DEPENDENCYPART_ARC
(13,22),-1.27923 # DEPENDENCYPART_ARC
(13,23),-1.37344 # DEPENDENCYPART_ARC
(13,24),-0.0472722 # DEPENDENCYPART_ARC
(14,1),-0.362911 # DEPENDENCYPART_ARC
(14,2),-1.50189 # DEPENDENCYPART_ARC
(14,3),-1.78001 # DEPENDENCYPART_ARC
(14,4),-1.11593 # DEPENDENCYPART_ARC
(14,5),-0.0849647 # DEPENDENCYPART_ARC
(14,6),-0.46277 # DEPENDENCYPART_ARC
(14,7),-0.146514 # DEPENDENCYPART_ARC
(14,8),1.07913 # DEPENDENCYPART_ARC
(14,9),0.23831 # DEPENDENCYPART_ARC
(14,10),0.516188 # DEPENDENCYPART_ARC
(14,11),4.48389 # DEPENDENCYPART_ARC
(14,12),4.08798 # DEPENDENCYPART_ARC
(14,13),4.31608 # DEPENDENCYPART_ARC
(14,15),1.61334 # DEPENDENCYPART_ARC
(14,16),0.869146 # DEPENDENCYPART_ARC
(14,17),-0.466035 # DEPENDENCYPART_ARC
(14,18),0.0498288 # DEPENDENCYPART_ARC
(14,19),-0.18531 # DEPENDENCYPART_ARC
(14,20),-0.680257 # DEPENDENCYPART_ARC
(14,21),-0.46076 # DEPENDENCYPART_ARC
(14,22),-0.96123 # DEPENDENCYPART_ARC
(14,23),-0.359802 # DEPENDENCYPART_ARC
(14,24),0.423645 # DEPENDENCYPART_ARC
(15,1),-2.63124 # DEPENDENCYPART_ARC
(15,2),-2.21932 # DEPENDENCYPART_ARC
(15,3),-2.28904 # DEPENDENCYPART_ARC
(15,4),-0.83401 # DEPENDENCYPART_ARC
(15,5),-1.57816 # DEPENDENCYPART_ARC
(15,6),-1.8648 # DEPENDENCYPART_ARC
(15,7),-1.9551 # DEPENDENCYPART_ARC
(15,8),-2.00846 # DEPENDENCYPART_ARC
(15,9),-1.88605 # DEPENDENCYPART_ARC
(15,10),-1.65469 # DEPENDENCYPART_ARC
(15,11),-0.976743 # DEPENDENCYPART_ARC
(15,12),-1.09234 # DEPENDENCYPART_ARC
(15,13),-1.55235 # DEPENDENCYPART_ARC
(15,14),-0.903513 # DEPENDENCYPART_ARC
(15,16),-0.110703 # DEPENDENCYPART_ARC
(15,17),-1.3601 # DEPENDENCYPART_ARC
(15,18),-1.68387 # DEPENDENCYPART_ARC
(15,19),-1.8157 # DEPENDENCYPART_ARC
(15,20),-1.67916 # DEPENDENCYPART_ARC
(15,21),-2.03143 # DEPENDENCYPART_ARC
(15,22),-2.32759 # DEPENDENCYPART_ARC
(15,23),-2.66366 # DEPENDENCYPART_ARC
(15,24),-1.86383 # DEPENDENCYPART_ARC
(16,1),0.451099 # DEPENDENCYPART_ARC
(16,2),0.127012 # DEPENDENCYPART_ARC
(16,3),0.665352 # DEPENDENCYPART_ARC
(16,4),1.32478 # DEPENDENCYPART_ARC
(16,5),1.31422 # DEPENDENCYPART_ARC
(16,6),0.724628 # DEPENDENCYPART_ARC
(16,7),-0.0441046 # DEPENDENCYPART_ARC
(16,8),1.86616 # DEPENDENCYPART_ARC
(16,9),2.18738 # DEPENDENCYPART_ARC
(16,10),1.50466 # DEPENDENCYPART_ARC
(16,11),0.544845 # DEPENDENCYPART_ARC
(16,12),0.95181 # DEPENDENCYPART_ARC
(16,13),1.99273 # DEPENDENCYPART_ARC
(16,14),1.62482 # DEPENDENCYPART_ARC
(16,15),2.21512 # DEPENDENCYPART_ARC
(16,17),1.3783 # DEPENDENCYPART_ARC
(16,18),2.97339 # DEPENDENCYPART_ARC
(16,19),2.00301 # DEPENDENCYPART_ARC
(16,20),1.82508 # DEPENDENCYPART_ARC
(16,21),0.594522 # DEPENDENCYPART_ARC
(16,22),0.224732 # DEPENDENCYPART_ARC
(16,23),0.251419 # DEPENDENCYPART_ARC
(16,24),5.55314 # DEPENDENCYPART_ARC
(17,1),-3.57228 # DEPENDENCYPART_ARC
(17,2),-3.93037 # DEPENDENCYPART_ARC
(17,3),-3.58789 # DEPENDENCYPART_ARC
(17,4),-3.06234 # DEPENDENCYPART_ARC
(17,5),-2.35231 # DEPENDENCYPART_ARC
(17,6),-2.96679 # DEPENDENCYPART_ARC
(17,7),-2.86742 # DEPENDENCYPART_ARC
(17,8),-2.82478 # DEPENDENCYPART_ARC
(17,9),-2.74847 # DEPENDENCYPART_ARC
(17,10),-2.23342 # DEPENDENCYPART_ARC
(17,11),-1.79484 # DEPENDENCYPART_ARC
(17,12),-2.11815 # DEPENDENCYPART_ARC
(17,13),-2.2466 # DEPENDENCYPART_ARC
(17,14),-1.92633 # DEPENDENCYPART_ARC
(17,15),-1.37498 # DEPENDENCYPART_ARC
(17,16),-0.9731 # DEPENDENCYPART_ARC
(17,18),-0.322474 # DEPENDENCYPART_ARC
(17,19),-1.13691 # DEPENDENCYPART_ARC
(17,20),-1.50633 # DEPENDENCYPART_ARC
(17,21),-1.75239 # DEPENDENCYPART_ARC
(17,22),-1.96146 # DEPENDENCYPART_ARC
(17,23),-1.96323 # DEPENDENCYPART_ARC
(17,24),-1.57389 # DEPENDENCYPART_ARC
(18,1),-3.2667 # DEPENDENCYPART_ARC
(18,2),-4.53251 # DEPENDENCYPART_ARC
(18,3),-4.10722 # DEPENDENCYPART_ARC
(18,4),-2.47631 # DEPENDENCYPART_ARC
(18,5),-2.24357 # DEPENDENCYPART_ARC
(18,6),-2.12683 # DEPENDENCYPART_ARC
(18,7),-2.29704 # DEPENDENCYPART_ARC
(18,8),-3.33721 # DEPENDENCYPART_ARC
(18,9),-4.4269 # DEPENDENCYPART_ARC
(18,10),-0.722853 # DEPENDENCYPART_ARC
(18,11),0.684701 # DEPENDENCYPART_ARC
(18,12),-0.204617 # DEPENDENCYPART_ARC
(18,13),-0.412861 # DEPENDENCYPART_ARC
(18,14),-1.43182 # DEPENDENCYPART_ARC
(18,15),0.135269 # DEPENDENCYPART_ARC
(18,16),0.168111 # DEPENDENCYPART_ARC
(18,17),4.46756 # DEPENDENCYPART_ARC
(18,19),2.20867 # DEPENDENCYPART_ARC
(18,20),0.840762 # DEPENDENCYPART_ARC
(18,21),0.502702 # DEPENDENCYPART_ARC
(18,22),0.579328 # DEPENDENCYPART_ARC
(18,23),0.165457 # DEPENDENCYPART_ARC
(18,24),0.674416 # DEPENDENCYPART_ARC
(19,1),-1.8471 # DEPENDENCYPART_ARC
(19,2),-1.7849 # DEPENDENCYPART_ARC
(19,3),-2.23598 # DEPENDENCYPART_ARC
(19,4),-1.76912 # DEPENDENCYPART_ARC
(19,5),-1.09664 # DEPENDENCYPART_ARC
(19,6),-2.07626 # DEPENDENCYPART_ARC
(19,7),-1.53206 # DEPENDENCYPART_ARC
(19,8),-1.73436 # DEPENDENCYPART_ARC
(19,9),-2.08728 # DEPENDENCYPART_ARC
(19,10),-1.42429 # DEPENDENCYPART_ARC
(19,11),1.4733 # DEPENDENCYPART_ARC
(19,12),-0.167005 # DEPENDENCYPART_ARC
(19,13),-0.432351 # DEPENDENCYPART_ARC
(19,14),-0.362532 # DEPENDENCYPART_ARC
(19,15),-0.314804 # DEPENDENCYPART_ARC
(19,16),-0.564582 # DEPENDENCYPART_ARC
(19,17),1.92164 # DEPENDENCYPART_ARC
(19,18),0.847332 # DEPENDENCYPART_ARC
(19,20),2.58022 # DEPENDENCYPART_ARC
(19,21),1.03005 # DEPENDENCYPART_ARC
(19,22),1.06092 # DEPENDENCYPART_ARC
(19,23),0.801046 # DEPENDENCYPART_ARC
(19,24),0.595321 # DEPENDENCYPART_ARC
(20,1),-2.64791 # DEPENDENCYPART_ARC
(20,2),-3.77876 # DEPENDENCYPART_ARC
(20,3),-2.92463 # DEPENDENCYPART_ARC
(20,4),-2.59985 # DEPENDENCYPART_ARC
(20,5),-0.894359 # DEPENDENCYPART_ARC
(20,6),-2.3978 # DEPENDENCYPART_ARC
(20,7),-2.19664 # DEPENDENCYPART_ARC
(20,8),-2.30039 # DEPENDENCYPART_ARC
(20,9),-2.44066 # DEPENDENCYPART_ARC
(20,10),-1.50218 # DEPENDENCYPART_ARC
(20,11),-1.35619 # DEPENDENCYPART_ARC
(20,12),-1.557 # DEPENDENCYPART_ARC
(20,13),-1.95871 # DEPENDENCYPART_ARC
(20,14),-2.09846 # DEPENDENCYPART_ARC
(20,15),-1.07949 # DEPENDENCYPART_ARC
(20,16),-1.10782 # DEPENDENCYPART_ARC
(20,17),-0.119051 # DEPENDENCYPART_ARC
(20,18),-0.425532 # DEPENDENCYPART_ARC
(20,19),0.311927 # DEPENDENCYPART_ARC
(20,21),1.75799 # DEPENDENCYPART_ARC
(20,22),0.92488 # DEPENDENCYPART_ARC
(20,23),3.50939 # DEPENDENCYPART_ARC
(20,24),-0.11993 # DEPENDENCYPART_ARC
(21,1),-2.15684 # DEPENDENCYPART_ARC
(21,2),-3.73145 # DEPENDENCYPART_ARC
(21,3),-3.30357 # DEPENDENCYPART_ARC
(21,4),-2.41223 # DEPENDENCYPART_ARC
(21,5),-2.56936 # DEPENDENCYPART_ARC
(21,6),-2.73571 # DEPENDENCYPART_ARC
(21,7),-2.4073 # DEPENDENCYPART_ARC
(21,8),-2.73363 # DEPENDENCYPART_ARC
(21,9),-2.71631 # DEPENDENCYPART_ARC
(21,10),-2.23825 # DEPENDENCYPART_ARC
(21,11),-0.90926 # DEPENDENCYPART_ARC
(21,12),-1.18289 # DEPENDENCYPART_ARC
(21,13),-2.34 # DEPENDENCYPART_ARC
(21,14),-2.26296 # DEPENDENCYPART_ARC
(21,15),-1.33304 # DEPENDENCYPART_ARC
(21,16),-1.80694 # DEPENDENCYPART_ARC
(21,17),-0.264339 # DEPENDENCYPART_ARC
(21,18),-0.869344 # DEPENDENCYPART_ARC
(21,19),-0.285963 # DEPENDENCYPART_ARC
(21,20),0.974397 # DEPENDENCYPART_ARC
(21,22),1.71479 # DEPENDENCYPART_ARC
(21,23),0.455428 # DEPENDENCYPART_ARC
(21,24),-0.298332 # DEPENDENCYPART_ARC
(22,1),-1.78551 # DEPENDENCYPART_ARC
(22,2),-1.90912 # DEPENDENCYPART_ARC
(22,3),-2.32636 # DEPENDENCYPART_ARC
(22,4),-1.29664 # DEPENDENCYPART_ARC
