# _root_ At 3:30 , after intense telephone negotiations between the trading markets and Washington , the futures exchanges reopened .
#goldHeads=18,1,18,18,7,7,4,7,11,11,8,11,12,18,17,17,18,0,18,
#predictedHeads=18,1,18,18,7,7,4,7,11,11,8,11,12,18,17,17,18,0,18,
(3,6),-1.66705 # DEPENDENCYPART_ARC
(3,7),-1.79633 # DEPENDENCYPART_ARC
(3,8),-1.65994 # DEPENDENCYPART_ARC
(3,9),-2.0984 # DEPENDENCYPART_ARC
(3,10),-2.55387 # DEPENDENCYPART_ARC
(3,11),-2.57285 # DEPENDENCYPART_ARC
(3,12),-2.06267 # DEPENDENCYPART_ARC
(3,13),-2.53501 # DEPENDENCYPART_ARC
(3,14),-1.39685 # DEPENDENCYPART_ARC
(3,15),-2.80766 # DEPENDENCYPART_ARC
(3,16),-3.10353 # DEPENDENCYPART_ARC
(3,17),-3.21442 # DEPENDENCYPART_ARC
(3,18),-2.48441 # DEPENDENCYPART_ARC
(3,19),-2.34979 # DEPENDENCYPART_ARC
(4,1),0.00389484 # DEPENDENCYPART_ARC
(4,2),-0.206554 # DEPENDENCYPART_ARC
(4,3),0.578442 # DEPENDENCYPART_ARC
(4,5),1.03511 # DEPENDENCYPART_ARC
(4,6),0.90048 # DEPENDENCYPART_ARC
(4,7),1.19086 # DEPENDENCYPART_ARC
(4,8),0.407351 # DEPENDENCYPART_ARC
(4,9),-1.76719 # DEPENDENCYPART_ARC
(4,10),-3.42322 # DEPENDENCYPART_ARC
(4,11),-2.18364 # DEPENDENCYPART_ARC
(4,12),0.567439 # DEPENDENCYPART_ARC
(4,13),-3.51503 # DEPENDENCYPART_ARC
(4,14),0.838566 # DEPENDENCYPART_ARC
(4,15),-2.92006 # DEPENDENCYPART_ARC
(4,16),-7.49633 # DEPENDENCYPART_ARC
(4,17),-6.81997 # DEPENDENCYPART_ARC
(4,18),1.57454 # DEPENDENCYPART_ARC
(4,19),0.641955 # DEPENDENCYPART_ARC
(5,1),-0.892718 # DEPENDENCYPART_ARC
(5,2),-0.370971 # DEPENDENCYPART_ARC
(5,3),0.0550297 # DEPENDENCYPART_ARC
(5,4),0.0549572 # DEPENDENCYPART_ARC
(5,6),1.20691 # DEPENDENCYPART_ARC
(5,7),0.663491 # DEPENDENCYPART_ARC
(5,8),-0.41336 # DEPENDENCYPART_ARC
(5,9),-1.40513 # DEPENDENCYPART_ARC
(5,10),-0.863145 # DEPENDENCYPART_ARC
(5,11),-0.403267 # DEPENDENCYPART_ARC
(5,12),-0.610246 # DEPENDENCYPART_ARC
(5,13),-1.48493 # DEPENDENCYPART_ARC
(5,14),-0.486642 # DEPENDENCYPART_ARC
(5,15),-2.22626 # DEPENDENCYPART_ARC
(5,16),-1.26352 # DEPENDENCYPART_ARC
(5,17),-1.43519 # DEPENDENCYPART_ARC
(5,18),-1.10045 # DEPENDENCYPART_ARC
(5,19),-0.510298 # DEPENDENCYPART_ARC
(6,1),-1.63159 # DEPENDENCYPART_ARC
(6,2),-1.12789 # DEPENDENCYPART_ARC
(6,3),-1.12635 # DEPENDENCYPART_ARC
(6,4),-0.311884 # DEPENDENCYPART_ARC
(6,5),1.73884 # DEPENDENCYPART_ARC
(6,7),1.02013 # DEPENDENCYPART_ARC
(6,8),0.584417 # DEPENDENCYPART_ARC
(6,9),-0.80943 # DEPENDENCYPART_ARC
(6,10),-0.772231 # DEPENDENCYPART_ARC
(6,11),-0.479065 # DEPENDENCYPART_ARC
(6,12),-0.108261 # DEPENDENCYPART_ARC
(6,13),-1.30375 # DEPENDENCYPART_ARC
(6,14),-0.573915 # DEPENDENCYPART_ARC
(6,15),-1.45698 # DEPENDENCYPART_ARC
(6,16),-1.60991 # DEPENDENCYPART_ARC
(6,17),-1.90662 # DEPENDENCYPART_ARC
(6,18),-0.552169 # DEPENDENCYPART_ARC
(6,19),0.260693 # DEPENDENCYPART_ARC
(7,1),0.0622842 # DEPENDENCYPART_ARC
(7,2),1.17678 # DEPENDENCYPART_ARC
(7,3),0.762882 # DEPENDENCYPART_ARC
(7,4),0.830572 # DEPENDENCYPART_ARC
(7,5),3.92811 # DEPENDENCYPART_ARC
(7,6),4.71292 # DEPENDENCYPART_ARC
(7,8),3.5953 # DEPENDENCYPART_ARC
(7,9),0.409012 # DEPENDENCYPART_ARC
(7,10),1.11593 # DEPENDENCYPART_ARC
(7,11),1.1582 # DEPENDENCYPART_ARC
(7,12),1.52576 # DEPENDENCYPART_ARC
(7,13),0.627785 # DEPENDENCYPART_ARC
(7,14),1.59833 # DEPENDENCYPART_ARC
(7,15),0.00827383 # DEPENDENCYPART_ARC
(7,16),-0.131846 # DEPENDENCYPART_ARC
(7,17),-0.591596 # DEPENDENCYPART_ARC
(7,18),0.627168 # DEPENDENCYPART_ARC
(7,19),1.13203 # DEPENDENCYPART_ARC
(8,1),-0.977454 # DEPENDENCYPART_ARC
(8,2),-0.637129 # DEPENDENCYPART_ARC
(8,3),-0.761081 # DEPENDENCYPART_ARC
(8,4),-0.259083 # DEPENDENCYPART_ARC
(8,5),-0.0021053 # DEPENDENCYPART_ARC
(8,6),-0.566351 # DEPENDENCYPART_ARC
(8,7),0.578048 # DEPENDENCYPART_ARC
(8,9),0.743421 # DEPENDENCYPART_ARC
(8,10),2.29455 # DEPENDENCYPART_ARC
(8,11),3.64759 # DEPENDENCYPART_ARC
(8,12),0.177243 # DEPENDENCYPART_ARC
(8,13),0.377485 # DEPENDENCYPART_ARC
(8,14),0.3901 # DEPENDENCYPART_ARC
(8,15),-1.74398 # DEPENDENCYPART_ARC
(8,16),-1.94153 # DEPENDENCYPART_ARC
(8,17),-0.565555 # DEPENDENCYPART_ARC
(8,18),0.213267 # DEPENDENCYPART_ARC
(8,19),0.73875 # DEPENDENCYPART_ARC
(9,1),-2.21557 # DEPENDENCYPART_ARC
(9,2),-2.10851 # DEPENDENCYPART_ARC
(9,3),-2.27722 # DEPENDENCYPART_ARC
(9,4),-1.93628 # DEPENDENCYPART_ARC
(9,5),-1.83988 # DEPENDENCYPART_ARC
(9,6),-1.87285 # DEPENDENCYPART_ARC
(9,7),-1.64372 # DEPENDENCYPART_ARC
(9,8),-0.0905515 # DEPENDENCYPART_ARC
(9,10),0.392798 # DEPENDENCYPART_ARC
(9,11),-1.12416 # DEPENDENCYPART_ARC
(9,12),-0.846297 # DEPENDENCYPART_ARC
(9,13),-1.76877 # DEPENDENCYPART_ARC
(9,14),-1.45732 # DEPENDENCYPART_ARC
(9,15),-2.51361 # DEPENDENCYPART_ARC
(9,16),-2.15912 # DEPENDENCYPART_ARC
(9,17),-2.24675 # DEPENDENCYPART_ARC
(9,18),-2.1658 # DEPENDENCYPART_ARC
(9,19),-1.39825 # DEPENDENCYPART_ARC
(10,1),-3.4313 # DEPENDENCYPART_ARC
(10,2),-4.4959 # DEPENDENCYPART_ARC
(10,3),-3.21001 # DEPENDENCYPART_ARC
(10,4),-2.29283 # DEPENDENCYPART_ARC
(10,5),-2.21465 # DEPENDENCYPART_ARC
(10,6),-2.41887 # DEPENDENCYPART_ARC
(10,7),-2.44938 # DEPENDENCYPART_ARC
(10,8),-0.321631 # DEPENDENCYPART_ARC
(10,9),2.188 # DEPENDENCYPART_ARC
(10,11),0.684006 # DEPENDENCYPART_ARC
(10,12),0.30698 # DEPENDENCYPART_ARC
(10,13),-0.734733 # DEPENDENCYPART_ARC
(10,14),-0.324894 # DEPENDENCYPART_ARC
(10,15),-1.55148 # DEPENDENCYPART_ARC
(10,16),-1.35003 # DEPENDENCYPART_ARC
(10,17),-1.49561 # DEPENDENCYPART_ARC
(10,18),-0.739818 # DEPENDENCYPART_ARC
(10,19),-0.933077 # DEPENDENCYPART_ARC
(11,1),-0.789036 # DEPENDENCYPART_ARC
(11,2),-0.828544 # DEPENDENCYPART_ARC
(11,3),-0.574846 # DEPENDENCYPART_ARC
(11,4),-0.463972 # DEPENDENCYPART_ARC
(11,5),0.490719 # DEPENDENCYPART_ARC
(11,6),1.74374 # DEPENDENCYPART_ARC
(11,7),0.215758 # DEPENDENCYPART_ARC
(11,8),0.753073 # DEPENDENCYPART_ARC
(11,9),4.84994 # DEPENDENCYPART_ARC
(11,10),4.75606 # DEPENDENCYPART_ARC
(11,12),2.12381 # DEPENDENCYPART_ARC
(11,13),0.823908 # DEPENDENCYPART_ARC
(11,14),1.03053 # DEPENDENCYPART_ARC
(11,15),-0.337406 # DEPENDENCYPART_ARC
(11,16),0.00626439 # DEPENDENCYPART_ARC
(11,17),-0.579184 # DEPENDENCYPART_ARC
(11,18),0.562185 # DEPENDENCYPART_ARC
(11,19),0.262191 # DEPENDENCYPART_ARC
(12,1),-1.26238 # DEPENDENCYPART_ARC
(12,2),-1.55076 # DEPENDENCYPART_ARC
(12,3),-1.54134 # DEPENDENCYPART_ARC
(12,4),-0.853524 # DEPENDENCYPART_ARC
(12,5),-1.0883 # DEPENDENCYPART_ARC
(12,6),-0.748522 # DEPENDENCYPART_ARC
(12,7),-0.613661 # DEPENDENCYPART_ARC
(12,8),-0.436208 # DEPENDENCYPART_ARC
(12,9),0.0638883 # DEPENDENCYPART_ARC
(12,10),-0.182868 # DEPENDENCYPART_ARC
(12,11),0.663906 # DEPENDENCYPART_ARC
(12,13),2.43566 # DEPENDENCYPART_ARC
(12,14),0.915002 # DEPENDENCYPART_ARC
(12,15),-0.941983 # DEPENDENCYPART_ARC
(12,16),0.176031 # DEPENDENCYPART_ARC
(12,17),1.00628 # DEPENDENCYPART_ARC
(12,18),0.289082 # DEPENDENCYPART_ARC
(12,19),-0.649196 # DEPENDENCYPART_ARC
(13,1),-3.4285 # DEPENDENCYPART_ARC
(13,2),-3.35072 # DEPENDENCYPART_ARC
(13,3),-3.35824 # DEPENDENCYPART_ARC
(13,4),-2.66588 # DEPENDENCYPART_ARC
(13,5),-1.72943 # DEPENDENCYPART_ARC
(13,6),-2.0411 # DEPENDENCYPART_ARC
(13,7),-2.56545 # DEPENDENCYPART_ARC
(13,8),-1.63631 # DEPENDENCYPART_ARC
(13,9),0.140093 # DEPENDENCYPART_ARC
(13,10),-0.437504 # DEPENDENCYPART_ARC
(13,11),-0.521886 # DEPENDENCYPART_ARC
(13,12),-0.285641 # DEPENDENCYPART_ARC
(13,14),2.47631 # DEPENDENCYPART_ARC
(13,15),1.02791 # DEPENDENCYPART_ARC
(13,16),1.01924 # DEPENDENCYPART_ARC
(13,17),0.523625 # DEPENDENCYPART_ARC
(13,18),0.724038 # DEPENDENCYPART_ARC
(13,19),0.84627 # DEPENDENCYPART_ARC
(14,1),-2.38592 # DEPENDENCYPART_ARC
(14,2),-2.50133 # DEPENDENCYPART_ARC
(14,3),-0.58606 # DEPENDENCYPART_ARC
(14,4),-2.08697 # DEPENDENCYPART_ARC
(14,5),-2.12174 # DEPENDENCYPART_ARC
(14,6),-1.76413 # DEPENDENCYPART_ARC
(14,7),-1.91704 # DEPENDENCYPART_ARC
(14,8),-1.56215 # DEPENDENCYPART_ARC
(14,9),-1.29617 # DEPENDENCYPART_ARC
(14,10),-1.5792 # DEPENDENCYPART_ARC
(14,11),-1.59073 # DEPENDENCYPART_ARC
(14,12),-1.25045 # DEPENDENCYPART_ARC
(14,13),-1.03254 # DEPENDENCYPART_ARC
(14,15),-0.384468 # DEPENDENCYPART_ARC
(14,16),-0.860973 # DEPENDENCYPART_ARC
(14,17),-1.22834 # DEPENDENCYPART_ARC
(14,18),-1.00055 # DEPENDENCYPART_ARC
(14,19),-1.35561 # DEPENDENCYPART_ARC
(15,1),-3.3266 # DEPENDENCYPART_ARC
(15,2),-3.04187 # DEPENDENCYPART_ARC
(15,3),-3.13016 # DEPENDENCYPART_ARC
(15,4),-3.0607 # DEPENDENCYPART_ARC
(15,5),-2.94266 # DEPENDENCYPART_ARC
(15,6),-3.24188 # DEPENDENCYPART_ARC
(15,7),-3.01088 # DEPENDENCYPART_ARC
(15,8),-2.49522 # DEPENDENCYPART_ARC
(15,9),-1.80735 # DEPENDENCYPART_ARC
(15,10),-2.57876 # DEPENDENCYPART_ARC
(15,11),-2.33051 # DEPENDENCYPART_ARC
(15,12),-2.24024 # DEPENDENCYPART_ARC
(15,13),-1.69993 # DEPENDENCYPART_ARC
(15,14),-0.822041 # DEPENDENCYPART_ARC
(15,16),-0.317974 # DEPENDENCYPART_ARC
(15,17),-0.963612 # DEPENDENCYPART_ARC
(15,18),-0.723983 # DEPENDENCYPART_ARC
(15,19),-1.37036 # DEPENDENCYPART_ARC
(16,1),-3.14225 # DEPENDENCYPART_ARC
(16,2),-5.2076 # DEPENDENCYPART_ARC
(16,3),-3.4454 # DEPENDENCYPART_ARC
(16,4),-2.81698 # DEPENDENCYPART_ARC
(16,5),-4.08334 # DEPENDENCYPART_ARC
(16,6),-3.49083 # DEPENDENCYPART_ARC
(16,7),-4.16069 # DEPENDENCYPART_ARC
(16,8),-2.1486 # DEPENDENCYPART_ARC
(16,9),-0.755422 # DEPENDENCYPART_ARC
(16,10),-2.31799 # DEPENDENCYPART_ARC
(16,11),-2.93312 # DEPENDENCYPART_ARC
(16,12),-2.0245 # DEPENDENCYPART_ARC
(16,13),-1.30387 # DEPENDENCYPART_ARC
(16,14),-0.857937 # DEPENDENCYPART_ARC
(16,15),2.70536 # DEPENDENCYPART_ARC
(16,17),0.577185 # DEPENDENCYPART_ARC
(16,18),1.07815 # DEPENDENCYPART_ARC
(16,19),0.345682 # DEPENDENCYPART_ARC
(17,1),-1.25149 # DEPENDENCYPART_ARC
(17,2),-2.23765 # DEPENDENCYPART_ARC
(17,3),-1.10132 # DEPENDENCYPART_ARC
(17,4),-0.78704 # DEPENDENCYPART_ARC
(17,5),-0.663355 # DEPENDENCYPART_ARC
(17,6),-0.904473 # DEPENDENCYPART_ARC
(17,7),-1.63019 # DEPENDENCYPART_ARC
(17,8),-0.118872 # DEPENDENCYPART_ARC
(17,9),1.2174 # DEPENDENCYPART_ARC
(17,10),0.689043 # DEPENDENCYPART_ARC
(17,11),-0.707831 # DEPENDENCYPART_ARC
(17,12),0.23603 # DEPENDENCYPART_ARC
(17,13),1.10812 # DEPENDENCYPART_ARC
(17,14),1.06776 # DEPENDENCYPART_ARC
(17,15),4.21809 # DEPENDENCYPART_ARC
(17,16),3.88081 # DEPENDENCYPART_ARC
(17,18),1.02316 # DEPENDENCYPART_ARC
(17,19),0.158536 # DEPENDENCYPART_ARC
(18,1),0.262216 # DEPENDENCYPART_ARC
(18,2),-0.661088 # DEPENDENCYPART_ARC
(18,3),1.48766 # DEPENDENCYPART_ARC
(18,4),0.504092 # DEPENDENCYPART_ARC
(18,5),0.379286 # DEPENDENCYPART_ARC
(18,6),0.591853 # DEPENDENCYPART_ARC
(18,7),0.83657 # DEPENDENCYPART_ARC
(18,8),-0.0799908 # DEPENDENCYPART_ARC
(18,9),-0.345501 # DEPENDENCYPART_ARC
(18,10),0.883918 # DEPENDENCYPART_ARC
(18,11),0.789608 # DEPENDENCYPART_ARC
(18,12),0.125485 # DEPENDENCYPART_ARC
(18,13),0.490064 # DEPENDENCYPART_ARC
(18,14),3.88879 # DEPENDENCYPART_ARC
(18,15),1.17901 # DEPENDENCYPART_ARC
(18,16),1.8095 # DEPENDENCYPART_ARC
(18,17),2.57956 # DEPENDENCYPART_ARC
(18,19),5.07812 # DEPENDENCYPART_ARC
(19,1),-3.0589 # DEPENDENCYPART_ARC
(19,2),-2.98473 # DEPENDENCYPART_ARC
(19,3),-1.32036 # DEPENDENCYPART_ARC
(19,4),-2.58729 # DEPENDENCYPART_ARC
(19,5),-2.61732 # DEPENDENCYPART_ARC
(19,6),-2.11876 # DEPENDENCYPART_ARC
(19,7),-1.92572 # DEPENDENCYPART_ARC
(19,8),-2.17834 # DEPENDENCYPART_ARC
(19,9),-1.57578 # DEPENDENCYPART_ARC
(19,10),-2.14468 # DEPENDENCYPART_ARC
(19,11),-1.94803 # DEPENDENCYPART_ARC
(19,12),-1.78154 # DEPENDENCYPART_ARC
(19,13),-1.69542 # DEPENDENCYPART_ARC
(19,14),-0.479284 # DEPENDENCYPART_ARC
(19,15),-1.04146 # DEPENDENCYPART_ARC
(19,16),-1.42364 # DEPENDENCYPART_ARC
(19,17),-1.9528 # DEPENDENCYPART_ARC
(19,18),-0.893963 # DEPENDENCYPART_ARC
