# _root_ A widening of that magnitude , said one New York trader , is `` not a favorable number ... .
#goldHeads=2,13,2,5,3,7,0,11,11,11,7,13,7,18,18,18,18,13,13,13,
#predictedHeads=2,7,2,5,3,7,0,11,11,11,13,7,7,13,13,18,18,13,7,7,
(18,6),-1.40819 # DEPENDENCYPART_ARC
(18,7),-1.70422 # DEPENDENCYPART_ARC
(18,8),0.300753 # DEPENDENCYPART_ARC
(18,9),-1.04665 # DEPENDENCYPART_ARC
(18,10),-1.17831 # DEPENDENCYPART_ARC
(18,11),-1.70417 # DEPENDENCYPART_ARC
(18,12),-0.569441 # DEPENDENCYPART_ARC
(18,13),-0.339572 # DEPENDENCYPART_ARC
(18,14),1.25398 # DEPENDENCYPART_ARC
(18,15),1.94739 # DEPENDENCYPART_ARC
(18,16),4.49058 # DEPENDENCYPART_ARC
(18,17),4.32014 # DEPENDENCYPART_ARC
(18,19),1.53935 # DEPENDENCYPART_ARC
(18,20),1.86782 # DEPENDENCYPART_ARC
(19,1),-2.251 # DEPENDENCYPART_ARC
(19,2),-3.01065 # DEPENDENCYPART_ARC
(19,3),-1.71186 # DEPENDENCYPART_ARC
(19,4),-1.97275 # DEPENDENCYPART_ARC
(19,5),-2.73181 # DEPENDENCYPART_ARC
(19,6),-1.21694 # DEPENDENCYPART_ARC
(19,7),-1.83946 # DEPENDENCYPART_ARC
(19,8),-1.96575 # DEPENDENCYPART_ARC
(19,9),-1.28227 # DEPENDENCYPART_ARC
(19,10),-1.24483 # DEPENDENCYPART_ARC
(19,11),-2.03068 # DEPENDENCYPART_ARC
(19,12),-0.777182 # DEPENDENCYPART_ARC
(19,13),-1.26465 # DEPENDENCYPART_ARC
(19,14),-0.676109 # DEPENDENCYPART_ARC
(19,15),-0.952776 # DEPENDENCYPART_ARC
(19,16),-0.111722 # DEPENDENCYPART_ARC
(19,17),-0.596365 # DEPENDENCYPART_ARC
(19,18),-0.602954 # DEPENDENCYPART_ARC
(19,20),-0.423412 # DEPENDENCYPART_ARC
(20,1),-2.60706 # DEPENDENCYPART_ARC
(20,2),-2.22572 # DEPENDENCYPART_ARC
(20,3),-2.64386 # DEPENDENCYPART_ARC
(20,4),-2.07675 # DEPENDENCYPART_ARC
(20,5),-2.16056 # DEPENDENCYPART_ARC
(20,6),-1.02205 # DEPENDENCYPART_ARC
(20,7),-1.30103 # DEPENDENCYPART_ARC
(20,8),-2.15594 # DEPENDENCYPART_ARC
(20,9),-1.70217 # DEPENDENCYPART_ARC
(20,10),-1.59903 # DEPENDENCYPART_ARC
(20,11),-1.31685 # DEPENDENCYPART_ARC
(20,12),-0.213009 # DEPENDENCYPART_ARC
(20,13),-0.693856 # DEPENDENCYPART_ARC
(20,14),-0.88296 # DEPENDENCYPART_ARC
(20,15),-1.32986 # DEPENDENCYPART_ARC
(20,16),-0.779985 # DEPENDENCYPART_ARC
(20,17),-0.966647 # DEPENDENCYPART_ARC
(20,18),-1.54755 # DEPENDENCYPART_ARC
(20,19),0.444843 # DEPENDENCYPART_ARC
