# _root_ Barry Wright , acquired by Applied for $ 147 million , makes computer-room equipment and vibration-control systems .
#goldHeads=2,12,2,2,4,5,4,7,8,8,2,0,14,12,14,17,15,12,
#predictedHeads=2,12,2,2,4,5,4,7,8,8,2,0,14,12,14,17,15,12,
(5,2),-0.729579 # DEPENDENCYPART_ARC
(5,3),0.0448533 # DEPENDENCYPART_ARC
(5,4),0.16083 # DEPENDENCYPART_ARC
(5,6),3.43082 # DEPENDENCYPART_ARC
(5,7),0.216182 # DEPENDENCYPART_ARC
(5,8),0.969067 # DEPENDENCYPART_ARC
(5,9),-0.614605 # DEPENDENCYPART_ARC
(5,10),-0.239305 # DEPENDENCYPART_ARC
(5,11),0.424128 # DEPENDENCYPART_ARC
(5,12),0.636999 # DEPENDENCYPART_ARC
(5,13),-1.15176 # DEPENDENCYPART_ARC
(5,14),-0.218657 # DEPENDENCYPART_ARC
(5,15),-0.286084 # DEPENDENCYPART_ARC
(5,16),-1.75328 # DEPENDENCYPART_ARC
(5,17),-1.69937 # DEPENDENCYPART_ARC
(5,18),-0.604303 # DEPENDENCYPART_ARC
(6,1),-1.23715 # DEPENDENCYPART_ARC
(6,2),-1.59338 # DEPENDENCYPART_ARC
(6,3),-0.807616 # DEPENDENCYPART_ARC
(6,4),-0.62576 # DEPENDENCYPART_ARC
(6,5),0.551292 # DEPENDENCYPART_ARC
(6,7),0.94365 # DEPENDENCYPART_ARC
(6,8),0.33591 # DEPENDENCYPART_ARC
(6,9),0.7344 # DEPENDENCYPART_ARC
(6,10),0.333595 # DEPENDENCYPART_ARC
(6,11),1.12006 # DEPENDENCYPART_ARC
(6,12),0.139628 # DEPENDENCYPART_ARC
(6,13),-0.0904292 # DEPENDENCYPART_ARC
(6,14),-0.63988 # DEPENDENCYPART_ARC
(6,15),0.340631 # DEPENDENCYPART_ARC
(6,16),-0.474067 # DEPENDENCYPART_ARC
(6,17),-0.963555 # DEPENDENCYPART_ARC
(6,18),0.78758 # DEPENDENCYPART_ARC
(7,1),-1.27084 # DEPENDENCYPART_ARC
(7,2),-1.52942 # DEPENDENCYPART_ARC
(7,3),-0.553162 # DEPENDENCYPART_ARC
(7,4),-0.602778 # DEPENDENCYPART_ARC
(7,5),0.305023 # DEPENDENCYPART_ARC
(7,6),-0.00194761 # DEPENDENCYPART_ARC
(7,8),3.63464 # DEPENDENCYPART_ARC
(7,9),0.997232 # DEPENDENCYPART_ARC
(7,10),0.755639 # DEPENDENCYPART_ARC
(7,11),0.366453 # DEPENDENCYPART_ARC
(7,12),0.433338 # DEPENDENCYPART_ARC
(7,13),-0.149495 # DEPENDENCYPART_ARC
(7,14),0.294369 # DEPENDENCYPART_ARC
(7,15),-0.323865 # DEPENDENCYPART_ARC
(7,16),-0.749939 # DEPENDENCYPART_ARC
(7,17),-0.80026 # DEPENDENCYPART_ARC
(7,18),0.798409 # DEPENDENCYPART_ARC
(8,1),-1.92867 # DEPENDENCYPART_ARC
(8,2),-1.76895 # DEPENDENCYPART_ARC
(8,3),-1.03344 # DEPENDENCYPART_ARC
(8,4),-0.722188 # DEPENDENCYPART_ARC
(8,5),-0.159606 # DEPENDENCYPART_ARC
(8,6),-0.182419 # DEPENDENCYPART_ARC
(8,7),1.32206 # DEPENDENCYPART_ARC
(8,9),4.69281 # DEPENDENCYPART_ARC
(8,10),4.17434 # DEPENDENCYPART_ARC
(8,11),1.97908 # DEPENDENCYPART_ARC
(8,12),1.31442 # DEPENDENCYPART_ARC
(8,13),1.46235 # DEPENDENCYPART_ARC
(8,14),0.727774 # DEPENDENCYPART_ARC
(8,15),1.05786 # DEPENDENCYPART_ARC
(8,16),0.252127 # DEPENDENCYPART_ARC
(8,17),-0.405376 # DEPENDENCYPART_ARC
(8,18),0.471151 # DEPENDENCYPART_ARC
(9,1),-2.95972 # DEPENDENCYPART_ARC
(9,2),-2.86405 # DEPENDENCYPART_ARC
(9,3),-2.88755 # DEPENDENCYPART_ARC
(9,4),-2.30773 # DEPENDENCYPART_ARC
(9,5),-1.90804 # DEPENDENCYPART_ARC
(9,6),-1.49279 # DEPENDENCYPART_ARC
(9,7),-1.20227 # DEPENDENCYPART_ARC
(9,8),-0.710695 # DEPENDENCYPART_ARC
(9,10),1.5032 # DEPENDENCYPART_ARC
(9,11),-0.518019 # DEPENDENCYPART_ARC
(9,12),-0.190649 # DEPENDENCYPART_ARC
(9,13),-0.822122 # DEPENDENCYPART_ARC
(9,14),-1.19949 # DEPENDENCYPART_ARC
(9,15),-0.949123 # DEPENDENCYPART_ARC
(9,16),-1.16247 # DEPENDENCYPART_ARC
(9,17),-1.57264 # DEPENDENCYPART_ARC
(9,18),-1.13437 # DEPENDENCYPART_ARC
(10,1),-1.33715 # DEPENDENCYPART_ARC
(10,2),-1.29533 # DEPENDENCYPART_ARC
(10,3),-1.24642 # DEPENDENCYPART_ARC
(10,4),-0.755552 # DEPENDENCYPART_ARC
(10,5),-0.329644 # DEPENDENCYPART_ARC
(10,6),-0.0664902 # DEPENDENCYPART_ARC
(10,7),-0.148594 # DEPENDENCYPART_ARC
(10,8),0.515514 # DEPENDENCYPART_ARC
(10,9),1.99956 # DEPENDENCYPART_ARC
(10,11),0.277773 # DEPENDENCYPART_ARC
(10,12),0.168721 # DEPENDENCYPART_ARC
(10,13),-0.368741 # DEPENDENCYPART_ARC
(10,14),-0.226363 # DEPENDENCYPART_ARC
(10,15),-0.906485 # DEPENDENCYPART_ARC
(10,16),-0.939403 # DEPENDENCYPART_ARC
(10,17),-1.3635 # DEPENDENCYPART_ARC
(10,18),-1.04906 # DEPENDENCYPART_ARC
(11,1),-2.0797 # DEPENDENCYPART_ARC
(11,2),-2.06449 # DEPENDENCYPART_ARC
(11,3),-0.346121 # DEPENDENCYPART_ARC
(11,4),-0.727749 # DEPENDENCYPART_ARC
(11,5),-1.17761 # DEPENDENCYPART_ARC
(11,6),-1.70639 # DEPENDENCYPART_ARC
(11,7),-1.09708 # DEPENDENCYPART_ARC
(11,8),-0.542994 # DEPENDENCYPART_ARC
(11,9),-0.951675 # DEPENDENCYPART_ARC
(11,10),-0.287554 # DEPENDENCYPART_ARC
(11,12),-0.281861 # DEPENDENCYPART_ARC
(11,13),-1.29894 # DEPENDENCYPART_ARC
(11,14),-1.87898 # DEPENDENCYPART_ARC
(11,15),-1.83177 # DEPENDENCYPART_ARC
(11,16),-2.1396 # DEPENDENCYPART_ARC
(11,17),-2.52741 # DEPENDENCYPART_ARC
(11,18),-1.74688 # DEPENDENCYPART_ARC
(12,1),1.40739 # DEPENDENCYPART_ARC
(12,2),1.68315 # DEPENDENCYPART_ARC
(12,3),0.710253 # DEPENDENCYPART_ARC
(12,4),0.139829 # DEPENDENCYPART_ARC
(12,5),0.68336 # DEPENDENCYPART_ARC
(12,6),1.06127 # DEPENDENCYPART_ARC
(12,7),0.838681 # DEPENDENCYPART_ARC
(12,8),0.8203 # DEPENDENCYPART_ARC
(12,9),0.534109 # DEPENDENCYPART_ARC
(12,10),0.563363 # DEPENDENCYPART_ARC
(12,11),2.1435 # DEPENDENCYPART_ARC
(12,13),1.99414 # DEPENDENCYPART_ARC
(12,14),3.1637 # DEPENDENCYPART_ARC
(12,15),1.4312 # DEPENDENCYPART_ARC
(12,16),1.41161 # DEPENDENCYPART_ARC
(12,17),2.47099 # DEPENDENCYPART_ARC
(12,18),5.67709 # DEPENDENCYPART_ARC
(13,1),-1.55257 # DEPENDENCYPART_ARC
(13,2),-2.08971 # DEPENDENCYPART_ARC
(13,3),-1.2221 # DEPENDENCYPART_ARC
(13,4),-1.86019 # DEPENDENCYPART_ARC
(13,5),-1.13917 # DEPENDENCYPART_ARC
(13,6),-1.06668 # DEPENDENCYPART_ARC
(13,7),-0.949711 # DEPENDENCYPART_ARC
(13,8),-0.03469 # DEPENDENCYPART_ARC
(13,9),0.0477244 # DEPENDENCYPART_ARC
(13,10),-0.0525549 # DEPENDENCYPART_ARC
(13,11),0.117673 # DEPENDENCYPART_ARC
(13,12),0.12602 # DEPENDENCYPART_ARC
(13,14),1.258 # DEPENDENCYPART_ARC
(13,15),0.479139 # DEPENDENCYPART_ARC
(13,16),-0.523546 # DEPENDENCYPART_ARC
(13,17),-0.81039 # DEPENDENCYPART_ARC
(13,18),-1.01279 # DEPENDENCYPART_ARC
(14,1),-2.64105 # DEPENDENCYPART_ARC
(14,2),-3.60581 # DEPENDENCYPART_ARC
(14,3),-1.18272 # DEPENDENCYPART_ARC
(14,4),-1.13308 # DEPENDENCYPART_ARC
(14,5),-1.16568 # DEPENDENCYPART_ARC
(14,6),-0.432573 # DEPENDENCYPART_ARC
(14,7),-0.736617 # DEPENDENCYPART_ARC
(14,8),0.416553 # DEPENDENCYPART_ARC
(14,9),0.738183 # DEPENDENCYPART_ARC
(14,10),0.0437247 # DEPENDENCYPART_ARC
(14,11),0.49642 # DEPENDENCYPART_ARC
(14,12),0.625033 # DEPENDENCYPART_ARC
(14,13),4.00959 # DEPENDENCYPART_ARC
(14,15),3.19209 # DEPENDENCYPART_ARC
(14,16),1.06509 # DEPENDENCYPART_ARC
(14,17),0.913913 # DEPENDENCYPART_ARC
(14,18),0.29546 # DEPENDENCYPART_ARC
(15,1),-1.01855 # DEPENDENCYPART_ARC
(15,2),-0.881568 # DEPENDENCYPART_ARC
(15,3),-2.0755 # DEPENDENCYPART_ARC
(15,4),-1.79415 # DEPENDENCYPART_ARC
(15,5),-1.2991 # DEPENDENCYPART_ARC
(15,6),-0.598534 # DEPENDENCYPART_ARC
(15,7),-1.09053 # DEPENDENCYPART_ARC
(15,8),-1.34774 # DEPENDENCYPART_ARC
(15,9),-1.33372 # DEPENDENCYPART_ARC
(15,10),-1.18229 # DEPENDENCYPART_ARC
(15,11),-1.06608 # DEPENDENCYPART_ARC
(15,12),-0.403638 # DEPENDENCYPART_ARC
(15,13),-0.659443 # DEPENDENCYPART_ARC
(15,14),0.0528968 # DEPENDENCYPART_ARC
(15,16),2.69803 # DEPENDENCYPART_ARC
(15,17),2.70589 # DEPENDENCYPART_ARC
(15,18),0.0355198 # DEPENDENCYPART_ARC
(16,1),-3.10688 # DEPENDENCYPART_ARC
(16,2),-3.70774 # DEPENDENCYPART_ARC
(16,3),-2.61816 # DEPENDENCYPART_ARC
(16,4),-3.17332 # DEPENDENCYPART_ARC
(16,5),-2.55518 # DEPENDENCYPART_ARC
(16,6),-2.60108 # DEPENDENCYPART_ARC
(16,7),-2.4935 # DEPENDENCYPART_ARC
(16,8),-1.77261 # DEPENDENCYPART_ARC
(16,9),-1.53984 # DEPENDENCYPART_ARC
(16,10),-1.87597 # DEPENDENCYPART_ARC
(16,11),-1.79046 # DEPENDENCYPART_ARC
(16,12),-2.06959 # DEPENDENCYPART_ARC
(16,13),-0.648506 # DEPENDENCYPART_ARC
(16,14),-0.976727 # DEPENDENCYPART_ARC
(16,15),-0.250761 # DEPENDENCYPART_ARC
(16,17),0.753703 # DEPENDENCYPART_ARC
(16,18),-0.291035 # DEPENDENCYPART_ARC
(17,1),-3.04711 # DEPENDENCYPART_ARC
(17,2),-4.02436 # DEPENDENCYPART_ARC
(17,3),-1.84843 # DEPENDENCYPART_ARC
(17,4),-1.06874 # DEPENDENCYPART_ARC
(17,5),-0.983673 # DEPENDENCYPART_ARC
(17,6),-1.43345 # DEPENDENCYPART_ARC
(17,7),-0.680029 # DEPENDENCYPART_ARC
(17,8),0.536765 # DEPENDENCYPART_ARC
(17,9),-0.26552 # DEPENDENCYPART_ARC
(17,10),-0.0494368 # DEPENDENCYPART_ARC
(17,11),-0.238443 # DEPENDENCYPART_ARC
(17,12),0.226929 # DEPENDENCYPART_ARC
(17,13),2.90554 # DEPENDENCYPART_ARC
(17,14),2.03327 # DEPENDENCYPART_ARC
(17,15),0.798911 # DEPENDENCYPART_ARC
(17,16),3.60212 # DEPENDENCYPART_ARC
(17,18),-0.0259568 # DEPENDENCYPART_ARC
(18,1),-2.4338 # DEPENDENCYPART_ARC
(18,2),-2.69513 # DEPENDENCYPART_ARC
(18,3),-1.5232 # DEPENDENCYPART_ARC
(18,4),-1.93218 # DEPENDENCYPART_ARC
(18,5),-2.04441 # DEPENDENCYPART_ARC
(18,6),-2.23771 # DEPENDENCYPART_ARC
(18,7),-2.04154 # DEPENDENCYPART_ARC
(18,8),-2.07215 # DEPENDENCYPART_ARC
(18,9),-2.0078 # DEPENDENCYPART_ARC
(18,10),-1.92853 # DEPENDENCYPART_ARC
(18,11),-0.478343 # DEPENDENCYPART_ARC
(18,12),-0.932167 # DEPENDENCYPART_ARC
(18,13),-1.69207 # DEPENDENCYPART_ARC
(18,14),-1.45715 # DEPENDENCYPART_ARC
(18,15),-1.13349 # DEPENDENCYPART_ARC
(18,16),-1.5846 # DEPENDENCYPART_ARC
(18,17),-1.61983 # DEPENDENCYPART_ARC
