# _root_ New management at Kentucky Fried Chicken , a unit of PepsiCo Inc. , has fought back with new medium and large chicken sandwiches for the lunch crowd .
#goldHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,23,23,19,20,23,17,23,27,27,24,14,
#predictedHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,19,17,19,23,23,20,15,27,27,24,14,
(1,13),-1.00606 # DEPENDENCYPART_ARC
(1,14),-1.43041 # DEPENDENCYPART_ARC
(1,15),-1.35367 # DEPENDENCYPART_ARC
(1,16),-1.49536 # DEPENDENCYPART_ARC
(1,17),-2.30327 # DEPENDENCYPART_ARC
(1,18),-1.82765 # DEPENDENCYPART_ARC
(1,19),-1.73143 # DEPENDENCYPART_ARC
(1,20),-1.27088 # DEPENDENCYPART_ARC
(1,21),-2.24922 # DEPENDENCYPART_ARC
(1,22),-2.2189 # DEPENDENCYPART_ARC
(1,23),-2.40721 # DEPENDENCYPART_ARC
(1,24),-2.897 # DEPENDENCYPART_ARC
(1,25),-3.91344 # DEPENDENCYPART_ARC
(1,26),-2.855 # DEPENDENCYPART_ARC
(1,27),-3.22662 # DEPENDENCYPART_ARC
(1,28),-1.78146 # DEPENDENCYPART_ARC
(2,1),4.08019 # DEPENDENCYPART_ARC
(2,3),2.35306 # DEPENDENCYPART_ARC
(2,4),0.450518 # DEPENDENCYPART_ARC
(2,5),0.767532 # DEPENDENCYPART_ARC
(2,6),1.28878 # DEPENDENCYPART_ARC
(2,7),1.0797 # DEPENDENCYPART_ARC
(2,8),-0.144742 # DEPENDENCYPART_ARC
(2,9),0.196452 # DEPENDENCYPART_ARC
(2,10),0.0428912 # DEPENDENCYPART_ARC
(2,11),-0.477705 # DEPENDENCYPART_ARC
(2,12),0.344107 # DEPENDENCYPART_ARC
(2,13),0.940277 # DEPENDENCYPART_ARC
(2,14),0.218956 # DEPENDENCYPART_ARC
(2,15),0.240439 # DEPENDENCYPART_ARC
(2,16),-0.82471 # DEPENDENCYPART_ARC
(2,17),-0.77576 # DEPENDENCYPART_ARC
(2,18),-1.00357 # DEPENDENCYPART_ARC
(2,19),-0.719465 # DEPENDENCYPART_ARC
(2,20),0.211658 # DEPENDENCYPART_ARC
(2,21),-0.954527 # DEPENDENCYPART_ARC
(2,22),-1.32723 # DEPENDENCYPART_ARC
(2,23),-1.32072 # DEPENDENCYPART_ARC
(2,24),-1.73074 # DEPENDENCYPART_ARC
(2,25),-2.26991 # DEPENDENCYPART_ARC
(2,26),-2.19827 # DEPENDENCYPART_ARC
(2,27),-2.59194 # DEPENDENCYPART_ARC
(2,28),0.800861 # DEPENDENCYPART_ARC
(3,1),-0.0862525 # DEPENDENCYPART_ARC
(3,2),0.0503212 # DEPENDENCYPART_ARC
(3,4),2.80434 # DEPENDENCYPART_ARC
(3,5),2.77708 # DEPENDENCYPART_ARC
(3,6),3.23459 # DEPENDENCYPART_ARC
(3,7),0.657302 # DEPENDENCYPART_ARC
(3,8),-1.51436 # DEPENDENCYPART_ARC
(3,9),0.336166 # DEPENDENCYPART_ARC
(3,10),-0.551686 # DEPENDENCYPART_ARC
(3,11),-1.00504 # DEPENDENCYPART_ARC
(3,12),0.00794737 # DEPENDENCYPART_ARC
(3,13),0.678918 # DEPENDENCYPART_ARC
(3,14),-2.61266 # DEPENDENCYPART_ARC
(3,15),-1.16581 # DEPENDENCYPART_ARC
(3,16),-0.487779 # DEPENDENCYPART_ARC
(3,17),-2.03266 # DEPENDENCYPART_ARC
(3,18),-2.67575 # DEPENDENCYPART_ARC
(3,19),-3.79129 # DEPENDENCYPART_ARC
(3,20),-0.205636 # DEPENDENCYPART_ARC
(3,21),-3.07347 # DEPENDENCYPART_ARC
(3,22),-4.80486 # DEPENDENCYPART_ARC
(3,23),-4.25046 # DEPENDENCYPART_ARC
(3,24),-2.52753 # DEPENDENCYPART_ARC
(3,25),-4.676 # DEPENDENCYPART_ARC
(3,26),-8.87342 # DEPENDENCYPART_ARC
(3,27),-7.39545 # DEPENDENCYPART_ARC
(3,28),-1.93552 # DEPENDENCYPART_ARC
(4,1),-1.3645 # DEPENDENCYPART_ARC
(4,2),-2.64314 # DEPENDENCYPART_ARC
(4,3),-1.61424 # DEPENDENCYPART_ARC
(4,5),1.00907 # DEPENDENCYPART_ARC
(4,6),0.958271 # DEPENDENCYPART_ARC
(4,7),0.926756 # DEPENDENCYPART_ARC
(4,8),-1.56344 # DEPENDENCYPART_ARC
(4,9),-0.539216 # DEPENDENCYPART_ARC
(4,10),-0.7508 # DEPENDENCYPART_ARC
(4,11),-2.26719 # DEPENDENCYPART_ARC
(4,12),-1.18713 # DEPENDENCYPART_ARC
(4,13),-0.23485 # DEPENDENCYPART_ARC
(4,14),-2.34505 # DEPENDENCYPART_ARC
(4,15),-2.44872 # DEPENDENCYPART_ARC
(4,16),-2.6944 # DEPENDENCYPART_ARC
(4,17),-2.96064 # DEPENDENCYPART_ARC
(4,18),-2.9052 # DEPENDENCYPART_ARC
(4,19),-3.60453 # DEPENDENCYPART_ARC
(4,20),-2.06069 # DEPENDENCYPART_ARC
(4,21),-3.08141 # DEPENDENCYPART_ARC
(4,22),-4.68804 # DEPENDENCYPART_ARC
(4,23),-3.09019 # DEPENDENCYPART_ARC
(4,24),-4.02823 # DEPENDENCYPART_ARC
(4,25),-3.07368 # DEPENDENCYPART_ARC
(4,26),-6.28411 # DEPENDENCYPART_ARC
(4,27),-5.81372 # DEPENDENCYPART_ARC
(4,28),-1.06078 # DEPENDENCYPART_ARC
(5,1),0.0122432 # DEPENDENCYPART_ARC
(5,2),-1.55705 # DEPENDENCYPART_ARC
(5,3),-1.19836 # DEPENDENCYPART_ARC
(5,4),3.43727 # DEPENDENCYPART_ARC
(5,6),1.9327 # DEPENDENCYPART_ARC
(5,7),1.97263 # DEPENDENCYPART_ARC
(5,8),-0.67091 # DEPENDENCYPART_ARC
(5,9),1.02383 # DEPENDENCYPART_ARC
(5,10),-0.155122 # DEPENDENCYPART_ARC
(5,11),-1.32659 # DEPENDENCYPART_ARC
(5,12),0.365163 # DEPENDENCYPART_ARC
(5,13),1.05701 # DEPENDENCYPART_ARC
(5,14),-1.20062 # DEPENDENCYPART_ARC
(5,15),-1.36352 # DEPENDENCYPART_ARC
(5,16),-1.74768 # DEPENDENCYPART_ARC
(5,17),-1.98113 # DEPENDENCYPART_ARC
(5,18),-2.06738 # DEPENDENCYPART_ARC
(5,19),-2.34145 # DEPENDENCYPART_ARC
(5,20),-0.836553 # DEPENDENCYPART_ARC
(5,21),-2.25032 # DEPENDENCYPART_ARC
(5,22),-3.45272 # DEPENDENCYPART_ARC
(5,23),-2.04565 # DEPENDENCYPART_ARC
(5,24),-3.32033 # DEPENDENCYPART_ARC
(5,25),-2.30319 # DEPENDENCYPART_ARC
(5,26),-5.09053 # DEPENDENCYPART_ARC
(5,27),-4.6461 # DEPENDENCYPART_ARC
(5,28),0.226008 # DEPENDENCYPART_ARC
(6,1),2.00632 # DEPENDENCYPART_ARC
(6,2),0.249163 # DEPENDENCYPART_ARC
(6,3),0.166499 # DEPENDENCYPART_ARC
(6,4),4.74174 # DEPENDENCYPART_ARC
(6,5),4.17201 # DEPENDENCYPART_ARC
(6,7),3.59566 # DEPENDENCYPART_ARC
(6,8),0.776965 # DEPENDENCYPART_ARC
(6,9),2.70639 # DEPENDENCYPART_ARC
(6,10),1.20808 # DEPENDENCYPART_ARC
(6,11),0.120434 # DEPENDENCYPART_ARC
(6,12),2.12121 # DEPENDENCYPART_ARC
(6,13),3.82809 # DEPENDENCYPART_ARC
(6,14),0.61849 # DEPENDENCYPART_ARC
(6,15),0.119733 # DEPENDENCYPART_ARC
(6,16),-0.0886166 # DEPENDENCYPART_ARC
(6,17),-0.110129 # DEPENDENCYPART_ARC
(6,18),-0.673966 # DEPENDENCYPART_ARC
(6,19),-0.602317 # DEPENDENCYPART_ARC
(6,20),0.503914 # DEPENDENCYPART_ARC
(6,21),-0.805503 # DEPENDENCYPART_ARC
(6,22),-1.86083 # DEPENDENCYPART_ARC
(6,23),-0.71156 # DEPENDENCYPART_ARC
(6,24),-1.30804 # DEPENDENCYPART_ARC
(6,25),-1.03668 # DEPENDENCYPART_ARC
(6,26),-3.62894 # DEPENDENCYPART_ARC
(6,27),-3.0507 # DEPENDENCYPART_ARC
(6,28),1.57511 # DEPENDENCYPART_ARC
(7,1),-1.86481 # DEPENDENCYPART_ARC
(7,2),-1.96248 # DEPENDENCYPART_ARC
(7,3),-1.58715 # DEPENDENCYPART_ARC
(7,4),-1.6468 # DEPENDENCYPART_ARC
(7,5),-1.79097 # DEPENDENCYPART_ARC
(7,6),-1.19994 # DEPENDENCYPART_ARC
(7,8),-0.488702 # DEPENDENCYPART_ARC
(7,9),-1.2666 # DEPENDENCYPART_ARC
(7,10),-1.00341 # DEPENDENCYPART_ARC
(7,11),-1.29874 # DEPENDENCYPART_ARC
(7,12),-1.5037 # DEPENDENCYPART_ARC
(7,13),-0.161189 # DEPENDENCYPART_ARC
(7,14),-1.53452 # DEPENDENCYPART_ARC
(7,15),-1.9557 # DEPENDENCYPART_ARC
(7,16),-2.13677 # DEPENDENCYPART_ARC
(7,17),-1.69673 # DEPENDENCYPART_ARC
(7,18),-2.55689 # DEPENDENCYPART_ARC
(7,19),-2.95707 # DEPENDENCYPART_ARC
(7,20),-2.24494 # DEPENDENCYPART_ARC
(7,21),-2.88788 # DEPENDENCYPART_ARC
(7,22),-3.26823 # DEPENDENCYPART_ARC
(7,23),-3.21017 # DEPENDENCYPART_ARC
(7,24),-2.30788 # DEPENDENCYPART_ARC
(7,25),-3.21057 # DEPENDENCYPART_ARC
(7,26),-4.0155 # DEPENDENCYPART_ARC
(7,27),-3.84518 # DEPENDENCYPART_ARC
(7,28),-2.61976 # DEPENDENCYPART_ARC
(8,1),-2.05453 # DEPENDENCYPART_ARC
(8,2),-2.32422 # DEPENDENCYPART_ARC
(8,3),-0.903691 # DEPENDENCYPART_ARC
(8,4),-1.47556 # DEPENDENCYPART_ARC
(8,5),-1.24493 # DEPENDENCYPART_ARC
(8,6),-1.21099 # DEPENDENCYPART_ARC
(8,7),-0.30121 # DEPENDENCYPART_ARC
(8,9),0.461649 # DEPENDENCYPART_ARC
(8,10),0.0661062 # DEPENDENCYPART_ARC
(8,11),-0.56226 # DEPENDENCYPART_ARC
(8,12),-0.600809 # DEPENDENCYPART_ARC
(8,13),-0.315537 # DEPENDENCYPART_ARC
(8,14),-0.883148 # DEPENDENCYPART_ARC
(8,15),-1.08628 # DEPENDENCYPART_ARC
(8,16),-1.2652 # DEPENDENCYPART_ARC
(8,17),-1.35334 # DEPENDENCYPART_ARC
(8,18),-1.68823 # DEPENDENCYPART_ARC
(8,19),-1.63455 # DEPENDENCYPART_ARC
(8,20),-1.55733 # DEPENDENCYPART_ARC
(8,21),-2.15432 # DEPENDENCYPART_ARC
(8,22),-2.08153 # DEPENDENCYPART_ARC
(8,23),-2.04224 # DEPENDENCYPART_ARC
(8,24),-2.0983 # DEPENDENCYPART_ARC
(8,25),-3.1327 # DEPENDENCYPART_ARC
(8,26),-2.46245 # DEPENDENCYPART_ARC
(8,27),-2.5771 # DEPENDENCYPART_ARC
(8,28),-1.41214 # DEPENDENCYPART_ARC
(9,1),-0.319807 # DEPENDENCYPART_ARC
(9,2),-2.20974 # DEPENDENCYPART_ARC
(9,3),-0.462824 # DEPENDENCYPART_ARC
(9,4),0.746257 # DEPENDENCYPART_ARC
(9,5),0.558994 # DEPENDENCYPART_ARC
(9,6),0.0973617 # DEPENDENCYPART_ARC
(9,7),0.937068 # DEPENDENCYPART_ARC
(9,8),4.43353 # DEPENDENCYPART_ARC
(9,10),3.75706 # DEPENDENCYPART_ARC
(9,11),0.950818 # DEPENDENCYPART_ARC
(9,12),1.62309 # DEPENDENCYPART_ARC
(9,13),1.9019 # DEPENDENCYPART_ARC
(9,14),1.25902 # DEPENDENCYPART_ARC
(9,15),1.23983 # DEPENDENCYPART_ARC
(9,16),0.449857 # DEPENDENCYPART_ARC
(9,17),0.247944 # DEPENDENCYPART_ARC
(9,18),-0.125951 # DEPENDENCYPART_ARC
(9,19),0.303541 # DEPENDENCYPART_ARC
(9,20),0.700443 # DEPENDENCYPART_ARC
(9,21),-0.346418 # DEPENDENCYPART_ARC
(9,22),-0.217305 # DEPENDENCYPART_ARC
(9,23),-0.609632 # DEPENDENCYPART_ARC
(9,24),-0.502077 # DEPENDENCYPART_ARC
(9,25),-0.878065 # DEPENDENCYPART_ARC
(9,26),-0.788183 # DEPENDENCYPART_ARC
(9,27),-1.02143 # DEPENDENCYPART_ARC
(9,28),1.17935 # DEPENDENCYPART_ARC
(10,1),-1.65716 # DEPENDENCYPART_ARC
(10,2),-1.94959 # DEPENDENCYPART_ARC
(10,3),-1.34406 # DEPENDENCYPART_ARC
(10,4),-0.986089 # DEPENDENCYPART_ARC
(10,5),-1.19864 # DEPENDENCYPART_ARC
(10,6),-1.09801 # DEPENDENCYPART_ARC
(10,7),-0.681099 # DEPENDENCYPART_ARC
(10,8),-0.341422 # DEPENDENCYPART_ARC
(10,9),0.615541 # DEPENDENCYPART_ARC
(10,11),2.95723 # DEPENDENCYPART_ARC
(10,12),2.4501 # DEPENDENCYPART_ARC
(10,13),0.88105 # DEPENDENCYPART_ARC
(10,14),0.309546 # DEPENDENCYPART_ARC
(10,15),-0.198472 # DEPENDENCYPART_ARC
(10,16),-0.0388971 # DEPENDENCYPART_ARC
(10,17),-0.668601 # DEPENDENCYPART_ARC
(10,18),-1.47944 # DEPENDENCYPART_ARC
(10,19),-1.1047 # DEPENDENCYPART_ARC
(10,20),-0.575286 # DEPENDENCYPART_ARC
(10,21),-2.06741 # DEPENDENCYPART_ARC
(10,22),-2.13045 # DEPENDENCYPART_ARC
(10,23),-2.17754 # DEPENDENCYPART_ARC
(10,24),-1.0116 # DEPENDENCYPART_ARC
(10,25),-3.40788 # DEPENDENCYPART_ARC
(10,26),-6.18438 # DEPENDENCYPART_ARC
(10,27),-4.6442 # DEPENDENCYPART_ARC
(10,28),-0.598889 # DEPENDENCYPART_ARC
(11,1),-1.43834 # DEPENDENCYPART_ARC
(11,2),-2.99429 # DEPENDENCYPART_ARC
(11,3),-2.52291 # DEPENDENCYPART_ARC
(11,4),-0.866009 # DEPENDENCYPART_ARC
(11,5),-1.43431 # DEPENDENCYPART_ARC
(11,6),-1.1517 # DEPENDENCYPART_ARC
(11,7),-0.486185 # DEPENDENCYPART_ARC
(11,8),0.59893 # DEPENDENCYPART_ARC
(11,9),-0.401488 # DEPENDENCYPART_ARC
(11,10),0.945224 # DEPENDENCYPART_ARC
(11,12),5.24162 # DEPENDENCYPART_ARC
(11,13),2.21546 # DEPENDENCYPART_ARC
(11,14),1.07445 # DEPENDENCYPART_ARC
(11,15),0.5762 # DEPENDENCYPART_ARC
(11,16),0.310133 # DEPENDENCYPART_ARC
(11,17),0.101583 # DEPENDENCYPART_ARC
(11,18),0.218138 # DEPENDENCYPART_ARC
(11,19),-0.0948331 # DEPENDENCYPART_ARC
(11,20),0.656364 # DEPENDENCYPART_ARC
(11,21),-0.0268351 # DEPENDENCYPART_ARC
(11,22),-1.5084 # DEPENDENCYPART_ARC
(11,23),-0.685864 # DEPENDENCYPART_ARC
(11,24),-0.735605 # DEPENDENCYPART_ARC
(11,25),-0.514421 # DEPENDENCYPART_ARC
(11,26),-3.02629 # DEPENDENCYPART_ARC
(11,27),-2.55115 # DEPENDENCYPART_ARC
(11,28),1.1901 # DEPENDENCYPART_ARC
(12,1),-3.3673 # DEPENDENCYPART_ARC
(12,2),-4.44578 # DEPENDENCYPART_ARC
(12,3),-4.10882 # DEPENDENCYPART_ARC
(12,4),-1.07928 # DEPENDENCYPART_ARC
(12,5),-2.27166 # DEPENDENCYPART_ARC
(12,6),-3.4302 # DEPENDENCYPART_ARC
(12,7),-1.79936 # DEPENDENCYPART_ARC
(12,8),-0.823709 # DEPENDENCYPART_ARC
(12,9),-2.24961 # DEPENDENCYPART_ARC
(12,10),-1.08079 # DEPENDENCYPART_ARC
(12,11),2.61302 # DEPENDENCYPART_ARC
(12,13),-0.596408 # DEPENDENCYPART_ARC
(12,14),-1.5153 # DEPENDENCYPART_ARC
(12,15),-1.87461 # DEPENDENCYPART_ARC
(12,16),-2.25656 # DEPENDENCYPART_ARC
(12,17),-1.9413 # DEPENDENCYPART_ARC
(12,18),-2.6223 # DEPENDENCYPART_ARC
(12,19),-2.55592 # DEPENDENCYPART_ARC
(12,20),-2.31299 # DEPENDENCYPART_ARC
(12,21),-2.86012 # DEPENDENCYPART_ARC
(12,22),-3.84709 # DEPENDENCYPART_ARC
(12,23),-3.2721 # DEPENDENCYPART_ARC
(12,24),-3.0785 # DEPENDENCYPART_ARC
(12,25),-3.41965 # DEPENDENCYPART_ARC
(12,26),-6.11561 # DEPENDENCYPART_ARC
(12,27),-5.48136 # DEPENDENCYPART_ARC
(12,28),-1.35252 # DEPENDENCYPART_ARC
(13,1),-1.99845 # DEPENDENCYPART_ARC
(13,2),-1.64393 # DEPENDENCYPART_ARC
(13,3),-1.55088 # DEPENDENCYPART_ARC
(13,4),-1.89533 # DEPENDENCYPART_ARC
(13,5),-1.84368 # DEPENDENCYPART_ARC
(13,6),-1.81153 # DEPENDENCYPART_ARC
(13,7),0.0444687 # DEPENDENCYPART_ARC
(13,8),-0.795895 # DEPENDENCYPART_ARC
(13,9),-1.14812 # DEPENDENCYPART_ARC
(13,10),-0.618853 # DEPENDENCYPART_ARC
(13,11),-1.14339 # DEPENDENCYPART_ARC
(13,12),-0.590097 # DEPENDENCYPART_ARC
(13,14),-0.698912 # DEPENDENCYPART_ARC
(13,15),-1.59179 # DEPENDENCYPART_ARC
(13,16),-2.14414 # DEPENDENCYPART_ARC
(13,17),-2.07766 # DEPENDENCYPART_ARC
(13,18),-2.5357 # DEPENDENCYPART_ARC
(13,19),-3.0091 # DEPENDENCYPART_ARC
(13,20),-2.4435 # DEPENDENCYPART_ARC
(13,21),-3.02323 # DEPENDENCYPART_ARC
(13,22),-3.39225 # DEPENDENCYPART_ARC
(13,23),-3.3517 # DEPENDENCYPART_ARC
(13,24),-2.69542 # DEPENDENCYPART_ARC
(13,25),-3.43078 # DEPENDENCYPART_ARC
(13,26),-4.0247 # DEPENDENCYPART_ARC
(13,27),-3.94606 # DEPENDENCYPART_ARC
(13,28),-2.90153 # DEPENDENCYPART_ARC
(14,1),0.346788 # DEPENDENCYPART_ARC
(14,2),0.138066 # DEPENDENCYPART_ARC
(14,3),-1.38451 # DEPENDENCYPART_ARC
(14,4),0.668128 # DEPENDENCYPART_ARC
(14,5),1.08118 # DEPENDENCYPART_ARC
(14,6),1.39031 # DEPENDENCYPART_ARC
(14,7),1.3377 # DEPENDENCYPART_ARC
(14,8),-0.139392 # DEPENDENCYPART_ARC
(14,9),0.967751 # DEPENDENCYPART_ARC
(14,10),-0.855558 # DEPENDENCYPART_ARC
(14,11),1.08477 # DEPENDENCYPART_ARC
(14,12),1.09141 # DEPENDENCYPART_ARC
(14,13),1.50603 # DEPENDENCYPART_ARC
(14,15),4.21891 # DEPENDENCYPART_ARC
(14,16),0.806683 # DEPENDENCYPART_ARC
(14,17),0.252073 # DEPENDENCYPART_ARC
(14,18),-1.3786 # DEPENDENCYPART_ARC
(14,19),0.0294962 # DEPENDENCYPART_ARC
(14,20),1.58656 # DEPENDENCYPART_ARC
(14,21),-1.79071 # DEPENDENCYPART_ARC
(14,22),-0.778858 # DEPENDENCYPART_ARC
(14,23),-0.521824 # DEPENDENCYPART_ARC
(14,24),-0.325074 # DEPENDENCYPART_ARC
(14,25),-2.05979 # DEPENDENCYPART_ARC
(14,26),-2.2344 # DEPENDENCYPART_ARC
(14,27),-1.73108 # DEPENDENCYPART_ARC
(14,28),6.33465 # DEPENDENCYPART_ARC
(15,1),-0.92751 # DEPENDENCYPART_ARC
(15,2),-1.20045 # DEPENDENCYPART_ARC
(15,3),-0.404748 # DEPENDENCYPART_ARC
(15,4),-0.336229 # DEPENDENCYPART_ARC
(15,5),-0.324716 # DEPENDENCYPART_ARC
(15,6),-0.430287 # DEPENDENCYPART_ARC
(15,7),0.28796 # DEPENDENCYPART_ARC
(15,8),-0.0973312 # DEPENDENCYPART_ARC
(15,9),-0.270672 # DEPENDENCYPART_ARC
(15,10),0.141448 # DEPENDENCYPART_ARC
(15,11),0.0930735 # DEPENDENCYPART_ARC
(15,12),0.168233 # DEPENDENCYPART_ARC
(15,13),0.546245 # DEPENDENCYPART_ARC
(15,14),0.739249 # DEPENDENCYPART_ARC
(15,16),3.6122 # DEPENDENCYPART_ARC
(15,17),3.36459 # DEPENDENCYPART_ARC
(15,18),0.956213 # DEPENDENCYPART_ARC
(15,19),1.77366 # DEPENDENCYPART_ARC
(15,20),1.7786 # DEPENDENCYPART_ARC
(15,21),0.415391 # DEPENDENCYPART_ARC
(15,22),1.042 # DEPENDENCYPART_ARC
(15,23),1.1693 # DEPENDENCYPART_ARC
(15,24),2.21231 # DEPENDENCYPART_ARC
(15,25),-0.258054 # DEPENDENCYPART_ARC
(15,26),-0.159916 # DEPENDENCYPART_ARC
(15,27),0.136257 # DEPENDENCYPART_ARC
(15,28),2.94235 # DEPENDENCYPART_ARC
(16,1),-0.954255 # DEPENDENCYPART_ARC
(16,2),-1.88055 # DEPENDENCYPART_ARC
(16,3),-0.788531 # DEPENDENCYPART_ARC
(16,4),-1.68156 # DEPENDENCYPART_ARC
(16,5),-1.64044 # DEPENDENCYPART_ARC
(16,6),-1.30097 # DEPENDENCYPART_ARC
(16,7),-0.824494 # DEPENDENCYPART_ARC
(16,8),0.230417 # DEPENDENCYPART_ARC
(16,9),-0.635502 # DEPENDENCYPART_ARC
(16,10),-0.14317 # DEPENDENCYPART_ARC
(16,11),-0.812887 # DEPENDENCYPART_ARC
(16,12),-0.59968 # DEPENDENCYPART_ARC
(16,13),0.201339 # DEPENDENCYPART_ARC
(16,14),-0.128081 # DEPENDENCYPART_ARC
(16,15),0.991133 # DEPENDENCYPART_ARC
(16,17),2.12328 # DEPENDENCYPART_ARC
(16,18),1.2014 # DEPENDENCYPART_ARC
(16,19),0.380486 # DEPENDENCYPART_ARC
(16,20),0.982099 # DEPENDENCYPART_ARC
(16,21),0.186265 # DEPENDENCYPART_ARC
(16,22),-0.829383 # DEPENDENCYPART_ARC
(16,23),-0.77611 # DEPENDENCYPART_ARC
(16,24),0.898994 # DEPENDENCYPART_ARC
(16,25),-0.787041 # DEPENDENCYPART_ARC
(16,26),-1.46351 # DEPENDENCYPART_ARC
(16,27),-1.41013 # DEPENDENCYPART_ARC
(16,28),0.134738 # DEPENDENCYPART_ARC
(17,1),-2.47731 # DEPENDENCYPART_ARC
(17,2),-3.05025 # DEPENDENCYPART_ARC
(17,3),-1.78828 # DEPENDENCYPART_ARC
(17,4),-2.01941 # DEPENDENCYPART_ARC
(17,5),-2.15697 # DEPENDENCYPART_ARC
(17,6),-2.18483 # DEPENDENCYPART_ARC
(17,7),-1.65279 # DEPENDENCYPART_ARC
(17,8),-1.084 # DEPENDENCYPART_ARC
(17,9),-1.53464 # DEPENDENCYPART_ARC
(17,10),-0.714845 # DEPENDENCYPART_ARC
(17,11),-1.01273 # DEPENDENCYPART_ARC
(17,12),-1.28554 # DEPENDENCYPART_ARC
(17,13),-0.817968 # DEPENDENCYPART_ARC
(17,14),-0.457382 # DEPENDENCYPART_ARC
(17,15),-0.159416 # DEPENDENCYPART_ARC
(17,16),0.919907 # DEPENDENCYPART_ARC
(17,18),1.54239 # DEPENDENCYPART_ARC
(17,19),3.17885 # DEPENDENCYPART_ARC
(17,20),1.18562 # DEPENDENCYPART_ARC
(17,21),0.363001 # DEPENDENCYPART_ARC
(17,22),0.695866 # DEPENDENCYPART_ARC
(17,23),2.19527 # DEPENDENCYPART_ARC
(17,24),0.76904 # DEPENDENCYPART_ARC
(17,25),-2.07115 # DEPENDENCYPART_ARC
(17,26),-2.81389 # DEPENDENCYPART_ARC
(17,27),-1.46419 # DEPENDENCYPART_ARC
(17,28),1.21009 # DEPENDENCYPART_ARC
(18,1),-2.6004 # DEPENDENCYPART_ARC
(18,2),-3.58414 # DEPENDENCYPART_ARC
(18,3),-2.84138 # DEPENDENCYPART_ARC
(18,4),-2.33017 # DEPENDENCYPART_ARC
(18,5),-2.67156 # DEPENDENCYPART_ARC
(18,6),-3.07307 # DEPENDENCYPART_ARC
(18,7),-1.8531 # DEPENDENCYPART_ARC
(18,8),-1.47637 # DEPENDENCYPART_ARC
(18,9),-2.36707 # DEPENDENCYPART_ARC
(18,10),-1.85398 # DEPENDENCYPART_ARC
(18,11),-1.31254 # DEPENDENCYPART_ARC
(18,12),-2.04462 # DEPENDENCYPART_ARC
(18,13),-1.05785 # DEPENDENCYPART_ARC
(18,14),-1.87637 # DEPENDENCYPART_ARC
(18,15),-1.42737 # DEPENDENCYPART_ARC
(18,16),-0.158734 # DEPENDENCYPART_ARC
(18,17),0.258682 # DEPENDENCYPART_ARC
(18,19),1.40973 # DEPENDENCYPART_ARC
(18,20),0.825051 # DEPENDENCYPART_ARC
(18,21),-0.707795 # DEPENDENCYPART_ARC
(18,22),-0.528176 # DEPENDENCYPART_ARC
(18,23),-0.574634 # DEPENDENCYPART_ARC
