# _root_ SHV , which last year merged its North Sea oil and gas operations with those of Calor Group PLC , has been pegged by speculators as a possible suitor for Burmah Oil in recent weeks .
#goldHeads=21,1,6,5,6,1,10,10,10,6,10,13,11,6,14,15,19,19,16,1,0,21,22,23,24,23,29,29,26,29,32,30,23,35,33,21,
#predictedHeads=21,1,6,5,6,1,10,10,10,6,10,13,11,6,14,15,19,19,16,1,0,21,22,23,24,25,29,29,26,29,32,30,23,35,33,21,
(5,29),-4.60471 # DEPENDENCYPART_ARC
(5,30),-2.81915 # DEPENDENCYPART_ARC
(5,31),-4.9707 # DEPENDENCYPART_ARC
(5,32),-4.97237 # DEPENDENCYPART_ARC
(5,33),-4.01845 # DEPENDENCYPART_ARC
(5,34),-3.11804 # DEPENDENCYPART_ARC
(5,35),-3.83597 # DEPENDENCYPART_ARC
(5,36),-1.28467 # DEPENDENCYPART_ARC
(6,1),1.34085 # DEPENDENCYPART_ARC
(6,2),1.16954 # DEPENDENCYPART_ARC
(6,3),2.34223 # DEPENDENCYPART_ARC
(6,4),0.975143 # DEPENDENCYPART_ARC
(6,5),2.48365 # DEPENDENCYPART_ARC
(6,7),1.00272 # DEPENDENCYPART_ARC
(6,8),1.75862 # DEPENDENCYPART_ARC
(6,9),1.57975 # DEPENDENCYPART_ARC
(6,10),2.04919 # DEPENDENCYPART_ARC
(6,11),2.59384 # DEPENDENCYPART_ARC
(6,12),0.904378 # DEPENDENCYPART_ARC
(6,13),1.35432 # DEPENDENCYPART_ARC
(6,14),2.72621 # DEPENDENCYPART_ARC
(6,15),-0.218877 # DEPENDENCYPART_ARC
(6,16),0.885284 # DEPENDENCYPART_ARC
(6,17),-1.10413 # DEPENDENCYPART_ARC
(6,18),-0.98285 # DEPENDENCYPART_ARC
(6,19),-0.369775 # DEPENDENCYPART_ARC
(6,20),1.39508 # DEPENDENCYPART_ARC
(6,21),0.170227 # DEPENDENCYPART_ARC
(6,22),-0.72666 # DEPENDENCYPART_ARC
(6,23),-0.927163 # DEPENDENCYPART_ARC
(6,24),0.322428 # DEPENDENCYPART_ARC
(6,25),-2.1537 # DEPENDENCYPART_ARC
(6,26),0.640654 # DEPENDENCYPART_ARC
(6,27),-2.35857 # DEPENDENCYPART_ARC
(6,28),-1.60689 # DEPENDENCYPART_ARC
(6,29),-2.21244 # DEPENDENCYPART_ARC
(6,30),-0.107226 # DEPENDENCYPART_ARC
(6,31),-3.8655 # DEPENDENCYPART_ARC
(6,32),-2.95468 # DEPENDENCYPART_ARC
(6,33),0.0192909 # DEPENDENCYPART_ARC
(6,34),-2.05756 # DEPENDENCYPART_ARC
(6,35),-4.00095 # DEPENDENCYPART_ARC
(6,36),3.78307 # DEPENDENCYPART_ARC
(7,1),-1.46825 # DEPENDENCYPART_ARC
(7,2),-1.18539 # DEPENDENCYPART_ARC
(7,3),-0.797011 # DEPENDENCYPART_ARC
(7,4),-0.657058 # DEPENDENCYPART_ARC
(7,5),-0.877842 # DEPENDENCYPART_ARC
(7,6),-0.261694 # DEPENDENCYPART_ARC
(7,8),0.48975 # DEPENDENCYPART_ARC
(7,9),-0.0950702 # DEPENDENCYPART_ARC
(7,10),-0.488297 # DEPENDENCYPART_ARC
(7,11),-0.126454 # DEPENDENCYPART_ARC
(7,12),-0.926448 # DEPENDENCYPART_ARC
(7,13),-0.925241 # DEPENDENCYPART_ARC
(7,14),-0.90694 # DEPENDENCYPART_ARC
(7,15),-1.56058 # DEPENDENCYPART_ARC
(7,16),-1.12595 # DEPENDENCYPART_ARC
(7,17),-1.76108 # DEPENDENCYPART_ARC
(7,18),-1.89131 # DEPENDENCYPART_ARC
(7,19),-2.03184 # DEPENDENCYPART_ARC
(7,20),-1.09954 # DEPENDENCYPART_ARC
(7,21),-1.48691 # DEPENDENCYPART_ARC
(7,22),-1.76859 # DEPENDENCYPART_ARC
(7,23),-1.87612 # DEPENDENCYPART_ARC
(7,24),-1.9934 # DEPENDENCYPART_ARC
(7,25),-2.25396 # DEPENDENCYPART_ARC
(7,26),-2.23961 # DEPENDENCYPART_ARC
(7,27),-2.79402 # DEPENDENCYPART_ARC
(7,28),-2.76697 # DEPENDENCYPART_ARC
(7,29),-2.83682 # DEPENDENCYPART_ARC
(7,30),-2.79895 # DEPENDENCYPART_ARC
(7,31),-3.25417 # DEPENDENCYPART_ARC
(7,32),-3.31454 # DEPENDENCYPART_ARC
(7,33),-3.15537 # DEPENDENCYPART_ARC
(7,34),-3.43264 # DEPENDENCYPART_ARC
(7,35),-3.05153 # DEPENDENCYPART_ARC
(7,36),-2.80592 # DEPENDENCYPART_ARC
(8,1),-3.85511 # DEPENDENCYPART_ARC
(8,2),-2.70703 # DEPENDENCYPART_ARC
(8,3),-2.71473 # DEPENDENCYPART_ARC
(8,4),-0.784731 # DEPENDENCYPART_ARC
(8,5),-2.36926 # DEPENDENCYPART_ARC
(8,6),-2.00333 # DEPENDENCYPART_ARC
(8,7),0.616578 # DEPENDENCYPART_ARC
(8,9),0.0904405 # DEPENDENCYPART_ARC
(8,10),-0.274045 # DEPENDENCYPART_ARC
(8,11),-1.18935 # DEPENDENCYPART_ARC
(8,12),-2.0829 # DEPENDENCYPART_ARC
(8,13),-1.78154 # DEPENDENCYPART_ARC
(8,14),-1.77445 # DEPENDENCYPART_ARC
(8,15),-2.0325 # DEPENDENCYPART_ARC
(8,16),-1.74231 # DEPENDENCYPART_ARC
(8,17),-3.19559 # DEPENDENCYPART_ARC
(8,18),-2.37427 # DEPENDENCYPART_ARC
(8,19),-2.58521 # DEPENDENCYPART_ARC
(8,20),-0.403127 # DEPENDENCYPART_ARC
(8,21),-3.17405 # DEPENDENCYPART_ARC
(8,22),-2.59046 # DEPENDENCYPART_ARC
(8,23),-2.81166 # DEPENDENCYPART_ARC
(8,24),-3.92399 # DEPENDENCYPART_ARC
(8,25),-3.53917 # DEPENDENCYPART_ARC
(8,26),-4.37008 # DEPENDENCYPART_ARC
(8,27),-3.11209 # DEPENDENCYPART_ARC
(8,28),-3.59458 # DEPENDENCYPART_ARC
(8,29),-6.52532 # DEPENDENCYPART_ARC
(8,30),-4.21897 # DEPENDENCYPART_ARC
(8,31),-5.85117 # DEPENDENCYPART_ARC
(8,32),-5.05681 # DEPENDENCYPART_ARC
(8,33),-4.71864 # DEPENDENCYPART_ARC
(8,34),-4.51902 # DEPENDENCYPART_ARC
(8,35),-4.6045 # DEPENDENCYPART_ARC
(8,36),-0.275845 # DEPENDENCYPART_ARC
(9,1),-2.62284 # DEPENDENCYPART_ARC
(9,2),-1.10787 # DEPENDENCYPART_ARC
(9,3),-2.51368 # DEPENDENCYPART_ARC
(9,4),-0.101977 # DEPENDENCYPART_ARC
(9,5),-1.6608 # DEPENDENCYPART_ARC
(9,6),-1.34791 # DEPENDENCYPART_ARC
(9,7),1.34658 # DEPENDENCYPART_ARC
(9,8),1.95994 # DEPENDENCYPART_ARC
(9,10),1.06052 # DEPENDENCYPART_ARC
(9,11),-0.226857 # DEPENDENCYPART_ARC
(9,12),-1.11853 # DEPENDENCYPART_ARC
(9,13),-0.704127 # DEPENDENCYPART_ARC
(9,14),-0.602121 # DEPENDENCYPART_ARC
(9,15),-1.50995 # DEPENDENCYPART_ARC
(9,16),-1.04042 # DEPENDENCYPART_ARC
(9,17),-2.75871 # DEPENDENCYPART_ARC
(9,18),-1.96399 # DEPENDENCYPART_ARC
(9,19),-1.94355 # DEPENDENCYPART_ARC
(9,20),0.299728 # DEPENDENCYPART_ARC
(9,21),-2.02363 # DEPENDENCYPART_ARC
(9,22),-1.66544 # DEPENDENCYPART_ARC
(9,23),-1.82819 # DEPENDENCYPART_ARC
(9,24),-2.86036 # DEPENDENCYPART_ARC
(9,25),-2.68193 # DEPENDENCYPART_ARC
(9,26),-3.02704 # DEPENDENCYPART_ARC
(9,27),-2.52965 # DEPENDENCYPART_ARC
(9,28),-2.97224 # DEPENDENCYPART_ARC
(9,29),-5.39203 # DEPENDENCYPART_ARC
(9,30),-3.16128 # DEPENDENCYPART_ARC
(9,31),-5.27021 # DEPENDENCYPART_ARC
(9,32),-4.30819 # DEPENDENCYPART_ARC
(9,33),-3.61514 # DEPENDENCYPART_ARC
(9,34),-3.61908 # DEPENDENCYPART_ARC
(9,35),-3.84669 # DEPENDENCYPART_ARC
(9,36),0.377349 # DEPENDENCYPART_ARC
(10,1),-1.06462 # DEPENDENCYPART_ARC
(10,2),-0.466877 # DEPENDENCYPART_ARC
(10,3),0.373121 # DEPENDENCYPART_ARC
(10,4),1.43883 # DEPENDENCYPART_ARC
(10,5),0.133761 # DEPENDENCYPART_ARC
(10,6),0.394311 # DEPENDENCYPART_ARC
(10,7),3.85815 # DEPENDENCYPART_ARC
(10,8),4.09092 # DEPENDENCYPART_ARC
(10,9),3.93818 # DEPENDENCYPART_ARC
(10,11),4.04814 # DEPENDENCYPART_ARC
(10,12),1.41747 # DEPENDENCYPART_ARC
(10,13),0.924155 # DEPENDENCYPART_ARC
(10,14),1.27033 # DEPENDENCYPART_ARC
(10,15),0.368081 # DEPENDENCYPART_ARC
(10,16),0.100524 # DEPENDENCYPART_ARC
(10,17),0.0170855 # DEPENDENCYPART_ARC
(10,18),0.276177 # DEPENDENCYPART_ARC
(10,19),0.690491 # DEPENDENCYPART_ARC
(10,20),1.8537 # DEPENDENCYPART_ARC
(10,21),0.358235 # DEPENDENCYPART_ARC
(10,22),0.466584 # DEPENDENCYPART_ARC
(10,23),0.332468 # DEPENDENCYPART_ARC
(10,24),-1.25853 # DEPENDENCYPART_ARC
(10,25),-1.0532 # DEPENDENCYPART_ARC
(10,26),-1.15965 # DEPENDENCYPART_ARC
(10,27),-0.97914 # DEPENDENCYPART_ARC
(10,28),-1.05285 # DEPENDENCYPART_ARC
(10,29),-1.47193 # DEPENDENCYPART_ARC
(10,30),-2.29299 # DEPENDENCYPART_ARC
(10,31),-2.15933 # DEPENDENCYPART_ARC
(10,32),-1.77765 # DEPENDENCYPART_ARC
(10,33),-4.07141 # DEPENDENCYPART_ARC
(10,34),-1.57232 # DEPENDENCYPART_ARC
(10,35),-1.80884 # DEPENDENCYPART_ARC
(10,36),0.986722 # DEPENDENCYPART_ARC
(11,1),-1.10633 # DEPENDENCYPART_ARC
(11,2),-1.81851 # DEPENDENCYPART_ARC
(11,3),-0.984613 # DEPENDENCYPART_ARC
(11,4),-1.37683 # DEPENDENCYPART_ARC
(11,5),-1.20596 # DEPENDENCYPART_ARC
(11,6),-1.0191 # DEPENDENCYPART_ARC
(11,7),-0.313982 # DEPENDENCYPART_ARC
(11,8),0.0489939 # DEPENDENCYPART_ARC
(11,9),-0.281472 # DEPENDENCYPART_ARC
(11,10),0.303969 # DEPENDENCYPART_ARC
(11,12),2.36638 # DEPENDENCYPART_ARC
(11,13),3.98079 # DEPENDENCYPART_ARC
(11,14),0.553931 # DEPENDENCYPART_ARC
(11,15),-0.321797 # DEPENDENCYPART_ARC
(11,16),0.359152 # DEPENDENCYPART_ARC
(11,17),-1.31996 # DEPENDENCYPART_ARC
(11,18),-0.576755 # DEPENDENCYPART_ARC
(11,19),0.131987 # DEPENDENCYPART_ARC
(11,20),0.384016 # DEPENDENCYPART_ARC
(11,21),0.440406 # DEPENDENCYPART_ARC
(11,22),-0.14894 # DEPENDENCYPART_ARC
(11,23),-0.413378 # DEPENDENCYPART_ARC
(11,24),-1.5544 # DEPENDENCYPART_ARC
(11,25),-4.82278 # DEPENDENCYPART_ARC
(11,26),-1.48859 # DEPENDENCYPART_ARC
(11,27),-2.28744 # DEPENDENCYPART_ARC
(11,28),-3.28922 # DEPENDENCYPART_ARC
(11,29),-3.83701 # DEPENDENCYPART_ARC
(11,30),-0.610059 # DEPENDENCYPART_ARC
(11,31),-5.46374 # DEPENDENCYPART_ARC
(11,32),-5.03569 # DEPENDENCYPART_ARC
(11,33),-3.74079 # DEPENDENCYPART_ARC
(11,34),-4.11666 # DEPENDENCYPART_ARC
(11,35),-9.12243 # DEPENDENCYPART_ARC
(11,36),0.310549 # DEPENDENCYPART_ARC
(12,1),-5.83561 # DEPENDENCYPART_ARC
(12,2),-4.37867 # DEPENDENCYPART_ARC
(12,3),-3.53549 # DEPENDENCYPART_ARC
(12,4),-3.32763 # DEPENDENCYPART_ARC
(12,5),-4.96051 # DEPENDENCYPART_ARC
(12,6),-3.78544 # DEPENDENCYPART_ARC
(12,7),-0.936307 # DEPENDENCYPART_ARC
(12,8),-1.31385 # DEPENDENCYPART_ARC
(12,9),-1.44831 # DEPENDENCYPART_ARC
(12,10),-1.86028 # DEPENDENCYPART_ARC
(12,11),-1.29332 # DEPENDENCYPART_ARC
(12,13),1.23977 # DEPENDENCYPART_ARC
(12,14),-0.39016 # DEPENDENCYPART_ARC
(12,15),-1.28751 # DEPENDENCYPART_ARC
(12,16),-1.98959 # DEPENDENCYPART_ARC
(12,17),-1.61377 # DEPENDENCYPART_ARC
(12,18),-1.82971 # DEPENDENCYPART_ARC
(12,19),-1.72617 # DEPENDENCYPART_ARC
(12,20),0.363601 # DEPENDENCYPART_ARC
(12,21),-1.31595 # DEPENDENCYPART_ARC
(12,22),-1.47663 # DEPENDENCYPART_ARC
(12,23),-1.9064 # DEPENDENCYPART_ARC
(12,24),-2.27489 # DEPENDENCYPART_ARC
(12,25),-2.09234 # DEPENDENCYPART_ARC
(12,26),-2.1556 # DEPENDENCYPART_ARC
(12,27),-2.83006 # DEPENDENCYPART_ARC
(12,28),-2.72138 # DEPENDENCYPART_ARC
(12,29),-3.05289 # DEPENDENCYPART_ARC
(12,30),-3.51163 # DEPENDENCYPART_ARC
(12,31),-3.85276 # DEPENDENCYPART_ARC
(12,32),-3.8631 # DEPENDENCYPART_ARC
(12,33),-4.68847 # DEPENDENCYPART_ARC
(12,34),-3.2479 # DEPENDENCYPART_ARC
(12,35),-2.57013 # DEPENDENCYPART_ARC
(12,36),-0.724099 # DEPENDENCYPART_ARC
(13,1),-2.53731 # DEPENDENCYPART_ARC
(13,2),-1.36378 # DEPENDENCYPART_ARC
(13,3),-0.948481 # DEPENDENCYPART_ARC
(13,4),-0.469554 # DEPENDENCYPART_ARC
(13,5),-0.590895 # DEPENDENCYPART_ARC
(13,6),-0.60655 # DEPENDENCYPART_ARC
(13,7),1.66284 # DEPENDENCYPART_ARC
(13,8),1.98293 # DEPENDENCYPART_ARC
(13,9),1.83617 # DEPENDENCYPART_ARC
(13,10),1.26583 # DEPENDENCYPART_ARC
(13,11),0.576497 # DEPENDENCYPART_ARC
(13,12),4.4229 # DEPENDENCYPART_ARC
(13,14),0.973204 # DEPENDENCYPART_ARC
(13,15),-0.714625 # DEPENDENCYPART_ARC
(13,16),-0.956936 # DEPENDENCYPART_ARC
(13,17),-1.04638 # DEPENDENCYPART_ARC
(13,18),-0.558729 # DEPENDENCYPART_ARC
(13,19),-0.76461 # DEPENDENCYPART_ARC
(13,20),0.0494915 # DEPENDENCYPART_ARC
(13,21),-0.725284 # DEPENDENCYPART_ARC
(13,22),-1.73136 # DEPENDENCYPART_ARC
(13,23),-1.16177 # DEPENDENCYPART_ARC
(13,24),-1.6488 # DEPENDENCYPART_ARC
(13,25),-1.86353 # DEPENDENCYPART_ARC
(13,26),-1.34784 # DEPENDENCYPART_ARC
(13,27),-2.57651 # DEPENDENCYPART_ARC
(13,28),-2.06462 # DEPENDENCYPART_ARC
(13,29),-1.78884 # DEPENDENCYPART_ARC
(13,30),-2.62939 # DEPENDENCYPART_ARC
(13,31),-2.68788 # DEPENDENCYPART_ARC
(13,32),-2.20526 # DEPENDENCYPART_ARC
(13,33),-3.22563 # DEPENDENCYPART_ARC
(13,34),-2.52332 # DEPENDENCYPART_ARC
(13,35),-2.93724 # DEPENDENCYPART_ARC
(13,36),-0.919537 # DEPENDENCYPART_ARC
(14,1),-2.09234 # DEPENDENCYPART_ARC
(14,2),-2.1268 # DEPENDENCYPART_ARC
(14,3),-0.304008 # DEPENDENCYPART_ARC
(14,4),-1.41985 # DEPENDENCYPART_ARC
(14,5),-0.788207 # DEPENDENCYPART_ARC
(14,6),-1.41454 # DEPENDENCYPART_ARC
(14,7),-0.551488 # DEPENDENCYPART_ARC
(14,8),-0.987768 # DEPENDENCYPART_ARC
(14,9),-1.05124 # DEPENDENCYPART_ARC
(14,10),-0.496188 # DEPENDENCYPART_ARC
(14,11),-0.299725 # DEPENDENCYPART_ARC
(14,12),-0.31317 # DEPENDENCYPART_ARC
(14,13),0.316328 # DEPENDENCYPART_ARC
