# _root_ As usual , few favorable reviews were heard for that ever-present marching band of program traders , although most serious studies suggest they only play the music that others write .
#goldHeads=7,1,7,6,6,7,0,7,6,13,13,13,9,13,16,14,8,8,21,21,22,18,25,25,22,27,25,30,30,27,7,
#predictedHeads=7,1,7,6,6,7,0,7,8,13,13,13,9,13,16,14,22,8,21,21,22,18,22,25,22,27,25,30,30,27,7,
(13,30),-0.121497 # DEPENDENCYPART_ARC
(13,31),1.65557 # DEPENDENCYPART_ARC
(14,1),-1.35034 # DEPENDENCYPART_ARC
(14,2),-1.60999 # DEPENDENCYPART_ARC
(14,3),-2.13852 # DEPENDENCYPART_ARC
(14,4),-1.25847 # DEPENDENCYPART_ARC
(14,5),-1.11674 # DEPENDENCYPART_ARC
(14,6),-1.20508 # DEPENDENCYPART_ARC
(14,7),-1.10282 # DEPENDENCYPART_ARC
(14,8),-0.829869 # DEPENDENCYPART_ARC
(14,9),-0.390383 # DEPENDENCYPART_ARC
(14,10),-0.657808 # DEPENDENCYPART_ARC
(14,11),-0.364196 # DEPENDENCYPART_ARC
(14,12),-0.63515 # DEPENDENCYPART_ARC
(14,13),0.678828 # DEPENDENCYPART_ARC
(14,15),2.89056 # DEPENDENCYPART_ARC
(14,16),3.98514 # DEPENDENCYPART_ARC
(14,17),1.08421 # DEPENDENCYPART_ARC
(14,18),-0.0631067 # DEPENDENCYPART_ARC
(14,19),-0.832597 # DEPENDENCYPART_ARC
(14,20),-0.797765 # DEPENDENCYPART_ARC
(14,21),-0.851361 # DEPENDENCYPART_ARC
(14,22),-0.403086 # DEPENDENCYPART_ARC
(14,23),-1.45402 # DEPENDENCYPART_ARC
(14,24),-0.781043 # DEPENDENCYPART_ARC
(14,25),-0.62109 # DEPENDENCYPART_ARC
(14,26),-2.80622 # DEPENDENCYPART_ARC
(14,27),-4.80583 # DEPENDENCYPART_ARC
(14,28),-2.80195 # DEPENDENCYPART_ARC
(14,29),-6.50952 # DEPENDENCYPART_ARC
(14,30),-2.9186 # DEPENDENCYPART_ARC
(14,31),0.56221 # DEPENDENCYPART_ARC
(15,1),-3.8933 # DEPENDENCYPART_ARC
(15,2),-5.13095 # DEPENDENCYPART_ARC
(15,3),-3.43373 # DEPENDENCYPART_ARC
(15,4),-5.01788 # DEPENDENCYPART_ARC
(15,5),-4.42865 # DEPENDENCYPART_ARC
(15,6),-3.85054 # DEPENDENCYPART_ARC
(15,7),-3.49768 # DEPENDENCYPART_ARC
(15,8),-2.94087 # DEPENDENCYPART_ARC
(15,9),-2.53533 # DEPENDENCYPART_ARC
(15,10),-2.6523 # DEPENDENCYPART_ARC
(15,11),-1.34719 # DEPENDENCYPART_ARC
(15,12),-1.42849 # DEPENDENCYPART_ARC
(15,13),-1.31904 # DEPENDENCYPART_ARC
(15,14),0.073738 # DEPENDENCYPART_ARC
(15,16),1.73001 # DEPENDENCYPART_ARC
(15,17),-0.195862 # DEPENDENCYPART_ARC
(15,18),-1.07482 # DEPENDENCYPART_ARC
(15,19),-1.45166 # DEPENDENCYPART_ARC
(15,20),-0.958126 # DEPENDENCYPART_ARC
(15,21),-1.01092 # DEPENDENCYPART_ARC
(15,22),-0.394831 # DEPENDENCYPART_ARC
(15,23),-1.46732 # DEPENDENCYPART_ARC
(15,24),-1.8474 # DEPENDENCYPART_ARC
(15,25),-1.77107 # DEPENDENCYPART_ARC
(15,26),-2.18224 # DEPENDENCYPART_ARC
(15,27),-1.51496 # DEPENDENCYPART_ARC
(15,28),-2.45936 # DEPENDENCYPART_ARC
(15,29),-2.17004 # DEPENDENCYPART_ARC
(15,30),-0.984978 # DEPENDENCYPART_ARC
(15,31),-0.071494 # DEPENDENCYPART_ARC
(16,1),-2.27314 # DEPENDENCYPART_ARC
(16,2),-3.03504 # DEPENDENCYPART_ARC
(16,3),-1.42505 # DEPENDENCYPART_ARC
(16,4),-2.21261 # DEPENDENCYPART_ARC
(16,5),-2.88128 # DEPENDENCYPART_ARC
(16,6),-2.73597 # DEPENDENCYPART_ARC
(16,7),-1.61412 # DEPENDENCYPART_ARC
(16,8),-1.76629 # DEPENDENCYPART_ARC
(16,9),-1.84201 # DEPENDENCYPART_ARC
(16,10),-1.56872 # DEPENDENCYPART_ARC
(16,11),0.293179 # DEPENDENCYPART_ARC
(16,12),0.431448 # DEPENDENCYPART_ARC
(16,13),0.391892 # DEPENDENCYPART_ARC
(16,14),-0.0769528 # DEPENDENCYPART_ARC
(16,15),4.54701 # DEPENDENCYPART_ARC
(16,17),1.09065 # DEPENDENCYPART_ARC
(16,18),-0.350974 # DEPENDENCYPART_ARC
(16,19),-0.206252 # DEPENDENCYPART_ARC
(16,20),-0.150455 # DEPENDENCYPART_ARC
(16,21),0.174487 # DEPENDENCYPART_ARC
(16,22),0.369725 # DEPENDENCYPART_ARC
(16,23),-0.890125 # DEPENDENCYPART_ARC
(16,24),-0.593435 # DEPENDENCYPART_ARC
(16,25),-0.658063 # DEPENDENCYPART_ARC
(16,26),-0.907692 # DEPENDENCYPART_ARC
(16,27),-1.12054 # DEPENDENCYPART_ARC
(16,28),-2.11367 # DEPENDENCYPART_ARC
