# _root_ Hertz Corp. of Park Ridge , N.J. , said it retained Merrill Lynch Capital Markets to sell its Hertz Equipment Rental Corp. unit .
#goldHeads=9,1,1,5,3,5,5,5,0,11,9,15,15,15,11,11,16,23,23,23,23,23,17,9,
#predictedHeads=9,1,1,5,3,5,5,5,0,11,9,15,15,15,11,11,16,23,23,23,23,23,17,9,
(1,14),-0.363776 # DEPENDENCYPART_ARC
(1,15),-0.608122 # DEPENDENCYPART_ARC
(1,16),-0.977755 # DEPENDENCYPART_ARC
(1,17),-0.933181 # DEPENDENCYPART_ARC
(1,18),-1.1124 # DEPENDENCYPART_ARC
(1,19),-1.17602 # DEPENDENCYPART_ARC
(1,20),-0.958027 # DEPENDENCYPART_ARC
(1,21),-1.05988 # DEPENDENCYPART_ARC
(1,22),-3.78075 # DEPENDENCYPART_ARC
(1,23),-2.50099 # DEPENDENCYPART_ARC
(1,24),1.05487 # DEPENDENCYPART_ARC
(2,1),1.88891 # DEPENDENCYPART_ARC
(2,3),2.18455 # DEPENDENCYPART_ARC
(2,4),0.321294 # DEPENDENCYPART_ARC
(2,5),0.838867 # DEPENDENCYPART_ARC
(2,6),0.964626 # DEPENDENCYPART_ARC
(2,7),-0.126355 # DEPENDENCYPART_ARC
(2,8),0.935649 # DEPENDENCYPART_ARC
(2,9),-0.439379 # DEPENDENCYPART_ARC
(2,10),-0.973096 # DEPENDENCYPART_ARC
(2,11),-0.411399 # DEPENDENCYPART_ARC
(2,12),-2.82945 # DEPENDENCYPART_ARC
(2,13),-3.01154 # DEPENDENCYPART_ARC
(2,14),-2.52129 # DEPENDENCYPART_ARC
(2,15),-2.75678 # DEPENDENCYPART_ARC
(2,16),-2.08972 # DEPENDENCYPART_ARC
(2,17),-1.93248 # DEPENDENCYPART_ARC
(2,18),-2.08985 # DEPENDENCYPART_ARC
(2,19),-3.43448 # DEPENDENCYPART_ARC
(2,20),-3.25321 # DEPENDENCYPART_ARC
(2,21),-3.45767 # DEPENDENCYPART_ARC
(2,22),-5.95798 # DEPENDENCYPART_ARC
(2,23),-3.03616 # DEPENDENCYPART_ARC
(2,24),0.9062 # DEPENDENCYPART_ARC
(3,1),0.0798077 # DEPENDENCYPART_ARC
(3,2),0.368621 # DEPENDENCYPART_ARC
(3,4),3.38245 # DEPENDENCYPART_ARC
(3,5),3.29497 # DEPENDENCYPART_ARC
(3,6),0.559617 # DEPENDENCYPART_ARC
(3,7),1.15166 # DEPENDENCYPART_ARC
(3,8),0.448101 # DEPENDENCYPART_ARC
(3,9),-0.314564 # DEPENDENCYPART_ARC
(3,10),0.0751078 # DEPENDENCYPART_ARC
(3,11),-1.90308 # DEPENDENCYPART_ARC
(3,12),-3.25852 # DEPENDENCYPART_ARC
(3,13),-2.77203 # DEPENDENCYPART_ARC
(3,14),-1.96247 # DEPENDENCYPART_ARC
(3,15),-2.29076 # DEPENDENCYPART_ARC
(3,16),-4.39749 # DEPENDENCYPART_ARC
(3,17),-1.44858 # DEPENDENCYPART_ARC
(3,18),-1.83604 # DEPENDENCYPART_ARC
(3,19),-4.43415 # DEPENDENCYPART_ARC
(3,20),-3.91459 # DEPENDENCYPART_ARC
(3,21),-4.12213 # DEPENDENCYPART_ARC
(3,22),-5.91397 # DEPENDENCYPART_ARC
(3,23),-3.63634 # DEPENDENCYPART_ARC
(3,24),-2.32044 # DEPENDENCYPART_ARC
(4,1),-0.411322 # DEPENDENCYPART_ARC
(4,2),-0.354221 # DEPENDENCYPART_ARC
(4,3),-0.39511 # DEPENDENCYPART_ARC
(4,5),1.94989 # DEPENDENCYPART_ARC
(4,6),1.14666 # DEPENDENCYPART_ARC
(4,7),0.752939 # DEPENDENCYPART_ARC
(4,8),0.235235 # DEPENDENCYPART_ARC
(4,9),-0.617107 # DEPENDENCYPART_ARC
(4,10),-1.51467 # DEPENDENCYPART_ARC
(4,11),-0.69953 # DEPENDENCYPART_ARC
(4,12),-2.34317 # DEPENDENCYPART_ARC
(4,13),-2.20334 # DEPENDENCYPART_ARC
(4,14),-1.69997 # DEPENDENCYPART_ARC
(4,15),-1.94592 # DEPENDENCYPART_ARC
(4,16),-2.53962 # DEPENDENCYPART_ARC
(4,17),-2.5135 # DEPENDENCYPART_ARC
(4,18),-2.70931 # DEPENDENCYPART_ARC
(4,19),-2.65045 # DEPENDENCYPART_ARC
(4,20),-2.17371 # DEPENDENCYPART_ARC
(4,21),-2.31313 # DEPENDENCYPART_ARC
(4,22),-4.66005 # DEPENDENCYPART_ARC
(4,23),-4.19382 # DEPENDENCYPART_ARC
(4,24),-1.75577 # DEPENDENCYPART_ARC
(5,1),1.09058 # DEPENDENCYPART_ARC
(5,2),1.05814 # DEPENDENCYPART_ARC
(5,3),0.287554 # DEPENDENCYPART_ARC
(5,4),4.66707 # DEPENDENCYPART_ARC
(5,6),3.45617 # DEPENDENCYPART_ARC
(5,7),2.7947 # DEPENDENCYPART_ARC
(5,8),3.58869 # DEPENDENCYPART_ARC
(5,9),0.502644 # DEPENDENCYPART_ARC
(5,10),0.160524 # DEPENDENCYPART_ARC
(5,11),0.706119 # DEPENDENCYPART_ARC
(5,12),-0.996562 # DEPENDENCYPART_ARC
(5,13),-0.953985 # DEPENDENCYPART_ARC
(5,14),-0.508196 # DEPENDENCYPART_ARC
(5,15),-0.438485 # DEPENDENCYPART_ARC
(5,16),-1.0561 # DEPENDENCYPART_ARC
(5,17),-1.11361 # DEPENDENCYPART_ARC
(5,18),-1.16338 # DEPENDENCYPART_ARC
(5,19),-1.36106 # DEPENDENCYPART_ARC
(5,20),-0.943136 # DEPENDENCYPART_ARC
(5,21),-1.07013 # DEPENDENCYPART_ARC
(5,22),-2.8144 # DEPENDENCYPART_ARC
(5,23),-1.93088 # DEPENDENCYPART_ARC
(5,24),0.0110308 # DEPENDENCYPART_ARC
(6,1),-2.23081 # DEPENDENCYPART_ARC
(6,2),-2.034 # DEPENDENCYPART_ARC
(6,3),-1.22739 # DEPENDENCYPART_ARC
(6,4),-1.7544 # DEPENDENCYPART_ARC
(6,5),-1.22302 # DEPENDENCYPART_ARC
(6,7),-0.392071 # DEPENDENCYPART_ARC
(6,8),0.116291 # DEPENDENCYPART_ARC
(6,9),-1.03404 # DEPENDENCYPART_ARC
(6,10),-1.80035 # DEPENDENCYPART_ARC
(6,11),-1.47617 # DEPENDENCYPART_ARC
(6,12),-2.08944 # DEPENDENCYPART_ARC
(6,13),-2.22507 # DEPENDENCYPART_ARC
(6,14),-2.37592 # DEPENDENCYPART_ARC
(6,15),-2.46158 # DEPENDENCYPART_ARC
(6,16),-2.24094 # DEPENDENCYPART_ARC
(6,17),-2.15408 # DEPENDENCYPART_ARC
(6,18),-2.93496 # DEPENDENCYPART_ARC
(6,19),-2.90413 # DEPENDENCYPART_ARC
(6,20),-3.04485 # DEPENDENCYPART_ARC
(6,21),-3.12274 # DEPENDENCYPART_ARC
(6,22),-3.24068 # DEPENDENCYPART_ARC
(6,23),-3.39161 # DEPENDENCYPART_ARC
(6,24),-2.44489 # DEPENDENCYPART_ARC
(7,1),-0.189922 # DEPENDENCYPART_ARC
(7,2),0.576451 # DEPENDENCYPART_ARC
(7,3),-0.213269 # DEPENDENCYPART_ARC
(7,4),2.7137 # DEPENDENCYPART_ARC
(7,5),1.97783 # DEPENDENCYPART_ARC
(7,6),2.61202 # DEPENDENCYPART_ARC
(7,8),1.83144 # DEPENDENCYPART_ARC
(7,9),-0.625192 # DEPENDENCYPART_ARC
(7,10),-0.756087 # DEPENDENCYPART_ARC
(7,11),-1.01308 # DEPENDENCYPART_ARC
(7,12),-1.4321 # DEPENDENCYPART_ARC
(7,13),-1.65515 # DEPENDENCYPART_ARC
(7,14),-1.38943 # DEPENDENCYPART_ARC
(7,15),-1.46398 # DEPENDENCYPART_ARC
(7,16),-1.88164 # DEPENDENCYPART_ARC
(7,17),-2.26979 # DEPENDENCYPART_ARC
(7,18),-2.41571 # DEPENDENCYPART_ARC
(7,19),-2.20619 # DEPENDENCYPART_ARC
(7,20),-1.82016 # DEPENDENCYPART_ARC
(7,21),-1.94792 # DEPENDENCYPART_ARC
(7,22),-3.10852 # DEPENDENCYPART_ARC
(7,23),-3.85214 # DEPENDENCYPART_ARC
(7,24),-1.46518 # DEPENDENCYPART_ARC
(8,1),-1.81518 # DEPENDENCYPART_ARC
(8,2),-1.70421 # DEPENDENCYPART_ARC
(8,3),-1.34916 # DEPENDENCYPART_ARC
(8,4),-1.52738 # DEPENDENCYPART_ARC
(8,5),-1.33377 # DEPENDENCYPART_ARC
(8,6),0.0337556 # DEPENDENCYPART_ARC
(8,7),-0.680006 # DEPENDENCYPART_ARC
(8,9),-0.125982 # DEPENDENCYPART_ARC
(8,10),-1.3119 # DEPENDENCYPART_ARC
(8,11),-1.14407 # DEPENDENCYPART_ARC
(8,12),-1.57773 # DEPENDENCYPART_ARC
(8,13),-1.76546 # DEPENDENCYPART_ARC
(8,14),-2.19539 # DEPENDENCYPART_ARC
(8,15),-2.32033 # DEPENDENCYPART_ARC
(8,16),-2.16748 # DEPENDENCYPART_ARC
(8,17),-2.11594 # DEPENDENCYPART_ARC
(8,18),-2.85048 # DEPENDENCYPART_ARC
(8,19),-2.77125 # DEPENDENCYPART_ARC
(8,20),-2.92796 # DEPENDENCYPART_ARC
(8,21),-3.01009 # DEPENDENCYPART_ARC
(8,22),-3.14011 # DEPENDENCYPART_ARC
(8,23),-3.27259 # DEPENDENCYPART_ARC
(8,24),-2.30571 # DEPENDENCYPART_ARC
(9,1),1.69166 # DEPENDENCYPART_ARC
(9,2),0.130106 # DEPENDENCYPART_ARC
(9,3),-0.597494 # DEPENDENCYPART_ARC
(9,4),0.0974272 # DEPENDENCYPART_ARC
(9,5),1.42955 # DEPENDENCYPART_ARC
(9,6),2.08091 # DEPENDENCYPART_ARC
(9,7),0.544267 # DEPENDENCYPART_ARC
(9,8),1.53877 # DEPENDENCYPART_ARC
(9,10),0.983192 # DEPENDENCYPART_ARC
(9,11),3.2697 # DEPENDENCYPART_ARC
(9,12),-0.337672 # DEPENDENCYPART_ARC
(9,13),-0.523538 # DEPENDENCYPART_ARC
(9,14),-0.404462 # DEPENDENCYPART_ARC
(9,15),-0.0991606 # DEPENDENCYPART_ARC
(9,16),-0.628898 # DEPENDENCYPART_ARC
(9,17),0.374212 # DEPENDENCYPART_ARC
(9,18),-1.50696 # DEPENDENCYPART_ARC
(9,19),-1.28748 # DEPENDENCYPART_ARC
(9,20),-1.35823 # DEPENDENCYPART_ARC
(9,21),-1.30262 # DEPENDENCYPART_ARC
(9,22),-1.43977 # DEPENDENCYPART_ARC
(9,23),-2.55565 # DEPENDENCYPART_ARC
(9,24),6.89981 # DEPENDENCYPART_ARC
(10,1),-2.1905 # DEPENDENCYPART_ARC
(10,2),-2.14545 # DEPENDENCYPART_ARC
(10,3),-1.45208 # DEPENDENCYPART_ARC
(10,4),-1.79128 # DEPENDENCYPART_ARC
(10,5),-1.73923 # DEPENDENCYPART_ARC
(10,6),-0.299664 # DEPENDENCYPART_ARC
(10,7),-1.0818 # DEPENDENCYPART_ARC
(10,8),0.198607 # DEPENDENCYPART_ARC
(10,9),-0.120161 # DEPENDENCYPART_ARC
(10,11),0.855143 # DEPENDENCYPART_ARC
(10,12),-0.110043 # DEPENDENCYPART_ARC
(10,13),-0.222109 # DEPENDENCYPART_ARC
(10,14),-0.467883 # DEPENDENCYPART_ARC
(10,15),-0.617824 # DEPENDENCYPART_ARC
(10,16),-0.427912 # DEPENDENCYPART_ARC
(10,17),-1.75861 # DEPENDENCYPART_ARC
(10,18),-1.86951 # DEPENDENCYPART_ARC
(10,19),-1.32743 # DEPENDENCYPART_ARC
(10,20),-1.38689 # DEPENDENCYPART_ARC
(10,21),-1.55046 # DEPENDENCYPART_ARC
(10,22),-1.66938 # DEPENDENCYPART_ARC
(10,23),-1.85086 # DEPENDENCYPART_ARC
(10,24),-1.20485 # DEPENDENCYPART_ARC
(11,1),-0.283761 # DEPENDENCYPART_ARC
(11,2),-1.42721 # DEPENDENCYPART_ARC
(11,3),-0.490254 # DEPENDENCYPART_ARC
(11,4),-0.76444 # DEPENDENCYPART_ARC
(11,5),-0.693889 # DEPENDENCYPART_ARC
(11,6),1.04099 # DEPENDENCYPART_ARC
(11,7),-0.827209 # DEPENDENCYPART_ARC
(11,8),0.78546 # DEPENDENCYPART_ARC
(11,9),0.718726 # DEPENDENCYPART_ARC
(11,10),3.91036 # DEPENDENCYPART_ARC
(11,12),1.83354 # DEPENDENCYPART_ARC
(11,13),1.91165 # DEPENDENCYPART_ARC
(11,14),1.67819 # DEPENDENCYPART_ARC
(11,15),2.47285 # DEPENDENCYPART_ARC
(11,16),1.41405 # DEPENDENCYPART_ARC
(11,17),0.759131 # DEPENDENCYPART_ARC
(11,18),-0.883455 # DEPENDENCYPART_ARC
(11,19),0.460388 # DEPENDENCYPART_ARC
(11,20),0.717183 # DEPENDENCYPART_ARC
(11,21),0.849176 # DEPENDENCYPART_ARC
(11,22),0.637478 # DEPENDENCYPART_ARC
(11,23),-0.00732332 # DEPENDENCYPART_ARC
(11,24),3.35347 # DEPENDENCYPART_ARC
(12,1),-6.47774 # DEPENDENCYPART_ARC
(12,2),-5.62167 # DEPENDENCYPART_ARC
(12,3),-3.62444 # DEPENDENCYPART_ARC
(12,4),-4.17301 # DEPENDENCYPART_ARC
(12,5),-5.24483 # DEPENDENCYPART_ARC
(12,6),-2.83874 # DEPENDENCYPART_ARC
(12,7),-3.3068 # DEPENDENCYPART_ARC
(12,8),-1.88485 # DEPENDENCYPART_ARC
(12,9),-2.24379 # DEPENDENCYPART_ARC
(12,10),-0.846387 # DEPENDENCYPART_ARC
(12,11),-0.918988 # DEPENDENCYPART_ARC
(12,13),0.676552 # DEPENDENCYPART_ARC
(12,14),0.73895 # DEPENDENCYPART_ARC
(12,15),0.144725 # DEPENDENCYPART_ARC
(12,16),-1.10654 # DEPENDENCYPART_ARC
(12,17),-1.73198 # DEPENDENCYPART_ARC
(12,18),-2.03687 # DEPENDENCYPART_ARC
(12,19),-1.17229 # DEPENDENCYPART_ARC
(12,20),-0.804619 # DEPENDENCYPART_ARC
(12,21),-0.87728 # DEPENDENCYPART_ARC
(12,22),-1.9642 # DEPENDENCYPART_ARC
(12,23),-1.69577 # DEPENDENCYPART_ARC
(12,24),-1.49149 # DEPENDENCYPART_ARC
(13,1),-5.4126 # DEPENDENCYPART_ARC
(13,2),-5.18759 # DEPENDENCYPART_ARC
(13,3),-3.54749 # DEPENDENCYPART_ARC
(13,4),-3.052 # DEPENDENCYPART_ARC
(13,5),-4.73344 # DEPENDENCYPART_ARC
(13,6),-2.34752 # DEPENDENCYPART_ARC
(13,7),-3.33424 # DEPENDENCYPART_ARC
(13,8),-1.70093 # DEPENDENCYPART_ARC
(13,9),-2.23857 # DEPENDENCYPART_ARC
(13,10),-1.49743 # DEPENDENCYPART_ARC
(13,11),-1.17611 # DEPENDENCYPART_ARC
(13,12),2.3969 # DEPENDENCYPART_ARC
(13,14),0.542501 # DEPENDENCYPART_ARC
(13,15),0.629867 # DEPENDENCYPART_ARC
(13,16),-1.49858 # DEPENDENCYPART_ARC
(13,17),-1.89207 # DEPENDENCYPART_ARC
(13,18),-2.2211 # DEPENDENCYPART_ARC
(13,19),-1.32381 # DEPENDENCYPART_ARC
(13,20),-0.766121 # DEPENDENCYPART_ARC
(13,21),-0.89156 # DEPENDENCYPART_ARC
(13,22),-1.86436 # DEPENDENCYPART_ARC
(13,23),-1.37404 # DEPENDENCYPART_ARC
(13,24),-1.78005 # DEPENDENCYPART_ARC
(14,1),-4.88616 # DEPENDENCYPART_ARC
(14,2),-4.44345 # DEPENDENCYPART_ARC
(14,3),-3.33144 # DEPENDENCYPART_ARC
(14,4),-2.4704 # DEPENDENCYPART_ARC
(14,5),-4.07839 # DEPENDENCYPART_ARC
(14,6),-2.04989 # DEPENDENCYPART_ARC
(14,7),-2.6154 # DEPENDENCYPART_ARC
(14,8),-1.85387 # DEPENDENCYPART_ARC
(14,9),-1.7029 # DEPENDENCYPART_ARC
(14,10),-1.04207 # DEPENDENCYPART_ARC
(14,11),-0.823064 # DEPENDENCYPART_ARC
(14,12),2.48849 # DEPENDENCYPART_ARC
(14,13),2.32431 # DEPENDENCYPART_ARC
(14,15),1.34037 # DEPENDENCYPART_ARC
(14,16),-1.18865 # DEPENDENCYPART_ARC
(14,17),-1.49515 # DEPENDENCYPART_ARC
(14,18),-1.90933 # DEPENDENCYPART_ARC
(14,19),-0.817453 # DEPENDENCYPART_ARC
(14,20),-0.569723 # DEPENDENCYPART_ARC
(14,21),-0.627246 # DEPENDENCYPART_ARC
(14,22),-1.41259 # DEPENDENCYPART_ARC
(14,23),-0.624925 # DEPENDENCYPART_ARC
(14,24),-2.24794 # DEPENDENCYPART_ARC
(15,1),-2.71369 # DEPENDENCYPART_ARC
(15,2),-1.94136 # DEPENDENCYPART_ARC
(15,3),-1.06705 # DEPENDENCYPART_ARC
(15,4),-0.886764 # DEPENDENCYPART_ARC
(15,5),-2.15429 # DEPENDENCYPART_ARC
(15,6),0.0643204 # DEPENDENCYPART_ARC
(15,7),-0.619656 # DEPENDENCYPART_ARC
(15,8),0.12273 # DEPENDENCYPART_ARC
(15,9),-0.199496 # DEPENDENCYPART_ARC
(15,10),0.811117 # DEPENDENCYPART_ARC
(15,11),0.825226 # DEPENDENCYPART_ARC
(15,12),4.78108 # DEPENDENCYPART_ARC
(15,13),4.53963 # DEPENDENCYPART_ARC
(15,14),4.77795 # DEPENDENCYPART_ARC
(15,16),1.03266 # DEPENDENCYPART_ARC
(15,17),0.700298 # DEPENDENCYPART_ARC
(15,18),0.0491964 # DEPENDENCYPART_ARC
(15,19),0.808588 # DEPENDENCYPART_ARC
(15,20),1.09458 # DEPENDENCYPART_ARC
(15,21),0.698644 # DEPENDENCYPART_ARC
(15,22),0.846834 # DEPENDENCYPART_ARC
(15,23),0.465314 # DEPENDENCYPART_ARC
(15,24),0.0681911 # DEPENDENCYPART_ARC
(16,1),-1.06576 # DEPENDENCYPART_ARC
(16,2),-1.04347 # DEPENDENCYPART_ARC
(16,3),-1.1287 # DEPENDENCYPART_ARC
(16,4),-0.575534 # DEPENDENCYPART_ARC
(16,5),-1.03046 # DEPENDENCYPART_ARC
(16,6),-1.53075 # DEPENDENCYPART_ARC
(16,7),-0.742791 # DEPENDENCYPART_ARC
(16,8),-1.45903 # DEPENDENCYPART_ARC
(16,9),-0.435468 # DEPENDENCYPART_ARC
(16,10),-0.636628 # DEPENDENCYPART_ARC
(16,11),-0.312625 # DEPENDENCYPART_ARC
(16,12),0.177791 # DEPENDENCYPART_ARC
(16,13),0.419945 # DEPENDENCYPART_ARC
(16,14),0.340284 # DEPENDENCYPART_ARC
(16,15),1.16103 # DEPENDENCYPART_ARC
(16,17),4.09369 # DEPENDENCYPART_ARC
(16,18),0.070831 # DEPENDENCYPART_ARC
(16,19),0.276675 # DEPENDENCYPART_ARC
(16,20),0.281781 # DEPENDENCYPART_ARC
(16,21),0.192237 # DEPENDENCYPART_ARC
(16,22),-1.0215 # DEPENDENCYPART_ARC
(16,23),-0.0753807 # DEPENDENCYPART_ARC
(16,24),0.282214 # DEPENDENCYPART_ARC
(17,1),-1.32772 # DEPENDENCYPART_ARC
(17,2),-1.61516 # DEPENDENCYPART_ARC
(17,3),-1.76947 # DEPENDENCYPART_ARC
(17,4),-1.0996 # DEPENDENCYPART_ARC
(17,5),-1.4047 # DEPENDENCYPART_ARC
(17,6),-0.920504 # DEPENDENCYPART_ARC
(17,7),-0.922302 # DEPENDENCYPART_ARC
(17,8),-1.1452 # DEPENDENCYPART_ARC
(17,9),-0.904413 # DEPENDENCYPART_ARC
(17,10),-1.05427 # DEPENDENCYPART_ARC
(17,11),-0.593562 # DEPENDENCYPART_ARC
(17,12),-0.0105981 # DEPENDENCYPART_ARC
(17,13),-0.0452796 # DEPENDENCYPART_ARC
(17,14),0.220784 # DEPENDENCYPART_ARC
(17,15),-0.0360661 # DEPENDENCYPART_ARC
(17,16),0.94677 # DEPENDENCYPART_ARC
(17,18),1.06384 # DEPENDENCYPART_ARC
(17,19),1.90473 # DEPENDENCYPART_ARC
(17,20),1.92614 # DEPENDENCYPART_ARC
(17,21),1.72362 # DEPENDENCYPART_ARC
(17,22),1.75943 # DEPENDENCYPART_ARC
(17,23),2.44925 # DEPENDENCYPART_ARC
(17,24),-0.516572 # DEPENDENCYPART_ARC
(18,1),-2.74255 # DEPENDENCYPART_ARC
(18,2),-2.65337 # DEPENDENCYPART_ARC
(18,3),-2.37863 # DEPENDENCYPART_ARC
(18,4),-2.46163 # DEPENDENCYPART_ARC
(18,5),-2.31267 # DEPENDENCYPART_ARC
(18,6),-2.00576 # DEPENDENCYPART_ARC
(18,7),-2.12886 # DEPENDENCYPART_ARC
(18,8),-1.80188 # DEPENDENCYPART_ARC
(18,9),-1.92991 # DEPENDENCYPART_ARC
(18,10),-2.02816 # DEPENDENCYPART_ARC
(18,11),-1.69583 # DEPENDENCYPART_ARC
(18,12),-1.38167 # DEPENDENCYPART_ARC
(18,13),-1.25584 # DEPENDENCYPART_ARC
(18,14),-1.02433 # DEPENDENCYPART_ARC
(18,15),-0.680423 # DEPENDENCYPART_ARC
(18,16),-0.709351 # DEPENDENCYPART_ARC
(18,17),-0.0360467 # DEPENDENCYPART_ARC
(18,19),0.583027 # DEPENDENCYPART_ARC
(18,20),-0.00179369 # DEPENDENCYPART_ARC
(18,21),-0.364919 # DEPENDENCYPART_ARC
(18,22),-0.631528 # DEPENDENCYPART_ARC
(18,23),-0.833171 # DEPENDENCYPART_ARC
(18,24),-0.555374 # DEPENDENCYPART_ARC
(19,1),-7.42131 # DEPENDENCYPART_ARC
(19,2),-6.33956 # DEPENDENCYPART_ARC
(19,3),-5.21897 # DEPENDENCYPART_ARC
(19,4),-5.63064 # DEPENDENCYPART_ARC
(19,5),-6.71273 # DEPENDENCYPART_ARC
(19,6),-4.50183 # DEPENDENCYPART_ARC
(19,7),-5.39799 # DEPENDENCYPART_ARC
(19,8),-4.24968 # DEPENDENCYPART_ARC
(19,9),-3.88741 # DEPENDENCYPART_ARC
(19,10),-3.52206 # DEPENDENCYPART_ARC
(19,11),-3.26098 # DEPENDENCYPART_ARC
(19,12),-1.4212 # DEPENDENCYPART_ARC
(19,13),-1.57078 # DEPENDENCYPART_ARC
(19,14),-1.0555 # DEPENDENCYPART_ARC
(19,15),-1.68309 # DEPENDENCYPART_ARC
(19,16),-2.39031 # DEPENDENCYPART_ARC
(19,17),-1.0851 # DEPENDENCYPART_ARC
(19,18),0.825486 # DEPENDENCYPART_ARC
(19,20),0.921631 # DEPENDENCYPART_ARC
(19,21),0.73111 # DEPENDENCYPART_ARC
(19,22),0.587627 # DEPENDENCYPART_ARC
(19,23),-0.376018 # DEPENDENCYPART_ARC
(19,24),-0.883478 # DEPENDENCYPART_ARC
(20,1),-6.85614 # DEPENDENCYPART_ARC
(20,2),-5.72773 # DEPENDENCYPART_ARC
(20,3),-4.96377 # DEPENDENCYPART_ARC
(20,4),-4.87986 # DEPENDENCYPART_ARC
(20,5),-6.38059 # DEPENDENCYPART_ARC
(20,6),-3.86838 # DEPENDENCYPART_ARC
(20,7),-4.85658 # DEPENDENCYPART_ARC
(20,8),-3.76295 # DEPENDENCYPART_ARC
(20,9),-3.84478 # DEPENDENCYPART_ARC
(20,10),-3.11475 # DEPENDENCYPART_ARC
(20,11),-2.77807 # DEPENDENCYPART_ARC
(20,12),-0.638243 # DEPENDENCYPART_ARC
(20,13),-0.946554 # DEPENDENCYPART_ARC
(20,14),-1.03619 # DEPENDENCYPART_ARC
(20,15),-1.39866 # DEPENDENCYPART_ARC
(20,16),-2.38006 # DEPENDENCYPART_ARC
(20,17),-1.2745 # DEPENDENCYPART_ARC
(20,18),0.81781 # DEPENDENCYPART_ARC
(20,19),1.39571 # DEPENDENCYPART_ARC
(20,21),0.420398 # DEPENDENCYPART_ARC
(20,22),0.870797 # DEPENDENCYPART_ARC
(20,23),-0.434432 # DEPENDENCYPART_ARC
(20,24),-1.30827 # DEPENDENCYPART_ARC
(21,1),-5.25513 # DEPENDENCYPART_ARC
(21,2),-3.95745 # DEPENDENCYPART_ARC
(21,3),-3.73288 # DEPENDENCYPART_ARC
(21,4),-3.29211 # DEPENDENCYPART_ARC
(21,5),-4.80478 # DEPENDENCYPART_ARC
(21,6),-2.65244 # DEPENDENCYPART_ARC
(21,7),-3.36524 # DEPENDENCYPART_ARC
(21,8),-2.55087 # DEPENDENCYPART_ARC
(21,9),-2.56327 # DEPENDENCYPART_ARC
(21,10),-2.18149 # DEPENDENCYPART_ARC
(21,11),-1.40475 # DEPENDENCYPART_ARC
(21,12),0.888344 # DEPENDENCYPART_ARC
(21,13),0.542559 # DEPENDENCYPART_ARC
(21,14),0.379342 # DEPENDENCYPART_ARC
(21,15),-0.677566 # DEPENDENCYPART_ARC
(21,16),-1.30524 # DEPENDENCYPART_ARC
(21,17),-0.246338 # DEPENDENCYPART_ARC
(21,18),1.65107 # DEPENDENCYPART_ARC
(21,19),2.45794 # DEPENDENCYPART_ARC
(21,20),3.02695 # DEPENDENCYPART_ARC
(21,22),3.12693 # DEPENDENCYPART_ARC
(21,23),1.82023 # DEPENDENCYPART_ARC
(21,24),0.656319 # DEPENDENCYPART_ARC
(22,1),-5.04745 # DEPENDENCYPART_ARC
(22,2),-3.41066 # DEPENDENCYPART_ARC
