# _root_ BMA 's investment banker , Alex . Brown & Sons Inc. , has been authorized to contact possible buyers for the unit .
#goldHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
#predictedHeads=4,1,4,8,4,8,8,13,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
(1,11),-0.728565 # DEPENDENCYPART_ARC
(1,12),1.30352 # DEPENDENCYPART_ARC
(1,13),-1.6992 # DEPENDENCYPART_ARC
(1,14),-0.606389 # DEPENDENCYPART_ARC
(1,15),-0.932754 # DEPENDENCYPART_ARC
(1,16),-1.54615 # DEPENDENCYPART_ARC
(1,17),-2.10631 # DEPENDENCYPART_ARC
(1,18),-1.41734 # DEPENDENCYPART_ARC
(1,19),-1.47951 # DEPENDENCYPART_ARC
(1,20),-2.56986 # DEPENDENCYPART_ARC
(1,21),-1.6148 # DEPENDENCYPART_ARC
(1,22),-3.89478 # DEPENDENCYPART_ARC
(1,23),-0.382805 # DEPENDENCYPART_ARC
(2,1),1.30721 # DEPENDENCYPART_ARC
(2,3),-0.223349 # DEPENDENCYPART_ARC
(2,4),-0.814745 # DEPENDENCYPART_ARC
(2,5),-0.630152 # DEPENDENCYPART_ARC
(2,6),-1.47735 # DEPENDENCYPART_ARC
(2,7),-1.93966 # DEPENDENCYPART_ARC
(2,8),-2.06224 # DEPENDENCYPART_ARC
(2,9),-0.791697 # DEPENDENCYPART_ARC
(2,10),-2.31494 # DEPENDENCYPART_ARC
(2,11),-2.40463 # DEPENDENCYPART_ARC
(2,12),-2.96851 # DEPENDENCYPART_ARC
(2,13),-2.1495 # DEPENDENCYPART_ARC
(2,14),-2.28798 # DEPENDENCYPART_ARC
(2,15),-2.34334 # DEPENDENCYPART_ARC
(2,16),-2.82509 # DEPENDENCYPART_ARC
(2,17),-2.31216 # DEPENDENCYPART_ARC
(2,18),-3.29233 # DEPENDENCYPART_ARC
(2,19),-3.59122 # DEPENDENCYPART_ARC
(2,20),-3.90961 # DEPENDENCYPART_ARC
(2,21),-3.095 # DEPENDENCYPART_ARC
(2,22),-3.83733 # DEPENDENCYPART_ARC
(2,23),-3.23687 # DEPENDENCYPART_ARC
(3,1),2.24066 # DEPENDENCYPART_ARC
(3,2),0.549554 # DEPENDENCYPART_ARC
(3,4),0.895215 # DEPENDENCYPART_ARC
(3,5),0.600065 # DEPENDENCYPART_ARC
(3,6),0.0525049 # DEPENDENCYPART_ARC
(3,7),-0.824198 # DEPENDENCYPART_ARC
(3,8),-0.274217 # DEPENDENCYPART_ARC
(3,9),-0.0497218 # DEPENDENCYPART_ARC
(3,10),-0.79816 # DEPENDENCYPART_ARC
(3,11),-0.274721 # DEPENDENCYPART_ARC
(3,12),0.816207 # DEPENDENCYPART_ARC
(3,13),-1.61985 # DEPENDENCYPART_ARC
(3,14),-0.960998 # DEPENDENCYPART_ARC
(3,15),-1.20522 # DEPENDENCYPART_ARC
(3,16),-1.72742 # DEPENDENCYPART_ARC
(3,17),-1.27481 # DEPENDENCYPART_ARC
(3,18),-1.68839 # DEPENDENCYPART_ARC
(3,19),-2.28291 # DEPENDENCYPART_ARC
(3,20),-2.30655 # DEPENDENCYPART_ARC
(3,21),-2.82176 # DEPENDENCYPART_ARC
(3,22),-3.06907 # DEPENDENCYPART_ARC
(3,23),-0.781856 # DEPENDENCYPART_ARC
(4,1),4.41439 # DEPENDENCYPART_ARC
(4,2),1.47414 # DEPENDENCYPART_ARC
(4,3),4.65675 # DEPENDENCYPART_ARC
(4,5),2.92812 # DEPENDENCYPART_ARC
(4,6),1.51875 # DEPENDENCYPART_ARC
(4,7),0.989396 # DEPENDENCYPART_ARC
(4,8),1.27788 # DEPENDENCYPART_ARC
(4,9),1.2115 # DEPENDENCYPART_ARC
(4,10),0.661231 # DEPENDENCYPART_ARC
(4,11),1.16108 # DEPENDENCYPART_ARC
(4,12),3.3923 # DEPENDENCYPART_ARC
(4,13),0.182821 # DEPENDENCYPART_ARC
(4,14),0.641478 # DEPENDENCYPART_ARC
(4,15),0.411882 # DEPENDENCYPART_ARC
(4,16),-0.374307 # DEPENDENCYPART_ARC
(4,17),0.188772 # DEPENDENCYPART_ARC
(4,18),-0.27839 # DEPENDENCYPART_ARC
(4,19),-0.366111 # DEPENDENCYPART_ARC
(4,20),-0.65716 # DEPENDENCYPART_ARC
(4,21),-1.50663 # DEPENDENCYPART_ARC
(4,22),-1.87287 # DEPENDENCYPART_ARC
(4,23),0.813498 # DEPENDENCYPART_ARC
(5,1),-2.03132 # DEPENDENCYPART_ARC
(5,2),-1.43297 # DEPENDENCYPART_ARC
(5,3),-1.7061 # DEPENDENCYPART_ARC
(5,4),-0.924219 # DEPENDENCYPART_ARC
(5,6),-0.14897 # DEPENDENCYPART_ARC
(5,7),-1.10797 # DEPENDENCYPART_ARC
(5,8),-1.06584 # DEPENDENCYPART_ARC
(5,9),-1.34653 # DEPENDENCYPART_ARC
(5,10),-1.5024 # DEPENDENCYPART_ARC
(5,11),-1.96951 # DEPENDENCYPART_ARC
(5,12),-0.139363 # DEPENDENCYPART_ARC
(5,13),-1.72449 # DEPENDENCYPART_ARC
(5,14),-2.07495 # DEPENDENCYPART_ARC
(5,15),-2.1724 # DEPENDENCYPART_ARC
(5,16),-2.2737 # DEPENDENCYPART_ARC
(5,17),-2.16568 # DEPENDENCYPART_ARC
(5,18),-2.83825 # DEPENDENCYPART_ARC
(5,19),-3.02696 # DEPENDENCYPART_ARC
(5,20),-2.47882 # DEPENDENCYPART_ARC
(5,21),-2.98882 # DEPENDENCYPART_ARC
(5,22),-3.34001 # DEPENDENCYPART_ARC
(5,23),-2.38112 # DEPENDENCYPART_ARC
(6,1),1.3132 # DEPENDENCYPART_ARC
(6,2),-0.715118 # DEPENDENCYPART_ARC
(6,3),1.31582 # DEPENDENCYPART_ARC
(6,4),-0.431015 # DEPENDENCYPART_ARC
(6,5),0.895924 # DEPENDENCYPART_ARC
(6,7),3.4667 # DEPENDENCYPART_ARC
(6,8),2.01578 # DEPENDENCYPART_ARC
(6,9),2.44369 # DEPENDENCYPART_ARC
(6,10),0.110875 # DEPENDENCYPART_ARC
(6,11),1.8354 # DEPENDENCYPART_ARC
(6,12),1.20343 # DEPENDENCYPART_ARC
(6,13),-0.676677 # DEPENDENCYPART_ARC
(6,14),-0.220384 # DEPENDENCYPART_ARC
(6,15),-0.416765 # DEPENDENCYPART_ARC
(6,16),-0.753887 # DEPENDENCYPART_ARC
(6,17),-1.35724 # DEPENDENCYPART_ARC
(6,18),-0.893445 # DEPENDENCYPART_ARC
(6,19),-0.78197 # DEPENDENCYPART_ARC
(6,20),-1.56117 # DEPENDENCYPART_ARC
(6,21),-0.952154 # DEPENDENCYPART_ARC
(6,22),-2.71014 # DEPENDENCYPART_ARC
(6,23),0.433634 # DEPENDENCYPART_ARC
(7,1),-1.32697 # DEPENDENCYPART_ARC
(7,2),-1.86035 # DEPENDENCYPART_ARC
(7,3),-1.66151 # DEPENDENCYPART_ARC
(7,4),-1.35295 # DEPENDENCYPART_ARC
(7,5),-0.901643 # DEPENDENCYPART_ARC
(7,6),-1.35939 # DEPENDENCYPART_ARC
(7,8),-0.218951 # DEPENDENCYPART_ARC
(7,9),-0.669799 # DEPENDENCYPART_ARC
(7,10),-1.10437 # DEPENDENCYPART_ARC
(7,11),-1.39216 # DEPENDENCYPART_ARC
(7,12),-1.10444 # DEPENDENCYPART_ARC
(7,13),-1.27416 # DEPENDENCYPART_ARC
(7,14),-1.62325 # DEPENDENCYPART_ARC
(7,15),-1.76312 # DEPENDENCYPART_ARC
(7,16),-1.67599 # DEPENDENCYPART_ARC
(7,17),-2.19221 # DEPENDENCYPART_ARC
(7,18),-2.41179 # DEPENDENCYPART_ARC
(7,19),-2.41317 # DEPENDENCYPART_ARC
(7,20),-2.10269 # DEPENDENCYPART_ARC
(7,21),-2.85381 # DEPENDENCYPART_ARC
(7,22),-2.70982 # DEPENDENCYPART_ARC
(7,23),-2.00758 # DEPENDENCYPART_ARC
(8,1),2.45747 # DEPENDENCYPART_ARC
(8,2),0.0725661 # DEPENDENCYPART_ARC
(8,3),2.23243 # DEPENDENCYPART_ARC
(8,4),0.803108 # DEPENDENCYPART_ARC
(8,5),1.27045 # DEPENDENCYPART_ARC
(8,6),4.353 # DEPENDENCYPART_ARC
(8,7),6.0704 # DEPENDENCYPART_ARC
(8,9),4.7196 # DEPENDENCYPART_ARC
(8,10),1.10848 # DEPENDENCYPART_ARC
(8,11),2.88579 # DEPENDENCYPART_ARC
(8,12),2.35609 # DEPENDENCYPART_ARC
(8,13),0.608427 # DEPENDENCYPART_ARC
(8,14),1.17072 # DEPENDENCYPART_ARC
(8,15),0.956583 # DEPENDENCYPART_ARC
(8,16),0.390815 # DEPENDENCYPART_ARC
(8,17),-0.138844 # DEPENDENCYPART_ARC
(8,18),0.554535 # DEPENDENCYPART_ARC
(8,19),0.55656 # DEPENDENCYPART_ARC
(8,20),-0.130183 # DEPENDENCYPART_ARC
(8,21),0.184784 # DEPENDENCYPART_ARC
(8,22),-0.854991 # DEPENDENCYPART_ARC
(8,23),0.515657 # DEPENDENCYPART_ARC
(9,1),-1.18051 # DEPENDENCYPART_ARC
(9,2),-1.40223 # DEPENDENCYPART_ARC
(9,3),-1.30758 # DEPENDENCYPART_ARC
(9,4),-1.04019 # DEPENDENCYPART_ARC
(9,5),-1.07302 # DEPENDENCYPART_ARC
(9,6),0.130367 # DEPENDENCYPART_ARC
(9,7),-0.222876 # DEPENDENCYPART_ARC
(9,8),0.520217 # DEPENDENCYPART_ARC
(9,10),3.13347 # DEPENDENCYPART_ARC
(9,11),3.22733 # DEPENDENCYPART_ARC
(9,12),1.54035 # DEPENDENCYPART_ARC
(9,13),0.352793 # DEPENDENCYPART_ARC
(9,14),0.67554 # DEPENDENCYPART_ARC
(9,15),0.326403 # DEPENDENCYPART_ARC
(9,16),-0.587542 # DEPENDENCYPART_ARC
(9,17),-0.502868 # DEPENDENCYPART_ARC
(9,18),-0.375879 # DEPENDENCYPART_ARC
(9,19),-1.07078 # DEPENDENCYPART_ARC
(9,20),-0.730737 # DEPENDENCYPART_ARC
(9,21),-1.41757 # DEPENDENCYPART_ARC
(9,22),-1.96344 # DEPENDENCYPART_ARC
(9,23),0.129947 # DEPENDENCYPART_ARC
(10,1),-1.14041 # DEPENDENCYPART_ARC
(10,2),-2.12349 # DEPENDENCYPART_ARC
(10,3),-0.59018 # DEPENDENCYPART_ARC
(10,4),-2.24889 # DEPENDENCYPART_ARC
(10,5),-1.26249 # DEPENDENCYPART_ARC
(10,6),0.284042 # DEPENDENCYPART_ARC
(10,7),2.02917 # DEPENDENCYPART_ARC
(10,8),0.208526 # DEPENDENCYPART_ARC
(10,9),0.679455 # DEPENDENCYPART_ARC
(10,11),4.94557 # DEPENDENCYPART_ARC
(10,12),2.08067 # DEPENDENCYPART_ARC
(10,13),0.608668 # DEPENDENCYPART_ARC
(10,14),0.370801 # DEPENDENCYPART_ARC
(10,15),0.112849 # DEPENDENCYPART_ARC
(10,16),-0.0667504 # DEPENDENCYPART_ARC
(10,17),-0.554039 # DEPENDENCYPART_ARC
(10,18),-0.0589894 # DEPENDENCYPART_ARC
(10,19),-0.397914 # DEPENDENCYPART_ARC
(10,20),-1.34388 # DEPENDENCYPART_ARC
(10,21),-0.552635 # DEPENDENCYPART_ARC
(10,22),-1.99495 # DEPENDENCYPART_ARC
(10,23),0.904879 # DEPENDENCYPART_ARC
(11,1),-0.526044 # DEPENDENCYPART_ARC
(11,2),-2.56591 # DEPENDENCYPART_ARC
(11,3),-0.769 # DEPENDENCYPART_ARC
(11,4),-3.36596 # DEPENDENCYPART_ARC
(11,5),-2.66361 # DEPENDENCYPART_ARC
(11,6),0.421731 # DEPENDENCYPART_ARC
(11,7),1.81541 # DEPENDENCYPART_ARC
(11,8),-0.274551 # DEPENDENCYPART_ARC
(11,9),-0.434977 # DEPENDENCYPART_ARC
(11,10),2.74478 # DEPENDENCYPART_ARC
(11,12),-0.459481 # DEPENDENCYPART_ARC
(11,13),-1.37837 # DEPENDENCYPART_ARC
(11,14),-1.51455 # DEPENDENCYPART_ARC
(11,15),-1.86583 # DEPENDENCYPART_ARC
(11,16),-2.41049 # DEPENDENCYPART_ARC
(11,17),-2.80801 # DEPENDENCYPART_ARC
(11,18),-2.37632 # DEPENDENCYPART_ARC
(11,19),-2.5661 # DEPENDENCYPART_ARC
(11,20),-2.97021 # DEPENDENCYPART_ARC
(11,21),-2.81519 # DEPENDENCYPART_ARC
(11,22),-4.01912 # DEPENDENCYPART_ARC
(11,23),-1.46922 # DEPENDENCYPART_ARC
(12,1),-2.20079 # DEPENDENCYPART_ARC
(12,2),-1.72582 # DEPENDENCYPART_ARC
(12,3),-1.51995 # DEPENDENCYPART_ARC
(12,4),-1.48045 # DEPENDENCYPART_ARC
(12,5),-0.230017 # DEPENDENCYPART_ARC
(12,6),-1.51996 # DEPENDENCYPART_ARC
(12,7),-0.928232 # DEPENDENCYPART_ARC
(12,8),-1.38087 # DEPENDENCYPART_ARC
(12,9),-1.03961 # DEPENDENCYPART_ARC
(12,10),-1.14848 # DEPENDENCYPART_ARC
(12,11),-0.590097 # DEPENDENCYPART_ARC
(12,13),-0.698912 # DEPENDENCYPART_ARC
(12,14),-1.59179 # DEPENDENCYPART_ARC
(12,15),-2.00292 # DEPENDENCYPART_ARC
(12,16),-2.2808 # DEPENDENCYPART_ARC
(12,17),-2.12775 # DEPENDENCYPART_ARC
(12,18),-2.79458 # DEPENDENCYPART_ARC
(12,19),-3.02775 # DEPENDENCYPART_ARC
(12,20),-2.6308 # DEPENDENCYPART_ARC
(12,21),-3.03948 # DEPENDENCYPART_ARC
(12,22),-3.51333 # DEPENDENCYPART_ARC
(12,23),-2.38064 # DEPENDENCYPART_ARC
(13,1),1.34107 # DEPENDENCYPART_ARC
(13,2),-1.16905 # DEPENDENCYPART_ARC
(13,3),-0.0676452 # DEPENDENCYPART_ARC
(13,4),0.111286 # DEPENDENCYPART_ARC
(13,5),0.881763 # DEPENDENCYPART_ARC
(13,6),0.58355 # DEPENDENCYPART_ARC
(13,7),0.0580988 # DEPENDENCYPART_ARC
(13,8),0.864405 # DEPENDENCYPART_ARC
(13,9),0.0916466 # DEPENDENCYPART_ARC
(13,10),1.14583 # DEPENDENCYPART_ARC
(13,11),1.00816 # DEPENDENCYPART_ARC
(13,12),1.42278 # DEPENDENCYPART_ARC
(13,14),4.50915 # DEPENDENCYPART_ARC
(13,15),2.13355 # DEPENDENCYPART_ARC
(13,16),0.403381 # DEPENDENCYPART_ARC
(13,17),0.207214 # DEPENDENCYPART_ARC
(13,18),-1.19446 # DEPENDENCYPART_ARC
(13,19),-1.16259 # DEPENDENCYPART_ARC
(13,20),-0.481966 # DEPENDENCYPART_ARC
(13,21),-1.72597 # DEPENDENCYPART_ARC
(13,22),-2.07016 # DEPENDENCYPART_ARC
(13,23),4.87233 # DEPENDENCYPART_ARC
(14,1),-0.246567 # DEPENDENCYPART_ARC
(14,2),-1.22134 # DEPENDENCYPART_ARC
(14,3),-0.82696 # DEPENDENCYPART_ARC
(14,4),-1.28423 # DEPENDENCYPART_ARC
(14,5),0.0852406 # DEPENDENCYPART_ARC
(14,6),-0.0342069 # DEPENDENCYPART_ARC
(14,7),-0.205468 # DEPENDENCYPART_ARC
(14,8),0.148829 # DEPENDENCYPART_ARC
(14,9),-0.683576 # DEPENDENCYPART_ARC
(14,10),0.122365 # DEPENDENCYPART_ARC
(14,11),0.256726 # DEPENDENCYPART_ARC
(14,12),0.486639 # DEPENDENCYPART_ARC
(14,13),1.24 # DEPENDENCYPART_ARC
(14,15),4.09479 # DEPENDENCYPART_ARC
(14,16),1.85549 # DEPENDENCYPART_ARC
(14,17),0.86867 # DEPENDENCYPART_ARC
(14,18),0.376481 # DEPENDENCYPART_ARC
(14,19),1.00384 # DEPENDENCYPART_ARC
(14,20),1.09994 # DEPENDENCYPART_ARC
(14,21),-0.887825 # DEPENDENCYPART_ARC
(14,22),-0.89442 # DEPENDENCYPART_ARC
(14,23),0.899276 # DEPENDENCYPART_ARC
(15,1),-0.132543 # DEPENDENCYPART_ARC
(15,2),-1.10422 # DEPENDENCYPART_ARC
(15,3),-0.552302 # DEPENDENCYPART_ARC
(15,4),-0.984274 # DEPENDENCYPART_ARC
(15,5),0.113506 # DEPENDENCYPART_ARC
(15,6),0.176589 # DEPENDENCYPART_ARC
(15,7),-0.107724 # DEPENDENCYPART_ARC
(15,8),0.266325 # DEPENDENCYPART_ARC
(15,9),-0.446554 # DEPENDENCYPART_ARC
(15,10),0.0981882 # DEPENDENCYPART_ARC
(15,11),0.0678098 # DEPENDENCYPART_ARC
(15,12),0.814849 # DEPENDENCYPART_ARC
(15,13),0.149116 # DEPENDENCYPART_ARC
(15,14),0.965952 # DEPENDENCYPART_ARC
(15,16),3.32326 # DEPENDENCYPART_ARC
(15,17),1.40432 # DEPENDENCYPART_ARC
(15,18),0.605398 # DEPENDENCYPART_ARC
(15,19),0.771036 # DEPENDENCYPART_ARC
(15,20),1.22591 # DEPENDENCYPART_ARC
(15,21),-0.697062 # DEPENDENCYPART_ARC
(15,22),-0.464915 # DEPENDENCYPART_ARC
(15,23),0.682842 # DEPENDENCYPART_ARC
(16,1),-0.977464 # DEPENDENCYPART_ARC
(16,2),-1.1549 # DEPENDENCYPART_ARC
(16,3),-2.11832 # DEPENDENCYPART_ARC
(16,4),-2.05393 # DEPENDENCYPART_ARC
(16,5),-1.67181 # DEPENDENCYPART_ARC
(16,6),-0.687037 # DEPENDENCYPART_ARC
(16,7),-0.625799 # DEPENDENCYPART_ARC
(16,8),-0.414704 # DEPENDENCYPART_ARC
(16,9),-0.63248 # DEPENDENCYPART_ARC
(16,10),-0.433296 # DEPENDENCYPART_ARC
(16,11),-0.408361 # DEPENDENCYPART_ARC
(16,12),0.132819 # DEPENDENCYPART_ARC
(16,13),0.277762 # DEPENDENCYPART_ARC
(16,14),-0.0828463 # DEPENDENCYPART_ARC
(16,15),0.491872 # DEPENDENCYPART_ARC
(16,17),3.39642 # DEPENDENCYPART_ARC
(16,18),0.979606 # DEPENDENCYPART_ARC
(16,19),1.60392 # DEPENDENCYPART_ARC
(16,20),0.818651 # DEPENDENCYPART_ARC
(16,21),-1.18645 # DEPENDENCYPART_ARC
(16,22),-1.4087 # DEPENDENCYPART_ARC
(16,23),0.250237 # DEPENDENCYPART_ARC
(17,1),-1.35395 # DEPENDENCYPART_ARC
(17,2),-1.6402 # DEPENDENCYPART_ARC
(17,3),-1.33267 # DEPENDENCYPART_ARC
(17,4),-1.41048 # DEPENDENCYPART_ARC
(17,5),-0.712879 # DEPENDENCYPART_ARC
(17,6),-0.95821 # DEPENDENCYPART_ARC
(17,7),-1.01947 # DEPENDENCYPART_ARC
(17,8),-0.562679 # DEPENDENCYPART_ARC
(17,9),-0.840942 # DEPENDENCYPART_ARC
(17,10),-0.590128 # DEPENDENCYPART_ARC
(17,11),-0.707441 # DEPENDENCYPART_ARC
(17,12),-0.110466 # DEPENDENCYPART_ARC
(17,13),0.174793 # DEPENDENCYPART_ARC
(17,14),0.147561 # DEPENDENCYPART_ARC
(17,15),0.299999 # DEPENDENCYPART_ARC
(17,16),1.07572 # DEPENDENCYPART_ARC
(17,18),2.00579 # DEPENDENCYPART_ARC
(17,19),3.75027 # DEPENDENCYPART_ARC
(17,20),2.62874 # DEPENDENCYPART_ARC
(17,21),-0.59778 # DEPENDENCYPART_ARC
(17,22),1.49087 # DEPENDENCYPART_ARC
(17,23),0.606018 # DEPENDENCYPART_ARC
(18,1),-2.30646 # DEPENDENCYPART_ARC
(18,2),-2.57433 # DEPENDENCYPART_ARC
(18,3),-2.73192 # DEPENDENCYPART_ARC
(18,4),-2.90247 # DEPENDENCYPART_ARC
(18,5),-1.4278 # DEPENDENCYPART_ARC
(18,6),-1.72545 # DEPENDENCYPART_ARC
(18,7),-1.60223 # DEPENDENCYPART_ARC
(18,8),-1.38211 # DEPENDENCYPART_ARC
(18,9),-2.06307 # DEPENDENCYPART_ARC
(18,10),-0.981855 # DEPENDENCYPART_ARC
(18,11),-1.55715 # DEPENDENCYPART_ARC
(18,12),-1.10435 # DEPENDENCYPART_ARC
(18,13),-1.41136 # DEPENDENCYPART_ARC
(18,14),-1.12763 # DEPENDENCYPART_ARC
(18,15),-0.782547 # DEPENDENCYPART_ARC
(18,16),0.0417034 # DEPENDENCYPART_ARC
(18,17),0.775205 # DEPENDENCYPART_ARC
(18,19),0.641644 # DEPENDENCYPART_ARC
(18,20),-0.276003 # DEPENDENCYPART_ARC
(18,21),-1.2745 # DEPENDENCYPART_ARC
(18,22),-0.819566 # DEPENDENCYPART_ARC
(18,23),-0.554393 # DEPENDENCYPART_ARC
(19,1),-1.46257 # DEPENDENCYPART_ARC
(19,2),-1.91377 # DEPENDENCYPART_ARC
(19,3),-1.46088 # DEPENDENCYPART_ARC
(19,4),-3.59657 # DEPENDENCYPART_ARC
(19,5),-1.72694 # DEPENDENCYPART_ARC
(19,6),-2.43439 # DEPENDENCYPART_ARC
(19,7),-0.426412 # DEPENDENCYPART_ARC
(19,8),-2.65386 # DEPENDENCYPART_ARC
(19,9),-1.18049 # DEPENDENCYPART_ARC
(19,10),-0.922563 # DEPENDENCYPART_ARC
(19,11),-2.18224 # DEPENDENCYPART_ARC
(19,12),-0.989687 # DEPENDENCYPART_ARC
(19,13),-0.750318 # DEPENDENCYPART_ARC
(19,14),0.361846 # DEPENDENCYPART_ARC
(19,15),0.591403 # DEPENDENCYPART_ARC
(19,16),0.154719 # DEPENDENCYPART_ARC
(19,17),1.28807 # DEPENDENCYPART_ARC
(19,18),4.2352 # DEPENDENCYPART_ARC
(19,20),2.7691 # DEPENDENCYPART_ARC
(19,21),0.272403 # DEPENDENCYPART_ARC
(19,22),0.752852 # DEPENDENCYPART_ARC
(19,23),0.381656 # DEPENDENCYPART_ARC
(20,1),-2.86727 # DEPENDENCYPART_ARC
(20,2),-2.28963 # DEPENDENCYPART_ARC
(20,3),-3.70263 # DEPENDENCYPART_ARC
(20,4),-4.08231 # DEPENDENCYPART_ARC
(20,5),-2.02497 # DEPENDENCYPART_ARC
(20,6),-2.31681 # DEPENDENCYPART_ARC
(20,7),-1.94866 # DEPENDENCYPART_ARC
(20,8),-2.05898 # DEPENDENCYPART_ARC
(20,9),-2.11869 # DEPENDENCYPART_ARC
(20,10),-1.64663 # DEPENDENCYPART_ARC
(20,11),-1.76185 # DEPENDENCYPART_ARC
(20,12),-1.31315 # DEPENDENCYPART_ARC
(20,13),-1.1552 # DEPENDENCYPART_ARC
(20,14),-1.01685 # DEPENDENCYPART_ARC
(20,15),-1.05946 # DEPENDENCYPART_ARC
(20,16),-0.869068 # DEPENDENCYPART_ARC
(20,17),-0.517776 # DEPENDENCYPART_ARC
(20,18),-0.386823 # DEPENDENCYPART_ARC
(20,19),-0.0140853 # DEPENDENCYPART_ARC
(20,21),0.702051 # DEPENDENCYPART_ARC
(20,22),3.96088 # DEPENDENCYPART_ARC
(20,23),-0.428078 # DEPENDENCYPART_ARC
(21,1),-4.92446 # DEPENDENCYPART_ARC
(21,2),-4.61346 # DEPENDENCYPART_ARC
(21,3),-4.9527 # DEPENDENCYPART_ARC
(21,4),-4.92861 # DEPENDENCYPART_ARC
(21,5),-4.17165 # DEPENDENCYPART_ARC
(21,6),-4.37023 # DEPENDENCYPART_ARC
(21,7),-3.81104 # DEPENDENCYPART_ARC
(21,8),-4.11209 # DEPENDENCYPART_ARC
(21,9),-4.23525 # DEPENDENCYPART_ARC
(21,10),-3.94413 # DEPENDENCYPART_ARC
(21,11),-3.68395 # DEPENDENCYPART_ARC
(21,12),-3.45967 # DEPENDENCYPART_ARC
(21,13),-3.51027 # DEPENDENCYPART_ARC
(21,14),-3.32531 # DEPENDENCYPART_ARC
(21,15),-3.18056 # DEPENDENCYPART_ARC
(21,16),-3.07821 # DEPENDENCYPART_ARC
(21,17),-2.5546 # DEPENDENCYPART_ARC
(21,18),-2.29658 # DEPENDENCYPART_ARC
(21,19),-2.4381 # DEPENDENCYPART_ARC
(21,20),-0.956355 # DEPENDENCYPART_ARC
(21,22),0.0999208 # DEPENDENCYPART_ARC
(21,23),-1.99138 # DEPENDENCYPART_ARC
(22,1),-4.74709 # DEPENDENCYPART_ARC
(22,2),-2.58612 # DEPENDENCYPART_ARC
(22,3),-3.89758 # DEPENDENCYPART_ARC
(22,4),-5.40895 # DEPENDENCYPART_ARC
(22,5),-2.26431 # DEPENDENCYPART_ARC
(22,6),-3.6467 # DEPENDENCYPART_ARC
(22,7),-0.339452 # DEPENDENCYPART_ARC
(22,8),-4.60689 # DEPENDENCYPART_ARC
(22,9),-1.31052 # DEPENDENCYPART_ARC
(22,10),-3.35771 # DEPENDENCYPART_ARC
(22,11),-3.81508 # DEPENDENCYPART_ARC
(22,12),-1.24397 # DEPENDENCYPART_ARC
(22,13),-1.06643 # DEPENDENCYPART_ARC
(22,14),-1.24558 # DEPENDENCYPART_ARC
(22,15),-0.967632 # DEPENDENCYPART_ARC
(22,16),-1.36777 # DEPENDENCYPART_ARC
(22,17),-0.347448 # DEPENDENCYPART_ARC
(22,18),0.225982 # DEPENDENCYPART_ARC
(22,19),0.0318162 # DEPENDENCYPART_ARC
(22,20),1.13942 # DEPENDENCYPART_ARC
(22,21),5.11012 # DEPENDENCYPART_ARC
(22,23),0.184563 # DEPENDENCYPART_ARC
(23,1),-2.69569 # DEPENDENCYPART_ARC
(23,2),-2.93452 # DEPENDENCYPART_ARC
(23,3),-2.65338 # DEPENDENCYPART_ARC
(23,4),-2.56195 # DEPENDENCYPART_ARC
(23,5),-2.02183 # DEPENDENCYPART_ARC
