# _root_ Besides spurring Barry Wright 's sales , which were $ 201.7 million in 1988 , Mr. Sim must pare its costs and product line .
#goldHeads=18,1,4,6,4,2,6,9,6,9,10,10,9,13,6,17,18,0,18,21,19,21,24,22,18,
#predictedHeads=18,1,4,6,4,2,6,9,6,9,10,10,10,13,18,17,18,0,18,21,19,21,24,22,18,
(4,12),-0.880314 # DEPENDENCYPART_ARC
(4,13),-0.250268 # DEPENDENCYPART_ARC
(4,14),-0.46475 # DEPENDENCYPART_ARC
(4,15),1.37844 # DEPENDENCYPART_ARC
(4,16),-0.895581 # DEPENDENCYPART_ARC
(4,17),-0.853017 # DEPENDENCYPART_ARC
(4,18),-1.0411 # DEPENDENCYPART_ARC
(4,19),-1.62747 # DEPENDENCYPART_ARC
(4,20),-1.87696 # DEPENDENCYPART_ARC
(4,21),-1.5443 # DEPENDENCYPART_ARC
(4,22),-1.92905 # DEPENDENCYPART_ARC
(4,23),-4.1694 # DEPENDENCYPART_ARC
(4,24),-3.82985 # DEPENDENCYPART_ARC
(4,25),0.367186 # DEPENDENCYPART_ARC
(5,1),-0.994462 # DEPENDENCYPART_ARC
(5,2),-0.175961 # DEPENDENCYPART_ARC
(5,3),0.286534 # DEPENDENCYPART_ARC
(5,4),0.92767 # DEPENDENCYPART_ARC
(5,6),-0.357929 # DEPENDENCYPART_ARC
(5,7),-0.824521 # DEPENDENCYPART_ARC
(5,8),-1.94506 # DEPENDENCYPART_ARC
(5,9),-1.27163 # DEPENDENCYPART_ARC
(5,10),-1.97678 # DEPENDENCYPART_ARC
(5,11),-2.30151 # DEPENDENCYPART_ARC
(5,12),-2.41021 # DEPENDENCYPART_ARC
(5,13),-2.44429 # DEPENDENCYPART_ARC
(5,14),-2.63845 # DEPENDENCYPART_ARC
(5,15),-1.44275 # DEPENDENCYPART_ARC
(5,16),-2.76426 # DEPENDENCYPART_ARC
(5,17),-2.88332 # DEPENDENCYPART_ARC
(5,18),-1.73038 # DEPENDENCYPART_ARC
(5,19),-2.38197 # DEPENDENCYPART_ARC
(5,20),-3.13554 # DEPENDENCYPART_ARC
(5,21),-3.51296 # DEPENDENCYPART_ARC
(5,22),-2.23364 # DEPENDENCYPART_ARC
(5,23),-3.57681 # DEPENDENCYPART_ARC
(5,24),-3.7367 # DEPENDENCYPART_ARC
(5,25),-3.13209 # DEPENDENCYPART_ARC
(6,1),-0.347303 # DEPENDENCYPART_ARC
(6,2),0.968535 # DEPENDENCYPART_ARC
(6,3),3.11919 # DEPENDENCYPART_ARC
(6,4),4.1354 # DEPENDENCYPART_ARC
(6,5),1.76408 # DEPENDENCYPART_ARC
(6,7),2.97927 # DEPENDENCYPART_ARC
(6,8),-0.132116 # DEPENDENCYPART_ARC
(6,9),2.90334 # DEPENDENCYPART_ARC
(6,10),0.903869 # DEPENDENCYPART_ARC
(6,11),0.270891 # DEPENDENCYPART_ARC
(6,12),-0.117038 # DEPENDENCYPART_ARC
(6,13),-0.262572 # DEPENDENCYPART_ARC
(6,14),0.195776 # DEPENDENCYPART_ARC
(6,15),2.16985 # DEPENDENCYPART_ARC
(6,16),0.0127301 # DEPENDENCYPART_ARC
(6,17),-0.0900268 # DEPENDENCYPART_ARC
(6,18),0.301526 # DEPENDENCYPART_ARC
(6,19),-0.154973 # DEPENDENCYPART_ARC
(6,20),-0.994698 # DEPENDENCYPART_ARC
(6,21),0.0771244 # DEPENDENCYPART_ARC
(6,22),-0.502161 # DEPENDENCYPART_ARC
(6,23),-0.71096 # DEPENDENCYPART_ARC
(6,24),-0.964591 # DEPENDENCYPART_ARC
(6,25),0.891782 # DEPENDENCYPART_ARC
(7,1),-1.45709 # DEPENDENCYPART_ARC
(7,2),-1.55564 # DEPENDENCYPART_ARC
(7,3),-1.72028 # DEPENDENCYPART_ARC
(7,4),-1.39524 # DEPENDENCYPART_ARC
(7,5),-1.13883 # DEPENDENCYPART_ARC
(7,6),-1.05946 # DEPENDENCYPART_ARC
(7,8),-0.865411 # DEPENDENCYPART_ARC
(7,9),-0.549872 # DEPENDENCYPART_ARC
(7,10),-1.53903 # DEPENDENCYPART_ARC
(7,11),-1.79969 # DEPENDENCYPART_ARC
(7,12),-1.98803 # DEPENDENCYPART_ARC
(7,13),-1.69905 # DEPENDENCYPART_ARC
(7,14),-2.46748 # DEPENDENCYPART_ARC
(7,15),-0.50153 # DEPENDENCYPART_ARC
(7,16),-2.34902 # DEPENDENCYPART_ARC
(7,17),-2.45896 # DEPENDENCYPART_ARC
(7,18),-2.10715 # DEPENDENCYPART_ARC
(7,19),-2.22613 # DEPENDENCYPART_ARC
(7,20),-2.94435 # DEPENDENCYPART_ARC
(7,21),-3.06606 # DEPENDENCYPART_ARC
(7,22),-2.55018 # DEPENDENCYPART_ARC
(7,23),-3.18175 # DEPENDENCYPART_ARC
(7,24),-3.31236 # DEPENDENCYPART_ARC
(7,25),-2.42413 # DEPENDENCYPART_ARC
(8,1),-1.1826 # DEPENDENCYPART_ARC
(8,2),-1.28179 # DEPENDENCYPART_ARC
(8,3),-1.27625 # DEPENDENCYPART_ARC
(8,4),-1.0519 # DEPENDENCYPART_ARC
(8,5),-0.731705 # DEPENDENCYPART_ARC
(8,6),-0.764319 # DEPENDENCYPART_ARC
(8,7),0.248887 # DEPENDENCYPART_ARC
(8,9),0.754021 # DEPENDENCYPART_ARC
(8,10),-0.681141 # DEPENDENCYPART_ARC
(8,11),-1.01081 # DEPENDENCYPART_ARC
(8,12),-1.27742 # DEPENDENCYPART_ARC
(8,13),-1.35071 # DEPENDENCYPART_ARC
(8,14),-1.9163 # DEPENDENCYPART_ARC
(8,15),-0.984791 # DEPENDENCYPART_ARC
(8,16),-1.97596 # DEPENDENCYPART_ARC
(8,17),-2.0481 # DEPENDENCYPART_ARC
(8,18),-2.19413 # DEPENDENCYPART_ARC
(8,19),-2.23824 # DEPENDENCYPART_ARC
(8,20),-2.69846 # DEPENDENCYPART_ARC
(8,21),-2.53305 # DEPENDENCYPART_ARC
(8,22),-2.0849 # DEPENDENCYPART_ARC
(8,23),-2.16774 # DEPENDENCYPART_ARC
(8,24),-2.27588 # DEPENDENCYPART_ARC
(8,25),-1.97446 # DEPENDENCYPART_ARC
(9,1),0.743146 # DEPENDENCYPART_ARC
(9,2),-0.176492 # DEPENDENCYPART_ARC
(9,3),-0.283986 # DEPENDENCYPART_ARC
(9,4),-0.629413 # DEPENDENCYPART_ARC
(9,5),-1.04219 # DEPENDENCYPART_ARC
(9,6),0.0895628 # DEPENDENCYPART_ARC
(9,7),0.654185 # DEPENDENCYPART_ARC
(9,8),3.68001 # DEPENDENCYPART_ARC
(9,10),2.71185 # DEPENDENCYPART_ARC
(9,11),1.15517 # DEPENDENCYPART_ARC
(9,12),1.06106 # DEPENDENCYPART_ARC
(9,13),2.5241 # DEPENDENCYPART_ARC
(9,14),0.486158 # DEPENDENCYPART_ARC
(9,15),1.2191 # DEPENDENCYPART_ARC
(9,16),0.0930879 # DEPENDENCYPART_ARC
(9,17),0.300338 # DEPENDENCYPART_ARC
(9,18),0.76978 # DEPENDENCYPART_ARC
(9,19),0.812776 # DEPENDENCYPART_ARC
(9,20),-1.11514 # DEPENDENCYPART_ARC
(9,21),0.230994 # DEPENDENCYPART_ARC
(9,22),0.784766 # DEPENDENCYPART_ARC
(9,23),-1.17379 # DEPENDENCYPART_ARC
(9,24),-0.815377 # DEPENDENCYPART_ARC
(9,25),2.39937 # DEPENDENCYPART_ARC
(10,1),-0.979153 # DEPENDENCYPART_ARC
(10,2),-1.38214 # DEPENDENCYPART_ARC
(10,3),-1.60372 # DEPENDENCYPART_ARC
(10,4),-1.43366 # DEPENDENCYPART_ARC
(10,5),-0.778967 # DEPENDENCYPART_ARC
(10,6),-0.737008 # DEPENDENCYPART_ARC
(10,7),-0.0673375 # DEPENDENCYPART_ARC
(10,8),1.22231 # DEPENDENCYPART_ARC
(10,9),0.878148 # DEPENDENCYPART_ARC
(10,11),4.41302 # DEPENDENCYPART_ARC
(10,12),4.02522 # DEPENDENCYPART_ARC
(10,13),2.85764 # DEPENDENCYPART_ARC
(10,14),0.0954727 # DEPENDENCYPART_ARC
(10,15),1.54746 # DEPENDENCYPART_ARC
(10,16),-0.357031 # DEPENDENCYPART_ARC
(10,17),-0.327874 # DEPENDENCYPART_ARC
(10,18),0.562477 # DEPENDENCYPART_ARC
(10,19),0.364494 # DEPENDENCYPART_ARC
(10,20),-0.232479 # DEPENDENCYPART_ARC
(10,21),-0.566102 # DEPENDENCYPART_ARC
(10,22),0.986723 # DEPENDENCYPART_ARC
(10,23),-0.782743 # DEPENDENCYPART_ARC
(10,24),-1.4046 # DEPENDENCYPART_ARC
(10,25),0.462606 # DEPENDENCYPART_ARC
(11,1),-2.7654 # DEPENDENCYPART_ARC
(11,2),-2.8178 # DEPENDENCYPART_ARC
(11,3),-2.78973 # DEPENDENCYPART_ARC
(11,4),-2.65441 # DEPENDENCYPART_ARC
(11,5),-2.85496 # DEPENDENCYPART_ARC
(11,6),-2.34859 # DEPENDENCYPART_ARC
(11,7),-1.86351 # DEPENDENCYPART_ARC
(11,8),-1.15385 # DEPENDENCYPART_ARC
(11,9),-1.46171 # DEPENDENCYPART_ARC
(11,10),-0.672661 # DEPENDENCYPART_ARC
(11,12),1.52689 # DEPENDENCYPART_ARC
(11,13),-0.635588 # DEPENDENCYPART_ARC
(11,14),-0.506528 # DEPENDENCYPART_ARC
(11,15),-0.690463 # DEPENDENCYPART_ARC
(11,16),-1.14327 # DEPENDENCYPART_ARC
(11,17),-1.22077 # DEPENDENCYPART_ARC
(11,18),-0.582485 # DEPENDENCYPART_ARC
(11,19),-1.443 # DEPENDENCYPART_ARC
(11,20),-1.88801 # DEPENDENCYPART_ARC
(11,21),-1.68792 # DEPENDENCYPART_ARC
(11,22),-1.7115 # DEPENDENCYPART_ARC
(11,23),-2.02806 # DEPENDENCYPART_ARC
(11,24),-2.47239 # DEPENDENCYPART_ARC
(11,25),-1.08511 # DEPENDENCYPART_ARC
(12,1),-1.07855 # DEPENDENCYPART_ARC
(12,2),-1.21286 # DEPENDENCYPART_ARC
(12,3),-1.34601 # DEPENDENCYPART_ARC
(12,4),-1.27348 # DEPENDENCYPART_ARC
(12,5),-1.5123 # DEPENDENCYPART_ARC
(12,6),-1.1033 # DEPENDENCYPART_ARC
(12,7),-0.467239 # DEPENDENCYPART_ARC
(12,8),0.10573 # DEPENDENCYPART_ARC
(12,9),-0.326408 # DEPENDENCYPART_ARC
(12,10),0.387923 # DEPENDENCYPART_ARC
(12,11),1.69547 # DEPENDENCYPART_ARC
(12,13),0.375033 # DEPENDENCYPART_ARC
(12,14),-0.0431265 # DEPENDENCYPART_ARC
(12,15),0.297592 # DEPENDENCYPART_ARC
(12,16),-0.519793 # DEPENDENCYPART_ARC
(12,17),-0.663074 # DEPENDENCYPART_ARC
(12,18),-0.0740371 # DEPENDENCYPART_ARC
(12,19),-1.0781 # DEPENDENCYPART_ARC
(12,20),-1.57896 # DEPENDENCYPART_ARC
(12,21),-1.32682 # DEPENDENCYPART_ARC
(12,22),-0.906296 # DEPENDENCYPART_ARC
(12,23),-0.933233 # DEPENDENCYPART_ARC
(12,24),-1.65667 # DEPENDENCYPART_ARC
(12,25),-0.803711 # DEPENDENCYPART_ARC
(13,1),-1.7611 # DEPENDENCYPART_ARC
(13,2),-2.06227 # DEPENDENCYPART_ARC
(13,3),-1.49134 # DEPENDENCYPART_ARC
(13,4),-1.57858 # DEPENDENCYPART_ARC
(13,5),-0.893201 # DEPENDENCYPART_ARC
(13,6),-1.5046 # DEPENDENCYPART_ARC
(13,7),-0.624017 # DEPENDENCYPART_ARC
(13,8),-0.0750347 # DEPENDENCYPART_ARC
(13,9),-0.701077 # DEPENDENCYPART_ARC
(13,10),0.27944 # DEPENDENCYPART_ARC
(13,11),0.0120347 # DEPENDENCYPART_ARC
(13,12),0.340829 # DEPENDENCYPART_ARC
(13,14),3.26912 # DEPENDENCYPART_ARC
(13,15),-0.132646 # DEPENDENCYPART_ARC
(13,16),-0.394706 # DEPENDENCYPART_ARC
(13,17),-0.0181934 # DEPENDENCYPART_ARC
(13,18),-0.362864 # DEPENDENCYPART_ARC
(13,19),-0.857712 # DEPENDENCYPART_ARC
(13,20),-1.46879 # DEPENDENCYPART_ARC
(13,21),-0.995874 # DEPENDENCYPART_ARC
(13,22),-0.726122 # DEPENDENCYPART_ARC
(13,23),-3.48377 # DEPENDENCYPART_ARC
(13,24),-2.10751 # DEPENDENCYPART_ARC
(13,25),-0.143418 # DEPENDENCYPART_ARC
(14,1),-2.48285 # DEPENDENCYPART_ARC
(14,2),-2.35603 # DEPENDENCYPART_ARC
(14,3),-2.45097 # DEPENDENCYPART_ARC
(14,4),-2.165 # DEPENDENCYPART_ARC
(14,5),-2.40349 # DEPENDENCYPART_ARC
(14,6),-2.11817 # DEPENDENCYPART_ARC
(14,7),-1.59823 # DEPENDENCYPART_ARC
(14,8),-1.24442 # DEPENDENCYPART_ARC
(14,9),-1.53161 # DEPENDENCYPART_ARC
(14,10),-1.24209 # DEPENDENCYPART_ARC
(14,11),-0.256811 # DEPENDENCYPART_ARC
(14,12),-0.154996 # DEPENDENCYPART_ARC
(14,13),0.501723 # DEPENDENCYPART_ARC
(14,15),1.11914 # DEPENDENCYPART_ARC
(14,16),0.170758 # DEPENDENCYPART_ARC
(14,17),0.0284628 # DEPENDENCYPART_ARC
(14,18),-0.0544117 # DEPENDENCYPART_ARC
(14,19),-0.52868 # DEPENDENCYPART_ARC
(14,20),-0.926677 # DEPENDENCYPART_ARC
(14,21),-0.823867 # DEPENDENCYPART_ARC
(14,22),-0.865193 # DEPENDENCYPART_ARC
(14,23),-0.517429 # DEPENDENCYPART_ARC
(14,24),-0.983384 # DEPENDENCYPART_ARC
(14,25),-0.364475 # DEPENDENCYPART_ARC
(15,1),-2.42921 # DEPENDENCYPART_ARC
(15,2),-2.13041 # DEPENDENCYPART_ARC
(15,3),-2.70262 # DEPENDENCYPART_ARC
(15,4),-2.6224 # DEPENDENCYPART_ARC
(15,5),-2.1835 # DEPENDENCYPART_ARC
(15,6),-2.33763 # DEPENDENCYPART_ARC
(15,7),-0.754708 # DEPENDENCYPART_ARC
(15,8),-1.3116 # DEPENDENCYPART_ARC
(15,9),-1.48648 # DEPENDENCYPART_ARC
(15,10),-1.43709 # DEPENDENCYPART_ARC
(15,11),-1.48292 # DEPENDENCYPART_ARC
(15,12),-1.13902 # DEPENDENCYPART_ARC
(15,13),-1.18334 # DEPENDENCYPART_ARC
(15,14),-0.579064 # DEPENDENCYPART_ARC
(15,16),-0.133787 # DEPENDENCYPART_ARC
(15,17),-0.782823 # DEPENDENCYPART_ARC
(15,18),-0.984514 # DEPENDENCYPART_ARC
(15,19),-1.11947 # DEPENDENCYPART_ARC
(15,20),-2.04588 # DEPENDENCYPART_ARC
(15,21),-2.0352 # DEPENDENCYPART_ARC
(15,22),-1.61425 # DEPENDENCYPART_ARC
(15,23),-2.31794 # DEPENDENCYPART_ARC
(15,24),-2.41307 # DEPENDENCYPART_ARC
(15,25),-1.67136 # DEPENDENCYPART_ARC
(16,1),-4.70021 # DEPENDENCYPART_ARC
(16,2),-4.40276 # DEPENDENCYPART_ARC
(16,3),-5.26331 # DEPENDENCYPART_ARC
(16,4),-5.54562 # DEPENDENCYPART_ARC
(16,5),-4.58214 # DEPENDENCYPART_ARC
(16,6),-4.74716 # DEPENDENCYPART_ARC
(16,7),-4.06409 # DEPENDENCYPART_ARC
(16,8),-3.76252 # DEPENDENCYPART_ARC
(16,9),-3.74557 # DEPENDENCYPART_ARC
(16,10),-2.76724 # DEPENDENCYPART_ARC
(16,11),-1.94829 # DEPENDENCYPART_ARC
(16,12),-2.50438 # DEPENDENCYPART_ARC
(16,13),-1.96699 # DEPENDENCYPART_ARC
(16,14),-1.05637 # DEPENDENCYPART_ARC
(16,15),-1.19008 # DEPENDENCYPART_ARC
(16,17),1.29208 # DEPENDENCYPART_ARC
(16,18),-1.19367 # DEPENDENCYPART_ARC
(16,19),-1.70704 # DEPENDENCYPART_ARC
(16,20),-2.15349 # DEPENDENCYPART_ARC
(16,21),-1.6032 # DEPENDENCYPART_ARC
(16,22),-2.10099 # DEPENDENCYPART_ARC
(16,23),-2.69354 # DEPENDENCYPART_ARC
(16,24),-2.84599 # DEPENDENCYPART_ARC
(16,25),-1.48659 # DEPENDENCYPART_ARC
(17,1),-3.39643 # DEPENDENCYPART_ARC
(17,2),-2.72148 # DEPENDENCYPART_ARC
(17,3),-2.86193 # DEPENDENCYPART_ARC
(17,4),-3.29786 # DEPENDENCYPART_ARC
(17,5),-2.96504 # DEPENDENCYPART_ARC
(17,6),-3.55369 # DEPENDENCYPART_ARC
(17,7),-2.30359 # DEPENDENCYPART_ARC
(17,8),-2.48938 # DEPENDENCYPART_ARC
(17,9),-2.3249 # DEPENDENCYPART_ARC
(17,10),-1.03579 # DEPENDENCYPART_ARC
(17,11),-1.26893 # DEPENDENCYPART_ARC
(17,12),-1.3367 # DEPENDENCYPART_ARC
(17,13),-0.854712 # DEPENDENCYPART_ARC
(17,14),-0.128218 # DEPENDENCYPART_ARC
(17,15),0.184623 # DEPENDENCYPART_ARC
(17,16),4.92809 # DEPENDENCYPART_ARC
(17,18),0.183567 # DEPENDENCYPART_ARC
(17,19),-0.444243 # DEPENDENCYPART_ARC
(17,20),-1.08041 # DEPENDENCYPART_ARC
(17,21),-0.67329 # DEPENDENCYPART_ARC
(17,22),-1.57555 # DEPENDENCYPART_ARC
(17,23),-1.71638 # DEPENDENCYPART_ARC
(17,24),-1.34333 # DEPENDENCYPART_ARC
(17,25),-0.498964 # DEPENDENCYPART_ARC
(18,1),0.706644 # DEPENDENCYPART_ARC
(18,2),-0.0326673 # DEPENDENCYPART_ARC
(18,3),-0.343549 # DEPENDENCYPART_ARC
(18,4),-0.570739 # DEPENDENCYPART_ARC
(18,5),-0.211228 # DEPENDENCYPART_ARC
(18,6),0.0095535 # DEPENDENCYPART_ARC
(18,7),0.0655262 # DEPENDENCYPART_ARC
(18,8),1.11655 # DEPENDENCYPART_ARC
(18,9),-0.0598554 # DEPENDENCYPART_ARC
(18,10),0.541077 # DEPENDENCYPART_ARC
(18,11),0.423354 # DEPENDENCYPART_ARC
(18,12),0.682692 # DEPENDENCYPART_ARC
(18,13),-0.0572058 # DEPENDENCYPART_ARC
(18,14),0.501588 # DEPENDENCYPART_ARC
(18,15),2.91077 # DEPENDENCYPART_ARC
(18,16),2.00503 # DEPENDENCYPART_ARC
(18,17),2.76769 # DEPENDENCYPART_ARC
(18,19),4.0556 # DEPENDENCYPART_ARC
(18,20),0.846008 # DEPENDENCYPART_ARC
(18,21),0.909488 # DEPENDENCYPART_ARC
(18,22),1.81872 # DEPENDENCYPART_ARC
(18,23),0.393618 # DEPENDENCYPART_ARC
(18,24),0.219963 # DEPENDENCYPART_ARC
(18,25),3.55771 # DEPENDENCYPART_ARC
(19,1),-0.555826 # DEPENDENCYPART_ARC
(19,2),-1.15472 # DEPENDENCYPART_ARC
(19,3),-1.36084 # DEPENDENCYPART_ARC
(19,4),-1.54948 # DEPENDENCYPART_ARC
(19,5),-1.3483 # DEPENDENCYPART_ARC
(19,6),-1.04594 # DEPENDENCYPART_ARC
(19,7),-0.659763 # DEPENDENCYPART_ARC
(19,8),0.0318263 # DEPENDENCYPART_ARC
(19,9),-0.7585 # DEPENDENCYPART_ARC
(19,10),-0.640436 # DEPENDENCYPART_ARC
(19,11),-0.489113 # DEPENDENCYPART_ARC
(19,12),-0.315293 # DEPENDENCYPART_ARC
(19,13),-0.137623 # DEPENDENCYPART_ARC
(19,14),0.0733557 # DEPENDENCYPART_ARC
(19,15),0.34052 # DEPENDENCYPART_ARC
(19,16),0.708924 # DEPENDENCYPART_ARC
(19,17),0.310723 # DEPENDENCYPART_ARC
(19,18),1.00011 # DEPENDENCYPART_ARC
(19,20),0.939196 # DEPENDENCYPART_ARC
(19,21),3.35057 # DEPENDENCYPART_ARC
(19,22),1.40755 # DEPENDENCYPART_ARC
(19,23),1.25021 # DEPENDENCYPART_ARC
(19,24),2.18623 # DEPENDENCYPART_ARC
(19,25),0.794437 # DEPENDENCYPART_ARC
(20,1),-3.16553 # DEPENDENCYPART_ARC
(20,2),-3.27533 # DEPENDENCYPART_ARC
(20,3),-3.12189 # DEPENDENCYPART_ARC
(20,4),-3.03272 # DEPENDENCYPART_ARC
(20,5),-3.07061 # DEPENDENCYPART_ARC
(20,6),-2.87911 # DEPENDENCYPART_ARC
(20,7),-2.46069 # DEPENDENCYPART_ARC
(20,8),-2.37183 # DEPENDENCYPART_ARC
(20,9),-2.5406 # DEPENDENCYPART_ARC
(20,10),-2.2429 # DEPENDENCYPART_ARC
(20,11),-2.2405 # DEPENDENCYPART_ARC
(20,12),-2.15112 # DEPENDENCYPART_ARC
(20,13),-1.86775 # DEPENDENCYPART_ARC
(20,14),-1.86514 # DEPENDENCYPART_ARC
(20,15),-1.50193 # DEPENDENCYPART_ARC
(20,16),-1.40368 # DEPENDENCYPART_ARC
(20,17),-1.06453 # DEPENDENCYPART_ARC
(20,18),-1.15043 # DEPENDENCYPART_ARC
(20,19),-0.457582 # DEPENDENCYPART_ARC
(20,21),0.693284 # DEPENDENCYPART_ARC
(20,22),0.231783 # DEPENDENCYPART_ARC
(20,23),-0.751568 # DEPENDENCYPART_ARC
(20,24),-1.01818 # DEPENDENCYPART_ARC
(20,25),-1.20758 # DEPENDENCYPART_ARC
(21,1),-1.78066 # DEPENDENCYPART_ARC
(21,2),-2.13267 # DEPENDENCYPART_ARC
(21,3),-3.50531 # DEPENDENCYPART_ARC
(21,4),-3.50337 # DEPENDENCYPART_ARC
