# _root_ Similarly , Agfa is sponsoring scores of photography contests at high schools and colleges , offering free black-and-white film and paper as prizes .
#goldHeads=4,4,4,0,4,5,6,9,7,9,12,10,12,13,5,5,19,19,16,19,20,16,22,4,
#predictedHeads=4,4,4,0,4,5,6,9,7,9,12,10,12,13,4,5,19,19,16,19,20,16,22,4,
(2,9),-2.48207 # DEPENDENCYPART_ARC
(2,10),-1.90493 # DEPENDENCYPART_ARC
(2,11),-2.58204 # DEPENDENCYPART_ARC
(2,12),-2.81439 # DEPENDENCYPART_ARC
(2,13),-2.32157 # DEPENDENCYPART_ARC
(2,14),-3.05628 # DEPENDENCYPART_ARC
(2,15),-1.43541 # DEPENDENCYPART_ARC
(2,16),-2.66145 # DEPENDENCYPART_ARC
(2,17),-3.2567 # DEPENDENCYPART_ARC
(2,18),-3.36423 # DEPENDENCYPART_ARC
(2,19),-3.72932 # DEPENDENCYPART_ARC
(2,20),-3.06801 # DEPENDENCYPART_ARC
(2,21),-3.99103 # DEPENDENCYPART_ARC
(2,22),-2.85646 # DEPENDENCYPART_ARC
(2,23),-3.90679 # DEPENDENCYPART_ARC
(2,24),-2.86791 # DEPENDENCYPART_ARC
(3,1),-0.587589 # DEPENDENCYPART_ARC
(3,2),0.994595 # DEPENDENCYPART_ARC
(3,4),0.761711 # DEPENDENCYPART_ARC
(3,5),0.336627 # DEPENDENCYPART_ARC
(3,6),-0.603648 # DEPENDENCYPART_ARC
(3,7),0.0799035 # DEPENDENCYPART_ARC
(3,8),-1.73084 # DEPENDENCYPART_ARC
(3,9),-1.55661 # DEPENDENCYPART_ARC
(3,10),-0.99848 # DEPENDENCYPART_ARC
(3,11),-0.925957 # DEPENDENCYPART_ARC
(3,12),-1.81373 # DEPENDENCYPART_ARC
(3,13),-0.500825 # DEPENDENCYPART_ARC
(3,14),-2.2367 # DEPENDENCYPART_ARC
(3,15),-1.34456 # DEPENDENCYPART_ARC
(3,16),-0.911843 # DEPENDENCYPART_ARC
(3,17),-1.59381 # DEPENDENCYPART_ARC
(3,18),-1.51202 # DEPENDENCYPART_ARC
(3,19),-4.29113 # DEPENDENCYPART_ARC
(3,20),-1.78139 # DEPENDENCYPART_ARC
(3,21),-5.62658 # DEPENDENCYPART_ARC
(3,22),-1.48321 # DEPENDENCYPART_ARC
(3,23),-3.49902 # DEPENDENCYPART_ARC
(3,24),0.590994 # DEPENDENCYPART_ARC
(4,1),1.93476 # DEPENDENCYPART_ARC
(4,2),4.0056 # DEPENDENCYPART_ARC
(4,3),3.48425 # DEPENDENCYPART_ARC
(4,5),4.09568 # DEPENDENCYPART_ARC
(4,6),1.47102 # DEPENDENCYPART_ARC
(4,7),0.159071 # DEPENDENCYPART_ARC
(4,8),0.369916 # DEPENDENCYPART_ARC
(4,9),0.155743 # DEPENDENCYPART_ARC
(4,10),0.243531 # DEPENDENCYPART_ARC
(4,11),-0.915384 # DEPENDENCYPART_ARC
(4,12),-1.31838 # DEPENDENCYPART_ARC
(4,13),1.97917 # DEPENDENCYPART_ARC
(4,14),-1.80073 # DEPENDENCYPART_ARC
(4,15),1.89377 # DEPENDENCYPART_ARC
(4,16),1.2795 # DEPENDENCYPART_ARC
(4,17),-1.70411 # DEPENDENCYPART_ARC
(4,18),-1.93407 # DEPENDENCYPART_ARC
(4,19),-1.59516 # DEPENDENCYPART_ARC
(4,20),0.417935 # DEPENDENCYPART_ARC
(4,21),-2.3574 # DEPENDENCYPART_ARC
(4,22),-0.701042 # DEPENDENCYPART_ARC
(4,23),-3.97576 # DEPENDENCYPART_ARC
(4,24),5.98922 # DEPENDENCYPART_ARC
(5,1),-0.336712 # DEPENDENCYPART_ARC
(5,2),0.186974 # DEPENDENCYPART_ARC
(5,3),0.356349 # DEPENDENCYPART_ARC
(5,4),0.249883 # DEPENDENCYPART_ARC
(5,6),3.25575 # DEPENDENCYPART_ARC
(5,7),1.74972 # DEPENDENCYPART_ARC
(5,8),0.959913 # DEPENDENCYPART_ARC
(5,9),0.794371 # DEPENDENCYPART_ARC
(5,10),1.79559 # DEPENDENCYPART_ARC
(5,11),0.135605 # DEPENDENCYPART_ARC
(5,12),-1.03529 # DEPENDENCYPART_ARC
(5,13),1.08506 # DEPENDENCYPART_ARC
(5,14),-1.62333 # DEPENDENCYPART_ARC
(5,15),1.79014 # DEPENDENCYPART_ARC
(5,16),1.48791 # DEPENDENCYPART_ARC
(5,17),-0.440185 # DEPENDENCYPART_ARC
(5,18),-0.470955 # DEPENDENCYPART_ARC
(5,19),-1.5968 # DEPENDENCYPART_ARC
(5,20),0.146365 # DEPENDENCYPART_ARC
(5,21),-2.25549 # DEPENDENCYPART_ARC
(5,22),0.240566 # DEPENDENCYPART_ARC
(5,23),-4.39374 # DEPENDENCYPART_ARC
(5,24),0.0427174 # DEPENDENCYPART_ARC
(6,1),-0.923642 # DEPENDENCYPART_ARC
(6,2),-0.304898 # DEPENDENCYPART_ARC
(6,3),0.99568 # DEPENDENCYPART_ARC
(6,4),0.675626 # DEPENDENCYPART_ARC
(6,5),2.63229 # DEPENDENCYPART_ARC
(6,7),3.93298 # DEPENDENCYPART_ARC
(6,8),1.70727 # DEPENDENCYPART_ARC
(6,9),1.23132 # DEPENDENCYPART_ARC
(6,10),1.33124 # DEPENDENCYPART_ARC
(6,11),1.03056 # DEPENDENCYPART_ARC
(6,12),0.485059 # DEPENDENCYPART_ARC
(6,13),2.27464 # DEPENDENCYPART_ARC
(6,14),-0.31587 # DEPENDENCYPART_ARC
(6,15),1.74611 # DEPENDENCYPART_ARC
(6,16),0.690693 # DEPENDENCYPART_ARC
(6,17),0.434445 # DEPENDENCYPART_ARC
(6,18),0.0769036 # DEPENDENCYPART_ARC
(6,19),-0.0488685 # DEPENDENCYPART_ARC
(6,20),0.733744 # DEPENDENCYPART_ARC
(6,21),-0.631842 # DEPENDENCYPART_ARC
(6,22),0.523193 # DEPENDENCYPART_ARC
(6,23),-1.84388 # DEPENDENCYPART_ARC
(6,24),0.862949 # DEPENDENCYPART_ARC
(7,1),-1.43178 # DEPENDENCYPART_ARC
(7,2),-1.28095 # DEPENDENCYPART_ARC
(7,3),-0.703666 # DEPENDENCYPART_ARC
(7,4),-0.48515 # DEPENDENCYPART_ARC
(7,5),-0.813345 # DEPENDENCYPART_ARC
(7,6),0.0036567 # DEPENDENCYPART_ARC
(7,8),2.77679 # DEPENDENCYPART_ARC
(7,9),3.67438 # DEPENDENCYPART_ARC
(7,10),0.721556 # DEPENDENCYPART_ARC
(7,11),-0.0587857 # DEPENDENCYPART_ARC
(7,12),0.12451 # DEPENDENCYPART_ARC
(7,13),-0.403116 # DEPENDENCYPART_ARC
(7,14),-2.14292 # DEPENDENCYPART_ARC
(7,15),0.421685 # DEPENDENCYPART_ARC
(7,16),-0.702262 # DEPENDENCYPART_ARC
(7,17),-2.11652 # DEPENDENCYPART_ARC
(7,18),-2.2419 # DEPENDENCYPART_ARC
(7,19),-3.40722 # DEPENDENCYPART_ARC
(7,20),-1.32046 # DEPENDENCYPART_ARC
(7,21),-5.10837 # DEPENDENCYPART_ARC
(7,22),-0.97926 # DEPENDENCYPART_ARC
(7,23),-8.08137 # DEPENDENCYPART_ARC
(7,24),0.511368 # DEPENDENCYPART_ARC
(8,1),-4.26417 # DEPENDENCYPART_ARC
(8,2),-3.19833 # DEPENDENCYPART_ARC
(8,3),-2.04124 # DEPENDENCYPART_ARC
(8,4),-2.38645 # DEPENDENCYPART_ARC
(8,5),-1.58109 # DEPENDENCYPART_ARC
(8,6),-1.04441 # DEPENDENCYPART_ARC
(8,7),0.404481 # DEPENDENCYPART_ARC
(8,9),1.77923 # DEPENDENCYPART_ARC
(8,10),-0.595808 # DEPENDENCYPART_ARC
(8,11),-0.494438 # DEPENDENCYPART_ARC
(8,12),-0.0118355 # DEPENDENCYPART_ARC
(8,13),-0.0158076 # DEPENDENCYPART_ARC
(8,14),-0.537761 # DEPENDENCYPART_ARC
(8,15),-0.235338 # DEPENDENCYPART_ARC
(8,16),-0.279106 # DEPENDENCYPART_ARC
(8,17),-1.47753 # DEPENDENCYPART_ARC
(8,18),-1.53538 # DEPENDENCYPART_ARC
(8,19),-1.41877 # DEPENDENCYPART_ARC
(8,20),-0.557613 # DEPENDENCYPART_ARC
(8,21),-2.45985 # DEPENDENCYPART_ARC
(8,22),-1.19237 # DEPENDENCYPART_ARC
(8,23),-1.71379 # DEPENDENCYPART_ARC
(8,24),-0.645436 # DEPENDENCYPART_ARC
(9,1),-2.55562 # DEPENDENCYPART_ARC
(9,2),-1.07551 # DEPENDENCYPART_ARC
(9,3),-0.575451 # DEPENDENCYPART_ARC
(9,4),-0.478334 # DEPENDENCYPART_ARC
(9,5),0.178496 # DEPENDENCYPART_ARC
(9,6),0.585646 # DEPENDENCYPART_ARC
(9,7),0.879242 # DEPENDENCYPART_ARC
(9,8),4.74091 # DEPENDENCYPART_ARC
(9,10),1.83259 # DEPENDENCYPART_ARC
(9,11),1.08881 # DEPENDENCYPART_ARC
(9,12),1.11483 # DEPENDENCYPART_ARC
(9,13),2.24559 # DEPENDENCYPART_ARC
(9,14),0.028909 # DEPENDENCYPART_ARC
(9,15),1.6032 # DEPENDENCYPART_ARC
(9,16),0.403553 # DEPENDENCYPART_ARC
(9,17),0.285616 # DEPENDENCYPART_ARC
(9,18),0.0201618 # DEPENDENCYPART_ARC
(9,19),0.0180033 # DEPENDENCYPART_ARC
(9,20),0.843323 # DEPENDENCYPART_ARC
(9,21),-0.776277 # DEPENDENCYPART_ARC
(9,22),0.83757 # DEPENDENCYPART_ARC
(9,23),-1.87398 # DEPENDENCYPART_ARC
(9,24),0.594908 # DEPENDENCYPART_ARC
(10,1),-1.82787 # DEPENDENCYPART_ARC
(10,2),-1.0884 # DEPENDENCYPART_ARC
(10,3),-1.23696 # DEPENDENCYPART_ARC
(10,4),-0.8714 # DEPENDENCYPART_ARC
(10,5),-1.3128 # DEPENDENCYPART_ARC
(10,6),-0.672371 # DEPENDENCYPART_ARC
(10,7),0.0517983 # DEPENDENCYPART_ARC
(10,8),-0.477048 # DEPENDENCYPART_ARC
(10,9),0.065009 # DEPENDENCYPART_ARC
(10,11),1.89929 # DEPENDENCYPART_ARC
(10,12),3.63688 # DEPENDENCYPART_ARC
(10,13),0.17566 # DEPENDENCYPART_ARC
(10,14),1.35355 # DEPENDENCYPART_ARC
(10,15),0.436597 # DEPENDENCYPART_ARC
(10,16),-0.887064 # DEPENDENCYPART_ARC
(10,17),-0.70504 # DEPENDENCYPART_ARC
(10,18),-0.642234 # DEPENDENCYPART_ARC
(10,19),-0.394549 # DEPENDENCYPART_ARC
(10,20),-0.341882 # DEPENDENCYPART_ARC
(10,21),-1.98177 # DEPENDENCYPART_ARC
(10,22),-1.17799 # DEPENDENCYPART_ARC
(10,23),-3.19013 # DEPENDENCYPART_ARC
(10,24),-0.366521 # DEPENDENCYPART_ARC
(11,1),-2.80577 # DEPENDENCYPART_ARC
(11,2),-2.13359 # DEPENDENCYPART_ARC
(11,3),-2.47493 # DEPENDENCYPART_ARC
(11,4),-2.22623 # DEPENDENCYPART_ARC
(11,5),-2.1659 # DEPENDENCYPART_ARC
(11,6),-1.75012 # DEPENDENCYPART_ARC
(11,7),-1.36746 # DEPENDENCYPART_ARC
(11,8),-0.84413 # DEPENDENCYPART_ARC
(11,9),-0.963463 # DEPENDENCYPART_ARC
(11,10),0.0999756 # DEPENDENCYPART_ARC
(11,12),1.33938 # DEPENDENCYPART_ARC
(11,13),0.290831 # DEPENDENCYPART_ARC
(11,14),0.106339 # DEPENDENCYPART_ARC
(11,15),0.154698 # DEPENDENCYPART_ARC
(11,16),-0.637357 # DEPENDENCYPART_ARC
(11,17),-1.07882 # DEPENDENCYPART_ARC
(11,18),-1.33673 # DEPENDENCYPART_ARC
(11,19),-0.73639 # DEPENDENCYPART_ARC
(11,20),-1.56564 # DEPENDENCYPART_ARC
(11,21),-1.57998 # DEPENDENCYPART_ARC
(11,22),-1.07657 # DEPENDENCYPART_ARC
(11,23),-1.88796 # DEPENDENCYPART_ARC
(11,24),-0.317367 # DEPENDENCYPART_ARC
(12,1),-3.67932 # DEPENDENCYPART_ARC
(12,2),-1.6859 # DEPENDENCYPART_ARC
(12,3),-1.5259 # DEPENDENCYPART_ARC
(12,4),-0.85941 # DEPENDENCYPART_ARC
(12,5),-0.636844 # DEPENDENCYPART_ARC
(12,6),-0.75699 # DEPENDENCYPART_ARC
(12,7),-0.419085 # DEPENDENCYPART_ARC
(12,8),1.83953 # DEPENDENCYPART_ARC
(12,9),0.156451 # DEPENDENCYPART_ARC
(12,10),0.743523 # DEPENDENCYPART_ARC
(12,11),4.21676 # DEPENDENCYPART_ARC
(12,13),3.95508 # DEPENDENCYPART_ARC
(12,14),1.37527 # DEPENDENCYPART_ARC
(12,15),1.73185 # DEPENDENCYPART_ARC
(12,16),0.802089 # DEPENDENCYPART_ARC
(12,17),0.594802 # DEPENDENCYPART_ARC
(12,18),0.222719 # DEPENDENCYPART_ARC
(12,19),0.300068 # DEPENDENCYPART_ARC
(12,20),0.59688 # DEPENDENCYPART_ARC
(12,21),-0.501756 # DEPENDENCYPART_ARC
(12,22),1.22936 # DEPENDENCYPART_ARC
(12,23),-1.18395 # DEPENDENCYPART_ARC
(12,24),0.522729 # DEPENDENCYPART_ARC
(13,1),-2.5812 # DEPENDENCYPART_ARC
(13,2),-2.1927 # DEPENDENCYPART_ARC
(13,3),-1.16693 # DEPENDENCYPART_ARC
(13,4),-1.3992 # DEPENDENCYPART_ARC
(13,5),-0.587912 # DEPENDENCYPART_ARC
(13,6),-1.31619 # DEPENDENCYPART_ARC
(13,7),-1.00828 # DEPENDENCYPART_ARC
(13,8),-0.938992 # DEPENDENCYPART_ARC
(13,9),-0.875247 # DEPENDENCYPART_ARC
(13,10),-0.632271 # DEPENDENCYPART_ARC
(13,11),-0.885789 # DEPENDENCYPART_ARC
(13,12),-0.118351 # DEPENDENCYPART_ARC
(13,14),3.9988 # DEPENDENCYPART_ARC
(13,15),0.870889 # DEPENDENCYPART_ARC
(13,16),0.0900476 # DEPENDENCYPART_ARC
(13,17),-0.329272 # DEPENDENCYPART_ARC
(13,18),-0.400556 # DEPENDENCYPART_ARC
(13,19),0.177865 # DEPENDENCYPART_ARC
(13,20),-0.026631 # DEPENDENCYPART_ARC
(13,21),-0.124754 # DEPENDENCYPART_ARC
(13,22),-1.1276 # DEPENDENCYPART_ARC
(13,23),-1.4893 # DEPENDENCYPART_ARC
(13,24),-0.498724 # DEPENDENCYPART_ARC
(14,1),-5.05548 # DEPENDENCYPART_ARC
(14,2),-3.62682 # DEPENDENCYPART_ARC
(14,3),-3.89768 # DEPENDENCYPART_ARC
(14,4),-2.25011 # DEPENDENCYPART_ARC
(14,5),-1.89819 # DEPENDENCYPART_ARC
(14,6),-2.7427 # DEPENDENCYPART_ARC
(14,7),-2.0665 # DEPENDENCYPART_ARC
(14,8),-0.538958 # DEPENDENCYPART_ARC
(14,9),-2.1636 # DEPENDENCYPART_ARC
(14,10),-1.268 # DEPENDENCYPART_ARC
(14,11),0.763578 # DEPENDENCYPART_ARC
(14,12),-0.265911 # DEPENDENCYPART_ARC
(14,13),0.121305 # DEPENDENCYPART_ARC
(14,15),1.32511 # DEPENDENCYPART_ARC
(14,16),0.303088 # DEPENDENCYPART_ARC
(14,17),0.349265 # DEPENDENCYPART_ARC
(14,18),-0.10556 # DEPENDENCYPART_ARC
(14,19),0.564781 # DEPENDENCYPART_ARC
(14,20),1.03402 # DEPENDENCYPART_ARC
(14,21),-0.429164 # DEPENDENCYPART_ARC
(14,22),0.86847 # DEPENDENCYPART_ARC
(14,23),-1.08698 # DEPENDENCYPART_ARC
(14,24),0.0585715 # DEPENDENCYPART_ARC
(15,1),-3.2105 # DEPENDENCYPART_ARC
(15,2),-0.527545 # DEPENDENCYPART_ARC
(15,3),-2.70856 # DEPENDENCYPART_ARC
(15,4),-2.24777 # DEPENDENCYPART_ARC
(15,5),-1.50559 # DEPENDENCYPART_ARC
(15,6),-2.10744 # DEPENDENCYPART_ARC
(15,7),-1.8561 # DEPENDENCYPART_ARC
(15,8),-1.55179 # DEPENDENCYPART_ARC
(15,9),-1.91035 # DEPENDENCYPART_ARC
(15,10),-1.70558 # DEPENDENCYPART_ARC
(15,11),-1.50075 # DEPENDENCYPART_ARC
(15,12),-1.6653 # DEPENDENCYPART_ARC
(15,13),-1.20924 # DEPENDENCYPART_ARC
(15,14),-1.14568 # DEPENDENCYPART_ARC
(15,16),-0.0517449 # DEPENDENCYPART_ARC
(15,17),-0.665188 # DEPENDENCYPART_ARC
(15,18),-1.0677 # DEPENDENCYPART_ARC
(15,19),-1.56324 # DEPENDENCYPART_ARC
(15,20),-1.36837 # DEPENDENCYPART_ARC
(15,21),-2.03496 # DEPENDENCYPART_ARC
(15,22),-1.25393 # DEPENDENCYPART_ARC
(15,23),-2.15304 # DEPENDENCYPART_ARC
(15,24),-1.36925 # DEPENDENCYPART_ARC
(16,1),-2.84167 # DEPENDENCYPART_ARC
(16,2),-1.7241 # DEPENDENCYPART_ARC
(16,3),-2.01917 # DEPENDENCYPART_ARC
(16,4),-2.00921 # DEPENDENCYPART_ARC
(16,5),-1.33564 # DEPENDENCYPART_ARC
(16,6),-0.40929 # DEPENDENCYPART_ARC
(16,7),-1.25893 # DEPENDENCYPART_ARC
(16,8),-0.842055 # DEPENDENCYPART_ARC
(16,9),-0.313181 # DEPENDENCYPART_ARC
(16,10),-0.704261 # DEPENDENCYPART_ARC
(16,11),-0.768843 # DEPENDENCYPART_ARC
(16,12),0.0779679 # DEPENDENCYPART_ARC
(16,13),-0.70176 # DEPENDENCYPART_ARC
(16,14),-0.0396142 # DEPENDENCYPART_ARC
(16,15),0.635657 # DEPENDENCYPART_ARC
(16,17),1.95142 # DEPENDENCYPART_ARC
(16,18),1.88885 # DEPENDENCYPART_ARC
(16,19),2.83896 # DEPENDENCYPART_ARC
(16,20),1.95747 # DEPENDENCYPART_ARC
(16,21),2.04002 # DEPENDENCYPART_ARC
(16,22),2.45737 # DEPENDENCYPART_ARC
(16,23),1.09505 # DEPENDENCYPART_ARC
(16,24),0.397512 # DEPENDENCYPART_ARC
(17,1),-3.22866 # DEPENDENCYPART_ARC
(17,2),-2.27568 # DEPENDENCYPART_ARC
(17,3),-2.92519 # DEPENDENCYPART_ARC
(17,4),-2.39054 # DEPENDENCYPART_ARC
(17,5),-2.39043 # DEPENDENCYPART_ARC
(17,6),-2.15724 # DEPENDENCYPART_ARC
(17,7),-1.82368 # DEPENDENCYPART_ARC
(17,8),-1.71186 # DEPENDENCYPART_ARC
(17,9),-1.65264 # DEPENDENCYPART_ARC
(17,10),-1.26343 # DEPENDENCYPART_ARC
(17,11),-0.585209 # DEPENDENCYPART_ARC
(17,12),-1.24142 # DEPENDENCYPART_ARC
(17,13),-1.31767 # DEPENDENCYPART_ARC
(17,14),-0.688158 # DEPENDENCYPART_ARC
(17,15),-0.283284 # DEPENDENCYPART_ARC
(17,16),0.300917 # DEPENDENCYPART_ARC
(17,18),1.64386 # DEPENDENCYPART_ARC
(17,19),2.02191 # DEPENDENCYPART_ARC
(17,20),1.04556 # DEPENDENCYPART_ARC
(17,21),0.575403 # DEPENDENCYPART_ARC
(17,22),0.989497 # DEPENDENCYPART_ARC
(17,23),0.267293 # DEPENDENCYPART_ARC
(17,24),0.258288 # DEPENDENCYPART_ARC
(18,1),-3.18371 # DEPENDENCYPART_ARC
(18,2),-1.78064 # DEPENDENCYPART_ARC
(18,3),-2.61889 # DEPENDENCYPART_ARC
(18,4),-2.14664 # DEPENDENCYPART_ARC
(18,5),-2.07488 # DEPENDENCYPART_ARC
(18,6),-1.91218 # DEPENDENCYPART_ARC
(18,7),-1.86161 # DEPENDENCYPART_ARC
(18,8),-1.40629 # DEPENDENCYPART_ARC
(18,9),-1.4301 # DEPENDENCYPART_ARC
(18,10),-1.17983 # DEPENDENCYPART_ARC
(18,11),-0.429684 # DEPENDENCYPART_ARC
(18,12),-1.19717 # DEPENDENCYPART_ARC
(18,13),-1.26506 # DEPENDENCYPART_ARC
(18,14),-0.718633 # DEPENDENCYPART_ARC
(18,15),-0.0394359 # DEPENDENCYPART_ARC
(18,16),0.0773285 # DEPENDENCYPART_ARC
(18,17),1.93032 # DEPENDENCYPART_ARC
(18,19),1.71694 # DEPENDENCYPART_ARC
(18,20),1.03747 # DEPENDENCYPART_ARC
(18,21),0.115435 # DEPENDENCYPART_ARC
(18,22),0.0297706 # DEPENDENCYPART_ARC
(18,23),-0.259148 # DEPENDENCYPART_ARC
(18,24),0.038139 # DEPENDENCYPART_ARC
(19,1),-4.83406 # DEPENDENCYPART_ARC
(19,2),-2.24345 # DEPENDENCYPART_ARC
(19,3),-2.54514 # DEPENDENCYPART_ARC
(19,4),-1.23568 # DEPENDENCYPART_ARC
(19,5),-0.326008 # DEPENDENCYPART_ARC
(19,6),-1.09175 # DEPENDENCYPART_ARC
(19,7),-1.98137 # DEPENDENCYPART_ARC
(19,8),0.353078 # DEPENDENCYPART_ARC
(19,9),-0.832522 # DEPENDENCYPART_ARC
(19,10),-0.586284 # DEPENDENCYPART_ARC
(19,11),1.58436 # DEPENDENCYPART_ARC
(19,12),-0.230451 # DEPENDENCYPART_ARC
(19,13),-0.236282 # DEPENDENCYPART_ARC
(19,14),0.673343 # DEPENDENCYPART_ARC
(19,15),0.0357383 # DEPENDENCYPART_ARC
(19,16),1.30538 # DEPENDENCYPART_ARC
(19,17),4.17497 # DEPENDENCYPART_ARC
(19,18),4.86232 # DEPENDENCYPART_ARC
(19,20),3.82429 # DEPENDENCYPART_ARC
(19,21),1.15417 # DEPENDENCYPART_ARC
(19,22),1.56952 # DEPENDENCYPART_ARC
(19,23),0.630083 # DEPENDENCYPART_ARC
(19,24),0.701784 # DEPENDENCYPART_ARC
(20,1),-3.07258 # DEPENDENCYPART_ARC
(20,2),-2.64504 # DEPENDENCYPART_ARC
(20,3),-1.82614 # DEPENDENCYPART_ARC
(20,4),-1.93623 # DEPENDENCYPART_ARC
(20,5),-0.970555 # DEPENDENCYPART_ARC
(20,6),-1.95747 # DEPENDENCYPART_ARC
(20,7),-1.53727 # DEPENDENCYPART_ARC
(20,8),-1.59625 # DEPENDENCYPART_ARC
(20,9),-1.60486 # DEPENDENCYPART_ARC
(20,10),-1.3282 # DEPENDENCYPART_ARC
(20,11),-1.58247 # DEPENDENCYPART_ARC
(20,12),-1.28021 # DEPENDENCYPART_ARC
(20,13),-1.59348 # DEPENDENCYPART_ARC
(20,14),-0.980917 # DEPENDENCYPART_ARC
(20,15),-1.29367 # DEPENDENCYPART_ARC
(20,16),-0.433099 # DEPENDENCYPART_ARC
(20,17),-0.517062 # DEPENDENCYPART_ARC
(20,18),-0.643325 # DEPENDENCYPART_ARC
(20,19),0.220302 # DEPENDENCYPART_ARC
(20,21),4.03623 # DEPENDENCYPART_ARC
(20,22),1.00975 # DEPENDENCYPART_ARC
(20,23),0.638382 # DEPENDENCYPART_ARC
(20,24),0.269587 # DEPENDENCYPART_ARC
(21,1),-6.82242 # DEPENDENCYPART_ARC
(21,2),-4.77675 # DEPENDENCYPART_ARC
(21,3),-5.03834 # DEPENDENCYPART_ARC
(21,4),-3.30242 # DEPENDENCYPART_ARC
(21,5),-2.28272 # DEPENDENCYPART_ARC
(21,6),-2.90648 # DEPENDENCYPART_ARC
(21,7),-4.1019 # DEPENDENCYPART_ARC
(21,8),-1.39832 # DEPENDENCYPART_ARC
(21,9),-2.85204 # DEPENDENCYPART_ARC
(21,10),-3.08539 # DEPENDENCYPART_ARC
(21,11),-0.490541 # DEPENDENCYPART_ARC
(21,12),-1.96942 # DEPENDENCYPART_ARC
(21,13),-2.47103 # DEPENDENCYPART_ARC
(21,14),-1.78181 # DEPENDENCYPART_ARC
(21,15),-2.57363 # DEPENDENCYPART_ARC
(21,16),-0.875337 # DEPENDENCYPART_ARC
(21,17),1.67626 # DEPENDENCYPART_ARC
(21,18),1.71138 # DEPENDENCYPART_ARC
(21,19),0.507342 # DEPENDENCYPART_ARC
(21,20),0.493468 # DEPENDENCYPART_ARC
(21,22),1.17525 # DEPENDENCYPART_ARC
(21,23),0.591378 # DEPENDENCYPART_ARC
(21,24),0.0631103 # DEPENDENCYPART_ARC
(22,1),-1.64963 # DEPENDENCYPART_ARC
(22,2),-2.01629 # DEPENDENCYPART_ARC
(22,3),-2.17435 # DEPENDENCYPART_ARC
(22,4),-1.96216 # DEPENDENCYPART_ARC
