# _root_ After Mr. Stanley 's article was published in two Namibian newspapers , Mr. O'Linn had criminal charges brought against their editors , publisher and lawyer .
#goldHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,15,18,21,19,21,21,23,24,15,
#predictedHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,17,18,21,19,21,21,23,24,6,
(5,2),3.27964 # DEPENDENCYPART_ARC
(5,3),4.29014 # DEPENDENCYPART_ARC
(5,4),1.95018 # DEPENDENCYPART_ARC
(5,6),0.741329 # DEPENDENCYPART_ARC
(5,7),0.465322 # DEPENDENCYPART_ARC
(5,8),0.11865 # DEPENDENCYPART_ARC
(5,9),-0.373522 # DEPENDENCYPART_ARC
(5,10),-0.406474 # DEPENDENCYPART_ARC
(5,11),-0.208669 # DEPENDENCYPART_ARC
(5,12),0.784303 # DEPENDENCYPART_ARC
(5,13),-0.469593 # DEPENDENCYPART_ARC
(5,14),-0.386354 # DEPENDENCYPART_ARC
(5,15),-0.613492 # DEPENDENCYPART_ARC
(5,16),-1.31313 # DEPENDENCYPART_ARC
(5,17),-1.27858 # DEPENDENCYPART_ARC
(5,18),-1.16309 # DEPENDENCYPART_ARC
(5,19),-1.0024 # DEPENDENCYPART_ARC
(5,20),-2.30732 # DEPENDENCYPART_ARC
(5,21),-1.36425 # DEPENDENCYPART_ARC
(5,22),-0.412632 # DEPENDENCYPART_ARC
(5,23),-2.12 # DEPENDENCYPART_ARC
(5,24),-1.35571 # DEPENDENCYPART_ARC
(5,25),-3.08345 # DEPENDENCYPART_ARC
(5,26),-0.14327 # DEPENDENCYPART_ARC
(6,1),2.13314 # DEPENDENCYPART_ARC
(6,2),0.993501 # DEPENDENCYPART_ARC
(6,3),1.54038 # DEPENDENCYPART_ARC
(6,4),0.939013 # DEPENDENCYPART_ARC
(6,5),3.33235 # DEPENDENCYPART_ARC
(6,7),3.37508 # DEPENDENCYPART_ARC
(6,8),1.48993 # DEPENDENCYPART_ARC
(6,9),-0.26744 # DEPENDENCYPART_ARC
(6,10),0.0191708 # DEPENDENCYPART_ARC
(6,11),0.239827 # DEPENDENCYPART_ARC
(6,12),0.854992 # DEPENDENCYPART_ARC
(6,13),-1.57238 # DEPENDENCYPART_ARC
(6,14),-1.35349 # DEPENDENCYPART_ARC
(6,15),0.139482 # DEPENDENCYPART_ARC
(6,16),-1.10806 # DEPENDENCYPART_ARC
(6,17),-1.25554 # DEPENDENCYPART_ARC
(6,18),-0.807479 # DEPENDENCYPART_ARC
(6,19),-2.16915 # DEPENDENCYPART_ARC
(6,20),-2.17653 # DEPENDENCYPART_ARC
(6,21),-2.11025 # DEPENDENCYPART_ARC
(6,22),-0.25377 # DEPENDENCYPART_ARC
(6,23),-3.004 # DEPENDENCYPART_ARC
(6,24),0.0281142 # DEPENDENCYPART_ARC
(6,25),-3.35084 # DEPENDENCYPART_ARC
(6,26),4.74274 # DEPENDENCYPART_ARC
(7,1),0.380959 # DEPENDENCYPART_ARC
(7,2),0.095125 # DEPENDENCYPART_ARC
(7,3),0.167644 # DEPENDENCYPART_ARC
(7,4),0.600434 # DEPENDENCYPART_ARC
(7,5),0.678188 # DEPENDENCYPART_ARC
(7,6),0.673371 # DEPENDENCYPART_ARC
(7,8),3.47536 # DEPENDENCYPART_ARC
(7,9),0.972754 # DEPENDENCYPART_ARC
(7,10),1.00637 # DEPENDENCYPART_ARC
(7,11),1.31149 # DEPENDENCYPART_ARC
(7,12),0.797001 # DEPENDENCYPART_ARC
(7,13),-0.0644284 # DEPENDENCYPART_ARC
(7,14),0.0917071 # DEPENDENCYPART_ARC
(7,15),0.443105 # DEPENDENCYPART_ARC
(7,16),-0.230075 # DEPENDENCYPART_ARC
(7,17),-0.284792 # DEPENDENCYPART_ARC
(7,18),0.833035 # DEPENDENCYPART_ARC
(7,19),-0.112649 # DEPENDENCYPART_ARC
(7,20),-1.21765 # DEPENDENCYPART_ARC
(7,21),-1.18816 # DEPENDENCYPART_ARC
(7,22),0.0285292 # DEPENDENCYPART_ARC
(7,23),-1.10483 # DEPENDENCYPART_ARC
(7,24),-0.636792 # DEPENDENCYPART_ARC
(7,25),-1.45946 # DEPENDENCYPART_ARC
(7,26),0.487594 # DEPENDENCYPART_ARC
(8,1),-0.354215 # DEPENDENCYPART_ARC
(8,2),-0.735453 # DEPENDENCYPART_ARC
(8,3),-0.953564 # DEPENDENCYPART_ARC
(8,4),-0.135002 # DEPENDENCYPART_ARC
(8,5),-0.476771 # DEPENDENCYPART_ARC
(8,6),-0.158294 # DEPENDENCYPART_ARC
(8,7),0.569948 # DEPENDENCYPART_ARC
(8,9),1.21321 # DEPENDENCYPART_ARC
(8,10),1.44246 # DEPENDENCYPART_ARC
(8,11),3.07793 # DEPENDENCYPART_ARC
(8,12),0.406644 # DEPENDENCYPART_ARC
(8,13),-0.377518 # DEPENDENCYPART_ARC
(8,14),-0.430797 # DEPENDENCYPART_ARC
(8,15),-1.59048 # DEPENDENCYPART_ARC
(8,16),-0.692576 # DEPENDENCYPART_ARC
(8,17),-1.83495 # DEPENDENCYPART_ARC
(8,18),-0.80823 # DEPENDENCYPART_ARC
(8,19),-0.698346 # DEPENDENCYPART_ARC
(8,20),-1.52046 # DEPENDENCYPART_ARC
(8,21),-3.99537 # DEPENDENCYPART_ARC
(8,22),-0.0110532 # DEPENDENCYPART_ARC
(8,23),-6.50321 # DEPENDENCYPART_ARC
(8,24),-0.854882 # DEPENDENCYPART_ARC
(8,25),-6.97549 # DEPENDENCYPART_ARC
(8,26),-0.174465 # DEPENDENCYPART_ARC
(9,1),-2.29608 # DEPENDENCYPART_ARC
(9,2),-1.79977 # DEPENDENCYPART_ARC
(9,3),-1.81962 # DEPENDENCYPART_ARC
(9,4),-1.83842 # DEPENDENCYPART_ARC
(9,5),-1.6129 # DEPENDENCYPART_ARC
(9,6),-1.28366 # DEPENDENCYPART_ARC
(9,7),-0.382633 # DEPENDENCYPART_ARC
(9,8),0.859501 # DEPENDENCYPART_ARC
(9,10),1.36178 # DEPENDENCYPART_ARC
(9,11),0.417974 # DEPENDENCYPART_ARC
(9,12),0.728284 # DEPENDENCYPART_ARC
(9,13),-0.240648 # DEPENDENCYPART_ARC
(9,14),-0.286188 # DEPENDENCYPART_ARC
(9,15),0.432136 # DEPENDENCYPART_ARC
(9,16),-0.316746 # DEPENDENCYPART_ARC
(9,17),-0.686844 # DEPENDENCYPART_ARC
(9,18),-0.45011 # DEPENDENCYPART_ARC
(9,19),-0.816074 # DEPENDENCYPART_ARC
(9,20),-1.43959 # DEPENDENCYPART_ARC
(9,21),-0.947078 # DEPENDENCYPART_ARC
(9,22),0.0104146 # DEPENDENCYPART_ARC
(9,23),-0.439958 # DEPENDENCYPART_ARC
(9,24),-0.868574 # DEPENDENCYPART_ARC
(9,25),-0.653393 # DEPENDENCYPART_ARC
(9,26),-1.4108 # DEPENDENCYPART_ARC
(10,1),-1.43034 # DEPENDENCYPART_ARC
(10,2),-0.688509 # DEPENDENCYPART_ARC
(10,3),-1.19827 # DEPENDENCYPART_ARC
(10,4),-1.05652 # DEPENDENCYPART_ARC
(10,5),-0.641107 # DEPENDENCYPART_ARC
(10,6),-1.21803 # DEPENDENCYPART_ARC
(10,7),-0.46379 # DEPENDENCYPART_ARC
(10,8),0.52158 # DEPENDENCYPART_ARC
(10,9),1.31592 # DEPENDENCYPART_ARC
(10,11),0.948173 # DEPENDENCYPART_ARC
(10,12),0.194034 # DEPENDENCYPART_ARC
(10,13),-0.152461 # DEPENDENCYPART_ARC
(10,14),-0.452073 # DEPENDENCYPART_ARC
(10,15),-0.636267 # DEPENDENCYPART_ARC
(10,16),-0.839354 # DEPENDENCYPART_ARC
(10,17),-0.966158 # DEPENDENCYPART_ARC
(10,18),-0.561107 # DEPENDENCYPART_ARC
(10,19),-1.19675 # DEPENDENCYPART_ARC
(10,20),-1.96201 # DEPENDENCYPART_ARC
(10,21),-1.17746 # DEPENDENCYPART_ARC
(10,22),-0.344309 # DEPENDENCYPART_ARC
(10,23),-1.19605 # DEPENDENCYPART_ARC
(10,24),-1.68632 # DEPENDENCYPART_ARC
(10,25),-1.84973 # DEPENDENCYPART_ARC
(10,26),-0.434076 # DEPENDENCYPART_ARC
(11,1),-0.850914 # DEPENDENCYPART_ARC
(11,2),0.250359 # DEPENDENCYPART_ARC
(11,3),0.983062 # DEPENDENCYPART_ARC
(11,4),0.0204617 # DEPENDENCYPART_ARC
(11,5),-0.287486 # DEPENDENCYPART_ARC
(11,6),0.023667 # DEPENDENCYPART_ARC
(11,7),0.749826 # DEPENDENCYPART_ARC
(11,8),0.523389 # DEPENDENCYPART_ARC
(11,9),4.09179 # DEPENDENCYPART_ARC
(11,10),4.30191 # DEPENDENCYPART_ARC
(11,12),2.02661 # DEPENDENCYPART_ARC
(11,13),0.998236 # DEPENDENCYPART_ARC
(11,14),0.906323 # DEPENDENCYPART_ARC
(11,15),1.29797 # DEPENDENCYPART_ARC
(11,16),0.455655 # DEPENDENCYPART_ARC
(11,17),0.384322 # DEPENDENCYPART_ARC
(11,18),0.906171 # DEPENDENCYPART_ARC
(11,19),0.837867 # DEPENDENCYPART_ARC
(11,20),-0.603448 # DEPENDENCYPART_ARC
(11,21),0.620676 # DEPENDENCYPART_ARC
(11,22),1.16599 # DEPENDENCYPART_ARC
(11,23),0.320461 # DEPENDENCYPART_ARC
(11,24),-0.39015 # DEPENDENCYPART_ARC
(11,25),-0.825468 # DEPENDENCYPART_ARC
(11,26),0.140215 # DEPENDENCYPART_ARC
(12,1),-1.97042 # DEPENDENCYPART_ARC
(12,2),-2.22295 # DEPENDENCYPART_ARC
(12,3),-2.15955 # DEPENDENCYPART_ARC
(12,4),-1.84266 # DEPENDENCYPART_ARC
(12,5),-1.33132 # DEPENDENCYPART_ARC
(12,6),-1.21901 # DEPENDENCYPART_ARC
(12,7),-1.2995 # DEPENDENCYPART_ARC
(12,8),-1.34242 # DEPENDENCYPART_ARC
(12,9),-0.958333 # DEPENDENCYPART_ARC
(12,10),-1.13364 # DEPENDENCYPART_ARC
(12,11),-0.975944 # DEPENDENCYPART_ARC
(12,13),-0.227965 # DEPENDENCYPART_ARC
(12,14),-0.87156 # DEPENDENCYPART_ARC
(12,15),-0.931344 # DEPENDENCYPART_ARC
(12,16),-1.61473 # DEPENDENCYPART_ARC
(12,17),-1.8456 # DEPENDENCYPART_ARC
(12,18),-1.77708 # DEPENDENCYPART_ARC
(12,19),-1.6744 # DEPENDENCYPART_ARC
(12,20),-2.46772 # DEPENDENCYPART_ARC
(12,21),-2.49807 # DEPENDENCYPART_ARC
(12,22),-0.718494 # DEPENDENCYPART_ARC
(12,23),-2.69484 # DEPENDENCYPART_ARC
(12,24),-2.24374 # DEPENDENCYPART_ARC
(12,25),-2.91259 # DEPENDENCYPART_ARC
(12,26),-1.96221 # DEPENDENCYPART_ARC
(13,1),-4.77371 # DEPENDENCYPART_ARC
(13,2),-3.32043 # DEPENDENCYPART_ARC
(13,3),-4.11918 # DEPENDENCYPART_ARC
(13,4),-3.84992 # DEPENDENCYPART_ARC
(13,5),-4.15761 # DEPENDENCYPART_ARC
(13,6),-3.6849 # DEPENDENCYPART_ARC
(13,7),-3.39503 # DEPENDENCYPART_ARC
(13,8),-2.24438 # DEPENDENCYPART_ARC
(13,9),-1.49295 # DEPENDENCYPART_ARC
(13,10),-1.29565 # DEPENDENCYPART_ARC
(13,11),-1.93175 # DEPENDENCYPART_ARC
(13,12),-1.17511 # DEPENDENCYPART_ARC
(13,14),1.65728 # DEPENDENCYPART_ARC
(13,15),-1.35681 # DEPENDENCYPART_ARC
(13,16),-1.28772 # DEPENDENCYPART_ARC
(13,17),-1.66174 # DEPENDENCYPART_ARC
(13,18),-1.97077 # DEPENDENCYPART_ARC
(13,19),-2.28344 # DEPENDENCYPART_ARC
(13,20),-2.70553 # DEPENDENCYPART_ARC
(13,21),-2.59965 # DEPENDENCYPART_ARC
(13,22),-1.34527 # DEPENDENCYPART_ARC
(13,23),-3.7771 # DEPENDENCYPART_ARC
(13,24),-2.64053 # DEPENDENCYPART_ARC
(13,25),-5.13696 # DEPENDENCYPART_ARC
(13,26),-1.89629 # DEPENDENCYPART_ARC
(14,1),-3.55549 # DEPENDENCYPART_ARC
(14,2),-1.37017 # DEPENDENCYPART_ARC
(14,3),-2.23541 # DEPENDENCYPART_ARC
(14,4),-2.29632 # DEPENDENCYPART_ARC
(14,5),-2.86792 # DEPENDENCYPART_ARC
(14,6),-2.36682 # DEPENDENCYPART_ARC
(14,7),-1.93234 # DEPENDENCYPART_ARC
(14,8),-1.44252 # DEPENDENCYPART_ARC
(14,9),-0.470843 # DEPENDENCYPART_ARC
(14,10),0.0645292 # DEPENDENCYPART_ARC
(14,11),-0.901511 # DEPENDENCYPART_ARC
(14,12),0.96487 # DEPENDENCYPART_ARC
(14,13),5.05467 # DEPENDENCYPART_ARC
(14,15),0.439359 # DEPENDENCYPART_ARC
(14,16),0.404105 # DEPENDENCYPART_ARC
(14,17),-0.231032 # DEPENDENCYPART_ARC
(14,18),-0.235557 # DEPENDENCYPART_ARC
(14,19),-0.794695 # DEPENDENCYPART_ARC
(14,20),-1.37819 # DEPENDENCYPART_ARC
(14,21),-1.29156 # DEPENDENCYPART_ARC
(14,22),-0.263437 # DEPENDENCYPART_ARC
(14,23),-1.82994 # DEPENDENCYPART_ARC
(14,24),-1.52581 # DEPENDENCYPART_ARC
(14,25),-3.57728 # DEPENDENCYPART_ARC
(14,26),-0.368442 # DEPENDENCYPART_ARC
(15,1),3.0293 # DEPENDENCYPART_ARC
(15,2),0.91362 # DEPENDENCYPART_ARC
(15,3),0.303523 # DEPENDENCYPART_ARC
(15,4),-0.824122 # DEPENDENCYPART_ARC
(15,5),0.699262 # DEPENDENCYPART_ARC
(15,6),0.442694 # DEPENDENCYPART_ARC
(15,7),0.447608 # DEPENDENCYPART_ARC
(15,8),1.79721 # DEPENDENCYPART_ARC
(15,9),0.961325 # DEPENDENCYPART_ARC
(15,10),0.903444 # DEPENDENCYPART_ARC
(15,11),0.853323 # DEPENDENCYPART_ARC
(15,12),3.55082 # DEPENDENCYPART_ARC
(15,13),2.17773 # DEPENDENCYPART_ARC
(15,14),2.99607 # DEPENDENCYPART_ARC
(15,16),1.99146 # DEPENDENCYPART_ARC
(15,17),3.1293 # DEPENDENCYPART_ARC
(15,18),2.24455 # DEPENDENCYPART_ARC
(15,19),1.23348 # DEPENDENCYPART_ARC
(15,20),-0.23703 # DEPENDENCYPART_ARC
(15,21),0.857521 # DEPENDENCYPART_ARC
(15,22),1.9087 # DEPENDENCYPART_ARC
(15,23),-0.0208284 # DEPENDENCYPART_ARC
(15,24),0.986267 # DEPENDENCYPART_ARC
(15,25),-0.617315 # DEPENDENCYPART_ARC
(15,26),4.48072 # DEPENDENCYPART_ARC
(16,1),-2.92344 # DEPENDENCYPART_ARC
(16,2),-1.97464 # DEPENDENCYPART_ARC
(16,3),-2.54961 # DEPENDENCYPART_ARC
(16,4),-2.31345 # DEPENDENCYPART_ARC
(16,5),-2.47236 # DEPENDENCYPART_ARC
(16,6),-2.52015 # DEPENDENCYPART_ARC
(16,7),-2.08357 # DEPENDENCYPART_ARC
(16,8),-1.54061 # DEPENDENCYPART_ARC
(16,9),-1.35455 # DEPENDENCYPART_ARC
(16,10),-0.593709 # DEPENDENCYPART_ARC
(16,11),-1.44498 # DEPENDENCYPART_ARC
(16,12),-0.537214 # DEPENDENCYPART_ARC
(16,13),0.0709565 # DEPENDENCYPART_ARC
(16,14),-0.0378101 # DEPENDENCYPART_ARC
(16,15),-0.318217 # DEPENDENCYPART_ARC
(16,17),1.11403 # DEPENDENCYPART_ARC
(16,18),0.663477 # DEPENDENCYPART_ARC
(16,19),-0.0392345 # DEPENDENCYPART_ARC
(16,20),-1.06038 # DEPENDENCYPART_ARC
(16,21),-0.214358 # DEPENDENCYPART_ARC
(16,22),0.2775 # DEPENDENCYPART_ARC
(16,23),-0.557872 # DEPENDENCYPART_ARC
(16,24),-0.940392 # DEPENDENCYPART_ARC
(16,25),-1.22627 # DEPENDENCYPART_ARC
(16,26),-0.249217 # DEPENDENCYPART_ARC
(17,1),-1.47932 # DEPENDENCYPART_ARC
(17,2),-2.50043 # DEPENDENCYPART_ARC
(17,3),-1.44512 # DEPENDENCYPART_ARC
(17,4),-1.24191 # DEPENDENCYPART_ARC
(17,5),-2.37452 # DEPENDENCYPART_ARC
(17,6),-0.898002 # DEPENDENCYPART_ARC
(17,7),-0.960347 # DEPENDENCYPART_ARC
(17,8),-0.700593 # DEPENDENCYPART_ARC
(17,9),1.32877 # DEPENDENCYPART_ARC
(17,10),1.24477 # DEPENDENCYPART_ARC
(17,11),-0.566178 # DEPENDENCYPART_ARC
(17,12),0.490019 # DEPENDENCYPART_ARC
(17,13),0.788146 # DEPENDENCYPART_ARC
(17,14),0.787469 # DEPENDENCYPART_ARC
(17,15),0.725874 # DEPENDENCYPART_ARC
(17,16),4.35792 # DEPENDENCYPART_ARC
(17,18),3.10352 # DEPENDENCYPART_ARC
(17,19),2.21996 # DEPENDENCYPART_ARC
(17,20),0.300892 # DEPENDENCYPART_ARC
(17,21),1.20937 # DEPENDENCYPART_ARC
(17,22),1.43049 # DEPENDENCYPART_ARC
(17,23),0.506194 # DEPENDENCYPART_ARC
(17,24),1.09512 # DEPENDENCYPART_ARC
(17,25),-0.294709 # DEPENDENCYPART_ARC
(17,26),0.855918 # DEPENDENCYPART_ARC
(18,1),-0.679043 # DEPENDENCYPART_ARC
(18,2),-0.466925 # DEPENDENCYPART_ARC
(18,3),-0.480642 # DEPENDENCYPART_ARC
(18,4),-0.941777 # DEPENDENCYPART_ARC
(18,5),-0.300531 # DEPENDENCYPART_ARC
(18,6),0.0876977 # DEPENDENCYPART_ARC
(18,7),-0.490634 # DEPENDENCYPART_ARC
(18,8),0.410195 # DEPENDENCYPART_ARC
(18,9),-0.562327 # DEPENDENCYPART_ARC
(18,10),0.0734713 # DEPENDENCYPART_ARC
(18,11),0.0251159 # DEPENDENCYPART_ARC
(18,12),1.32773 # DEPENDENCYPART_ARC
(18,13),0.360726 # DEPENDENCYPART_ARC
(18,14),0.418369 # DEPENDENCYPART_ARC
(18,15),0.808852 # DEPENDENCYPART_ARC
(18,16),0.722534 # DEPENDENCYPART_ARC
(18,17),1.40246 # DEPENDENCYPART_ARC
(18,19),3.6195 # DEPENDENCYPART_ARC
(18,20),0.418929 # DEPENDENCYPART_ARC
(18,21),1.58639 # DEPENDENCYPART_ARC
(18,22),0.499362 # DEPENDENCYPART_ARC
(18,23),0.181931 # DEPENDENCYPART_ARC
(18,24),1.06047 # DEPENDENCYPART_ARC
(18,25),-0.283018 # DEPENDENCYPART_ARC
(18,26),1.78537 # DEPENDENCYPART_ARC
(19,1),-1.70001 # DEPENDENCYPART_ARC
(19,2),-1.88659 # DEPENDENCYPART_ARC
(19,3),-2.03438 # DEPENDENCYPART_ARC
(19,4),-1.33627 # DEPENDENCYPART_ARC
(19,5),-2.2856 # DEPENDENCYPART_ARC
(19,6),-1.21445 # DEPENDENCYPART_ARC
(19,7),-1.12863 # DEPENDENCYPART_ARC
(19,8),-0.901934 # DEPENDENCYPART_ARC
(19,9),-0.800101 # DEPENDENCYPART_ARC
(19,10),-0.492738 # DEPENDENCYPART_ARC
(19,11),-0.725742 # DEPENDENCYPART_ARC
(19,12),-0.645539 # DEPENDENCYPART_ARC
(19,13),-0.468591 # DEPENDENCYPART_ARC
(19,14),-0.62413 # DEPENDENCYPART_ARC
(19,15),-0.136792 # DEPENDENCYPART_ARC
(19,16),0.370807 # DEPENDENCYPART_ARC
(19,17),0.127429 # DEPENDENCYPART_ARC
(19,18),1.11196 # DEPENDENCYPART_ARC
(19,20),1.18076 # DEPENDENCYPART_ARC
(19,21),3.25871 # DEPENDENCYPART_ARC
(19,22),1.44231 # DEPENDENCYPART_ARC
(19,23),0.94709 # DEPENDENCYPART_ARC
(19,24),0.64468 # DEPENDENCYPART_ARC
(19,25),-0.466731 # DEPENDENCYPART_ARC
(19,26),-0.19811 # DEPENDENCYPART_ARC
(20,1),-3.33302 # DEPENDENCYPART_ARC
(20,2),-3.34612 # DEPENDENCYPART_ARC
(20,3),-3.28376 # DEPENDENCYPART_ARC
(20,4),-3.30862 # DEPENDENCYPART_ARC
(20,5),-3.29205 # DEPENDENCYPART_ARC
(20,6),-3.01145 # DEPENDENCYPART_ARC
(20,7),-2.82612 # DEPENDENCYPART_ARC
(20,8),-2.61318 # DEPENDENCYPART_ARC
(20,9),-2.66235 # DEPENDENCYPART_ARC
