# _root_ Taped just as the market closed yesterday , it offers Ms. Farrell advising , `` We view the market here as going through a relatively normal cycle ... .
#goldHeads=10,3,1,5,6,3,6,10,10,0,12,10,12,13,13,17,13,19,17,17,17,21,22,27,26,27,23,10,10,
#predictedHeads=10,3,1,5,6,3,6,10,10,0,13,13,10,10,17,17,10,19,17,17,17,21,22,27,26,27,23,17,6,
(2,1),0.964121 # DEPENDENCYPART_ARC
(2,3),2.12937 # DEPENDENCYPART_ARC
(2,4),1.89676 # DEPENDENCYPART_ARC
(2,5),0.946841 # DEPENDENCYPART_ARC
(2,6),1.0659 # DEPENDENCYPART_ARC
(2,7),0.230721 # DEPENDENCYPART_ARC
(2,8),0.696807 # DEPENDENCYPART_ARC
(2,9),0.0707418 # DEPENDENCYPART_ARC
(2,10),0.0643974 # DEPENDENCYPART_ARC
(2,11),-0.512802 # DEPENDENCYPART_ARC
(2,12),-0.461024 # DEPENDENCYPART_ARC
(2,13),-0.997081 # DEPENDENCYPART_ARC
(2,14),0.275863 # DEPENDENCYPART_ARC
(2,15),0.500969 # DEPENDENCYPART_ARC
(2,16),-0.516813 # DEPENDENCYPART_ARC
(2,17),-0.485047 # DEPENDENCYPART_ARC
(2,18),-0.479177 # DEPENDENCYPART_ARC
(2,19),-2.2134 # DEPENDENCYPART_ARC
(2,20),-0.811903 # DEPENDENCYPART_ARC
(2,21),-1.42864 # DEPENDENCYPART_ARC
(2,22),-0.818804 # DEPENDENCYPART_ARC
(2,23),-2.05692 # DEPENDENCYPART_ARC
(2,24),-0.179246 # DEPENDENCYPART_ARC
(2,25),-1.7427 # DEPENDENCYPART_ARC
(2,26),-1.55931 # DEPENDENCYPART_ARC
(2,27),-3.19405 # DEPENDENCYPART_ARC
(2,28),0.583949 # DEPENDENCYPART_ARC
(2,29),0.18055 # DEPENDENCYPART_ARC
(3,1),0.242742 # DEPENDENCYPART_ARC
(3,2),3.34059 # DEPENDENCYPART_ARC
(3,4),0.605513 # DEPENDENCYPART_ARC
(3,5),2.09188 # DEPENDENCYPART_ARC
(3,6),4.14248 # DEPENDENCYPART_ARC
(3,7),-0.414581 # DEPENDENCYPART_ARC
(3,8),0.812856 # DEPENDENCYPART_ARC
(3,9),-1.41321 # DEPENDENCYPART_ARC
(3,10),0.220131 # DEPENDENCYPART_ARC
(3,11),-2.72015 # DEPENDENCYPART_ARC
(3,12),-2.34476 # DEPENDENCYPART_ARC
(3,13),-1.88399 # DEPENDENCYPART_ARC
(3,14),0.752365 # DEPENDENCYPART_ARC
(3,15),-0.597468 # DEPENDENCYPART_ARC
(3,16),-2.39685 # DEPENDENCYPART_ARC
(3,17),-1.76748 # DEPENDENCYPART_ARC
(3,18),-2.99644 # DEPENDENCYPART_ARC
(3,19),-6.76608 # DEPENDENCYPART_ARC
(3,20),-0.415804 # DEPENDENCYPART_ARC
(3,21),-1.05318 # DEPENDENCYPART_ARC
(3,22),-1.55745 # DEPENDENCYPART_ARC
(3,23),-2.94943 # DEPENDENCYPART_ARC
(3,24),-4.11809 # DEPENDENCYPART_ARC
(3,25),-2.43536 # DEPENDENCYPART_ARC
(3,26),-3.63135 # DEPENDENCYPART_ARC
(3,27),-8.33252 # DEPENDENCYPART_ARC
(3,28),-0.696018 # DEPENDENCYPART_ARC
(3,29),1.2375 # DEPENDENCYPART_ARC
(4,1),-1.87489 # DEPENDENCYPART_ARC
(4,2),-1.2946 # DEPENDENCYPART_ARC
(4,3),-0.85125 # DEPENDENCYPART_ARC
(4,5),-0.135779 # DEPENDENCYPART_ARC
(4,6),-0.88217 # DEPENDENCYPART_ARC
(4,7),-1.45043 # DEPENDENCYPART_ARC
(4,8),-2.13011 # DEPENDENCYPART_ARC
(4,9),-2.3795 # DEPENDENCYPART_ARC
(4,10),-2.11668 # DEPENDENCYPART_ARC
(4,11),-2.88963 # DEPENDENCYPART_ARC
(4,12),-2.9522 # DEPENDENCYPART_ARC
(4,13),-2.47314 # DEPENDENCYPART_ARC
(4,14),-2.45155 # DEPENDENCYPART_ARC
(4,15),-2.87503 # DEPENDENCYPART_ARC
(4,16),-3.105 # DEPENDENCYPART_ARC
(4,17),-3.26606 # DEPENDENCYPART_ARC
(4,18),-4.08085 # DEPENDENCYPART_ARC
(4,19),-3.0225 # DEPENDENCYPART_ARC
(4,20),-3.54795 # DEPENDENCYPART_ARC
(4,21),-3.76898 # DEPENDENCYPART_ARC
(4,22),-3.81019 # DEPENDENCYPART_ARC
(4,23),-4.54737 # DEPENDENCYPART_ARC
(4,24),-4.65123 # DEPENDENCYPART_ARC
(4,25),-4.11203 # DEPENDENCYPART_ARC
(4,26),-4.33673 # DEPENDENCYPART_ARC
(4,27),-4.18513 # DEPENDENCYPART_ARC
(4,28),-3.48718 # DEPENDENCYPART_ARC
(4,29),-3.49917 # DEPENDENCYPART_ARC
(5,1),-0.879933 # DEPENDENCYPART_ARC
(5,2),0.737807 # DEPENDENCYPART_ARC
(5,3),-0.00177048 # DEPENDENCYPART_ARC
(5,4),4.65007 # DEPENDENCYPART_ARC
(5,6),0.99667 # DEPENDENCYPART_ARC
(5,7),-0.039814 # DEPENDENCYPART_ARC
(5,8),-0.253394 # DEPENDENCYPART_ARC
(5,9),-0.489792 # DEPENDENCYPART_ARC
(5,10),0.19616 # DEPENDENCYPART_ARC
(5,11),-1.22525 # DEPENDENCYPART_ARC
(5,12),-1.18974 # DEPENDENCYPART_ARC
(5,13),-1.4798 # DEPENDENCYPART_ARC
(5,14),-1.17806 # DEPENDENCYPART_ARC
(5,15),-0.0906411 # DEPENDENCYPART_ARC
(5,16),-1.14564 # DEPENDENCYPART_ARC
(5,17),-1.14302 # DEPENDENCYPART_ARC
(5,18),-1.79112 # DEPENDENCYPART_ARC
(5,19),-1.70146 # DEPENDENCYPART_ARC
(5,20),-1.30835 # DEPENDENCYPART_ARC
(5,21),-1.37618 # DEPENDENCYPART_ARC
(5,22),-1.97788 # DEPENDENCYPART_ARC
(5,23),-1.78155 # DEPENDENCYPART_ARC
(5,24),-2.30699 # DEPENDENCYPART_ARC
(5,25),-2.45196 # DEPENDENCYPART_ARC
(5,26),-2.55511 # DEPENDENCYPART_ARC
(5,27),-2.72679 # DEPENDENCYPART_ARC
(5,28),-1.56264 # DEPENDENCYPART_ARC
(5,29),1.16262 # DEPENDENCYPART_ARC
(6,1),1.48134 # DEPENDENCYPART_ARC
(6,2),1.21957 # DEPENDENCYPART_ARC
(6,3),1.51201 # DEPENDENCYPART_ARC
(6,4),1.3209 # DEPENDENCYPART_ARC
(6,5),4.34615 # DEPENDENCYPART_ARC
(6,7),3.83826 # DEPENDENCYPART_ARC
(6,8),2.05219 # DEPENDENCYPART_ARC
(6,9),0.643471 # DEPENDENCYPART_ARC
(6,10),1.24452 # DEPENDENCYPART_ARC
(6,11),0.277053 # DEPENDENCYPART_ARC
(6,12),0.437508 # DEPENDENCYPART_ARC
(6,13),0.720372 # DEPENDENCYPART_ARC
(6,14),1.93414 # DEPENDENCYPART_ARC
(6,15),1.44331 # DEPENDENCYPART_ARC
(6,16),-0.280271 # DEPENDENCYPART_ARC
(6,17),0.445216 # DEPENDENCYPART_ARC
(6,18),-1.80977 # DEPENDENCYPART_ARC
(6,19),-0.801437 # DEPENDENCYPART_ARC
(6,20),0.251338 # DEPENDENCYPART_ARC
(6,21),1.0215 # DEPENDENCYPART_ARC
(6,22),-0.492739 # DEPENDENCYPART_ARC
(6,23),-1.75263 # DEPENDENCYPART_ARC
(6,24),-2.41519 # DEPENDENCYPART_ARC
(6,25),-0.983693 # DEPENDENCYPART_ARC
(6,26),-0.977106 # DEPENDENCYPART_ARC
(6,27),-1.90139 # DEPENDENCYPART_ARC
(6,28),1.27025 # DEPENDENCYPART_ARC
(6,29),5.88019 # DEPENDENCYPART_ARC
(7,1),-2.92009 # DEPENDENCYPART_ARC
(7,2),-0.54842 # DEPENDENCYPART_ARC
(7,3),-1.35348 # DEPENDENCYPART_ARC
(7,4),0.634031 # DEPENDENCYPART_ARC
(7,5),-1.6492 # DEPENDENCYPART_ARC
(7,6),-0.858858 # DEPENDENCYPART_ARC
(7,8),-0.204551 # DEPENDENCYPART_ARC
(7,9),-0.459875 # DEPENDENCYPART_ARC
(7,10),-0.196064 # DEPENDENCYPART_ARC
(7,11),-0.834161 # DEPENDENCYPART_ARC
(7,12),-1.23852 # DEPENDENCYPART_ARC
(7,13),-0.411647 # DEPENDENCYPART_ARC
(7,14),-0.886942 # DEPENDENCYPART_ARC
(7,15),0.272977 # DEPENDENCYPART_ARC
(7,16),-1.41458 # DEPENDENCYPART_ARC
(7,17),-1.86701 # DEPENDENCYPART_ARC
(7,18),-2.09101 # DEPENDENCYPART_ARC
(7,19),-2.09558 # DEPENDENCYPART_ARC
(7,20),-1.36219 # DEPENDENCYPART_ARC
(7,21),-3.01543 # DEPENDENCYPART_ARC
(7,22),-2.10687 # DEPENDENCYPART_ARC
(7,23),-3.1625 # DEPENDENCYPART_ARC
(7,24),-2.5038 # DEPENDENCYPART_ARC
(7,25),-2.61928 # DEPENDENCYPART_ARC
(7,26),-2.77894 # DEPENDENCYPART_ARC
(7,27),-1.99197 # DEPENDENCYPART_ARC
(7,28),-0.564341 # DEPENDENCYPART_ARC
(7,29),1.08936 # DEPENDENCYPART_ARC
(8,1),-1.23419 # DEPENDENCYPART_ARC
(8,2),-2.18788 # DEPENDENCYPART_ARC
(8,3),-1.68752 # DEPENDENCYPART_ARC
(8,4),-1.02509 # DEPENDENCYPART_ARC
(8,5),-1.29832 # DEPENDENCYPART_ARC
(8,6),-1.41681 # DEPENDENCYPART_ARC
(8,7),-0.507614 # DEPENDENCYPART_ARC
(8,9),-0.0431108 # DEPENDENCYPART_ARC
(8,10),-0.0812334 # DEPENDENCYPART_ARC
(8,11),-0.578033 # DEPENDENCYPART_ARC
(8,12),-0.860257 # DEPENDENCYPART_ARC
(8,13),-1.36823 # DEPENDENCYPART_ARC
(8,14),0.511483 # DEPENDENCYPART_ARC
(8,15),-0.0100188 # DEPENDENCYPART_ARC
(8,16),-1.62019 # DEPENDENCYPART_ARC
(8,17),-1.53626 # DEPENDENCYPART_ARC
(8,18),-1.86409 # DEPENDENCYPART_ARC
(8,19),-2.1863 # DEPENDENCYPART_ARC
(8,20),-2.039 # DEPENDENCYPART_ARC
(8,21),-1.58859 # DEPENDENCYPART_ARC
(8,22),-1.95529 # DEPENDENCYPART_ARC
(8,23),-1.74846 # DEPENDENCYPART_ARC
(8,24),-2.51342 # DEPENDENCYPART_ARC
(8,25),-2.50794 # DEPENDENCYPART_ARC
(8,26),-2.87899 # DEPENDENCYPART_ARC
(8,27),-3.231 # DEPENDENCYPART_ARC
(8,28),-1.727 # DEPENDENCYPART_ARC
(8,29),-2.09552 # DEPENDENCYPART_ARC
(9,1),-1.54311 # DEPENDENCYPART_ARC
(9,2),-1.87019 # DEPENDENCYPART_ARC
(9,3),-0.90973 # DEPENDENCYPART_ARC
(9,4),-0.198385 # DEPENDENCYPART_ARC
(9,5),-1.24646 # DEPENDENCYPART_ARC
(9,6),-0.345118 # DEPENDENCYPART_ARC
(9,7),-0.885894 # DEPENDENCYPART_ARC
(9,8),1.47357 # DEPENDENCYPART_ARC
(9,10),1.18992 # DEPENDENCYPART_ARC
(9,11),0.166889 # DEPENDENCYPART_ARC
(9,12),0.0364553 # DEPENDENCYPART_ARC
(9,13),-0.212069 # DEPENDENCYPART_ARC
(9,14),-0.401568 # DEPENDENCYPART_ARC
(9,15),-0.810874 # DEPENDENCYPART_ARC
(9,16),-0.770309 # DEPENDENCYPART_ARC
(9,17),-0.963979 # DEPENDENCYPART_ARC
(9,18),-0.895157 # DEPENDENCYPART_ARC
(9,19),-0.635499 # DEPENDENCYPART_ARC
(9,20),-1.345 # DEPENDENCYPART_ARC
(9,21),-1.12885 # DEPENDENCYPART_ARC
(9,22),-1.37551 # DEPENDENCYPART_ARC
(9,23),-1.36027 # DEPENDENCYPART_ARC
(9,24),-1.68794 # DEPENDENCYPART_ARC
(9,25),-1.8659 # DEPENDENCYPART_ARC
(9,26),-2.67869 # DEPENDENCYPART_ARC
(9,27),-1.40165 # DEPENDENCYPART_ARC
(9,28),-0.983155 # DEPENDENCYPART_ARC
(9,29),-1.55095 # DEPENDENCYPART_ARC
(10,1),0.959003 # DEPENDENCYPART_ARC
(10,2),0.55817 # DEPENDENCYPART_ARC
(10,3),1.44046 # DEPENDENCYPART_ARC
(10,4),-0.00519665 # DEPENDENCYPART_ARC
(10,5),0.37738 # DEPENDENCYPART_ARC
(10,6),1.07905 # DEPENDENCYPART_ARC
(10,7),0.0582226 # DEPENDENCYPART_ARC
(10,8),3.23716 # DEPENDENCYPART_ARC
(10,9),4.38255 # DEPENDENCYPART_ARC
(10,11),2.20751 # DEPENDENCYPART_ARC
(10,12),2.36237 # DEPENDENCYPART_ARC
(10,13),2.77275 # DEPENDENCYPART_ARC
(10,14),2.58235 # DEPENDENCYPART_ARC
(10,15),1.59487 # DEPENDENCYPART_ARC
(10,16),0.32968 # DEPENDENCYPART_ARC
(10,17),1.17542 # DEPENDENCYPART_ARC
(10,18),-0.144977 # DEPENDENCYPART_ARC
(10,19),0.115778 # DEPENDENCYPART_ARC
(10,20),1.06836 # DEPENDENCYPART_ARC
(10,21),1.735 # DEPENDENCYPART_ARC
(10,22),0.612114 # DEPENDENCYPART_ARC
(10,23),0.896491 # DEPENDENCYPART_ARC
(10,24),-0.826089 # DEPENDENCYPART_ARC
(10,25),-0.580792 # DEPENDENCYPART_ARC
(10,26),-0.932614 # DEPENDENCYPART_ARC
(10,27),-1.25599 # DEPENDENCYPART_ARC
(10,28),1.21208 # DEPENDENCYPART_ARC
(10,29),5.67993 # DEPENDENCYPART_ARC
(11,1),-4.20317 # DEPENDENCYPART_ARC
(11,2),-4.09275 # DEPENDENCYPART_ARC
(11,3),-3.93457 # DEPENDENCYPART_ARC
(11,4),-2.74658 # DEPENDENCYPART_ARC
(11,5),-4.00378 # DEPENDENCYPART_ARC
(11,6),-3.37027 # DEPENDENCYPART_ARC
(11,7),-3.30991 # DEPENDENCYPART_ARC
(11,8),-2.66121 # DEPENDENCYPART_ARC
(11,9),-1.44645 # DEPENDENCYPART_ARC
(11,10),-1.68871 # DEPENDENCYPART_ARC
(11,12),0.205772 # DEPENDENCYPART_ARC
(11,13),0.242372 # DEPENDENCYPART_ARC
(11,14),-0.141896 # DEPENDENCYPART_ARC
(11,15),-0.979307 # DEPENDENCYPART_ARC
(11,16),-1.69289 # DEPENDENCYPART_ARC
(11,17),-1.60208 # DEPENDENCYPART_ARC
(11,18),-1.763 # DEPENDENCYPART_ARC
(11,19),-1.87149 # DEPENDENCYPART_ARC
(11,20),-2.39206 # DEPENDENCYPART_ARC
(11,21),-2.73405 # DEPENDENCYPART_ARC
(11,22),-2.04759 # DEPENDENCYPART_ARC
(11,23),-3.1369 # DEPENDENCYPART_ARC
(11,24),-2.89056 # DEPENDENCYPART_ARC
(11,25),-3.03193 # DEPENDENCYPART_ARC
(11,26),-3.26719 # DEPENDENCYPART_ARC
(11,27),-3.55104 # DEPENDENCYPART_ARC
(11,28),-1.78795 # DEPENDENCYPART_ARC
(11,29),-0.777942 # DEPENDENCYPART_ARC
(12,1),-2.92629 # DEPENDENCYPART_ARC
(12,2),-2.76998 # DEPENDENCYPART_ARC
(12,3),-2.51195 # DEPENDENCYPART_ARC
(12,4),-1.32312 # DEPENDENCYPART_ARC
(12,5),-2.69046 # DEPENDENCYPART_ARC
(12,6),-2.28964 # DEPENDENCYPART_ARC
(12,7),-2.12448 # DEPENDENCYPART_ARC
(12,8),-1.27119 # DEPENDENCYPART_ARC
(12,9),-0.821957 # DEPENDENCYPART_ARC
(12,10),-0.961944 # DEPENDENCYPART_ARC
(12,11),2.92 # DEPENDENCYPART_ARC
(12,13),1.33812 # DEPENDENCYPART_ARC
(12,14),0.24197 # DEPENDENCYPART_ARC
(12,15),-0.19683 # DEPENDENCYPART_ARC
(12,16),-0.53226 # DEPENDENCYPART_ARC
(12,17),-0.612033 # DEPENDENCYPART_ARC
(12,18),-0.969414 # DEPENDENCYPART_ARC
(12,19),-1.15152 # DEPENDENCYPART_ARC
(12,20),-1.42857 # DEPENDENCYPART_ARC
(12,21),-1.6374 # DEPENDENCYPART_ARC
(12,22),-1.09999 # DEPENDENCYPART_ARC
(12,23),-1.89886 # DEPENDENCYPART_ARC
(12,24),-2.11836 # DEPENDENCYPART_ARC
(12,25),-1.96852 # DEPENDENCYPART_ARC
(12,26),-2.34856 # DEPENDENCYPART_ARC
(12,27),-2.62504 # DEPENDENCYPART_ARC
(12,28),-0.701922 # DEPENDENCYPART_ARC
(12,29),0.0853272 # DEPENDENCYPART_ARC
(13,1),-0.783286 # DEPENDENCYPART_ARC
(13,2),-0.805584 # DEPENDENCYPART_ARC
(13,3),-0.472209 # DEPENDENCYPART_ARC
(13,4),2.07937 # DEPENDENCYPART_ARC
(13,5),-0.189328 # DEPENDENCYPART_ARC
(13,6),-0.262042 # DEPENDENCYPART_ARC
(13,7),0.497125 # DEPENDENCYPART_ARC
(13,8),0.814435 # DEPENDENCYPART_ARC
(13,9),1.74337 # DEPENDENCYPART_ARC
(13,10),1.29394 # DEPENDENCYPART_ARC
(13,11),4.2054 # DEPENDENCYPART_ARC
(13,12),4.20573 # DEPENDENCYPART_ARC
(13,14),1.93586 # DEPENDENCYPART_ARC
(13,15),1.62625 # DEPENDENCYPART_ARC
(13,16),0.517143 # DEPENDENCYPART_ARC
(13,17),0.70772 # DEPENDENCYPART_ARC
(13,18),-0.172486 # DEPENDENCYPART_ARC
(13,19),0.289603 # DEPENDENCYPART_ARC
(13,20),0.655188 # DEPENDENCYPART_ARC
(13,21),-0.242244 # DEPENDENCYPART_ARC
(13,22),-0.316651 # DEPENDENCYPART_ARC
(13,23),-0.264337 # DEPENDENCYPART_ARC
(13,24),-0.591249 # DEPENDENCYPART_ARC
(13,25),-0.712529 # DEPENDENCYPART_ARC
(13,26),-1.17157 # DEPENDENCYPART_ARC
(13,27),0.122128 # DEPENDENCYPART_ARC
(13,28),0.602358 # DEPENDENCYPART_ARC
(13,29),2.32591 # DEPENDENCYPART_ARC
(14,1),-1.72048 # DEPENDENCYPART_ARC
(14,2),-3.05474 # DEPENDENCYPART_ARC
(14,3),-2.29257 # DEPENDENCYPART_ARC
(14,4),-1.88991 # DEPENDENCYPART_ARC
(14,5),-2.32833 # DEPENDENCYPART_ARC
(14,6),-2.09759 # DEPENDENCYPART_ARC
(14,7),-1.5728 # DEPENDENCYPART_ARC
(14,8),-0.628285 # DEPENDENCYPART_ARC
(14,9),-2.00731 # DEPENDENCYPART_ARC
(14,10),-1.78357 # DEPENDENCYPART_ARC
(14,11),-1.60355 # DEPENDENCYPART_ARC
(14,12),-1.72885 # DEPENDENCYPART_ARC
(14,13),-1.15843 # DEPENDENCYPART_ARC
(14,15),0.330136 # DEPENDENCYPART_ARC
(14,16),-0.803122 # DEPENDENCYPART_ARC
(14,17),-0.80287 # DEPENDENCYPART_ARC
(14,18),-1.48215 # DEPENDENCYPART_ARC
(14,19),-1.64583 # DEPENDENCYPART_ARC
(14,20),-1.55985 # DEPENDENCYPART_ARC
(14,21),-1.27382 # DEPENDENCYPART_ARC
(14,22),-1.62605 # DEPENDENCYPART_ARC
(14,23),-1.46258 # DEPENDENCYPART_ARC
(14,24),-2.0607 # DEPENDENCYPART_ARC
(14,25),-2.09783 # DEPENDENCYPART_ARC
(14,26),-2.48172 # DEPENDENCYPART_ARC
(14,27),-2.79957 # DEPENDENCYPART_ARC
(14,28),-1.35457 # DEPENDENCYPART_ARC
(14,29),-1.83674 # DEPENDENCYPART_ARC
(15,1),-2.7867 # DEPENDENCYPART_ARC
(15,2),-2.87403 # DEPENDENCYPART_ARC
(15,3),-2.58245 # DEPENDENCYPART_ARC
(15,4),-2.44168 # DEPENDENCYPART_ARC
(15,5),-2.44895 # DEPENDENCYPART_ARC
(15,6),-2.28029 # DEPENDENCYPART_ARC
(15,7),-2.27291 # DEPENDENCYPART_ARC
(15,8),-1.99078 # DEPENDENCYPART_ARC
(15,9),-2.30991 # DEPENDENCYPART_ARC
(15,10),-1.98671 # DEPENDENCYPART_ARC
(15,11),-1.65459 # DEPENDENCYPART_ARC
(15,12),-1.32955 # DEPENDENCYPART_ARC
(15,13),-1.28242 # DEPENDENCYPART_ARC
(15,14),-0.326124 # DEPENDENCYPART_ARC
(15,16),-0.499922 # DEPENDENCYPART_ARC
(15,17),-1.02548 # DEPENDENCYPART_ARC
(15,18),-1.76117 # DEPENDENCYPART_ARC
(15,19),-1.61205 # DEPENDENCYPART_ARC
(15,20),-1.56884 # DEPENDENCYPART_ARC
(15,21),-1.56006 # DEPENDENCYPART_ARC
(15,22),-1.73499 # DEPENDENCYPART_ARC
(15,23),-1.92288 # DEPENDENCYPART_ARC
(15,24),-2.47329 # DEPENDENCYPART_ARC
(15,25),-1.92797 # DEPENDENCYPART_ARC
(15,26),-2.01065 # DEPENDENCYPART_ARC
(15,27),-2.21035 # DEPENDENCYPART_ARC
(15,28),-1.506 # DEPENDENCYPART_ARC
(15,29),-1.70235 # DEPENDENCYPART_ARC
(16,1),-2.60787 # DEPENDENCYPART_ARC
(16,2),-3.03668 # DEPENDENCYPART_ARC
(16,3),-2.36271 # DEPENDENCYPART_ARC
(16,4),-1.84529 # DEPENDENCYPART_ARC
(16,5),-2.83764 # DEPENDENCYPART_ARC
(16,6),-1.74883 # DEPENDENCYPART_ARC
(16,7),-2.46864 # DEPENDENCYPART_ARC
(16,8),-1.25294 # DEPENDENCYPART_ARC
(16,9),-1.97295 # DEPENDENCYPART_ARC
(16,10),-1.68584 # DEPENDENCYPART_ARC
(16,11),-1.57808 # DEPENDENCYPART_ARC
(16,12),-1.39107 # DEPENDENCYPART_ARC
(16,13),-1.23965 # DEPENDENCYPART_ARC
(16,14),-0.0623487 # DEPENDENCYPART_ARC
(16,15),-0.137307 # DEPENDENCYPART_ARC
(16,17),0.752189 # DEPENDENCYPART_ARC
(16,18),0.231266 # DEPENDENCYPART_ARC
(16,19),0.173598 # DEPENDENCYPART_ARC
(16,20),-0.633584 # DEPENDENCYPART_ARC
(16,21),0.0713569 # DEPENDENCYPART_ARC
(16,22),-0.55468 # DEPENDENCYPART_ARC
(16,23),-0.32472 # DEPENDENCYPART_ARC
(16,24),-0.824722 # DEPENDENCYPART_ARC
(16,25),-1.09228 # DEPENDENCYPART_ARC
(16,26),-1.68337 # DEPENDENCYPART_ARC
(16,27),-0.970279 # DEPENDENCYPART_ARC
(16,28),-0.224515 # DEPENDENCYPART_ARC
(16,29),-0.784474 # DEPENDENCYPART_ARC
(17,1),-0.0217514 # DEPENDENCYPART_ARC
(17,2),-0.235125 # DEPENDENCYPART_ARC
(17,3),1.50502 # DEPENDENCYPART_ARC
(17,4),-1.0861 # DEPENDENCYPART_ARC
(17,5),-0.726775 # DEPENDENCYPART_ARC
(17,6),-0.00783568 # DEPENDENCYPART_ARC
(17,7),-0.334113 # DEPENDENCYPART_ARC
(17,8),1.67549 # DEPENDENCYPART_ARC
(17,9),0.252238 # DEPENDENCYPART_ARC
(17,10),0.518465 # DEPENDENCYPART_ARC
(17,11),0.604992 # DEPENDENCYPART_ARC
(17,12),0.402943 # DEPENDENCYPART_ARC
(17,13),0.677553 # DEPENDENCYPART_ARC
(17,14),2.06974 # DEPENDENCYPART_ARC
(17,15),2.09868 # DEPENDENCYPART_ARC
(17,16),4.21717 # DEPENDENCYPART_ARC
(17,18),1.62266 # DEPENDENCYPART_ARC
(17,19),2.54211 # DEPENDENCYPART_ARC
(17,20),2.01144 # DEPENDENCYPART_ARC
(17,21),3.19613 # DEPENDENCYPART_ARC
(17,22),1.41683 # DEPENDENCYPART_ARC
(17,23),1.84624 # DEPENDENCYPART_ARC
(17,24),-0.15003 # DEPENDENCYPART_ARC
(17,25),0.259363 # DEPENDENCYPART_ARC
(17,26),0.357912 # DEPENDENCYPART_ARC
(17,27),0.214175 # DEPENDENCYPART_ARC
(17,28),3.23575 # DEPENDENCYPART_ARC
(17,29),5.27873 # DEPENDENCYPART_ARC
(18,1),-3.61819 # DEPENDENCYPART_ARC
(18,2),-3.74104 # DEPENDENCYPART_ARC
(18,3),-3.45771 # DEPENDENCYPART_ARC
(18,4),-2.95088 # DEPENDENCYPART_ARC
