# _root_ `` With a little patience , these businesses will perform very satisfactorily , '' Mr. Sim says .
#goldHeads=17,9,4,5,2,9,8,9,17,9,10,11,17,17,16,17,0,17,
#predictedHeads=17,9,5,5,2,9,8,9,17,9,10,11,17,17,16,17,0,17,
(1,17),-3.50172 # DEPENDENCYPART_ARC
(1,18),-2.92164 # DEPENDENCYPART_ARC
(2,1),-0.161955 # DEPENDENCYPART_ARC
(2,3),0.197152 # DEPENDENCYPART_ARC
(2,4),1.84562 # DEPENDENCYPART_ARC
(2,5),3.2879 # DEPENDENCYPART_ARC
(2,6),0.540856 # DEPENDENCYPART_ARC
(2,7),-0.527924 # DEPENDENCYPART_ARC
(2,8),0.255871 # DEPENDENCYPART_ARC
(2,9),-0.654032 # DEPENDENCYPART_ARC
(2,10),-0.0613277 # DEPENDENCYPART_ARC
(2,11),-0.259406 # DEPENDENCYPART_ARC
(2,12),0.0776662 # DEPENDENCYPART_ARC
(2,13),-0.422878 # DEPENDENCYPART_ARC
(2,14),0.229903 # DEPENDENCYPART_ARC
(2,15),-3.36916 # DEPENDENCYPART_ARC
(2,16),-1.90852 # DEPENDENCYPART_ARC
(2,17),-3.66583 # DEPENDENCYPART_ARC
(2,18),0.155862 # DEPENDENCYPART_ARC
(3,1),-1.27196 # DEPENDENCYPART_ARC
(3,2),-0.111919 # DEPENDENCYPART_ARC
(3,4),0.540063 # DEPENDENCYPART_ARC
(3,5),-0.0181014 # DEPENDENCYPART_ARC
(3,6),-0.602663 # DEPENDENCYPART_ARC
(3,7),-1.60478 # DEPENDENCYPART_ARC
(3,8),-1.09153 # DEPENDENCYPART_ARC
(3,9),-1.04335 # DEPENDENCYPART_ARC
(3,10),-1.42836 # DEPENDENCYPART_ARC
(3,11),-1.40416 # DEPENDENCYPART_ARC
(3,12),-1.45232 # DEPENDENCYPART_ARC
(3,13),-1.02056 # DEPENDENCYPART_ARC
(3,14),-1.01873 # DEPENDENCYPART_ARC
(3,15),-2.04921 # DEPENDENCYPART_ARC
(3,16),-1.95825 # DEPENDENCYPART_ARC
(3,17),-2.4083 # DEPENDENCYPART_ARC
(3,18),-1.26257 # DEPENDENCYPART_ARC
(4,1),-0.0355356 # DEPENDENCYPART_ARC
(4,2),0.105774 # DEPENDENCYPART_ARC
(4,3),2.59035 # DEPENDENCYPART_ARC
(4,5),1.07817 # DEPENDENCYPART_ARC
(4,6),0.00579242 # DEPENDENCYPART_ARC
(4,7),-0.783965 # DEPENDENCYPART_ARC
(4,8),-0.268022 # DEPENDENCYPART_ARC
(4,9),-0.302264 # DEPENDENCYPART_ARC
(4,10),-1.11526 # DEPENDENCYPART_ARC
(4,11),-0.871053 # DEPENDENCYPART_ARC
(4,12),-0.913864 # DEPENDENCYPART_ARC
(4,13),-0.136851 # DEPENDENCYPART_ARC
(4,14),-0.730082 # DEPENDENCYPART_ARC
(4,15),-1.53564 # DEPENDENCYPART_ARC
(4,16),-1.68956 # DEPENDENCYPART_ARC
(4,17),-1.40411 # DEPENDENCYPART_ARC
(4,18),-0.5629 # DEPENDENCYPART_ARC
(5,1),0.321367 # DEPENDENCYPART_ARC
(5,2),0.647718 # DEPENDENCYPART_ARC
(5,3),4.77448 # DEPENDENCYPART_ARC
(5,4),5.08486 # DEPENDENCYPART_ARC
(5,6),2.1158 # DEPENDENCYPART_ARC
(5,7),0.769903 # DEPENDENCYPART_ARC
(5,8),0.822985 # DEPENDENCYPART_ARC
(5,9),1.18977 # DEPENDENCYPART_ARC
(5,10),0.493111 # DEPENDENCYPART_ARC
(5,11),0.165171 # DEPENDENCYPART_ARC
(5,12),0.74074 # DEPENDENCYPART_ARC
(5,13),0.688169 # DEPENDENCYPART_ARC
(5,14),1.6084 # DEPENDENCYPART_ARC
(5,15),0.293812 # DEPENDENCYPART_ARC
(5,16),-0.182721 # DEPENDENCYPART_ARC
(5,17),-0.94963 # DEPENDENCYPART_ARC
(5,18),1.25876 # DEPENDENCYPART_ARC
(6,1),-1.57033 # DEPENDENCYPART_ARC
(6,2),-1.61713 # DEPENDENCYPART_ARC
(6,3),-0.836868 # DEPENDENCYPART_ARC
(6,4),-1.4483 # DEPENDENCYPART_ARC
(6,5),-1.23931 # DEPENDENCYPART_ARC
(6,7),-0.0949363 # DEPENDENCYPART_ARC
(6,8),-0.707711 # DEPENDENCYPART_ARC
(6,9),-0.778652 # DEPENDENCYPART_ARC
(6,10),-0.873092 # DEPENDENCYPART_ARC
(6,11),-1.45859 # DEPENDENCYPART_ARC
(6,12),-1.46895 # DEPENDENCYPART_ARC
(6,13),0.72204 # DEPENDENCYPART_ARC
(6,14),-1.06558 # DEPENDENCYPART_ARC
(6,15),-1.93546 # DEPENDENCYPART_ARC
(6,16),-2.04382 # DEPENDENCYPART_ARC
(6,17),-1.65609 # DEPENDENCYPART_ARC
(6,18),-1.4212 # DEPENDENCYPART_ARC
(7,1),-2.2655 # DEPENDENCYPART_ARC
(7,2),-1.52303 # DEPENDENCYPART_ARC
(7,3),-0.797721 # DEPENDENCYPART_ARC
(7,4),-1.11958 # DEPENDENCYPART_ARC
(7,5),-1.48295 # DEPENDENCYPART_ARC
(7,6),-0.299078 # DEPENDENCYPART_ARC
(7,8),0.316113 # DEPENDENCYPART_ARC
(7,9),0.266238 # DEPENDENCYPART_ARC
(7,10),-0.737206 # DEPENDENCYPART_ARC
(7,11),-1.11476 # DEPENDENCYPART_ARC
(7,12),-1.24935 # DEPENDENCYPART_ARC
(7,13),-0.845933 # DEPENDENCYPART_ARC
(7,14),-0.516563 # DEPENDENCYPART_ARC
(7,15),-1.74072 # DEPENDENCYPART_ARC
(7,16),-1.76826 # DEPENDENCYPART_ARC
(7,17),-1.00119 # DEPENDENCYPART_ARC
(7,18),-0.788315 # DEPENDENCYPART_ARC
(8,1),-1.77176 # DEPENDENCYPART_ARC
(8,2),-0.698958 # DEPENDENCYPART_ARC
(8,3),1.08999 # DEPENDENCYPART_ARC
(8,4),1.08632 # DEPENDENCYPART_ARC
(8,5),-0.0964243 # DEPENDENCYPART_ARC
(8,6),0.679462 # DEPENDENCYPART_ARC
(8,7),3.82916 # DEPENDENCYPART_ARC
(8,9),0.0510834 # DEPENDENCYPART_ARC
(8,10),-0.334577 # DEPENDENCYPART_ARC
(8,11),-0.664926 # DEPENDENCYPART_ARC
(8,12),-0.449939 # DEPENDENCYPART_ARC
(8,13),-0.994961 # DEPENDENCYPART_ARC
(8,14),-0.371256 # DEPENDENCYPART_ARC
(8,15),-1.16047 # DEPENDENCYPART_ARC
(8,16),-1.14583 # DEPENDENCYPART_ARC
(8,17),-0.66121 # DEPENDENCYPART_ARC
(8,18),-0.496644 # DEPENDENCYPART_ARC
(9,1),2.22292 # DEPENDENCYPART_ARC
(9,2),1.69106 # DEPENDENCYPART_ARC
(9,3),0.668674 # DEPENDENCYPART_ARC
(9,4),0.602467 # DEPENDENCYPART_ARC
(9,5),0.654203 # DEPENDENCYPART_ARC
(9,6),3.38313 # DEPENDENCYPART_ARC
(9,7),0.995221 # DEPENDENCYPART_ARC
(9,8),2.99224 # DEPENDENCYPART_ARC
(9,10),3.99846 # DEPENDENCYPART_ARC
(9,11),0.794572 # DEPENDENCYPART_ARC
(9,12),0.383001 # DEPENDENCYPART_ARC
(9,13),1.16249 # DEPENDENCYPART_ARC
(9,14),0.791645 # DEPENDENCYPART_ARC
(9,15),-0.442041 # DEPENDENCYPART_ARC
(9,16),-0.355392 # DEPENDENCYPART_ARC
(9,17),-0.0834229 # DEPENDENCYPART_ARC
(9,18),2.54662 # DEPENDENCYPART_ARC
(10,1),0.354804 # DEPENDENCYPART_ARC
(10,2),-0.451616 # DEPENDENCYPART_ARC
(10,3),0.0876879 # DEPENDENCYPART_ARC
(10,4),0.194205 # DEPENDENCYPART_ARC
(10,5),0.318651 # DEPENDENCYPART_ARC
(10,6),0.864836 # DEPENDENCYPART_ARC
(10,7),1.04214 # DEPENDENCYPART_ARC
(10,8),0.95346 # DEPENDENCYPART_ARC
(10,9),1.23377 # DEPENDENCYPART_ARC
(10,11),2.60755 # DEPENDENCYPART_ARC
(10,12),2.64218 # DEPENDENCYPART_ARC
(10,13),1.67008 # DEPENDENCYPART_ARC
(10,14),1.44931 # DEPENDENCYPART_ARC
(10,15),0.910807 # DEPENDENCYPART_ARC
(10,16),0.511467 # DEPENDENCYPART_ARC
(10,17),0.440762 # DEPENDENCYPART_ARC
(10,18),0.595199 # DEPENDENCYPART_ARC
(11,1),-1.24942 # DEPENDENCYPART_ARC
(11,2),-1.07967 # DEPENDENCYPART_ARC
(11,3),-0.246261 # DEPENDENCYPART_ARC
(11,4),-0.508191 # DEPENDENCYPART_ARC
(11,5),-1.3036 # DEPENDENCYPART_ARC
(11,6),-0.49571 # DEPENDENCYPART_ARC
(11,7),-0.0722539 # DEPENDENCYPART_ARC
(11,8),-0.558731 # DEPENDENCYPART_ARC
(11,9),-0.0327961 # DEPENDENCYPART_ARC
(11,10),0.720178 # DEPENDENCYPART_ARC
(11,12),3.43787 # DEPENDENCYPART_ARC
(11,13),1.17444 # DEPENDENCYPART_ARC
(11,14),1.21982 # DEPENDENCYPART_ARC
(11,15),0.283522 # DEPENDENCYPART_ARC
(11,16),0.178727 # DEPENDENCYPART_ARC
(11,17),0.294745 # DEPENDENCYPART_ARC
(11,18),0.355829 # DEPENDENCYPART_ARC
(12,1),-1.09063 # DEPENDENCYPART_ARC
(12,2),-0.787069 # DEPENDENCYPART_ARC
(12,3),0.0672177 # DEPENDENCYPART_ARC
(12,4),-0.0858706 # DEPENDENCYPART_ARC
(12,5),-1.15915 # DEPENDENCYPART_ARC
(12,6),-0.154848 # DEPENDENCYPART_ARC
(12,7),0.0655358 # DEPENDENCYPART_ARC
(12,8),-0.364714 # DEPENDENCYPART_ARC
(12,9),-0.154477 # DEPENDENCYPART_ARC
(12,10),0.382071 # DEPENDENCYPART_ARC
(12,11),0.639667 # DEPENDENCYPART_ARC
(12,13),0.491521 # DEPENDENCYPART_ARC
(12,14),0.167112 # DEPENDENCYPART_ARC
(12,15),-0.63408 # DEPENDENCYPART_ARC
(12,16),-0.894987 # DEPENDENCYPART_ARC
(12,17),-0.66158 # DEPENDENCYPART_ARC
(12,18),-0.367782 # DEPENDENCYPART_ARC
(13,1),-1.88886 # DEPENDENCYPART_ARC
(13,2),-1.96593 # DEPENDENCYPART_ARC
(13,3),-1.59838 # DEPENDENCYPART_ARC
(13,4),-1.96075 # DEPENDENCYPART_ARC
(13,5),-1.85632 # DEPENDENCYPART_ARC
(13,6),-0.0603508 # DEPENDENCYPART_ARC
(13,7),-1.11864 # DEPENDENCYPART_ARC
(13,8),-1.98782 # DEPENDENCYPART_ARC
(13,9),-1.67163 # DEPENDENCYPART_ARC
(13,10),-1.08571 # DEPENDENCYPART_ARC
(13,11),-1.28407 # DEPENDENCYPART_ARC
(13,12),-0.740559 # DEPENDENCYPART_ARC
(13,14),0.0999158 # DEPENDENCYPART_ARC
(13,15),-0.653016 # DEPENDENCYPART_ARC
(13,16),-0.91585 # DEPENDENCYPART_ARC
(13,17),-0.937231 # DEPENDENCYPART_ARC
(13,18),-1.24826 # DEPENDENCYPART_ARC
(14,1),-0.412824 # DEPENDENCYPART_ARC
(14,2),-2.3309 # DEPENDENCYPART_ARC
(14,3),-2.01678 # DEPENDENCYPART_ARC
(14,4),-2.4741 # DEPENDENCYPART_ARC
(14,5),-2.5877 # DEPENDENCYPART_ARC
(14,6),-1.65646 # DEPENDENCYPART_ARC
(14,7),-1.31566 # DEPENDENCYPART_ARC
(14,8),-1.83046 # DEPENDENCYPART_ARC
(14,9),-1.67773 # DEPENDENCYPART_ARC
(14,10),-1.5363 # DEPENDENCYPART_ARC
(14,11),-1.33464 # DEPENDENCYPART_ARC
(14,12),-1.04909 # DEPENDENCYPART_ARC
(14,13),0.0615066 # DEPENDENCYPART_ARC
(14,15),-0.164713 # DEPENDENCYPART_ARC
(14,16),-0.717378 # DEPENDENCYPART_ARC
(14,17),-0.616977 # DEPENDENCYPART_ARC
(14,18),-0.978715 # DEPENDENCYPART_ARC
(15,1),-2.37125 # DEPENDENCYPART_ARC
(15,2),-2.88253 # DEPENDENCYPART_ARC
(15,3),-2.58526 # DEPENDENCYPART_ARC
(15,4),-2.74972 # DEPENDENCYPART_ARC
(15,5),-3.84878 # DEPENDENCYPART_ARC
(15,6),-2.38129 # DEPENDENCYPART_ARC
(15,7),-2.20713 # DEPENDENCYPART_ARC
(15,8),-2.11819 # DEPENDENCYPART_ARC
(15,9),-2.36593 # DEPENDENCYPART_ARC
(15,10),-1.27462 # DEPENDENCYPART_ARC
(15,11),-0.868748 # DEPENDENCYPART_ARC
(15,12),-0.866422 # DEPENDENCYPART_ARC
(15,13),-0.244426 # DEPENDENCYPART_ARC
(15,14),0.0718607 # DEPENDENCYPART_ARC
(15,16),1.34031 # DEPENDENCYPART_ARC
(15,17),-0.754647 # DEPENDENCYPART_ARC
(15,18),-0.701891 # DEPENDENCYPART_ARC
(16,1),-2.05642 # DEPENDENCYPART_ARC
(16,2),-2.53419 # DEPENDENCYPART_ARC
(16,3),-1.29595 # DEPENDENCYPART_ARC
(16,4),-1.55361 # DEPENDENCYPART_ARC
(16,5),-4.04045 # DEPENDENCYPART_ARC
(16,6),-1.56525 # DEPENDENCYPART_ARC
(16,7),-1.24566 # DEPENDENCYPART_ARC
(16,8),-1.47014 # DEPENDENCYPART_ARC
(16,9),-1.93684 # DEPENDENCYPART_ARC
(16,10),-1.2509 # DEPENDENCYPART_ARC
(16,11),-0.577409 # DEPENDENCYPART_ARC
(16,12),-0.83513 # DEPENDENCYPART_ARC
(16,13),0.205642 # DEPENDENCYPART_ARC
(16,14),0.396022 # DEPENDENCYPART_ARC
(16,15),5.24972 # DEPENDENCYPART_ARC
(16,17),1.06824 # DEPENDENCYPART_ARC
(16,18),0.360345 # DEPENDENCYPART_ARC
(17,1),3.37749 # DEPENDENCYPART_ARC
(17,2),-1.02798 # DEPENDENCYPART_ARC
(17,3),-1.72241 # DEPENDENCYPART_ARC
(17,4),-0.586852 # DEPENDENCYPART_ARC
(17,5),-1.56968 # DEPENDENCYPART_ARC
(17,6),2.09859 # DEPENDENCYPART_ARC
(17,7),-0.647664 # DEPENDENCYPART_ARC
(17,8),-0.519496 # DEPENDENCYPART_ARC
(17,9),1.40983 # DEPENDENCYPART_ARC
(17,10),0.0724043 # DEPENDENCYPART_ARC
(17,11),0.51779 # DEPENDENCYPART_ARC
(17,12),0.134102 # DEPENDENCYPART_ARC
(17,13),3.9268 # DEPENDENCYPART_ARC
(17,14),3.97908 # DEPENDENCYPART_ARC
(17,15),1.90015 # DEPENDENCYPART_ARC
(17,16),3.30568 # DEPENDENCYPART_ARC
(17,18),6.76609 # DEPENDENCYPART_ARC
(18,1),-2.5317 # DEPENDENCYPART_ARC
(18,2),-3.15713 # DEPENDENCYPART_ARC
(18,3),-2.66728 # DEPENDENCYPART_ARC
(18,4),-2.81567 # DEPENDENCYPART_ARC
(18,5),-2.23395 # DEPENDENCYPART_ARC
(18,6),-1.03874 # DEPENDENCYPART_ARC
(18,7),-2.03615 # DEPENDENCYPART_ARC
(18,8),-2.53472 # DEPENDENCYPART_ARC
(18,9),-1.77128 # DEPENDENCYPART_ARC
(18,10),-2.01989 # DEPENDENCYPART_ARC
(18,11),-1.98658 # DEPENDENCYPART_ARC
(18,12),-1.73329 # DEPENDENCYPART_ARC
(18,13),-0.982299 # DEPENDENCYPART_ARC
(18,14),-1.59806 # DEPENDENCYPART_ARC
(18,15),-1.37423 # DEPENDENCYPART_ARC
(18,16),-1.96864 # DEPENDENCYPART_ARC
(18,17),-0.688675 # DEPENDENCYPART_ARC
