# _root_ That 50 % is now held by Clifford Parker , Regatta 's president and chief executive officer , who will continue to manage Regatta 's operations under Gitano .
#goldHeads=3,3,4,0,4,4,6,9,7,9,13,11,9,13,17,17,14,9,20,9,20,21,22,26,24,23,23,27,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,9,13,11,9,13,17,17,14,17,20,17,20,21,22,26,24,23,23,27,4,
(2,5),-0.359608 # DEPENDENCYPART_ARC
(2,6),-0.0387846 # DEPENDENCYPART_ARC
(2,7),-0.465787 # DEPENDENCYPART_ARC
(2,8),-0.818865 # DEPENDENCYPART_ARC
(2,9),-0.79513 # DEPENDENCYPART_ARC
(2,10),-0.311434 # DEPENDENCYPART_ARC
(2,11),-1.15418 # DEPENDENCYPART_ARC
(2,12),-0.432245 # DEPENDENCYPART_ARC
(2,13),-1.37957 # DEPENDENCYPART_ARC
(2,14),-1.17698 # DEPENDENCYPART_ARC
(2,15),-1.53239 # DEPENDENCYPART_ARC
(2,16),-1.62908 # DEPENDENCYPART_ARC
(2,17),-1.5435 # DEPENDENCYPART_ARC
(2,18),-0.668435 # DEPENDENCYPART_ARC
(2,19),-2.54964 # DEPENDENCYPART_ARC
(2,20),-0.956261 # DEPENDENCYPART_ARC
(2,21),-2.16545 # DEPENDENCYPART_ARC
(2,22),-2.39134 # DEPENDENCYPART_ARC
(2,23),-2.25958 # DEPENDENCYPART_ARC
(2,24),-2.36842 # DEPENDENCYPART_ARC
(2,25),-1.81911 # DEPENDENCYPART_ARC
(2,26),-2.63639 # DEPENDENCYPART_ARC
(2,27),-2.42635 # DEPENDENCYPART_ARC
(2,28),-2.69141 # DEPENDENCYPART_ARC
(2,29),-2.24642 # DEPENDENCYPART_ARC
(3,1),1.69077 # DEPENDENCYPART_ARC
(3,2),4.16533 # DEPENDENCYPART_ARC
(3,4),0.78668 # DEPENDENCYPART_ARC
(3,5),-0.0856592 # DEPENDENCYPART_ARC
(3,6),0.254429 # DEPENDENCYPART_ARC
(3,7),0.384151 # DEPENDENCYPART_ARC
(3,8),-1.34698 # DEPENDENCYPART_ARC
(3,9),-1.15339 # DEPENDENCYPART_ARC
(3,10),0.0172683 # DEPENDENCYPART_ARC
(3,11),-1.50591 # DEPENDENCYPART_ARC
(3,12),-0.858325 # DEPENDENCYPART_ARC
(3,13),-1.70215 # DEPENDENCYPART_ARC
(3,14),-0.654011 # DEPENDENCYPART_ARC
(3,15),-1.29292 # DEPENDENCYPART_ARC
(3,16),-1.49782 # DEPENDENCYPART_ARC
(3,17),-1.84263 # DEPENDENCYPART_ARC
(3,18),0.498012 # DEPENDENCYPART_ARC
(3,19),-3.0041 # DEPENDENCYPART_ARC
(3,20),-1.45533 # DEPENDENCYPART_ARC
(3,21),-1.86205 # DEPENDENCYPART_ARC
(3,22),-2.43606 # DEPENDENCYPART_ARC
(3,23),-1.7591 # DEPENDENCYPART_ARC
(3,24),-3.02987 # DEPENDENCYPART_ARC
(3,25),-3.55121 # DEPENDENCYPART_ARC
(3,26),-3.19354 # DEPENDENCYPART_ARC
(3,27),-3.1231 # DEPENDENCYPART_ARC
(3,28),-3.70533 # DEPENDENCYPART_ARC
(3,29),-0.630668 # DEPENDENCYPART_ARC
(4,1),0.606908 # DEPENDENCYPART_ARC
(4,2),0.540779 # DEPENDENCYPART_ARC
(4,3),2.39374 # DEPENDENCYPART_ARC
(4,5),3.77313 # DEPENDENCYPART_ARC
(4,6),3.02172 # DEPENDENCYPART_ARC
(4,7),1.40967 # DEPENDENCYPART_ARC
(4,8),-0.123149 # DEPENDENCYPART_ARC
(4,9),0.291759 # DEPENDENCYPART_ARC
(4,10),0.606036 # DEPENDENCYPART_ARC
(4,11),-1.17857 # DEPENDENCYPART_ARC
(4,12),-0.305085 # DEPENDENCYPART_ARC
(4,13),-0.163857 # DEPENDENCYPART_ARC
(4,14),0.803797 # DEPENDENCYPART_ARC
(4,15),-0.34903 # DEPENDENCYPART_ARC
(4,16),-0.573136 # DEPENDENCYPART_ARC
(4,17),0.272317 # DEPENDENCYPART_ARC
(4,18),0.639025 # DEPENDENCYPART_ARC
(4,19),-1.77352 # DEPENDENCYPART_ARC
(4,20),-0.557591 # DEPENDENCYPART_ARC
(4,21),-0.877554 # DEPENDENCYPART_ARC
(4,22),-2.08652 # DEPENDENCYPART_ARC
(4,23),-1.40042 # DEPENDENCYPART_ARC
(4,24),-2.7766 # DEPENDENCYPART_ARC
(4,25),-1.63674 # DEPENDENCYPART_ARC
(4,26),-3.06271 # DEPENDENCYPART_ARC
(4,27),-0.672892 # DEPENDENCYPART_ARC
(4,28),-3.30176 # DEPENDENCYPART_ARC
(4,29),5.17944 # DEPENDENCYPART_ARC
(5,1),-1.10405 # DEPENDENCYPART_ARC
(5,2),-1.02041 # DEPENDENCYPART_ARC
(5,3),-1.14894 # DEPENDENCYPART_ARC
(5,4),-0.631332 # DEPENDENCYPART_ARC
(5,6),0.625799 # DEPENDENCYPART_ARC
(5,7),0.999003 # DEPENDENCYPART_ARC
(5,8),-0.453107 # DEPENDENCYPART_ARC
(5,9),-0.533599 # DEPENDENCYPART_ARC
(5,10),-0.180511 # DEPENDENCYPART_ARC
(5,11),-1.4227 # DEPENDENCYPART_ARC
(5,12),-1.42605 # DEPENDENCYPART_ARC
(5,13),-1.56547 # DEPENDENCYPART_ARC
(5,14),-0.0134266 # DEPENDENCYPART_ARC
(5,15),-1.08206 # DEPENDENCYPART_ARC
(5,16),-1.04135 # DEPENDENCYPART_ARC
(5,17),-2.31678 # DEPENDENCYPART_ARC
(5,18),-0.719259 # DEPENDENCYPART_ARC
(5,19),-1.92141 # DEPENDENCYPART_ARC
(5,20),-1.95585 # DEPENDENCYPART_ARC
(5,21),-2.04366 # DEPENDENCYPART_ARC
(5,22),-2.96081 # DEPENDENCYPART_ARC
(5,23),-2.07626 # DEPENDENCYPART_ARC
(5,24),-2.83265 # DEPENDENCYPART_ARC
(5,25),-2.60924 # DEPENDENCYPART_ARC
(5,26),-3.22122 # DEPENDENCYPART_ARC
(5,27),-2.00847 # DEPENDENCYPART_ARC
(5,28),-3.39848 # DEPENDENCYPART_ARC
(5,29),-1.69049 # DEPENDENCYPART_ARC
(6,1),0.477448 # DEPENDENCYPART_ARC
(6,2),-0.603914 # DEPENDENCYPART_ARC
(6,3),0.50402 # DEPENDENCYPART_ARC
(6,4),-0.378082 # DEPENDENCYPART_ARC
(6,5),1.98368 # DEPENDENCYPART_ARC
(6,7),4.01791 # DEPENDENCYPART_ARC
(6,8),0.454855 # DEPENDENCYPART_ARC
(6,9),0.700813 # DEPENDENCYPART_ARC
(6,10),0.876421 # DEPENDENCYPART_ARC
(6,11),-0.315409 # DEPENDENCYPART_ARC
(6,12),-0.396586 # DEPENDENCYPART_ARC
(6,13),-0.199157 # DEPENDENCYPART_ARC
(6,14),1.8668 # DEPENDENCYPART_ARC
(6,15),-0.44637 # DEPENDENCYPART_ARC
(6,16),-0.856903 # DEPENDENCYPART_ARC
(6,17),0.00415981 # DEPENDENCYPART_ARC
(6,18),1.19051 # DEPENDENCYPART_ARC
(6,19),-1.44619 # DEPENDENCYPART_ARC
(6,20),-0.590783 # DEPENDENCYPART_ARC
(6,21),-0.782388 # DEPENDENCYPART_ARC
(6,22),0.25382 # DEPENDENCYPART_ARC
(6,23),-1.05418 # DEPENDENCYPART_ARC
(6,24),-2.14081 # DEPENDENCYPART_ARC
(6,25),-1.54685 # DEPENDENCYPART_ARC
(6,26),-1.58036 # DEPENDENCYPART_ARC
(6,27),-0.608152 # DEPENDENCYPART_ARC
(6,28),-2.90302 # DEPENDENCYPART_ARC
(6,29),0.177868 # DEPENDENCYPART_ARC
(7,1),-0.7864 # DEPENDENCYPART_ARC
(7,2),-0.771903 # DEPENDENCYPART_ARC
(7,3),-1.03345 # DEPENDENCYPART_ARC
(7,4),-0.519656 # DEPENDENCYPART_ARC
(7,5),-0.192515 # DEPENDENCYPART_ARC
(7,6),0.120608 # DEPENDENCYPART_ARC
(7,8),2.77942 # DEPENDENCYPART_ARC
(7,9),3.61227 # DEPENDENCYPART_ARC
(7,10),0.845683 # DEPENDENCYPART_ARC
(7,11),0.396566 # DEPENDENCYPART_ARC
(7,12),0.0986523 # DEPENDENCYPART_ARC
(7,13),1.10462 # DEPENDENCYPART_ARC
(7,14),0.364196 # DEPENDENCYPART_ARC
(7,15),-1.71705 # DEPENDENCYPART_ARC
(7,16),-1.34156 # DEPENDENCYPART_ARC
(7,17),0.590847 # DEPENDENCYPART_ARC
(7,18),0.345904 # DEPENDENCYPART_ARC
(7,19),-1.46306 # DEPENDENCYPART_ARC
(7,20),-2.65844 # DEPENDENCYPART_ARC
(7,21),-1.31687 # DEPENDENCYPART_ARC
(7,22),-3.27516 # DEPENDENCYPART_ARC
(7,23),-1.69843 # DEPENDENCYPART_ARC
(7,24),-3.98672 # DEPENDENCYPART_ARC
(7,25),-1.59807 # DEPENDENCYPART_ARC
(7,26),-2.60406 # DEPENDENCYPART_ARC
(7,27),-1.81727 # DEPENDENCYPART_ARC
(7,28),-4.02517 # DEPENDENCYPART_ARC
(7,29),-1.43505 # DEPENDENCYPART_ARC
(8,1),-3.85206 # DEPENDENCYPART_ARC
(8,2),-2.09088 # DEPENDENCYPART_ARC
(8,3),-2.67214 # DEPENDENCYPART_ARC
(8,4),-2.52024 # DEPENDENCYPART_ARC
(8,5),-1.93951 # DEPENDENCYPART_ARC
(8,6),-0.984646 # DEPENDENCYPART_ARC
(8,7),-0.586878 # DEPENDENCYPART_ARC
(8,9),2.35961 # DEPENDENCYPART_ARC
(8,10),1.67117 # DEPENDENCYPART_ARC
(8,11),0.264064 # DEPENDENCYPART_ARC
(8,12),0.198909 # DEPENDENCYPART_ARC
(8,13),0.731805 # DEPENDENCYPART_ARC
(8,14),-0.66406 # DEPENDENCYPART_ARC
(8,15),-0.498701 # DEPENDENCYPART_ARC
(8,16),-0.686867 # DEPENDENCYPART_ARC
(8,17),0.29608 # DEPENDENCYPART_ARC
(8,18),1.05273 # DEPENDENCYPART_ARC
(8,19),-2.28892 # DEPENDENCYPART_ARC
(8,20),-0.516842 # DEPENDENCYPART_ARC
(8,21),-1.98234 # DEPENDENCYPART_ARC
(8,22),-1.5919 # DEPENDENCYPART_ARC
(8,23),-2.1394 # DEPENDENCYPART_ARC
(8,24),-2.95812 # DEPENDENCYPART_ARC
(8,25),-2.53638 # DEPENDENCYPART_ARC
(8,26),-2.3077 # DEPENDENCYPART_ARC
(8,27),-1.70262 # DEPENDENCYPART_ARC
(8,28),-2.92336 # DEPENDENCYPART_ARC
(8,29),-0.549474 # DEPENDENCYPART_ARC
(9,1),-2.29819 # DEPENDENCYPART_ARC
(9,2),-0.685594 # DEPENDENCYPART_ARC
(9,3),-2.22099 # DEPENDENCYPART_ARC
(9,4),-1.62781 # DEPENDENCYPART_ARC
(9,5),-0.970557 # DEPENDENCYPART_ARC
(9,6),0.00783711 # DEPENDENCYPART_ARC
(9,7),-0.138394 # DEPENDENCYPART_ARC
(9,8),4.56811 # DEPENDENCYPART_ARC
(9,10),3.31134 # DEPENDENCYPART_ARC
(9,11),1.90774 # DEPENDENCYPART_ARC
(9,12),1.80115 # DEPENDENCYPART_ARC
(9,13),2.62386 # DEPENDENCYPART_ARC
(9,14),0.230845 # DEPENDENCYPART_ARC
(9,15),0.382518 # DEPENDENCYPART_ARC
(9,16),0.338644 # DEPENDENCYPART_ARC
(9,17),1.86983 # DEPENDENCYPART_ARC
(9,18),2.49938 # DEPENDENCYPART_ARC
(9,19),-1.36361 # DEPENDENCYPART_ARC
(9,20),1.10159 # DEPENDENCYPART_ARC
(9,21),-1.04424 # DEPENDENCYPART_ARC
(9,22),-0.590858 # DEPENDENCYPART_ARC
(9,23),-1.20261 # DEPENDENCYPART_ARC
(9,24),-1.52374 # DEPENDENCYPART_ARC
(9,25),-1.14587 # DEPENDENCYPART_ARC
(9,26),-1.27622 # DEPENDENCYPART_ARC
(9,27),-0.948735 # DEPENDENCYPART_ARC
(9,28),-1.79338 # DEPENDENCYPART_ARC
(9,29),0.128956 # DEPENDENCYPART_ARC
(10,1),-1.63072 # DEPENDENCYPART_ARC
(10,2),-2.00429 # DEPENDENCYPART_ARC
(10,3),-1.23761 # DEPENDENCYPART_ARC
(10,4),-1.65475 # DEPENDENCYPART_ARC
(10,5),-2.10014 # DEPENDENCYPART_ARC
(10,6),-0.963411 # DEPENDENCYPART_ARC
(10,7),-1.06085 # DEPENDENCYPART_ARC
(10,8),-1.58787 # DEPENDENCYPART_ARC
(10,9),-1.05649 # DEPENDENCYPART_ARC
(10,11),-0.509033 # DEPENDENCYPART_ARC
(10,12),-0.900209 # DEPENDENCYPART_ARC
(10,13),-1.78019 # DEPENDENCYPART_ARC
(10,14),-1.75139 # DEPENDENCYPART_ARC
(10,15),-2.06142 # DEPENDENCYPART_ARC
(10,16),-2.29484 # DEPENDENCYPART_ARC
(10,17),-2.68926 # DEPENDENCYPART_ARC
(10,18),-0.809552 # DEPENDENCYPART_ARC
(10,19),-3.16355 # DEPENDENCYPART_ARC
(10,20),-2.32284 # DEPENDENCYPART_ARC
(10,21),-2.32083 # DEPENDENCYPART_ARC
(10,22),-2.71338 # DEPENDENCYPART_ARC
(10,23),-2.53006 # DEPENDENCYPART_ARC
(10,24),-3.14384 # DEPENDENCYPART_ARC
(10,25),-3.10686 # DEPENDENCYPART_ARC
(10,26),-3.49575 # DEPENDENCYPART_ARC
(10,27),-2.85869 # DEPENDENCYPART_ARC
(10,28),-3.59386 # DEPENDENCYPART_ARC
(10,29),-2.74525 # DEPENDENCYPART_ARC
(11,1),-2.95594 # DEPENDENCYPART_ARC
(11,2),-1.57148 # DEPENDENCYPART_ARC
(11,3),-2.97812 # DEPENDENCYPART_ARC
(11,4),-2.55826 # DEPENDENCYPART_ARC
(11,5),-2.69734 # DEPENDENCYPART_ARC
(11,6),-0.797087 # DEPENDENCYPART_ARC
(11,7),-1.32575 # DEPENDENCYPART_ARC
(11,8),3.0504 # DEPENDENCYPART_ARC
(11,9),1.12336 # DEPENDENCYPART_ARC
(11,10),0.960517 # DEPENDENCYPART_ARC
(11,12),4.20724 # DEPENDENCYPART_ARC
(11,13),0.476841 # DEPENDENCYPART_ARC
(11,14),0.0824106 # DEPENDENCYPART_ARC
(11,15),0.00131276 # DEPENDENCYPART_ARC
(11,16),-0.0848614 # DEPENDENCYPART_ARC
(11,17),-1.262 # DEPENDENCYPART_ARC
(11,18),-0.0724927 # DEPENDENCYPART_ARC
(11,19),-2.29335 # DEPENDENCYPART_ARC
(11,20),-0.36812 # DEPENDENCYPART_ARC
(11,21),-1.9532 # DEPENDENCYPART_ARC
(11,22),-1.25186 # DEPENDENCYPART_ARC
(11,23),-2.17425 # DEPENDENCYPART_ARC
(11,24),-2.37061 # DEPENDENCYPART_ARC
(11,25),-0.586891 # DEPENDENCYPART_ARC
(11,26),-2.53229 # DEPENDENCYPART_ARC
(11,27),-1.79033 # DEPENDENCYPART_ARC
(11,28),-2.8603 # DEPENDENCYPART_ARC
(11,29),-0.452004 # DEPENDENCYPART_ARC
(12,1),-1.69975 # DEPENDENCYPART_ARC
(12,2),-1.46608 # DEPENDENCYPART_ARC
(12,3),-2.06837 # DEPENDENCYPART_ARC
(12,4),-1.51826 # DEPENDENCYPART_ARC
(12,5),-1.61606 # DEPENDENCYPART_ARC
(12,6),-0.464301 # DEPENDENCYPART_ARC
(12,7),-0.90961 # DEPENDENCYPART_ARC
(12,8),0.254242 # DEPENDENCYPART_ARC
(12,9),0.434838 # DEPENDENCYPART_ARC
(12,10),0.158574 # DEPENDENCYPART_ARC
(12,11),1.13537 # DEPENDENCYPART_ARC
(12,13),-0.267266 # DEPENDENCYPART_ARC
(12,14),0.154904 # DEPENDENCYPART_ARC
(12,15),-1.23777 # DEPENDENCYPART_ARC
(12,16),-1.54574 # DEPENDENCYPART_ARC
(12,17),-2.05374 # DEPENDENCYPART_ARC
(12,18),-0.756356 # DEPENDENCYPART_ARC
(12,19),-2.47538 # DEPENDENCYPART_ARC
(12,20),-1.62235 # DEPENDENCYPART_ARC
(12,21),-1.68962 # DEPENDENCYPART_ARC
(12,22),-1.84146 # DEPENDENCYPART_ARC
(12,23),-1.76087 # DEPENDENCYPART_ARC
(12,24),-2.88201 # DEPENDENCYPART_ARC
(12,25),-2.23005 # DEPENDENCYPART_ARC
(12,26),-3.35424 # DEPENDENCYPART_ARC
(12,27),-2.9864 # DEPENDENCYPART_ARC
(12,28),-3.25641 # DEPENDENCYPART_ARC
(12,29),-1.89665 # DEPENDENCYPART_ARC
(13,1),-3.21371 # DEPENDENCYPART_ARC
(13,2),-0.881516 # DEPENDENCYPART_ARC
(13,3),-1.54508 # DEPENDENCYPART_ARC
(13,4),-1.19986 # DEPENDENCYPART_ARC
(13,5),-1.68605 # DEPENDENCYPART_ARC
(13,6),-0.914956 # DEPENDENCYPART_ARC
(13,7),-0.819004 # DEPENDENCYPART_ARC
(13,8),1.45368 # DEPENDENCYPART_ARC
(13,9),0.596727 # DEPENDENCYPART_ARC
(13,10),0.325904 # DEPENDENCYPART_ARC
(13,11),4.25295 # DEPENDENCYPART_ARC
(13,12),1.57806 # DEPENDENCYPART_ARC
(13,14),3.79408 # DEPENDENCYPART_ARC
(13,15),1.22254 # DEPENDENCYPART_ARC
(13,16),0.774489 # DEPENDENCYPART_ARC
(13,17),1.21681 # DEPENDENCYPART_ARC
(13,18),2.23205 # DEPENDENCYPART_ARC
(13,19),-0.862227 # DEPENDENCYPART_ARC
(13,20),0.702741 # DEPENDENCYPART_ARC
(13,21),-0.00552433 # DEPENDENCYPART_ARC
(13,22),0.501351 # DEPENDENCYPART_ARC
(13,23),0.0708594 # DEPENDENCYPART_ARC
(13,24),0.117466 # DEPENDENCYPART_ARC
(13,25),-0.291159 # DEPENDENCYPART_ARC
(13,26),-0.183109 # DEPENDENCYPART_ARC
(13,27),0.636314 # DEPENDENCYPART_ARC
(13,28),-0.490834 # DEPENDENCYPART_ARC
(13,29),0.387462 # DEPENDENCYPART_ARC
(14,1),-1.9735 # DEPENDENCYPART_ARC
(14,2),-2.15152 # DEPENDENCYPART_ARC
(14,3),-1.8392 # DEPENDENCYPART_ARC
(14,4),-1.20665 # DEPENDENCYPART_ARC
(14,5),-2.071 # DEPENDENCYPART_ARC
(14,6),-1.58964 # DEPENDENCYPART_ARC
(14,7),-1.07923 # DEPENDENCYPART_ARC
(14,8),-0.474913 # DEPENDENCYPART_ARC
(14,9),-0.499946 # DEPENDENCYPART_ARC
(14,10),-1.1189 # DEPENDENCYPART_ARC
(14,11),0.0602154 # DEPENDENCYPART_ARC
(14,12),-0.630748 # DEPENDENCYPART_ARC
(14,13),0.0913731 # DEPENDENCYPART_ARC
(14,15),2.15046 # DEPENDENCYPART_ARC
(14,16),2.21841 # DEPENDENCYPART_ARC
(14,17),4.16542 # DEPENDENCYPART_ARC
(14,18),0.842293 # DEPENDENCYPART_ARC
(14,19),-0.712654 # DEPENDENCYPART_ARC
(14,20),1.15002 # DEPENDENCYPART_ARC
(14,21),0.524081 # DEPENDENCYPART_ARC
(14,22),0.838876 # DEPENDENCYPART_ARC
(14,23),0.107739 # DEPENDENCYPART_ARC
(14,24),-1.70121 # DEPENDENCYPART_ARC
(14,25),-1.16396 # DEPENDENCYPART_ARC
(14,26),-0.152011 # DEPENDENCYPART_ARC
(14,27),-0.265757 # DEPENDENCYPART_ARC
(14,28),-2.5212 # DEPENDENCYPART_ARC
(14,29),0.887738 # DEPENDENCYPART_ARC
(15,1),-3.288 # DEPENDENCYPART_ARC
(15,2),-2.68437 # DEPENDENCYPART_ARC
(15,3),-2.87511 # DEPENDENCYPART_ARC
(15,4),-3.27561 # DEPENDENCYPART_ARC
(15,5),-3.21832 # DEPENDENCYPART_ARC
(15,6),-2.92177 # DEPENDENCYPART_ARC
(15,7),-2.42679 # DEPENDENCYPART_ARC
(15,8),-1.60368 # DEPENDENCYPART_ARC
(15,9),-2.43035 # DEPENDENCYPART_ARC
(15,10),-1.88291 # DEPENDENCYPART_ARC
(15,11),-1.70054 # DEPENDENCYPART_ARC
(15,12),-1.55318 # DEPENDENCYPART_ARC
(15,13),-1.2044 # DEPENDENCYPART_ARC
(15,14),-0.379806 # DEPENDENCYPART_ARC
(15,16),1.15682 # DEPENDENCYPART_ARC
(15,17),0.776606 # DEPENDENCYPART_ARC
(15,18),0.0719452 # DEPENDENCYPART_ARC
(15,19),-0.957165 # DEPENDENCYPART_ARC
(15,20),-0.141341 # DEPENDENCYPART_ARC
(15,21),-0.943736 # DEPENDENCYPART_ARC
(15,22),-0.519664 # DEPENDENCYPART_ARC
(15,23),-1.21174 # DEPENDENCYPART_ARC
(15,24),-1.37961 # DEPENDENCYPART_ARC
(15,25),-0.769469 # DEPENDENCYPART_ARC
(15,26),-0.657822 # DEPENDENCYPART_ARC
(15,27),-1.52089 # DEPENDENCYPART_ARC
(15,28),-1.95728 # DEPENDENCYPART_ARC
(15,29),-0.0949648 # DEPENDENCYPART_ARC
(16,1),-2.09792 # DEPENDENCYPART_ARC
(16,2),-1.675 # DEPENDENCYPART_ARC
(16,3),-1.85977 # DEPENDENCYPART_ARC
(16,4),-2.14683 # DEPENDENCYPART_ARC
(16,5),-2.37525 # DEPENDENCYPART_ARC
(16,6),-1.96644 # DEPENDENCYPART_ARC
(16,7),-1.56881 # DEPENDENCYPART_ARC
(16,8),-0.604641 # DEPENDENCYPART_ARC
(16,9),-1.40502 # DEPENDENCYPART_ARC
(16,10),-1.00346 # DEPENDENCYPART_ARC
(16,11),-0.89658 # DEPENDENCYPART_ARC
(16,12),-0.735354 # DEPENDENCYPART_ARC
(16,13),-0.267501 # DEPENDENCYPART_ARC
(16,14),-0.0473536 # DEPENDENCYPART_ARC
(16,15),2.36532 # DEPENDENCYPART_ARC
(16,17),0.602055 # DEPENDENCYPART_ARC
(16,18),-0.0221743 # DEPENDENCYPART_ARC
(16,19),-1.41509 # DEPENDENCYPART_ARC
(16,20),-0.877906 # DEPENDENCYPART_ARC
(16,21),-1.43388 # DEPENDENCYPART_ARC
(16,22),-1.5146 # DEPENDENCYPART_ARC
(16,23),-1.81389 # DEPENDENCYPART_ARC
(16,24),-1.82717 # DEPENDENCYPART_ARC
(16,25),-1.36331 # DEPENDENCYPART_ARC
(16,26),-1.35502 # DEPENDENCYPART_ARC
(16,27),-2.15178 # DEPENDENCYPART_ARC
(16,28),-2.39414 # DEPENDENCYPART_ARC
(16,29),-0.530669 # DEPENDENCYPART_ARC
(17,1),-3.56433 # DEPENDENCYPART_ARC
(17,2),-0.561135 # DEPENDENCYPART_ARC
(17,3),-1.63795 # DEPENDENCYPART_ARC
(17,4),-1.09671 # DEPENDENCYPART_ARC
(17,5),-2.29067 # DEPENDENCYPART_ARC
(17,6),-0.573065 # DEPENDENCYPART_ARC
(17,7),-0.392183 # DEPENDENCYPART_ARC
(17,8),1.49882 # DEPENDENCYPART_ARC
(17,9),-0.272583 # DEPENDENCYPART_ARC
(17,10),-0.450953 # DEPENDENCYPART_ARC
(17,11),2.86596 # DEPENDENCYPART_ARC
(17,12),0.522368 # DEPENDENCYPART_ARC
(17,13),0.993919 # DEPENDENCYPART_ARC
(17,14),0.113767 # DEPENDENCYPART_ARC
(17,15),4.22593 # DEPENDENCYPART_ARC
(17,16),4.59307 # DEPENDENCYPART_ARC
(17,18),2.50314 # DEPENDENCYPART_ARC
(17,19),-0.445255 # DEPENDENCYPART_ARC
(17,20),1.45688 # DEPENDENCYPART_ARC
(17,21),0.114784 # DEPENDENCYPART_ARC
(17,22),0.261368 # DEPENDENCYPART_ARC
(17,23),0.000942159 # DEPENDENCYPART_ARC
(17,24),-0.430892 # DEPENDENCYPART_ARC
(17,25),0.138964 # DEPENDENCYPART_ARC
(17,26),-0.609196 # DEPENDENCYPART_ARC
(17,27),-0.992585 # DEPENDENCYPART_ARC
(17,28),-0.946902 # DEPENDENCYPART_ARC
(17,29),0.439199 # DEPENDENCYPART_ARC
(18,1),-2.24898 # DEPENDENCYPART_ARC
(18,2),-2.44179 # DEPENDENCYPART_ARC
(18,3),-1.63771 # DEPENDENCYPART_ARC
