# _root_ At Jefferies & Co. , J. Francis Palamara did n't reach the office until 5:30 a.m. , but then he had been up most of the night at home .
#goldHeads=9,1,2,3,9,8,8,9,0,9,9,13,11,11,16,14,9,9,18,21,19,21,22,22,24,27,25,22,28,9,
#predictedHeads=9,1,2,3,9,8,8,9,0,9,9,13,11,11,16,14,9,9,9,21,18,21,22,22,24,27,25,27,28,9,
(3,1),0.278667 # DEPENDENCYPART_ARC
(3,2),1.35326 # DEPENDENCYPART_ARC
(3,4),4.48943 # DEPENDENCYPART_ARC
(3,5),2.25897 # DEPENDENCYPART_ARC
(3,6),1.66412 # DEPENDENCYPART_ARC
(3,7),1.62621 # DEPENDENCYPART_ARC
(3,8),2.32549 # DEPENDENCYPART_ARC
(3,9),-0.653057 # DEPENDENCYPART_ARC
(3,10),-0.124926 # DEPENDENCYPART_ARC
(3,11),-0.0900083 # DEPENDENCYPART_ARC
(3,12),-0.526536 # DEPENDENCYPART_ARC
(3,13),-1.31038 # DEPENDENCYPART_ARC
(3,14),-0.855159 # DEPENDENCYPART_ARC
(3,15),-0.904381 # DEPENDENCYPART_ARC
(3,16),-0.73911 # DEPENDENCYPART_ARC
(3,17),0.97842 # DEPENDENCYPART_ARC
(3,18),0.0985918 # DEPENDENCYPART_ARC
(3,19),-0.9315 # DEPENDENCYPART_ARC
(3,20),-1.00309 # DEPENDENCYPART_ARC
(3,21),-2.85787 # DEPENDENCYPART_ARC
(3,22),-0.667567 # DEPENDENCYPART_ARC
(3,23),-1.22956 # DEPENDENCYPART_ARC
(3,24),-1.81036 # DEPENDENCYPART_ARC
(3,25),-2.76137 # DEPENDENCYPART_ARC
(3,26),-2.37769 # DEPENDENCYPART_ARC
(3,27),-4.80455 # DEPENDENCYPART_ARC
(3,28),-2.13206 # DEPENDENCYPART_ARC
(3,29),-5.32856 # DEPENDENCYPART_ARC
(3,30),-0.248113 # DEPENDENCYPART_ARC
(4,1),-2.93535 # DEPENDENCYPART_ARC
(4,2),-1.89322 # DEPENDENCYPART_ARC
(4,3),-1.04711 # DEPENDENCYPART_ARC
(4,5),1.92214 # DEPENDENCYPART_ARC
(4,6),0.973058 # DEPENDENCYPART_ARC
(4,7),0.661172 # DEPENDENCYPART_ARC
(4,8),0.594736 # DEPENDENCYPART_ARC
(4,9),-0.712431 # DEPENDENCYPART_ARC
(4,10),-0.967421 # DEPENDENCYPART_ARC
(4,11),-1.71203 # DEPENDENCYPART_ARC
(4,12),-0.923883 # DEPENDENCYPART_ARC
(4,13),-2.1377 # DEPENDENCYPART_ARC
(4,14),-2.64143 # DEPENDENCYPART_ARC
(4,15),-2.53878 # DEPENDENCYPART_ARC
(4,16),-3.03896 # DEPENDENCYPART_ARC
(4,17),-0.193482 # DEPENDENCYPART_ARC
(4,18),-2.08226 # DEPENDENCYPART_ARC
(4,19),-2.07286 # DEPENDENCYPART_ARC
(4,20),-2.33734 # DEPENDENCYPART_ARC
(4,21),-2.73647 # DEPENDENCYPART_ARC
(4,22),-2.23841 # DEPENDENCYPART_ARC
(4,23),-2.12756 # DEPENDENCYPART_ARC
(4,24),-2.82165 # DEPENDENCYPART_ARC
(4,25),-5.03685 # DEPENDENCYPART_ARC
(4,26),-2.73918 # DEPENDENCYPART_ARC
(4,27),-7.18257 # DEPENDENCYPART_ARC
(4,28),-4.77587 # DEPENDENCYPART_ARC
(4,29),-7.95238 # DEPENDENCYPART_ARC
(4,30),-0.565741 # DEPENDENCYPART_ARC
(5,1),-1.40291 # DEPENDENCYPART_ARC
(5,2),-1.4607 # DEPENDENCYPART_ARC
(5,3),-1.16822 # DEPENDENCYPART_ARC
(5,4),-0.973624 # DEPENDENCYPART_ARC
(5,6),-0.184737 # DEPENDENCYPART_ARC
(5,7),-0.824569 # DEPENDENCYPART_ARC
(5,8),-1.08141 # DEPENDENCYPART_ARC
(5,9),-1.14158 # DEPENDENCYPART_ARC
(5,10),-1.74216 # DEPENDENCYPART_ARC
(5,11),-1.53107 # DEPENDENCYPART_ARC
(5,12),-2.02521 # DEPENDENCYPART_ARC
(5,13),-2.55657 # DEPENDENCYPART_ARC
(5,14),-1.69968 # DEPENDENCYPART_ARC
(5,15),-2.68125 # DEPENDENCYPART_ARC
(5,16),-2.68891 # DEPENDENCYPART_ARC
(5,17),-0.985197 # DEPENDENCYPART_ARC
(5,18),-1.98684 # DEPENDENCYPART_ARC
(5,19),-2.66129 # DEPENDENCYPART_ARC
(5,20),-2.67288 # DEPENDENCYPART_ARC
(5,21),-2.45778 # DEPENDENCYPART_ARC
(5,22),-2.83896 # DEPENDENCYPART_ARC
(5,23),-3.1289 # DEPENDENCYPART_ARC
(5,24),-3.15181 # DEPENDENCYPART_ARC
(5,25),-2.57896 # DEPENDENCYPART_ARC
(5,26),-3.43583 # DEPENDENCYPART_ARC
(5,27),-3.98433 # DEPENDENCYPART_ARC
(5,28),-2.88311 # DEPENDENCYPART_ARC
(5,29),-4.11467 # DEPENDENCYPART_ARC
(5,30),-2.98942 # DEPENDENCYPART_ARC
(6,1),-3.42115 # DEPENDENCYPART_ARC
(6,2),-2.02271 # DEPENDENCYPART_ARC
(6,3),-2.32091 # DEPENDENCYPART_ARC
(6,4),0.645621 # DEPENDENCYPART_ARC
(6,5),0.067083 # DEPENDENCYPART_ARC
(6,7),0.472272 # DEPENDENCYPART_ARC
(6,8),0.758659 # DEPENDENCYPART_ARC
(6,9),-1.7535 # DEPENDENCYPART_ARC
(6,10),-1.94064 # DEPENDENCYPART_ARC
(6,11),-2.40297 # DEPENDENCYPART_ARC
(6,12),-1.71361 # DEPENDENCYPART_ARC
(6,13),-2.68845 # DEPENDENCYPART_ARC
(6,14),-3.22433 # DEPENDENCYPART_ARC
(6,15),-2.87295 # DEPENDENCYPART_ARC
(6,16),-3.36981 # DEPENDENCYPART_ARC
(6,17),-1.82597 # DEPENDENCYPART_ARC
(6,18),-3.2184 # DEPENDENCYPART_ARC
(6,19),-3.10157 # DEPENDENCYPART_ARC
(6,20),-3.15073 # DEPENDENCYPART_ARC
(6,21),-3.6339 # DEPENDENCYPART_ARC
(6,22),-3.08226 # DEPENDENCYPART_ARC
(6,23),-3.18951 # DEPENDENCYPART_ARC
(6,24),-3.60807 # DEPENDENCYPART_ARC
(6,25),-5.10678 # DEPENDENCYPART_ARC
(6,26),-3.51732 # DEPENDENCYPART_ARC
(6,27),-7.4454 # DEPENDENCYPART_ARC
(6,28),-5.01996 # DEPENDENCYPART_ARC
(6,29),-8.23663 # DEPENDENCYPART_ARC
(6,30),-1.22792 # DEPENDENCYPART_ARC
(7,1),-3.3399 # DEPENDENCYPART_ARC
(7,2),-0.917155 # DEPENDENCYPART_ARC
(7,3),-1.71058 # DEPENDENCYPART_ARC
(7,4),1.21948 # DEPENDENCYPART_ARC
(7,5),0.523592 # DEPENDENCYPART_ARC
(7,6),3.06986 # DEPENDENCYPART_ARC
(7,8),2.88094 # DEPENDENCYPART_ARC
(7,9),-0.344556 # DEPENDENCYPART_ARC
(7,10),-0.748241 # DEPENDENCYPART_ARC
(7,11),-1.34822 # DEPENDENCYPART_ARC
(7,12),-1.07978 # DEPENDENCYPART_ARC
(7,13),-1.17575 # DEPENDENCYPART_ARC
(7,14),-2.34062 # DEPENDENCYPART_ARC
(7,15),-2.02973 # DEPENDENCYPART_ARC
(7,16),-1.93316 # DEPENDENCYPART_ARC
(7,17),-0.0390819 # DEPENDENCYPART_ARC
(7,18),-2.11758 # DEPENDENCYPART_ARC
(7,19),-2.08131 # DEPENDENCYPART_ARC
(7,20),-1.92428 # DEPENDENCYPART_ARC
(7,21),-2.03073 # DEPENDENCYPART_ARC
(7,22),-2.00869 # DEPENDENCYPART_ARC
(7,23),-2.15597 # DEPENDENCYPART_ARC
(7,24),-2.55122 # DEPENDENCYPART_ARC
(7,25),-4.26539 # DEPENDENCYPART_ARC
(7,26),-2.75484 # DEPENDENCYPART_ARC
(7,27),-5.89302 # DEPENDENCYPART_ARC
(7,28),-4.00144 # DEPENDENCYPART_ARC
(7,29),-6.79453 # DEPENDENCYPART_ARC
(7,30),-0.271967 # DEPENDENCYPART_ARC
(8,1),-1.99089 # DEPENDENCYPART_ARC
(8,2),-0.08355 # DEPENDENCYPART_ARC
(8,3),-0.353745 # DEPENDENCYPART_ARC
(8,4),2.30652 # DEPENDENCYPART_ARC
(8,5),1.99752 # DEPENDENCYPART_ARC
(8,6),4.47302 # DEPENDENCYPART_ARC
(8,7),4.19545 # DEPENDENCYPART_ARC
(8,9),0.447101 # DEPENDENCYPART_ARC
(8,10),-0.228552 # DEPENDENCYPART_ARC
(8,11),-0.710582 # DEPENDENCYPART_ARC
(8,12),-0.646947 # DEPENDENCYPART_ARC
(8,13),-1.02402 # DEPENDENCYPART_ARC
(8,14),-1.39354 # DEPENDENCYPART_ARC
(8,15),-1.55459 # DEPENDENCYPART_ARC
(8,16),-1.76833 # DEPENDENCYPART_ARC
(8,17),-0.155189 # DEPENDENCYPART_ARC
(8,18),-1.51477 # DEPENDENCYPART_ARC
(8,19),-1.59083 # DEPENDENCYPART_ARC
(8,20),-1.40075 # DEPENDENCYPART_ARC
(8,21),-1.77505 # DEPENDENCYPART_ARC
(8,22),-1.51501 # DEPENDENCYPART_ARC
(8,23),-1.73078 # DEPENDENCYPART_ARC
(8,24),-2.08781 # DEPENDENCYPART_ARC
(8,25),-3.36142 # DEPENDENCYPART_ARC
(8,26),-2.38825 # DEPENDENCYPART_ARC
(8,27),-5.77289 # DEPENDENCYPART_ARC
(8,28),-3.17155 # DEPENDENCYPART_ARC
(8,29),-6.4265 # DEPENDENCYPART_ARC
(8,30),0.0723822 # DEPENDENCYPART_ARC
(9,1),1.90833 # DEPENDENCYPART_ARC
(9,2),1.66783 # DEPENDENCYPART_ARC
(9,3),0.383679 # DEPENDENCYPART_ARC
(9,4),-0.0907093 # DEPENDENCYPART_ARC
(9,5),3.33135 # DEPENDENCYPART_ARC
(9,6),1.97694 # DEPENDENCYPART_ARC
(9,7),1.72308 # DEPENDENCYPART_ARC
(9,8),2.7941 # DEPENDENCYPART_ARC
(9,10),4.21462 # DEPENDENCYPART_ARC
(9,11),3.16242 # DEPENDENCYPART_ARC
(9,12),0.0364338 # DEPENDENCYPART_ARC
(9,13),1.26958 # DEPENDENCYPART_ARC
(9,14),1.34576 # DEPENDENCYPART_ARC
(9,15),-0.479387 # DEPENDENCYPART_ARC
(9,16),0.434559 # DEPENDENCYPART_ARC
(9,17),2.55154 # DEPENDENCYPART_ARC
(9,18),2.41698 # DEPENDENCYPART_ARC
(9,19),1.87914 # DEPENDENCYPART_ARC
(9,20),-0.534177 # DEPENDENCYPART_ARC
(9,21),0.0551026 # DEPENDENCYPART_ARC
(9,22),0.898138 # DEPENDENCYPART_ARC
(9,23),-0.905979 # DEPENDENCYPART_ARC
(9,24),0.0671963 # DEPENDENCYPART_ARC
(9,25),-3.68864 # DEPENDENCYPART_ARC
(9,26),-1.78082 # DEPENDENCYPART_ARC
(9,27),-1.13541 # DEPENDENCYPART_ARC
(9,28),-3.92554 # DEPENDENCYPART_ARC
(9,29),-2.71489 # DEPENDENCYPART_ARC
(9,30),6.72201 # DEPENDENCYPART_ARC
(10,1),-1.21052 # DEPENDENCYPART_ARC
(10,2),-1.8937 # DEPENDENCYPART_ARC
(10,3),-1.65978 # DEPENDENCYPART_ARC
(10,4),-1.30013 # DEPENDENCYPART_ARC
(10,5),-1.25083 # DEPENDENCYPART_ARC
(10,6),-1.41972 # DEPENDENCYPART_ARC
(10,7),-1.13174 # DEPENDENCYPART_ARC
(10,8),-0.843468 # DEPENDENCYPART_ARC
(10,9),-0.237571 # DEPENDENCYPART_ARC
(10,11),0.35187 # DEPENDENCYPART_ARC
(10,12),-0.426381 # DEPENDENCYPART_ARC
(10,13),-0.388721 # DEPENDENCYPART_ARC
(10,14),-0.72678 # DEPENDENCYPART_ARC
(10,15),-0.747199 # DEPENDENCYPART_ARC
(10,16),-1.27029 # DEPENDENCYPART_ARC
(10,17),-0.358091 # DEPENDENCYPART_ARC
(10,18),-0.255988 # DEPENDENCYPART_ARC
(10,19),-2.10809 # DEPENDENCYPART_ARC
(10,20),-1.7013 # DEPENDENCYPART_ARC
(10,21),-1.59703 # DEPENDENCYPART_ARC
(10,22),-1.90492 # DEPENDENCYPART_ARC
(10,23),-2.40849 # DEPENDENCYPART_ARC
(10,24),-2.36767 # DEPENDENCYPART_ARC
(10,25),-2.81981 # DEPENDENCYPART_ARC
(10,26),-2.68648 # DEPENDENCYPART_ARC
(10,27),-3.07642 # DEPENDENCYPART_ARC
(10,28),-3.2729 # DEPENDENCYPART_ARC
(10,29),-3.41653 # DEPENDENCYPART_ARC
(10,30),-0.115324 # DEPENDENCYPART_ARC
(11,1),-0.713595 # DEPENDENCYPART_ARC
(11,2),-0.0932647 # DEPENDENCYPART_ARC
(11,3),-0.782776 # DEPENDENCYPART_ARC
(11,4),-0.291463 # DEPENDENCYPART_ARC
(11,5),0.17514 # DEPENDENCYPART_ARC
(11,6),0.0712944 # DEPENDENCYPART_ARC
(11,7),0.100239 # DEPENDENCYPART_ARC
(11,8),0.362312 # DEPENDENCYPART_ARC
(11,9),-0.00170143 # DEPENDENCYPART_ARC
(11,10),1.19353 # DEPENDENCYPART_ARC
(11,12),1.06071 # DEPENDENCYPART_ARC
(11,13),3.19205 # DEPENDENCYPART_ARC
(11,14),3.89604 # DEPENDENCYPART_ARC
(11,15),0.392387 # DEPENDENCYPART_ARC
(11,16),1.02984 # DEPENDENCYPART_ARC
(11,17),0.786423 # DEPENDENCYPART_ARC
(11,18),1.19887 # DEPENDENCYPART_ARC
(11,19),0.694576 # DEPENDENCYPART_ARC
(11,20),-0.343209 # DEPENDENCYPART_ARC
(11,21),-0.084459 # DEPENDENCYPART_ARC
(11,22),0.190767 # DEPENDENCYPART_ARC
(11,23),0.131856 # DEPENDENCYPART_ARC
(11,24),0.0154722 # DEPENDENCYPART_ARC
(11,25),-0.954225 # DEPENDENCYPART_ARC
(11,26),-1.69551 # DEPENDENCYPART_ARC
(11,27),-2.26796 # DEPENDENCYPART_ARC
(11,28),-0.0756262 # DEPENDENCYPART_ARC
(11,29),-4.21297 # DEPENDENCYPART_ARC
(11,30),2.35155 # DEPENDENCYPART_ARC
(12,1),-2.55712 # DEPENDENCYPART_ARC
(12,2),-2.73385 # DEPENDENCYPART_ARC
(12,3),-3.04391 # DEPENDENCYPART_ARC
(12,4),-2.56414 # DEPENDENCYPART_ARC
(12,5),-2.29383 # DEPENDENCYPART_ARC
(12,6),-2.28918 # DEPENDENCYPART_ARC
(12,7),-2.12972 # DEPENDENCYPART_ARC
(12,8),-1.89821 # DEPENDENCYPART_ARC
(12,9),-1.61808 # DEPENDENCYPART_ARC
(12,10),-0.804424 # DEPENDENCYPART_ARC
(12,11),-0.206637 # DEPENDENCYPART_ARC
(12,13),-0.164492 # DEPENDENCYPART_ARC
(12,14),-0.946968 # DEPENDENCYPART_ARC
(12,15),-0.623621 # DEPENDENCYPART_ARC
(12,16),-1.41579 # DEPENDENCYPART_ARC
(12,17),-1.55979 # DEPENDENCYPART_ARC
(12,18),-1.33086 # DEPENDENCYPART_ARC
(12,19),-1.69692 # DEPENDENCYPART_ARC
(12,20),-1.99934 # DEPENDENCYPART_ARC
(12,21),-2.44678 # DEPENDENCYPART_ARC
(12,22),-2.11801 # DEPENDENCYPART_ARC
(12,23),-2.33418 # DEPENDENCYPART_ARC
(12,24),-2.69127 # DEPENDENCYPART_ARC
(12,25),-2.09813 # DEPENDENCYPART_ARC
(12,26),-3.47417 # DEPENDENCYPART_ARC
(12,27),-2.91764 # DEPENDENCYPART_ARC
(12,28),-3.5453 # DEPENDENCYPART_ARC
(12,29),-3.17967 # DEPENDENCYPART_ARC
(12,30),-2.01146 # DEPENDENCYPART_ARC
(13,1),-2.69669 # DEPENDENCYPART_ARC
(13,2),-2.9501 # DEPENDENCYPART_ARC
(13,3),-1.18559 # DEPENDENCYPART_ARC
(13,4),-2.52094 # DEPENDENCYPART_ARC
(13,5),-1.93292 # DEPENDENCYPART_ARC
(13,6),-1.32695 # DEPENDENCYPART_ARC
(13,7),-1.77083 # DEPENDENCYPART_ARC
(13,8),-1.74838 # DEPENDENCYPART_ARC
(13,9),-0.341884 # DEPENDENCYPART_ARC
(13,10),-0.271427 # DEPENDENCYPART_ARC
(13,11),0.204829 # DEPENDENCYPART_ARC
(13,12),4.74462 # DEPENDENCYPART_ARC
(13,14),0.815223 # DEPENDENCYPART_ARC
(13,15),0.508652 # DEPENDENCYPART_ARC
(13,16),0.215459 # DEPENDENCYPART_ARC
(13,17),0.634031 # DEPENDENCYPART_ARC
(13,18),-0.791557 # DEPENDENCYPART_ARC
(13,19),-0.881962 # DEPENDENCYPART_ARC
(13,20),-1.01005 # DEPENDENCYPART_ARC
(13,21),0.094593 # DEPENDENCYPART_ARC
(13,22),-0.430646 # DEPENDENCYPART_ARC
(13,23),-0.99724 # DEPENDENCYPART_ARC
(13,24),-1.93754 # DEPENDENCYPART_ARC
(13,25),-1.65263 # DEPENDENCYPART_ARC
(13,26),-1.79148 # DEPENDENCYPART_ARC
(13,27),-2.00156 # DEPENDENCYPART_ARC
(13,28),-1.45213 # DEPENDENCYPART_ARC
(13,29),-2.60174 # DEPENDENCYPART_ARC
(13,30),-0.14656 # DEPENDENCYPART_ARC
(14,1),-1.74323 # DEPENDENCYPART_ARC
(14,2),-1.75085 # DEPENDENCYPART_ARC
(14,3),-1.84518 # DEPENDENCYPART_ARC
(14,4),-1.49244 # DEPENDENCYPART_ARC
(14,5),-1.06732 # DEPENDENCYPART_ARC
(14,6),-1.21769 # DEPENDENCYPART_ARC
(14,7),-1.22969 # DEPENDENCYPART_ARC
(14,8),-1.16297 # DEPENDENCYPART_ARC
(14,9),-1.11719 # DEPENDENCYPART_ARC
(14,10),-0.403665 # DEPENDENCYPART_ARC
(14,11),-0.244698 # DEPENDENCYPART_ARC
(14,12),0.14289 # DEPENDENCYPART_ARC
(14,13),0.297776 # DEPENDENCYPART_ARC
(14,15),1.50578 # DEPENDENCYPART_ARC
(14,16),2.52522 # DEPENDENCYPART_ARC
(14,17),1.30118 # DEPENDENCYPART_ARC
(14,18),1.44163 # DEPENDENCYPART_ARC
(14,19),1.14074 # DEPENDENCYPART_ARC
(14,20),-1.14779 # DEPENDENCYPART_ARC
(14,21),0.601591 # DEPENDENCYPART_ARC
(14,22),-0.226925 # DEPENDENCYPART_ARC
(14,23),-0.140737 # DEPENDENCYPART_ARC
(14,24),-0.523088 # DEPENDENCYPART_ARC
(14,25),0.278161 # DEPENDENCYPART_ARC
(14,26),-2.73208 # DEPENDENCYPART_ARC
(14,27),-4.17688 # DEPENDENCYPART_ARC
(14,28),-0.426355 # DEPENDENCYPART_ARC
(14,29),-4.56459 # DEPENDENCYPART_ARC
(14,30),0.592057 # DEPENDENCYPART_ARC
(15,1),-3.03931 # DEPENDENCYPART_ARC
(15,2),-2.49194 # DEPENDENCYPART_ARC
(15,3),-2.96493 # DEPENDENCYPART_ARC
(15,4),-2.48609 # DEPENDENCYPART_ARC
(15,5),-2.6362 # DEPENDENCYPART_ARC
(15,6),-1.95717 # DEPENDENCYPART_ARC
(15,7),-1.90399 # DEPENDENCYPART_ARC
(15,8),-1.73997 # DEPENDENCYPART_ARC
(15,9),-1.84824 # DEPENDENCYPART_ARC
(15,10),-1.12871 # DEPENDENCYPART_ARC
(15,11),-1.02717 # DEPENDENCYPART_ARC
(15,12),0.205353 # DEPENDENCYPART_ARC
(15,13),-0.690634 # DEPENDENCYPART_ARC
(15,14),0.502164 # DEPENDENCYPART_ARC
(15,16),1.14335 # DEPENDENCYPART_ARC
(15,17),0.52459 # DEPENDENCYPART_ARC
(15,18),-0.0404407 # DEPENDENCYPART_ARC
(15,19),-0.110374 # DEPENDENCYPART_ARC
(15,20),-0.812788 # DEPENDENCYPART_ARC
(15,21),0.0315419 # DEPENDENCYPART_ARC
(15,22),-0.145624 # DEPENDENCYPART_ARC
(15,23),-0.444329 # DEPENDENCYPART_ARC
(15,24),-0.817753 # DEPENDENCYPART_ARC
(15,25),-0.20853 # DEPENDENCYPART_ARC
(15,26),-1.41719 # DEPENDENCYPART_ARC
(15,27),-1.165 # DEPENDENCYPART_ARC
(15,28),-1.50033 # DEPENDENCYPART_ARC
(15,29),-1.39841 # DEPENDENCYPART_ARC
(15,30),-0.161303 # DEPENDENCYPART_ARC
(16,1),-2.14002 # DEPENDENCYPART_ARC
(16,2),-3.05373 # DEPENDENCYPART_ARC
(16,3),-0.863601 # DEPENDENCYPART_ARC
(16,4),-2.75452 # DEPENDENCYPART_ARC
(16,5),-1.46697 # DEPENDENCYPART_ARC
(16,6),-1.20531 # DEPENDENCYPART_ARC
(16,7),-1.95277 # DEPENDENCYPART_ARC
(16,8),-2.5269 # DEPENDENCYPART_ARC
(16,9),-0.380474 # DEPENDENCYPART_ARC
(16,10),-0.695425 # DEPENDENCYPART_ARC
(16,11),0.0177322 # DEPENDENCYPART_ARC
(16,12),2.71316 # DEPENDENCYPART_ARC
(16,13),1.24202 # DEPENDENCYPART_ARC
(16,14),1.37748 # DEPENDENCYPART_ARC
(16,15),3.62961 # DEPENDENCYPART_ARC
(16,17),1.71493 # DEPENDENCYPART_ARC
(16,18),1.247 # DEPENDENCYPART_ARC
(16,19),-0.152839 # DEPENDENCYPART_ARC
(16,20),-0.40181 # DEPENDENCYPART_ARC
(16,21),0.111349 # DEPENDENCYPART_ARC
(16,22),-0.345881 # DEPENDENCYPART_ARC
(16,23),-0.457736 # DEPENDENCYPART_ARC
(16,24),-1.17715 # DEPENDENCYPART_ARC
(16,25),-0.254973 # DEPENDENCYPART_ARC
(16,26),-1.07221 # DEPENDENCYPART_ARC
(16,27),-1.1144 # DEPENDENCYPART_ARC
(16,28),-1.92636 # DEPENDENCYPART_ARC
(16,29),-1.44856 # DEPENDENCYPART_ARC
(16,30),0.482906 # DEPENDENCYPART_ARC
(17,1),-2.12689 # DEPENDENCYPART_ARC
(17,2),-2.45503 # DEPENDENCYPART_ARC
(17,3),-2.23514 # DEPENDENCYPART_ARC
(17,4),-2.27815 # DEPENDENCYPART_ARC
(17,5),-0.266429 # DEPENDENCYPART_ARC
(17,6),-2.03995 # DEPENDENCYPART_ARC
(17,7),-1.84743 # DEPENDENCYPART_ARC
(17,8),-1.76078 # DEPENDENCYPART_ARC
(17,9),-1.21714 # DEPENDENCYPART_ARC
(17,10),-1.78446 # DEPENDENCYPART_ARC
(17,11),-1.12285 # DEPENDENCYPART_ARC
(17,12),-0.696216 # DEPENDENCYPART_ARC
(17,13),-0.992142 # DEPENDENCYPART_ARC
