# _root_ In 1987 , despite a barrage of ads from most of the major investment firms , individuals ran from the market en masse .
#goldHeads=18,1,18,18,6,4,6,7,8,9,10,15,15,15,11,18,18,0,18,21,19,18,22,18,
#predictedHeads=18,1,18,18,6,4,6,7,8,9,10,15,15,15,11,18,18,0,18,21,19,23,19,18,
(1,15),-5.57611 # DEPENDENCYPART_ARC
(1,16),-0.528497 # DEPENDENCYPART_ARC
(1,17),-9.75748 # DEPENDENCYPART_ARC
(1,18),-1.49238 # DEPENDENCYPART_ARC
(1,19),-2.72683 # DEPENDENCYPART_ARC
(1,20),-4.25596 # DEPENDENCYPART_ARC
(1,21),-10.3827 # DEPENDENCYPART_ARC
(1,22),-2.52642 # DEPENDENCYPART_ARC
(1,23),-2.3953 # DEPENDENCYPART_ARC
(1,24),0.116132 # DEPENDENCYPART_ARC
(2,1),-0.459633 # DEPENDENCYPART_ARC
(2,3),0.396307 # DEPENDENCYPART_ARC
(2,4),-0.55971 # DEPENDENCYPART_ARC
(2,5),-0.605255 # DEPENDENCYPART_ARC
(2,6),-0.0294596 # DEPENDENCYPART_ARC
(2,7),-0.925549 # DEPENDENCYPART_ARC
(2,8),-0.882028 # DEPENDENCYPART_ARC
(2,9),-1.00702 # DEPENDENCYPART_ARC
(2,10),-1.38769 # DEPENDENCYPART_ARC
(2,11),-1.59297 # DEPENDENCYPART_ARC
(2,12),-1.51653 # DEPENDENCYPART_ARC
(2,13),-1.58027 # DEPENDENCYPART_ARC
(2,14),-0.0687336 # DEPENDENCYPART_ARC
(2,15),-1.29828 # DEPENDENCYPART_ARC
(2,16),-0.651454 # DEPENDENCYPART_ARC
(2,17),-1.63366 # DEPENDENCYPART_ARC
(2,18),-0.0579598 # DEPENDENCYPART_ARC
(2,19),-2.46809 # DEPENDENCYPART_ARC
(2,20),-2.47654 # DEPENDENCYPART_ARC
(2,21),-1.54222 # DEPENDENCYPART_ARC
(2,22),-1.88987 # DEPENDENCYPART_ARC
(2,23),-1.94157 # DEPENDENCYPART_ARC
(2,24),-1.14635 # DEPENDENCYPART_ARC
(3,1),-1.15163 # DEPENDENCYPART_ARC
(3,2),-0.536223 # DEPENDENCYPART_ARC
(3,4),-1.29773 # DEPENDENCYPART_ARC
(3,5),-1.81272 # DEPENDENCYPART_ARC
(3,6),-2.22582 # DEPENDENCYPART_ARC
(3,7),-1.91306 # DEPENDENCYPART_ARC
(3,8),-2.46066 # DEPENDENCYPART_ARC
(3,9),-2.08171 # DEPENDENCYPART_ARC
(3,10),-2.94975 # DEPENDENCYPART_ARC
(3,11),-2.35343 # DEPENDENCYPART_ARC
(3,12),-2.90838 # DEPENDENCYPART_ARC
(3,13),-3.07006 # DEPENDENCYPART_ARC
(3,14),-3.51778 # DEPENDENCYPART_ARC
(3,15),-3.51435 # DEPENDENCYPART_ARC
(3,16),-2.28826 # DEPENDENCYPART_ARC
(3,17),-3.715 # DEPENDENCYPART_ARC
(3,18),-2.96184 # DEPENDENCYPART_ARC
(3,19),-2.96242 # DEPENDENCYPART_ARC
(3,20),-3.77684 # DEPENDENCYPART_ARC
(3,21),-4.30422 # DEPENDENCYPART_ARC
(3,22),-3.51807 # DEPENDENCYPART_ARC
(3,23),-3.5828 # DEPENDENCYPART_ARC
(3,24),-3.23024 # DEPENDENCYPART_ARC
(4,1),-0.841065 # DEPENDENCYPART_ARC
(4,2),-0.581963 # DEPENDENCYPART_ARC
(4,3),0.0700835 # DEPENDENCYPART_ARC
(4,5),0.510428 # DEPENDENCYPART_ARC
(4,6),2.91148 # DEPENDENCYPART_ARC
(4,7),0.882823 # DEPENDENCYPART_ARC
(4,8),0.729598 # DEPENDENCYPART_ARC
(4,9),0.420298 # DEPENDENCYPART_ARC
(4,10),-0.56301 # DEPENDENCYPART_ARC
(4,11),-0.0113404 # DEPENDENCYPART_ARC
(4,12),-2.18889 # DEPENDENCYPART_ARC
(4,13),-0.982738 # DEPENDENCYPART_ARC
(4,14),-2.4285 # DEPENDENCYPART_ARC
(4,15),-1.34589 # DEPENDENCYPART_ARC
(4,16),0.611154 # DEPENDENCYPART_ARC
(4,17),-5.12619 # DEPENDENCYPART_ARC
(4,18),0.119386 # DEPENDENCYPART_ARC
(4,19),-1.04499 # DEPENDENCYPART_ARC
(4,20),-3.45673 # DEPENDENCYPART_ARC
(4,21),-6.34378 # DEPENDENCYPART_ARC
(4,22),-1.65177 # DEPENDENCYPART_ARC
(4,23),-1.41695 # DEPENDENCYPART_ARC
(4,24),-0.035853 # DEPENDENCYPART_ARC
(5,1),-0.700415 # DEPENDENCYPART_ARC
(5,2),-0.515776 # DEPENDENCYPART_ARC
(5,3),-0.687616 # DEPENDENCYPART_ARC
(5,4),0.659106 # DEPENDENCYPART_ARC
(5,6),0.646904 # DEPENDENCYPART_ARC
(5,7),-0.112267 # DEPENDENCYPART_ARC
(5,8),-0.791586 # DEPENDENCYPART_ARC
(5,9),-1.53636 # DEPENDENCYPART_ARC
(5,10),-2.03671 # DEPENDENCYPART_ARC
(5,11),-1.16933 # DEPENDENCYPART_ARC
(5,12),-2.17421 # DEPENDENCYPART_ARC
(5,13),-1.7024 # DEPENDENCYPART_ARC
(5,14),-1.56691 # DEPENDENCYPART_ARC
(5,15),-1.87504 # DEPENDENCYPART_ARC
(5,16),-0.922571 # DEPENDENCYPART_ARC
(5,17),-2.27662 # DEPENDENCYPART_ARC
(5,18),-2.70548 # DEPENDENCYPART_ARC
(5,19),-3.29319 # DEPENDENCYPART_ARC
(5,20),-3.218 # DEPENDENCYPART_ARC
(5,21),-2.08897 # DEPENDENCYPART_ARC
(5,22),-2.54915 # DEPENDENCYPART_ARC
(5,23),-2.67809 # DEPENDENCYPART_ARC
(5,24),-1.03122 # DEPENDENCYPART_ARC
(6,1),-0.957489 # DEPENDENCYPART_ARC
(6,2),-1.38068 # DEPENDENCYPART_ARC
(6,3),-0.0932205 # DEPENDENCYPART_ARC
(6,4),0.859603 # DEPENDENCYPART_ARC
(6,5),4.66838 # DEPENDENCYPART_ARC
(6,7),4.0031 # DEPENDENCYPART_ARC
(6,8),1.49757 # DEPENDENCYPART_ARC
(6,9),2.14484 # DEPENDENCYPART_ARC
(6,10),0.106259 # DEPENDENCYPART_ARC
(6,11),0.349279 # DEPENDENCYPART_ARC
(6,12),0.169958 # DEPENDENCYPART_ARC
(6,13),0.160332 # DEPENDENCYPART_ARC
(6,14),0.742853 # DEPENDENCYPART_ARC
(6,15),0.349212 # DEPENDENCYPART_ARC
(6,16),1.68999 # DEPENDENCYPART_ARC
(6,17),-0.127809 # DEPENDENCYPART_ARC
(6,18),0.741985 # DEPENDENCYPART_ARC
(6,19),0.0759988 # DEPENDENCYPART_ARC
(6,20),-0.578054 # DEPENDENCYPART_ARC
(6,21),-0.267628 # DEPENDENCYPART_ARC
(6,22),0.156037 # DEPENDENCYPART_ARC
(6,23),-0.044523 # DEPENDENCYPART_ARC
(6,24),0.996992 # DEPENDENCYPART_ARC
(7,1),-1.47854 # DEPENDENCYPART_ARC
(7,2),-1.11832 # DEPENDENCYPART_ARC
(7,3),-1.0339 # DEPENDENCYPART_ARC
(7,4),-0.366264 # DEPENDENCYPART_ARC
(7,5),-0.487837 # DEPENDENCYPART_ARC
(7,6),0.229382 # DEPENDENCYPART_ARC
(7,8),4.4355 # DEPENDENCYPART_ARC
(7,9),0.89711 # DEPENDENCYPART_ARC
(7,10),0.330259 # DEPENDENCYPART_ARC
(7,11),0.820216 # DEPENDENCYPART_ARC
(7,12),-1.06565 # DEPENDENCYPART_ARC
(7,13),-0.328836 # DEPENDENCYPART_ARC
(7,14),-1.53509 # DEPENDENCYPART_ARC
(7,15),-0.570963 # DEPENDENCYPART_ARC
(7,16),0.629044 # DEPENDENCYPART_ARC
(7,17),-3.99442 # DEPENDENCYPART_ARC
(7,18),-0.0876311 # DEPENDENCYPART_ARC
(7,19),-0.922377 # DEPENDENCYPART_ARC
(7,20),-2.81461 # DEPENDENCYPART_ARC
(7,21),-6.30074 # DEPENDENCYPART_ARC
(7,22),-0.969152 # DEPENDENCYPART_ARC
(7,23),-0.597222 # DEPENDENCYPART_ARC
(7,24),0.144016 # DEPENDENCYPART_ARC
(8,1),-1.44658 # DEPENDENCYPART_ARC
(8,2),-2.17307 # DEPENDENCYPART_ARC
(8,3),-0.797127 # DEPENDENCYPART_ARC
(8,4),-0.508486 # DEPENDENCYPART_ARC
(8,5),0.866651 # DEPENDENCYPART_ARC
(8,6),0.138111 # DEPENDENCYPART_ARC
(8,7),1.49657 # DEPENDENCYPART_ARC
(8,9),2.34555 # DEPENDENCYPART_ARC
(8,10),0.546323 # DEPENDENCYPART_ARC
(8,11),1.14844 # DEPENDENCYPART_ARC
(8,12),-0.704707 # DEPENDENCYPART_ARC
(8,13),-0.121514 # DEPENDENCYPART_ARC
(8,14),0.393732 # DEPENDENCYPART_ARC
(8,15),-0.16118 # DEPENDENCYPART_ARC
(8,16),1.47232 # DEPENDENCYPART_ARC
(8,17),-0.418862 # DEPENDENCYPART_ARC
(8,18),0.445048 # DEPENDENCYPART_ARC
(8,19),-0.381516 # DEPENDENCYPART_ARC
(8,20),-1.31177 # DEPENDENCYPART_ARC
(8,21),-0.866388 # DEPENDENCYPART_ARC
(8,22),-0.897634 # DEPENDENCYPART_ARC
(8,23),-0.9625 # DEPENDENCYPART_ARC
(8,24),-0.168475 # DEPENDENCYPART_ARC
(9,1),-1.71467 # DEPENDENCYPART_ARC
(9,2),-1.0893 # DEPENDENCYPART_ARC
(9,3),-1.1778 # DEPENDENCYPART_ARC
(9,4),-0.781788 # DEPENDENCYPART_ARC
(9,5),-0.610106 # DEPENDENCYPART_ARC
(9,6),-0.124041 # DEPENDENCYPART_ARC
(9,7),-0.22885 # DEPENDENCYPART_ARC
(9,8),0.44328 # DEPENDENCYPART_ARC
(9,10),2.56112 # DEPENDENCYPART_ARC
(9,11),1.87538 # DEPENDENCYPART_ARC
(9,12),-0.473235 # DEPENDENCYPART_ARC
(9,13),1.26843 # DEPENDENCYPART_ARC
(9,14),0.238813 # DEPENDENCYPART_ARC
(9,15),1.87955 # DEPENDENCYPART_ARC
(9,16),0.559088 # DEPENDENCYPART_ARC
(9,17),-1.29542 # DEPENDENCYPART_ARC
(9,18),-0.169919 # DEPENDENCYPART_ARC
(9,19),-0.104208 # DEPENDENCYPART_ARC
(9,20),-2.18081 # DEPENDENCYPART_ARC
(9,21),-4.15427 # DEPENDENCYPART_ARC
(9,22),-0.459067 # DEPENDENCYPART_ARC
(9,23),-0.221677 # DEPENDENCYPART_ARC
(9,24),-0.450732 # DEPENDENCYPART_ARC
(10,1),-2.21759 # DEPENDENCYPART_ARC
(10,2),-2.34702 # DEPENDENCYPART_ARC
(10,3),-2.12717 # DEPENDENCYPART_ARC
(10,4),-1.78628 # DEPENDENCYPART_ARC
(10,5),-0.682664 # DEPENDENCYPART_ARC
(10,6),-1.74705 # DEPENDENCYPART_ARC
(10,7),-1.12587 # DEPENDENCYPART_ARC
(10,8),-1.10433 # DEPENDENCYPART_ARC
(10,9),-0.199629 # DEPENDENCYPART_ARC
(10,11),2.94318 # DEPENDENCYPART_ARC
(10,12),0.589786 # DEPENDENCYPART_ARC
(10,13),0.720574 # DEPENDENCYPART_ARC
(10,14),0.829326 # DEPENDENCYPART_ARC
(10,15),-0.133391 # DEPENDENCYPART_ARC
(10,16),0.619458 # DEPENDENCYPART_ARC
(10,17),-0.594567 # DEPENDENCYPART_ARC
(10,18),0.594586 # DEPENDENCYPART_ARC
(10,19),-0.0484159 # DEPENDENCYPART_ARC
(10,20),-0.687785 # DEPENDENCYPART_ARC
(10,21),-0.0818303 # DEPENDENCYPART_ARC
(10,22),-0.273776 # DEPENDENCYPART_ARC
(10,23),-0.344918 # DEPENDENCYPART_ARC
(10,24),-0.0565757 # DEPENDENCYPART_ARC
(11,1),-1.35657 # DEPENDENCYPART_ARC
(11,2),-1.00045 # DEPENDENCYPART_ARC
(11,3),-1.00727 # DEPENDENCYPART_ARC
(11,4),-0.0681066 # DEPENDENCYPART_ARC
(11,5),-0.893747 # DEPENDENCYPART_ARC
(11,6),-0.132548 # DEPENDENCYPART_ARC
(11,7),0.00390765 # DEPENDENCYPART_ARC
(11,8),-0.102975 # DEPENDENCYPART_ARC
(11,9),1.17833 # DEPENDENCYPART_ARC
(11,10),0.195856 # DEPENDENCYPART_ARC
(11,12),0.879709 # DEPENDENCYPART_ARC
(11,13),1.58329 # DEPENDENCYPART_ARC
(11,14),2.93203 # DEPENDENCYPART_ARC
(11,15),3.36884 # DEPENDENCYPART_ARC
(11,16),0.559813 # DEPENDENCYPART_ARC
(11,17),-0.193269 # DEPENDENCYPART_ARC
(11,18),-0.28708 # DEPENDENCYPART_ARC
(11,19),0.038348 # DEPENDENCYPART_ARC
(11,20),-1.89179 # DEPENDENCYPART_ARC
(11,21),-2.73622 # DEPENDENCYPART_ARC
(11,22),-0.238036 # DEPENDENCYPART_ARC
(11,23),0.0142194 # DEPENDENCYPART_ARC
(11,24),0.722691 # DEPENDENCYPART_ARC
(12,1),-2.96169 # DEPENDENCYPART_ARC
(12,2),-2.43595 # DEPENDENCYPART_ARC
(12,3),-2.76487 # DEPENDENCYPART_ARC
(12,4),-2.67379 # DEPENDENCYPART_ARC
(12,5),-2.09496 # DEPENDENCYPART_ARC
(12,6),-2.87524 # DEPENDENCYPART_ARC
(12,7),-2.13254 # DEPENDENCYPART_ARC
(12,8),-2.2166 # DEPENDENCYPART_ARC
(12,9),-1.35213 # DEPENDENCYPART_ARC
(12,10),-1.05404 # DEPENDENCYPART_ARC
(12,11),-0.938148 # DEPENDENCYPART_ARC
(12,13),-0.153823 # DEPENDENCYPART_ARC
(12,14),-0.773517 # DEPENDENCYPART_ARC
(12,15),-1.36705 # DEPENDENCYPART_ARC
(12,16),-1.40104 # DEPENDENCYPART_ARC
(12,17),-1.73714 # DEPENDENCYPART_ARC
(12,18),-1.50912 # DEPENDENCYPART_ARC
(12,19),-2.35972 # DEPENDENCYPART_ARC
(12,20),-2.74097 # DEPENDENCYPART_ARC
(12,21),-1.84768 # DEPENDENCYPART_ARC
(12,22),-2.18773 # DEPENDENCYPART_ARC
(12,23),-2.41226 # DEPENDENCYPART_ARC
(12,24),-1.71173 # DEPENDENCYPART_ARC
(13,1),-2.40044 # DEPENDENCYPART_ARC
(13,2),-2.19835 # DEPENDENCYPART_ARC
(13,3),-1.68863 # DEPENDENCYPART_ARC
(13,4),-1.61039 # DEPENDENCYPART_ARC
(13,5),-0.660647 # DEPENDENCYPART_ARC
(13,6),-1.63945 # DEPENDENCYPART_ARC
(13,7),-0.89334 # DEPENDENCYPART_ARC
(13,8),-1.23947 # DEPENDENCYPART_ARC
(13,9),-0.354358 # DEPENDENCYPART_ARC
(13,10),0.786021 # DEPENDENCYPART_ARC
(13,11),0.196249 # DEPENDENCYPART_ARC
(13,12),1.65855 # DEPENDENCYPART_ARC
(13,14),1.08097 # DEPENDENCYPART_ARC
(13,15),0.736628 # DEPENDENCYPART_ARC
(13,16),0.237034 # DEPENDENCYPART_ARC
(13,17),-0.186182 # DEPENDENCYPART_ARC
(13,18),-0.328661 # DEPENDENCYPART_ARC
(13,19),-0.850487 # DEPENDENCYPART_ARC
(13,20),-1.503 # DEPENDENCYPART_ARC
(13,21),-1.19462 # DEPENDENCYPART_ARC
(13,22),-0.407114 # DEPENDENCYPART_ARC
(13,23),-0.392824 # DEPENDENCYPART_ARC
(13,24),-0.371505 # DEPENDENCYPART_ARC
(14,1),-2.97782 # DEPENDENCYPART_ARC
(14,2),-5.21222 # DEPENDENCYPART_ARC
(14,3),-3.64408 # DEPENDENCYPART_ARC
(14,4),-2.43565 # DEPENDENCYPART_ARC
(14,5),-2.96807 # DEPENDENCYPART_ARC
(14,6),-5.10915 # DEPENDENCYPART_ARC
(14,7),-2.09538 # DEPENDENCYPART_ARC
(14,8),-2.7014 # DEPENDENCYPART_ARC
(14,9),-0.782426 # DEPENDENCYPART_ARC
(14,10),-1.36057 # DEPENDENCYPART_ARC
(14,11),-0.883637 # DEPENDENCYPART_ARC
(14,12),2.11809 # DEPENDENCYPART_ARC
(14,13),2.07308 # DEPENDENCYPART_ARC
(14,15),1.09348 # DEPENDENCYPART_ARC
(14,16),0.0403048 # DEPENDENCYPART_ARC
(14,17),0.00403989 # DEPENDENCYPART_ARC
(14,18),0.593722 # DEPENDENCYPART_ARC
(14,19),-0.738364 # DEPENDENCYPART_ARC
(14,20),-1.06669 # DEPENDENCYPART_ARC
(14,21),-1.18628 # DEPENDENCYPART_ARC
(14,22),-0.482833 # DEPENDENCYPART_ARC
(14,23),-0.594802 # DEPENDENCYPART_ARC
(14,24),-0.40613 # DEPENDENCYPART_ARC
(15,1),-1.1802 # DEPENDENCYPART_ARC
(15,2),-2.61844 # DEPENDENCYPART_ARC
(15,3),-0.624855 # DEPENDENCYPART_ARC
(15,4),-0.220286 # DEPENDENCYPART_ARC
(15,5),-1.23284 # DEPENDENCYPART_ARC
(15,6),-1.43483 # DEPENDENCYPART_ARC
(15,7),0.087723 # DEPENDENCYPART_ARC
(15,8),-0.0717603 # DEPENDENCYPART_ARC
(15,9),0.69134 # DEPENDENCYPART_ARC
(15,10),1.7651 # DEPENDENCYPART_ARC
(15,11),0.737107 # DEPENDENCYPART_ARC
(15,12),4.51824 # DEPENDENCYPART_ARC
(15,13),4.62463 # DEPENDENCYPART_ARC
(15,14),5.17803 # DEPENDENCYPART_ARC
(15,16),2.71386 # DEPENDENCYPART_ARC
(15,17),1.34899 # DEPENDENCYPART_ARC
(15,18),1.2008 # DEPENDENCYPART_ARC
(15,19),0.502742 # DEPENDENCYPART_ARC
(15,20),-0.252747 # DEPENDENCYPART_ARC
(15,21),0.254255 # DEPENDENCYPART_ARC
(15,22),0.26202 # DEPENDENCYPART_ARC
(15,23),0.146264 # DEPENDENCYPART_ARC
(15,24),0.628564 # DEPENDENCYPART_ARC
(16,1),-3.06991 # DEPENDENCYPART_ARC
(16,2),-3.0646 # DEPENDENCYPART_ARC
(16,3),-0.800535 # DEPENDENCYPART_ARC
(16,4),-2.63482 # DEPENDENCYPART_ARC
(16,5),-2.411 # DEPENDENCYPART_ARC
(16,6),-2.01139 # DEPENDENCYPART_ARC
(16,7),-2.30333 # DEPENDENCYPART_ARC
(16,8),-2.20425 # DEPENDENCYPART_ARC
(16,9),-2.06199 # DEPENDENCYPART_ARC
(16,10),-1.90074 # DEPENDENCYPART_ARC
(16,11),-2.06594 # DEPENDENCYPART_ARC
(16,12),-1.39864 # DEPENDENCYPART_ARC
(16,13),-1.51424 # DEPENDENCYPART_ARC
(16,14),-1.87625 # DEPENDENCYPART_ARC
(16,15),-1.54345 # DEPENDENCYPART_ARC
(16,17),-0.299891 # DEPENDENCYPART_ARC
(16,18),-0.371756 # DEPENDENCYPART_ARC
(16,19),-0.987905 # DEPENDENCYPART_ARC
(16,20),-1.66841 # DEPENDENCYPART_ARC
(16,21),-1.84392 # DEPENDENCYPART_ARC
(16,22),-1.44939 # DEPENDENCYPART_ARC
(16,23),-1.57243 # DEPENDENCYPART_ARC
(16,24),-1.44538 # DEPENDENCYPART_ARC
(17,1),-1.88818 # DEPENDENCYPART_ARC
(17,2),-4.6263 # DEPENDENCYPART_ARC
(17,3),-1.70771 # DEPENDENCYPART_ARC
(17,4),-0.718488 # DEPENDENCYPART_ARC
(17,5),-3.66624 # DEPENDENCYPART_ARC
(17,6),-4.02016 # DEPENDENCYPART_ARC
(17,7),-0.872455 # DEPENDENCYPART_ARC
(17,8),-2.07869 # DEPENDENCYPART_ARC
(17,9),-0.567973 # DEPENDENCYPART_ARC
(17,10),-0.299926 # DEPENDENCYPART_ARC
(17,11),-0.429853 # DEPENDENCYPART_ARC
(17,12),2.00958 # DEPENDENCYPART_ARC
(17,13),1.4702 # DEPENDENCYPART_ARC
(17,14),1.19795 # DEPENDENCYPART_ARC
(17,15),0.692852 # DEPENDENCYPART_ARC
(17,16),1.24104 # DEPENDENCYPART_ARC
(17,18),1.84316 # DEPENDENCYPART_ARC
(17,19),1.56537 # DEPENDENCYPART_ARC
(17,20),-0.0147482 # DEPENDENCYPART_ARC
(17,21),0.196696 # DEPENDENCYPART_ARC
(17,22),0.212269 # DEPENDENCYPART_ARC
(17,23),0.195673 # DEPENDENCYPART_ARC
(17,24),0.912821 # DEPENDENCYPART_ARC
(18,1),1.49805 # DEPENDENCYPART_ARC
(18,2),-0.60582 # DEPENDENCYPART_ARC
(18,3),1.5494 # DEPENDENCYPART_ARC
(18,4),2.01612 # DEPENDENCYPART_ARC
(18,5),-0.390417 # DEPENDENCYPART_ARC
(18,6),1.13025 # DEPENDENCYPART_ARC
(18,7),-0.660048 # DEPENDENCYPART_ARC
(18,8),2.12296 # DEPENDENCYPART_ARC
(18,9),0.515132 # DEPENDENCYPART_ARC
(18,10),1.06773 # DEPENDENCYPART_ARC
(18,11),0.421176 # DEPENDENCYPART_ARC
(18,12),-0.0975728 # DEPENDENCYPART_ARC
(18,13),0.787419 # DEPENDENCYPART_ARC
(18,14),1.34783 # DEPENDENCYPART_ARC
(18,15),1.14803 # DEPENDENCYPART_ARC
(18,16),3.08301 # DEPENDENCYPART_ARC
(18,17),3.2037 # DEPENDENCYPART_ARC
(18,19),3.48062 # DEPENDENCYPART_ARC
(18,20),0.174455 # DEPENDENCYPART_ARC
(18,21),0.715794 # DEPENDENCYPART_ARC
(18,22),0.626724 # DEPENDENCYPART_ARC
(18,23),0.378657 # DEPENDENCYPART_ARC
(18,24),3.78746 # DEPENDENCYPART_ARC
(19,1),-2.99498 # DEPENDENCYPART_ARC
(19,2),-2.12786 # DEPENDENCYPART_ARC
(19,3),-2.33109 # DEPENDENCYPART_ARC
(19,4),-1.90588 # DEPENDENCYPART_ARC
(19,5),-2.25817 # DEPENDENCYPART_ARC
(19,6),-2.28575 # DEPENDENCYPART_ARC
(19,7),-1.77053 # DEPENDENCYPART_ARC
(19,8),-1.09127 # DEPENDENCYPART_ARC
(19,9),-0.773003 # DEPENDENCYPART_ARC
(19,10),-1.52665 # DEPENDENCYPART_ARC
(19,11),-1.27356 # DEPENDENCYPART_ARC
(19,12),-0.811577 # DEPENDENCYPART_ARC
(19,13),-0.825165 # DEPENDENCYPART_ARC
(19,14),-1.62397 # DEPENDENCYPART_ARC
(19,15),-0.506781 # DEPENDENCYPART_ARC
(19,16),-0.352981 # DEPENDENCYPART_ARC
(19,17),-0.201589 # DEPENDENCYPART_ARC
(19,18),0.192458 # DEPENDENCYPART_ARC
(19,20),0.340407 # DEPENDENCYPART_ARC
(19,21),3.28526 # DEPENDENCYPART_ARC
(19,22),0.925616 # DEPENDENCYPART_ARC
(19,23),1.0295 # DEPENDENCYPART_ARC
(19,24),-0.0269536 # DEPENDENCYPART_ARC
(20,1),-4.39064 # DEPENDENCYPART_ARC
(20,2),-3.95593 # DEPENDENCYPART_ARC
(20,3),-4.22026 # DEPENDENCYPART_ARC
(20,4),-3.98108 # DEPENDENCYPART_ARC
(20,5),-3.95719 # DEPENDENCYPART_ARC
(20,6),-4.62598 # DEPENDENCYPART_ARC
(20,7),-3.57885 # DEPENDENCYPART_ARC
(20,8),-4.06102 # DEPENDENCYPART_ARC
(20,9),-3.01784 # DEPENDENCYPART_ARC
(20,10),-3.09362 # DEPENDENCYPART_ARC
(20,11),-3.17031 # DEPENDENCYPART_ARC
(20,12),-2.79995 # DEPENDENCYPART_ARC
(20,13),-3.22102 # DEPENDENCYPART_ARC
(20,14),-3.50478 # DEPENDENCYPART_ARC
(20,15),-3.14166 # DEPENDENCYPART_ARC
(20,16),-2.56524 # DEPENDENCYPART_ARC
(20,17),-2.52606 # DEPENDENCYPART_ARC
(20,18),-2.40937 # DEPENDENCYPART_ARC
(20,19),-0.845259 # DEPENDENCYPART_ARC
(20,21),-0.0929325 # DEPENDENCYPART_ARC
(20,22),-1.53287 # DEPENDENCYPART_ARC
(20,23),-1.75771 # DEPENDENCYPART_ARC
(20,24),-2.33144 # DEPENDENCYPART_ARC
(21,1),-4.19216 # DEPENDENCYPART_ARC
(21,2),-7.5699 # DEPENDENCYPART_ARC
(21,3),-3.80357 # DEPENDENCYPART_ARC
(21,4),-3.55864 # DEPENDENCYPART_ARC
(21,5),-5.17299 # DEPENDENCYPART_ARC
(21,6),-6.89132 # DEPENDENCYPART_ARC
(21,7),-3.08932 # DEPENDENCYPART_ARC
(21,8),-3.26706 # DEPENDENCYPART_ARC
(21,9),-2.44815 # DEPENDENCYPART_ARC
(21,10),-2.92214 # DEPENDENCYPART_ARC
(21,11),-2.13226 # DEPENDENCYPART_ARC
(21,12),-1.41527 # DEPENDENCYPART_ARC
(21,13),-1.96057 # DEPENDENCYPART_ARC
(21,14),-2.71425 # DEPENDENCYPART_ARC
(21,15),-2.30806 # DEPENDENCYPART_ARC
(21,16),-1.4327 # DEPENDENCYPART_ARC
(21,17),-1.35798 # DEPENDENCYPART_ARC
(21,18),-0.982929 # DEPENDENCYPART_ARC
(21,19),0.0402409 # DEPENDENCYPART_ARC
(21,20),4.24178 # DEPENDENCYPART_ARC
(21,22),1.28534 # DEPENDENCYPART_ARC
(21,23),0.583148 # DEPENDENCYPART_ARC
(21,24),-0.217921 # DEPENDENCYPART_ARC
(22,1),-2.02862 # DEPENDENCYPART_ARC
(22,2),-1.89828 # DEPENDENCYPART_ARC
(22,3),-1.98322 # DEPENDENCYPART_ARC
(22,4),-1.57278 # DEPENDENCYPART_ARC
