# _root_ `` It 's a problem that clearly has to be resolved , '' said David Cooke , executive director of the RTC .
#goldHeads=14,3,14,5,3,8,8,5,8,9,10,14,14,0,16,14,16,19,16,19,22,20,14,
#predictedHeads=14,3,14,5,3,8,8,5,8,9,10,14,14,0,16,14,16,19,16,19,22,20,14,
(2,13),-0.298215 # DEPENDENCYPART_ARC
(2,14),-0.379741 # DEPENDENCYPART_ARC
(2,15),-1.16539 # DEPENDENCYPART_ARC
(2,16),-1.23933 # DEPENDENCYPART_ARC
(2,17),-0.847953 # DEPENDENCYPART_ARC
(2,18),-2.11691 # DEPENDENCYPART_ARC
(2,19),-0.791694 # DEPENDENCYPART_ARC
(2,20),-1.28345 # DEPENDENCYPART_ARC
(2,21),-1.68167 # DEPENDENCYPART_ARC
(2,22),-1.8218 # DEPENDENCYPART_ARC
(2,23),-0.996027 # DEPENDENCYPART_ARC
(3,1),2.68558 # DEPENDENCYPART_ARC
(3,2),4.00148 # DEPENDENCYPART_ARC
(3,4),2.18597 # DEPENDENCYPART_ARC
(3,5),2.98389 # DEPENDENCYPART_ARC
(3,6),-0.314582 # DEPENDENCYPART_ARC
(3,7),1.15767 # DEPENDENCYPART_ARC
(3,8),1.41716 # DEPENDENCYPART_ARC
(3,9),1.7972 # DEPENDENCYPART_ARC
(3,10),0.776929 # DEPENDENCYPART_ARC
(3,11),0.072115 # DEPENDENCYPART_ARC
(3,12),1.14767 # DEPENDENCYPART_ARC
(3,13),1.06237 # DEPENDENCYPART_ARC
(3,14),-0.282071 # DEPENDENCYPART_ARC
(3,15),-1.36831 # DEPENDENCYPART_ARC
(3,16),-0.771884 # DEPENDENCYPART_ARC
(3,17),-1.15158 # DEPENDENCYPART_ARC
(3,18),-1.02323 # DEPENDENCYPART_ARC
(3,19),-1.73634 # DEPENDENCYPART_ARC
(3,20),-1.38934 # DEPENDENCYPART_ARC
(3,21),-1.14786 # DEPENDENCYPART_ARC
(3,22),-2.32171 # DEPENDENCYPART_ARC
(3,23),3.31565 # DEPENDENCYPART_ARC
(4,1),-0.764473 # DEPENDENCYPART_ARC
(4,2),0.342457 # DEPENDENCYPART_ARC
(4,3),-0.000442207 # DEPENDENCYPART_ARC
(4,5),0.626653 # DEPENDENCYPART_ARC
(4,6),-0.952728 # DEPENDENCYPART_ARC
(4,7),-0.722471 # DEPENDENCYPART_ARC
(4,8),0.512846 # DEPENDENCYPART_ARC
(4,9),-0.917428 # DEPENDENCYPART_ARC
(4,10),-0.962148 # DEPENDENCYPART_ARC
(4,11),-1.16307 # DEPENDENCYPART_ARC
(4,12),-0.332338 # DEPENDENCYPART_ARC
(4,13),-0.824271 # DEPENDENCYPART_ARC
(4,14),-1.32263 # DEPENDENCYPART_ARC
(4,15),-2.07484 # DEPENDENCYPART_ARC
(4,16),-2.0452 # DEPENDENCYPART_ARC
(4,17),-0.408848 # DEPENDENCYPART_ARC
(4,18),-2.35654 # DEPENDENCYPART_ARC
(4,19),-2.18567 # DEPENDENCYPART_ARC
(4,20),-2.28774 # DEPENDENCYPART_ARC
(4,21),-3.14791 # DEPENDENCYPART_ARC
(4,22),-2.60472 # DEPENDENCYPART_ARC
(4,23),-1.69421 # DEPENDENCYPART_ARC
(5,1),0.414444 # DEPENDENCYPART_ARC
(5,2),0.84039 # DEPENDENCYPART_ARC
(5,3),0.688827 # DEPENDENCYPART_ARC
(5,4),4.97732 # DEPENDENCYPART_ARC
(5,6),0.867458 # DEPENDENCYPART_ARC
(5,7),0.813071 # DEPENDENCYPART_ARC
(5,8),2.93645 # DEPENDENCYPART_ARC
(5,9),0.81796 # DEPENDENCYPART_ARC
(5,10),0.858572 # DEPENDENCYPART_ARC
(5,11),0.390919 # DEPENDENCYPART_ARC
(5,12),1.72685 # DEPENDENCYPART_ARC
(5,13),1.41582 # DEPENDENCYPART_ARC
(5,14),1.14351 # DEPENDENCYPART_ARC
(5,15),-0.927115 # DEPENDENCYPART_ARC
(5,16),-0.591044 # DEPENDENCYPART_ARC
(5,17),0.493172 # DEPENDENCYPART_ARC
(5,18),-0.251744 # DEPENDENCYPART_ARC
(5,19),-0.25454 # DEPENDENCYPART_ARC
(5,20),-1.78152 # DEPENDENCYPART_ARC
(5,21),-1.25856 # DEPENDENCYPART_ARC
(5,22),-1.58527 # DEPENDENCYPART_ARC
(5,23),1.11154 # DEPENDENCYPART_ARC
(6,1),-0.896892 # DEPENDENCYPART_ARC
(6,2),-1.13067 # DEPENDENCYPART_ARC
(6,3),-0.860993 # DEPENDENCYPART_ARC
(6,4),0.125731 # DEPENDENCYPART_ARC
(6,5),-0.394392 # DEPENDENCYPART_ARC
(6,7),0.387455 # DEPENDENCYPART_ARC
(6,8),1.17977 # DEPENDENCYPART_ARC
(6,9),-0.228589 # DEPENDENCYPART_ARC
(6,10),0.0263279 # DEPENDENCYPART_ARC
(6,11),-0.347329 # DEPENDENCYPART_ARC
(6,12),0.730997 # DEPENDENCYPART_ARC
(6,13),-0.0736437 # DEPENDENCYPART_ARC
(6,14),-0.0642543 # DEPENDENCYPART_ARC
(6,15),-2.151 # DEPENDENCYPART_ARC
(6,16),-2.49624 # DEPENDENCYPART_ARC
(6,17),0.553796 # DEPENDENCYPART_ARC
(6,18),-1.56378 # DEPENDENCYPART_ARC
(6,19),-1.71618 # DEPENDENCYPART_ARC
(6,20),-0.398932 # DEPENDENCYPART_ARC
(6,21),-2.52274 # DEPENDENCYPART_ARC
(6,22),-3.52234 # DEPENDENCYPART_ARC
(6,23),-0.749644 # DEPENDENCYPART_ARC
(7,1),-1.42939 # DEPENDENCYPART_ARC
(7,2),-1.66455 # DEPENDENCYPART_ARC
(7,3),-1.53431 # DEPENDENCYPART_ARC
(7,4),0.284713 # DEPENDENCYPART_ARC
(7,5),-0.661942 # DEPENDENCYPART_ARC
(7,6),0.553612 # DEPENDENCYPART_ARC
(7,8),0.703886 # DEPENDENCYPART_ARC
(7,9),0.429882 # DEPENDENCYPART_ARC
(7,10),-0.510072 # DEPENDENCYPART_ARC
(7,11),-0.846775 # DEPENDENCYPART_ARC
(7,12),-0.583203 # DEPENDENCYPART_ARC
(7,13),-0.790114 # DEPENDENCYPART_ARC
(7,14),-1.2755 # DEPENDENCYPART_ARC
(7,15),-2.15545 # DEPENDENCYPART_ARC
(7,16),-2.10393 # DEPENDENCYPART_ARC
(7,17),-0.652026 # DEPENDENCYPART_ARC
(7,18),-1.8159 # DEPENDENCYPART_ARC
(7,19),-2.81425 # DEPENDENCYPART_ARC
(7,20),-1.90185 # DEPENDENCYPART_ARC
(7,21),-2.50909 # DEPENDENCYPART_ARC
(7,22),-2.90731 # DEPENDENCYPART_ARC
(7,23),-0.912132 # DEPENDENCYPART_ARC
(8,1),1.39656 # DEPENDENCYPART_ARC
(8,2),1.07561 # DEPENDENCYPART_ARC
(8,3),-0.58136 # DEPENDENCYPART_ARC
(8,4),0.526604 # DEPENDENCYPART_ARC
(8,5),2.02012 # DEPENDENCYPART_ARC
(8,6),3.25057 # DEPENDENCYPART_ARC
(8,7),2.98645 # DEPENDENCYPART_ARC
(8,9),2.64439 # DEPENDENCYPART_ARC
(8,10),1.32792 # DEPENDENCYPART_ARC
(8,11),1.64223 # DEPENDENCYPART_ARC
(8,12),1.09981 # DEPENDENCYPART_ARC
(8,13),0.719651 # DEPENDENCYPART_ARC
(8,14),0.424657 # DEPENDENCYPART_ARC
(8,15),-1.27511 # DEPENDENCYPART_ARC
(8,16),-0.965263 # DEPENDENCYPART_ARC
(8,17),-0.0483691 # DEPENDENCYPART_ARC
(8,18),-2.15717 # DEPENDENCYPART_ARC
(8,19),-2.15768 # DEPENDENCYPART_ARC
(8,20),-1.55214 # DEPENDENCYPART_ARC
(8,21),-2.30661 # DEPENDENCYPART_ARC
(8,22),-2.57924 # DEPENDENCYPART_ARC
(8,23),1.90549 # DEPENDENCYPART_ARC
(9,1),-0.66081 # DEPENDENCYPART_ARC
(9,2),-0.842747 # DEPENDENCYPART_ARC
(9,3),-0.363052 # DEPENDENCYPART_ARC
(9,4),-0.024907 # DEPENDENCYPART_ARC
(9,5),0.189747 # DEPENDENCYPART_ARC
(9,6),0.65628 # DEPENDENCYPART_ARC
(9,7),0.383527 # DEPENDENCYPART_ARC
(9,8),1.10459 # DEPENDENCYPART_ARC
(9,10),4.49561 # DEPENDENCYPART_ARC
(9,11),0.979146 # DEPENDENCYPART_ARC
(9,12),0.958866 # DEPENDENCYPART_ARC
(9,13),0.925148 # DEPENDENCYPART_ARC
(9,14),0.241221 # DEPENDENCYPART_ARC
(9,15),-1.61182 # DEPENDENCYPART_ARC
(9,16),-1.25075 # DEPENDENCYPART_ARC
(9,17),0.578543 # DEPENDENCYPART_ARC
(9,18),-1.0762 # DEPENDENCYPART_ARC
(9,19),-2.23567 # DEPENDENCYPART_ARC
(9,20),-1.03626 # DEPENDENCYPART_ARC
(9,21),-2.14716 # DEPENDENCYPART_ARC
(9,22),-3.53582 # DEPENDENCYPART_ARC
(9,23),0.464105 # DEPENDENCYPART_ARC
(10,1),-0.399036 # DEPENDENCYPART_ARC
(10,2),-0.672966 # DEPENDENCYPART_ARC
(10,3),-0.636526 # DEPENDENCYPART_ARC
(10,4),-0.0482535 # DEPENDENCYPART_ARC
(10,5),-0.0539108 # DEPENDENCYPART_ARC
(10,6),1.49653 # DEPENDENCYPART_ARC
(10,7),0.605137 # DEPENDENCYPART_ARC
(10,8),0.471147 # DEPENDENCYPART_ARC
(10,9),1.2892 # DEPENDENCYPART_ARC
(10,11),3.82041 # DEPENDENCYPART_ARC
(10,12),0.0827855 # DEPENDENCYPART_ARC
(10,13),0.382973 # DEPENDENCYPART_ARC
(10,14),0.273595 # DEPENDENCYPART_ARC
(10,15),-0.330093 # DEPENDENCYPART_ARC
(10,16),-0.541787 # DEPENDENCYPART_ARC
(10,17),-0.638337 # DEPENDENCYPART_ARC
(10,18),-0.588859 # DEPENDENCYPART_ARC
(10,19),-1.42027 # DEPENDENCYPART_ARC
(10,20),-0.946595 # DEPENDENCYPART_ARC
(10,21),-1.94539 # DEPENDENCYPART_ARC
(10,22),-1.92326 # DEPENDENCYPART_ARC
(10,23),-1.08343 # DEPENDENCYPART_ARC
(11,1),-0.728286 # DEPENDENCYPART_ARC
(11,2),-0.404261 # DEPENDENCYPART_ARC
(11,3),-0.534441 # DEPENDENCYPART_ARC
(11,4),-0.175498 # DEPENDENCYPART_ARC
(11,5),-0.125076 # DEPENDENCYPART_ARC
(11,6),1.30858 # DEPENDENCYPART_ARC
(11,7),-0.095222 # DEPENDENCYPART_ARC
(11,8),0.174787 # DEPENDENCYPART_ARC
(11,9),0.401658 # DEPENDENCYPART_ARC
(11,10),0.623749 # DEPENDENCYPART_ARC
(11,12),0.937018 # DEPENDENCYPART_ARC
(11,13),1.02062 # DEPENDENCYPART_ARC
(11,14),0.0230186 # DEPENDENCYPART_ARC
(11,15),-0.135769 # DEPENDENCYPART_ARC
(11,16),0.157945 # DEPENDENCYPART_ARC
(11,17),-0.0280906 # DEPENDENCYPART_ARC
(11,18),-0.611919 # DEPENDENCYPART_ARC
(11,19),-0.883614 # DEPENDENCYPART_ARC
(11,20),-0.615388 # DEPENDENCYPART_ARC
(11,21),-1.56257 # DEPENDENCYPART_ARC
(11,22),-1.49471 # DEPENDENCYPART_ARC
(11,23),-0.604568 # DEPENDENCYPART_ARC
(12,1),-1.68552 # DEPENDENCYPART_ARC
(12,2),-2.09181 # DEPENDENCYPART_ARC
(12,3),-1.79897 # DEPENDENCYPART_ARC
(12,4),-1.30474 # DEPENDENCYPART_ARC
(12,5),-1.75697 # DEPENDENCYPART_ARC
(12,6),-0.931151 # DEPENDENCYPART_ARC
(12,7),-1.88469 # DEPENDENCYPART_ARC
(12,8),-1.36966 # DEPENDENCYPART_ARC
(12,9),-0.770288 # DEPENDENCYPART_ARC
(12,10),-0.977199 # DEPENDENCYPART_ARC
(12,11),-0.154259 # DEPENDENCYPART_ARC
(12,13),0.468913 # DEPENDENCYPART_ARC
(12,14),0.057829 # DEPENDENCYPART_ARC
(12,15),-0.539653 # DEPENDENCYPART_ARC
(12,16),-0.835978 # DEPENDENCYPART_ARC
(12,17),0.472099 # DEPENDENCYPART_ARC
(12,18),-1.47605 # DEPENDENCYPART_ARC
(12,19),-1.86083 # DEPENDENCYPART_ARC
(12,20),-1.12795 # DEPENDENCYPART_ARC
(12,21),-1.7321 # DEPENDENCYPART_ARC
(12,22),-1.87015 # DEPENDENCYPART_ARC
(12,23),-1.05999 # DEPENDENCYPART_ARC
(13,1),0.4825 # DEPENDENCYPART_ARC
(13,2),-2.11958 # DEPENDENCYPART_ARC
(13,3),-1.45449 # DEPENDENCYPART_ARC
(13,4),-1.07327 # DEPENDENCYPART_ARC
(13,5),-2.03284 # DEPENDENCYPART_ARC
(13,6),-1.09163 # DEPENDENCYPART_ARC
(13,7),-1.71398 # DEPENDENCYPART_ARC
(13,8),-1.17282 # DEPENDENCYPART_ARC
(13,9),-1.09822 # DEPENDENCYPART_ARC
(13,10),-0.754143 # DEPENDENCYPART_ARC
(13,11),-0.691422 # DEPENDENCYPART_ARC
(13,12),0.49162 # DEPENDENCYPART_ARC
(13,14),0.0904915 # DEPENDENCYPART_ARC
(13,15),-0.949462 # DEPENDENCYPART_ARC
(13,16),-1.31474 # DEPENDENCYPART_ARC
(13,17),-1.08438 # DEPENDENCYPART_ARC
(13,18),-1.95488 # DEPENDENCYPART_ARC
(13,19),-1.88857 # DEPENDENCYPART_ARC
(13,20),-1.77958 # DEPENDENCYPART_ARC
(13,21),-2.35033 # DEPENDENCYPART_ARC
(13,22),-2.49469 # DEPENDENCYPART_ARC
(13,23),-1.60023 # DEPENDENCYPART_ARC
(14,1),4.28839 # DEPENDENCYPART_ARC
(14,2),-1.05778 # DEPENDENCYPART_ARC
(14,3),1.83394 # DEPENDENCYPART_ARC
(14,4),-0.628171 # DEPENDENCYPART_ARC
(14,5),-0.6688 # DEPENDENCYPART_ARC
(14,6),0.774058 # DEPENDENCYPART_ARC
(14,7),-0.677171 # DEPENDENCYPART_ARC
(14,8),0.939823 # DEPENDENCYPART_ARC
(14,9),-0.694896 # DEPENDENCYPART_ARC
(14,10),0.121595 # DEPENDENCYPART_ARC
(14,11),0.417145 # DEPENDENCYPART_ARC
(14,12),3.23507 # DEPENDENCYPART_ARC
(14,13),3.67466 # DEPENDENCYPART_ARC
(14,15),1.19802 # DEPENDENCYPART_ARC
(14,16),2.58454 # DEPENDENCYPART_ARC
(14,17),1.47933 # DEPENDENCYPART_ARC
(14,18),0.275561 # DEPENDENCYPART_ARC
(14,19),0.53377 # DEPENDENCYPART_ARC
(14,20),0.666057 # DEPENDENCYPART_ARC
(14,21),-1.44341 # DEPENDENCYPART_ARC
(14,22),-0.524739 # DEPENDENCYPART_ARC
(14,23),6.96524 # DEPENDENCYPART_ARC
(15,1),-3.21365 # DEPENDENCYPART_ARC
(15,2),-3.58962 # DEPENDENCYPART_ARC
(15,3),-3.55139 # DEPENDENCYPART_ARC
(15,4),-3.26179 # DEPENDENCYPART_ARC
(15,5),-3.9431 # DEPENDENCYPART_ARC
(15,6),-3.33715 # DEPENDENCYPART_ARC
(15,7),-2.9089 # DEPENDENCYPART_ARC
(15,8),-2.94375 # DEPENDENCYPART_ARC
(15,9),-2.90919 # DEPENDENCYPART_ARC
(15,10),-1.73742 # DEPENDENCYPART_ARC
(15,11),-1.50353 # DEPENDENCYPART_ARC
(15,12),-1.31738 # DEPENDENCYPART_ARC
(15,13),-0.788344 # DEPENDENCYPART_ARC
(15,14),-0.451492 # DEPENDENCYPART_ARC
(15,16),1.74954 # DEPENDENCYPART_ARC
(15,17),0.626097 # DEPENDENCYPART_ARC
(15,18),0.176923 # DEPENDENCYPART_ARC
(15,19),1.02527 # DEPENDENCYPART_ARC
(15,20),-0.323838 # DEPENDENCYPART_ARC
(15,21),-0.560947 # DEPENDENCYPART_ARC
(15,22),-1.31343 # DEPENDENCYPART_ARC
(15,23),0.408211 # DEPENDENCYPART_ARC
(16,1),-1.0143 # DEPENDENCYPART_ARC
(16,2),-1.69419 # DEPENDENCYPART_ARC
(16,3),-1.93121 # DEPENDENCYPART_ARC
(16,4),-1.01909 # DEPENDENCYPART_ARC
(16,5),-2.65242 # DEPENDENCYPART_ARC
(16,6),-1.5806 # DEPENDENCYPART_ARC
(16,7),-0.948688 # DEPENDENCYPART_ARC
(16,8),-1.29936 # DEPENDENCYPART_ARC
(16,9),-1.15969 # DEPENDENCYPART_ARC
(16,10),-0.357528 # DEPENDENCYPART_ARC
(16,11),0.560658 # DEPENDENCYPART_ARC
(16,12),0.370813 # DEPENDENCYPART_ARC
(16,13),0.615317 # DEPENDENCYPART_ARC
(16,14),0.774246 # DEPENDENCYPART_ARC
(16,15),5.42777 # DEPENDENCYPART_ARC
(16,17),3.36829 # DEPENDENCYPART_ARC
(16,18),1.77733 # DEPENDENCYPART_ARC
(16,19),3.00364 # DEPENDENCYPART_ARC
(16,20),1.39497 # DEPENDENCYPART_ARC
(16,21),0.361363 # DEPENDENCYPART_ARC
(16,22),0.377522 # DEPENDENCYPART_ARC
(16,23),1.08303 # DEPENDENCYPART_ARC
(17,1),-2.68463 # DEPENDENCYPART_ARC
(17,2),-3.10338 # DEPENDENCYPART_ARC
(17,3),-2.80561 # DEPENDENCYPART_ARC
(17,4),-2.44411 # DEPENDENCYPART_ARC
(17,5),-2.81723 # DEPENDENCYPART_ARC
(17,6),-2.03991 # DEPENDENCYPART_ARC
(17,7),-2.89112 # DEPENDENCYPART_ARC
(17,8),-2.28309 # DEPENDENCYPART_ARC
(17,9),-1.79264 # DEPENDENCYPART_ARC
(17,10),-2.05688 # DEPENDENCYPART_ARC
(17,11),-1.50765 # DEPENDENCYPART_ARC
(17,12),-0.933399 # DEPENDENCYPART_ARC
(17,13),-1.72378 # DEPENDENCYPART_ARC
(17,14),-1.46266 # DEPENDENCYPART_ARC
(17,15),-1.83646 # DEPENDENCYPART_ARC
(17,16),-1.28317 # DEPENDENCYPART_ARC
(17,18),-0.590595 # DEPENDENCYPART_ARC
(17,19),-1.45117 # DEPENDENCYPART_ARC
(17,20),-1.2992 # DEPENDENCYPART_ARC
(17,21),-2.02082 # DEPENDENCYPART_ARC
(17,22),-1.77342 # DEPENDENCYPART_ARC
(17,23),-1.53732 # DEPENDENCYPART_ARC
(18,1),-2.24708 # DEPENDENCYPART_ARC
(18,2),-2.74308 # DEPENDENCYPART_ARC
(18,3),-2.34897 # DEPENDENCYPART_ARC
(18,4),-1.17986 # DEPENDENCYPART_ARC
(18,5),-2.28266 # DEPENDENCYPART_ARC
(18,6),-1.15809 # DEPENDENCYPART_ARC
(18,7),-2.22874 # DEPENDENCYPART_ARC
(18,8),-1.63221 # DEPENDENCYPART_ARC
(18,9),-1.15033 # DEPENDENCYPART_ARC
(18,10),-1.26727 # DEPENDENCYPART_ARC
(18,11),-1.40714 # DEPENDENCYPART_ARC
(18,12),-0.788947 # DEPENDENCYPART_ARC
(18,13),-0.654504 # DEPENDENCYPART_ARC
(18,14),-1.14253 # DEPENDENCYPART_ARC
(18,15),1.37831 # DEPENDENCYPART_ARC
(18,16),0.864393 # DEPENDENCYPART_ARC
(18,17),1.3304 # DEPENDENCYPART_ARC
(18,19),1.24651 # DEPENDENCYPART_ARC
(18,20),0.575536 # DEPENDENCYPART_ARC
(18,21),-1.0436 # DEPENDENCYPART_ARC
(18,22),-0.524912 # DEPENDENCYPART_ARC
(18,23),-0.63111 # DEPENDENCYPART_ARC
(19,1),-0.615015 # DEPENDENCYPART_ARC
(19,2),-0.948905 # DEPENDENCYPART_ARC
(19,3),-1.51122 # DEPENDENCYPART_ARC
(19,4),0.489484 # DEPENDENCYPART_ARC
(19,5),-2.17874 # DEPENDENCYPART_ARC
(19,6),-0.555461 # DEPENDENCYPART_ARC
(19,7),-2.55099 # DEPENDENCYPART_ARC
(19,8),-1.16041 # DEPENDENCYPART_ARC
(19,9),-1.16572 # DEPENDENCYPART_ARC
(19,10),-0.223944 # DEPENDENCYPART_ARC
(19,11),0.32977 # DEPENDENCYPART_ARC
(19,12),0.245594 # DEPENDENCYPART_ARC
(19,13),0.540547 # DEPENDENCYPART_ARC
(19,14),0.041166 # DEPENDENCYPART_ARC
(19,15),2.08159 # DEPENDENCYPART_ARC
(19,16),0.88453 # DEPENDENCYPART_ARC
(19,17),1.23081 # DEPENDENCYPART_ARC
(19,18),4.33552 # DEPENDENCYPART_ARC
(19,20),3.19928 # DEPENDENCYPART_ARC
(19,21),0.295172 # DEPENDENCYPART_ARC
(19,22),0.517679 # DEPENDENCYPART_ARC
(19,23),0.452982 # DEPENDENCYPART_ARC
(20,1),-1.80285 # DEPENDENCYPART_ARC
(20,2),-2.8847 # DEPENDENCYPART_ARC
(20,3),-2.41582 # DEPENDENCYPART_ARC
(20,4),-2.73176 # DEPENDENCYPART_ARC
(20,5),-2.80317 # DEPENDENCYPART_ARC
(20,6),0.057441 # DEPENDENCYPART_ARC
(20,7),-2.28978 # DEPENDENCYPART_ARC
(20,8),-1.7654 # DEPENDENCYPART_ARC
(20,9),-1.96089 # DEPENDENCYPART_ARC
(20,10),-1.57264 # DEPENDENCYPART_ARC
(20,11),-1.53103 # DEPENDENCYPART_ARC
(20,12),-1.44434 # DEPENDENCYPART_ARC
(20,13),-1.48441 # DEPENDENCYPART_ARC
(20,14),-1.2604 # DEPENDENCYPART_ARC
(20,15),-0.907375 # DEPENDENCYPART_ARC
(20,16),-0.88637 # DEPENDENCYPART_ARC
(20,17),-0.60477 # DEPENDENCYPART_ARC
(20,18),-0.633084 # DEPENDENCYPART_ARC
(20,19),-0.047056 # DEPENDENCYPART_ARC
(20,21),0.501737 # DEPENDENCYPART_ARC
(20,22),2.67749 # DEPENDENCYPART_ARC
(20,23),-0.254639 # DEPENDENCYPART_ARC
(21,1),-4.33128 # DEPENDENCYPART_ARC
(21,2),-3.66883 # DEPENDENCYPART_ARC
(21,3),-3.91715 # DEPENDENCYPART_ARC
(21,4),-3.48937 # DEPENDENCYPART_ARC
(21,5),-4.16688 # DEPENDENCYPART_ARC
(21,6),-3.02 # DEPENDENCYPART_ARC
(21,7),-3.67413 # DEPENDENCYPART_ARC
(21,8),-3.39619 # DEPENDENCYPART_ARC
(21,9),-3.17739 # DEPENDENCYPART_ARC
(21,10),-2.95065 # DEPENDENCYPART_ARC
(21,11),-3.01965 # DEPENDENCYPART_ARC
(21,12),-2.8362 # DEPENDENCYPART_ARC
(21,13),-3.06699 # DEPENDENCYPART_ARC
(21,14),-2.64089 # DEPENDENCYPART_ARC
(21,15),-2.5757 # DEPENDENCYPART_ARC
(21,16),-2.42788 # DEPENDENCYPART_ARC
(21,17),-1.97793 # DEPENDENCYPART_ARC
(21,18),-1.6778 # DEPENDENCYPART_ARC
(21,19),-2.06271 # DEPENDENCYPART_ARC
(21,20),-0.850075 # DEPENDENCYPART_ARC
(21,22),-0.686666 # DEPENDENCYPART_ARC
(21,23),-1.53989 # DEPENDENCYPART_ARC
(22,1),-2.6034 # DEPENDENCYPART_ARC
(22,2),-2.98916 # DEPENDENCYPART_ARC
(22,3),-3.03372 # DEPENDENCYPART_ARC
(22,4),-2.63769 # DEPENDENCYPART_ARC
(22,5),-4.45731 # DEPENDENCYPART_ARC
(22,6),-3.5505 # DEPENDENCYPART_ARC
(22,7),-2.67565 # DEPENDENCYPART_ARC
(22,8),-2.91276 # DEPENDENCYPART_ARC
(22,9),-2.83782 # DEPENDENCYPART_ARC
(22,10),-2.171 # DEPENDENCYPART_ARC
(22,11),-1.78613 # DEPENDENCYPART_ARC
(22,12),-1.67245 # DEPENDENCYPART_ARC
(22,13),-1.6863 # DEPENDENCYPART_ARC
(22,14),-1.93082 # DEPENDENCYPART_ARC
(22,15),-0.575933 # DEPENDENCYPART_ARC
(22,16),-1.34766 # DEPENDENCYPART_ARC
(22,17),0.1875 # DEPENDENCYPART_ARC
(22,18),0.744854 # DEPENDENCYPART_ARC
(22,19),-0.0935942 # DEPENDENCYPART_ARC
(22,20),0.933485 # DEPENDENCYPART_ARC
(22,21),4.03041 # DEPENDENCYPART_ARC
(22,23),0.869437 # DEPENDENCYPART_ARC
(23,1),-2.0222 # DEPENDENCYPART_ARC
(23,2),-0.888658 # DEPENDENCYPART_ARC
(23,3),-2.27155 # DEPENDENCYPART_ARC
(23,4),-2.22739 # DEPENDENCYPART_ARC
(23,5),-2.07954 # DEPENDENCYPART_ARC
