# _root_ Telephone service has been improved for customers trying to reach their brokers , and specialists -- who I believe should stay , despite the urgings of some post-crash critics -- have larger capital positions .
#goldHeads=2,3,0,3,4,2,6,7,8,9,12,10,3,3,31,15,20,19,15,19,20,19,19,25,23,25,29,29,26,15,14,34,34,31,3,
#predictedHeads=2,3,0,3,4,5,6,7,8,9,12,10,3,3,14,15,19,19,15,19,20,21,21,25,23,25,29,29,26,31,29,34,34,31,3,
(3,6),0.256937 # DEPENDENCYPART_ARC
(3,7),-0.87332 # DEPENDENCYPART_ARC
(3,8),0.476925 # DEPENDENCYPART_ARC
(3,9),-0.273102 # DEPENDENCYPART_ARC
(3,10),-0.891533 # DEPENDENCYPART_ARC
(3,11),-1.32736 # DEPENDENCYPART_ARC
(3,12),-2.05248 # DEPENDENCYPART_ARC
(3,13),2.28261 # DEPENDENCYPART_ARC
(3,14),2.06035 # DEPENDENCYPART_ARC
(3,15),-3.06865 # DEPENDENCYPART_ARC
(3,16),0.758806 # DEPENDENCYPART_ARC
(3,17),-2.01752 # DEPENDENCYPART_ARC
(3,18),-1.49913 # DEPENDENCYPART_ARC
(3,19),0.4 # DEPENDENCYPART_ARC
(3,20),0.092563 # DEPENDENCYPART_ARC
(3,21),-2.2912 # DEPENDENCYPART_ARC
(3,22),-0.840876 # DEPENDENCYPART_ARC
(3,23),-1.03806 # DEPENDENCYPART_ARC
(3,24),-3.55761 # DEPENDENCYPART_ARC
(3,25),-4.88168 # DEPENDENCYPART_ARC
(3,26),-3.50938 # DEPENDENCYPART_ARC
(3,27),-3.87067 # DEPENDENCYPART_ARC
(3,28),-4.82758 # DEPENDENCYPART_ARC
(3,29),-5.52706 # DEPENDENCYPART_ARC
(3,30),-1.28857 # DEPENDENCYPART_ARC
(3,31),-3.8935 # DEPENDENCYPART_ARC
(3,32),-3.66537 # DEPENDENCYPART_ARC
(3,33),-6.95216 # DEPENDENCYPART_ARC
(3,34),-6.126 # DEPENDENCYPART_ARC
(3,35),5.30198 # DEPENDENCYPART_ARC
(4,1),0.759354 # DEPENDENCYPART_ARC
(4,2),0.260708 # DEPENDENCYPART_ARC
(4,3),1.2214 # DEPENDENCYPART_ARC
(4,5),4.15695 # DEPENDENCYPART_ARC
(4,6),1.36096 # DEPENDENCYPART_ARC
(4,7),0.668646 # DEPENDENCYPART_ARC
(4,8),1.15185 # DEPENDENCYPART_ARC
(4,9),0.391579 # DEPENDENCYPART_ARC
(4,10),0.00328193 # DEPENDENCYPART_ARC
(4,11),-1.01688 # DEPENDENCYPART_ARC
(4,12),-0.458813 # DEPENDENCYPART_ARC
(4,13),-0.765976 # DEPENDENCYPART_ARC
(4,14),-0.864037 # DEPENDENCYPART_ARC
(4,15),-1.61073 # DEPENDENCYPART_ARC
(4,16),0.417293 # DEPENDENCYPART_ARC
(4,17),-1.5909 # DEPENDENCYPART_ARC
(4,18),-0.721501 # DEPENDENCYPART_ARC
(4,19),-0.372284 # DEPENDENCYPART_ARC
(4,20),-0.801973 # DEPENDENCYPART_ARC
(4,21),-0.885098 # DEPENDENCYPART_ARC
(4,22),-2.30531 # DEPENDENCYPART_ARC
(4,23),-0.828249 # DEPENDENCYPART_ARC
(4,24),-2.34535 # DEPENDENCYPART_ARC
(4,25),-3.34237 # DEPENDENCYPART_ARC
(4,26),-3.48301 # DEPENDENCYPART_ARC
(4,27),-2.38152 # DEPENDENCYPART_ARC
(4,28),-3.1987 # DEPENDENCYPART_ARC
(4,29),-4.30618 # DEPENDENCYPART_ARC
(4,30),-0.720263 # DEPENDENCYPART_ARC
(4,31),-2.13562 # DEPENDENCYPART_ARC
(4,32),-2.76097 # DEPENDENCYPART_ARC
(4,33),-5.46534 # DEPENDENCYPART_ARC
(4,34),-4.5946 # DEPENDENCYPART_ARC
(4,35),0.721861 # DEPENDENCYPART_ARC
(5,1),0.59657 # DEPENDENCYPART_ARC
(5,2),0.599698 # DEPENDENCYPART_ARC
(5,3),0.108503 # DEPENDENCYPART_ARC
(5,4),0.911544 # DEPENDENCYPART_ARC
(5,6),2.66012 # DEPENDENCYPART_ARC
(5,7),0.449924 # DEPENDENCYPART_ARC
(5,8),1.15301 # DEPENDENCYPART_ARC
(5,9),1.27778 # DEPENDENCYPART_ARC
(5,10),0.110679 # DEPENDENCYPART_ARC
(5,11),-1.06299 # DEPENDENCYPART_ARC
(5,12),-0.805591 # DEPENDENCYPART_ARC
(5,13),0.164815 # DEPENDENCYPART_ARC
(5,14),-0.297041 # DEPENDENCYPART_ARC
(5,15),-1.85216 # DEPENDENCYPART_ARC
(5,16),0.394713 # DEPENDENCYPART_ARC
(5,17),-1.67713 # DEPENDENCYPART_ARC
(5,18),-0.896662 # DEPENDENCYPART_ARC
(5,19),-0.324254 # DEPENDENCYPART_ARC
(5,20),-0.960884 # DEPENDENCYPART_ARC
(5,21),-0.916398 # DEPENDENCYPART_ARC
(5,22),-0.790573 # DEPENDENCYPART_ARC
(5,23),-1.12006 # DEPENDENCYPART_ARC
(5,24),-2.34704 # DEPENDENCYPART_ARC
(5,25),-3.56083 # DEPENDENCYPART_ARC
(5,26),-3.96436 # DEPENDENCYPART_ARC
(5,27),-2.37972 # DEPENDENCYPART_ARC
(5,28),-2.99024 # DEPENDENCYPART_ARC
(5,29),-4.70128 # DEPENDENCYPART_ARC
(5,30),-0.58967 # DEPENDENCYPART_ARC
(5,31),-2.10095 # DEPENDENCYPART_ARC
(5,32),-3.1442 # DEPENDENCYPART_ARC
(5,33),-5.73918 # DEPENDENCYPART_ARC
(5,34),-5.16846 # DEPENDENCYPART_ARC
(5,35),0.395099 # DEPENDENCYPART_ARC
(6,1),-1.28441 # DEPENDENCYPART_ARC
(6,2),-1.33042 # DEPENDENCYPART_ARC
(6,3),-0.380983 # DEPENDENCYPART_ARC
(6,4),-0.221824 # DEPENDENCYPART_ARC
(6,5),0.595393 # DEPENDENCYPART_ARC
(6,7),3.16027 # DEPENDENCYPART_ARC
(6,8),1.3988 # DEPENDENCYPART_ARC
(6,9),2.27269 # DEPENDENCYPART_ARC
(6,10),0.555173 # DEPENDENCYPART_ARC
(6,11),-0.619849 # DEPENDENCYPART_ARC
(6,12),-0.53024 # DEPENDENCYPART_ARC
(6,13),1.14473 # DEPENDENCYPART_ARC
(6,14),0.260548 # DEPENDENCYPART_ARC
(6,15),-2.30421 # DEPENDENCYPART_ARC
(6,16),0.798992 # DEPENDENCYPART_ARC
(6,17),-1.61885 # DEPENDENCYPART_ARC
(6,18),-1.97961 # DEPENDENCYPART_ARC
(6,19),-1.29421 # DEPENDENCYPART_ARC
(6,20),-1.43321 # DEPENDENCYPART_ARC
(6,21),-0.911819 # DEPENDENCYPART_ARC
(6,22),-0.372934 # DEPENDENCYPART_ARC
(6,23),-1.15776 # DEPENDENCYPART_ARC
(6,24),-3.54891 # DEPENDENCYPART_ARC
(6,25),-8.27541 # DEPENDENCYPART_ARC
(6,26),-1.65005 # DEPENDENCYPART_ARC
(6,27),-3.62278 # DEPENDENCYPART_ARC
(6,28),-3.5756 # DEPENDENCYPART_ARC
(6,29),-10.7786 # DEPENDENCYPART_ARC
(6,30),-1.17815 # DEPENDENCYPART_ARC
(6,31),-3.519 # DEPENDENCYPART_ARC
(6,32),-3.24048 # DEPENDENCYPART_ARC
(6,33),-13.5908 # DEPENDENCYPART_ARC
(6,34),-12.567 # DEPENDENCYPART_ARC
(6,35),1.26481 # DEPENDENCYPART_ARC
(7,1),-1.83665 # DEPENDENCYPART_ARC
(7,2),-2.58019 # DEPENDENCYPART_ARC
(7,3),-2.17443 # DEPENDENCYPART_ARC
(7,4),-0.827261 # DEPENDENCYPART_ARC
(7,5),-0.113082 # DEPENDENCYPART_ARC
(7,6),-0.259851 # DEPENDENCYPART_ARC
(7,8),2.78163 # DEPENDENCYPART_ARC
(7,9),0.8997 # DEPENDENCYPART_ARC
(7,10),0.55961 # DEPENDENCYPART_ARC
(7,11),-0.356952 # DEPENDENCYPART_ARC
(7,12),0.563924 # DEPENDENCYPART_ARC
(7,13),0.50108 # DEPENDENCYPART_ARC
(7,14),0.864764 # DEPENDENCYPART_ARC
(7,15),-0.62564 # DEPENDENCYPART_ARC
(7,16),1.33002 # DEPENDENCYPART_ARC
(7,17),-1.75491 # DEPENDENCYPART_ARC
(7,18),-0.983181 # DEPENDENCYPART_ARC
(7,19),0.0717687 # DEPENDENCYPART_ARC
(7,20),-0.513103 # DEPENDENCYPART_ARC
(7,21),-0.575641 # DEPENDENCYPART_ARC
(7,22),-0.38065 # DEPENDENCYPART_ARC
(7,23),-1.72142 # DEPENDENCYPART_ARC
(7,24),-1.60237 # DEPENDENCYPART_ARC
(7,25),-1.67129 # DEPENDENCYPART_ARC
(7,26),-2.86626 # DEPENDENCYPART_ARC
(7,27),-1.70138 # DEPENDENCYPART_ARC
(7,28),-1.33293 # DEPENDENCYPART_ARC
(7,29),-2.05909 # DEPENDENCYPART_ARC
(7,30),0.599248 # DEPENDENCYPART_ARC
(7,31),-1.21518 # DEPENDENCYPART_ARC
(7,32),-2.52472 # DEPENDENCYPART_ARC
(7,33),-2.04195 # DEPENDENCYPART_ARC
(7,34),-2.7237 # DEPENDENCYPART_ARC
(7,35),0.285195 # DEPENDENCYPART_ARC
(8,1),-0.116639 # DEPENDENCYPART_ARC
(8,2),-0.216056 # DEPENDENCYPART_ARC
(8,3),-0.442873 # DEPENDENCYPART_ARC
(8,4),0.185176 # DEPENDENCYPART_ARC
(8,5),0.591935 # DEPENDENCYPART_ARC
(8,6),0.601431 # DEPENDENCYPART_ARC
(8,7),2.29125 # DEPENDENCYPART_ARC
(8,9),4.20762 # DEPENDENCYPART_ARC
(8,10),1.48877 # DEPENDENCYPART_ARC
(8,11),0.0595767 # DEPENDENCYPART_ARC
(8,12),1.0272 # DEPENDENCYPART_ARC
(8,13),0.908638 # DEPENDENCYPART_ARC
(8,14),0.376812 # DEPENDENCYPART_ARC
(8,15),-0.960572 # DEPENDENCYPART_ARC
(8,16),0.342941 # DEPENDENCYPART_ARC
(8,17),-1.67826 # DEPENDENCYPART_ARC
(8,18),-0.313975 # DEPENDENCYPART_ARC
(8,19),0.211874 # DEPENDENCYPART_ARC
(8,20),-0.581036 # DEPENDENCYPART_ARC
(8,21),-0.985068 # DEPENDENCYPART_ARC
(8,22),0.120698 # DEPENDENCYPART_ARC
(8,23),-0.892609 # DEPENDENCYPART_ARC
(8,24),-1.99083 # DEPENDENCYPART_ARC
(8,25),-4.16415 # DEPENDENCYPART_ARC
(8,26),-2.45602 # DEPENDENCYPART_ARC
(8,27),-1.68605 # DEPENDENCYPART_ARC
(8,28),-2.48443 # DEPENDENCYPART_ARC
(8,29),-5.34436 # DEPENDENCYPART_ARC
(8,30),-0.779128 # DEPENDENCYPART_ARC
(8,31),-2.36241 # DEPENDENCYPART_ARC
(8,32),-2.1759 # DEPENDENCYPART_ARC
(8,33),-6.29243 # DEPENDENCYPART_ARC
(8,34),-6.23262 # DEPENDENCYPART_ARC
(8,35),-0.346131 # DEPENDENCYPART_ARC
(9,1),-0.566752 # DEPENDENCYPART_ARC
(9,2),-0.480215 # DEPENDENCYPART_ARC
(9,3),-0.735197 # DEPENDENCYPART_ARC
(9,4),-1.14504 # DEPENDENCYPART_ARC
(9,5),-0.919786 # DEPENDENCYPART_ARC
(9,6),-0.0345213 # DEPENDENCYPART_ARC
(9,7),0.890781 # DEPENDENCYPART_ARC
(9,8),0.385294 # DEPENDENCYPART_ARC
(9,10),4.19651 # DEPENDENCYPART_ARC
(9,11),0.498316 # DEPENDENCYPART_ARC
(9,12),1.44777 # DEPENDENCYPART_ARC
(9,13),1.31182 # DEPENDENCYPART_ARC
(9,14),0.559135 # DEPENDENCYPART_ARC
(9,15),-0.589847 # DEPENDENCYPART_ARC
(9,16),1.08451 # DEPENDENCYPART_ARC
(9,17),-1.04326 # DEPENDENCYPART_ARC
(9,18),-0.351099 # DEPENDENCYPART_ARC
(9,19),-0.366479 # DEPENDENCYPART_ARC
(9,20),-0.254337 # DEPENDENCYPART_ARC
(9,21),-1.04415 # DEPENDENCYPART_ARC
(9,22),-0.163588 # DEPENDENCYPART_ARC
(9,23),-0.306913 # DEPENDENCYPART_ARC
(9,24),-2.20941 # DEPENDENCYPART_ARC
(9,25),-5.04278 # DEPENDENCYPART_ARC
(9,26),-1.14875 # DEPENDENCYPART_ARC
(9,27),-1.92768 # DEPENDENCYPART_ARC
(9,28),-2.48453 # DEPENDENCYPART_ARC
(9,29),-6.68061 # DEPENDENCYPART_ARC
(9,30),-0.310701 # DEPENDENCYPART_ARC
(9,31),-3.32924 # DEPENDENCYPART_ARC
(9,32),-2.29361 # DEPENDENCYPART_ARC
(9,33),-9.27734 # DEPENDENCYPART_ARC
(9,34),-9.07434 # DEPENDENCYPART_ARC
(9,35),-0.195388 # DEPENDENCYPART_ARC
(10,1),-0.408333 # DEPENDENCYPART_ARC
(10,2),-0.426797 # DEPENDENCYPART_ARC
(10,3),-0.160912 # DEPENDENCYPART_ARC
(10,4),-0.342555 # DEPENDENCYPART_ARC
(10,5),-0.3003 # DEPENDENCYPART_ARC
(10,6),0.604917 # DEPENDENCYPART_ARC
(10,7),0.986337 # DEPENDENCYPART_ARC
(10,8),0.533681 # DEPENDENCYPART_ARC
(10,9),1.3631 # DEPENDENCYPART_ARC
(10,11),0.738907 # DEPENDENCYPART_ARC
(10,12),3.3912 # DEPENDENCYPART_ARC
(10,13),0.658635 # DEPENDENCYPART_ARC
(10,14),0.00903056 # DEPENDENCYPART_ARC
(10,15),0.681817 # DEPENDENCYPART_ARC
(10,16),1.16579 # DEPENDENCYPART_ARC
(10,17),-1.29912 # DEPENDENCYPART_ARC
(10,18),-0.106752 # DEPENDENCYPART_ARC
(10,19),0.956234 # DEPENDENCYPART_ARC
(10,20),0.27005 # DEPENDENCYPART_ARC
(10,21),0.112723 # DEPENDENCYPART_ARC
(10,22),-0.466451 # DEPENDENCYPART_ARC
(10,23),-0.24856 # DEPENDENCYPART_ARC
(10,24),-1.83202 # DEPENDENCYPART_ARC
(10,25),-2.41887 # DEPENDENCYPART_ARC
(10,26),-1.03523 # DEPENDENCYPART_ARC
(10,27),-1.6066 # DEPENDENCYPART_ARC
(10,28),-2.24453 # DEPENDENCYPART_ARC
(10,29),-4.17228 # DEPENDENCYPART_ARC
(10,30),0.424844 # DEPENDENCYPART_ARC
(10,31),-1.00263 # DEPENDENCYPART_ARC
(10,32),-2.38578 # DEPENDENCYPART_ARC
(10,33),-4.02841 # DEPENDENCYPART_ARC
(10,34),-4.93674 # DEPENDENCYPART_ARC
(10,35),0.614379 # DEPENDENCYPART_ARC
(11,1),-2.09273 # DEPENDENCYPART_ARC
(11,2),-2.00608 # DEPENDENCYPART_ARC
(11,3),-1.89755 # DEPENDENCYPART_ARC
(11,4),-1.72838 # DEPENDENCYPART_ARC
(11,5),-1.5871 # DEPENDENCYPART_ARC
(11,6),-1.32477 # DEPENDENCYPART_ARC
(11,7),-1.1479 # DEPENDENCYPART_ARC
(11,8),-0.91455 # DEPENDENCYPART_ARC
(11,9),-0.703109 # DEPENDENCYPART_ARC
(11,10),-0.0935928 # DEPENDENCYPART_ARC
(11,12),1.31796 # DEPENDENCYPART_ARC
(11,13),0.225144 # DEPENDENCYPART_ARC
(11,14),0.391262 # DEPENDENCYPART_ARC
(11,15),-0.0374225 # DEPENDENCYPART_ARC
(11,16),-0.156776 # DEPENDENCYPART_ARC
(11,17),-1.44427 # DEPENDENCYPART_ARC
(11,18),-0.900548 # DEPENDENCYPART_ARC
(11,19),-0.720265 # DEPENDENCYPART_ARC
(11,20),-0.803487 # DEPENDENCYPART_ARC
(11,21),-1.18954 # DEPENDENCYPART_ARC
(11,22),-0.631074 # DEPENDENCYPART_ARC
(11,23),-1.26179 # DEPENDENCYPART_ARC
(11,24),-1.83942 # DEPENDENCYPART_ARC
(11,25),-1.44564 # DEPENDENCYPART_ARC
(11,26),-1.52305 # DEPENDENCYPART_ARC
(11,27),-2.13318 # DEPENDENCYPART_ARC
(11,28),-2.01823 # DEPENDENCYPART_ARC
(11,29),-1.73048 # DEPENDENCYPART_ARC
(11,30),-1.19756 # DEPENDENCYPART_ARC
(11,31),-2.13688 # DEPENDENCYPART_ARC
(11,32),-2.32016 # DEPENDENCYPART_ARC
(11,33),-2.55252 # DEPENDENCYPART_ARC
(11,34),-2.20116 # DEPENDENCYPART_ARC
(11,35),-1.78601 # DEPENDENCYPART_ARC
(12,1),-2.76728 # DEPENDENCYPART_ARC
(12,2),-3.51785 # DEPENDENCYPART_ARC
(12,3),-1.61401 # DEPENDENCYPART_ARC
(12,4),-1.1549 # DEPENDENCYPART_ARC
(12,5),-1.19957 # DEPENDENCYPART_ARC
(12,6),-1.1264 # DEPENDENCYPART_ARC
(12,7),-0.260689 # DEPENDENCYPART_ARC
(12,8),-0.462623 # DEPENDENCYPART_ARC
(12,9),-0.32602 # DEPENDENCYPART_ARC
(12,10),0.853686 # DEPENDENCYPART_ARC
(12,11),4.31032 # DEPENDENCYPART_ARC
(12,13),1.04148 # DEPENDENCYPART_ARC
(12,14),1.03782 # DEPENDENCYPART_ARC
(12,15),0.14197 # DEPENDENCYPART_ARC
(12,16),0.650125 # DEPENDENCYPART_ARC
(12,17),-1.70297 # DEPENDENCYPART_ARC
(12,18),-0.849447 # DEPENDENCYPART_ARC
(12,19),0.505999 # DEPENDENCYPART_ARC
(12,20),-0.807887 # DEPENDENCYPART_ARC
(12,21),-0.719291 # DEPENDENCYPART_ARC
(12,22),0.11502 # DEPENDENCYPART_ARC
(12,23),-2.08613 # DEPENDENCYPART_ARC
(12,24),-1.56595 # DEPENDENCYPART_ARC
(12,25),-1.60618 # DEPENDENCYPART_ARC
(12,26),-2.74832 # DEPENDENCYPART_ARC
(12,27),-1.63321 # DEPENDENCYPART_ARC
(12,28),-1.46514 # DEPENDENCYPART_ARC
(12,29),-1.37302 # DEPENDENCYPART_ARC
(12,30),-0.125321 # DEPENDENCYPART_ARC
(12,31),-1.35646 # DEPENDENCYPART_ARC
(12,32),-2.2275 # DEPENDENCYPART_ARC
(12,33),-1.53815 # DEPENDENCYPART_ARC
(12,34),-2.25646 # DEPENDENCYPART_ARC
(12,35),0.639945 # DEPENDENCYPART_ARC
(13,1),-1.77908 # DEPENDENCYPART_ARC
(13,2),-1.83228 # DEPENDENCYPART_ARC
(13,3),-1.81337 # DEPENDENCYPART_ARC
(13,4),-1.37185 # DEPENDENCYPART_ARC
(13,5),-1.20503 # DEPENDENCYPART_ARC
(13,6),-1.32774 # DEPENDENCYPART_ARC
(13,7),-1.69317 # DEPENDENCYPART_ARC
(13,8),-1.26798 # DEPENDENCYPART_ARC
(13,9),-0.879646 # DEPENDENCYPART_ARC
(13,10),-0.921093 # DEPENDENCYPART_ARC
(13,11),-0.12443 # DEPENDENCYPART_ARC
(13,12),-0.798743 # DEPENDENCYPART_ARC
(13,14),0.133999 # DEPENDENCYPART_ARC
(13,15),-0.336658 # DEPENDENCYPART_ARC
(13,16),-0.0511491 # DEPENDENCYPART_ARC
(13,17),-1.62643 # DEPENDENCYPART_ARC
(13,18),-1.19256 # DEPENDENCYPART_ARC
(13,19),-1.0195 # DEPENDENCYPART_ARC
(13,20),-1.07582 # DEPENDENCYPART_ARC
(13,21),-1.11743 # DEPENDENCYPART_ARC
(13,22),0.936649 # DEPENDENCYPART_ARC
(13,23),-1.29662 # DEPENDENCYPART_ARC
(13,24),-1.8915 # DEPENDENCYPART_ARC
(13,25),-2.22452 # DEPENDENCYPART_ARC
(13,26),-1.58454 # DEPENDENCYPART_ARC
(13,27),-2.2312 # DEPENDENCYPART_ARC
(13,28),-2.37955 # DEPENDENCYPART_ARC
(13,29),-2.63957 # DEPENDENCYPART_ARC
(13,30),-1.28019 # DEPENDENCYPART_ARC
(13,31),-2.14166 # DEPENDENCYPART_ARC
(13,32),-2.5737 # DEPENDENCYPART_ARC
(13,33),-3.10516 # DEPENDENCYPART_ARC
(13,34),-3.06831 # DEPENDENCYPART_ARC
(13,35),-1.99713 # DEPENDENCYPART_ARC
(14,1),-1.67145 # DEPENDENCYPART_ARC
(14,2),-1.52951 # DEPENDENCYPART_ARC
(14,3),-1.45515 # DEPENDENCYPART_ARC
(14,4),-1.77844 # DEPENDENCYPART_ARC
(14,5),-1.69178 # DEPENDENCYPART_ARC
(14,6),-1.22102 # DEPENDENCYPART_ARC
(14,7),-1.14086 # DEPENDENCYPART_ARC
(14,8),-0.156694 # DEPENDENCYPART_ARC
(14,9),-1.25755 # DEPENDENCYPART_ARC
(14,10),-1.02586 # DEPENDENCYPART_ARC
(14,11),-0.0165514 # DEPENDENCYPART_ARC
(14,12),-0.581128 # DEPENDENCYPART_ARC
(14,13),-0.338166 # DEPENDENCYPART_ARC
(14,15),1.44545 # DEPENDENCYPART_ARC
(14,16),0.170448 # DEPENDENCYPART_ARC
(14,17),-1.23102 # DEPENDENCYPART_ARC
(14,18),-0.0618921 # DEPENDENCYPART_ARC
(14,19),1.51031 # DEPENDENCYPART_ARC
(14,20),1.13821 # DEPENDENCYPART_ARC
(14,21),-0.472466 # DEPENDENCYPART_ARC
(14,22),0.0936793 # DEPENDENCYPART_ARC
(14,23),-2.23909 # DEPENDENCYPART_ARC
(14,24),-2.24586 # DEPENDENCYPART_ARC
(14,25),-5.23358 # DEPENDENCYPART_ARC
(14,26),-2.67422 # DEPENDENCYPART_ARC
(14,27),-2.70418 # DEPENDENCYPART_ARC
(14,28),-3.04088 # DEPENDENCYPART_ARC
(14,29),-6.74037 # DEPENDENCYPART_ARC
(14,30),-1.36428 # DEPENDENCYPART_ARC
