# _root_ Concerning your Sept. 19 article `` Wall Street Firms Link Analysts ' Pay to Performance , '' I 'm delighted that Wall Street is finally tuning in to the hard , cold facts of the real working world .
#goldHeads=19,5,5,5,1,5,9,9,10,5,13,11,10,10,14,19,19,19,0,19,20,23,24,21,24,24,26,26,33,33,33,33,28,33,38,38,38,34,19,
#predictedHeads=10,5,5,5,1,5,9,9,11,0,13,11,10,13,14,10,19,19,10,19,20,23,24,21,24,24,26,26,33,33,33,33,28,33,38,38,38,34,10,
(1,7),0.601923 # DEPENDENCYPART_ARC
(1,8),0.780626 # DEPENDENCYPART_ARC
(1,9),0.866598 # DEPENDENCYPART_ARC
(1,10),0.748655 # DEPENDENCYPART_ARC
(1,11),0.446664 # DEPENDENCYPART_ARC
(1,12),-0.611891 # DEPENDENCYPART_ARC
(1,13),1.67553 # DEPENDENCYPART_ARC
(1,14),1.54213 # DEPENDENCYPART_ARC
(1,15),1.09829 # DEPENDENCYPART_ARC
(1,16),1.06282 # DEPENDENCYPART_ARC
(1,17),1.30969 # DEPENDENCYPART_ARC
(1,18),-0.328822 # DEPENDENCYPART_ARC
(1,19),-0.308574 # DEPENDENCYPART_ARC
(1,20),-0.393378 # DEPENDENCYPART_ARC
(1,21),-1.56546 # DEPENDENCYPART_ARC
(1,22),-1.65746 # DEPENDENCYPART_ARC
(1,23),-1.26655 # DEPENDENCYPART_ARC
(1,24),-1.29764 # DEPENDENCYPART_ARC
(1,25),-0.524975 # DEPENDENCYPART_ARC
(1,26),-0.502849 # DEPENDENCYPART_ARC
(1,27),-1.9448 # DEPENDENCYPART_ARC
(1,28),-1.2021 # DEPENDENCYPART_ARC
(1,29),-2.73574 # DEPENDENCYPART_ARC
(1,30),-1.49314 # DEPENDENCYPART_ARC
(1,31),-0.760566 # DEPENDENCYPART_ARC
(1,32),-1.75086 # DEPENDENCYPART_ARC
(1,33),-3.6847 # DEPENDENCYPART_ARC
(1,34),-4.45839 # DEPENDENCYPART_ARC
(1,35),-3.18378 # DEPENDENCYPART_ARC
(1,36),-2.52864 # DEPENDENCYPART_ARC
(1,37),-4.90475 # DEPENDENCYPART_ARC
(1,38),-4.40953 # DEPENDENCYPART_ARC
(1,39),0.0288534 # DEPENDENCYPART_ARC
(2,1),-0.375782 # DEPENDENCYPART_ARC
(2,3),0.516812 # DEPENDENCYPART_ARC
(2,4),0.112459 # DEPENDENCYPART_ARC
(2,5),-0.411825 # DEPENDENCYPART_ARC
(2,6),-0.623716 # DEPENDENCYPART_ARC
(2,7),-0.848568 # DEPENDENCYPART_ARC
(2,8),-1.2865 # DEPENDENCYPART_ARC
(2,9),-1.40073 # DEPENDENCYPART_ARC
(2,10),-0.892573 # DEPENDENCYPART_ARC
(2,11),-1.61586 # DEPENDENCYPART_ARC
(2,12),-1.60289 # DEPENDENCYPART_ARC
(2,13),-1.64618 # DEPENDENCYPART_ARC
(2,14),-1.28241 # DEPENDENCYPART_ARC
(2,15),-1.83045 # DEPENDENCYPART_ARC
(2,16),-1.15727 # DEPENDENCYPART_ARC
(2,17),-1.15272 # DEPENDENCYPART_ARC
(2,18),-1.9456 # DEPENDENCYPART_ARC
(2,19),-1.75675 # DEPENDENCYPART_ARC
(2,20),-2.05294 # DEPENDENCYPART_ARC
(2,21),-2.14768 # DEPENDENCYPART_ARC
(2,22),-2.753 # DEPENDENCYPART_ARC
(2,23),-2.84455 # DEPENDENCYPART_ARC
(2,24),-2.139 # DEPENDENCYPART_ARC
(2,25),-2.71659 # DEPENDENCYPART_ARC
(2,26),-2.6324 # DEPENDENCYPART_ARC
(2,27),-2.84803 # DEPENDENCYPART_ARC
(2,28),-2.8672 # DEPENDENCYPART_ARC
(2,29),-3.49679 # DEPENDENCYPART_ARC
(2,30),-3.42825 # DEPENDENCYPART_ARC
(2,31),-2.80939 # DEPENDENCYPART_ARC
(2,32),-3.43705 # DEPENDENCYPART_ARC
(2,33),-3.06489 # DEPENDENCYPART_ARC
(2,34),-3.83037 # DEPENDENCYPART_ARC
(2,35),-4.0113 # DEPENDENCYPART_ARC
(2,36),-3.98297 # DEPENDENCYPART_ARC
(2,37),-4.31232 # DEPENDENCYPART_ARC
(2,38),-4.16251 # DEPENDENCYPART_ARC
(2,39),-3.26577 # DEPENDENCYPART_ARC
(3,1),-0.870203 # DEPENDENCYPART_ARC
(3,2),0.992511 # DEPENDENCYPART_ARC
(3,4),2.64604 # DEPENDENCYPART_ARC
(3,5),0.763318 # DEPENDENCYPART_ARC
(3,6),0.417244 # DEPENDENCYPART_ARC
(3,7),0.0887283 # DEPENDENCYPART_ARC
(3,8),0.145314 # DEPENDENCYPART_ARC
(3,9),0.126765 # DEPENDENCYPART_ARC
(3,10),-0.237038 # DEPENDENCYPART_ARC
(3,11),-0.95264 # DEPENDENCYPART_ARC
(3,12),-0.37851 # DEPENDENCYPART_ARC
(3,13),-0.751897 # DEPENDENCYPART_ARC
(3,14),-1.21457 # DEPENDENCYPART_ARC
(3,15),-1.5216 # DEPENDENCYPART_ARC
(3,16),-0.296697 # DEPENDENCYPART_ARC
(3,17),0.269713 # DEPENDENCYPART_ARC
(3,18),-1.50252 # DEPENDENCYPART_ARC
(3,19),-0.854969 # DEPENDENCYPART_ARC
(3,20),-1.5166 # DEPENDENCYPART_ARC
(3,21),-2.83014 # DEPENDENCYPART_ARC
(3,22),-2.64389 # DEPENDENCYPART_ARC
(3,23),-2.08042 # DEPENDENCYPART_ARC
(3,24),-1.96823 # DEPENDENCYPART_ARC
(3,25),-2.35775 # DEPENDENCYPART_ARC
(3,26),-2.3106 # DEPENDENCYPART_ARC
(3,27),-2.95063 # DEPENDENCYPART_ARC
(3,28),-2.95554 # DEPENDENCYPART_ARC
(3,29),-1.93804 # DEPENDENCYPART_ARC
(3,30),-2.55599 # DEPENDENCYPART_ARC
(3,31),-2.66773 # DEPENDENCYPART_ARC
(3,32),-2.96312 # DEPENDENCYPART_ARC
(3,33),-2.79823 # DEPENDENCYPART_ARC
(3,34),-4.6015 # DEPENDENCYPART_ARC
(3,35),-2.82999 # DEPENDENCYPART_ARC
(3,36),-3.39893 # DEPENDENCYPART_ARC
(3,37),-5.64683 # DEPENDENCYPART_ARC
(3,38),-5.76819 # DEPENDENCYPART_ARC
(3,39),-1.93272 # DEPENDENCYPART_ARC
(4,1),-0.506825 # DEPENDENCYPART_ARC
(4,2),0.932335 # DEPENDENCYPART_ARC
(4,3),2.04515 # DEPENDENCYPART_ARC
(4,5),0.217207 # DEPENDENCYPART_ARC
(4,6),-1.09412 # DEPENDENCYPART_ARC
(4,7),-1.05222 # DEPENDENCYPART_ARC
(4,8),-1.26721 # DEPENDENCYPART_ARC
(4,9),-1.43909 # DEPENDENCYPART_ARC
(4,10),-0.783956 # DEPENDENCYPART_ARC
(4,11),-1.77258 # DEPENDENCYPART_ARC
(4,12),-1.29969 # DEPENDENCYPART_ARC
(4,13),-1.85528 # DEPENDENCYPART_ARC
(4,14),-2.10434 # DEPENDENCYPART_ARC
(4,15),-1.98511 # DEPENDENCYPART_ARC
(4,16),-1.35468 # DEPENDENCYPART_ARC
(4,17),-1.36982 # DEPENDENCYPART_ARC
(4,18),-2.49519 # DEPENDENCYPART_ARC
(4,19),-1.6703 # DEPENDENCYPART_ARC
(4,20),-2.3652 # DEPENDENCYPART_ARC
(4,21),-2.85817 # DEPENDENCYPART_ARC
(4,22),-2.82917 # DEPENDENCYPART_ARC
(4,23),-2.8607 # DEPENDENCYPART_ARC
(4,24),-1.8295 # DEPENDENCYPART_ARC
(4,25),-3.07583 # DEPENDENCYPART_ARC
(4,26),-3.14777 # DEPENDENCYPART_ARC
(4,27),-3.27018 # DEPENDENCYPART_ARC
(4,28),-4.16312 # DEPENDENCYPART_ARC
(4,29),-3.89899 # DEPENDENCYPART_ARC
(4,30),-3.78955 # DEPENDENCYPART_ARC
(4,31),-3.66906 # DEPENDENCYPART_ARC
(4,32),-3.90643 # DEPENDENCYPART_ARC
(4,33),-3.88249 # DEPENDENCYPART_ARC
(4,34),-5.45885 # DEPENDENCYPART_ARC
(4,35),-4.48673 # DEPENDENCYPART_ARC
(4,36),-4.38347 # DEPENDENCYPART_ARC
(4,37),-3.59766 # DEPENDENCYPART_ARC
(4,38),-4.3826 # DEPENDENCYPART_ARC
(4,39),-3.99564 # DEPENDENCYPART_ARC
(5,1),0.294909 # DEPENDENCYPART_ARC
(5,2),4.11135 # DEPENDENCYPART_ARC
(5,3),3.8565 # DEPENDENCYPART_ARC
(5,4),4.48811 # DEPENDENCYPART_ARC
(5,6),3.04134 # DEPENDENCYPART_ARC
(5,7),1.62389 # DEPENDENCYPART_ARC
(5,8),1.90981 # DEPENDENCYPART_ARC
(5,9),1.83688 # DEPENDENCYPART_ARC
(5,10),2.07933 # DEPENDENCYPART_ARC
(5,11),1.37746 # DEPENDENCYPART_ARC
(5,12),1.51295 # DEPENDENCYPART_ARC
(5,13),1.3349 # DEPENDENCYPART_ARC
(5,14),0.83861 # DEPENDENCYPART_ARC
(5,15),1.15262 # DEPENDENCYPART_ARC
(5,16),1.92472 # DEPENDENCYPART_ARC
(5,17),2.15573 # DEPENDENCYPART_ARC
(5,18),0.139018 # DEPENDENCYPART_ARC
(5,19),0.449107 # DEPENDENCYPART_ARC
(5,20),0.440932 # DEPENDENCYPART_ARC
(5,21),0.250338 # DEPENDENCYPART_ARC
(5,22),0.0766385 # DEPENDENCYPART_ARC
(5,23),0.0245254 # DEPENDENCYPART_ARC
(5,24),0.331528 # DEPENDENCYPART_ARC
(5,25),-1.00624 # DEPENDENCYPART_ARC
(5,26),-0.085201 # DEPENDENCYPART_ARC
(5,27),-0.89411 # DEPENDENCYPART_ARC
(5,28),-2.17648 # DEPENDENCYPART_ARC
(5,29),-1.82631 # DEPENDENCYPART_ARC
(5,30),-1.40993 # DEPENDENCYPART_ARC
(5,31),-0.332692 # DEPENDENCYPART_ARC
(5,32),-1.46932 # DEPENDENCYPART_ARC
(5,33),-1.59938 # DEPENDENCYPART_ARC
(5,34),-4.76584 # DEPENDENCYPART_ARC
(5,35),-2.42494 # DEPENDENCYPART_ARC
(5,36),-2.54857 # DEPENDENCYPART_ARC
(5,37),-1.24632 # DEPENDENCYPART_ARC
(5,38),-1.97762 # DEPENDENCYPART_ARC
(5,39),0.621052 # DEPENDENCYPART_ARC
(6,1),-1.79311 # DEPENDENCYPART_ARC
(6,2),-0.888409 # DEPENDENCYPART_ARC
(6,3),-1.18898 # DEPENDENCYPART_ARC
(6,4),-0.849148 # DEPENDENCYPART_ARC
(6,5),-0.500271 # DEPENDENCYPART_ARC
(6,7),-0.188918 # DEPENDENCYPART_ARC
(6,8),-0.806494 # DEPENDENCYPART_ARC
(6,9),-1.04694 # DEPENDENCYPART_ARC
(6,10),-1.49244 # DEPENDENCYPART_ARC
(6,11),-1.48509 # DEPENDENCYPART_ARC
(6,12),-1.83459 # DEPENDENCYPART_ARC
(6,13),-1.96706 # DEPENDENCYPART_ARC
(6,14),-1.90064 # DEPENDENCYPART_ARC
(6,15),-2.10198 # DEPENDENCYPART_ARC
(6,16),-1.43348 # DEPENDENCYPART_ARC
(6,17),-0.65819 # DEPENDENCYPART_ARC
(6,18),-2.35689 # DEPENDENCYPART_ARC
(6,19),-2.59214 # DEPENDENCYPART_ARC
(6,20),-2.3504 # DEPENDENCYPART_ARC
(6,21),-2.53519 # DEPENDENCYPART_ARC
(6,22),-2.91364 # DEPENDENCYPART_ARC
(6,23),-3.02437 # DEPENDENCYPART_ARC
(6,24),-2.8142 # DEPENDENCYPART_ARC
(6,25),-2.85502 # DEPENDENCYPART_ARC
(6,26),-2.9311 # DEPENDENCYPART_ARC
(6,27),-3.11936 # DEPENDENCYPART_ARC
(6,28),-3.46606 # DEPENDENCYPART_ARC
(6,29),-3.86053 # DEPENDENCYPART_ARC
(6,30),-3.31376 # DEPENDENCYPART_ARC
(6,31),-3.05063 # DEPENDENCYPART_ARC
(6,32),-3.57397 # DEPENDENCYPART_ARC
(6,33),-4.47028 # DEPENDENCYPART_ARC
(6,34),-3.98953 # DEPENDENCYPART_ARC
(6,35),-4.47419 # DEPENDENCYPART_ARC
(6,36),-3.98726 # DEPENDENCYPART_ARC
(6,37),-3.74328 # DEPENDENCYPART_ARC
(6,38),-3.81361 # DEPENDENCYPART_ARC
(6,39),-3.315 # DEPENDENCYPART_ARC
(7,1),-2.41298 # DEPENDENCYPART_ARC
(7,2),-0.71814 # DEPENDENCYPART_ARC
(7,3),-0.134884 # DEPENDENCYPART_ARC
(7,4),-0.328123 # DEPENDENCYPART_ARC
(7,5),-0.223469 # DEPENDENCYPART_ARC
(7,6),0.502517 # DEPENDENCYPART_ARC
(7,8),1.28048 # DEPENDENCYPART_ARC
(7,9),1.08059 # DEPENDENCYPART_ARC
(7,10),-0.622994 # DEPENDENCYPART_ARC
(7,11),-1.10613 # DEPENDENCYPART_ARC
(7,12),-0.966018 # DEPENDENCYPART_ARC
(7,13),-0.390716 # DEPENDENCYPART_ARC
(7,14),-1.26164 # DEPENDENCYPART_ARC
(7,15),-0.549812 # DEPENDENCYPART_ARC
(7,16),-0.785907 # DEPENDENCYPART_ARC
(7,17),-0.192865 # DEPENDENCYPART_ARC
(7,18),-1.83747 # DEPENDENCYPART_ARC
(7,19),-1.43422 # DEPENDENCYPART_ARC
(7,20),-2.00096 # DEPENDENCYPART_ARC
(7,21),-2.76353 # DEPENDENCYPART_ARC
(7,22),-2.58205 # DEPENDENCYPART_ARC
(7,23),-1.96765 # DEPENDENCYPART_ARC
(7,24),-2.42412 # DEPENDENCYPART_ARC
(7,25),-2.77282 # DEPENDENCYPART_ARC
(7,26),-2.6331 # DEPENDENCYPART_ARC
(7,27),-3.35446 # DEPENDENCYPART_ARC
(7,28),-3.16266 # DEPENDENCYPART_ARC
(7,29),-2.37365 # DEPENDENCYPART_ARC
(7,30),-2.99972 # DEPENDENCYPART_ARC
(7,31),-3.06391 # DEPENDENCYPART_ARC
(7,32),-3.37716 # DEPENDENCYPART_ARC
(7,33),-3.26604 # DEPENDENCYPART_ARC
(7,34),-4.62812 # DEPENDENCYPART_ARC
(7,35),-3.20539 # DEPENDENCYPART_ARC
(7,36),-3.80872 # DEPENDENCYPART_ARC
(7,37),-5.11677 # DEPENDENCYPART_ARC
(7,38),-5.21033 # DEPENDENCYPART_ARC
(7,39),-2.16357 # DEPENDENCYPART_ARC
(8,1),-2.30182 # DEPENDENCYPART_ARC
(8,2),-0.941406 # DEPENDENCYPART_ARC
(8,3),0.0350392 # DEPENDENCYPART_ARC
(8,4),-0.42794 # DEPENDENCYPART_ARC
(8,5),-0.506043 # DEPENDENCYPART_ARC
(8,6),0.175873 # DEPENDENCYPART_ARC
(8,7),2.65879 # DEPENDENCYPART_ARC
(8,9),1.33126 # DEPENDENCYPART_ARC
(8,10),-0.704097 # DEPENDENCYPART_ARC
(8,11),-1.48384 # DEPENDENCYPART_ARC
(8,12),-0.989469 # DEPENDENCYPART_ARC
(8,13),-0.632704 # DEPENDENCYPART_ARC
(8,14),-1.58269 # DEPENDENCYPART_ARC
(8,15),-0.619842 # DEPENDENCYPART_ARC
(8,16),-0.762814 # DEPENDENCYPART_ARC
(8,17),-0.805175 # DEPENDENCYPART_ARC
(8,18),-1.96868 # DEPENDENCYPART_ARC
(8,19),-1.74161 # DEPENDENCYPART_ARC
(8,20),-2.0508 # DEPENDENCYPART_ARC
(8,21),-3.28257 # DEPENDENCYPART_ARC
(8,22),-3.37937 # DEPENDENCYPART_ARC
(8,23),-2.09246 # DEPENDENCYPART_ARC
(8,24),-2.39145 # DEPENDENCYPART_ARC
(8,25),-3.07567 # DEPENDENCYPART_ARC
(8,26),-2.87829 # DEPENDENCYPART_ARC
(8,27),-3.69351 # DEPENDENCYPART_ARC
(8,28),-3.46004 # DEPENDENCYPART_ARC
(8,29),-2.83781 # DEPENDENCYPART_ARC
(8,30),-3.30482 # DEPENDENCYPART_ARC
(8,31),-2.60855 # DEPENDENCYPART_ARC
(8,32),-3.77076 # DEPENDENCYPART_ARC
(8,33),-3.3795 # DEPENDENCYPART_ARC
(8,34),-5.60331 # DEPENDENCYPART_ARC
(8,35),-3.78112 # DEPENDENCYPART_ARC
(8,36),-4.37625 # DEPENDENCYPART_ARC
(8,37),-5.56018 # DEPENDENCYPART_ARC
(8,38),-5.03506 # DEPENDENCYPART_ARC
(8,39),-2.35692 # DEPENDENCYPART_ARC
(9,1),-0.299368 # DEPENDENCYPART_ARC
(9,2),1.29725 # DEPENDENCYPART_ARC
(9,3),1.61216 # DEPENDENCYPART_ARC
(9,4),1.43551 # DEPENDENCYPART_ARC
(9,5),1.36465 # DEPENDENCYPART_ARC
(9,6),1.8302 # DEPENDENCYPART_ARC
(9,7),4.24284 # DEPENDENCYPART_ARC
(9,8),4.19455 # DEPENDENCYPART_ARC
(9,10),0.513409 # DEPENDENCYPART_ARC
(9,11),0.0721433 # DEPENDENCYPART_ARC
(9,12),0.567157 # DEPENDENCYPART_ARC
(9,13),0.0779991 # DEPENDENCYPART_ARC
(9,14),-1.07769 # DEPENDENCYPART_ARC
(9,15),-0.210081 # DEPENDENCYPART_ARC
(9,16),0.33385 # DEPENDENCYPART_ARC
(9,17),0.224897 # DEPENDENCYPART_ARC
(9,18),-1.11686 # DEPENDENCYPART_ARC
(9,19),-1.01251 # DEPENDENCYPART_ARC
(9,20),-1.17115 # DEPENDENCYPART_ARC
(9,21),-2.56911 # DEPENDENCYPART_ARC
(9,22),-2.71706 # DEPENDENCYPART_ARC
(9,23),-1.90042 # DEPENDENCYPART_ARC
(9,24),-1.4374 # DEPENDENCYPART_ARC
(9,25),-2.53752 # DEPENDENCYPART_ARC
(9,26),-1.7282 # DEPENDENCYPART_ARC
(9,27),-2.9331 # DEPENDENCYPART_ARC
(9,28),-2.88699 # DEPENDENCYPART_ARC
(9,29),-2.15634 # DEPENDENCYPART_ARC
(9,30),-2.46407 # DEPENDENCYPART_ARC
(9,31),-2.05477 # DEPENDENCYPART_ARC
(9,32),-2.97778 # DEPENDENCYPART_ARC
(9,33),-3.08854 # DEPENDENCYPART_ARC
(9,34),-4.46551 # DEPENDENCYPART_ARC
(9,35),-3.09932 # DEPENDENCYPART_ARC
(9,36),-3.60717 # DEPENDENCYPART_ARC
(9,37),-4.60863 # DEPENDENCYPART_ARC
(9,38),-4.2574 # DEPENDENCYPART_ARC
(9,39),-1.38808 # DEPENDENCYPART_ARC
(10,1),0.945681 # DEPENDENCYPART_ARC
(10,2),0.835423 # DEPENDENCYPART_ARC
(10,3),0.909538 # DEPENDENCYPART_ARC
(10,4),1.12559 # DEPENDENCYPART_ARC
(10,5),1.36837 # DEPENDENCYPART_ARC
(10,6),1.98053 # DEPENDENCYPART_ARC
(10,7),1.65158 # DEPENDENCYPART_ARC
(10,8),1.29267 # DEPENDENCYPART_ARC
(10,9),1.48318 # DEPENDENCYPART_ARC
(10,11),3.03111 # DEPENDENCYPART_ARC
(10,12),2.39835 # DEPENDENCYPART_ARC
(10,13),2.82679 # DEPENDENCYPART_ARC
(10,14),2.58604 # DEPENDENCYPART_ARC
(10,15),2.27732 # DEPENDENCYPART_ARC
(10,16),2.81433 # DEPENDENCYPART_ARC
(10,17),2.30564 # DEPENDENCYPART_ARC
(10,18),0.712311 # DEPENDENCYPART_ARC
(10,19),1.80661 # DEPENDENCYPART_ARC
(10,20),1.50875 # DEPENDENCYPART_ARC
(10,21),0.642189 # DEPENDENCYPART_ARC
(10,22),0.0888346 # DEPENDENCYPART_ARC
(10,23),0.323823 # DEPENDENCYPART_ARC
(10,24),1.2706 # DEPENDENCYPART_ARC
(10,25),0.00904379 # DEPENDENCYPART_ARC
(10,26),0.902088 # DEPENDENCYPART_ARC
(10,27),0.0344958 # DEPENDENCYPART_ARC
(10,28),-0.19092 # DEPENDENCYPART_ARC
(10,29),-1.28868 # DEPENDENCYPART_ARC
(10,30),-0.296113 # DEPENDENCYPART_ARC
(10,31),0.670202 # DEPENDENCYPART_ARC
(10,32),-0.916854 # DEPENDENCYPART_ARC
(10,33),-1.0089 # DEPENDENCYPART_ARC
(10,34),-0.940732 # DEPENDENCYPART_ARC
(10,35),-2.11571 # DEPENDENCYPART_ARC
(10,36),-1.45388 # DEPENDENCYPART_ARC
(10,37),-1.75528 # DEPENDENCYPART_ARC
(10,38),-2.00489 # DEPENDENCYPART_ARC
(10,39),4.54807 # DEPENDENCYPART_ARC
(11,1),-1.45277 # DEPENDENCYPART_ARC
(11,2),-0.32244 # DEPENDENCYPART_ARC
(11,3),0.699156 # DEPENDENCYPART_ARC
(11,4),-0.848962 # DEPENDENCYPART_ARC
(11,5),-0.613716 # DEPENDENCYPART_ARC
(11,6),0.180053 # DEPENDENCYPART_ARC
(11,7),3.42952 # DEPENDENCYPART_ARC
(11,8),3.32927 # DEPENDENCYPART_ARC
(11,9),2.2986 # DEPENDENCYPART_ARC
(11,10),0.601146 # DEPENDENCYPART_ARC
(11,12),3.47949 # DEPENDENCYPART_ARC
(11,13),0.251334 # DEPENDENCYPART_ARC
(11,14),-0.175471 # DEPENDENCYPART_ARC
(11,15),-0.528764 # DEPENDENCYPART_ARC
(11,16),-0.440507 # DEPENDENCYPART_ARC
(11,17),0.249542 # DEPENDENCYPART_ARC
(11,18),-0.615554 # DEPENDENCYPART_ARC
(11,19),-0.627612 # DEPENDENCYPART_ARC
(11,20),-0.83823 # DEPENDENCYPART_ARC
(11,21),-1.96261 # DEPENDENCYPART_ARC
(11,22),-2.17521 # DEPENDENCYPART_ARC
(11,23),-1.61289 # DEPENDENCYPART_ARC
(11,24),-1.31928 # DEPENDENCYPART_ARC
(11,25),-1.91324 # DEPENDENCYPART_ARC
(11,26),-1.59177 # DEPENDENCYPART_ARC
(11,27),-2.54195 # DEPENDENCYPART_ARC
(11,28),-2.11347 # DEPENDENCYPART_ARC
(11,29),-1.79053 # DEPENDENCYPART_ARC
(11,30),-1.93338 # DEPENDENCYPART_ARC
(11,31),-1.50959 # DEPENDENCYPART_ARC
(11,32),-2.27038 # DEPENDENCYPART_ARC
(11,33),-2.73906 # DEPENDENCYPART_ARC
(11,34),-3.87567 # DEPENDENCYPART_ARC
(11,35),-2.63824 # DEPENDENCYPART_ARC
(11,36),-2.62104 # DEPENDENCYPART_ARC
(11,37),-5.16702 # DEPENDENCYPART_ARC
(11,38),-5.19867 # DEPENDENCYPART_ARC
(11,39),-1.47464 # DEPENDENCYPART_ARC
(12,1),-1.13273 # DEPENDENCYPART_ARC
(12,2),-0.588692 # DEPENDENCYPART_ARC
(12,3),-0.302542 # DEPENDENCYPART_ARC
(12,4),-0.98767 # DEPENDENCYPART_ARC
(12,5),-0.944622 # DEPENDENCYPART_ARC
(12,6),-0.458805 # DEPENDENCYPART_ARC
(12,7),0.308726 # DEPENDENCYPART_ARC
(12,8),0.585711 # DEPENDENCYPART_ARC
(12,9),0.913213 # DEPENDENCYPART_ARC
(12,10),0.345912 # DEPENDENCYPART_ARC
(12,11),1.63399 # DEPENDENCYPART_ARC
(12,13),-0.0753879 # DEPENDENCYPART_ARC
(12,14),-0.382561 # DEPENDENCYPART_ARC
(12,15),-1.14282 # DEPENDENCYPART_ARC
(12,16),-0.828823 # DEPENDENCYPART_ARC
(12,17),-1.11971 # DEPENDENCYPART_ARC
(12,18),-1.581 # DEPENDENCYPART_ARC
(12,19),-1.36914 # DEPENDENCYPART_ARC
(12,20),-1.66274 # DEPENDENCYPART_ARC
(12,21),-1.7339 # DEPENDENCYPART_ARC
(12,22),-2.27553 # DEPENDENCYPART_ARC
(12,23),-2.39689 # DEPENDENCYPART_ARC
(12,24),-1.88188 # DEPENDENCYPART_ARC
(12,25),-2.27082 # DEPENDENCYPART_ARC
(12,26),-2.11932 # DEPENDENCYPART_ARC
(12,27),-2.50492 # DEPENDENCYPART_ARC
(12,28),-2.24795 # DEPENDENCYPART_ARC
(12,29),-3.03975 # DEPENDENCYPART_ARC
(12,30),-3.21247 # DEPENDENCYPART_ARC
(12,31),-2.27606 # DEPENDENCYPART_ARC
(12,32),-3.3781 # DEPENDENCYPART_ARC
(12,33),-3.25473 # DEPENDENCYPART_ARC
(12,34),-3.19566 # DEPENDENCYPART_ARC
(12,35),-3.62826 # DEPENDENCYPART_ARC
(12,36),-3.78274 # DEPENDENCYPART_ARC
(12,37),-3.72107 # DEPENDENCYPART_ARC
(12,38),-3.98853 # DEPENDENCYPART_ARC
(12,39),-3.40906 # DEPENDENCYPART_ARC
(13,1),-1.99868 # DEPENDENCYPART_ARC
(13,2),0.401882 # DEPENDENCYPART_ARC
(13,3),1.53132 # DEPENDENCYPART_ARC
(13,4),1.17687 # DEPENDENCYPART_ARC
(13,5),-0.538147 # DEPENDENCYPART_ARC
(13,6),0.514595 # DEPENDENCYPART_ARC
(13,7),1.5904 # DEPENDENCYPART_ARC
(13,8),1.87865 # DEPENDENCYPART_ARC
