# _root_ For example , Halliburton jumped 3 1\/4 to 38 , Schlumberger rose 2 1\/2 to 43 1\/4 and Baker Hughes rose 1 1\/8 to 22 .
#goldHeads=0,1,1,5,1,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,1,
#predictedHeads=5,1,5,5,0,7,5,5,8,12,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,5,
(6,13),-0.767311 # DEPENDENCYPART_ARC
(6,14),-0.922558 # DEPENDENCYPART_ARC
(6,15),-0.274914 # DEPENDENCYPART_ARC
(6,16),-1.13813 # DEPENDENCYPART_ARC
(6,17),-0.954428 # DEPENDENCYPART_ARC
(6,18),-1.62781 # DEPENDENCYPART_ARC
(6,19),-1.70755 # DEPENDENCYPART_ARC
(6,20),-1.79872 # DEPENDENCYPART_ARC
(6,21),-1.60153 # DEPENDENCYPART_ARC
(6,22),-1.86475 # DEPENDENCYPART_ARC
(6,23),-1.96911 # DEPENDENCYPART_ARC
(6,24),-1.54991 # DEPENDENCYPART_ARC
(6,25),-2.27287 # DEPENDENCYPART_ARC
(6,26),-0.752842 # DEPENDENCYPART_ARC
(7,1),-0.886915 # DEPENDENCYPART_ARC
(7,2),-0.857977 # DEPENDENCYPART_ARC
(7,3),-0.127778 # DEPENDENCYPART_ARC
(7,4),0.273244 # DEPENDENCYPART_ARC
(7,5),0.328839 # DEPENDENCYPART_ARC
(7,6),3.88725 # DEPENDENCYPART_ARC
(7,8),1.25991 # DEPENDENCYPART_ARC
(7,9),0.927825 # DEPENDENCYPART_ARC
(7,10),1.07421 # DEPENDENCYPART_ARC
(7,11),0.300208 # DEPENDENCYPART_ARC
(7,12),0.0883787 # DEPENDENCYPART_ARC
(7,13),-0.13325 # DEPENDENCYPART_ARC
(7,14),-0.208445 # DEPENDENCYPART_ARC
(7,15),-0.253996 # DEPENDENCYPART_ARC
(7,16),-0.571886 # DEPENDENCYPART_ARC
(7,17),-0.460624 # DEPENDENCYPART_ARC
(7,18),-1.0097 # DEPENDENCYPART_ARC
(7,19),-1.00427 # DEPENDENCYPART_ARC
(7,20),-1.01599 # DEPENDENCYPART_ARC
(7,21),-1.10806 # DEPENDENCYPART_ARC
(7,22),-1.23851 # DEPENDENCYPART_ARC
(7,23),-1.29143 # DEPENDENCYPART_ARC
(7,24),-1.47656 # DEPENDENCYPART_ARC
(7,25),-1.64792 # DEPENDENCYPART_ARC
(7,26),-0.353709 # DEPENDENCYPART_ARC
(8,1),-0.718673 # DEPENDENCYPART_ARC
(8,2),-0.819266 # DEPENDENCYPART_ARC
(8,3),-0.292388 # DEPENDENCYPART_ARC
(8,4),-0.304818 # DEPENDENCYPART_ARC
(8,5),0.200607 # DEPENDENCYPART_ARC
(8,6),0.553378 # DEPENDENCYPART_ARC
(8,7),0.930732 # DEPENDENCYPART_ARC
(8,9),3.16595 # DEPENDENCYPART_ARC
(8,10),0.499438 # DEPENDENCYPART_ARC
(8,11),0.30074 # DEPENDENCYPART_ARC
(8,12),0.0524516 # DEPENDENCYPART_ARC
(8,13),-0.220541 # DEPENDENCYPART_ARC
(8,14),0.884338 # DEPENDENCYPART_ARC
(8,15),-0.589342 # DEPENDENCYPART_ARC
(8,16),-1.21543 # DEPENDENCYPART_ARC
(8,17),-0.120475 # DEPENDENCYPART_ARC
(8,18),-0.685594 # DEPENDENCYPART_ARC
(8,19),-2.95885 # DEPENDENCYPART_ARC
(8,20),-2.11944 # DEPENDENCYPART_ARC
(8,21),-1.68193 # DEPENDENCYPART_ARC
(8,22),-1.82322 # DEPENDENCYPART_ARC
(8,23),-0.0803367 # DEPENDENCYPART_ARC
(8,24),-2.47755 # DEPENDENCYPART_ARC
(8,25),-1.00449 # DEPENDENCYPART_ARC
(8,26),-0.217457 # DEPENDENCYPART_ARC
(9,1),-0.468848 # DEPENDENCYPART_ARC
(9,2),-1.01637 # DEPENDENCYPART_ARC
(9,3),-0.0979129 # DEPENDENCYPART_ARC
(9,4),0.0794662 # DEPENDENCYPART_ARC
(9,5),-0.0548195 # DEPENDENCYPART_ARC
(9,6),1.46672 # DEPENDENCYPART_ARC
(9,7),1.2995 # DEPENDENCYPART_ARC
(9,8),2.14984 # DEPENDENCYPART_ARC
(9,10),1.14121 # DEPENDENCYPART_ARC
(9,11),0.414948 # DEPENDENCYPART_ARC
(9,12),0.47778 # DEPENDENCYPART_ARC
(9,13),0.0197638 # DEPENDENCYPART_ARC
(9,14),-0.141832 # DEPENDENCYPART_ARC
(9,15),-0.131951 # DEPENDENCYPART_ARC
(9,16),-0.440743 # DEPENDENCYPART_ARC
(9,17),-0.378421 # DEPENDENCYPART_ARC
(9,18),-0.682004 # DEPENDENCYPART_ARC
(9,19),-1.05685 # DEPENDENCYPART_ARC
(9,20),-1.17369 # DEPENDENCYPART_ARC
(9,21),-0.939897 # DEPENDENCYPART_ARC
(9,22),-1.19736 # DEPENDENCYPART_ARC
(9,23),-1.29247 # DEPENDENCYPART_ARC
(9,24),-1.39036 # DEPENDENCYPART_ARC
(9,25),-1.57653 # DEPENDENCYPART_ARC
(9,26),-0.406506 # DEPENDENCYPART_ARC
(10,1),-2.1336 # DEPENDENCYPART_ARC
(10,2),-1.88061 # DEPENDENCYPART_ARC
(10,3),-0.59578 # DEPENDENCYPART_ARC
(10,4),-2.16375 # DEPENDENCYPART_ARC
(10,5),-1.97095 # DEPENDENCYPART_ARC
(10,6),-1.72092 # DEPENDENCYPART_ARC
(10,7),-1.37702 # DEPENDENCYPART_ARC
(10,8),-1.28718 # DEPENDENCYPART_ARC
(10,9),-0.805063 # DEPENDENCYPART_ARC
(10,11),-0.201092 # DEPENDENCYPART_ARC
(10,12),-0.489203 # DEPENDENCYPART_ARC
(10,13),-1.47131 # DEPENDENCYPART_ARC
(10,14),-1.73792 # DEPENDENCYPART_ARC
(10,15),-1.66863 # DEPENDENCYPART_ARC
(10,16),-2.29148 # DEPENDENCYPART_ARC
(10,17),-2.40571 # DEPENDENCYPART_ARC
(10,18),-1.82788 # DEPENDENCYPART_ARC
(10,19),-2.27375 # DEPENDENCYPART_ARC
(10,20),-2.39202 # DEPENDENCYPART_ARC
(10,21),-1.93996 # DEPENDENCYPART_ARC
(10,22),-2.94434 # DEPENDENCYPART_ARC
(10,23),-3.01548 # DEPENDENCYPART_ARC
(10,24),-2.59442 # DEPENDENCYPART_ARC
(10,25),-3.20172 # DEPENDENCYPART_ARC
(10,26),-2.02626 # DEPENDENCYPART_ARC
(11,1),-1.7343 # DEPENDENCYPART_ARC
(11,2),-3.18879 # DEPENDENCYPART_ARC
(11,3),-1.15811 # DEPENDENCYPART_ARC
(11,4),-1.92243 # DEPENDENCYPART_ARC
(11,5),-2.01876 # DEPENDENCYPART_ARC
(11,6),-0.462726 # DEPENDENCYPART_ARC
(11,7),-0.468326 # DEPENDENCYPART_ARC
(11,8),-1.03199 # DEPENDENCYPART_ARC
(11,9),0.379199 # DEPENDENCYPART_ARC
(11,10),1.26432 # DEPENDENCYPART_ARC
(11,12),0.323013 # DEPENDENCYPART_ARC
(11,13),-0.0553759 # DEPENDENCYPART_ARC
(11,14),-0.36979 # DEPENDENCYPART_ARC
(11,15),-0.925679 # DEPENDENCYPART_ARC
(11,16),-0.880742 # DEPENDENCYPART_ARC
(11,17),-1.73895 # DEPENDENCYPART_ARC
(11,18),0.536749 # DEPENDENCYPART_ARC
(11,19),-1.04357 # DEPENDENCYPART_ARC
(11,20),-0.499689 # DEPENDENCYPART_ARC
(11,21),-2.51212 # DEPENDENCYPART_ARC
(11,22),-2.54623 # DEPENDENCYPART_ARC
(11,23),-2.85018 # DEPENDENCYPART_ARC
(11,24),-2.25003 # DEPENDENCYPART_ARC
(11,25),-2.9305 # DEPENDENCYPART_ARC
(11,26),0.182229 # DEPENDENCYPART_ARC
(12,1),1.57259 # DEPENDENCYPART_ARC
(12,2),-0.959475 # DEPENDENCYPART_ARC
(12,3),1.36522 # DEPENDENCYPART_ARC
(12,4),1.63622 # DEPENDENCYPART_ARC
(12,5),0.309058 # DEPENDENCYPART_ARC
(12,6),0.142757 # DEPENDENCYPART_ARC
(12,7),0.175471 # DEPENDENCYPART_ARC
(12,8),0.370692 # DEPENDENCYPART_ARC
(12,9),0.46252 # DEPENDENCYPART_ARC
(12,10),2.83972 # DEPENDENCYPART_ARC
(12,11),3.47929 # DEPENDENCYPART_ARC
(12,13),1.56087 # DEPENDENCYPART_ARC
(12,14),2.88189 # DEPENDENCYPART_ARC
(12,15),3.87212 # DEPENDENCYPART_ARC
(12,16),-0.0893457 # DEPENDENCYPART_ARC
(12,17),0.424026 # DEPENDENCYPART_ARC
(12,18),3.45485 # DEPENDENCYPART_ARC
(12,19),0.13 # DEPENDENCYPART_ARC
(12,20),0.170133 # DEPENDENCYPART_ARC
(12,21),1.66557 # DEPENDENCYPART_ARC
(12,22),-1.25623 # DEPENDENCYPART_ARC
(12,23),0.0925347 # DEPENDENCYPART_ARC
(12,24),1.35085 # DEPENDENCYPART_ARC
(12,25),-1.49115 # DEPENDENCYPART_ARC
(12,26),5.86761 # DEPENDENCYPART_ARC
(13,1),-2.94114 # DEPENDENCYPART_ARC
(13,2),-3.54331 # DEPENDENCYPART_ARC
(13,3),-2.32082 # DEPENDENCYPART_ARC
(13,4),-2.3714 # DEPENDENCYPART_ARC
(13,5),-2.47992 # DEPENDENCYPART_ARC
(13,6),-1.57689 # DEPENDENCYPART_ARC
(13,7),-2.01963 # DEPENDENCYPART_ARC
(13,8),-1.48733 # DEPENDENCYPART_ARC
(13,9),-1.05501 # DEPENDENCYPART_ARC
(13,10),-1.03725 # DEPENDENCYPART_ARC
(13,11),-0.456345 # DEPENDENCYPART_ARC
(13,12),-0.274388 # DEPENDENCYPART_ARC
(13,14),1.2112 # DEPENDENCYPART_ARC
(13,15),0.704486 # DEPENDENCYPART_ARC
(13,16),0.0156111 # DEPENDENCYPART_ARC
(13,17),0.0725489 # DEPENDENCYPART_ARC
(13,18),0.283209 # DEPENDENCYPART_ARC
(13,19),-0.597908 # DEPENDENCYPART_ARC
(13,20),-0.683983 # DEPENDENCYPART_ARC
(13,21),-0.343106 # DEPENDENCYPART_ARC
(13,22),-1.01435 # DEPENDENCYPART_ARC
(13,23),-1.05996 # DEPENDENCYPART_ARC
(13,24),-0.631763 # DEPENDENCYPART_ARC
(13,25),-1.40629 # DEPENDENCYPART_ARC
(13,26),-0.00410274 # DEPENDENCYPART_ARC
(14,1),-1.50486 # DEPENDENCYPART_ARC
(14,2),-2.14126 # DEPENDENCYPART_ARC
(14,3),-0.762995 # DEPENDENCYPART_ARC
(14,4),-1.08074 # DEPENDENCYPART_ARC
(14,5),-1.11563 # DEPENDENCYPART_ARC
(14,6),1.24072 # DEPENDENCYPART_ARC
(14,7),-0.309039 # DEPENDENCYPART_ARC
(14,8),0.459841 # DEPENDENCYPART_ARC
(14,9),0.744275 # DEPENDENCYPART_ARC
(14,10),0.32219 # DEPENDENCYPART_ARC
(14,11),0.425854 # DEPENDENCYPART_ARC
(14,12),0.472744 # DEPENDENCYPART_ARC
(14,13),4.23022 # DEPENDENCYPART_ARC
(14,15),1.41329 # DEPENDENCYPART_ARC
(14,16),0.885296 # DEPENDENCYPART_ARC
(14,17),0.491517 # DEPENDENCYPART_ARC
(14,18),0.348757 # DEPENDENCYPART_ARC
(14,19),0.0250631 # DEPENDENCYPART_ARC
(14,20),-0.0527584 # DEPENDENCYPART_ARC
(14,21),0.0420284 # DEPENDENCYPART_ARC
(14,22),-0.582021 # DEPENDENCYPART_ARC
(14,23),-0.602656 # DEPENDENCYPART_ARC
(14,24),-0.312327 # DEPENDENCYPART_ARC
(14,25),-0.961763 # DEPENDENCYPART_ARC
(14,26),0.184532 # DEPENDENCYPART_ARC
(15,1),-2.37608 # DEPENDENCYPART_ARC
(15,2),-2.83674 # DEPENDENCYPART_ARC
(15,3),-1.63693 # DEPENDENCYPART_ARC
(15,4),-2.18066 # DEPENDENCYPART_ARC
(15,5),-1.3916 # DEPENDENCYPART_ARC
(15,6),-1.27684 # DEPENDENCYPART_ARC
(15,7),-1.4775 # DEPENDENCYPART_ARC
(15,8),-0.711901 # DEPENDENCYPART_ARC
(15,9),-0.897853 # DEPENDENCYPART_ARC
(15,10),-0.771119 # DEPENDENCYPART_ARC
(15,11),-0.801464 # DEPENDENCYPART_ARC
(15,12),-0.323829 # DEPENDENCYPART_ARC
(15,13),0.0508628 # DEPENDENCYPART_ARC
(15,14),0.488521 # DEPENDENCYPART_ARC
(15,16),1.55416 # DEPENDENCYPART_ARC
(15,17),2.58849 # DEPENDENCYPART_ARC
(15,18),1.12305 # DEPENDENCYPART_ARC
(15,19),0.435451 # DEPENDENCYPART_ARC
(15,20),1.10465 # DEPENDENCYPART_ARC
(15,21),-0.254761 # DEPENDENCYPART_ARC
(15,22),-0.698031 # DEPENDENCYPART_ARC
(15,23),0.879526 # DEPENDENCYPART_ARC
(15,24),-1.02647 # DEPENDENCYPART_ARC
(15,25),0.0932903 # DEPENDENCYPART_ARC
(15,26),0.486243 # DEPENDENCYPART_ARC
(16,1),-2.04375 # DEPENDENCYPART_ARC
(16,2),-2.96998 # DEPENDENCYPART_ARC
(16,3),-1.44426 # DEPENDENCYPART_ARC
(16,4),-2.18401 # DEPENDENCYPART_ARC
(16,5),-2.0255 # DEPENDENCYPART_ARC
(16,6),-0.678191 # DEPENDENCYPART_ARC
(16,7),-1.28422 # DEPENDENCYPART_ARC
(16,8),-0.645308 # DEPENDENCYPART_ARC
(16,9),-0.600547 # DEPENDENCYPART_ARC
(16,10),-0.841022 # DEPENDENCYPART_ARC
(16,11),-0.847846 # DEPENDENCYPART_ARC
(16,12),-0.93111 # DEPENDENCYPART_ARC
(16,13),0.74188 # DEPENDENCYPART_ARC
(16,14),0.53088 # DEPENDENCYPART_ARC
(16,15),1.65093 # DEPENDENCYPART_ARC
(16,17),1.6834 # DEPENDENCYPART_ARC
(16,18),0.70422 # DEPENDENCYPART_ARC
(16,19),0.00963923 # DEPENDENCYPART_ARC
(16,20),-0.217207 # DEPENDENCYPART_ARC
(16,21),-0.0527621 # DEPENDENCYPART_ARC
(16,22),-0.620163 # DEPENDENCYPART_ARC
(16,23),-0.732282 # DEPENDENCYPART_ARC
(16,24),-0.467579 # DEPENDENCYPART_ARC
(16,25),-1.01939 # DEPENDENCYPART_ARC
(16,26),-0.182699 # DEPENDENCYPART_ARC
(17,1),-1.10115 # DEPENDENCYPART_ARC
(17,2),-2.05616 # DEPENDENCYPART_ARC
(17,3),-0.956763 # DEPENDENCYPART_ARC
(17,4),-1.09039 # DEPENDENCYPART_ARC
(17,5),-1.08992 # DEPENDENCYPART_ARC
(17,6),1.10466 # DEPENDENCYPART_ARC
(17,7),-0.250606 # DEPENDENCYPART_ARC
(17,8),1.10879 # DEPENDENCYPART_ARC
(17,9),0.522882 # DEPENDENCYPART_ARC
(17,10),-0.0640285 # DEPENDENCYPART_ARC
(17,11),0.0203942 # DEPENDENCYPART_ARC
(17,12),-0.123499 # DEPENDENCYPART_ARC
(17,13),2.34809 # DEPENDENCYPART_ARC
(17,14),0.943206 # DEPENDENCYPART_ARC
(17,15),2.38558 # DEPENDENCYPART_ARC
(17,16),3.93809 # DEPENDENCYPART_ARC
(17,18),1.8008 # DEPENDENCYPART_ARC
(17,19),0.879415 # DEPENDENCYPART_ARC
(17,20),0.666822 # DEPENDENCYPART_ARC
(17,21),0.594389 # DEPENDENCYPART_ARC
(17,22),-0.0121879 # DEPENDENCYPART_ARC
(17,23),-0.0877098 # DEPENDENCYPART_ARC
(17,24),-0.00883992 # DEPENDENCYPART_ARC
(17,25),-0.465265 # DEPENDENCYPART_ARC
(17,26),0.321948 # DEPENDENCYPART_ARC
(18,1),-1.62748 # DEPENDENCYPART_ARC
(18,2),-1.56112 # DEPENDENCYPART_ARC
(18,3),-1.86642 # DEPENDENCYPART_ARC
(18,4),0.363019 # DEPENDENCYPART_ARC
(18,5),-0.599454 # DEPENDENCYPART_ARC
(18,6),-1.56219 # DEPENDENCYPART_ARC
(18,7),-1.46531 # DEPENDENCYPART_ARC
(18,8),-1.01429 # DEPENDENCYPART_ARC
(18,9),-1.1825 # DEPENDENCYPART_ARC
(18,10),-1.15128 # DEPENDENCYPART_ARC
(18,11),0.854625 # DEPENDENCYPART_ARC
(18,12),0.170359 # DEPENDENCYPART_ARC
(18,13),-0.646257 # DEPENDENCYPART_ARC
(18,14),-0.434527 # DEPENDENCYPART_ARC
(18,15),-0.0464477 # DEPENDENCYPART_ARC
(18,16),-0.165549 # DEPENDENCYPART_ARC
(18,17),0.490483 # DEPENDENCYPART_ARC
(18,19),2.05049 # DEPENDENCYPART_ARC
(18,20),2.30093 # DEPENDENCYPART_ARC
(18,21),3.38144 # DEPENDENCYPART_ARC
(18,22),0.811751 # DEPENDENCYPART_ARC
(18,23),0.685073 # DEPENDENCYPART_ARC
(18,24),0.942712 # DEPENDENCYPART_ARC
(18,25),0.0733797 # DEPENDENCYPART_ARC
(18,26),0.430381 # DEPENDENCYPART_ARC
(19,1),-4.24689 # DEPENDENCYPART_ARC
(19,2),-6.27241 # DEPENDENCYPART_ARC
(19,3),-4.59834 # DEPENDENCYPART_ARC
(19,4),-7.11635 # DEPENDENCYPART_ARC
(19,5),-4.7921 # DEPENDENCYPART_ARC
(19,6),-3.5921 # DEPENDENCYPART_ARC
(19,7),-3.77829 # DEPENDENCYPART_ARC
(19,8),-4.6864 # DEPENDENCYPART_ARC
(19,9),-3.23249 # DEPENDENCYPART_ARC
(19,10),-3.67077 # DEPENDENCYPART_ARC
(19,11),-4.39264 # DEPENDENCYPART_ARC
(19,12),-3.64024 # DEPENDENCYPART_ARC
(19,13),-2.40354 # DEPENDENCYPART_ARC
(19,14),-1.92681 # DEPENDENCYPART_ARC
(19,15),-2.9666 # DEPENDENCYPART_ARC
(19,16),-1.12062 # DEPENDENCYPART_ARC
(19,17),-0.922882 # DEPENDENCYPART_ARC
(19,18),-1.36162 # DEPENDENCYPART_ARC
(19,20),2.99319 # DEPENDENCYPART_ARC
(19,21),-1.06451 # DEPENDENCYPART_ARC
(19,22),-0.824731 # DEPENDENCYPART_ARC
(19,23),-1.36508 # DEPENDENCYPART_ARC
(19,24),-1.77843 # DEPENDENCYPART_ARC
(19,25),-1.90849 # DEPENDENCYPART_ARC
(19,26),-0.730438 # DEPENDENCYPART_ARC
(20,1),-2.27951 # DEPENDENCYPART_ARC
(20,2),-4.17103 # DEPENDENCYPART_ARC
(20,3),-1.32284 # DEPENDENCYPART_ARC
(20,4),-4.12295 # DEPENDENCYPART_ARC
(20,5),-2.51577 # DEPENDENCYPART_ARC
(20,6),-1.62846 # DEPENDENCYPART_ARC
(20,7),-1.75968 # DEPENDENCYPART_ARC
