# _root_ The 7 1\/8 % issue of Triborough Bridge and Tunnel Authority of New York , due 2019 , was off 5\/8 at 98 1\/8 bid .
#goldHeads=5,3,5,3,19,5,8,6,8,11,9,8,14,12,5,5,16,5,0,19,20,19,24,25,22,19,
#predictedHeads=5,3,5,3,19,5,8,6,8,11,9,11,14,12,8,5,16,8,0,19,20,19,24,22,24,19,
(1,19),-3.78425 # DEPENDENCYPART_ARC
(1,20),-2.82522 # DEPENDENCYPART_ARC
(1,21),-3.19737 # DEPENDENCYPART_ARC
(1,22),-3.61489 # DEPENDENCYPART_ARC
(1,23),-2.75664 # DEPENDENCYPART_ARC
(1,24),-2.62967 # DEPENDENCYPART_ARC
(1,25),-3.76936 # DEPENDENCYPART_ARC
(1,26),-2.89427 # DEPENDENCYPART_ARC
(2,1),1.43811 # DEPENDENCYPART_ARC
(2,3),0.842384 # DEPENDENCYPART_ARC
(2,4),0.299701 # DEPENDENCYPART_ARC
(2,5),-0.535249 # DEPENDENCYPART_ARC
(2,6),0.39132 # DEPENDENCYPART_ARC
(2,7),-0.574701 # DEPENDENCYPART_ARC
(2,8),-0.614449 # DEPENDENCYPART_ARC
(2,9),-0.171875 # DEPENDENCYPART_ARC
(2,10),-1.02435 # DEPENDENCYPART_ARC
(2,11),-1.05382 # DEPENDENCYPART_ARC
(2,12),-0.39345 # DEPENDENCYPART_ARC
(2,13),-1.3867 # DEPENDENCYPART_ARC
(2,14),-1.36732 # DEPENDENCYPART_ARC
(2,15),-0.728058 # DEPENDENCYPART_ARC
(2,16),-1.67501 # DEPENDENCYPART_ARC
(2,17),-1.62497 # DEPENDENCYPART_ARC
(2,18),-1.02432 # DEPENDENCYPART_ARC
(2,19),-1.68189 # DEPENDENCYPART_ARC
(2,20),-1.99097 # DEPENDENCYPART_ARC
(2,21),-2.21546 # DEPENDENCYPART_ARC
(2,22),-2.66176 # DEPENDENCYPART_ARC
(2,23),-2.28442 # DEPENDENCYPART_ARC
(2,24),-2.51357 # DEPENDENCYPART_ARC
(2,25),-3.41057 # DEPENDENCYPART_ARC
(2,26),-1.65458 # DEPENDENCYPART_ARC
(3,1),1.98678 # DEPENDENCYPART_ARC
(3,2),4.3307 # DEPENDENCYPART_ARC
(3,4),4.6387 # DEPENDENCYPART_ARC
(3,5),1.57386 # DEPENDENCYPART_ARC
(3,6),1.39504 # DEPENDENCYPART_ARC
(3,7),0.630954 # DEPENDENCYPART_ARC
(3,8),0.517413 # DEPENDENCYPART_ARC
(3,9),0.947657 # DEPENDENCYPART_ARC
(3,10),0.155479 # DEPENDENCYPART_ARC
(3,11),0.0258848 # DEPENDENCYPART_ARC
(3,12),0.412059 # DEPENDENCYPART_ARC
(3,13),-0.153147 # DEPENDENCYPART_ARC
(3,14),-0.231171 # DEPENDENCYPART_ARC
(3,15),0.296844 # DEPENDENCYPART_ARC
(3,16),-0.597523 # DEPENDENCYPART_ARC
(3,17),-0.639355 # DEPENDENCYPART_ARC
(3,18),0.0368557 # DEPENDENCYPART_ARC
(3,19),-0.503773 # DEPENDENCYPART_ARC
(3,20),-0.858427 # DEPENDENCYPART_ARC
(3,21),-1.16701 # DEPENDENCYPART_ARC
(3,22),-1.73878 # DEPENDENCYPART_ARC
(3,23),-1.30582 # DEPENDENCYPART_ARC
(3,24),-1.32631 # DEPENDENCYPART_ARC
(3,25),-1.36211 # DEPENDENCYPART_ARC
(3,26),-0.797915 # DEPENDENCYPART_ARC
(4,1),1.49502 # DEPENDENCYPART_ARC
(4,2),2.71076 # DEPENDENCYPART_ARC
(4,3),2.73928 # DEPENDENCYPART_ARC
(4,5),1.10839 # DEPENDENCYPART_ARC
(4,6),1.72759 # DEPENDENCYPART_ARC
(4,7),-0.479105 # DEPENDENCYPART_ARC
(4,8),-0.684399 # DEPENDENCYPART_ARC
(4,9),0.374953 # DEPENDENCYPART_ARC
(4,10),-1.17811 # DEPENDENCYPART_ARC
(4,11),-1.16381 # DEPENDENCYPART_ARC
(4,12),-0.152402 # DEPENDENCYPART_ARC
(4,13),-1.32871 # DEPENDENCYPART_ARC
(4,14),-1.21395 # DEPENDENCYPART_ARC
(4,15),0.543888 # DEPENDENCYPART_ARC
(4,16),-0.00516128 # DEPENDENCYPART_ARC
(4,17),-1.74366 # DEPENDENCYPART_ARC
(4,18),0.802661 # DEPENDENCYPART_ARC
(4,19),-1.21182 # DEPENDENCYPART_ARC
(4,20),-1.18833 # DEPENDENCYPART_ARC
(4,21),-2.68319 # DEPENDENCYPART_ARC
(4,22),-2.7179 # DEPENDENCYPART_ARC
(4,23),-3.14847 # DEPENDENCYPART_ARC
(4,24),-3.34599 # DEPENDENCYPART_ARC
(4,25),-3.20151 # DEPENDENCYPART_ARC
(4,26),0.375305 # DEPENDENCYPART_ARC
(5,1),4.777 # DEPENDENCYPART_ARC
(5,2),1.81463 # DEPENDENCYPART_ARC
(5,3),2.99444 # DEPENDENCYPART_ARC
(5,4),4.52342 # DEPENDENCYPART_ARC
(5,6),3.7825 # DEPENDENCYPART_ARC
(5,7),1.1351 # DEPENDENCYPART_ARC
(5,8),1.20939 # DEPENDENCYPART_ARC
(5,9),2.03039 # DEPENDENCYPART_ARC
(5,10),0.538742 # DEPENDENCYPART_ARC
(5,11),0.409601 # DEPENDENCYPART_ARC
(5,12),1.01201 # DEPENDENCYPART_ARC
(5,13),0.045607 # DEPENDENCYPART_ARC
(5,14),0.671759 # DEPENDENCYPART_ARC
(5,15),0.225892 # DEPENDENCYPART_ARC
(5,16),2.68469 # DEPENDENCYPART_ARC
(5,17),-0.29282 # DEPENDENCYPART_ARC
(5,18),0.472332 # DEPENDENCYPART_ARC
(5,19),0.216095 # DEPENDENCYPART_ARC
(5,20),0.532757 # DEPENDENCYPART_ARC
(5,21),-1.09556 # DEPENDENCYPART_ARC
(5,22),0.134418 # DEPENDENCYPART_ARC
(5,23),-1.68136 # DEPENDENCYPART_ARC
(5,24),-1.89757 # DEPENDENCYPART_ARC
(5,25),-1.89829 # DEPENDENCYPART_ARC
(5,26),2.9135 # DEPENDENCYPART_ARC
(6,1),-0.894402 # DEPENDENCYPART_ARC
(6,2),-0.631106 # DEPENDENCYPART_ARC
(6,3),-0.370548 # DEPENDENCYPART_ARC
(6,4),-0.367426 # DEPENDENCYPART_ARC
(6,5),0.223364 # DEPENDENCYPART_ARC
(6,7),2.7923 # DEPENDENCYPART_ARC
(6,8),2.93071 # DEPENDENCYPART_ARC
(6,9),0.405001 # DEPENDENCYPART_ARC
(6,10),0.780922 # DEPENDENCYPART_ARC
(6,11),1.81097 # DEPENDENCYPART_ARC
(6,12),-0.720564 # DEPENDENCYPART_ARC
(6,13),-0.994844 # DEPENDENCYPART_ARC
(6,14),0.85214 # DEPENDENCYPART_ARC
(6,15),0.284788 # DEPENDENCYPART_ARC
(6,16),-2.0571 # DEPENDENCYPART_ARC
(6,17),-1.34541 # DEPENDENCYPART_ARC
(6,18),0.0812681 # DEPENDENCYPART_ARC
(6,19),-1.63132 # DEPENDENCYPART_ARC
(6,20),-2.41137 # DEPENDENCYPART_ARC
(6,21),-1.85257 # DEPENDENCYPART_ARC
(6,22),-3.88328 # DEPENDENCYPART_ARC
(6,23),-2.80459 # DEPENDENCYPART_ARC
(6,24),-3.06513 # DEPENDENCYPART_ARC
(6,25),-3.24741 # DEPENDENCYPART_ARC
(6,26),-0.563039 # DEPENDENCYPART_ARC
(7,1),-1.31067 # DEPENDENCYPART_ARC
(7,2),-1.23395 # DEPENDENCYPART_ARC
(7,3),-1.34455 # DEPENDENCYPART_ARC
(7,4),-0.85118 # DEPENDENCYPART_ARC
(7,5),-1.86121 # DEPENDENCYPART_ARC
(7,6),-0.640731 # DEPENDENCYPART_ARC
(7,8),2.1916 # DEPENDENCYPART_ARC
(7,9),2.12033 # DEPENDENCYPART_ARC
(7,10),-0.809302 # DEPENDENCYPART_ARC
(7,11),-0.418148 # DEPENDENCYPART_ARC
(7,12),1.16125 # DEPENDENCYPART_ARC
(7,13),-1.64637 # DEPENDENCYPART_ARC
(7,14),0.280794 # DEPENDENCYPART_ARC
(7,15),0.0821104 # DEPENDENCYPART_ARC
(7,16),-1.74247 # DEPENDENCYPART_ARC
(7,17),-1.56408 # DEPENDENCYPART_ARC
(7,18),0.224863 # DEPENDENCYPART_ARC
(7,19),-1.32624 # DEPENDENCYPART_ARC
(7,20),-1.95267 # DEPENDENCYPART_ARC
(7,21),-2.78953 # DEPENDENCYPART_ARC
(7,22),-2.55665 # DEPENDENCYPART_ARC
(7,23),-3.52997 # DEPENDENCYPART_ARC
(7,24),-3.84382 # DEPENDENCYPART_ARC
(7,25),-4.66822 # DEPENDENCYPART_ARC
(7,26),-0.0491692 # DEPENDENCYPART_ARC
(8,1),1.42521 # DEPENDENCYPART_ARC
(8,2),0.444241 # DEPENDENCYPART_ARC
(8,3),0.765353 # DEPENDENCYPART_ARC
(8,4),1.58619 # DEPENDENCYPART_ARC
(8,5),0.293247 # DEPENDENCYPART_ARC
(8,6),0.682255 # DEPENDENCYPART_ARC
(8,7),5.31154 # DEPENDENCYPART_ARC
(8,9),4.21724 # DEPENDENCYPART_ARC
(8,10),0.589688 # DEPENDENCYPART_ARC
(8,11),1.1261 # DEPENDENCYPART_ARC
(8,12),2.59579 # DEPENDENCYPART_ARC
(8,13),-0.0683017 # DEPENDENCYPART_ARC
(8,14),1.30307 # DEPENDENCYPART_ARC
(8,15),2.56517 # DEPENDENCYPART_ARC
(8,16),-0.089911 # DEPENDENCYPART_ARC
(8,17),-0.0174031 # DEPENDENCYPART_ARC
(8,18),2.94041 # DEPENDENCYPART_ARC
(8,19),0.242292 # DEPENDENCYPART_ARC
(8,20),-0.453882 # DEPENDENCYPART_ARC
(8,21),-1.29876 # DEPENDENCYPART_ARC
(8,22),-0.655589 # DEPENDENCYPART_ARC
(8,23),-2.00349 # DEPENDENCYPART_ARC
(8,24),-2.38447 # DEPENDENCYPART_ARC
(8,25),-2.75139 # DEPENDENCYPART_ARC
(8,26),1.68258 # DEPENDENCYPART_ARC
(9,1),-0.928688 # DEPENDENCYPART_ARC
(9,2),-1.23714 # DEPENDENCYPART_ARC
(9,3),-1.09916 # DEPENDENCYPART_ARC
(9,4),-0.770274 # DEPENDENCYPART_ARC
(9,5),-0.463777 # DEPENDENCYPART_ARC
(9,6),-0.231952 # DEPENDENCYPART_ARC
(9,7),0.415525 # DEPENDENCYPART_ARC
(9,8),0.88021 # DEPENDENCYPART_ARC
(9,10),3.14587 # DEPENDENCYPART_ARC
(9,11),3.2936 # DEPENDENCYPART_ARC
(9,12),0.681232 # DEPENDENCYPART_ARC
(9,13),0.918098 # DEPENDENCYPART_ARC
(9,14),1.78661 # DEPENDENCYPART_ARC
(9,15),0.905492 # DEPENDENCYPART_ARC
(9,16),-0.120994 # DEPENDENCYPART_ARC
(9,17),-0.57354 # DEPENDENCYPART_ARC
(9,18),0.280668 # DEPENDENCYPART_ARC
(9,19),0.342785 # DEPENDENCYPART_ARC
(9,20),-1.1379 # DEPENDENCYPART_ARC
(9,21),-0.923702 # DEPENDENCYPART_ARC
(9,22),-1.02776 # DEPENDENCYPART_ARC
(9,23),-1.25013 # DEPENDENCYPART_ARC
(9,24),-1.32136 # DEPENDENCYPART_ARC
(9,25),-0.855142 # DEPENDENCYPART_ARC
(9,26),0.214473 # DEPENDENCYPART_ARC
(10,1),-2.27801 # DEPENDENCYPART_ARC
(10,2),-2.92501 # DEPENDENCYPART_ARC
(10,3),-3.13393 # DEPENDENCYPART_ARC
(10,4),-2.82464 # DEPENDENCYPART_ARC
(10,5),-3.18144 # DEPENDENCYPART_ARC
(10,6),-3.04258 # DEPENDENCYPART_ARC
(10,7),-0.965373 # DEPENDENCYPART_ARC
(10,8),-1.74299 # DEPENDENCYPART_ARC
(10,9),-1.51915 # DEPENDENCYPART_ARC
(10,11),1.79987 # DEPENDENCYPART_ARC
(10,12),0.618228 # DEPENDENCYPART_ARC
(10,13),-0.666128 # DEPENDENCYPART_ARC
(10,14),0.451834 # DEPENDENCYPART_ARC
(10,15),-0.395828 # DEPENDENCYPART_ARC
(10,16),-1.75282 # DEPENDENCYPART_ARC
(10,17),-1.74138 # DEPENDENCYPART_ARC
(10,18),-0.0568086 # DEPENDENCYPART_ARC
(10,19),-1.70834 # DEPENDENCYPART_ARC
(10,20),-1.94356 # DEPENDENCYPART_ARC
(10,21),-2.88148 # DEPENDENCYPART_ARC
(10,22),-3.13961 # DEPENDENCYPART_ARC
(10,23),-3.58644 # DEPENDENCYPART_ARC
(10,24),-3.94294 # DEPENDENCYPART_ARC
(10,25),-4.56872 # DEPENDENCYPART_ARC
(10,26),0.114198 # DEPENDENCYPART_ARC
(11,1),0.535613 # DEPENDENCYPART_ARC
(11,2),-0.50187 # DEPENDENCYPART_ARC
(11,3),-0.741056 # DEPENDENCYPART_ARC
(11,4),-0.0576916 # DEPENDENCYPART_ARC
(11,5),-1.5942 # DEPENDENCYPART_ARC
(11,6),-0.734297 # DEPENDENCYPART_ARC
(11,7),2.25459 # DEPENDENCYPART_ARC
(11,8),1.00717 # DEPENDENCYPART_ARC
(11,9),0.214838 # DEPENDENCYPART_ARC
(11,10),4.67891 # DEPENDENCYPART_ARC
(11,12),3.21697 # DEPENDENCYPART_ARC
(11,13),1.19112 # DEPENDENCYPART_ARC
(11,14),1.88042 # DEPENDENCYPART_ARC
(11,15),1.92681 # DEPENDENCYPART_ARC
(11,16),0.362212 # DEPENDENCYPART_ARC
(11,17),0.373667 # DEPENDENCYPART_ARC
(11,18),1.96628 # DEPENDENCYPART_ARC
(11,19),0.239627 # DEPENDENCYPART_ARC
(11,20),-0.103283 # DEPENDENCYPART_ARC
(11,21),-0.85259 # DEPENDENCYPART_ARC
(11,22),-0.699282 # DEPENDENCYPART_ARC
(11,23),-1.70229 # DEPENDENCYPART_ARC
(11,24),-1.99696 # DEPENDENCYPART_ARC
(11,25),-1.84666 # DEPENDENCYPART_ARC
(11,26),2.23223 # DEPENDENCYPART_ARC
(12,1),-2.25456 # DEPENDENCYPART_ARC
(12,2),-1.61855 # DEPENDENCYPART_ARC
(12,3),-1.61588 # DEPENDENCYPART_ARC
(12,4),-1.48258 # DEPENDENCYPART_ARC
(12,5),-1.31662 # DEPENDENCYPART_ARC
(12,6),-1.27796 # DEPENDENCYPART_ARC
(12,7),-0.620194 # DEPENDENCYPART_ARC
(12,8),-0.718869 # DEPENDENCYPART_ARC
(12,9),-0.903931 # DEPENDENCYPART_ARC
(12,10),-0.325751 # DEPENDENCYPART_ARC
(12,11),-0.0312512 # DEPENDENCYPART_ARC
(12,13),2.66054 # DEPENDENCYPART_ARC
(12,14),3.66129 # DEPENDENCYPART_ARC
(12,15),0.719925 # DEPENDENCYPART_ARC
(12,16),-0.287492 # DEPENDENCYPART_ARC
(12,17),0.701528 # DEPENDENCYPART_ARC
(12,18),0.623404 # DEPENDENCYPART_ARC
(12,19),-0.0459132 # DEPENDENCYPART_ARC
(12,20),-1.02108 # DEPENDENCYPART_ARC
(12,21),-0.353893 # DEPENDENCYPART_ARC
(12,22),-1.99138 # DEPENDENCYPART_ARC
(12,23),-1.15737 # DEPENDENCYPART_ARC
(12,24),-1.3323 # DEPENDENCYPART_ARC
(12,25),-1.45695 # DEPENDENCYPART_ARC
(12,26),0.521112 # DEPENDENCYPART_ARC
(13,1),-3.25593 # DEPENDENCYPART_ARC
(13,2),-3.3747 # DEPENDENCYPART_ARC
(13,3),-3.23256 # DEPENDENCYPART_ARC
(13,4),-3.21479 # DEPENDENCYPART_ARC
(13,5),-4.27674 # DEPENDENCYPART_ARC
(13,6),-3.61367 # DEPENDENCYPART_ARC
(13,7),-2.2371 # DEPENDENCYPART_ARC
(13,8),-2.83671 # DEPENDENCYPART_ARC
(13,9),-3.11013 # DEPENDENCYPART_ARC
(13,10),0.140351 # DEPENDENCYPART_ARC
(13,11),-0.988916 # DEPENDENCYPART_ARC
(13,12),-0.760324 # DEPENDENCYPART_ARC
(13,14),2.0314 # DEPENDENCYPART_ARC
(13,15),0.259822 # DEPENDENCYPART_ARC
(13,16),-0.694599 # DEPENDENCYPART_ARC
(13,17),-0.0984755 # DEPENDENCYPART_ARC
(13,18),0.19352 # DEPENDENCYPART_ARC
(13,19),-1.0829 # DEPENDENCYPART_ARC
(13,20),-1.30958 # DEPENDENCYPART_ARC
(13,21),-1.75662 # DEPENDENCYPART_ARC
(13,22),-2.12531 # DEPENDENCYPART_ARC
(13,23),-2.49532 # DEPENDENCYPART_ARC
(13,24),-2.85745 # DEPENDENCYPART_ARC
(13,25),-3.3469 # DEPENDENCYPART_ARC
(13,26),-0.622901 # DEPENDENCYPART_ARC
(14,1),-1.23276 # DEPENDENCYPART_ARC
(14,2),-1.47907 # DEPENDENCYPART_ARC
(14,3),-1.93115 # DEPENDENCYPART_ARC
(14,4),-1.18017 # DEPENDENCYPART_ARC
(14,5),-2.60081 # DEPENDENCYPART_ARC
(14,6),-2.0503 # DEPENDENCYPART_ARC
(14,7),-0.190254 # DEPENDENCYPART_ARC
(14,8),-1.81518 # DEPENDENCYPART_ARC
(14,9),-1.45294 # DEPENDENCYPART_ARC
(14,10),2.01643 # DEPENDENCYPART_ARC
(14,11),0.885719 # DEPENDENCYPART_ARC
(14,12),0.766669 # DEPENDENCYPART_ARC
(14,13),5.30856 # DEPENDENCYPART_ARC
(14,15),1.74093 # DEPENDENCYPART_ARC
(14,16),0.573436 # DEPENDENCYPART_ARC
(14,17),0.545659 # DEPENDENCYPART_ARC
(14,18),2.04802 # DEPENDENCYPART_ARC
(14,19),-0.562523 # DEPENDENCYPART_ARC
(14,20),-0.568473 # DEPENDENCYPART_ARC
(14,21),-1.39047 # DEPENDENCYPART_ARC
(14,22),-1.21435 # DEPENDENCYPART_ARC
(14,23),-2.04557 # DEPENDENCYPART_ARC
(14,24),-2.42454 # DEPENDENCYPART_ARC
(14,25),-2.87368 # DEPENDENCYPART_ARC
(14,26),1.02334 # DEPENDENCYPART_ARC
(15,1),-2.32457 # DEPENDENCYPART_ARC
(15,2),-2.47503 # DEPENDENCYPART_ARC
(15,3),-2.40421 # DEPENDENCYPART_ARC
(15,4),-1.48079 # DEPENDENCYPART_ARC
(15,5),-2.15628 # DEPENDENCYPART_ARC
(15,6),-1.86032 # DEPENDENCYPART_ARC
(15,7),-2.22101 # DEPENDENCYPART_ARC
(15,8),-2.11404 # DEPENDENCYPART_ARC
(15,9),-1.96459 # DEPENDENCYPART_ARC
(15,10),-2.03253 # DEPENDENCYPART_ARC
(15,11),-1.83367 # DEPENDENCYPART_ARC
(15,12),-1.03392 # DEPENDENCYPART_ARC
(15,13),-1.55846 # DEPENDENCYPART_ARC
(15,14),-1.00516 # DEPENDENCYPART_ARC
(15,16),-0.322044 # DEPENDENCYPART_ARC
(15,17),-0.916719 # DEPENDENCYPART_ARC
(15,18),0.418645 # DEPENDENCYPART_ARC
(15,19),-1.13237 # DEPENDENCYPART_ARC
(15,20),-1.75506 # DEPENDENCYPART_ARC
(15,21),-2.26942 # DEPENDENCYPART_ARC
(15,22),-1.57357 # DEPENDENCYPART_ARC
(15,23),-2.50673 # DEPENDENCYPART_ARC
(15,24),-2.58198 # DEPENDENCYPART_ARC
(15,25),-2.66767 # DEPENDENCYPART_ARC
(15,26),-1.53867 # DEPENDENCYPART_ARC
(16,1),-1.74636 # DEPENDENCYPART_ARC
(16,2),-1.19758 # DEPENDENCYPART_ARC
(16,3),-1.38433 # DEPENDENCYPART_ARC
(16,4),-1.54192 # DEPENDENCYPART_ARC
(16,5),-2.05471 # DEPENDENCYPART_ARC
(16,6),-1.12678 # DEPENDENCYPART_ARC
(16,7),0.295124 # DEPENDENCYPART_ARC
(16,8),-0.863892 # DEPENDENCYPART_ARC
(16,9),-1.73982 # DEPENDENCYPART_ARC
(16,10),0.286279 # DEPENDENCYPART_ARC
(16,11),-0.3917 # DEPENDENCYPART_ARC
(16,12),0.00311137 # DEPENDENCYPART_ARC
(16,13),1.93727 # DEPENDENCYPART_ARC
(16,14),0.682587 # DEPENDENCYPART_ARC
(16,15),1.19701 # DEPENDENCYPART_ARC
(16,17),2.4381 # DEPENDENCYPART_ARC
(16,18),1.03997 # DEPENDENCYPART_ARC
(16,19),0.615614 # DEPENDENCYPART_ARC
(16,20),0.676086 # DEPENDENCYPART_ARC
(16,21),0.765396 # DEPENDENCYPART_ARC
(16,22),0.388806 # DEPENDENCYPART_ARC
(16,23),0.56956 # DEPENDENCYPART_ARC
(16,24),0.785804 # DEPENDENCYPART_ARC
(16,25),-0.0724233 # DEPENDENCYPART_ARC
(16,26),0.17201 # DEPENDENCYPART_ARC
(17,1),-0.802419 # DEPENDENCYPART_ARC
(17,2),-0.498058 # DEPENDENCYPART_ARC
(17,3),-1.60788 # DEPENDENCYPART_ARC
(17,4),-1.89429 # DEPENDENCYPART_ARC
(17,5),-1.78749 # DEPENDENCYPART_ARC
(17,6),-0.156504 # DEPENDENCYPART_ARC
(17,7),-0.750104 # DEPENDENCYPART_ARC
(17,8),-0.888474 # DEPENDENCYPART_ARC
(17,9),-1.25448 # DEPENDENCYPART_ARC
(17,10),-0.57027 # DEPENDENCYPART_ARC
(17,11),-0.501691 # DEPENDENCYPART_ARC
(17,12),0.355026 # DEPENDENCYPART_ARC
(17,13),0.373262 # DEPENDENCYPART_ARC
(17,14),0.41451 # DEPENDENCYPART_ARC
(17,15),1.01319 # DEPENDENCYPART_ARC
(17,16),1.96325 # DEPENDENCYPART_ARC
(17,18),1.21081 # DEPENDENCYPART_ARC
(17,19),0.795062 # DEPENDENCYPART_ARC
(17,20),0.439046 # DEPENDENCYPART_ARC
(17,21),-0.0634946 # DEPENDENCYPART_ARC
(17,22),-0.489534 # DEPENDENCYPART_ARC
(17,23),-0.340659 # DEPENDENCYPART_ARC
(17,24),-0.432702 # DEPENDENCYPART_ARC
(17,25),-0.813797 # DEPENDENCYPART_ARC
(17,26),0.0377358 # DEPENDENCYPART_ARC
(18,1),-2.52802 # DEPENDENCYPART_ARC
(18,2),-2.75979 # DEPENDENCYPART_ARC
(18,3),-2.65987 # DEPENDENCYPART_ARC
(18,4),-1.47947 # DEPENDENCYPART_ARC
(18,5),-2.25216 # DEPENDENCYPART_ARC
(18,6),-2.09562 # DEPENDENCYPART_ARC
(18,7),-2.47944 # DEPENDENCYPART_ARC
(18,8),-2.28692 # DEPENDENCYPART_ARC
(18,9),-2.25961 # DEPENDENCYPART_ARC
(18,10),-2.09456 # DEPENDENCYPART_ARC
(18,11),-1.96618 # DEPENDENCYPART_ARC
(18,12),-1.3844 # DEPENDENCYPART_ARC
(18,13),-1.89845 # DEPENDENCYPART_ARC
(18,14),-1.74209 # DEPENDENCYPART_ARC
(18,15),0.147386 # DEPENDENCYPART_ARC
(18,16),-1.18313 # DEPENDENCYPART_ARC
(18,17),-0.451736 # DEPENDENCYPART_ARC
(18,19),-0.501943 # DEPENDENCYPART_ARC
(18,20),-1.54956 # DEPENDENCYPART_ARC
(18,21),-2.10718 # DEPENDENCYPART_ARC
(18,22),-1.97104 # DEPENDENCYPART_ARC
(18,23),-2.52853 # DEPENDENCYPART_ARC
(18,24),-2.91055 # DEPENDENCYPART_ARC
(18,25),-2.93868 # DEPENDENCYPART_ARC
(18,26),-2.14461 # DEPENDENCYPART_ARC
(19,1),-2.73222 # DEPENDENCYPART_ARC
(19,2),-0.50526 # DEPENDENCYPART_ARC
(19,3),-0.68757 # DEPENDENCYPART_ARC
(19,4),-0.0771917 # DEPENDENCYPART_ARC
(19,5),0.692642 # DEPENDENCYPART_ARC
(19,6),-1.13662 # DEPENDENCYPART_ARC
(19,7),0.86663 # DEPENDENCYPART_ARC
(19,8),1.3706 # DEPENDENCYPART_ARC
(19,9),0.253926 # DEPENDENCYPART_ARC
(19,10),1.41835 # DEPENDENCYPART_ARC
(19,11),1.65235 # DEPENDENCYPART_ARC
(19,12),-0.350786 # DEPENDENCYPART_ARC
(19,13),1.45427 # DEPENDENCYPART_ARC
(19,14),1.26332 # DEPENDENCYPART_ARC
(19,15),1.80648 # DEPENDENCYPART_ARC
(19,16),1.14101 # DEPENDENCYPART_ARC
(19,17),0.557239 # DEPENDENCYPART_ARC
(19,18),2.00857 # DEPENDENCYPART_ARC
(19,20),3.55349 # DEPENDENCYPART_ARC
(19,21),1.78051 # DEPENDENCYPART_ARC
(19,22),3.01773 # DEPENDENCYPART_ARC
(19,23),0.496696 # DEPENDENCYPART_ARC
(19,24),0.265192 # DEPENDENCYPART_ARC
(19,25),0.00340459 # DEPENDENCYPART_ARC
(19,26),5.71279 # DEPENDENCYPART_ARC
(20,1),-2.09962 # DEPENDENCYPART_ARC
(20,2),-1.88327 # DEPENDENCYPART_ARC
(20,3),-2.15662 # DEPENDENCYPART_ARC
(20,4),-1.7574 # DEPENDENCYPART_ARC
(20,5),-2.6101 # DEPENDENCYPART_ARC
(20,6),-2.2898 # DEPENDENCYPART_ARC
(20,7),-1.27292 # DEPENDENCYPART_ARC
(20,8),-1.9999 # DEPENDENCYPART_ARC
(20,9),-2.63234 # DEPENDENCYPART_ARC
