# _root_ Even food products and automobiles , which have long depended on color , are making the switch .
#goldHeads=3,3,14,3,4,3,8,3,10,8,10,11,3,0,14,17,15,14,
#predictedHeads=3,3,14,3,4,3,8,3,8,8,10,11,5,0,14,17,15,14,
(11,16),-2.30165 # DEPENDENCYPART_ARC
(11,17),-1.87905 # DEPENDENCYPART_ARC
(11,18),-0.163805 # DEPENDENCYPART_ARC
(12,1),-3.03767 # DEPENDENCYPART_ARC
(12,2),-2.09849 # DEPENDENCYPART_ARC
(12,3),-2.07504 # DEPENDENCYPART_ARC
(12,4),-1.90035 # DEPENDENCYPART_ARC
(12,5),-1.41259 # DEPENDENCYPART_ARC
(12,6),-1.47719 # DEPENDENCYPART_ARC
(12,7),-0.486244 # DEPENDENCYPART_ARC
(12,8),-1.02519 # DEPENDENCYPART_ARC
(12,9),-0.159367 # DEPENDENCYPART_ARC
(12,10),0.497389 # DEPENDENCYPART_ARC
(12,11),1.02142 # DEPENDENCYPART_ARC
(12,13),1.29898 # DEPENDENCYPART_ARC
(12,14),0.427566 # DEPENDENCYPART_ARC
(12,15),0.299596 # DEPENDENCYPART_ARC
(12,16),-0.682875 # DEPENDENCYPART_ARC
(12,17),-0.205205 # DEPENDENCYPART_ARC
(12,18),-0.220571 # DEPENDENCYPART_ARC
(13,1),-2.68493 # DEPENDENCYPART_ARC
(13,2),-1.94599 # DEPENDENCYPART_ARC
(13,3),-2.13685 # DEPENDENCYPART_ARC
(13,4),-2.10255 # DEPENDENCYPART_ARC
(13,5),-1.97225 # DEPENDENCYPART_ARC
(13,6),-0.425506 # DEPENDENCYPART_ARC
(13,7),-0.943709 # DEPENDENCYPART_ARC
(13,8),-1.97116 # DEPENDENCYPART_ARC
(13,9),-1.65538 # DEPENDENCYPART_ARC
(13,10),-0.592832 # DEPENDENCYPART_ARC
(13,11),-0.951887 # DEPENDENCYPART_ARC
(13,12),-0.66786 # DEPENDENCYPART_ARC
(13,14),-0.458383 # DEPENDENCYPART_ARC
(13,15),-1.23656 # DEPENDENCYPART_ARC
(13,16),-1.94881 # DEPENDENCYPART_ARC
(13,17),-2.22534 # DEPENDENCYPART_ARC
(13,18),-2.03589 # DEPENDENCYPART_ARC
(14,1),0.420344 # DEPENDENCYPART_ARC
(14,2),-0.353791 # DEPENDENCYPART_ARC
(14,3),0.208361 # DEPENDENCYPART_ARC
(14,4),0.0855733 # DEPENDENCYPART_ARC
(14,5),1.65789 # DEPENDENCYPART_ARC
(14,6),0.363042 # DEPENDENCYPART_ARC
(14,7),1.33973 # DEPENDENCYPART_ARC
(14,8),-0.0371386 # DEPENDENCYPART_ARC
(14,9),0.633182 # DEPENDENCYPART_ARC
(14,10),0.649887 # DEPENDENCYPART_ARC
(14,11),1.07535 # DEPENDENCYPART_ARC
(14,12),0.985021 # DEPENDENCYPART_ARC
(14,13),1.92822 # DEPENDENCYPART_ARC
(14,15),3.80594 # DEPENDENCYPART_ARC
(14,16),0.672693 # DEPENDENCYPART_ARC
(14,17),1.26605 # DEPENDENCYPART_ARC
(14,18),4.35648 # DEPENDENCYPART_ARC
(15,1),-1.7086 # DEPENDENCYPART_ARC
(15,2),-1.31612 # DEPENDENCYPART_ARC
(15,3),-1.19949 # DEPENDENCYPART_ARC
(15,4),-1.57557 # DEPENDENCYPART_ARC
(15,5),-1.01 # DEPENDENCYPART_ARC
(15,6),-0.706358 # DEPENDENCYPART_ARC
(15,7),0.562103 # DEPENDENCYPART_ARC
(15,8),-0.609465 # DEPENDENCYPART_ARC
(15,9),-0.44611 # DEPENDENCYPART_ARC
(15,10),-0.173455 # DEPENDENCYPART_ARC
(15,11),0.280134 # DEPENDENCYPART_ARC
(15,12),0.24485 # DEPENDENCYPART_ARC
(15,13),0.27925 # DEPENDENCYPART_ARC
(15,14),0.783783 # DEPENDENCYPART_ARC
(15,16),1.65069 # DEPENDENCYPART_ARC
(15,17),3.45102 # DEPENDENCYPART_ARC
(15,18),0.889053 # DEPENDENCYPART_ARC
(16,1),-3.83574 # DEPENDENCYPART_ARC
(16,2),-4.10598 # DEPENDENCYPART_ARC
(16,3),-3.69038 # DEPENDENCYPART_ARC
(16,4),-3.75308 # DEPENDENCYPART_ARC
(16,5),-3.50398 # DEPENDENCYPART_ARC
(16,6),-3.05705 # DEPENDENCYPART_ARC
(16,7),-2.20901 # DEPENDENCYPART_ARC
(16,8),-3.08403 # DEPENDENCYPART_ARC
(16,9),-2.892 # DEPENDENCYPART_ARC
(16,10),-2.68742 # DEPENDENCYPART_ARC
(16,11),-2.13276 # DEPENDENCYPART_ARC
(16,12),-2.51124 # DEPENDENCYPART_ARC
(16,13),-1.77211 # DEPENDENCYPART_ARC
(16,14),-2.04167 # DEPENDENCYPART_ARC
(16,15),-0.971947 # DEPENDENCYPART_ARC
(16,17),-0.35153 # DEPENDENCYPART_ARC
(16,18),-1.97498 # DEPENDENCYPART_ARC
(17,1),-4.10117 # DEPENDENCYPART_ARC
(17,2),-3.76834 # DEPENDENCYPART_ARC
(17,3),-2.82574 # DEPENDENCYPART_ARC
(17,4),-1.49081 # DEPENDENCYPART_ARC
(17,5),-2.07154 # DEPENDENCYPART_ARC
(17,6),-1.39034 # DEPENDENCYPART_ARC
(17,7),-1.4343 # DEPENDENCYPART_ARC
(17,8),-1.82048 # DEPENDENCYPART_ARC
(17,9),-2.57221 # DEPENDENCYPART_ARC
(17,10),-1.51987 # DEPENDENCYPART_ARC
(17,11),-0.427876 # DEPENDENCYPART_ARC
(17,12),-0.639876 # DEPENDENCYPART_ARC
(17,13),-0.251274 # DEPENDENCYPART_ARC
(17,14),-0.620183 # DEPENDENCYPART_ARC
(17,15),0.747161 # DEPENDENCYPART_ARC
(17,16),4.31725 # DEPENDENCYPART_ARC
(17,18),0.53547 # DEPENDENCYPART_ARC
(18,1),-1.80352 # DEPENDENCYPART_ARC
(18,2),-1.95907 # DEPENDENCYPART_ARC
(18,3),-2.0613 # DEPENDENCYPART_ARC
(18,4),-2.10709 # DEPENDENCYPART_ARC
(18,5),-1.78689 # DEPENDENCYPART_ARC
(18,6),-0.492 # DEPENDENCYPART_ARC
(18,7),-1.04101 # DEPENDENCYPART_ARC
(18,8),-1.40567 # DEPENDENCYPART_ARC
(18,9),-1.36856 # DEPENDENCYPART_ARC
(18,10),-1.1524 # DEPENDENCYPART_ARC
(18,11),-1.53046 # DEPENDENCYPART_ARC
(18,12),-1.028 # DEPENDENCYPART_ARC
(18,13),-0.0776582 # DEPENDENCYPART_ARC
(18,14),-1.10859 # DEPENDENCYPART_ARC
(18,15),-0.42643 # DEPENDENCYPART_ARC
(18,16),-0.603732 # DEPENDENCYPART_ARC
(18,17),-1.74167 # DEPENDENCYPART_ARC
