# _root_ Then , nine minutes later , Wall Street suddenly rebounded to a gain on the day .
#goldHeads=10,10,4,5,10,10,8,10,10,0,10,13,11,13,16,14,10,
#predictedHeads=4,10,4,5,10,10,8,10,10,0,10,13,11,13,16,14,10,
(6,7),-0.306118 # DEPENDENCYPART_ARC
(6,8),-0.955737 # DEPENDENCYPART_ARC
(6,9),-1.43501 # DEPENDENCYPART_ARC
(6,10),-1.27668 # DEPENDENCYPART_ARC
(6,11),-1.75483 # DEPENDENCYPART_ARC
(6,12),-2.02485 # DEPENDENCYPART_ARC
(6,13),-2.58603 # DEPENDENCYPART_ARC
(6,14),-1.76713 # DEPENDENCYPART_ARC
(6,15),-2.36053 # DEPENDENCYPART_ARC
(6,16),-2.93525 # DEPENDENCYPART_ARC
(6,17),-1.78739 # DEPENDENCYPART_ARC
(7,1),-3.91508 # DEPENDENCYPART_ARC
(7,2),-2.31006 # DEPENDENCYPART_ARC
(7,3),-1.30417 # DEPENDENCYPART_ARC
(7,4),-1.94284 # DEPENDENCYPART_ARC
(7,5),-1.42186 # DEPENDENCYPART_ARC
(7,6),-0.739062 # DEPENDENCYPART_ARC
(7,8),1.5698 # DEPENDENCYPART_ARC
(7,9),-0.932252 # DEPENDENCYPART_ARC
(7,10),-1.43414 # DEPENDENCYPART_ARC
(7,11),-1.22268 # DEPENDENCYPART_ARC
(7,12),-1.62355 # DEPENDENCYPART_ARC
(7,13),-1.17712 # DEPENDENCYPART_ARC
(7,14),-2.28737 # DEPENDENCYPART_ARC
(7,15),-1.56963 # DEPENDENCYPART_ARC
(7,16),-2.1258 # DEPENDENCYPART_ARC
(7,17),-1.26148 # DEPENDENCYPART_ARC
(8,1),-3.16111 # DEPENDENCYPART_ARC
(8,2),-1.52872 # DEPENDENCYPART_ARC
(8,3),-0.429421 # DEPENDENCYPART_ARC
(8,4),-0.947188 # DEPENDENCYPART_ARC
(8,5),-1.32945 # DEPENDENCYPART_ARC
(8,6),0.375664 # DEPENDENCYPART_ARC
(8,7),4.33558 # DEPENDENCYPART_ARC
(8,9),0.290626 # DEPENDENCYPART_ARC
(8,10),-0.465573 # DEPENDENCYPART_ARC
(8,11),-0.550663 # DEPENDENCYPART_ARC
(8,12),-1.13047 # DEPENDENCYPART_ARC
(8,13),-0.467901 # DEPENDENCYPART_ARC
(8,14),-1.62887 # DEPENDENCYPART_ARC
(8,15),-1.11779 # DEPENDENCYPART_ARC
(8,16),-1.30187 # DEPENDENCYPART_ARC
(8,17),-0.622795 # DEPENDENCYPART_ARC
(9,1),-0.992883 # DEPENDENCYPART_ARC
(9,2),-1.01118 # DEPENDENCYPART_ARC
(9,3),-0.857469 # DEPENDENCYPART_ARC
(9,4),-1.08686 # DEPENDENCYPART_ARC
(9,5),-0.213787 # DEPENDENCYPART_ARC
(9,6),-0.0953529 # DEPENDENCYPART_ARC
(9,7),-0.332438 # DEPENDENCYPART_ARC
(9,8),0.0748052 # DEPENDENCYPART_ARC
(9,10),0.664639 # DEPENDENCYPART_ARC
(9,11),0.715785 # DEPENDENCYPART_ARC
(9,12),-0.123716 # DEPENDENCYPART_ARC
(9,13),-0.0777686 # DEPENDENCYPART_ARC
(9,14),-0.531606 # DEPENDENCYPART_ARC
(9,15),-1.15876 # DEPENDENCYPART_ARC
(9,16),-1.05008 # DEPENDENCYPART_ARC
(9,17),-0.889743 # DEPENDENCYPART_ARC
(10,1),0.264629 # DEPENDENCYPART_ARC
(10,2),1.11631 # DEPENDENCYPART_ARC
(10,3),0.408397 # DEPENDENCYPART_ARC
(10,4),1.30332 # DEPENDENCYPART_ARC
(10,5),1.04017 # DEPENDENCYPART_ARC
(10,6),1.32177 # DEPENDENCYPART_ARC
(10,7),1.24391 # DEPENDENCYPART_ARC
(10,8),1.09455 # DEPENDENCYPART_ARC
(10,9),1.97528 # DEPENDENCYPART_ARC
(10,11),4.21674 # DEPENDENCYPART_ARC
(10,12),0.532961 # DEPENDENCYPART_ARC
(10,13),2.14416 # DEPENDENCYPART_ARC
(10,14),2.37455 # DEPENDENCYPART_ARC
(10,15),-0.497923 # DEPENDENCYPART_ARC
(10,16),-0.172035 # DEPENDENCYPART_ARC
(10,17),1.99146 # DEPENDENCYPART_ARC
(11,1),-1.60514 # DEPENDENCYPART_ARC
(11,2),-1.1037 # DEPENDENCYPART_ARC
(11,3),-0.939847 # DEPENDENCYPART_ARC
(11,4),-1.08174 # DEPENDENCYPART_ARC
(11,5),-1.00723 # DEPENDENCYPART_ARC
(11,6),-0.855067 # DEPENDENCYPART_ARC
(11,7),-0.487276 # DEPENDENCYPART_ARC
(11,8),0.102872 # DEPENDENCYPART_ARC
(11,9),0.174787 # DEPENDENCYPART_ARC
(11,10),0.676112 # DEPENDENCYPART_ARC
(11,12),1.64748 # DEPENDENCYPART_ARC
(11,13),3.67159 # DEPENDENCYPART_ARC
(11,14),0.4246 # DEPENDENCYPART_ARC
(11,15),-0.576769 # DEPENDENCYPART_ARC
(11,16),0.723614 # DEPENDENCYPART_ARC
(11,17),0.371652 # DEPENDENCYPART_ARC
(12,1),-2.8084 # DEPENDENCYPART_ARC
(12,2),-2.2482 # DEPENDENCYPART_ARC
(12,3),-2.0533 # DEPENDENCYPART_ARC
(12,4),-2.23666 # DEPENDENCYPART_ARC
(12,5),-2.25422 # DEPENDENCYPART_ARC
(12,6),-1.78091 # DEPENDENCYPART_ARC
(12,7),-1.66879 # DEPENDENCYPART_ARC
(12,8),-1.5332 # DEPENDENCYPART_ARC
(12,9),-1.10554 # DEPENDENCYPART_ARC
(12,10),-0.626112 # DEPENDENCYPART_ARC
(12,11),-0.14023 # DEPENDENCYPART_ARC
(12,13),0.544063 # DEPENDENCYPART_ARC
(12,14),-0.559762 # DEPENDENCYPART_ARC
(12,15),-1.37295 # DEPENDENCYPART_ARC
(12,16),-0.692566 # DEPENDENCYPART_ARC
(12,17),-1.29406 # DEPENDENCYPART_ARC
(13,1),-4.06112 # DEPENDENCYPART_ARC
(13,2),-1.72934 # DEPENDENCYPART_ARC
(13,3),-1.433 # DEPENDENCYPART_ARC
(13,4),-1.71689 # DEPENDENCYPART_ARC
(13,5),-2.55661 # DEPENDENCYPART_ARC
(13,6),-1.6664 # DEPENDENCYPART_ARC
(13,7),-1.09931 # DEPENDENCYPART_ARC
(13,8),-1.27768 # DEPENDENCYPART_ARC
(13,9),-0.493611 # DEPENDENCYPART_ARC
(13,10),-0.272609 # DEPENDENCYPART_ARC
(13,11),0.300853 # DEPENDENCYPART_ARC
(13,12),4.51978 # DEPENDENCYPART_ARC
(13,14),3.3366 # DEPENDENCYPART_ARC
(13,15),0.743672 # DEPENDENCYPART_ARC
(13,16),1.40546 # DEPENDENCYPART_ARC
(13,17),0.653007 # DEPENDENCYPART_ARC
(14,1),-2.64847 # DEPENDENCYPART_ARC
(14,2),-2.35878 # DEPENDENCYPART_ARC
(14,3),-1.92206 # DEPENDENCYPART_ARC
(14,4),-1.95823 # DEPENDENCYPART_ARC
(14,5),-2.16894 # DEPENDENCYPART_ARC
(14,6),-1.78512 # DEPENDENCYPART_ARC
(14,7),-1.00299 # DEPENDENCYPART_ARC
(14,8),-1.10235 # DEPENDENCYPART_ARC
(14,9),-1.07997 # DEPENDENCYPART_ARC
(14,10),-0.590273 # DEPENDENCYPART_ARC
(14,11),-0.426917 # DEPENDENCYPART_ARC
(14,12),-0.00412251 # DEPENDENCYPART_ARC
(14,13),0.18751 # DEPENDENCYPART_ARC
(14,15),0.322114 # DEPENDENCYPART_ARC
(14,16),3.76505 # DEPENDENCYPART_ARC
(14,17),-0.231346 # DEPENDENCYPART_ARC
(15,1),-4.17851 # DEPENDENCYPART_ARC
(15,2),-3.74081 # DEPENDENCYPART_ARC
(15,3),-3.56887 # DEPENDENCYPART_ARC
(15,4),-3.89156 # DEPENDENCYPART_ARC
(15,5),-3.62594 # DEPENDENCYPART_ARC
(15,6),-3.37341 # DEPENDENCYPART_ARC
(15,7),-3.40247 # DEPENDENCYPART_ARC
(15,8),-3.25349 # DEPENDENCYPART_ARC
(15,9),-3.07338 # DEPENDENCYPART_ARC
(15,10),-2.71379 # DEPENDENCYPART_ARC
(15,11),-2.73566 # DEPENDENCYPART_ARC
(15,12),-1.68938 # DEPENDENCYPART_ARC
(15,13),-2.59097 # DEPENDENCYPART_ARC
(15,14),-1.23031 # DEPENDENCYPART_ARC
(15,16),-0.0994694 # DEPENDENCYPART_ARC
(15,17),-2.16804 # DEPENDENCYPART_ARC
(16,1),-4.6131 # DEPENDENCYPART_ARC
(16,2),-2.12886 # DEPENDENCYPART_ARC
(16,3),-2.64475 # DEPENDENCYPART_ARC
(16,4),-2.92469 # DEPENDENCYPART_ARC
(16,5),-3.57453 # DEPENDENCYPART_ARC
(16,6),-2.00351 # DEPENDENCYPART_ARC
(16,7),-2.89288 # DEPENDENCYPART_ARC
(16,8),-3.55457 # DEPENDENCYPART_ARC
(16,9),-2.37045 # DEPENDENCYPART_ARC
(16,10),-1.40389 # DEPENDENCYPART_ARC
(16,11),-1.25687 # DEPENDENCYPART_ARC
(16,12),1.34141 # DEPENDENCYPART_ARC
(16,13),-0.804809 # DEPENDENCYPART_ARC
(16,14),1.13013 # DEPENDENCYPART_ARC
(16,15),4.9588 # DEPENDENCYPART_ARC
(16,17),0.0777928 # DEPENDENCYPART_ARC
(17,1),-1.31139 # DEPENDENCYPART_ARC
(17,2),-1.0957 # DEPENDENCYPART_ARC
(17,3),-2.43102 # DEPENDENCYPART_ARC
(17,4),-1.98998 # DEPENDENCYPART_ARC
(17,5),-1.64312 # DEPENDENCYPART_ARC
(17,6),-0.662981 # DEPENDENCYPART_ARC
(17,7),-1.63971 # DEPENDENCYPART_ARC
(17,8),-1.62202 # DEPENDENCYPART_ARC
(17,9),-1.39543 # DEPENDENCYPART_ARC
(17,10),-1.34093 # DEPENDENCYPART_ARC
(17,11),-1.19712 # DEPENDENCYPART_ARC
(17,12),-1.05467 # DEPENDENCYPART_ARC
(17,13),-1.37968 # DEPENDENCYPART_ARC
(17,14),-1.03652 # DEPENDENCYPART_ARC
(17,15),-0.717318 # DEPENDENCYPART_ARC
(17,16),-1.83576 # DEPENDENCYPART_ARC
