# _root_ Far better for policy makers to concentrate on the war against drugs , Panama and the deficit , all of them parades that seem never to end .
#goldHeads=3,1,0,5,6,3,6,7,10,8,10,11,10,10,14,17,15,10,22,19,20,10,24,22,26,24,26,3,
#predictedHeads=0,1,2,5,3,3,6,7,10,8,10,11,12,12,14,17,15,17,17,19,22,20,24,22,24,24,26,2,
(2,16),-1.09489 # DEPENDENCYPART_ARC
(2,17),-1.14882 # DEPENDENCYPART_ARC
(2,18),-0.857003 # DEPENDENCYPART_ARC
(2,19),-1.38006 # DEPENDENCYPART_ARC
(2,20),-0.968489 # DEPENDENCYPART_ARC
(2,21),-1.61675 # DEPENDENCYPART_ARC
(2,22),-1.42972 # DEPENDENCYPART_ARC
(2,23),-2.47869 # DEPENDENCYPART_ARC
(2,24),-0.771311 # DEPENDENCYPART_ARC
(2,25),-1.47679 # DEPENDENCYPART_ARC
(2,26),-1.90121 # DEPENDENCYPART_ARC
(2,27),-2.0394 # DEPENDENCYPART_ARC
(2,28),4.37086 # DEPENDENCYPART_ARC
(3,1),0.0930336 # DEPENDENCYPART_ARC
(3,2),0.734037 # DEPENDENCYPART_ARC
(3,4),2.4693 # DEPENDENCYPART_ARC
(3,5),1.76184 # DEPENDENCYPART_ARC
(3,6),2.81732 # DEPENDENCYPART_ARC
(3,7),0.558625 # DEPENDENCYPART_ARC
(3,8),-0.149973 # DEPENDENCYPART_ARC
(3,9),-1.88819 # DEPENDENCYPART_ARC
(3,10),-2.35096 # DEPENDENCYPART_ARC
(3,11),-0.401708 # DEPENDENCYPART_ARC
(3,12),-2.70467 # DEPENDENCYPART_ARC
(3,13),0.325482 # DEPENDENCYPART_ARC
(3,14),-4.40425 # DEPENDENCYPART_ARC
(3,15),0.111675 # DEPENDENCYPART_ARC
(3,16),-3.20084 # DEPENDENCYPART_ARC
(3,17),-5.54657 # DEPENDENCYPART_ARC
(3,18),-0.14973 # DEPENDENCYPART_ARC
(3,19),-3.03994 # DEPENDENCYPART_ARC
(3,20),-2.319 # DEPENDENCYPART_ARC
(3,21),-3.04692 # DEPENDENCYPART_ARC
(3,22),-9.8173 # DEPENDENCYPART_ARC
(3,23),-5.07537 # DEPENDENCYPART_ARC
(3,24),-4.225 # DEPENDENCYPART_ARC
(3,25),-2.06671 # DEPENDENCYPART_ARC
(3,26),-2.57802 # DEPENDENCYPART_ARC
(3,27),-2.7509 # DEPENDENCYPART_ARC
(3,28),0.207537 # DEPENDENCYPART_ARC
(4,1),-1.31313 # DEPENDENCYPART_ARC
(4,2),-0.490121 # DEPENDENCYPART_ARC
(4,3),0.376839 # DEPENDENCYPART_ARC
(4,5),1.52029 # DEPENDENCYPART_ARC
(4,6),-0.233662 # DEPENDENCYPART_ARC
(4,7),-0.489042 # DEPENDENCYPART_ARC
(4,8),-0.244894 # DEPENDENCYPART_ARC
(4,9),-1.56078 # DEPENDENCYPART_ARC
(4,10),-1.10994 # DEPENDENCYPART_ARC
(4,11),-0.486233 # DEPENDENCYPART_ARC
(4,12),-0.941112 # DEPENDENCYPART_ARC
(4,13),-0.851335 # DEPENDENCYPART_ARC
(4,14),-2.2996 # DEPENDENCYPART_ARC
(4,15),-1.03528 # DEPENDENCYPART_ARC
(4,16),-2.21762 # DEPENDENCYPART_ARC
(4,17),-2.07291 # DEPENDENCYPART_ARC
(4,18),-0.980977 # DEPENDENCYPART_ARC
(4,19),-2.29336 # DEPENDENCYPART_ARC
(4,20),-5.04228 # DEPENDENCYPART_ARC
(4,21),-2.3875 # DEPENDENCYPART_ARC
(4,22),-2.59805 # DEPENDENCYPART_ARC
(4,23),-3.10404 # DEPENDENCYPART_ARC
(4,24),-2.03783 # DEPENDENCYPART_ARC
(4,25),-3.33837 # DEPENDENCYPART_ARC
(4,26),-4.41796 # DEPENDENCYPART_ARC
(4,27),-2.86794 # DEPENDENCYPART_ARC
(4,28),-0.160073 # DEPENDENCYPART_ARC
(5,1),-0.163472 # DEPENDENCYPART_ARC
(5,2),0.602444 # DEPENDENCYPART_ARC
(5,3),0.343382 # DEPENDENCYPART_ARC
(5,4),4.68375 # DEPENDENCYPART_ARC
(5,6),1.28037 # DEPENDENCYPART_ARC
(5,7),0.685118 # DEPENDENCYPART_ARC
(5,8),1.2441 # DEPENDENCYPART_ARC
(5,9),-0.555491 # DEPENDENCYPART_ARC
(5,10),-0.163026 # DEPENDENCYPART_ARC
(5,11),0.634398 # DEPENDENCYPART_ARC
(5,12),-0.187827 # DEPENDENCYPART_ARC
(5,13),0.594346 # DEPENDENCYPART_ARC
(5,14),-0.18757 # DEPENDENCYPART_ARC
(5,15),0.371446 # DEPENDENCYPART_ARC
(5,16),-1.18334 # DEPENDENCYPART_ARC
(5,17),-0.994917 # DEPENDENCYPART_ARC
(5,18),0.807889 # DEPENDENCYPART_ARC
(5,19),-0.563222 # DEPENDENCYPART_ARC
(5,20),-3.73141 # DEPENDENCYPART_ARC
(5,21),-1.30744 # DEPENDENCYPART_ARC
(5,22),-1.72208 # DEPENDENCYPART_ARC
(5,23),-2.40254 # DEPENDENCYPART_ARC
(5,24),0.803805 # DEPENDENCYPART_ARC
(5,25),-0.997447 # DEPENDENCYPART_ARC
(5,26),-2.947 # DEPENDENCYPART_ARC
(5,27),-1.11288 # DEPENDENCYPART_ARC
(5,28),0.142928 # DEPENDENCYPART_ARC
(6,1),-0.508384 # DEPENDENCYPART_ARC
(6,2),-0.0733564 # DEPENDENCYPART_ARC
(6,3),0.541648 # DEPENDENCYPART_ARC
(6,4),0.846509 # DEPENDENCYPART_ARC
(6,5),1.41198 # DEPENDENCYPART_ARC
(6,7),3.79342 # DEPENDENCYPART_ARC
(6,8),0.466594 # DEPENDENCYPART_ARC
(6,9),-1.09506 # DEPENDENCYPART_ARC
(6,10),-0.685901 # DEPENDENCYPART_ARC
(6,11),-0.206356 # DEPENDENCYPART_ARC
(6,12),-2.16639 # DEPENDENCYPART_ARC
(6,13),0.631846 # DEPENDENCYPART_ARC
(6,14),-3.08732 # DEPENDENCYPART_ARC
(6,15),0.473115 # DEPENDENCYPART_ARC
(6,16),-2.14754 # DEPENDENCYPART_ARC
(6,17),-4.0755 # DEPENDENCYPART_ARC
(6,18),0.0245636 # DEPENDENCYPART_ARC
(6,19),-1.76572 # DEPENDENCYPART_ARC
(6,20),-2.24035 # DEPENDENCYPART_ARC
(6,21),-1.90829 # DEPENDENCYPART_ARC
(6,22),-6.25358 # DEPENDENCYPART_ARC
(6,23),-3.03551 # DEPENDENCYPART_ARC
(6,24),-2.33318 # DEPENDENCYPART_ARC
(6,25),-0.38559 # DEPENDENCYPART_ARC
(6,26),-0.843012 # DEPENDENCYPART_ARC
(6,27),-1.66524 # DEPENDENCYPART_ARC
(6,28),0.374927 # DEPENDENCYPART_ARC
(7,1),-0.290854 # DEPENDENCYPART_ARC
(7,2),-0.250143 # DEPENDENCYPART_ARC
(7,3),0.220385 # DEPENDENCYPART_ARC
(7,4),0.628407 # DEPENDENCYPART_ARC
(7,5),0.530509 # DEPENDENCYPART_ARC
(7,6),1.00274 # DEPENDENCYPART_ARC
(7,8),3.511 # DEPENDENCYPART_ARC
(7,9),-0.236808 # DEPENDENCYPART_ARC
(7,10),1.46041 # DEPENDENCYPART_ARC
(7,11),1.98725 # DEPENDENCYPART_ARC
(7,12),-0.201296 # DEPENDENCYPART_ARC
(7,13),0.719618 # DEPENDENCYPART_ARC
(7,14),-0.905961 # DEPENDENCYPART_ARC
(7,15),0.450814 # DEPENDENCYPART_ARC
(7,16),-1.30577 # DEPENDENCYPART_ARC
(7,17),-1.28124 # DEPENDENCYPART_ARC
(7,18),0.914718 # DEPENDENCYPART_ARC
(7,19),-0.798309 # DEPENDENCYPART_ARC
(7,20),-1.43399 # DEPENDENCYPART_ARC
(7,21),-1.2882 # DEPENDENCYPART_ARC
(7,22),-4.0334 # DEPENDENCYPART_ARC
(7,23),-3.75674 # DEPENDENCYPART_ARC
(7,24),-0.980746 # DEPENDENCYPART_ARC
(7,25),-1.01478 # DEPENDENCYPART_ARC
(7,26),-1.15879 # DEPENDENCYPART_ARC
(7,27),-1.03148 # DEPENDENCYPART_ARC
(7,28),1.54825 # DEPENDENCYPART_ARC
(8,1),-0.898847 # DEPENDENCYPART_ARC
(8,2),-0.861485 # DEPENDENCYPART_ARC
(8,3),-0.384611 # DEPENDENCYPART_ARC
(8,4),-0.884297 # DEPENDENCYPART_ARC
(8,5),-0.279379 # DEPENDENCYPART_ARC
(8,6),-0.221878 # DEPENDENCYPART_ARC
(8,7),0.878153 # DEPENDENCYPART_ARC
(8,9),0.261001 # DEPENDENCYPART_ARC
(8,10),3.9092 # DEPENDENCYPART_ARC
(8,11),0.445159 # DEPENDENCYPART_ARC
(8,12),1.5266 # DEPENDENCYPART_ARC
(8,13),0.460269 # DEPENDENCYPART_ARC
(8,14),-0.79338 # DEPENDENCYPART_ARC
(8,15),0.596241 # DEPENDENCYPART_ARC
(8,16),-2.21745 # DEPENDENCYPART_ARC
(8,17),-1.11514 # DEPENDENCYPART_ARC
(8,18),0.298281 # DEPENDENCYPART_ARC
(8,19),-1.98452 # DEPENDENCYPART_ARC
(8,20),-1.6257 # DEPENDENCYPART_ARC
(8,21),-2.00591 # DEPENDENCYPART_ARC
(8,22),-5.8453 # DEPENDENCYPART_ARC
(8,23),-3.68839 # DEPENDENCYPART_ARC
(8,24),-2.75042 # DEPENDENCYPART_ARC
(8,25),-0.647263 # DEPENDENCYPART_ARC
(8,26),-5.24014 # DEPENDENCYPART_ARC
(8,27),-1.53836 # DEPENDENCYPART_ARC
(8,28),0.933444 # DEPENDENCYPART_ARC
(9,1),-3.17993 # DEPENDENCYPART_ARC
(9,2),-2.4007 # DEPENDENCYPART_ARC
(9,3),-2.09174 # DEPENDENCYPART_ARC
(9,4),-2.80513 # DEPENDENCYPART_ARC
(9,5),-2.49427 # DEPENDENCYPART_ARC
(9,6),-2.06872 # DEPENDENCYPART_ARC
(9,7),-1.51617 # DEPENDENCYPART_ARC
(9,8),-0.720306 # DEPENDENCYPART_ARC
(9,10),-0.0367368 # DEPENDENCYPART_ARC
(9,11),-1.43565 # DEPENDENCYPART_ARC
(9,12),-1.5511 # DEPENDENCYPART_ARC
(9,13),-1.39523 # DEPENDENCYPART_ARC
(9,14),-2.08098 # DEPENDENCYPART_ARC
(9,15),-1.55669 # DEPENDENCYPART_ARC
(9,16),-2.83832 # DEPENDENCYPART_ARC
(9,17),-1.94001 # DEPENDENCYPART_ARC
(9,18),-1.6263 # DEPENDENCYPART_ARC
(9,19),-3.18896 # DEPENDENCYPART_ARC
(9,20),-2.18383 # DEPENDENCYPART_ARC
(9,21),-3.6173 # DEPENDENCYPART_ARC
(9,22),-3.14628 # DEPENDENCYPART_ARC
(9,23),-4.2499 # DEPENDENCYPART_ARC
(9,24),-3.16912 # DEPENDENCYPART_ARC
(9,25),-3.19975 # DEPENDENCYPART_ARC
(9,26),-3.60474 # DEPENDENCYPART_ARC
(9,27),-4.1011 # DEPENDENCYPART_ARC
(9,28),-2.14473 # DEPENDENCYPART_ARC
(10,1),-2.71264 # DEPENDENCYPART_ARC
(10,2),-1.55831 # DEPENDENCYPART_ARC
(10,3),-0.75652 # DEPENDENCYPART_ARC
(10,4),-1.6192 # DEPENDENCYPART_ARC
(10,5),-1.39777 # DEPENDENCYPART_ARC
(10,6),-1.10496 # DEPENDENCYPART_ARC
(10,7),-0.236863 # DEPENDENCYPART_ARC
(10,8),1.27413 # DEPENDENCYPART_ARC
(10,9),4.85352 # DEPENDENCYPART_ARC
(10,11),2.99841 # DEPENDENCYPART_ARC
(10,12),1.37081 # DEPENDENCYPART_ARC
(10,13),1.13925 # DEPENDENCYPART_ARC
(10,14),0.0418866 # DEPENDENCYPART_ARC
(10,15),1.55412 # DEPENDENCYPART_ARC
(10,16),-0.192918 # DEPENDENCYPART_ARC
(10,17),-0.124056 # DEPENDENCYPART_ARC
(10,18),0.96859 # DEPENDENCYPART_ARC
(10,19),-0.531079 # DEPENDENCYPART_ARC
(10,20),-0.365701 # DEPENDENCYPART_ARC
(10,21),-0.686004 # DEPENDENCYPART_ARC
(10,22),-1.17601 # DEPENDENCYPART_ARC
(10,23),-1.14574 # DEPENDENCYPART_ARC
(10,24),0.28533 # DEPENDENCYPART_ARC
(10,25),-1.11328 # DEPENDENCYPART_ARC
(10,26),-0.94666 # DEPENDENCYPART_ARC
(10,27),-0.966995 # DEPENDENCYPART_ARC
(10,28),0.808305 # DEPENDENCYPART_ARC
(11,1),-1.32529 # DEPENDENCYPART_ARC
(11,2),-1.39145 # DEPENDENCYPART_ARC
(11,3),-0.971313 # DEPENDENCYPART_ARC
(11,4),-1.6626 # DEPENDENCYPART_ARC
(11,5),-1.09988 # DEPENDENCYPART_ARC
(11,6),-1.25894 # DEPENDENCYPART_ARC
(11,7),-0.879297 # DEPENDENCYPART_ARC
(11,8),-0.196642 # DEPENDENCYPART_ARC
(11,9),-0.0461429 # DEPENDENCYPART_ARC
(11,10),0.0853392 # DEPENDENCYPART_ARC
(11,12),3.82718 # DEPENDENCYPART_ARC
(11,13),1.11364 # DEPENDENCYPART_ARC
(11,14),0.214845 # DEPENDENCYPART_ARC
(11,15),0.206 # DEPENDENCYPART_ARC
(11,16),-1.83723 # DEPENDENCYPART_ARC
(11,17),-0.972969 # DEPENDENCYPART_ARC
(11,18),0.350166 # DEPENDENCYPART_ARC
(11,19),-1.84796 # DEPENDENCYPART_ARC
(11,20),-0.967818 # DEPENDENCYPART_ARC
(11,21),-1.5819 # DEPENDENCYPART_ARC
(11,22),-5.01647 # DEPENDENCYPART_ARC
(11,23),-3.41964 # DEPENDENCYPART_ARC
(11,24),-1.97478 # DEPENDENCYPART_ARC
(11,25),-0.993131 # DEPENDENCYPART_ARC
(11,26),-4.26896 # DEPENDENCYPART_ARC
(11,27),-1.06478 # DEPENDENCYPART_ARC
(11,28),-0.467021 # DEPENDENCYPART_ARC
(12,1),-3.57221 # DEPENDENCYPART_ARC
(12,2),-1.82666 # DEPENDENCYPART_ARC
(12,3),-1.53835 # DEPENDENCYPART_ARC
(12,4),-1.82548 # DEPENDENCYPART_ARC
(12,5),-2.24578 # DEPENDENCYPART_ARC
(12,6),-1.64223 # DEPENDENCYPART_ARC
(12,7),-0.507531 # DEPENDENCYPART_ARC
(12,8),-0.421452 # DEPENDENCYPART_ARC
(12,9),1.17296 # DEPENDENCYPART_ARC
(12,10),0.330788 # DEPENDENCYPART_ARC
(12,11),0.969843 # DEPENDENCYPART_ARC
(12,13),1.44009 # DEPENDENCYPART_ARC
(12,14),0.813291 # DEPENDENCYPART_ARC
(12,15),0.441081 # DEPENDENCYPART_ARC
(12,16),-0.35263 # DEPENDENCYPART_ARC
(12,17),0.283445 # DEPENDENCYPART_ARC
(12,18),1.28139 # DEPENDENCYPART_ARC
(12,19),-0.390244 # DEPENDENCYPART_ARC
(12,20),-1.01577 # DEPENDENCYPART_ARC
(12,21),-0.431604 # DEPENDENCYPART_ARC
(12,22),-0.6681 # DEPENDENCYPART_ARC
(12,23),-2.14139 # DEPENDENCYPART_ARC
(12,24),1.6946 # DEPENDENCYPART_ARC
(12,25),-0.752852 # DEPENDENCYPART_ARC
(12,26),-0.812209 # DEPENDENCYPART_ARC
(12,27),-0.547054 # DEPENDENCYPART_ARC
(12,28),-0.101566 # DEPENDENCYPART_ARC
(13,1),-3.23982 # DEPENDENCYPART_ARC
(13,2),-2.70756 # DEPENDENCYPART_ARC
(13,3),-2.32695 # DEPENDENCYPART_ARC
(13,4),-1.93305 # DEPENDENCYPART_ARC
(13,5),-2.30136 # DEPENDENCYPART_ARC
(13,6),-1.57344 # DEPENDENCYPART_ARC
(13,7),-1.97651 # DEPENDENCYPART_ARC
(13,8),-2.00132 # DEPENDENCYPART_ARC
(13,9),-1.32347 # DEPENDENCYPART_ARC
(13,10),-1.33628 # DEPENDENCYPART_ARC
(13,11),-1.44408 # DEPENDENCYPART_ARC
(13,12),-1.36949 # DEPENDENCYPART_ARC
(13,14),-0.112917 # DEPENDENCYPART_ARC
(13,15),-0.921125 # DEPENDENCYPART_ARC
(13,16),-1.38168 # DEPENDENCYPART_ARC
(13,17),-1.6527 # DEPENDENCYPART_ARC
(13,18),-0.112965 # DEPENDENCYPART_ARC
(13,19),-1.78886 # DEPENDENCYPART_ARC
(13,20),-1.42358 # DEPENDENCYPART_ARC
(13,21),-2.03932 # DEPENDENCYPART_ARC
(13,22),-2.41824 # DEPENDENCYPART_ARC
(13,23),-2.69981 # DEPENDENCYPART_ARC
(13,24),-2.04046 # DEPENDENCYPART_ARC
(13,25),-2.36786 # DEPENDENCYPART_ARC
(13,26),-2.37238 # DEPENDENCYPART_ARC
(13,27),-2.21835 # DEPENDENCYPART_ARC
(13,28),-1.95169 # DEPENDENCYPART_ARC
(14,1),-3.59832 # DEPENDENCYPART_ARC
(14,2),-2.73674 # DEPENDENCYPART_ARC
(14,3),-1.96599 # DEPENDENCYPART_ARC
(14,4),-1.75594 # DEPENDENCYPART_ARC
(14,5),-2.07854 # DEPENDENCYPART_ARC
(14,6),-2.22508 # DEPENDENCYPART_ARC
(14,7),-1.50247 # DEPENDENCYPART_ARC
(14,8),-1.27322 # DEPENDENCYPART_ARC
(14,9),0.500974 # DEPENDENCYPART_ARC
(14,10),-1.18181 # DEPENDENCYPART_ARC
(14,11),-0.203882 # DEPENDENCYPART_ARC
(14,12),0.466643 # DEPENDENCYPART_ARC
(14,13),0.129829 # DEPENDENCYPART_ARC
(14,15),3.87289 # DEPENDENCYPART_ARC
(14,16),1.12657 # DEPENDENCYPART_ARC
(14,17),1.23278 # DEPENDENCYPART_ARC
(14,18),1.72523 # DEPENDENCYPART_ARC
(14,19),-0.0463462 # DEPENDENCYPART_ARC
(14,20),0.100606 # DEPENDENCYPART_ARC
(14,21),0.125177 # DEPENDENCYPART_ARC
(14,22),-0.0376962 # DEPENDENCYPART_ARC
(14,23),-1.6153 # DEPENDENCYPART_ARC
(14,24),0.711056 # DEPENDENCYPART_ARC
(14,25),-0.859983 # DEPENDENCYPART_ARC
(14,26),-0.33129 # DEPENDENCYPART_ARC
(14,27),-1.27396 # DEPENDENCYPART_ARC
(14,28),0.237123 # DEPENDENCYPART_ARC
(15,1),-2.62482 # DEPENDENCYPART_ARC
(15,2),-2.1473 # DEPENDENCYPART_ARC
(15,3),-1.46311 # DEPENDENCYPART_ARC
(15,4),-1.63447 # DEPENDENCYPART_ARC
(15,5),-1.47028 # DEPENDENCYPART_ARC
(15,6),-1.51718 # DEPENDENCYPART_ARC
(15,7),-1.48208 # DEPENDENCYPART_ARC
(15,8),-0.994778 # DEPENDENCYPART_ARC
(15,9),-0.918715 # DEPENDENCYPART_ARC
(15,10),-0.804201 # DEPENDENCYPART_ARC
(15,11),-0.67803 # DEPENDENCYPART_ARC
(15,12),-0.455952 # DEPENDENCYPART_ARC
(15,13),-0.853121 # DEPENDENCYPART_ARC
(15,14),0.505426 # DEPENDENCYPART_ARC
(15,16),1.34356 # DEPENDENCYPART_ARC
(15,17),3.03087 # DEPENDENCYPART_ARC
(15,18),0.834555 # DEPENDENCYPART_ARC
(15,19),0.0431269 # DEPENDENCYPART_ARC
(15,20),0.00154975 # DEPENDENCYPART_ARC
(15,21),-0.300352 # DEPENDENCYPART_ARC
(15,22),-1.75916 # DEPENDENCYPART_ARC
(15,23),-2.34775 # DEPENDENCYPART_ARC
(15,24),-0.145078 # DEPENDENCYPART_ARC
(15,25),-0.67739 # DEPENDENCYPART_ARC
(15,26),0.00778154 # DEPENDENCYPART_ARC
(15,27),-0.124655 # DEPENDENCYPART_ARC
(15,28),0.264294 # DEPENDENCYPART_ARC
(16,1),-4.34711 # DEPENDENCYPART_ARC
(16,2),-3.68225 # DEPENDENCYPART_ARC
(16,3),-3.43364 # DEPENDENCYPART_ARC
(16,4),-4.30672 # DEPENDENCYPART_ARC
(16,5),-3.94815 # DEPENDENCYPART_ARC
(16,6),-3.54325 # DEPENDENCYPART_ARC
(16,7),-3.22587 # DEPENDENCYPART_ARC
(16,8),-3.00745 # DEPENDENCYPART_ARC
(16,9),-2.5956 # DEPENDENCYPART_ARC
(16,10),-3.47181 # DEPENDENCYPART_ARC
(16,11),-2.69319 # DEPENDENCYPART_ARC
(16,12),-2.86249 # DEPENDENCYPART_ARC
(16,13),-2.1959 # DEPENDENCYPART_ARC
(16,14),-2.29988 # DEPENDENCYPART_ARC
(16,15),-1.62526 # DEPENDENCYPART_ARC
(16,17),-0.278419 # DEPENDENCYPART_ARC
(16,18),-1.53041 # DEPENDENCYPART_ARC
(16,19),-2.30193 # DEPENDENCYPART_ARC
(16,20),-1.16659 # DEPENDENCYPART_ARC
(16,21),-2.71055 # DEPENDENCYPART_ARC
(16,22),-2.21917 # DEPENDENCYPART_ARC
(16,23),-3.15781 # DEPENDENCYPART_ARC
(16,24),-1.72618 # DEPENDENCYPART_ARC
(16,25),-2.34078 # DEPENDENCYPART_ARC
(16,26),-2.41723 # DEPENDENCYPART_ARC
(16,27),-3.05192 # DEPENDENCYPART_ARC
(16,28),-1.7645 # DEPENDENCYPART_ARC
(17,1),-4.77742 # DEPENDENCYPART_ARC
(17,2),-2.53448 # DEPENDENCYPART_ARC
(17,3),-1.82766 # DEPENDENCYPART_ARC
(17,4),-3.87279 # DEPENDENCYPART_ARC
(17,5),-3.03908 # DEPENDENCYPART_ARC
(17,6),-2.57327 # DEPENDENCYPART_ARC
(17,7),-1.53574 # DEPENDENCYPART_ARC
(17,8),-0.98589 # DEPENDENCYPART_ARC
(17,9),-0.167107 # DEPENDENCYPART_ARC
(17,10),-2.33429 # DEPENDENCYPART_ARC
(17,11),-0.789887 # DEPENDENCYPART_ARC
(17,12),-0.844169 # DEPENDENCYPART_ARC
(17,13),-0.541215 # DEPENDENCYPART_ARC
(17,14),0.560427 # DEPENDENCYPART_ARC
(17,15),0.545577 # DEPENDENCYPART_ARC
(17,16),4.33669 # DEPENDENCYPART_ARC
(17,18),2.19491 # DEPENDENCYPART_ARC
(17,19),0.334339 # DEPENDENCYPART_ARC
(17,20),1.48249 # DEPENDENCYPART_ARC
(17,21),0.262152 # DEPENDENCYPART_ARC
(17,22),0.285755 # DEPENDENCYPART_ARC
(17,23),-0.414541 # DEPENDENCYPART_ARC
(17,24),1.08017 # DEPENDENCYPART_ARC
(17,25),-0.161196 # DEPENDENCYPART_ARC
(17,26),-0.210659 # DEPENDENCYPART_ARC
(17,27),0.10566 # DEPENDENCYPART_ARC
(17,28),1.47853 # DEPENDENCYPART_ARC
(18,1),-3.56679 # DEPENDENCYPART_ARC
(18,2),-3.01706 # DEPENDENCYPART_ARC
(18,3),-2.70289 # DEPENDENCYPART_ARC
(18,4),-2.3275 # DEPENDENCYPART_ARC
(18,5),-2.40925 # DEPENDENCYPART_ARC
(18,6),-1.75802 # DEPENDENCYPART_ARC
(18,7),-2.36604 # DEPENDENCYPART_ARC
(18,8),-2.16023 # DEPENDENCYPART_ARC
(18,9),-1.73143 # DEPENDENCYPART_ARC
(18,10),-1.99602 # DEPENDENCYPART_ARC
(18,11),-1.76526 # DEPENDENCYPART_ARC
(18,12),-1.96341 # DEPENDENCYPART_ARC
(18,13),-0.617062 # DEPENDENCYPART_ARC
(18,14),-1.87563 # DEPENDENCYPART_ARC
(18,15),-1.58048 # DEPENDENCYPART_ARC
(18,16),-0.789313 # DEPENDENCYPART_ARC
(18,17),-1.19995 # DEPENDENCYPART_ARC
(18,19),0.264483 # DEPENDENCYPART_ARC
(18,20),-0.412296 # DEPENDENCYPART_ARC
(18,21),-0.739282 # DEPENDENCYPART_ARC
(18,22),-1.00389 # DEPENDENCYPART_ARC
(18,23),-1.62043 # DEPENDENCYPART_ARC
