# _root_ In fact , Lever Bros. confirms that its Sunlight brand does contain chlorine bleach , even though it is n't listed on the label for the powder version .
#goldHeads=6,1,6,6,4,0,6,10,10,11,7,11,14,12,12,17,12,19,17,19,19,21,24,22,24,28,28,25,6,
#predictedHeads=6,1,6,5,6,0,6,10,10,11,7,11,14,12,12,17,6,19,17,19,19,21,24,22,24,28,28,25,6,
(1,5),-0.635894 # DEPENDENCYPART_ARC
(1,6),0.63049 # DEPENDENCYPART_ARC
(1,7),-0.51673 # DEPENDENCYPART_ARC
(1,8),-1.31365 # DEPENDENCYPART_ARC
(1,9),-3.20148 # DEPENDENCYPART_ARC
(1,10),-2.60465 # DEPENDENCYPART_ARC
(1,11),-1.35219 # DEPENDENCYPART_ARC
(1,12),-0.767021 # DEPENDENCYPART_ARC
(1,13),-5.15482 # DEPENDENCYPART_ARC
(1,14),-4.31416 # DEPENDENCYPART_ARC
(1,15),-0.143712 # DEPENDENCYPART_ARC
(1,16),-1.6769 # DEPENDENCYPART_ARC
(1,17),-1.56505 # DEPENDENCYPART_ARC
(1,18),-2.30613 # DEPENDENCYPART_ARC
(1,19),-4.71987 # DEPENDENCYPART_ARC
(1,20),-1.77633 # DEPENDENCYPART_ARC
(1,21),-2.11315 # DEPENDENCYPART_ARC
(1,22),-2.03875 # DEPENDENCYPART_ARC
(1,23),-4.39992 # DEPENDENCYPART_ARC
(1,24),-10.8708 # DEPENDENCYPART_ARC
(1,25),-2.96691 # DEPENDENCYPART_ARC
(1,26),-4.84123 # DEPENDENCYPART_ARC
(1,27),-14.1526 # DEPENDENCYPART_ARC
(1,28),-13.6556 # DEPENDENCYPART_ARC
(1,29),0.900222 # DEPENDENCYPART_ARC
(2,1),0.451576 # DEPENDENCYPART_ARC
(2,3),0.247167 # DEPENDENCYPART_ARC
(2,4),0.193837 # DEPENDENCYPART_ARC
(2,5),-0.435826 # DEPENDENCYPART_ARC
(2,6),0.00868948 # DEPENDENCYPART_ARC
(2,7),0.65081 # DEPENDENCYPART_ARC
(2,8),-1.45075 # DEPENDENCYPART_ARC
(2,9),-1.25993 # DEPENDENCYPART_ARC
(2,10),-0.940867 # DEPENDENCYPART_ARC
(2,11),-0.737571 # DEPENDENCYPART_ARC
(2,12),-0.921763 # DEPENDENCYPART_ARC
(2,13),-1.4078 # DEPENDENCYPART_ARC
(2,14),-0.947857 # DEPENDENCYPART_ARC
(2,15),-1.10195 # DEPENDENCYPART_ARC
(2,16),-1.60707 # DEPENDENCYPART_ARC
(2,17),-2.69504 # DEPENDENCYPART_ARC
(2,18),-1.62485 # DEPENDENCYPART_ARC
(2,19),-3.13404 # DEPENDENCYPART_ARC
(2,20),-2.05094 # DEPENDENCYPART_ARC
(2,21),-1.25204 # DEPENDENCYPART_ARC
(2,22),-3.14305 # DEPENDENCYPART_ARC
(2,23),-2.56179 # DEPENDENCYPART_ARC
(2,24),-3.64875 # DEPENDENCYPART_ARC
(2,25),-4.66051 # DEPENDENCYPART_ARC
(2,26),-2.81091 # DEPENDENCYPART_ARC
(2,27),-3.89973 # DEPENDENCYPART_ARC
(2,28),-4.1882 # DEPENDENCYPART_ARC
(2,29),0.113079 # DEPENDENCYPART_ARC
(3,1),-1.32024 # DEPENDENCYPART_ARC
(3,2),-0.812915 # DEPENDENCYPART_ARC
(3,4),0.0489751 # DEPENDENCYPART_ARC
(3,5),-0.660569 # DEPENDENCYPART_ARC
(3,6),-0.711948 # DEPENDENCYPART_ARC
(3,7),-1.15001 # DEPENDENCYPART_ARC
(3,8),-1.95139 # DEPENDENCYPART_ARC
(3,9),-1.76467 # DEPENDENCYPART_ARC
(3,10),-2.0589 # DEPENDENCYPART_ARC
(3,11),-1.54772 # DEPENDENCYPART_ARC
(3,12),-1.74899 # DEPENDENCYPART_ARC
(3,13),-2.37147 # DEPENDENCYPART_ARC
(3,14),-2.4249 # DEPENDENCYPART_ARC
(3,15),-0.643877 # DEPENDENCYPART_ARC
(3,16),-2.44889 # DEPENDENCYPART_ARC
(3,17),-1.87246 # DEPENDENCYPART_ARC
(3,18),-2.54339 # DEPENDENCYPART_ARC
(3,19),-2.33447 # DEPENDENCYPART_ARC
(3,20),-2.82282 # DEPENDENCYPART_ARC
(3,21),-2.84819 # DEPENDENCYPART_ARC
(3,22),-2.39323 # DEPENDENCYPART_ARC
(3,23),-3.23705 # DEPENDENCYPART_ARC
(3,24),-3.52985 # DEPENDENCYPART_ARC
(3,25),-2.64804 # DEPENDENCYPART_ARC
(3,26),-3.53316 # DEPENDENCYPART_ARC
(3,27),-3.9007 # DEPENDENCYPART_ARC
(3,28),-3.99043 # DEPENDENCYPART_ARC
(3,29),-3.18753 # DEPENDENCYPART_ARC
(4,1),-1.73791 # DEPENDENCYPART_ARC
(4,2),-1.23909 # DEPENDENCYPART_ARC
(4,3),-0.626963 # DEPENDENCYPART_ARC
(4,5),3.64666 # DEPENDENCYPART_ARC
(4,6),0.155733 # DEPENDENCYPART_ARC
(4,7),-0.869092 # DEPENDENCYPART_ARC
(4,8),-0.991115 # DEPENDENCYPART_ARC
(4,9),-0.413457 # DEPENDENCYPART_ARC
(4,10),-1.81651 # DEPENDENCYPART_ARC
(4,11),-0.653302 # DEPENDENCYPART_ARC
(4,12),-1.44004 # DEPENDENCYPART_ARC
(4,13),-3.19627 # DEPENDENCYPART_ARC
(4,14),-2.98011 # DEPENDENCYPART_ARC
(4,15),-1.31622 # DEPENDENCYPART_ARC
(4,16),-1.82685 # DEPENDENCYPART_ARC
(4,17),-2.44876 # DEPENDENCYPART_ARC
(4,18),-1.90962 # DEPENDENCYPART_ARC
(4,19),-2.00359 # DEPENDENCYPART_ARC
(4,20),-2.05323 # DEPENDENCYPART_ARC
(4,21),-1.92526 # DEPENDENCYPART_ARC
(4,22),-3.18179 # DEPENDENCYPART_ARC
(4,23),-2.17631 # DEPENDENCYPART_ARC
(4,24),-6.77813 # DEPENDENCYPART_ARC
(4,25),-3.75811 # DEPENDENCYPART_ARC
(4,26),-2.52838 # DEPENDENCYPART_ARC
(4,27),-7.90389 # DEPENDENCYPART_ARC
(4,28),-8.01982 # DEPENDENCYPART_ARC
(4,29),0.711228 # DEPENDENCYPART_ARC
(5,1),-1.37997 # DEPENDENCYPART_ARC
(5,2),-0.474219 # DEPENDENCYPART_ARC
(5,3),0.585963 # DEPENDENCYPART_ARC
(5,4),3.30218 # DEPENDENCYPART_ARC
(5,6),1.39707 # DEPENDENCYPART_ARC
(5,7),-0.140815 # DEPENDENCYPART_ARC
(5,8),-0.540884 # DEPENDENCYPART_ARC
(5,9),-0.495745 # DEPENDENCYPART_ARC
(5,10),-1.36233 # DEPENDENCYPART_ARC
(5,11),0.0313059 # DEPENDENCYPART_ARC
(5,12),-1.13474 # DEPENDENCYPART_ARC
(5,13),-2.89715 # DEPENDENCYPART_ARC
(5,14),-2.30324 # DEPENDENCYPART_ARC
(5,15),-0.833401 # DEPENDENCYPART_ARC
(5,16),-1.3513 # DEPENDENCYPART_ARC
(5,17),-1.95465 # DEPENDENCYPART_ARC
(5,18),-1.41175 # DEPENDENCYPART_ARC
(5,19),-1.36895 # DEPENDENCYPART_ARC
(5,20),-1.69115 # DEPENDENCYPART_ARC
(5,21),-1.35254 # DEPENDENCYPART_ARC
(5,22),-2.56108 # DEPENDENCYPART_ARC
(5,23),-2.08602 # DEPENDENCYPART_ARC
(5,24),-6.32126 # DEPENDENCYPART_ARC
(5,25),-2.97052 # DEPENDENCYPART_ARC
(5,26),-2.38579 # DEPENDENCYPART_ARC
(5,27),-7.60164 # DEPENDENCYPART_ARC
(5,28),-7.30402 # DEPENDENCYPART_ARC
(5,29),0.906749 # DEPENDENCYPART_ARC
(6,1),2.48547 # DEPENDENCYPART_ARC
(6,2),1.17239 # DEPENDENCYPART_ARC
(6,3),3.59001 # DEPENDENCYPART_ARC
(6,4),2.20773 # DEPENDENCYPART_ARC
(6,5),3.26348 # DEPENDENCYPART_ARC
(6,7),3.44916 # DEPENDENCYPART_ARC
(6,8),0.557485 # DEPENDENCYPART_ARC
(6,9),0.498314 # DEPENDENCYPART_ARC
(6,10),0.729802 # DEPENDENCYPART_ARC
(6,11),1.3723 # DEPENDENCYPART_ARC
(6,12),0.734846 # DEPENDENCYPART_ARC
(6,13),-0.867762 # DEPENDENCYPART_ARC
(6,14),-0.680299 # DEPENDENCYPART_ARC
(6,15),1.24962 # DEPENDENCYPART_ARC
(6,16),0.582657 # DEPENDENCYPART_ARC
(6,17),1.61195 # DEPENDENCYPART_ARC
(6,18),-0.89888 # DEPENDENCYPART_ARC
(6,19),-0.00446714 # DEPENDENCYPART_ARC
(6,20),0.0498949 # DEPENDENCYPART_ARC
(6,21),-0.287301 # DEPENDENCYPART_ARC
(6,22),-0.781539 # DEPENDENCYPART_ARC
(6,23),-2.13916 # DEPENDENCYPART_ARC
(6,24),-3.67052 # DEPENDENCYPART_ARC
(6,25),-1.24975 # DEPENDENCYPART_ARC
(6,26),-2.39398 # DEPENDENCYPART_ARC
(6,27),-4.88149 # DEPENDENCYPART_ARC
(6,28),-4.13548 # DEPENDENCYPART_ARC
(6,29),5.81118 # DEPENDENCYPART_ARC
(7,1),-0.846928 # DEPENDENCYPART_ARC
(7,2),-1.60451 # DEPENDENCYPART_ARC
(7,3),-0.12076 # DEPENDENCYPART_ARC
(7,4),-0.574179 # DEPENDENCYPART_ARC
(7,5),-0.760235 # DEPENDENCYPART_ARC
(7,6),0.265931 # DEPENDENCYPART_ARC
(7,8),0.194015 # DEPENDENCYPART_ARC
(7,9),-1.52336 # DEPENDENCYPART_ARC
(7,10),0.20355 # DEPENDENCYPART_ARC
(7,11),3.5764 # DEPENDENCYPART_ARC
(7,12),1.61219 # DEPENDENCYPART_ARC
(7,13),-3.04777 # DEPENDENCYPART_ARC
(7,14),-1.60345 # DEPENDENCYPART_ARC
(7,15),1.65335 # DEPENDENCYPART_ARC
(7,16),-1.77654 # DEPENDENCYPART_ARC
(7,17),-0.762728 # DEPENDENCYPART_ARC
(7,18),-2.50115 # DEPENDENCYPART_ARC
(7,19),1.2282 # DEPENDENCYPART_ARC
(7,20),-1.91483 # DEPENDENCYPART_ARC
(7,21),-0.0279714 # DEPENDENCYPART_ARC
(7,22),-0.142589 # DEPENDENCYPART_ARC
(7,23),-4.39665 # DEPENDENCYPART_ARC
(7,24),-6.59526 # DEPENDENCYPART_ARC
(7,25),-0.831428 # DEPENDENCYPART_ARC
(7,26),-4.90649 # DEPENDENCYPART_ARC
(7,27),-9.53841 # DEPENDENCYPART_ARC
(7,28),-8.3619 # DEPENDENCYPART_ARC
(7,29),1.92384 # DEPENDENCYPART_ARC
(8,1),-1.76615 # DEPENDENCYPART_ARC
(8,2),-1.88094 # DEPENDENCYPART_ARC
(8,3),-1.38328 # DEPENDENCYPART_ARC
(8,4),-1.29453 # DEPENDENCYPART_ARC
(8,5),-0.960134 # DEPENDENCYPART_ARC
(8,6),-1.12874 # DEPENDENCYPART_ARC
(8,7),-0.171229 # DEPENDENCYPART_ARC
(8,9),0.663104 # DEPENDENCYPART_ARC
(8,10),0.177302 # DEPENDENCYPART_ARC
(8,11),0.142102 # DEPENDENCYPART_ARC
(8,12),-0.45747 # DEPENDENCYPART_ARC
(8,13),-0.756925 # DEPENDENCYPART_ARC
(8,14),-1.04801 # DEPENDENCYPART_ARC
(8,15),-0.298218 # DEPENDENCYPART_ARC
(8,16),-1.05826 # DEPENDENCYPART_ARC
(8,17),-0.944821 # DEPENDENCYPART_ARC
(8,18),-1.29656 # DEPENDENCYPART_ARC
(8,19),-0.982569 # DEPENDENCYPART_ARC
(8,20),-1.48728 # DEPENDENCYPART_ARC
(8,21),-1.409 # DEPENDENCYPART_ARC
(8,22),-1.50611 # DEPENDENCYPART_ARC
(8,23),-2.10909 # DEPENDENCYPART_ARC
(8,24),-2.03333 # DEPENDENCYPART_ARC
(8,25),-1.81153 # DEPENDENCYPART_ARC
(8,26),-2.45503 # DEPENDENCYPART_ARC
(8,27),-2.3695 # DEPENDENCYPART_ARC
(8,28),-2.42982 # DEPENDENCYPART_ARC
(8,29),-2.02027 # DEPENDENCYPART_ARC
(9,1),-3.23581 # DEPENDENCYPART_ARC
(9,2),-3.26876 # DEPENDENCYPART_ARC
(9,3),-2.62499 # DEPENDENCYPART_ARC
(9,4),-1.32645 # DEPENDENCYPART_ARC
(9,5),-1.77757 # DEPENDENCYPART_ARC
(9,6),-1.67026 # DEPENDENCYPART_ARC
(9,7),-1.11415 # DEPENDENCYPART_ARC
(9,8),1.28153 # DEPENDENCYPART_ARC
(9,10),0.80627 # DEPENDENCYPART_ARC
(9,11),0.107199 # DEPENDENCYPART_ARC
(9,12),-0.847847 # DEPENDENCYPART_ARC
(9,13),-1.63387 # DEPENDENCYPART_ARC
(9,14),-1.7568 # DEPENDENCYPART_ARC
(9,15),-0.558855 # DEPENDENCYPART_ARC
(9,16),-1.45871 # DEPENDENCYPART_ARC
(9,17),-1.66185 # DEPENDENCYPART_ARC
(9,18),-1.30609 # DEPENDENCYPART_ARC
(9,19),-1.2265 # DEPENDENCYPART_ARC
(9,20),-1.87616 # DEPENDENCYPART_ARC
(9,21),-1.57378 # DEPENDENCYPART_ARC
(9,22),-2.40238 # DEPENDENCYPART_ARC
(9,23),-2.09004 # DEPENDENCYPART_ARC
(9,24),-5.55933 # DEPENDENCYPART_ARC
(9,25),-2.66348 # DEPENDENCYPART_ARC
(9,26),-2.40126 # DEPENDENCYPART_ARC
(9,27),-6.36674 # DEPENDENCYPART_ARC
(9,28),-6.51196 # DEPENDENCYPART_ARC
(9,29),0.204272 # DEPENDENCYPART_ARC
(10,1),-1.39573 # DEPENDENCYPART_ARC
(10,2),-1.68942 # DEPENDENCYPART_ARC
(10,3),-0.688951 # DEPENDENCYPART_ARC
(10,4),0.327529 # DEPENDENCYPART_ARC
(10,5),-0.124737 # DEPENDENCYPART_ARC
(10,6),-0.0700521 # DEPENDENCYPART_ARC
(10,7),1.25832 # DEPENDENCYPART_ARC
(10,8),3.77404 # DEPENDENCYPART_ARC
(10,9),3.99379 # DEPENDENCYPART_ARC
(10,11),1.35112 # DEPENDENCYPART_ARC
(10,12),0.593649 # DEPENDENCYPART_ARC
(10,13),0.493061 # DEPENDENCYPART_ARC
(10,14),0.207029 # DEPENDENCYPART_ARC
(10,15),0.51225 # DEPENDENCYPART_ARC
(10,16),-0.163159 # DEPENDENCYPART_ARC
(10,17),-0.766146 # DEPENDENCYPART_ARC
(10,18),-0.617138 # DEPENDENCYPART_ARC
(10,19),-0.918422 # DEPENDENCYPART_ARC
(10,20),-0.80983 # DEPENDENCYPART_ARC
(10,21),-0.642485 # DEPENDENCYPART_ARC
(10,22),-0.885503 # DEPENDENCYPART_ARC
(10,23),-1.30285 # DEPENDENCYPART_ARC
(10,24),-1.35132 # DEPENDENCYPART_ARC
(10,25),-1.89681 # DEPENDENCYPART_ARC
(10,26),-1.48389 # DEPENDENCYPART_ARC
(10,27),-1.72103 # DEPENDENCYPART_ARC
(10,28),-2.17972 # DEPENDENCYPART_ARC
(10,29),0.659778 # DEPENDENCYPART_ARC
(11,1),1.42625 # DEPENDENCYPART_ARC
(11,2),1.00437 # DEPENDENCYPART_ARC
(11,3),2.58593 # DEPENDENCYPART_ARC
(11,4),1.43535 # DEPENDENCYPART_ARC
(11,5),1.29939 # DEPENDENCYPART_ARC
(11,6),0.751134 # DEPENDENCYPART_ARC
(11,7),1.74836 # DEPENDENCYPART_ARC
(11,8),1.45535 # DEPENDENCYPART_ARC
(11,9),1.96659 # DEPENDENCYPART_ARC
(11,10),3.01331 # DEPENDENCYPART_ARC
(11,12),3.18625 # DEPENDENCYPART_ARC
(11,13),1.29605 # DEPENDENCYPART_ARC
(11,14),1.33032 # DEPENDENCYPART_ARC
(11,15),1.13765 # DEPENDENCYPART_ARC
(11,16),0.324394 # DEPENDENCYPART_ARC
(11,17),0.639282 # DEPENDENCYPART_ARC
(11,18),-0.256561 # DEPENDENCYPART_ARC
(11,19),0.351396 # DEPENDENCYPART_ARC
(11,20),0.19222 # DEPENDENCYPART_ARC
(11,21),-0.533496 # DEPENDENCYPART_ARC
(11,22),-1.26606 # DEPENDENCYPART_ARC
(11,23),-1.76058 # DEPENDENCYPART_ARC
(11,24),-2.85674 # DEPENDENCYPART_ARC
(11,25),-1.11848 # DEPENDENCYPART_ARC
(11,26),-1.98061 # DEPENDENCYPART_ARC
(11,27),-4.38656 # DEPENDENCYPART_ARC
(11,28),-3.68366 # DEPENDENCYPART_ARC
(11,29),4.31305 # DEPENDENCYPART_ARC
(12,1),-0.842378 # DEPENDENCYPART_ARC
(12,2),-0.680616 # DEPENDENCYPART_ARC
(12,3),-0.264738 # DEPENDENCYPART_ARC
(12,4),-0.328374 # DEPENDENCYPART_ARC
(12,5),-0.351812 # DEPENDENCYPART_ARC
(12,6),-0.433635 # DEPENDENCYPART_ARC
(12,7),0.76757 # DEPENDENCYPART_ARC
(12,8),0.618842 # DEPENDENCYPART_ARC
(12,9),0.57325 # DEPENDENCYPART_ARC
(12,10),0.36708 # DEPENDENCYPART_ARC
(12,11),1.17828 # DEPENDENCYPART_ARC
(12,13),2.46207 # DEPENDENCYPART_ARC
(12,14),2.59517 # DEPENDENCYPART_ARC
(12,15),1.693 # DEPENDENCYPART_ARC
(12,16),1.2237 # DEPENDENCYPART_ARC
(12,17),1.27414 # DEPENDENCYPART_ARC
(12,18),-0.460689 # DEPENDENCYPART_ARC
(12,19),0.062206 # DEPENDENCYPART_ARC
(12,20),-0.365562 # DEPENDENCYPART_ARC
(12,21),-0.20167 # DEPENDENCYPART_ARC
(12,22),0.26979 # DEPENDENCYPART_ARC
(12,23),-1.78385 # DEPENDENCYPART_ARC
(12,24),-2.31858 # DEPENDENCYPART_ARC
(12,25),-0.33017 # DEPENDENCYPART_ARC
(12,26),-2.10297 # DEPENDENCYPART_ARC
(12,27),-4.06076 # DEPENDENCYPART_ARC
(12,28),-3.70091 # DEPENDENCYPART_ARC
(12,29),1.5369 # DEPENDENCYPART_ARC
(13,1),-3.14506 # DEPENDENCYPART_ARC
(13,2),-4.47514 # DEPENDENCYPART_ARC
(13,3),-2.80708 # DEPENDENCYPART_ARC
(13,4),-2.97203 # DEPENDENCYPART_ARC
(13,5),-3.70597 # DEPENDENCYPART_ARC
(13,6),-2.46164 # DEPENDENCYPART_ARC
(13,7),-1.29803 # DEPENDENCYPART_ARC
(13,8),0.45422 # DEPENDENCYPART_ARC
(13,9),-0.141496 # DEPENDENCYPART_ARC
(13,10),-0.720775 # DEPENDENCYPART_ARC
(13,11),-0.941514 # DEPENDENCYPART_ARC
(13,12),0.675127 # DEPENDENCYPART_ARC
(13,14),1.09355 # DEPENDENCYPART_ARC
(13,15),-0.0718622 # DEPENDENCYPART_ARC
(13,16),-0.337736 # DEPENDENCYPART_ARC
(13,17),-0.621591 # DEPENDENCYPART_ARC
(13,18),-1.07117 # DEPENDENCYPART_ARC
(13,19),-0.616896 # DEPENDENCYPART_ARC
(13,20),-1.12454 # DEPENDENCYPART_ARC
(13,21),-0.753416 # DEPENDENCYPART_ARC
(13,22),-0.642872 # DEPENDENCYPART_ARC
(13,23),-1.5091 # DEPENDENCYPART_ARC
(13,24),-1.46206 # DEPENDENCYPART_ARC
(13,25),-1.80692 # DEPENDENCYPART_ARC
(13,26),-1.87179 # DEPENDENCYPART_ARC
(13,27),-1.87605 # DEPENDENCYPART_ARC
(13,28),-1.93085 # DEPENDENCYPART_ARC
(13,29),0.136858 # DEPENDENCYPART_ARC
(14,1),-2.50804 # DEPENDENCYPART_ARC
(14,2),-2.32307 # DEPENDENCYPART_ARC
(14,3),-1.9224 # DEPENDENCYPART_ARC
(14,4),-0.766979 # DEPENDENCYPART_ARC
(14,5),-1.8216 # DEPENDENCYPART_ARC
(14,6),-0.947838 # DEPENDENCYPART_ARC
(14,7),-0.685913 # DEPENDENCYPART_ARC
(14,8),2.17181 # DEPENDENCYPART_ARC
(14,9),2.08224 # DEPENDENCYPART_ARC
(14,10),0.814537 # DEPENDENCYPART_ARC
(14,11),0.226403 # DEPENDENCYPART_ARC
(14,12),1.08909 # DEPENDENCYPART_ARC
(14,13),4.37903 # DEPENDENCYPART_ARC
(14,15),1.35764 # DEPENDENCYPART_ARC
(14,16),0.410503 # DEPENDENCYPART_ARC
(14,17),-0.00804738 # DEPENDENCYPART_ARC
(14,18),-0.099987 # DEPENDENCYPART_ARC
(14,19),0.540004 # DEPENDENCYPART_ARC
(14,20),-0.299635 # DEPENDENCYPART_ARC
(14,21),0.197691 # DEPENDENCYPART_ARC
(14,22),-0.168874 # DEPENDENCYPART_ARC
(14,23),-1.00087 # DEPENDENCYPART_ARC
(14,24),-0.508843 # DEPENDENCYPART_ARC
(14,25),-0.941889 # DEPENDENCYPART_ARC
(14,26),-1.38986 # DEPENDENCYPART_ARC
(14,27),-0.842698 # DEPENDENCYPART_ARC
(14,28),-1.39016 # DEPENDENCYPART_ARC
(14,29),1.19798 # DEPENDENCYPART_ARC
(15,1),-2.32467 # DEPENDENCYPART_ARC
(15,2),-2.19563 # DEPENDENCYPART_ARC
(15,3),-0.676083 # DEPENDENCYPART_ARC
(15,4),-2.30691 # DEPENDENCYPART_ARC
(15,5),-2.11439 # DEPENDENCYPART_ARC
(15,6),-1.75984 # DEPENDENCYPART_ARC
(15,7),-1.55434 # DEPENDENCYPART_ARC
(15,8),-0.98586 # DEPENDENCYPART_ARC
(15,9),-1.63351 # DEPENDENCYPART_ARC
(15,10),-1.54251 # DEPENDENCYPART_ARC
(15,11),-1.33053 # DEPENDENCYPART_ARC
(15,12),-0.945452 # DEPENDENCYPART_ARC
(15,13),-1.25139 # DEPENDENCYPART_ARC
(15,14),-0.726154 # DEPENDENCYPART_ARC
(15,16),-0.319148 # DEPENDENCYPART_ARC
(15,17),-0.567798 # DEPENDENCYPART_ARC
(15,18),-1.11829 # DEPENDENCYPART_ARC
(15,19),-0.859084 # DEPENDENCYPART_ARC
(15,20),-1.51079 # DEPENDENCYPART_ARC
(15,21),-1.47353 # DEPENDENCYPART_ARC
(15,22),-1.21882 # DEPENDENCYPART_ARC
(15,23),-1.87273 # DEPENDENCYPART_ARC
(15,24),-2.3136 # DEPENDENCYPART_ARC
(15,25),-1.37401 # DEPENDENCYPART_ARC
(15,26),-2.19877 # DEPENDENCYPART_ARC
(15,27),-2.61356 # DEPENDENCYPART_ARC
(15,28),-2.71406 # DEPENDENCYPART_ARC
(15,29),-1.80663 # DEPENDENCYPART_ARC
(16,1),-2.72265 # DEPENDENCYPART_ARC
(16,2),-3.05669 # DEPENDENCYPART_ARC
(16,3),-2.1044 # DEPENDENCYPART_ARC
(16,4),-2.63356 # DEPENDENCYPART_ARC
(16,5),-2.5956 # DEPENDENCYPART_ARC
(16,6),-2.36587 # DEPENDENCYPART_ARC
(16,7),-1.83924 # DEPENDENCYPART_ARC
(16,8),-1.63495 # DEPENDENCYPART_ARC
(16,9),-1.9089 # DEPENDENCYPART_ARC
(16,10),-2.05335 # DEPENDENCYPART_ARC
(16,11),-2.00275 # DEPENDENCYPART_ARC
(16,12),-1.54833 # DEPENDENCYPART_ARC
(16,13),-1.27822 # DEPENDENCYPART_ARC
(16,14),-1.37088 # DEPENDENCYPART_ARC
(16,15),0.0870392 # DEPENDENCYPART_ARC
(16,17),1.20475 # DEPENDENCYPART_ARC
(16,18),0.991765 # DEPENDENCYPART_ARC
(16,19),0.812688 # DEPENDENCYPART_ARC
(16,20),0.476345 # DEPENDENCYPART_ARC
(16,21),0.323189 # DEPENDENCYPART_ARC
(16,22),0.428641 # DEPENDENCYPART_ARC
(16,23),-0.161299 # DEPENDENCYPART_ARC
(16,24),-0.807599 # DEPENDENCYPART_ARC
(16,25),-0.410122 # DEPENDENCYPART_ARC
(16,26),-0.509086 # DEPENDENCYPART_ARC
(16,27),-1.37398 # DEPENDENCYPART_ARC
(16,28),-1.41449 # DEPENDENCYPART_ARC
(16,29),0.444493 # DEPENDENCYPART_ARC
(17,1),-1.86286 # DEPENDENCYPART_ARC
(17,2),-2.3989 # DEPENDENCYPART_ARC
(17,3),-1.10577 # DEPENDENCYPART_ARC
(17,4),-1.45203 # DEPENDENCYPART_ARC
(17,5),-1.56734 # DEPENDENCYPART_ARC
(17,6),-0.996108 # DEPENDENCYPART_ARC
(17,7),-0.374151 # DEPENDENCYPART_ARC
(17,8),-0.119318 # DEPENDENCYPART_ARC
(17,9),-0.788498 # DEPENDENCYPART_ARC
(17,10),-0.921369 # DEPENDENCYPART_ARC
(17,11),-0.245478 # DEPENDENCYPART_ARC
(17,12),-0.298502 # DEPENDENCYPART_ARC
(17,13),-0.33739 # DEPENDENCYPART_ARC
(17,14),-0.473326 # DEPENDENCYPART_ARC
(17,15),0.677122 # DEPENDENCYPART_ARC
(17,16),4.33192 # DEPENDENCYPART_ARC
(17,18),1.24285 # DEPENDENCYPART_ARC
(17,19),3.74456 # DEPENDENCYPART_ARC
(17,20),0.0527646 # DEPENDENCYPART_ARC
(17,21),0.56062 # DEPENDENCYPART_ARC
(17,22),-0.427127 # DEPENDENCYPART_ARC
(17,23),-1.98051 # DEPENDENCYPART_ARC
(17,24),-2.67209 # DEPENDENCYPART_ARC
(17,25),-0.637329 # DEPENDENCYPART_ARC
(17,26),-2.476 # DEPENDENCYPART_ARC
(17,27),-5.45769 # DEPENDENCYPART_ARC
(17,28),-4.48753 # DEPENDENCYPART_ARC
(17,29),0.938848 # DEPENDENCYPART_ARC
(18,1),-2.62912 # DEPENDENCYPART_ARC
(18,2),-3.43741 # DEPENDENCYPART_ARC
(18,3),-1.89316 # DEPENDENCYPART_ARC
