# _root_ `` This is not the sort of market to have a big position in , '' said David Smith , who heads trading in all non-U.S. stocks .
#goldHeads=17,3,17,3,6,3,6,7,6,9,13,13,10,10,17,17,0,19,17,19,22,19,22,23,27,27,24,17,
#predictedHeads=17,3,17,3,6,3,6,7,6,9,13,13,10,13,17,17,0,19,17,19,22,19,22,23,27,27,24,17,
(2,20),-2.54588 # DEPENDENCYPART_ARC
(2,21),-4.12343 # DEPENDENCYPART_ARC
(2,22),-4.6566 # DEPENDENCYPART_ARC
(2,23),-3.34892 # DEPENDENCYPART_ARC
(2,24),-4.02648 # DEPENDENCYPART_ARC
(2,25),-4.26387 # DEPENDENCYPART_ARC
(2,26),-3.84885 # DEPENDENCYPART_ARC
(2,27),-3.73573 # DEPENDENCYPART_ARC
(2,28),-1.51105 # DEPENDENCYPART_ARC
(3,1),2.56615 # DEPENDENCYPART_ARC
(3,2),3.40791 # DEPENDENCYPART_ARC
(3,4),3.45503 # DEPENDENCYPART_ARC
(3,5),1.15609 # DEPENDENCYPART_ARC
(3,6),2.77644 # DEPENDENCYPART_ARC
(3,7),0.800174 # DEPENDENCYPART_ARC
(3,8),1.29254 # DEPENDENCYPART_ARC
(3,9),1.15151 # DEPENDENCYPART_ARC
(3,10),0.785284 # DEPENDENCYPART_ARC
(3,11),-0.562412 # DEPENDENCYPART_ARC
(3,12),-0.233191 # DEPENDENCYPART_ARC
(3,13),0.0818861 # DEPENDENCYPART_ARC
(3,14),0.807523 # DEPENDENCYPART_ARC
(3,15),1.15084 # DEPENDENCYPART_ARC
(3,16),1.64228 # DEPENDENCYPART_ARC
(3,17),0.00567293 # DEPENDENCYPART_ARC
(3,18),-2.50154 # DEPENDENCYPART_ARC
(3,19),-1.98881 # DEPENDENCYPART_ARC
(3,20),0.491395 # DEPENDENCYPART_ARC
(3,21),-1.67354 # DEPENDENCYPART_ARC
(3,22),-0.0684855 # DEPENDENCYPART_ARC
(3,23),-2.62893 # DEPENDENCYPART_ARC
(3,24),-2.06957 # DEPENDENCYPART_ARC
(3,25),-2.0938 # DEPENDENCYPART_ARC
(3,26),-2.55458 # DEPENDENCYPART_ARC
(3,27),-1.60004 # DEPENDENCYPART_ARC
(3,28),5.29466 # DEPENDENCYPART_ARC
(4,1),-0.703266 # DEPENDENCYPART_ARC
(4,2),-0.153462 # DEPENDENCYPART_ARC
(4,3),-0.270722 # DEPENDENCYPART_ARC
(4,5),1.93639 # DEPENDENCYPART_ARC
(4,6),0.323725 # DEPENDENCYPART_ARC
(4,7),1.2269 # DEPENDENCYPART_ARC
(4,8),-0.1178 # DEPENDENCYPART_ARC
(4,9),-0.324125 # DEPENDENCYPART_ARC
(4,10),0.236687 # DEPENDENCYPART_ARC
(4,11),0.305466 # DEPENDENCYPART_ARC
(4,12),-0.756086 # DEPENDENCYPART_ARC
(4,13),-1.25185 # DEPENDENCYPART_ARC
(4,14),-0.145437 # DEPENDENCYPART_ARC
(4,15),0.546023 # DEPENDENCYPART_ARC
(4,16),0.173127 # DEPENDENCYPART_ARC
(4,17),-0.44473 # DEPENDENCYPART_ARC
(4,18),-1.72529 # DEPENDENCYPART_ARC
(4,19),-1.72191 # DEPENDENCYPART_ARC
(4,20),0.351426 # DEPENDENCYPART_ARC
(4,21),-1.46495 # DEPENDENCYPART_ARC
(4,22),-1.15772 # DEPENDENCYPART_ARC
(4,23),-3.29709 # DEPENDENCYPART_ARC
(4,24),-1.57324 # DEPENDENCYPART_ARC
(4,25),-1.0481 # DEPENDENCYPART_ARC
(4,26),-2.18586 # DEPENDENCYPART_ARC
(4,27),-3.79185 # DEPENDENCYPART_ARC
(4,28),0.595225 # DEPENDENCYPART_ARC
(5,1),-1.88948 # DEPENDENCYPART_ARC
(5,2),-0.733914 # DEPENDENCYPART_ARC
(5,3),-1.33002 # DEPENDENCYPART_ARC
(5,4),0.540008 # DEPENDENCYPART_ARC
(5,6),-0.543962 # DEPENDENCYPART_ARC
(5,7),-1.3472 # DEPENDENCYPART_ARC
(5,8),-1.47422 # DEPENDENCYPART_ARC
(5,9),-1.91114 # DEPENDENCYPART_ARC
(5,10),-2.18678 # DEPENDENCYPART_ARC
(5,11),-2.7593 # DEPENDENCYPART_ARC
(5,12),-2.45841 # DEPENDENCYPART_ARC
(5,13),-2.4849 # DEPENDENCYPART_ARC
(5,14),-3.18666 # DEPENDENCYPART_ARC
(5,15),-2.31191 # DEPENDENCYPART_ARC
(5,16),-1.9149 # DEPENDENCYPART_ARC
(5,17),-3.30146 # DEPENDENCYPART_ARC
(5,18),-3.49084 # DEPENDENCYPART_ARC
(5,19),-3.51852 # DEPENDENCYPART_ARC
(5,20),-2.76213 # DEPENDENCYPART_ARC
(5,21),-4.3597 # DEPENDENCYPART_ARC
(5,22),-4.24684 # DEPENDENCYPART_ARC
(5,23),-3.60304 # DEPENDENCYPART_ARC
(5,24),-4.9385 # DEPENDENCYPART_ARC
(5,25),-4.46893 # DEPENDENCYPART_ARC
(5,26),-4.15235 # DEPENDENCYPART_ARC
(5,27),-4.22186 # DEPENDENCYPART_ARC
(5,28),-2.81809 # DEPENDENCYPART_ARC
(6,1),-0.53137 # DEPENDENCYPART_ARC
(6,2),-0.351478 # DEPENDENCYPART_ARC
(6,3),-0.591246 # DEPENDENCYPART_ARC
(6,4),1.50054 # DEPENDENCYPART_ARC
(6,5),4.08801 # DEPENDENCYPART_ARC
(6,7),3.23757 # DEPENDENCYPART_ARC
(6,8),1.19821 # DEPENDENCYPART_ARC
(6,9),1.79067 # DEPENDENCYPART_ARC
(6,10),0.765034 # DEPENDENCYPART_ARC
(6,11),0.395559 # DEPENDENCYPART_ARC
(6,12),0.415511 # DEPENDENCYPART_ARC
(6,13),1.16744 # DEPENDENCYPART_ARC
(6,14),0.568977 # DEPENDENCYPART_ARC
(6,15),0.541953 # DEPENDENCYPART_ARC
(6,16),1.03179 # DEPENDENCYPART_ARC
(6,17),0.159959 # DEPENDENCYPART_ARC
(6,18),-1.22838 # DEPENDENCYPART_ARC
(6,19),-0.248204 # DEPENDENCYPART_ARC
(6,20),0.173059 # DEPENDENCYPART_ARC
(6,21),-1.74588 # DEPENDENCYPART_ARC
(6,22),1.37649 # DEPENDENCYPART_ARC
(6,23),-1.77142 # DEPENDENCYPART_ARC
(6,24),-1.88269 # DEPENDENCYPART_ARC
(6,25),-1.13943 # DEPENDENCYPART_ARC
(6,26),-1.34602 # DEPENDENCYPART_ARC
(6,27),-1.8704 # DEPENDENCYPART_ARC
(6,28),0.160284 # DEPENDENCYPART_ARC
(7,1),-0.397563 # DEPENDENCYPART_ARC
(7,2),-1.1082 # DEPENDENCYPART_ARC
(7,3),-0.693708 # DEPENDENCYPART_ARC
(7,4),-0.00282832 # DEPENDENCYPART_ARC
(7,5),-0.149052 # DEPENDENCYPART_ARC
(7,6),1.60151 # DEPENDENCYPART_ARC
(7,8),3.43483 # DEPENDENCYPART_ARC
(7,9),0.738844 # DEPENDENCYPART_ARC
(7,10),0.214257 # DEPENDENCYPART_ARC
(7,11),-1.26325 # DEPENDENCYPART_ARC
(7,12),-0.787275 # DEPENDENCYPART_ARC
(7,13),-0.282987 # DEPENDENCYPART_ARC
(7,14),-0.548795 # DEPENDENCYPART_ARC
(7,15),-0.593286 # DEPENDENCYPART_ARC
(7,16),-0.775822 # DEPENDENCYPART_ARC
(7,17),-1.36226 # DEPENDENCYPART_ARC
(7,18),-4.5101 # DEPENDENCYPART_ARC
(7,19),-3.48788 # DEPENDENCYPART_ARC
(7,20),-0.775827 # DEPENDENCYPART_ARC
(7,21),-1.91355 # DEPENDENCYPART_ARC
(7,22),-2.74439 # DEPENDENCYPART_ARC
(7,23),-5.84628 # DEPENDENCYPART_ARC
(7,24),-3.11705 # DEPENDENCYPART_ARC
(7,25),-3.67661 # DEPENDENCYPART_ARC
(7,26),-3.79845 # DEPENDENCYPART_ARC
(7,27),-6.96575 # DEPENDENCYPART_ARC
(7,28),-1.08984 # DEPENDENCYPART_ARC
(8,1),-1.87208 # DEPENDENCYPART_ARC
(8,2),-2.12825 # DEPENDENCYPART_ARC
(8,3),-1.20278 # DEPENDENCYPART_ARC
(8,4),-0.0223418 # DEPENDENCYPART_ARC
(8,5),2.18 # DEPENDENCYPART_ARC
(8,6),0.578389 # DEPENDENCYPART_ARC
(8,7),0.942064 # DEPENDENCYPART_ARC
(8,9),1.03124 # DEPENDENCYPART_ARC
(8,10),0.381424 # DEPENDENCYPART_ARC
(8,11),-0.458233 # DEPENDENCYPART_ARC
(8,12),-0.340228 # DEPENDENCYPART_ARC
(8,13),0.160524 # DEPENDENCYPART_ARC
(8,14),-0.141805 # DEPENDENCYPART_ARC
(8,15),0.025435 # DEPENDENCYPART_ARC
(8,16),0.0407743 # DEPENDENCYPART_ARC
(8,17),-0.908235 # DEPENDENCYPART_ARC
(8,18),-2.04716 # DEPENDENCYPART_ARC
(8,19),-2.05331 # DEPENDENCYPART_ARC
(8,20),-0.781205 # DEPENDENCYPART_ARC
(8,21),-2.64618 # DEPENDENCYPART_ARC
(8,22),-0.312048 # DEPENDENCYPART_ARC
(8,23),-2.28833 # DEPENDENCYPART_ARC
(8,24),-1.99661 # DEPENDENCYPART_ARC
(8,25),-2.23515 # DEPENDENCYPART_ARC
(8,26),-2.206 # DEPENDENCYPART_ARC
(8,27),-2.63317 # DEPENDENCYPART_ARC
(8,28),-0.827926 # DEPENDENCYPART_ARC
(9,1),-0.184122 # DEPENDENCYPART_ARC
(9,2),0.158425 # DEPENDENCYPART_ARC
(9,3),-0.107734 # DEPENDENCYPART_ARC
(9,4),0.580604 # DEPENDENCYPART_ARC
(9,5),0.677911 # DEPENDENCYPART_ARC
(9,6),1.36586 # DEPENDENCYPART_ARC
(9,7),1.13984 # DEPENDENCYPART_ARC
(9,8),2.14636 # DEPENDENCYPART_ARC
(9,10),3.86672 # DEPENDENCYPART_ARC
(9,11),0.396325 # DEPENDENCYPART_ARC
(9,12),0.0311516 # DEPENDENCYPART_ARC
(9,13),0.0228824 # DEPENDENCYPART_ARC
(9,14),0.522252 # DEPENDENCYPART_ARC
(9,15),0.733539 # DEPENDENCYPART_ARC
(9,16),0.419545 # DEPENDENCYPART_ARC
(9,17),-0.741381 # DEPENDENCYPART_ARC
(9,18),-2.71691 # DEPENDENCYPART_ARC
(9,19),-2.17346 # DEPENDENCYPART_ARC
(9,20),0.418018 # DEPENDENCYPART_ARC
(9,21),-1.53484 # DEPENDENCYPART_ARC
(9,22),-0.522949 # DEPENDENCYPART_ARC
(9,23),-4.23863 # DEPENDENCYPART_ARC
(9,24),-1.75676 # DEPENDENCYPART_ARC
(9,25),-1.95527 # DEPENDENCYPART_ARC
(9,26),-2.09314 # DEPENDENCYPART_ARC
(9,27),-4.72975 # DEPENDENCYPART_ARC
(9,28),-0.215468 # DEPENDENCYPART_ARC
(10,1),-0.243515 # DEPENDENCYPART_ARC
(10,2),-0.425665 # DEPENDENCYPART_ARC
(10,3),-1.0259 # DEPENDENCYPART_ARC
(10,4),-1.07895 # DEPENDENCYPART_ARC
(10,5),0.108524 # DEPENDENCYPART_ARC
(10,6),-0.0891862 # DEPENDENCYPART_ARC
(10,7),0.112275 # DEPENDENCYPART_ARC
(10,8),0.205391 # DEPENDENCYPART_ARC
(10,9),0.773612 # DEPENDENCYPART_ARC
(10,11),0.961886 # DEPENDENCYPART_ARC
(10,12),1.07529 # DEPENDENCYPART_ARC
(10,13),3.3719 # DEPENDENCYPART_ARC
(10,14),2.44913 # DEPENDENCYPART_ARC
(10,15),0.567304 # DEPENDENCYPART_ARC
(10,16),1.03409 # DEPENDENCYPART_ARC
(10,17),0.519921 # DEPENDENCYPART_ARC
(10,18),-0.353632 # DEPENDENCYPART_ARC
(10,19),0.192801 # DEPENDENCYPART_ARC
(10,20),0.13407 # DEPENDENCYPART_ARC
(10,21),-1.43917 # DEPENDENCYPART_ARC
(10,22),-0.0397892 # DEPENDENCYPART_ARC
(10,23),-1.32128 # DEPENDENCYPART_ARC
(10,24),-0.524068 # DEPENDENCYPART_ARC
(10,25),-1.67185 # DEPENDENCYPART_ARC
(10,26),-1.38253 # DEPENDENCYPART_ARC
(10,27),-2.70175 # DEPENDENCYPART_ARC
(10,28),0.279413 # DEPENDENCYPART_ARC
(11,1),-2.40276 # DEPENDENCYPART_ARC
(11,2),-1.57144 # DEPENDENCYPART_ARC
(11,3),-2.0825 # DEPENDENCYPART_ARC
(11,4),-1.82504 # DEPENDENCYPART_ARC
(11,5),-0.910865 # DEPENDENCYPART_ARC
(11,6),-1.78104 # DEPENDENCYPART_ARC
(11,7),-0.782285 # DEPENDENCYPART_ARC
(11,8),-1.1673 # DEPENDENCYPART_ARC
(11,9),-0.764551 # DEPENDENCYPART_ARC
(11,10),0.557384 # DEPENDENCYPART_ARC
(11,12),0.995269 # DEPENDENCYPART_ARC
(11,13),0.533078 # DEPENDENCYPART_ARC
(11,14),0.12621 # DEPENDENCYPART_ARC
(11,15),0.0821084 # DEPENDENCYPART_ARC
(11,16),-0.0718943 # DEPENDENCYPART_ARC
(11,17),-0.180317 # DEPENDENCYPART_ARC
(11,18),-0.638352 # DEPENDENCYPART_ARC
(11,19),-0.601782 # DEPENDENCYPART_ARC
(11,20),0.356038 # DEPENDENCYPART_ARC
(11,21),-1.83705 # DEPENDENCYPART_ARC
(11,22),-1.09442 # DEPENDENCYPART_ARC
(11,23),-1.16191 # DEPENDENCYPART_ARC
(11,24),-1.54478 # DEPENDENCYPART_ARC
(11,25),-2.10747 # DEPENDENCYPART_ARC
(11,26),-1.77823 # DEPENDENCYPART_ARC
(11,27),-1.77735 # DEPENDENCYPART_ARC
(11,28),-0.707593 # DEPENDENCYPART_ARC
(12,1),-1.73809 # DEPENDENCYPART_ARC
(12,2),-1.61155 # DEPENDENCYPART_ARC
(12,3),-1.92396 # DEPENDENCYPART_ARC
(12,4),-2.06434 # DEPENDENCYPART_ARC
(12,5),-0.450789 # DEPENDENCYPART_ARC
(12,6),-0.928798 # DEPENDENCYPART_ARC
(12,7),-0.580319 # DEPENDENCYPART_ARC
(12,8),-0.453454 # DEPENDENCYPART_ARC
(12,9),-0.10843 # DEPENDENCYPART_ARC
(12,10),-0.0399231 # DEPENDENCYPART_ARC
(12,11),1.8042 # DEPENDENCYPART_ARC
(12,13),1.43107 # DEPENDENCYPART_ARC
(12,14),0.217439 # DEPENDENCYPART_ARC
(12,15),0.0146478 # DEPENDENCYPART_ARC
(12,16),0.223536 # DEPENDENCYPART_ARC
(12,17),-0.202523 # DEPENDENCYPART_ARC
(12,18),-0.854801 # DEPENDENCYPART_ARC
(12,19),-1.02498 # DEPENDENCYPART_ARC
(12,20),-0.617141 # DEPENDENCYPART_ARC
(12,21),-1.62085 # DEPENDENCYPART_ARC
(12,22),-0.621815 # DEPENDENCYPART_ARC
(12,23),-1.1434 # DEPENDENCYPART_ARC
(12,24),-2.1919 # DEPENDENCYPART_ARC
(12,25),-2.24416 # DEPENDENCYPART_ARC
(12,26),-1.47018 # DEPENDENCYPART_ARC
(12,27),-1.85793 # DEPENDENCYPART_ARC
(12,28),-0.637579 # DEPENDENCYPART_ARC
(13,1),-1.12791 # DEPENDENCYPART_ARC
(13,2),-4.16245 # DEPENDENCYPART_ARC
(13,3),-1.4529 # DEPENDENCYPART_ARC
(13,4),-0.276349 # DEPENDENCYPART_ARC
(13,5),-0.686012 # DEPENDENCYPART_ARC
(13,6),-2.07239 # DEPENDENCYPART_ARC
(13,7),-0.58586 # DEPENDENCYPART_ARC
(13,8),0.206049 # DEPENDENCYPART_ARC
(13,9),-0.0796278 # DEPENDENCYPART_ARC
(13,10),0.285182 # DEPENDENCYPART_ARC
(13,11),4.55878 # DEPENDENCYPART_ARC
(13,12),4.66526 # DEPENDENCYPART_ARC
(13,14),2.50364 # DEPENDENCYPART_ARC
(13,15),0.789498 # DEPENDENCYPART_ARC
(13,16),1.65085 # DEPENDENCYPART_ARC
(13,17),0.924421 # DEPENDENCYPART_ARC
(13,18),-0.274047 # DEPENDENCYPART_ARC
(13,19),0.578727 # DEPENDENCYPART_ARC
(13,20),1.29533 # DEPENDENCYPART_ARC
(13,21),-1.0992 # DEPENDENCYPART_ARC
(13,22),1.6081 # DEPENDENCYPART_ARC
(13,23),-0.70138 # DEPENDENCYPART_ARC
(13,24),-0.994162 # DEPENDENCYPART_ARC
(13,25),-0.940086 # DEPENDENCYPART_ARC
(13,26),-0.94575 # DEPENDENCYPART_ARC
(13,27),-0.986581 # DEPENDENCYPART_ARC
(13,28),0.750479 # DEPENDENCYPART_ARC
(14,1),-0.0234754 # DEPENDENCYPART_ARC
(14,2),-1.38847 # DEPENDENCYPART_ARC
(14,3),-1.01922 # DEPENDENCYPART_ARC
(14,4),-0.619545 # DEPENDENCYPART_ARC
(14,5),-0.342619 # DEPENDENCYPART_ARC
(14,6),0.225264 # DEPENDENCYPART_ARC
(14,7),0.185614 # DEPENDENCYPART_ARC
(14,8),-0.515797 # DEPENDENCYPART_ARC
(14,9),-0.412463 # DEPENDENCYPART_ARC
(14,10),-0.088753 # DEPENDENCYPART_ARC
(14,11),0.662976 # DEPENDENCYPART_ARC
(14,12),0.110952 # DEPENDENCYPART_ARC
(14,13),1.0077 # DEPENDENCYPART_ARC
(14,15),1.40183 # DEPENDENCYPART_ARC
(14,16),1.40781 # DEPENDENCYPART_ARC
(14,17),0.459654 # DEPENDENCYPART_ARC
(14,18),0.0253763 # DEPENDENCYPART_ARC
(14,19),0.590776 # DEPENDENCYPART_ARC
(14,20),0.500469 # DEPENDENCYPART_ARC
(14,21),-0.614233 # DEPENDENCYPART_ARC
(14,22),-1.05064 # DEPENDENCYPART_ARC
(14,23),-0.785292 # DEPENDENCYPART_ARC
(14,24),-0.474799 # DEPENDENCYPART_ARC
(14,25),-1.59372 # DEPENDENCYPART_ARC
(14,26),-1.65143 # DEPENDENCYPART_ARC
(14,27),-3.57217 # DEPENDENCYPART_ARC
(14,28),0.168881 # DEPENDENCYPART_ARC
(15,1),-3.13493 # DEPENDENCYPART_ARC
(15,2),-3.09027 # DEPENDENCYPART_ARC
(15,3),-3.20885 # DEPENDENCYPART_ARC
(15,4),-3.67389 # DEPENDENCYPART_ARC
(15,5),-2.59742 # DEPENDENCYPART_ARC
(15,6),-2.63657 # DEPENDENCYPART_ARC
(15,7),-2.70323 # DEPENDENCYPART_ARC
(15,8),-2.46395 # DEPENDENCYPART_ARC
(15,9),-2.27942 # DEPENDENCYPART_ARC
(15,10),-2.6779 # DEPENDENCYPART_ARC
(15,11),-1.90362 # DEPENDENCYPART_ARC
(15,12),-2.03603 # DEPENDENCYPART_ARC
(15,13),-2.43335 # DEPENDENCYPART_ARC
(15,14),-1.32497 # DEPENDENCYPART_ARC
(15,16),0.212156 # DEPENDENCYPART_ARC
(15,17),-0.198928 # DEPENDENCYPART_ARC
(15,18),-0.802006 # DEPENDENCYPART_ARC
(15,19),-1.09833 # DEPENDENCYPART_ARC
(15,20),0.359554 # DEPENDENCYPART_ARC
(15,21),-2.25483 # DEPENDENCYPART_ARC
(15,22),-1.29008 # DEPENDENCYPART_ARC
(15,23),-2.15769 # DEPENDENCYPART_ARC
(15,24),-1.53673 # DEPENDENCYPART_ARC
(15,25),-2.05692 # DEPENDENCYPART_ARC
(15,26),-2.3216 # DEPENDENCYPART_ARC
(15,27),-2.56697 # DEPENDENCYPART_ARC
(15,28),-1.52841 # DEPENDENCYPART_ARC
(16,1),-0.298087 # DEPENDENCYPART_ARC
(16,2),-2.01827 # DEPENDENCYPART_ARC
(16,3),-1.61556 # DEPENDENCYPART_ARC
(16,4),-2.44801 # DEPENDENCYPART_ARC
(16,5),-1.42243 # DEPENDENCYPART_ARC
(16,6),-2.21562 # DEPENDENCYPART_ARC
(16,7),-1.56819 # DEPENDENCYPART_ARC
(16,8),-2.03958 # DEPENDENCYPART_ARC
(16,9),-1.45676 # DEPENDENCYPART_ARC
(16,10),-1.36977 # DEPENDENCYPART_ARC
(16,11),-0.51547 # DEPENDENCYPART_ARC
(16,12),-1.19653 # DEPENDENCYPART_ARC
(16,13),-1.0089 # DEPENDENCYPART_ARC
(16,14),-0.497922 # DEPENDENCYPART_ARC
(16,15),0.484874 # DEPENDENCYPART_ARC
(16,17),0.0904915 # DEPENDENCYPART_ARC
(16,18),-0.949462 # DEPENDENCYPART_ARC
(16,19),-1.31474 # DEPENDENCYPART_ARC
(16,20),-1.08438 # DEPENDENCYPART_ARC
(16,21),-2.43521 # DEPENDENCYPART_ARC
(16,22),-1.45173 # DEPENDENCYPART_ARC
(16,23),-2.00281 # DEPENDENCYPART_ARC
(16,24),-1.68457 # DEPENDENCYPART_ARC
(16,25),-2.42559 # DEPENDENCYPART_ARC
(16,26),-2.62482 # DEPENDENCYPART_ARC
(16,27),-2.4698 # DEPENDENCYPART_ARC
(16,28),-1.61253 # DEPENDENCYPART_ARC
(17,1),3.91422 # DEPENDENCYPART_ARC
(17,2),-1.82995 # DEPENDENCYPART_ARC
(17,3),0.64097 # DEPENDENCYPART_ARC
(17,4),-1.36239 # DEPENDENCYPART_ARC
(17,5),-1.97379 # DEPENDENCYPART_ARC
(17,6),-0.864235 # DEPENDENCYPART_ARC
(17,7),-1.85028 # DEPENDENCYPART_ARC
(17,8),-0.977136 # DEPENDENCYPART_ARC
(17,9),-1.19646 # DEPENDENCYPART_ARC
(17,10),-0.0592253 # DEPENDENCYPART_ARC
(17,11),-0.311566 # DEPENDENCYPART_ARC
(17,12),-0.245918 # DEPENDENCYPART_ARC
(17,13),0.0917078 # DEPENDENCYPART_ARC
(17,14),-0.0469874 # DEPENDENCYPART_ARC
(17,15),3.38845 # DEPENDENCYPART_ARC
(17,16),3.67466 # DEPENDENCYPART_ARC
(17,18),1.19802 # DEPENDENCYPART_ARC
(17,19),2.58454 # DEPENDENCYPART_ARC
(17,20),1.60333 # DEPENDENCYPART_ARC
(17,21),-0.436012 # DEPENDENCYPART_ARC
(17,22),1.45771 # DEPENDENCYPART_ARC
(17,23),-0.437605 # DEPENDENCYPART_ARC
(17,24),0.280267 # DEPENDENCYPART_ARC
(17,25),-1.11381 # DEPENDENCYPART_ARC
(17,26),-1.11187 # DEPENDENCYPART_ARC
(17,27),-2.20734 # DEPENDENCYPART_ARC
(17,28),7.62217 # DEPENDENCYPART_ARC
(18,1),-3.17245 # DEPENDENCYPART_ARC
(18,2),-5.40637 # DEPENDENCYPART_ARC
(18,3),-4.42553 # DEPENDENCYPART_ARC
(18,4),-3.69027 # DEPENDENCYPART_ARC
(18,5),-4.18945 # DEPENDENCYPART_ARC
(18,6),-5.50867 # DEPENDENCYPART_ARC
(18,7),-3.09545 # DEPENDENCYPART_ARC
(18,8),-3.83345 # DEPENDENCYPART_ARC
(18,9),-3.39053 # DEPENDENCYPART_ARC
(18,10),-2.73397 # DEPENDENCYPART_ARC
(18,11),-1.84249 # DEPENDENCYPART_ARC
(18,12),-2.1562 # DEPENDENCYPART_ARC
(18,13),-3.0106 # DEPENDENCYPART_ARC
(18,14),-1.73622 # DEPENDENCYPART_ARC
(18,15),-1.40254 # DEPENDENCYPART_ARC
(18,16),-0.85747 # DEPENDENCYPART_ARC
(18,17),-0.520617 # DEPENDENCYPART_ARC
(18,19),1.55401 # DEPENDENCYPART_ARC
(18,20),0.810771 # DEPENDENCYPART_ARC
(18,21),-1.24439 # DEPENDENCYPART_ARC
(18,22),0.802961 # DEPENDENCYPART_ARC
(18,23),-0.8525 # DEPENDENCYPART_ARC
