# _root_ However , this was brushed aside by concern over the stock market , the analyst said .
#goldHeads=4,4,4,16,4,5,5,7,8,12,12,9,16,15,16,0,16,
#predictedHeads=4,4,4,16,4,5,5,7,5,12,12,9,16,15,16,0,16,
(10,4),-2.30458 # DEPENDENCYPART_ARC
(10,5),-2.27358 # DEPENDENCYPART_ARC
(10,6),-1.84234 # DEPENDENCYPART_ARC
(10,7),-1.28323 # DEPENDENCYPART_ARC
(10,8),-1.86387 # DEPENDENCYPART_ARC
(10,9),-0.433512 # DEPENDENCYPART_ARC
(10,11),0.278681 # DEPENDENCYPART_ARC
(10,12),-0.604945 # DEPENDENCYPART_ARC
(10,13),-1.44167 # DEPENDENCYPART_ARC
(10,14),-2.37379 # DEPENDENCYPART_ARC
(10,15),-1.24221 # DEPENDENCYPART_ARC
(10,16),-1.81695 # DEPENDENCYPART_ARC
(10,17),-1.77458 # DEPENDENCYPART_ARC
(11,1),-4.9282 # DEPENDENCYPART_ARC
(11,2),-2.98723 # DEPENDENCYPART_ARC
(11,3),-4.73177 # DEPENDENCYPART_ARC
(11,4),-2.62273 # DEPENDENCYPART_ARC
(11,5),-2.93807 # DEPENDENCYPART_ARC
(11,6),-2.31179 # DEPENDENCYPART_ARC
(11,7),-0.965207 # DEPENDENCYPART_ARC
(11,8),-1.87027 # DEPENDENCYPART_ARC
(11,9),-0.348169 # DEPENDENCYPART_ARC
(11,10),2.88546 # DEPENDENCYPART_ARC
(11,12),0.121857 # DEPENDENCYPART_ARC
(11,13),-0.540501 # DEPENDENCYPART_ARC
(11,14),-1.21251 # DEPENDENCYPART_ARC
(11,15),-1.13492 # DEPENDENCYPART_ARC
(11,16),-1.17464 # DEPENDENCYPART_ARC
(11,17),-1.11184 # DEPENDENCYPART_ARC
(12,1),-3.30535 # DEPENDENCYPART_ARC
(12,2),-1.49392 # DEPENDENCYPART_ARC
(12,3),-1.78713 # DEPENDENCYPART_ARC
(12,4),-0.80054 # DEPENDENCYPART_ARC
(12,5),-0.67203 # DEPENDENCYPART_ARC
(12,6),-1.10596 # DEPENDENCYPART_ARC
(12,7),0.110249 # DEPENDENCYPART_ARC
(12,8),0.728026 # DEPENDENCYPART_ARC
(12,9),0.920952 # DEPENDENCYPART_ARC
(12,10),5.23948 # DEPENDENCYPART_ARC
(12,11),4.84521 # DEPENDENCYPART_ARC
(12,13),1.60572 # DEPENDENCYPART_ARC
(12,14),-0.296713 # DEPENDENCYPART_ARC
(12,15),0.171951 # DEPENDENCYPART_ARC
(12,16),-0.159536 # DEPENDENCYPART_ARC
(12,17),0.115154 # DEPENDENCYPART_ARC
(13,1),-3.07741 # DEPENDENCYPART_ARC
(13,2),-0.70876 # DEPENDENCYPART_ARC
(13,3),-1.77814 # DEPENDENCYPART_ARC
(13,4),-2.02339 # DEPENDENCYPART_ARC
(13,5),-1.19392 # DEPENDENCYPART_ARC
(13,6),-2.41241 # DEPENDENCYPART_ARC
(13,7),-1.62963 # DEPENDENCYPART_ARC
(13,8),-1.78162 # DEPENDENCYPART_ARC
(13,9),-1.52982 # DEPENDENCYPART_ARC
(13,10),-0.7493 # DEPENDENCYPART_ARC
(13,11),-1.70216 # DEPENDENCYPART_ARC
(13,12),-1.12864 # DEPENDENCYPART_ARC
(13,14),-0.17544 # DEPENDENCYPART_ARC
(13,15),-0.871163 # DEPENDENCYPART_ARC
(13,16),-0.614804 # DEPENDENCYPART_ARC
(13,17),-1.12546 # DEPENDENCYPART_ARC
(14,1),-3.59026 # DEPENDENCYPART_ARC
(14,2),-3.219 # DEPENDENCYPART_ARC
(14,3),-2.9273 # DEPENDENCYPART_ARC
(14,4),-2.95933 # DEPENDENCYPART_ARC
(14,5),-2.92022 # DEPENDENCYPART_ARC
(14,6),-2.91381 # DEPENDENCYPART_ARC
(14,7),-2.37937 # DEPENDENCYPART_ARC
(14,8),-2.88733 # DEPENDENCYPART_ARC
(14,9),-2.09089 # DEPENDENCYPART_ARC
(14,10),-1.35871 # DEPENDENCYPART_ARC
(14,11),-2.02245 # DEPENDENCYPART_ARC
(14,12),-2.05708 # DEPENDENCYPART_ARC
(14,13),-0.864015 # DEPENDENCYPART_ARC
(14,15),-0.305671 # DEPENDENCYPART_ARC
(14,16),-0.33482 # DEPENDENCYPART_ARC
(14,17),-1.66205 # DEPENDENCYPART_ARC
(15,1),-5.11255 # DEPENDENCYPART_ARC
(15,2),-2.15415 # DEPENDENCYPART_ARC
(15,3),-5.22837 # DEPENDENCYPART_ARC
(15,4),-2.05128 # DEPENDENCYPART_ARC
(15,5),-2.40718 # DEPENDENCYPART_ARC
(15,6),-2.78725 # DEPENDENCYPART_ARC
(15,7),-0.558757 # DEPENDENCYPART_ARC
(15,8),-2.61674 # DEPENDENCYPART_ARC
(15,9),-0.476033 # DEPENDENCYPART_ARC
(15,10),1.29825 # DEPENDENCYPART_ARC
(15,11),0.561242 # DEPENDENCYPART_ARC
(15,12),-1.00335 # DEPENDENCYPART_ARC
(15,13),0.655615 # DEPENDENCYPART_ARC
(15,14),4.04105 # DEPENDENCYPART_ARC
(15,16),1.22821 # DEPENDENCYPART_ARC
(15,17),0.311517 # DEPENDENCYPART_ARC
(16,1),0.900702 # DEPENDENCYPART_ARC
(16,2),2.52937 # DEPENDENCYPART_ARC
(16,3),-1.31883 # DEPENDENCYPART_ARC
(16,4),1.49243 # DEPENDENCYPART_ARC
(16,5),0.625172 # DEPENDENCYPART_ARC
(16,6),0.749176 # DEPENDENCYPART_ARC
(16,7),-0.175935 # DEPENDENCYPART_ARC
(16,8),0.63362 # DEPENDENCYPART_ARC
(16,9),0.612574 # DEPENDENCYPART_ARC
(16,10),-0.866596 # DEPENDENCYPART_ARC
(16,11),0.864106 # DEPENDENCYPART_ARC
(16,12),0.302154 # DEPENDENCYPART_ARC
(16,13),4.19594 # DEPENDENCYPART_ARC
(16,14),0.844674 # DEPENDENCYPART_ARC
(16,15),3.53797 # DEPENDENCYPART_ARC
(16,17),7.07951 # DEPENDENCYPART_ARC
(17,1),-1.30738 # DEPENDENCYPART_ARC
(17,2),-0.864917 # DEPENDENCYPART_ARC
(17,3),-2.23811 # DEPENDENCYPART_ARC
(17,4),-1.70085 # DEPENDENCYPART_ARC
(17,5),-1.91283 # DEPENDENCYPART_ARC
(17,6),-1.89156 # DEPENDENCYPART_ARC
(17,7),-2.52449 # DEPENDENCYPART_ARC
(17,8),-1.61835 # DEPENDENCYPART_ARC
(17,9),-2.23112 # DEPENDENCYPART_ARC
(17,10),-1.33722 # DEPENDENCYPART_ARC
(17,11),-1.6836 # DEPENDENCYPART_ARC
(17,12),-1.83315 # DEPENDENCYPART_ARC
(17,13),-0.387535 # DEPENDENCYPART_ARC
(17,14),-0.779736 # DEPENDENCYPART_ARC
(17,15),-2.19198 # DEPENDENCYPART_ARC
(17,16),-0.991395 # DEPENDENCYPART_ARC
