# _root_ The stock market has lost some precursory power , analysts at the Columbia center claim , because of the growing impact of international developments .
#goldHeads=3,3,4,15,4,8,8,5,5,15,10,14,14,11,0,5,5,17,21,21,17,21,24,22,4,
#predictedHeads=3,3,4,0,4,8,8,5,8,8,10,15,15,15,11,8,5,17,21,21,17,21,24,22,4,
(2,24),-2.94111 # DEPENDENCYPART_ARC
(2,25),-1.08085 # DEPENDENCYPART_ARC
(3,1),4.84836 # DEPENDENCYPART_ARC
(3,2),4.08304 # DEPENDENCYPART_ARC
(3,4),0.346943 # DEPENDENCYPART_ARC
(3,5),0.19114 # DEPENDENCYPART_ARC
(3,6),-0.962506 # DEPENDENCYPART_ARC
(3,7),-0.621465 # DEPENDENCYPART_ARC
(3,8),-0.493519 # DEPENDENCYPART_ARC
(3,9),-0.239292 # DEPENDENCYPART_ARC
(3,10),-1.17109 # DEPENDENCYPART_ARC
(3,11),-0.873572 # DEPENDENCYPART_ARC
(3,12),-1.71886 # DEPENDENCYPART_ARC
(3,13),-1.67706 # DEPENDENCYPART_ARC
(3,14),-1.21084 # DEPENDENCYPART_ARC
(3,15),-1.29875 # DEPENDENCYPART_ARC
(3,16),-0.863208 # DEPENDENCYPART_ARC
(3,17),-2.40841 # DEPENDENCYPART_ARC
(3,18),-4.43797 # DEPENDENCYPART_ARC
(3,19),-2.34704 # DEPENDENCYPART_ARC
(3,20),-1.92597 # DEPENDENCYPART_ARC
(3,21),-1.65471 # DEPENDENCYPART_ARC
(3,22),-6.31771 # DEPENDENCYPART_ARC
(3,23),-2.55433 # DEPENDENCYPART_ARC
(3,24),-3.43026 # DEPENDENCYPART_ARC
(3,25),-1.0565 # DEPENDENCYPART_ARC
(4,1),0.326567 # DEPENDENCYPART_ARC
(4,2),1.62438 # DEPENDENCYPART_ARC
(4,3),2.99753 # DEPENDENCYPART_ARC
(4,5),4.58632 # DEPENDENCYPART_ARC
(4,6),0.143413 # DEPENDENCYPART_ARC
(4,7),-0.337631 # DEPENDENCYPART_ARC
(4,8),1.20133 # DEPENDENCYPART_ARC
(4,9),0.632464 # DEPENDENCYPART_ARC
(4,10),-0.325704 # DEPENDENCYPART_ARC
(4,11),0.0931368 # DEPENDENCYPART_ARC
(4,12),-1.48042 # DEPENDENCYPART_ARC
(4,13),-1.521 # DEPENDENCYPART_ARC
(4,14),-1.49922 # DEPENDENCYPART_ARC
(4,15),-1.2248 # DEPENDENCYPART_ARC
(4,16),0.3214 # DEPENDENCYPART_ARC
(4,17),0.635684 # DEPENDENCYPART_ARC
(4,18),-2.55919 # DEPENDENCYPART_ARC
(4,19),-2.26299 # DEPENDENCYPART_ARC
(4,20),-0.904351 # DEPENDENCYPART_ARC
(4,21),-3.80423 # DEPENDENCYPART_ARC
(4,22),-2.75851 # DEPENDENCYPART_ARC
(4,23),-2.83986 # DEPENDENCYPART_ARC
(4,24),-2.62727 # DEPENDENCYPART_ARC
(4,25),4.56925 # DEPENDENCYPART_ARC
(5,1),0.399206 # DEPENDENCYPART_ARC
(5,2),0.608737 # DEPENDENCYPART_ARC
(5,3),0.379504 # DEPENDENCYPART_ARC
(5,4),0.542089 # DEPENDENCYPART_ARC
(5,6),1.33668 # DEPENDENCYPART_ARC
(5,7),1.2586 # DEPENDENCYPART_ARC
(5,8),2.89221 # DEPENDENCYPART_ARC
(5,9),1.37812 # DEPENDENCYPART_ARC
(5,10),1.39552 # DEPENDENCYPART_ARC
(5,11),1.86132 # DEPENDENCYPART_ARC
(5,12),-0.346799 # DEPENDENCYPART_ARC
(5,13),0.113017 # DEPENDENCYPART_ARC
(5,14),0.653905 # DEPENDENCYPART_ARC
(5,15),1.05061 # DEPENDENCYPART_ARC
(5,16),1.49291 # DEPENDENCYPART_ARC
(5,17),2.26812 # DEPENDENCYPART_ARC
(5,18),-1.17053 # DEPENDENCYPART_ARC
(5,19),-1.00273 # DEPENDENCYPART_ARC
(5,20),1.42357 # DEPENDENCYPART_ARC
(5,21),-0.930241 # DEPENDENCYPART_ARC
(5,22),-2.01846 # DEPENDENCYPART_ARC
(5,23),-1.15428 # DEPENDENCYPART_ARC
(5,24),-2.18421 # DEPENDENCYPART_ARC
(5,25),0.253983 # DEPENDENCYPART_ARC
(6,1),-0.636419 # DEPENDENCYPART_ARC
(6,2),-1.42425 # DEPENDENCYPART_ARC
(6,3),-1.08016 # DEPENDENCYPART_ARC
(6,4),-0.886939 # DEPENDENCYPART_ARC
(6,5),-0.042411 # DEPENDENCYPART_ARC
(6,7),1.29288 # DEPENDENCYPART_ARC
(6,8),0.646314 # DEPENDENCYPART_ARC
(6,9),0.72587 # DEPENDENCYPART_ARC
(6,10),0.321557 # DEPENDENCYPART_ARC
(6,11),-0.277343 # DEPENDENCYPART_ARC
(6,12),-0.731525 # DEPENDENCYPART_ARC
(6,13),-0.47262 # DEPENDENCYPART_ARC
(6,14),-0.393754 # DEPENDENCYPART_ARC
(6,15),-0.420916 # DEPENDENCYPART_ARC
(6,16),0.155202 # DEPENDENCYPART_ARC
(6,17),-1.31862 # DEPENDENCYPART_ARC
(6,18),-1.11923 # DEPENDENCYPART_ARC
(6,19),-1.72511 # DEPENDENCYPART_ARC
(6,20),-0.53758 # DEPENDENCYPART_ARC
(6,21),-1.21254 # DEPENDENCYPART_ARC
(6,22),-1.97642 # DEPENDENCYPART_ARC
(6,23),-1.73941 # DEPENDENCYPART_ARC
(6,24),-1.4931 # DEPENDENCYPART_ARC
(6,25),0.049007 # DEPENDENCYPART_ARC
(7,1),-0.275819 # DEPENDENCYPART_ARC
(7,2),-0.618045 # DEPENDENCYPART_ARC
(7,3),-0.365405 # DEPENDENCYPART_ARC
(7,4),-0.787996 # DEPENDENCYPART_ARC
(7,5),-0.21251 # DEPENDENCYPART_ARC
(7,6),1.35948 # DEPENDENCYPART_ARC
(7,8),0.84222 # DEPENDENCYPART_ARC
(7,9),0.0042043 # DEPENDENCYPART_ARC
(7,10),-0.354002 # DEPENDENCYPART_ARC
(7,11),-0.983308 # DEPENDENCYPART_ARC
(7,12),-1.6929 # DEPENDENCYPART_ARC
(7,13),-1.30939 # DEPENDENCYPART_ARC
(7,14),-1.14019 # DEPENDENCYPART_ARC
(7,15),-1.54253 # DEPENDENCYPART_ARC
(7,16),-0.614216 # DEPENDENCYPART_ARC
(7,17),-1.90439 # DEPENDENCYPART_ARC
(7,18),-2.92478 # DEPENDENCYPART_ARC
(7,19),-2.68354 # DEPENDENCYPART_ARC
(7,20),-1.68274 # DEPENDENCYPART_ARC
(7,21),-2.31893 # DEPENDENCYPART_ARC
(7,22),-3.33656 # DEPENDENCYPART_ARC
(7,23),-1.87873 # DEPENDENCYPART_ARC
(7,24),-2.52958 # DEPENDENCYPART_ARC
(7,25),-1.0566 # DEPENDENCYPART_ARC
(8,1),-0.2611 # DEPENDENCYPART_ARC
(8,2),0.228036 # DEPENDENCYPART_ARC
(8,3),-0.855674 # DEPENDENCYPART_ARC
(8,4),-0.185041 # DEPENDENCYPART_ARC
(8,5),0.691323 # DEPENDENCYPART_ARC
(8,6),3.4373 # DEPENDENCYPART_ARC
(8,7),4.48226 # DEPENDENCYPART_ARC
(8,9),2.39375 # DEPENDENCYPART_ARC
(8,10),1.51649 # DEPENDENCYPART_ARC
(8,11),0.689354 # DEPENDENCYPART_ARC
(8,12),0.0355171 # DEPENDENCYPART_ARC
(8,13),0.138172 # DEPENDENCYPART_ARC
(8,14),1.00209 # DEPENDENCYPART_ARC
(8,15),1.28781 # DEPENDENCYPART_ARC
(8,16),1.92895 # DEPENDENCYPART_ARC
(8,17),-0.703155 # DEPENDENCYPART_ARC
(8,18),-2.2835 # DEPENDENCYPART_ARC
(8,19),-0.686969 # DEPENDENCYPART_ARC
(8,20),-0.443975 # DEPENDENCYPART_ARC
(8,21),0.0964171 # DEPENDENCYPART_ARC
(8,22),-3.92451 # DEPENDENCYPART_ARC
(8,23),-1.32705 # DEPENDENCYPART_ARC
(8,24),-0.749903 # DEPENDENCYPART_ARC
(8,25),0.953162 # DEPENDENCYPART_ARC
(9,1),-1.88244 # DEPENDENCYPART_ARC
(9,2),-2.02243 # DEPENDENCYPART_ARC
(9,3),-1.91053 # DEPENDENCYPART_ARC
(9,4),-2.19251 # DEPENDENCYPART_ARC
(9,5),-1.63628 # DEPENDENCYPART_ARC
(9,6),-1.02077 # DEPENDENCYPART_ARC
(9,7),-1.64106 # DEPENDENCYPART_ARC
(9,8),-1.36915 # DEPENDENCYPART_ARC
(9,10),-0.581003 # DEPENDENCYPART_ARC
(9,11),-1.2734 # DEPENDENCYPART_ARC
(9,12),-1.64104 # DEPENDENCYPART_ARC
(9,13),-1.47502 # DEPENDENCYPART_ARC
(9,14),-2.07814 # DEPENDENCYPART_ARC
(9,15),-2.34531 # DEPENDENCYPART_ARC
(9,16),-0.708871 # DEPENDENCYPART_ARC
(9,17),-1.53449 # DEPENDENCYPART_ARC
(9,18),-1.81112 # DEPENDENCYPART_ARC
(9,19),-2.49193 # DEPENDENCYPART_ARC
(9,20),-2.22651 # DEPENDENCYPART_ARC
(9,21),-3.11499 # DEPENDENCYPART_ARC
(9,22),-2.0756 # DEPENDENCYPART_ARC
(9,23),-3.09709 # DEPENDENCYPART_ARC
(9,24),-3.32725 # DEPENDENCYPART_ARC
(9,25),-2.41018 # DEPENDENCYPART_ARC
(10,1),-0.932016 # DEPENDENCYPART_ARC
(10,2),-0.442592 # DEPENDENCYPART_ARC
(10,3),-1.90945 # DEPENDENCYPART_ARC
(10,4),-1.43454 # DEPENDENCYPART_ARC
(10,5),-0.25784 # DEPENDENCYPART_ARC
(10,6),2.00049 # DEPENDENCYPART_ARC
(10,7),1.42294 # DEPENDENCYPART_ARC
(10,8),0.5894 # DEPENDENCYPART_ARC
(10,9),0.383931 # DEPENDENCYPART_ARC
(10,11),2.57371 # DEPENDENCYPART_ARC
(10,12),0.347502 # DEPENDENCYPART_ARC
(10,13),0.773832 # DEPENDENCYPART_ARC
(10,14),1.05586 # DEPENDENCYPART_ARC
(10,15),0.946238 # DEPENDENCYPART_ARC
(10,16),0.967482 # DEPENDENCYPART_ARC
(10,17),-0.164998 # DEPENDENCYPART_ARC
(10,18),-1.13916 # DEPENDENCYPART_ARC
(10,19),-0.451415 # DEPENDENCYPART_ARC
(10,20),0.139691 # DEPENDENCYPART_ARC
(10,21),-0.361605 # DEPENDENCYPART_ARC
(10,22),-2.41888 # DEPENDENCYPART_ARC
(10,23),-0.814279 # DEPENDENCYPART_ARC
(10,24),-0.58471 # DEPENDENCYPART_ARC
(10,25),0.584843 # DEPENDENCYPART_ARC
(11,1),-1.2642 # DEPENDENCYPART_ARC
(11,2),-1.39818 # DEPENDENCYPART_ARC
(11,3),-1.95475 # DEPENDENCYPART_ARC
(11,4),-0.983177 # DEPENDENCYPART_ARC
(11,5),-0.738053 # DEPENDENCYPART_ARC
(11,6),-0.728792 # DEPENDENCYPART_ARC
(11,7),-0.508729 # DEPENDENCYPART_ARC
(11,8),-1.11779 # DEPENDENCYPART_ARC
(11,9),0.199601 # DEPENDENCYPART_ARC
(11,10),0.399651 # DEPENDENCYPART_ARC
(11,12),0.918675 # DEPENDENCYPART_ARC
(11,13),2.30461 # DEPENDENCYPART_ARC
(11,14),2.7951 # DEPENDENCYPART_ARC
(11,15),3.09247 # DEPENDENCYPART_ARC
(11,16),0.735058 # DEPENDENCYPART_ARC
(11,17),0.779886 # DEPENDENCYPART_ARC
(11,18),0.572316 # DEPENDENCYPART_ARC
(11,19),-1.645 # DEPENDENCYPART_ARC
(11,20),-0.785863 # DEPENDENCYPART_ARC
(11,21),-1.50721 # DEPENDENCYPART_ARC
(11,22),-0.415463 # DEPENDENCYPART_ARC
(11,23),-1.33155 # DEPENDENCYPART_ARC
(11,24),-3.21278 # DEPENDENCYPART_ARC
(11,25),-0.925099 # DEPENDENCYPART_ARC
(12,1),-2.98365 # DEPENDENCYPART_ARC
(12,2),-3.55379 # DEPENDENCYPART_ARC
(12,3),-3.48337 # DEPENDENCYPART_ARC
(12,4),-3.08506 # DEPENDENCYPART_ARC
(12,5),-2.91302 # DEPENDENCYPART_ARC
(12,6),-2.18194 # DEPENDENCYPART_ARC
(12,7),-2.45287 # DEPENDENCYPART_ARC
(12,8),-2.58825 # DEPENDENCYPART_ARC
(12,9),-1.83725 # DEPENDENCYPART_ARC
(12,10),-2.00444 # DEPENDENCYPART_ARC
(12,11),-0.733049 # DEPENDENCYPART_ARC
(12,13),-0.510365 # DEPENDENCYPART_ARC
(12,14),-0.278401 # DEPENDENCYPART_ARC
(12,15),-0.528641 # DEPENDENCYPART_ARC
(12,16),-1.2859 # DEPENDENCYPART_ARC
(12,17),-1.76412 # DEPENDENCYPART_ARC
(12,18),-1.1855 # DEPENDENCYPART_ARC
(12,19),-2.22958 # DEPENDENCYPART_ARC
(12,20),-1.51459 # DEPENDENCYPART_ARC
(12,21),-1.7059 # DEPENDENCYPART_ARC
(12,22),-1.7494 # DEPENDENCYPART_ARC
(12,23),-2.31308 # DEPENDENCYPART_ARC
(12,24),-2.4913 # DEPENDENCYPART_ARC
(12,25),-1.57124 # DEPENDENCYPART_ARC
(13,1),-3.9521 # DEPENDENCYPART_ARC
(13,2),-3.63587 # DEPENDENCYPART_ARC
(13,3),-3.77497 # DEPENDENCYPART_ARC
(13,4),-3.13605 # DEPENDENCYPART_ARC
(13,5),-2.98664 # DEPENDENCYPART_ARC
(13,6),-2.92342 # DEPENDENCYPART_ARC
(13,7),-2.18906 # DEPENDENCYPART_ARC
(13,8),-2.66024 # DEPENDENCYPART_ARC
(13,9),-1.72062 # DEPENDENCYPART_ARC
(13,10),-1.56261 # DEPENDENCYPART_ARC
(13,11),-0.763828 # DEPENDENCYPART_ARC
(13,12),2.10559 # DEPENDENCYPART_ARC
(13,14),0.413264 # DEPENDENCYPART_ARC
(13,15),-0.408599 # DEPENDENCYPART_ARC
(13,16),-0.510497 # DEPENDENCYPART_ARC
(13,17),-1.49938 # DEPENDENCYPART_ARC
(13,18),-1.12381 # DEPENDENCYPART_ARC
(13,19),-1.43818 # DEPENDENCYPART_ARC
(13,20),-1.55388 # DEPENDENCYPART_ARC
(13,21),-2.75194 # DEPENDENCYPART_ARC
(13,22),-2.45215 # DEPENDENCYPART_ARC
(13,23),-2.19686 # DEPENDENCYPART_ARC
(13,24),-2.53522 # DEPENDENCYPART_ARC
(13,25),-0.846712 # DEPENDENCYPART_ARC
(14,1),-4.30611 # DEPENDENCYPART_ARC
(14,2),-3.74499 # DEPENDENCYPART_ARC
(14,3),-5.1623 # DEPENDENCYPART_ARC
(14,4),-2.35992 # DEPENDENCYPART_ARC
(14,5),-2.46127 # DEPENDENCYPART_ARC
(14,6),-1.13593 # DEPENDENCYPART_ARC
(14,7),-1.11368 # DEPENDENCYPART_ARC
(14,8),-3.12539 # DEPENDENCYPART_ARC
(14,9),-0.638937 # DEPENDENCYPART_ARC
(14,10),-1.14537 # DEPENDENCYPART_ARC
(14,11),0.00181771 # DEPENDENCYPART_ARC
(14,12),2.79977 # DEPENDENCYPART_ARC
(14,13),2.69421 # DEPENDENCYPART_ARC
(14,15),0.30363 # DEPENDENCYPART_ARC
(14,16),-0.533546 # DEPENDENCYPART_ARC
(14,17),-1.62993 # DEPENDENCYPART_ARC
(14,18),-1.35235 # DEPENDENCYPART_ARC
(14,19),-1.77488 # DEPENDENCYPART_ARC
(14,20),-1.26399 # DEPENDENCYPART_ARC
(14,21),-1.13699 # DEPENDENCYPART_ARC
(14,22),-3.04981 # DEPENDENCYPART_ARC
(14,23),-1.88044 # DEPENDENCYPART_ARC
(14,24),-1.81489 # DEPENDENCYPART_ARC
(14,25),-0.100581 # DEPENDENCYPART_ARC
(15,1),-2.21952 # DEPENDENCYPART_ARC
(15,2),-0.850234 # DEPENDENCYPART_ARC
(15,3),-3.03532 # DEPENDENCYPART_ARC
(15,4),-0.813722 # DEPENDENCYPART_ARC
(15,5),-0.698266 # DEPENDENCYPART_ARC
(15,6),0.830171 # DEPENDENCYPART_ARC
(15,7),1.00448 # DEPENDENCYPART_ARC
(15,8),-1.34838 # DEPENDENCYPART_ARC
(15,9),0.0924338 # DEPENDENCYPART_ARC
(15,10),0.473874 # DEPENDENCYPART_ARC
(15,11),0.974755 # DEPENDENCYPART_ARC
(15,12),4.53579 # DEPENDENCYPART_ARC
(15,13),4.18923 # DEPENDENCYPART_ARC
(15,14),4.15552 # DEPENDENCYPART_ARC
(15,16),1.32638 # DEPENDENCYPART_ARC
(15,17),-0.141828 # DEPENDENCYPART_ARC
(15,18),0.138473 # DEPENDENCYPART_ARC
(15,19),-0.76589 # DEPENDENCYPART_ARC
(15,20),-0.280814 # DEPENDENCYPART_ARC
(15,21),-0.0544067 # DEPENDENCYPART_ARC
(15,22),-1.89986 # DEPENDENCYPART_ARC
(15,23),-1.03105 # DEPENDENCYPART_ARC
(15,24),-0.4287 # DEPENDENCYPART_ARC
(15,25),0.98893 # DEPENDENCYPART_ARC
(16,1),-2.46636 # DEPENDENCYPART_ARC
(16,2),-2.19694 # DEPENDENCYPART_ARC
(16,3),-2.06558 # DEPENDENCYPART_ARC
(16,4),-2.35779 # DEPENDENCYPART_ARC
(16,5),-1.4399 # DEPENDENCYPART_ARC
(16,6),-1.73273 # DEPENDENCYPART_ARC
(16,7),-2.10487 # DEPENDENCYPART_ARC
(16,8),-1.8487 # DEPENDENCYPART_ARC
(16,9),-0.18839 # DEPENDENCYPART_ARC
(16,10),-1.54481 # DEPENDENCYPART_ARC
(16,11),-1.72145 # DEPENDENCYPART_ARC
(16,12),-1.04779 # DEPENDENCYPART_ARC
(16,13),-1.47103 # DEPENDENCYPART_ARC
(16,14),-1.64125 # DEPENDENCYPART_ARC
(16,15),-1.1056 # DEPENDENCYPART_ARC
(16,17),-0.943876 # DEPENDENCYPART_ARC
(16,18),-1.53308 # DEPENDENCYPART_ARC
(16,19),-1.85917 # DEPENDENCYPART_ARC
(16,20),-1.83626 # DEPENDENCYPART_ARC
(16,21),-2.37038 # DEPENDENCYPART_ARC
(16,22),-1.77628 # DEPENDENCYPART_ARC
(16,23),-2.49606 # DEPENDENCYPART_ARC
(16,24),-2.80938 # DEPENDENCYPART_ARC
(16,25),-2.03229 # DEPENDENCYPART_ARC
(17,1),-2.23199 # DEPENDENCYPART_ARC
(17,2),-2.88877 # DEPENDENCYPART_ARC
(17,3),-3.08997 # DEPENDENCYPART_ARC
(17,4),-1.70169 # DEPENDENCYPART_ARC
(17,5),-1.29207 # DEPENDENCYPART_ARC
(17,6),-1.7611 # DEPENDENCYPART_ARC
(17,7),-1.20493 # DEPENDENCYPART_ARC
(17,8),-2.3599 # DEPENDENCYPART_ARC
(17,9),-1.25737 # DEPENDENCYPART_ARC
(17,10),-1.1208 # DEPENDENCYPART_ARC
(17,11),-0.077139 # DEPENDENCYPART_ARC
(17,12),-0.356905 # DEPENDENCYPART_ARC
(17,13),-0.737736 # DEPENDENCYPART_ARC
(17,14),-0.620874 # DEPENDENCYPART_ARC
(17,15),-1.12722 # DEPENDENCYPART_ARC
(17,16),0.555794 # DEPENDENCYPART_ARC
(17,18),3.52407 # DEPENDENCYPART_ARC
(17,19),0.163224 # DEPENDENCYPART_ARC
(17,20),0.539613 # DEPENDENCYPART_ARC
(17,21),1.69968 # DEPENDENCYPART_ARC
(17,22),1.25426 # DEPENDENCYPART_ARC
(17,23),-0.303666 # DEPENDENCYPART_ARC
(17,24),0.586939 # DEPENDENCYPART_ARC
(17,25),1.41542 # DEPENDENCYPART_ARC
(18,1),-3.46899 # DEPENDENCYPART_ARC
(18,2),-3.37675 # DEPENDENCYPART_ARC
(18,3),-3.65052 # DEPENDENCYPART_ARC
(18,4),-2.65303 # DEPENDENCYPART_ARC
(18,5),-2.11247 # DEPENDENCYPART_ARC
(18,6),-3.01222 # DEPENDENCYPART_ARC
(18,7),-2.37332 # DEPENDENCYPART_ARC
(18,8),-2.952 # DEPENDENCYPART_ARC
(18,9),-1.96119 # DEPENDENCYPART_ARC
(18,10),-2.10182 # DEPENDENCYPART_ARC
(18,11),-1.55583 # DEPENDENCYPART_ARC
(18,12),-1.56936 # DEPENDENCYPART_ARC
(18,13),-1.28335 # DEPENDENCYPART_ARC
(18,14),-1.32389 # DEPENDENCYPART_ARC
(18,15),-1.38882 # DEPENDENCYPART_ARC
(18,16),-0.578334 # DEPENDENCYPART_ARC
(18,17),0.690484 # DEPENDENCYPART_ARC
(18,19),-0.850462 # DEPENDENCYPART_ARC
(18,20),-0.862436 # DEPENDENCYPART_ARC
(18,21),1.1126 # DEPENDENCYPART_ARC
(18,22),-0.96309 # DEPENDENCYPART_ARC
(18,23),-1.38264 # DEPENDENCYPART_ARC
(18,24),-1.14056 # DEPENDENCYPART_ARC
(18,25),-1.26985 # DEPENDENCYPART_ARC
(19,1),-3.32191 # DEPENDENCYPART_ARC
(19,2),-4.09526 # DEPENDENCYPART_ARC
(19,3),-4.02733 # DEPENDENCYPART_ARC
(19,4),-3.45325 # DEPENDENCYPART_ARC
(19,5),-3.27763 # DEPENDENCYPART_ARC
(19,6),-2.87354 # DEPENDENCYPART_ARC
(19,7),-3.10479 # DEPENDENCYPART_ARC
(19,8),-3.49286 # DEPENDENCYPART_ARC
(19,9),-2.74068 # DEPENDENCYPART_ARC
(19,10),-2.87725 # DEPENDENCYPART_ARC
(19,11),-2.3189 # DEPENDENCYPART_ARC
(19,12),-1.80952 # DEPENDENCYPART_ARC
(19,13),-2.38436 # DEPENDENCYPART_ARC
(19,14),-2.44602 # DEPENDENCYPART_ARC
(19,15),-2.25071 # DEPENDENCYPART_ARC
(19,16),-1.45185 # DEPENDENCYPART_ARC
(19,17),-1.17951 # DEPENDENCYPART_ARC
(19,18),-0.434638 # DEPENDENCYPART_ARC
(19,20),0.0828445 # DEPENDENCYPART_ARC
(19,21),-0.610662 # DEPENDENCYPART_ARC
(19,22),-0.525489 # DEPENDENCYPART_ARC
(19,23),-1.40617 # DEPENDENCYPART_ARC
(19,24),-1.61901 # DEPENDENCYPART_ARC
(19,25),-1.29992 # DEPENDENCYPART_ARC
(20,1),-1.37654 # DEPENDENCYPART_ARC
(20,2),-1.60828 # DEPENDENCYPART_ARC
(20,3),-2.04702 # DEPENDENCYPART_ARC
(20,4),-2.01119 # DEPENDENCYPART_ARC
(20,5),-1.44612 # DEPENDENCYPART_ARC
(20,6),-1.48981 # DEPENDENCYPART_ARC
(20,7),-1.83054 # DEPENDENCYPART_ARC
(20,8),-1.45193 # DEPENDENCYPART_ARC
(20,9),-1.34161 # DEPENDENCYPART_ARC
(20,10),-0.386825 # DEPENDENCYPART_ARC
(20,11),-0.89374 # DEPENDENCYPART_ARC
(20,12),-0.0350922 # DEPENDENCYPART_ARC
(20,13),-0.407154 # DEPENDENCYPART_ARC
(20,14),-0.302566 # DEPENDENCYPART_ARC
(20,15),-0.480469 # DEPENDENCYPART_ARC
(20,16),-0.34355 # DEPENDENCYPART_ARC
(20,17),0.23815 # DEPENDENCYPART_ARC
(20,18),0.0323937 # DEPENDENCYPART_ARC
(20,19),2.06601 # DEPENDENCYPART_ARC
(20,21),0.295039 # DEPENDENCYPART_ARC
(20,22),0.264548 # DEPENDENCYPART_ARC
(20,23),-0.313853 # DEPENDENCYPART_ARC
(20,24),-0.999964 # DEPENDENCYPART_ARC
(20,25),-0.946579 # DEPENDENCYPART_ARC
(21,1),-5.79643 # DEPENDENCYPART_ARC
(21,2),-4.18622 # DEPENDENCYPART_ARC
(21,3),-6.12539 # DEPENDENCYPART_ARC
(21,4),-1.8211 # DEPENDENCYPART_ARC
(21,5),-2.57067 # DEPENDENCYPART_ARC
