# _root_ `` Most of the action was during the night session , '' said Michael Moore , trading manager at Continental Bank .
#goldHeads=6,6,2,5,3,13,6,10,10,7,6,6,0,15,13,15,18,15,18,21,19,13,
#predictedHeads=13,6,2,5,3,13,6,10,10,7,13,13,0,15,13,15,18,15,18,21,19,13,
(3,2),0.147911 # DEPENDENCYPART_ARC
(3,4),0.93439 # DEPENDENCYPART_ARC
(3,5),4.44472 # DEPENDENCYPART_ARC
(3,6),1.30185 # DEPENDENCYPART_ARC
(3,7),0.27836 # DEPENDENCYPART_ARC
(3,8),-1.02312 # DEPENDENCYPART_ARC
(3,9),-2.18065 # DEPENDENCYPART_ARC
(3,10),0.140696 # DEPENDENCYPART_ARC
(3,11),-0.0586008 # DEPENDENCYPART_ARC
(3,12),-0.299322 # DEPENDENCYPART_ARC
(3,13),-1.44233 # DEPENDENCYPART_ARC
(3,14),-5.0565 # DEPENDENCYPART_ARC
(3,15),-3.62612 # DEPENDENCYPART_ARC
(3,16),-0.122787 # DEPENDENCYPART_ARC
(3,17),-5.58256 # DEPENDENCYPART_ARC
(3,18),-5.137 # DEPENDENCYPART_ARC
(3,19),-1.97113 # DEPENDENCYPART_ARC
(3,20),-7.88429 # DEPENDENCYPART_ARC
(3,21),-7.09487 # DEPENDENCYPART_ARC
(3,22),-0.0463459 # DEPENDENCYPART_ARC
(4,1),-1.74462 # DEPENDENCYPART_ARC
(4,2),-0.798663 # DEPENDENCYPART_ARC
(4,3),-0.254456 # DEPENDENCYPART_ARC
(4,5),0.1132 # DEPENDENCYPART_ARC
(4,6),-0.647266 # DEPENDENCYPART_ARC
(4,7),-1.54027 # DEPENDENCYPART_ARC
(4,8),-2.58322 # DEPENDENCYPART_ARC
(4,9),-1.50872 # DEPENDENCYPART_ARC
(4,10),-1.84612 # DEPENDENCYPART_ARC
(4,11),-1.90684 # DEPENDENCYPART_ARC
(4,12),-1.90877 # DEPENDENCYPART_ARC
(4,13),-2.68905 # DEPENDENCYPART_ARC
(4,14),-2.97225 # DEPENDENCYPART_ARC
(4,15),-3.17277 # DEPENDENCYPART_ARC
(4,16),-2.39695 # DEPENDENCYPART_ARC
(4,17),-2.7279 # DEPENDENCYPART_ARC
(4,18),-2.87947 # DEPENDENCYPART_ARC
(4,19),-3.8459 # DEPENDENCYPART_ARC
(4,20),-3.66608 # DEPENDENCYPART_ARC
(4,21),-3.71355 # DEPENDENCYPART_ARC
(4,22),-3.2724 # DEPENDENCYPART_ARC
(5,1),-0.876085 # DEPENDENCYPART_ARC
(5,2),-0.122737 # DEPENDENCYPART_ARC
(5,3),0.334538 # DEPENDENCYPART_ARC
(5,4),4.34537 # DEPENDENCYPART_ARC
(5,6),0.520022 # DEPENDENCYPART_ARC
(5,7),0.252329 # DEPENDENCYPART_ARC
(5,8),-0.78892 # DEPENDENCYPART_ARC
(5,9),-0.785544 # DEPENDENCYPART_ARC
(5,10),-1.00012 # DEPENDENCYPART_ARC
(5,11),-1.175 # DEPENDENCYPART_ARC
(5,12),0.164605 # DEPENDENCYPART_ARC
(5,13),-1.30248 # DEPENDENCYPART_ARC
(5,14),-2.05798 # DEPENDENCYPART_ARC
(5,15),-1.69717 # DEPENDENCYPART_ARC
(5,16),-2.06675 # DEPENDENCYPART_ARC
(5,17),-2.39661 # DEPENDENCYPART_ARC
(5,18),-2.67717 # DEPENDENCYPART_ARC
(5,19),-1.87528 # DEPENDENCYPART_ARC
(5,20),-2.5835 # DEPENDENCYPART_ARC
(5,21),-2.75057 # DEPENDENCYPART_ARC
(5,22),-0.542773 # DEPENDENCYPART_ARC
(6,1),2.42687 # DEPENDENCYPART_ARC
(6,2),2.31919 # DEPENDENCYPART_ARC
(6,3),0.316303 # DEPENDENCYPART_ARC
(6,4),0.665266 # DEPENDENCYPART_ARC
(6,5),3.20234 # DEPENDENCYPART_ARC
(6,7),3.09174 # DEPENDENCYPART_ARC
(6,8),-0.747171 # DEPENDENCYPART_ARC
(6,9),1.07415 # DEPENDENCYPART_ARC
(6,10),0.857968 # DEPENDENCYPART_ARC
(6,11),1.30237 # DEPENDENCYPART_ARC
(6,12),0.834075 # DEPENDENCYPART_ARC
(6,13),-0.504073 # DEPENDENCYPART_ARC
(6,14),-1.91814 # DEPENDENCYPART_ARC
(6,15),-1.7423 # DEPENDENCYPART_ARC
(6,16),-0.109723 # DEPENDENCYPART_ARC
(6,17),-2.13594 # DEPENDENCYPART_ARC
(6,18),-2.06248 # DEPENDENCYPART_ARC
(6,19),-0.993783 # DEPENDENCYPART_ARC
(6,20),-3.56609 # DEPENDENCYPART_ARC
(6,21),-3.15832 # DEPENDENCYPART_ARC
(6,22),2.23525 # DEPENDENCYPART_ARC
(7,1),-0.64767 # DEPENDENCYPART_ARC
(7,2),-1.31976 # DEPENDENCYPART_ARC
(7,3),-0.70918 # DEPENDENCYPART_ARC
(7,4),-0.116916 # DEPENDENCYPART_ARC
(7,5),-0.447016 # DEPENDENCYPART_ARC
(7,6),-0.156959 # DEPENDENCYPART_ARC
(7,8),0.246401 # DEPENDENCYPART_ARC
(7,9),1.87649 # DEPENDENCYPART_ARC
(7,10),3.2613 # DEPENDENCYPART_ARC
(7,11),0.0323273 # DEPENDENCYPART_ARC
(7,12),0.290463 # DEPENDENCYPART_ARC
(7,13),-0.365331 # DEPENDENCYPART_ARC
(7,14),-2.58009 # DEPENDENCYPART_ARC
(7,15),-1.37576 # DEPENDENCYPART_ARC
(7,16),-0.0652781 # DEPENDENCYPART_ARC
(7,17),-2.45121 # DEPENDENCYPART_ARC
(7,18),-2.02005 # DEPENDENCYPART_ARC
(7,19),-1.74646 # DEPENDENCYPART_ARC
(7,20),-5.18751 # DEPENDENCYPART_ARC
(7,21),-4.04769 # DEPENDENCYPART_ARC
(7,22),-0.857385 # DEPENDENCYPART_ARC
(8,1),-2.92003 # DEPENDENCYPART_ARC
(8,2),-2.07554 # DEPENDENCYPART_ARC
(8,3),-1.98424 # DEPENDENCYPART_ARC
(8,4),-1.38682 # DEPENDENCYPART_ARC
(8,5),-2.02399 # DEPENDENCYPART_ARC
(8,6),-1.81512 # DEPENDENCYPART_ARC
(8,7),-0.23506 # DEPENDENCYPART_ARC
(8,9),0.368602 # DEPENDENCYPART_ARC
(8,10),-0.52381 # DEPENDENCYPART_ARC
(8,11),-1.32166 # DEPENDENCYPART_ARC
(8,12),-1.4612 # DEPENDENCYPART_ARC
(8,13),-1.46026 # DEPENDENCYPART_ARC
(8,14),-2.23585 # DEPENDENCYPART_ARC
(8,15),-2.23832 # DEPENDENCYPART_ARC
(8,16),-1.56438 # DEPENDENCYPART_ARC
(8,17),-1.90901 # DEPENDENCYPART_ARC
(8,18),-2.0387 # DEPENDENCYPART_ARC
(8,19),-2.99811 # DEPENDENCYPART_ARC
(8,20),-2.99158 # DEPENDENCYPART_ARC
(8,21),-2.9943 # DEPENDENCYPART_ARC
(8,22),-2.75749 # DEPENDENCYPART_ARC
(9,1),-4.04457 # DEPENDENCYPART_ARC
(9,2),-3.54076 # DEPENDENCYPART_ARC
(9,3),-2.13531 # DEPENDENCYPART_ARC
(9,4),-2.89835 # DEPENDENCYPART_ARC
(9,5),-3.97276 # DEPENDENCYPART_ARC
(9,6),-2.14522 # DEPENDENCYPART_ARC
(9,7),-0.873007 # DEPENDENCYPART_ARC
(9,8),1.98065 # DEPENDENCYPART_ARC
(9,10),0.286566 # DEPENDENCYPART_ARC
(9,11),-0.588341 # DEPENDENCYPART_ARC
(9,12),-0.159134 # DEPENDENCYPART_ARC
(9,13),-0.868306 # DEPENDENCYPART_ARC
(9,14),-1.60574 # DEPENDENCYPART_ARC
(9,15),-1.43817 # DEPENDENCYPART_ARC
(9,16),-1.81891 # DEPENDENCYPART_ARC
(9,17),-1.92616 # DEPENDENCYPART_ARC
(9,18),-2.04585 # DEPENDENCYPART_ARC
(9,19),-2.23486 # DEPENDENCYPART_ARC
(9,20),-2.31415 # DEPENDENCYPART_ARC
(9,21),-2.48694 # DEPENDENCYPART_ARC
(9,22),-1.47037 # DEPENDENCYPART_ARC
(10,1),-0.590694 # DEPENDENCYPART_ARC
(10,2),-0.374624 # DEPENDENCYPART_ARC
(10,3),0.256362 # DEPENDENCYPART_ARC
(10,4),0.619378 # DEPENDENCYPART_ARC
(10,5),-0.176845 # DEPENDENCYPART_ARC
(10,6),0.275373 # DEPENDENCYPART_ARC
(10,7),1.32567 # DEPENDENCYPART_ARC
(10,8),4.93569 # DEPENDENCYPART_ARC
(10,9),4.77797 # DEPENDENCYPART_ARC
(10,11),1.63702 # DEPENDENCYPART_ARC
(10,12),1.81668 # DEPENDENCYPART_ARC
(10,13),0.769309 # DEPENDENCYPART_ARC
(10,14),0.41449 # DEPENDENCYPART_ARC
(10,15),0.956804 # DEPENDENCYPART_ARC
(10,16),0.916499 # DEPENDENCYPART_ARC
(10,17),0.191347 # DEPENDENCYPART_ARC
(10,18),-0.324056 # DEPENDENCYPART_ARC
(10,19),-0.375433 # DEPENDENCYPART_ARC
(10,20),-0.172128 # DEPENDENCYPART_ARC
(10,21),-0.531974 # DEPENDENCYPART_ARC
(10,22),0.323308 # DEPENDENCYPART_ARC
(11,1),-1.72165 # DEPENDENCYPART_ARC
(11,2),-1.76726 # DEPENDENCYPART_ARC
(11,3),-1.69514 # DEPENDENCYPART_ARC
(11,4),-1.27323 # DEPENDENCYPART_ARC
(11,5),-1.53207 # DEPENDENCYPART_ARC
(11,6),-1.66094 # DEPENDENCYPART_ARC
(11,7),-1.30818 # DEPENDENCYPART_ARC
(11,8),-0.556262 # DEPENDENCYPART_ARC
(11,9),-1.51357 # DEPENDENCYPART_ARC
(11,10),-0.966031 # DEPENDENCYPART_ARC
(11,12),0.311967 # DEPENDENCYPART_ARC
(11,13),-0.172853 # DEPENDENCYPART_ARC
(11,14),-0.734666 # DEPENDENCYPART_ARC
(11,15),-1.03071 # DEPENDENCYPART_ARC
(11,16),0.339657 # DEPENDENCYPART_ARC
(11,17),-1.79788 # DEPENDENCYPART_ARC
(11,18),-1.96873 # DEPENDENCYPART_ARC
(11,19),-1.30308 # DEPENDENCYPART_ARC
(11,20),-1.95428 # DEPENDENCYPART_ARC
(11,21),-2.0854 # DEPENDENCYPART_ARC
(11,22),-1.30038 # DEPENDENCYPART_ARC
(12,1),0.151789 # DEPENDENCYPART_ARC
(12,2),-1.43126 # DEPENDENCYPART_ARC
(12,3),-1.53671 # DEPENDENCYPART_ARC
(12,4),-0.649132 # DEPENDENCYPART_ARC
(12,5),-1.79571 # DEPENDENCYPART_ARC
(12,6),-1.25131 # DEPENDENCYPART_ARC
(12,7),-1.11017 # DEPENDENCYPART_ARC
(12,8),0.105835 # DEPENDENCYPART_ARC
(12,9),-0.886103 # DEPENDENCYPART_ARC
(12,10),-1.048 # DEPENDENCYPART_ARC
(12,11),0.657708 # DEPENDENCYPART_ARC
(12,13),0.108293 # DEPENDENCYPART_ARC
(12,14),-0.931661 # DEPENDENCYPART_ARC
(12,15),-1.29694 # DEPENDENCYPART_ARC
(12,16),-1.06658 # DEPENDENCYPART_ARC
(12,17),-1.58556 # DEPENDENCYPART_ARC
(12,18),-1.87077 # DEPENDENCYPART_ARC
(12,19),-1.65954 # DEPENDENCYPART_ARC
(12,20),-2.41394 # DEPENDENCYPART_ARC
(12,21),-2.50983 # DEPENDENCYPART_ARC
(12,22),-1.58243 # DEPENDENCYPART_ARC
(13,1),3.93073 # DEPENDENCYPART_ARC
(13,2),-0.502948 # DEPENDENCYPART_ARC
(13,3),-1.73195 # DEPENDENCYPART_ARC
(13,4),-1.21846 # DEPENDENCYPART_ARC
(13,5),-0.541864 # DEPENDENCYPART_ARC
(13,6),1.64612 # DEPENDENCYPART_ARC
(13,7),-0.20973 # DEPENDENCYPART_ARC
(13,8),-0.444475 # DEPENDENCYPART_ARC
(13,9),0.353403 # DEPENDENCYPART_ARC
(13,10),-0.215465 # DEPENDENCYPART_ARC
(13,11),3.56782 # DEPENDENCYPART_ARC
(13,12),3.93252 # DEPENDENCYPART_ARC
(13,14),1.22563 # DEPENDENCYPART_ARC
(13,15),2.10154 # DEPENDENCYPART_ARC
(13,16),1.41158 # DEPENDENCYPART_ARC
(13,17),0.0733647 # DEPENDENCYPART_ARC
(13,18),0.389011 # DEPENDENCYPART_ARC
(13,19),0.0814002 # DEPENDENCYPART_ARC
(13,20),-1.18206 # DEPENDENCYPART_ARC
(13,21),-0.423027 # DEPENDENCYPART_ARC
(13,22),7.24265 # DEPENDENCYPART_ARC
(14,1),-2.50698 # DEPENDENCYPART_ARC
(14,2),-3.77805 # DEPENDENCYPART_ARC
(14,3),-2.9712 # DEPENDENCYPART_ARC
(14,4),-2.73838 # DEPENDENCYPART_ARC
(14,5),-4.0306 # DEPENDENCYPART_ARC
(14,6),-3.18418 # DEPENDENCYPART_ARC
(14,7),-2.43324 # DEPENDENCYPART_ARC
(14,8),-1.11677 # DEPENDENCYPART_ARC
(14,9),-1.09613 # DEPENDENCYPART_ARC
(14,10),-2.42185 # DEPENDENCYPART_ARC
(14,11),-1.58189 # DEPENDENCYPART_ARC
(14,12),-0.818154 # DEPENDENCYPART_ARC
(14,13),-0.481301 # DEPENDENCYPART_ARC
(14,15),1.67518 # DEPENDENCYPART_ARC
(14,16),0.835422 # DEPENDENCYPART_ARC
(14,17),0.536527 # DEPENDENCYPART_ARC
(14,18),0.517252 # DEPENDENCYPART_ARC
(14,19),-0.645259 # DEPENDENCYPART_ARC
(14,20),-1.31503 # DEPENDENCYPART_ARC
(14,21),-0.91194 # DEPENDENCYPART_ARC
(14,22),0.399585 # DEPENDENCYPART_ARC
(15,1),0.0478932 # DEPENDENCYPART_ARC
(15,2),-1.39033 # DEPENDENCYPART_ARC
(15,3),-0.565558 # DEPENDENCYPART_ARC
(15,4),-0.511231 # DEPENDENCYPART_ARC
(15,5),-1.82966 # DEPENDENCYPART_ARC
(15,6),-0.802029 # DEPENDENCYPART_ARC
(15,7),-0.143612 # DEPENDENCYPART_ARC
(15,8),1.70767 # DEPENDENCYPART_ARC
(15,9),0.900001 # DEPENDENCYPART_ARC
(15,10),-0.57109 # DEPENDENCYPART_ARC
(15,11),0.450716 # DEPENDENCYPART_ARC
(15,12),1.08368 # DEPENDENCYPART_ARC
(15,13),1.24261 # DEPENDENCYPART_ARC
(15,14),5.92759 # DEPENDENCYPART_ARC
(15,16),3.11785 # DEPENDENCYPART_ARC
(15,17),1.75803 # DEPENDENCYPART_ARC
(15,18),2.25868 # DEPENDENCYPART_ARC
(15,19),0.369264 # DEPENDENCYPART_ARC
(15,20),-0.123327 # DEPENDENCYPART_ARC
(15,21),0.327649 # DEPENDENCYPART_ARC
(15,22),0.920193 # DEPENDENCYPART_ARC
(16,1),-2.81468 # DEPENDENCYPART_ARC
(16,2),-3.09827 # DEPENDENCYPART_ARC
(16,3),-2.7722 # DEPENDENCYPART_ARC
(16,4),-2.61212 # DEPENDENCYPART_ARC
(16,5),-2.63982 # DEPENDENCYPART_ARC
(16,6),-2.42526 # DEPENDENCYPART_ARC
(16,7),-2.37168 # DEPENDENCYPART_ARC
(16,8),-2.01406 # DEPENDENCYPART_ARC
(16,9),-2.26022 # DEPENDENCYPART_ARC
(16,10),-2.12925 # DEPENDENCYPART_ARC
(16,11),-1.03137 # DEPENDENCYPART_ARC
(16,12),-1.95375 # DEPENDENCYPART_ARC
(16,13),-1.69264 # DEPENDENCYPART_ARC
(16,14),-2.06644 # DEPENDENCYPART_ARC
(16,15),-1.51314 # DEPENDENCYPART_ARC
(16,17),-1.19664 # DEPENDENCYPART_ARC
(16,18),-1.85863 # DEPENDENCYPART_ARC
(16,19),-1.71237 # DEPENDENCYPART_ARC
(16,20),-2.06474 # DEPENDENCYPART_ARC
(16,21),-2.26968 # DEPENDENCYPART_ARC
(16,22),-2.01739 # DEPENDENCYPART_ARC
(17,1),-2.49149 # DEPENDENCYPART_ARC
(17,2),-3.2124 # DEPENDENCYPART_ARC
(17,3),-1.92776 # DEPENDENCYPART_ARC
(17,4),-3.75958 # DEPENDENCYPART_ARC
(17,5),-4.56894 # DEPENDENCYPART_ARC
(17,6),-2.58937 # DEPENDENCYPART_ARC
(17,7),-1.49027 # DEPENDENCYPART_ARC
(17,8),-0.0319037 # DEPENDENCYPART_ARC
(17,9),-1.15279 # DEPENDENCYPART_ARC
(17,10),-2.34031 # DEPENDENCYPART_ARC
(17,11),-0.710497 # DEPENDENCYPART_ARC
(17,12),-0.527077 # DEPENDENCYPART_ARC
(17,13),-1.20324 # DEPENDENCYPART_ARC
(17,14),1.6855 # DEPENDENCYPART_ARC
(17,15),0.944021 # DEPENDENCYPART_ARC
(17,16),0.764617 # DEPENDENCYPART_ARC
(17,18),1.18736 # DEPENDENCYPART_ARC
(17,19),0.503927 # DEPENDENCYPART_ARC
(17,20),-0.54385 # DEPENDENCYPART_ARC
(17,21),-0.791601 # DEPENDENCYPART_ARC
(17,22),-0.83302 # DEPENDENCYPART_ARC
(18,1),-0.588501 # DEPENDENCYPART_ARC
(18,2),-1.37134 # DEPENDENCYPART_ARC
(18,3),-0.778167 # DEPENDENCYPART_ARC
(18,4),-0.500201 # DEPENDENCYPART_ARC
(18,5),-2.54279 # DEPENDENCYPART_ARC
(18,6),-1.20226 # DEPENDENCYPART_ARC
(18,7),-0.530669 # DEPENDENCYPART_ARC
(18,8),3.1095 # DEPENDENCYPART_ARC
(18,9),1.41066 # DEPENDENCYPART_ARC
(18,10),-0.860579 # DEPENDENCYPART_ARC
(18,11),0.505124 # DEPENDENCYPART_ARC
(18,12),0.897496 # DEPENDENCYPART_ARC
(18,13),0.0772817 # DEPENDENCYPART_ARC
(18,14),2.92557 # DEPENDENCYPART_ARC
(18,15),1.85307 # DEPENDENCYPART_ARC
(18,16),1.35676 # DEPENDENCYPART_ARC
(18,17),4.6156 # DEPENDENCYPART_ARC
(18,19),2.60134 # DEPENDENCYPART_ARC
(18,20),0.669688 # DEPENDENCYPART_ARC
(18,21),0.70068 # DEPENDENCYPART_ARC
(18,22),0.987028 # DEPENDENCYPART_ARC
(19,1),-1.36103 # DEPENDENCYPART_ARC
(19,2),-2.78681 # DEPENDENCYPART_ARC
(19,3),-2.74451 # DEPENDENCYPART_ARC
(19,4),-2.34354 # DEPENDENCYPART_ARC
(19,5),-2.65565 # DEPENDENCYPART_ARC
(19,6),-2.2445 # DEPENDENCYPART_ARC
(19,7),-1.8462 # DEPENDENCYPART_ARC
(19,8),-1.86769 # DEPENDENCYPART_ARC
(19,9),-1.93676 # DEPENDENCYPART_ARC
(19,10),-2.57179 # DEPENDENCYPART_ARC
(19,11),-1.00753 # DEPENDENCYPART_ARC
(19,12),-1.48156 # DEPENDENCYPART_ARC
(19,13),-1.21754 # DEPENDENCYPART_ARC
(19,14),-1.17497 # DEPENDENCYPART_ARC
(19,15),-1.19309 # DEPENDENCYPART_ARC
(19,16),-0.0270695 # DEPENDENCYPART_ARC
(19,17),-0.389496 # DEPENDENCYPART_ARC
(19,18),-0.0947256 # DEPENDENCYPART_ARC
(19,20),2.82394 # DEPENDENCYPART_ARC
(19,21),3.14699 # DEPENDENCYPART_ARC
(19,22),0.0573596 # DEPENDENCYPART_ARC
(20,1),-3.80339 # DEPENDENCYPART_ARC
(20,2),-5.4394 # DEPENDENCYPART_ARC
(20,3),-4.48481 # DEPENDENCYPART_ARC
(20,4),-5.65582 # DEPENDENCYPART_ARC
(20,5),-6.5227 # DEPENDENCYPART_ARC
(20,6),-5.09777 # DEPENDENCYPART_ARC
(20,7),-4.57014 # DEPENDENCYPART_ARC
(20,8),-4.08469 # DEPENDENCYPART_ARC
(20,9),-4.37003 # DEPENDENCYPART_ARC
(20,10),-5.27075 # DEPENDENCYPART_ARC
(20,11),-4.68728 # DEPENDENCYPART_ARC
(20,12),-3.91605 # DEPENDENCYPART_ARC
(20,13),-3.89637 # DEPENDENCYPART_ARC
(20,14),-2.39482 # DEPENDENCYPART_ARC
(20,15),-2.60728 # DEPENDENCYPART_ARC
(20,16),-2.57353 # DEPENDENCYPART_ARC
(20,17),-1.23577 # DEPENDENCYPART_ARC
(20,18),-2.28042 # DEPENDENCYPART_ARC
(20,19),-1.27127 # DEPENDENCYPART_ARC
(20,21),1.55672 # DEPENDENCYPART_ARC
(20,22),-1.05264 # DEPENDENCYPART_ARC
(21,1),-1.84775 # DEPENDENCYPART_ARC
(21,2),-3.19789 # DEPENDENCYPART_ARC
(21,3),-2.07931 # DEPENDENCYPART_ARC
(21,4),-2.89582 # DEPENDENCYPART_ARC
(21,5),-4.51351 # DEPENDENCYPART_ARC
(21,6),-2.77903 # DEPENDENCYPART_ARC
(21,7),-2.23605 # DEPENDENCYPART_ARC
(21,8),-1.26839 # DEPENDENCYPART_ARC
(21,9),-1.88361 # DEPENDENCYPART_ARC
(21,10),-3.90156 # DEPENDENCYPART_ARC
(21,11),-1.84224 # DEPENDENCYPART_ARC
(21,12),-1.59027 # DEPENDENCYPART_ARC
(21,13),-1.70403 # DEPENDENCYPART_ARC
(21,14),0.709542 # DEPENDENCYPART_ARC
(21,15),-0.570095 # DEPENDENCYPART_ARC
(21,16),0.142015 # DEPENDENCYPART_ARC
(21,17),1.30347 # DEPENDENCYPART_ARC
(21,18),-0.269621 # DEPENDENCYPART_ARC
(21,19),0.559725 # DEPENDENCYPART_ARC
(21,20),4.83234 # DEPENDENCYPART_ARC
(21,22),0.666615 # DEPENDENCYPART_ARC
(22,1),-2.34296 # DEPENDENCYPART_ARC
(22,2),-2.65271 # DEPENDENCYPART_ARC
(22,3),-2.81 # DEPENDENCYPART_ARC
(22,4),-2.11258 # DEPENDENCYPART_ARC
(22,5),-2.09186 # DEPENDENCYPART_ARC
(22,6),-2.11001 # DEPENDENCYPART_ARC
(22,7),-2.24257 # DEPENDENCYPART_ARC
(22,8),-1.76454 # DEPENDENCYPART_ARC
(22,9),-1.92943 # DEPENDENCYPART_ARC
(22,10),-1.7389 # DEPENDENCYPART_ARC
(22,11),-0.900909 # DEPENDENCYPART_ARC
(22,12),-1.55178 # DEPENDENCYPART_ARC
(22,13),-1.38551 # DEPENDENCYPART_ARC
(22,14),-1.11044 # DEPENDENCYPART_ARC
(22,15),-1.302 # DEPENDENCYPART_ARC
(22,16),-0.360462 # DEPENDENCYPART_ARC
(22,17),-1.25412 # DEPENDENCYPART_ARC
(22,18),-1.23111 # DEPENDENCYPART_ARC
(22,19),-0.685784 # DEPENDENCYPART_ARC
(22,20),-1.236 # DEPENDENCYPART_ARC
(22,21),-1.15191 # DEPENDENCYPART_ARC
