# _root_ Sales climbed to an estimated $ 245 million in fiscal 1989 , ended Aug. 31 , from $ 99.9 million in fiscal 1985 .
#goldHeads=2,0,2,6,6,3,6,6,3,11,9,11,11,13,14,11,2,17,18,18,17,23,21,2,
#predictedHeads=2,0,2,6,6,3,6,6,6,11,9,2,6,13,14,2,2,17,18,18,18,23,21,2,
(9,11),3.49509 # DEPENDENCYPART_ARC
(9,12),0.319553 # DEPENDENCYPART_ARC
(9,13),-0.507812 # DEPENDENCYPART_ARC
(9,14),-0.206085 # DEPENDENCYPART_ARC
(9,15),0.181244 # DEPENDENCYPART_ARC
(9,16),-0.220642 # DEPENDENCYPART_ARC
(9,17),-0.606379 # DEPENDENCYPART_ARC
(9,18),-2.61883 # DEPENDENCYPART_ARC
(9,19),-0.853318 # DEPENDENCYPART_ARC
(9,20),-0.769369 # DEPENDENCYPART_ARC
(9,21),-1.67013 # DEPENDENCYPART_ARC
(9,22),-1.66039 # DEPENDENCYPART_ARC
(9,23),-0.0933952 # DEPENDENCYPART_ARC
(9,24),-0.437936 # DEPENDENCYPART_ARC
(10,1),-2.62486 # DEPENDENCYPART_ARC
(10,2),-3.07615 # DEPENDENCYPART_ARC
(10,3),-1.56148 # DEPENDENCYPART_ARC
(10,4),-1.40897 # DEPENDENCYPART_ARC
(10,5),-2.32145 # DEPENDENCYPART_ARC
(10,6),-0.891975 # DEPENDENCYPART_ARC
(10,7),-0.709503 # DEPENDENCYPART_ARC
(10,8),-0.788805 # DEPENDENCYPART_ARC
(10,9),-0.128236 # DEPENDENCYPART_ARC
(10,11),0.824499 # DEPENDENCYPART_ARC
(10,12),-0.134802 # DEPENDENCYPART_ARC
(10,13),-0.333398 # DEPENDENCYPART_ARC
(10,14),-0.621463 # DEPENDENCYPART_ARC
(10,15),-1.06126 # DEPENDENCYPART_ARC
(10,16),-0.328581 # DEPENDENCYPART_ARC
(10,17),-1.62423 # DEPENDENCYPART_ARC
(10,18),-1.92776 # DEPENDENCYPART_ARC
(10,19),-1.69626 # DEPENDENCYPART_ARC
(10,20),-1.34926 # DEPENDENCYPART_ARC
(10,21),-0.684713 # DEPENDENCYPART_ARC
(10,22),-1.59243 # DEPENDENCYPART_ARC
(10,23),-2.44239 # DEPENDENCYPART_ARC
(10,24),-0.271605 # DEPENDENCYPART_ARC
(11,1),-0.999802 # DEPENDENCYPART_ARC
(11,2),-0.79237 # DEPENDENCYPART_ARC
(11,3),-0.495401 # DEPENDENCYPART_ARC
(11,4),0.752948 # DEPENDENCYPART_ARC
(11,5),-0.137285 # DEPENDENCYPART_ARC
(11,6),-0.114194 # DEPENDENCYPART_ARC
(11,7),0.814602 # DEPENDENCYPART_ARC
(11,8),0.449208 # DEPENDENCYPART_ARC
(11,9),0.86257 # DEPENDENCYPART_ARC
(11,10),3.4238 # DEPENDENCYPART_ARC
(11,12),0.696166 # DEPENDENCYPART_ARC
(11,13),0.458775 # DEPENDENCYPART_ARC
(11,14),0.0962425 # DEPENDENCYPART_ARC
(11,15),0.0437371 # DEPENDENCYPART_ARC
(11,16),-0.198236 # DEPENDENCYPART_ARC
(11,17),-0.827709 # DEPENDENCYPART_ARC
(11,18),-0.871261 # DEPENDENCYPART_ARC
(11,19),-0.73245 # DEPENDENCYPART_ARC
(11,20),-0.699956 # DEPENDENCYPART_ARC
(11,21),-0.710439 # DEPENDENCYPART_ARC
(11,22),-1.17532 # DEPENDENCYPART_ARC
(11,23),-1.33628 # DEPENDENCYPART_ARC
(11,24),-0.19849 # DEPENDENCYPART_ARC
(12,1),-2.2115 # DEPENDENCYPART_ARC
(12,2),-1.67592 # DEPENDENCYPART_ARC
(12,3),-1.68117 # DEPENDENCYPART_ARC
(12,4),-1.38522 # DEPENDENCYPART_ARC
(12,5),-1.1642 # DEPENDENCYPART_ARC
(12,6),-1.37603 # DEPENDENCYPART_ARC
(12,7),-1.55983 # DEPENDENCYPART_ARC
(12,8),-1.32832 # DEPENDENCYPART_ARC
(12,9),-0.984398 # DEPENDENCYPART_ARC
(12,10),-1.14385 # DEPENDENCYPART_ARC
(12,11),-0.41246 # DEPENDENCYPART_ARC
(12,13),-0.187275 # DEPENDENCYPART_ARC
(12,14),-0.725707 # DEPENDENCYPART_ARC
(12,15),-1.39196 # DEPENDENCYPART_ARC
(12,16),0.28167 # DEPENDENCYPART_ARC
(12,17),-1.40471 # DEPENDENCYPART_ARC
(12,18),-2.18727 # DEPENDENCYPART_ARC
(12,19),-2.32636 # DEPENDENCYPART_ARC
(12,20),-2.48302 # DEPENDENCYPART_ARC
(12,21),-1.7509 # DEPENDENCYPART_ARC
(12,22),-2.34901 # DEPENDENCYPART_ARC
(12,23),-2.72446 # DEPENDENCYPART_ARC
(12,24),-1.582 # DEPENDENCYPART_ARC
(13,1),-1.51338 # DEPENDENCYPART_ARC
(13,2),-1.52753 # DEPENDENCYPART_ARC
(13,3),-0.999982 # DEPENDENCYPART_ARC
(13,4),-0.766403 # DEPENDENCYPART_ARC
(13,5),-1.24705 # DEPENDENCYPART_ARC
(13,6),-1.57378 # DEPENDENCYPART_ARC
(13,7),-0.999583 # DEPENDENCYPART_ARC
(13,8),-0.91115 # DEPENDENCYPART_ARC
(13,9),-0.113809 # DEPENDENCYPART_ARC
(13,10),0.106768 # DEPENDENCYPART_ARC
(13,11),-0.396679 # DEPENDENCYPART_ARC
(13,12),0.490557 # DEPENDENCYPART_ARC
(13,14),3.3751 # DEPENDENCYPART_ARC
(13,15),1.1821 # DEPENDENCYPART_ARC
(13,16),1.69628 # DEPENDENCYPART_ARC
(13,17),0.220636 # DEPENDENCYPART_ARC
(13,18),0.363916 # DEPENDENCYPART_ARC
(13,19),-0.26597 # DEPENDENCYPART_ARC
(13,20),-0.362295 # DEPENDENCYPART_ARC
(13,21),-0.216547 # DEPENDENCYPART_ARC
(13,22),-0.133687 # DEPENDENCYPART_ARC
(13,23),-0.529596 # DEPENDENCYPART_ARC
(13,24),2.88824 # DEPENDENCYPART_ARC
(14,1),-3.80782 # DEPENDENCYPART_ARC
(14,2),-3.39475 # DEPENDENCYPART_ARC
(14,3),-3.27319 # DEPENDENCYPART_ARC
(14,4),-0.551662 # DEPENDENCYPART_ARC
(14,5),-2.19042 # DEPENDENCYPART_ARC
(14,6),-1.6243 # DEPENDENCYPART_ARC
(14,7),-1.46204 # DEPENDENCYPART_ARC
(14,8),-2.08621 # DEPENDENCYPART_ARC
(14,9),-1.08633 # DEPENDENCYPART_ARC
(14,10),-0.207029 # DEPENDENCYPART_ARC
(14,11),-0.11191 # DEPENDENCYPART_ARC
(14,12),-0.102662 # DEPENDENCYPART_ARC
(14,13),0.376982 # DEPENDENCYPART_ARC
(14,15),3.64773 # DEPENDENCYPART_ARC
(14,16),1.24872 # DEPENDENCYPART_ARC
(14,17),-0.398227 # DEPENDENCYPART_ARC
(14,18),-0.603787 # DEPENDENCYPART_ARC
(14,19),0.610104 # DEPENDENCYPART_ARC
(14,20),-0.302676 # DEPENDENCYPART_ARC
(14,21),-0.0447364 # DEPENDENCYPART_ARC
(14,22),-0.14605 # DEPENDENCYPART_ARC
(14,23),-0.161979 # DEPENDENCYPART_ARC
(14,24),1.05134 # DEPENDENCYPART_ARC
(15,1),-2.30079 # DEPENDENCYPART_ARC
(15,2),-2.01243 # DEPENDENCYPART_ARC
(15,3),-1.57903 # DEPENDENCYPART_ARC
(15,4),-0.945177 # DEPENDENCYPART_ARC
(15,5),-1.35146 # DEPENDENCYPART_ARC
(15,6),-1.69351 # DEPENDENCYPART_ARC
(15,7),-0.826735 # DEPENDENCYPART_ARC
(15,8),-1.38415 # DEPENDENCYPART_ARC
(15,9),-1.24016 # DEPENDENCYPART_ARC
(15,10),0.365143 # DEPENDENCYPART_ARC
(15,11),0.103459 # DEPENDENCYPART_ARC
(15,12),0.164768 # DEPENDENCYPART_ARC
(15,13),0.464991 # DEPENDENCYPART_ARC
(15,14),1.53449 # DEPENDENCYPART_ARC
(15,16),0.276786 # DEPENDENCYPART_ARC
(15,17),-0.734442 # DEPENDENCYPART_ARC
(15,18),-0.403484 # DEPENDENCYPART_ARC
(15,19),-0.669291 # DEPENDENCYPART_ARC
(15,20),-0.741475 # DEPENDENCYPART_ARC
(15,21),-0.670514 # DEPENDENCYPART_ARC
(15,22),-0.991131 # DEPENDENCYPART_ARC
(15,23),-1.42952 # DEPENDENCYPART_ARC
(15,24),-0.409603 # DEPENDENCYPART_ARC
(16,1),-2.84142 # DEPENDENCYPART_ARC
(16,2),-2.20581 # DEPENDENCYPART_ARC
(16,3),-2.07844 # DEPENDENCYPART_ARC
(16,4),-2.12152 # DEPENDENCYPART_ARC
(16,5),-1.57129 # DEPENDENCYPART_ARC
(16,6),-1.98757 # DEPENDENCYPART_ARC
(16,7),-2.11825 # DEPENDENCYPART_ARC
(16,8),-2.02887 # DEPENDENCYPART_ARC
(16,9),-1.70084 # DEPENDENCYPART_ARC
(16,10),-1.69628 # DEPENDENCYPART_ARC
(16,11),-1.74478 # DEPENDENCYPART_ARC
(16,12),-0.201662 # DEPENDENCYPART_ARC
(16,13),-0.849745 # DEPENDENCYPART_ARC
(16,14),-1.53369 # DEPENDENCYPART_ARC
(16,15),-0.57044 # DEPENDENCYPART_ARC
(16,17),-0.38671 # DEPENDENCYPART_ARC
(16,18),-0.910223 # DEPENDENCYPART_ARC
(16,19),-1.24089 # DEPENDENCYPART_ARC
(16,20),-1.5243 # DEPENDENCYPART_ARC
(16,21),-1.34051 # DEPENDENCYPART_ARC
(16,22),-1.77114 # DEPENDENCYPART_ARC
(16,23),-2.17529 # DEPENDENCYPART_ARC
(16,24),-1.24387 # DEPENDENCYPART_ARC
(17,1),-2.88435 # DEPENDENCYPART_ARC
(17,2),-2.61726 # DEPENDENCYPART_ARC
(17,3),-2.24459 # DEPENDENCYPART_ARC
(17,4),-2.63542 # DEPENDENCYPART_ARC
(17,5),-2.26963 # DEPENDENCYPART_ARC
(17,6),-2.82845 # DEPENDENCYPART_ARC
(17,7),-1.76745 # DEPENDENCYPART_ARC
(17,8),-1.87701 # DEPENDENCYPART_ARC
(17,9),-1.80705 # DEPENDENCYPART_ARC
(17,10),-1.44544 # DEPENDENCYPART_ARC
(17,11),-1.41736 # DEPENDENCYPART_ARC
(17,12),-1.44471 # DEPENDENCYPART_ARC
(17,13),-1.3234 # DEPENDENCYPART_ARC
(17,14),-1.11107 # DEPENDENCYPART_ARC
(17,15),-0.8012 # DEPENDENCYPART_ARC
(17,16),-0.0727979 # DEPENDENCYPART_ARC
(17,18),3.39278 # DEPENDENCYPART_ARC
(17,19),1.3546 # DEPENDENCYPART_ARC
(17,20),1.26669 # DEPENDENCYPART_ARC
(17,21),2.9337 # DEPENDENCYPART_ARC
(17,22),0.116113 # DEPENDENCYPART_ARC
(17,23),0.448947 # DEPENDENCYPART_ARC
(17,24),0.505403 # DEPENDENCYPART_ARC
(18,1),-3.40506 # DEPENDENCYPART_ARC
(18,2),-2.94266 # DEPENDENCYPART_ARC
(18,3),-2.2894 # DEPENDENCYPART_ARC
(18,4),-0.766309 # DEPENDENCYPART_ARC
(18,5),-1.62671 # DEPENDENCYPART_ARC
(18,6),-2.17826 # DEPENDENCYPART_ARC
(18,7),-2.39966 # DEPENDENCYPART_ARC
(18,8),-2.17506 # DEPENDENCYPART_ARC
(18,9),-2.58234 # DEPENDENCYPART_ARC
(18,10),-1.65403 # DEPENDENCYPART_ARC
(18,11),-1.82341 # DEPENDENCYPART_ARC
(18,12),-1.83294 # DEPENDENCYPART_ARC
(18,13),-1.16142 # DEPENDENCYPART_ARC
(18,14),-1.34622 # DEPENDENCYPART_ARC
(18,15),-0.603248 # DEPENDENCYPART_ARC
(18,16),-0.336558 # DEPENDENCYPART_ARC
(18,17),0.804983 # DEPENDENCYPART_ARC
(18,19),4.56987 # DEPENDENCYPART_ARC
(18,20),4.25379 # DEPENDENCYPART_ARC
(18,21),3.0021 # DEPENDENCYPART_ARC
(18,22),1.00567 # DEPENDENCYPART_ARC
(18,23),-0.131386 # DEPENDENCYPART_ARC
(18,24),0.583768 # DEPENDENCYPART_ARC
(19,1),-4.26784 # DEPENDENCYPART_ARC
(19,2),-4.02933 # DEPENDENCYPART_ARC
(19,3),-3.54785 # DEPENDENCYPART_ARC
(19,4),-3.30273 # DEPENDENCYPART_ARC
(19,5),-3.43615 # DEPENDENCYPART_ARC
(19,6),-3.92958 # DEPENDENCYPART_ARC
(19,7),-2.64166 # DEPENDENCYPART_ARC
(19,8),-3.15972 # DEPENDENCYPART_ARC
(19,9),-3.34895 # DEPENDENCYPART_ARC
(19,10),-2.27287 # DEPENDENCYPART_ARC
(19,11),-2.3457 # DEPENDENCYPART_ARC
(19,12),-2.54712 # DEPENDENCYPART_ARC
(19,13),-2.49745 # DEPENDENCYPART_ARC
(19,14),-2.22268 # DEPENDENCYPART_ARC
(19,15),-1.44169 # DEPENDENCYPART_ARC
(19,16),-1.5015 # DEPENDENCYPART_ARC
(19,17),-1.0219 # DEPENDENCYPART_ARC
(19,18),-0.717933 # DEPENDENCYPART_ARC
(19,20),1.46187 # DEPENDENCYPART_ARC
(19,21),-0.687799 # DEPENDENCYPART_ARC
(19,22),-0.700692 # DEPENDENCYPART_ARC
(19,23),-0.8781 # DEPENDENCYPART_ARC
(19,24),-1.16353 # DEPENDENCYPART_ARC
(20,1),-2.84447 # DEPENDENCYPART_ARC
(20,2),-2.53323 # DEPENDENCYPART_ARC
(20,3),-1.38935 # DEPENDENCYPART_ARC
(20,4),-1.71368 # DEPENDENCYPART_ARC
(20,5),-2.00451 # DEPENDENCYPART_ARC
(20,6),-2.20673 # DEPENDENCYPART_ARC
(20,7),-1.58989 # DEPENDENCYPART_ARC
(20,8),-2.45241 # DEPENDENCYPART_ARC
(20,9),-1.93509 # DEPENDENCYPART_ARC
(20,10),-0.510783 # DEPENDENCYPART_ARC
(20,11),-1.20593 # DEPENDENCYPART_ARC
(20,12),-1.0872 # DEPENDENCYPART_ARC
(20,13),-0.969852 # DEPENDENCYPART_ARC
(20,14),-0.991005 # DEPENDENCYPART_ARC
(20,15),-0.14248 # DEPENDENCYPART_ARC
(20,16),-0.231178 # DEPENDENCYPART_ARC
(20,17),0.217398 # DEPENDENCYPART_ARC
(20,18),0.378113 # DEPENDENCYPART_ARC
(20,19),1.71236 # DEPENDENCYPART_ARC
(20,21),0.159265 # DEPENDENCYPART_ARC
(20,22),-0.199145 # DEPENDENCYPART_ARC
(20,23),-0.797688 # DEPENDENCYPART_ARC
(20,24),-0.906932 # DEPENDENCYPART_ARC
(21,1),-2.68347 # DEPENDENCYPART_ARC
(21,2),-2.15997 # DEPENDENCYPART_ARC
(21,3),-1.92622 # DEPENDENCYPART_ARC
(21,4),-2.55186 # DEPENDENCYPART_ARC
(21,5),-2.01921 # DEPENDENCYPART_ARC
(21,6),-2.09918 # DEPENDENCYPART_ARC
(21,7),-1.30914 # DEPENDENCYPART_ARC
(21,8),-1.53333 # DEPENDENCYPART_ARC
(21,9),-2.17201 # DEPENDENCYPART_ARC
(21,10),-1.68557 # DEPENDENCYPART_ARC
(21,11),-0.87442 # DEPENDENCYPART_ARC
(21,12),-0.886989 # DEPENDENCYPART_ARC
(21,13),-1.12761 # DEPENDENCYPART_ARC
(21,14),-1.22913 # DEPENDENCYPART_ARC
(21,15),-0.4674 # DEPENDENCYPART_ARC
(21,16),-0.228618 # DEPENDENCYPART_ARC
(21,17),0.0525038 # DEPENDENCYPART_ARC
(21,18),0.0967966 # DEPENDENCYPART_ARC
(21,19),0.0262965 # DEPENDENCYPART_ARC
(21,20),0.328252 # DEPENDENCYPART_ARC
(21,22),1.27365 # DEPENDENCYPART_ARC
(21,23),3.04755 # DEPENDENCYPART_ARC
(21,24),-0.139186 # DEPENDENCYPART_ARC
(22,1),-4.38872 # DEPENDENCYPART_ARC
(22,2),-4.32805 # DEPENDENCYPART_ARC
