# _root_ Currently , average pay for machinists is $ 13.39 an hour , Boeing said .
#goldHeads=7,7,4,7,4,5,14,7,8,11,8,14,14,0,14,
#predictedHeads=7,7,4,7,4,5,14,7,8,11,8,14,7,0,14,
(4,1),0.470397 # DEPENDENCYPART_ARC
(4,2),1.49704 # DEPENDENCYPART_ARC
(4,3),4.29101 # DEPENDENCYPART_ARC
(4,5),3.34246 # DEPENDENCYPART_ARC
(4,6),1.44709 # DEPENDENCYPART_ARC
(4,7),0.760666 # DEPENDENCYPART_ARC
(4,8),0.386179 # DEPENDENCYPART_ARC
(4,9),0.945456 # DEPENDENCYPART_ARC
(4,10),-0.00413703 # DEPENDENCYPART_ARC
(4,11),0.370759 # DEPENDENCYPART_ARC
(4,12),0.809092 # DEPENDENCYPART_ARC
(4,13),0.261564 # DEPENDENCYPART_ARC
(4,14),0.0213794 # DEPENDENCYPART_ARC
(4,15),1.13654 # DEPENDENCYPART_ARC
(5,1),-0.873958 # DEPENDENCYPART_ARC
(5,2),-0.51918 # DEPENDENCYPART_ARC
(5,3),-0.618363 # DEPENDENCYPART_ARC
(5,4),-0.649143 # DEPENDENCYPART_ARC
(5,6),3.61101 # DEPENDENCYPART_ARC
(5,7),0.475735 # DEPENDENCYPART_ARC
(5,8),0.311124 # DEPENDENCYPART_ARC
(5,9),-0.0868857 # DEPENDENCYPART_ARC
(5,10),-1.38984 # DEPENDENCYPART_ARC
(5,11),-1.01769 # DEPENDENCYPART_ARC
(5,12),-0.120412 # DEPENDENCYPART_ARC
(5,13),-1.6311 # DEPENDENCYPART_ARC
(5,14),-2.24027 # DEPENDENCYPART_ARC
(5,15),0.449867 # DEPENDENCYPART_ARC
(6,1),-2.22172 # DEPENDENCYPART_ARC
(6,2),-0.847715 # DEPENDENCYPART_ARC
(6,3),-0.244262 # DEPENDENCYPART_ARC
(6,4),-0.155527 # DEPENDENCYPART_ARC
(6,5),0.508227 # DEPENDENCYPART_ARC
(6,7),0.47714 # DEPENDENCYPART_ARC
(6,8),-0.296215 # DEPENDENCYPART_ARC
(6,9),-0.600394 # DEPENDENCYPART_ARC
(6,10),-0.995555 # DEPENDENCYPART_ARC
(6,11),-0.628626 # DEPENDENCYPART_ARC
(6,12),-0.123372 # DEPENDENCYPART_ARC
(6,13),-1.1517 # DEPENDENCYPART_ARC
(6,14),-1.06742 # DEPENDENCYPART_ARC
(6,15),-0.430722 # DEPENDENCYPART_ARC
(7,1),2.17022 # DEPENDENCYPART_ARC
(7,2),2.8731 # DEPENDENCYPART_ARC
(7,3),1.21604 # DEPENDENCYPART_ARC
(7,4),2.96923 # DEPENDENCYPART_ARC
(7,5),1.40277 # DEPENDENCYPART_ARC
(7,6),1.3353 # DEPENDENCYPART_ARC
(7,8),2.61972 # DEPENDENCYPART_ARC
(7,9),2.05058 # DEPENDENCYPART_ARC
(7,10),0.903269 # DEPENDENCYPART_ARC
(7,11),2.06034 # DEPENDENCYPART_ARC
(7,12),2.14519 # DEPENDENCYPART_ARC
(7,13),2.0403 # DEPENDENCYPART_ARC
(7,14),0.656196 # DEPENDENCYPART_ARC
(7,15),4.30009 # DEPENDENCYPART_ARC
(8,1),-1.5724 # DEPENDENCYPART_ARC
(8,2),-1.72573 # DEPENDENCYPART_ARC
(8,3),-0.727492 # DEPENDENCYPART_ARC
(8,4),-0.616049 # DEPENDENCYPART_ARC
(8,5),-0.546758 # DEPENDENCYPART_ARC
(8,6),-0.0786166 # DEPENDENCYPART_ARC
(8,7),0.385051 # DEPENDENCYPART_ARC
(8,9),4.37956 # DEPENDENCYPART_ARC
(8,10),1.95925 # DEPENDENCYPART_ARC
(8,11),3.23083 # DEPENDENCYPART_ARC
(8,12),2.05708 # DEPENDENCYPART_ARC
(8,13),0.984109 # DEPENDENCYPART_ARC
(8,14),0.647555 # DEPENDENCYPART_ARC
(8,15),0.222225 # DEPENDENCYPART_ARC
(9,1),-1.46225 # DEPENDENCYPART_ARC
(9,2),-1.51769 # DEPENDENCYPART_ARC
(9,3),-0.740485 # DEPENDENCYPART_ARC
(9,4),-1.13978 # DEPENDENCYPART_ARC
(9,5),-0.656633 # DEPENDENCYPART_ARC
(9,6),-0.298433 # DEPENDENCYPART_ARC
(9,7),-0.208545 # DEPENDENCYPART_ARC
(9,8),0.748819 # DEPENDENCYPART_ARC
(9,10),0.439663 # DEPENDENCYPART_ARC
(9,11),0.576947 # DEPENDENCYPART_ARC
(9,12),0.732774 # DEPENDENCYPART_ARC
(9,13),-0.220318 # DEPENDENCYPART_ARC
(9,14),-0.438757 # DEPENDENCYPART_ARC
(9,15),-0.0667566 # DEPENDENCYPART_ARC
(10,1),-2.02955 # DEPENDENCYPART_ARC
(10,2),-1.75368 # DEPENDENCYPART_ARC
(10,3),-1.63375 # DEPENDENCYPART_ARC
(10,4),-1.92799 # DEPENDENCYPART_ARC
(10,5),-0.955918 # DEPENDENCYPART_ARC
(10,6),-1.26613 # DEPENDENCYPART_ARC
(10,7),-0.955112 # DEPENDENCYPART_ARC
(10,8),-0.182088 # DEPENDENCYPART_ARC
(10,9),0.165092 # DEPENDENCYPART_ARC
(10,11),0.0201273 # DEPENDENCYPART_ARC
(10,12),-1.10426 # DEPENDENCYPART_ARC
(10,13),-1.02069 # DEPENDENCYPART_ARC
(10,14),-0.806508 # DEPENDENCYPART_ARC
(10,15),-1.60289 # DEPENDENCYPART_ARC
(11,1),-2.26143 # DEPENDENCYPART_ARC
(11,2),-0.829982 # DEPENDENCYPART_ARC
(11,3),-1.17914 # DEPENDENCYPART_ARC
(11,4),-2.56901 # DEPENDENCYPART_ARC
(11,5),-0.433683 # DEPENDENCYPART_ARC
(11,6),-0.0732678 # DEPENDENCYPART_ARC
(11,7),-0.2992 # DEPENDENCYPART_ARC
(11,8),0.821735 # DEPENDENCYPART_ARC
(11,9),0.697923 # DEPENDENCYPART_ARC
(11,10),4.92014 # DEPENDENCYPART_ARC
(11,12),-0.0655713 # DEPENDENCYPART_ARC
(11,13),-0.427769 # DEPENDENCYPART_ARC
(11,14),-0.52299 # DEPENDENCYPART_ARC
(11,15),-0.751245 # DEPENDENCYPART_ARC
(12,1),-2.75747 # DEPENDENCYPART_ARC
(12,2),-0.519502 # DEPENDENCYPART_ARC
(12,3),-1.94442 # DEPENDENCYPART_ARC
(12,4),-1.7567 # DEPENDENCYPART_ARC
(12,5),-1.51381 # DEPENDENCYPART_ARC
(12,6),-1.62336 # DEPENDENCYPART_ARC
(12,7),-1.70631 # DEPENDENCYPART_ARC
(12,8),-1.03659 # DEPENDENCYPART_ARC
(12,9),-0.975558 # DEPENDENCYPART_ARC
(12,10),-0.552368 # DEPENDENCYPART_ARC
(12,11),-0.910215 # DEPENDENCYPART_ARC
(12,13),0.0696001 # DEPENDENCYPART_ARC
(12,14),-0.125825 # DEPENDENCYPART_ARC
(12,15),-0.666629 # DEPENDENCYPART_ARC
(13,1),-2.25745 # DEPENDENCYPART_ARC
(13,2),-0.838142 # DEPENDENCYPART_ARC
(13,3),-1.12627 # DEPENDENCYPART_ARC
(13,4),-0.983045 # DEPENDENCYPART_ARC
(13,5),-0.378258 # DEPENDENCYPART_ARC
(13,6),0.221079 # DEPENDENCYPART_ARC
(13,7),-0.675752 # DEPENDENCYPART_ARC
(13,8),0.291492 # DEPENDENCYPART_ARC
(13,9),0.0953133 # DEPENDENCYPART_ARC
(13,10),0.960391 # DEPENDENCYPART_ARC
(13,11),-0.130959 # DEPENDENCYPART_ARC
(13,12),0.772649 # DEPENDENCYPART_ARC
(13,14),3.05977 # DEPENDENCYPART_ARC
(13,15),0.707866 # DEPENDENCYPART_ARC
(14,1),-0.45653 # DEPENDENCYPART_ARC
(14,2),1.24074 # DEPENDENCYPART_ARC
(14,3),-0.721297 # DEPENDENCYPART_ARC
(14,4),-0.236836 # DEPENDENCYPART_ARC
(14,5),-1.00506 # DEPENDENCYPART_ARC
(14,6),-0.170262 # DEPENDENCYPART_ARC
(14,7),0.748255 # DEPENDENCYPART_ARC
(14,8),-0.307507 # DEPENDENCYPART_ARC
(14,9),-0.124954 # DEPENDENCYPART_ARC
(14,10),0.110453 # DEPENDENCYPART_ARC
(14,11),0.769365 # DEPENDENCYPART_ARC
(14,12),2.41482 # DEPENDENCYPART_ARC
(14,13),1.38731 # DEPENDENCYPART_ARC
(14,15),6.00601 # DEPENDENCYPART_ARC
(15,1),-1.86884 # DEPENDENCYPART_ARC
(15,2),-0.799441 # DEPENDENCYPART_ARC
(15,3),-2.4435 # DEPENDENCYPART_ARC
(15,4),-2.09301 # DEPENDENCYPART_ARC
(15,5),-2.27186 # DEPENDENCYPART_ARC
(15,6),-1.87284 # DEPENDENCYPART_ARC
(15,7),-1.3712 # DEPENDENCYPART_ARC
(15,8),-1.85545 # DEPENDENCYPART_ARC
(15,9),-1.88956 # DEPENDENCYPART_ARC
(15,10),-1.34989 # DEPENDENCYPART_ARC
(15,11),-1.7725 # DEPENDENCYPART_ARC
(15,12),-0.235329 # DEPENDENCYPART_ARC
(15,13),-1.46718 # DEPENDENCYPART_ARC
(15,14),-0.970879 # DEPENDENCYPART_ARC
