# _root_ 9.83 % , standard conventional fixedrate mortgages ; 7.875 % , 2 % rate capped one-year adjustable rate mortgages .
#goldHeads=2,0,2,7,7,7,2,2,10,2,10,13,14,19,14,19,19,19,10,2,
#predictedHeads=2,0,2,7,7,7,2,2,10,2,10,13,19,19,14,19,19,19,10,2,
(6,15),-0.823168 # DEPENDENCYPART_ARC
(6,16),-1.07007 # DEPENDENCYPART_ARC
(6,17),-1.33908 # DEPENDENCYPART_ARC
(6,18),-1.83169 # DEPENDENCYPART_ARC
(6,19),-1.66076 # DEPENDENCYPART_ARC
(6,20),-0.445054 # DEPENDENCYPART_ARC
(7,1),1.83207 # DEPENDENCYPART_ARC
(7,2),0.870528 # DEPENDENCYPART_ARC
(7,3),0.842282 # DEPENDENCYPART_ARC
(7,4),3.39655 # DEPENDENCYPART_ARC
(7,5),3.95751 # DEPENDENCYPART_ARC
(7,6),4.28882 # DEPENDENCYPART_ARC
(7,8),1.16987 # DEPENDENCYPART_ARC
(7,9),0.419994 # DEPENDENCYPART_ARC
(7,10),0.727354 # DEPENDENCYPART_ARC
(7,11),-0.285222 # DEPENDENCYPART_ARC
(7,12),-0.332183 # DEPENDENCYPART_ARC
(7,13),0.0421638 # DEPENDENCYPART_ARC
(7,14),0.0627833 # DEPENDENCYPART_ARC
(7,15),-0.296338 # DEPENDENCYPART_ARC
(7,16),-0.458973 # DEPENDENCYPART_ARC
(7,17),-0.812293 # DEPENDENCYPART_ARC
(7,18),-0.720737 # DEPENDENCYPART_ARC
(7,19),-1.17703 # DEPENDENCYPART_ARC
(7,20),0.893892 # DEPENDENCYPART_ARC
(8,1),-1.98275 # DEPENDENCYPART_ARC
(8,2),-2.12163 # DEPENDENCYPART_ARC
(8,3),-1.01998 # DEPENDENCYPART_ARC
(8,4),-1.31168 # DEPENDENCYPART_ARC
(8,5),-0.967772 # DEPENDENCYPART_ARC
(8,6),-1.01989 # DEPENDENCYPART_ARC
(8,7),-1.32775 # DEPENDENCYPART_ARC
(8,9),-0.358079 # DEPENDENCYPART_ARC
(8,10),-0.735923 # DEPENDENCYPART_ARC
(8,11),-0.440928 # DEPENDENCYPART_ARC
(8,12),-1.55747 # DEPENDENCYPART_ARC
(8,13),-1.46968 # DEPENDENCYPART_ARC
(8,14),-1.50241 # DEPENDENCYPART_ARC
(8,15),-0.892252 # DEPENDENCYPART_ARC
(8,16),-1.81428 # DEPENDENCYPART_ARC
(8,17),-1.89355 # DEPENDENCYPART_ARC
(8,18),-1.87519 # DEPENDENCYPART_ARC
(8,19),-2.39955 # DEPENDENCYPART_ARC
(8,20),-0.989043 # DEPENDENCYPART_ARC
(9,1),-1.26931 # DEPENDENCYPART_ARC
(9,2),-2.27474 # DEPENDENCYPART_ARC
(9,3),-1.74255 # DEPENDENCYPART_ARC
(9,4),-0.758363 # DEPENDENCYPART_ARC
(9,5),-0.494785 # DEPENDENCYPART_ARC
(9,6),-0.208077 # DEPENDENCYPART_ARC
(9,7),-0.447127 # DEPENDENCYPART_ARC
(9,8),0.478424 # DEPENDENCYPART_ARC
(9,10),1.38694 # DEPENDENCYPART_ARC
(9,11),0.682751 # DEPENDENCYPART_ARC
(9,12),0.0582116 # DEPENDENCYPART_ARC
(9,13),0.0678985 # DEPENDENCYPART_ARC
(9,14),-0.725405 # DEPENDENCYPART_ARC
(9,15),-0.103814 # DEPENDENCYPART_ARC
(9,16),-0.487047 # DEPENDENCYPART_ARC
(9,17),-0.578236 # DEPENDENCYPART_ARC
(9,18),-0.321773 # DEPENDENCYPART_ARC
(9,19),-1.03669 # DEPENDENCYPART_ARC
(9,20),-0.706547 # DEPENDENCYPART_ARC
(10,1),0.636029 # DEPENDENCYPART_ARC
(10,2),-1.28365 # DEPENDENCYPART_ARC
(10,3),-0.362693 # DEPENDENCYPART_ARC
(10,4),0.773459 # DEPENDENCYPART_ARC
(10,5),1.71153 # DEPENDENCYPART_ARC
(10,6),1.59841 # DEPENDENCYPART_ARC
(10,7),0.141535 # DEPENDENCYPART_ARC
(10,8),0.682121 # DEPENDENCYPART_ARC
(10,9),4.27976 # DEPENDENCYPART_ARC
(10,11),2.76167 # DEPENDENCYPART_ARC
(10,12),1.47669 # DEPENDENCYPART_ARC
(10,13),2.09748 # DEPENDENCYPART_ARC
(10,14),0.700957 # DEPENDENCYPART_ARC
(10,15),0.218068 # DEPENDENCYPART_ARC
(10,16),0.646506 # DEPENDENCYPART_ARC
(10,17),0.438501 # DEPENDENCYPART_ARC
(10,18),0.010584 # DEPENDENCYPART_ARC
(10,19),1.73797 # DEPENDENCYPART_ARC
(10,20),2.19616 # DEPENDENCYPART_ARC
(11,1),-2.63178 # DEPENDENCYPART_ARC
(11,2),-1.84849 # DEPENDENCYPART_ARC
(11,3),-0.681237 # DEPENDENCYPART_ARC
(11,4),-2.2843 # DEPENDENCYPART_ARC
(11,5),-2.14302 # DEPENDENCYPART_ARC
(11,6),-2.15232 # DEPENDENCYPART_ARC
(11,7),-2.21199 # DEPENDENCYPART_ARC
(11,8),-1.27394 # DEPENDENCYPART_ARC
(11,9),-1.66027 # DEPENDENCYPART_ARC
(11,10),-1.19187 # DEPENDENCYPART_ARC
(11,12),-0.21076 # DEPENDENCYPART_ARC
(11,13),-0.786013 # DEPENDENCYPART_ARC
(11,14),-1.19595 # DEPENDENCYPART_ARC
(11,15),-0.937781 # DEPENDENCYPART_ARC
(11,16),-1.55239 # DEPENDENCYPART_ARC
(11,17),-1.78582 # DEPENDENCYPART_ARC
(11,18),-2.13999 # DEPENDENCYPART_ARC
(11,19),-2.19136 # DEPENDENCYPART_ARC
(11,20),-1.47729 # DEPENDENCYPART_ARC
(12,1),-1.76035 # DEPENDENCYPART_ARC
(12,2),-2.70432 # DEPENDENCYPART_ARC
(12,3),-2.07283 # DEPENDENCYPART_ARC
(12,4),-1.42817 # DEPENDENCYPART_ARC
(12,5),-1.2514 # DEPENDENCYPART_ARC
(12,6),-1.16732 # DEPENDENCYPART_ARC
(12,7),-1.47706 # DEPENDENCYPART_ARC
(12,8),-0.970171 # DEPENDENCYPART_ARC
(12,9),0.14431 # DEPENDENCYPART_ARC
(12,10),-0.786286 # DEPENDENCYPART_ARC
(12,11),0.296199 # DEPENDENCYPART_ARC
(12,13),2.01007 # DEPENDENCYPART_ARC
(12,14),0.481143 # DEPENDENCYPART_ARC
(12,15),0.256966 # DEPENDENCYPART_ARC
(12,16),-0.193393 # DEPENDENCYPART_ARC
(12,17),-0.320045 # DEPENDENCYPART_ARC
(12,18),0.208643 # DEPENDENCYPART_ARC
(12,19),-0.751242 # DEPENDENCYPART_ARC
(12,20),-0.679493 # DEPENDENCYPART_ARC
(13,1),-1.43485 # DEPENDENCYPART_ARC
(13,2),-3.67483 # DEPENDENCYPART_ARC
(13,3),-1.11619 # DEPENDENCYPART_ARC
(13,4),-1.44205 # DEPENDENCYPART_ARC
(13,5),-0.974786 # DEPENDENCYPART_ARC
(13,6),-1.19052 # DEPENDENCYPART_ARC
(13,7),-2.3911 # DEPENDENCYPART_ARC
(13,8),-1.73253 # DEPENDENCYPART_ARC
(13,9),1.46709 # DEPENDENCYPART_ARC
(13,10),-0.248254 # DEPENDENCYPART_ARC
(13,11),-0.142686 # DEPENDENCYPART_ARC
(13,12),2.81619 # DEPENDENCYPART_ARC
(13,14),1.21955 # DEPENDENCYPART_ARC
(13,15),0.291439 # DEPENDENCYPART_ARC
(13,16),-0.196 # DEPENDENCYPART_ARC
(13,17),-0.618781 # DEPENDENCYPART_ARC
(13,18),-0.804959 # DEPENDENCYPART_ARC
(13,19),0.378932 # DEPENDENCYPART_ARC
(13,20),0.948223 # DEPENDENCYPART_ARC
(14,1),-1.05087 # DEPENDENCYPART_ARC
(14,2),-0.306817 # DEPENDENCYPART_ARC
(14,3),0.148898 # DEPENDENCYPART_ARC
(14,4),1.52473 # DEPENDENCYPART_ARC
(14,5),1.97188 # DEPENDENCYPART_ARC
(14,6),1.61593 # DEPENDENCYPART_ARC
(14,7),0.241353 # DEPENDENCYPART_ARC
(14,8),-0.572134 # DEPENDENCYPART_ARC
(14,9),0.942093 # DEPENDENCYPART_ARC
(14,10),0.762346 # DEPENDENCYPART_ARC
(14,11),1.07977 # DEPENDENCYPART_ARC
(14,12),1.62956 # DEPENDENCYPART_ARC
(14,13),3.34024 # DEPENDENCYPART_ARC
(14,15),1.96419 # DEPENDENCYPART_ARC
(14,16),1.18748 # DEPENDENCYPART_ARC
(14,17),0.626412 # DEPENDENCYPART_ARC
(14,18),0.356716 # DEPENDENCYPART_ARC
(14,19),0.240634 # DEPENDENCYPART_ARC
(14,20),1.5631 # DEPENDENCYPART_ARC
(15,1),-1.17395 # DEPENDENCYPART_ARC
(15,2),-2.09472 # DEPENDENCYPART_ARC
(15,3),0.00986217 # DEPENDENCYPART_ARC
(15,4),0.206505 # DEPENDENCYPART_ARC
(15,5),-0.500768 # DEPENDENCYPART_ARC
(15,6),-0.558474 # DEPENDENCYPART_ARC
(15,7),-0.24557 # DEPENDENCYPART_ARC
(15,8),-0.0767913 # DEPENDENCYPART_ARC
(15,9),-0.215109 # DEPENDENCYPART_ARC
(15,10),-0.386183 # DEPENDENCYPART_ARC
(15,11),0.985741 # DEPENDENCYPART_ARC
(15,12),0.837784 # DEPENDENCYPART_ARC
(15,13),0.619209 # DEPENDENCYPART_ARC
(15,14),1.84828 # DEPENDENCYPART_ARC
(15,16),1.60085 # DEPENDENCYPART_ARC
(15,17),0.591952 # DEPENDENCYPART_ARC
(15,18),1.73099 # DEPENDENCYPART_ARC
(15,19),1.06465 # DEPENDENCYPART_ARC
(15,20),2.27742 # DEPENDENCYPART_ARC
(16,1),-1.84068 # DEPENDENCYPART_ARC
(16,2),-1.68581 # DEPENDENCYPART_ARC
(16,3),-2.53202 # DEPENDENCYPART_ARC
(16,4),-1.5984 # DEPENDENCYPART_ARC
(16,5),-1.40403 # DEPENDENCYPART_ARC
(16,6),-1.1549 # DEPENDENCYPART_ARC
(16,7),-1.96584 # DEPENDENCYPART_ARC
(16,8),-1.49357 # DEPENDENCYPART_ARC
(16,9),-0.845857 # DEPENDENCYPART_ARC
(16,10),-0.830836 # DEPENDENCYPART_ARC
(16,11),-1.15927 # DEPENDENCYPART_ARC
(16,12),-0.151794 # DEPENDENCYPART_ARC
(16,13),0.142385 # DEPENDENCYPART_ARC
(16,14),-0.170786 # DEPENDENCYPART_ARC
(16,15),-0.269057 # DEPENDENCYPART_ARC
(16,17),1.22248 # DEPENDENCYPART_ARC
(16,18),1.04403 # DEPENDENCYPART_ARC
(16,19),0.673434 # DEPENDENCYPART_ARC
(16,20),-0.275577 # DEPENDENCYPART_ARC
(17,1),-1.71659 # DEPENDENCYPART_ARC
(17,2),-1.51697 # DEPENDENCYPART_ARC
(17,3),-2.25031 # DEPENDENCYPART_ARC
(17,4),-1.45428 # DEPENDENCYPART_ARC
(17,5),-1.2833 # DEPENDENCYPART_ARC
(17,6),-1.23022 # DEPENDENCYPART_ARC
(17,7),-1.86069 # DEPENDENCYPART_ARC
(17,8),-1.35394 # DEPENDENCYPART_ARC
(17,9),-0.762972 # DEPENDENCYPART_ARC
(17,10),-0.720952 # DEPENDENCYPART_ARC
(17,11),-1.22849 # DEPENDENCYPART_ARC
(17,12),-0.16882 # DEPENDENCYPART_ARC
(17,13),0.0630702 # DEPENDENCYPART_ARC
(17,14),-0.128211 # DEPENDENCYPART_ARC
(17,15),-0.692463 # DEPENDENCYPART_ARC
(17,16),2.32868 # DEPENDENCYPART_ARC
(17,18),1.00201 # DEPENDENCYPART_ARC
(17,19),0.483541 # DEPENDENCYPART_ARC
(17,20),-0.36615 # DEPENDENCYPART_ARC
(18,1),-2.63195 # DEPENDENCYPART_ARC
(18,2),-1.19689 # DEPENDENCYPART_ARC
(18,3),-1.89218 # DEPENDENCYPART_ARC
(18,4),-0.984138 # DEPENDENCYPART_ARC
(18,5),-0.167862 # DEPENDENCYPART_ARC
(18,6),-0.632065 # DEPENDENCYPART_ARC
(18,7),-2.171 # DEPENDENCYPART_ARC
(18,8),-2.08652 # DEPENDENCYPART_ARC
(18,9),-1.0573 # DEPENDENCYPART_ARC
(18,10),-1.02177 # DEPENDENCYPART_ARC
(18,11),-1.68265 # DEPENDENCYPART_ARC
(18,12),-0.760403 # DEPENDENCYPART_ARC
(18,13),0.728235 # DEPENDENCYPART_ARC
(18,14),-0.865958 # DEPENDENCYPART_ARC
(18,15),-0.559296 # DEPENDENCYPART_ARC
(18,16),2.01692 # DEPENDENCYPART_ARC
(18,17),2.36999 # DEPENDENCYPART_ARC
(18,19),1.4814 # DEPENDENCYPART_ARC
(18,20),0.107075 # DEPENDENCYPART_ARC
(19,1),0.0485754 # DEPENDENCYPART_ARC
(19,2),0.674807 # DEPENDENCYPART_ARC
(19,3),-0.576043 # DEPENDENCYPART_ARC
(19,4),0.45204 # DEPENDENCYPART_ARC
(19,5),0.248509 # DEPENDENCYPART_ARC
(19,6),0.197981 # DEPENDENCYPART_ARC
(19,7),-1.12075 # DEPENDENCYPART_ARC
(19,8),-1.25035 # DEPENDENCYPART_ARC
(19,9),1.50204 # DEPENDENCYPART_ARC
(19,10),1.92563 # DEPENDENCYPART_ARC
(19,11),0.0918185 # DEPENDENCYPART_ARC
(19,12),1.51027 # DEPENDENCYPART_ARC
(19,13),3.87454 # DEPENDENCYPART_ARC
(19,14),3.1679 # DEPENDENCYPART_ARC
(19,15),1.64493 # DEPENDENCYPART_ARC
(19,16),3.97756 # DEPENDENCYPART_ARC
(19,17),4.26135 # DEPENDENCYPART_ARC
(19,18),5.63273 # DEPENDENCYPART_ARC
(19,20),0.729467 # DEPENDENCYPART_ARC
(20,1),-3.16074 # DEPENDENCYPART_ARC
(20,2),-3.02781 # DEPENDENCYPART_ARC
(20,3),-1.63218 # DEPENDENCYPART_ARC
(20,4),-2.73461 # DEPENDENCYPART_ARC
(20,5),-2.64232 # DEPENDENCYPART_ARC
(20,6),-2.57017 # DEPENDENCYPART_ARC
(20,7),-2.26551 # DEPENDENCYPART_ARC
(20,8),-0.726596 # DEPENDENCYPART_ARC
(20,9),-2.30751 # DEPENDENCYPART_ARC
(20,10),-1.96665 # DEPENDENCYPART_ARC
(20,11),-0.874078 # DEPENDENCYPART_ARC
(20,12),-2.0532 # DEPENDENCYPART_ARC
(20,13),-1.64301 # DEPENDENCYPART_ARC
(20,14),-1.74505 # DEPENDENCYPART_ARC
(20,15),-1.44612 # DEPENDENCYPART_ARC
(20,16),-1.59758 # DEPENDENCYPART_ARC
(20,17),-1.25336 # DEPENDENCYPART_ARC
(20,18),-1.85908 # DEPENDENCYPART_ARC
(20,19),-1.68961 # DEPENDENCYPART_ARC
