# _root_ Differences remained between the North and South Korean governments , however , over conditions for the exchanges .
#goldHeads=2,0,2,5,3,5,9,9,6,2,2,2,1,13,14,17,15,2,
#predictedHeads=2,0,2,5,3,5,6,9,6,9,2,2,2,13,14,17,15,2,
(10,12),0.671153 # DEPENDENCYPART_ARC
(10,13),-0.64385 # DEPENDENCYPART_ARC
(10,14),-1.42469 # DEPENDENCYPART_ARC
(10,15),-1.07902 # DEPENDENCYPART_ARC
(10,16),-1.73137 # DEPENDENCYPART_ARC
(10,17),-2.06577 # DEPENDENCYPART_ARC
(10,18),-1.30927 # DEPENDENCYPART_ARC
(11,1),-1.33123 # DEPENDENCYPART_ARC
(11,2),-1.36255 # DEPENDENCYPART_ARC
(11,3),-0.781864 # DEPENDENCYPART_ARC
(11,4),-0.32206 # DEPENDENCYPART_ARC
(11,5),0.199137 # DEPENDENCYPART_ARC
(11,6),-1.26252 # DEPENDENCYPART_ARC
(11,7),0.261814 # DEPENDENCYPART_ARC
(11,8),0.491104 # DEPENDENCYPART_ARC
(11,9),-0.330307 # DEPENDENCYPART_ARC
(11,10),1.10215 # DEPENDENCYPART_ARC
(11,12),1.23775 # DEPENDENCYPART_ARC
(11,13),-0.138134 # DEPENDENCYPART_ARC
(11,14),-0.443743 # DEPENDENCYPART_ARC
(11,15),-1.06385 # DEPENDENCYPART_ARC
(11,16),-1.04672 # DEPENDENCYPART_ARC
(11,17),-1.64015 # DEPENDENCYPART_ARC
(11,18),-1.44019 # DEPENDENCYPART_ARC
(12,1),-2.03777 # DEPENDENCYPART_ARC
(12,2),-1.66783 # DEPENDENCYPART_ARC
(12,3),-1.84334 # DEPENDENCYPART_ARC
(12,4),-1.4683 # DEPENDENCYPART_ARC
(12,5),-1.77353 # DEPENDENCYPART_ARC
(12,6),-1.87341 # DEPENDENCYPART_ARC
(12,7),-1.64155 # DEPENDENCYPART_ARC
(12,8),-1.41003 # DEPENDENCYPART_ARC
(12,9),-1.54143 # DEPENDENCYPART_ARC
(12,10),-0.164284 # DEPENDENCYPART_ARC
(12,11),-0.76065 # DEPENDENCYPART_ARC
(12,13),-0.701596 # DEPENDENCYPART_ARC
(12,14),-1.02236 # DEPENDENCYPART_ARC
(12,15),-1.18638 # DEPENDENCYPART_ARC
(12,16),-1.8225 # DEPENDENCYPART_ARC
(12,17),-1.8682 # DEPENDENCYPART_ARC
(12,18),-1.30911 # DEPENDENCYPART_ARC
(13,1),-1.73017 # DEPENDENCYPART_ARC
(13,2),-1.94812 # DEPENDENCYPART_ARC
(13,3),-1.39212 # DEPENDENCYPART_ARC
(13,4),-1.13175 # DEPENDENCYPART_ARC
(13,5),-1.22678 # DEPENDENCYPART_ARC
(13,6),-1.41762 # DEPENDENCYPART_ARC
(13,7),-0.857574 # DEPENDENCYPART_ARC
(13,8),-0.754013 # DEPENDENCYPART_ARC
(13,9),-1.27974 # DEPENDENCYPART_ARC
(13,10),-0.583509 # DEPENDENCYPART_ARC
(13,11),-0.5706 # DEPENDENCYPART_ARC
(13,12),0.020575 # DEPENDENCYPART_ARC
(13,14),2.35591 # DEPENDENCYPART_ARC
(13,15),0.540663 # DEPENDENCYPART_ARC
(13,16),-1.22056 # DEPENDENCYPART_ARC
(13,17),-0.331387 # DEPENDENCYPART_ARC
(13,18),0.0511061 # DEPENDENCYPART_ARC
(14,1),-3.35992 # DEPENDENCYPART_ARC
(14,2),-1.5912 # DEPENDENCYPART_ARC
(14,3),-1.45406 # DEPENDENCYPART_ARC
(14,4),0.572162 # DEPENDENCYPART_ARC
(14,5),-0.718995 # DEPENDENCYPART_ARC
(14,6),-1.50259 # DEPENDENCYPART_ARC
(14,7),-0.431785 # DEPENDENCYPART_ARC
(14,8),-0.333963 # DEPENDENCYPART_ARC
(14,9),-1.05562 # DEPENDENCYPART_ARC
(14,10),-0.264163 # DEPENDENCYPART_ARC
(14,11),-1.08371 # DEPENDENCYPART_ARC
(14,12),-0.141524 # DEPENDENCYPART_ARC
(14,13),1.03117 # DEPENDENCYPART_ARC
(14,15),2.97839 # DEPENDENCYPART_ARC
(14,16),-0.0478965 # DEPENDENCYPART_ARC
(14,17),0.585405 # DEPENDENCYPART_ARC
(14,18),0.289638 # DEPENDENCYPART_ARC
(15,1),-2.13548 # DEPENDENCYPART_ARC
(15,2),-1.9434 # DEPENDENCYPART_ARC
(15,3),-1.86063 # DEPENDENCYPART_ARC
(15,4),-1.71087 # DEPENDENCYPART_ARC
(15,5),-1.45503 # DEPENDENCYPART_ARC
(15,6),-1.46151 # DEPENDENCYPART_ARC
(15,7),-1.18698 # DEPENDENCYPART_ARC
(15,8),-0.860725 # DEPENDENCYPART_ARC
(15,9),-1.64842 # DEPENDENCYPART_ARC
(15,10),-0.844078 # DEPENDENCYPART_ARC
(15,11),-1.00161 # DEPENDENCYPART_ARC
(15,12),-0.373632 # DEPENDENCYPART_ARC
(15,13),-0.0163575 # DEPENDENCYPART_ARC
(15,14),0.502028 # DEPENDENCYPART_ARC
(15,16),0.72914 # DEPENDENCYPART_ARC
(15,17),3.29722 # DEPENDENCYPART_ARC
(15,18),-0.360938 # DEPENDENCYPART_ARC
(16,1),-4.37463 # DEPENDENCYPART_ARC
(16,2),-4.00156 # DEPENDENCYPART_ARC
(16,3),-3.64218 # DEPENDENCYPART_ARC
(16,4),-3.45653 # DEPENDENCYPART_ARC
(16,5),-3.75715 # DEPENDENCYPART_ARC
(16,6),-4.0133 # DEPENDENCYPART_ARC
(16,7),-3.43138 # DEPENDENCYPART_ARC
(16,8),-3.34199 # DEPENDENCYPART_ARC
(16,9),-3.44064 # DEPENDENCYPART_ARC
(16,10),-3.03326 # DEPENDENCYPART_ARC
(16,11),-2.97098 # DEPENDENCYPART_ARC
(16,12),-2.55592 # DEPENDENCYPART_ARC
(16,13),-2.066 # DEPENDENCYPART_ARC
(16,14),-2.38505 # DEPENDENCYPART_ARC
(16,15),-1.29871 # DEPENDENCYPART_ARC
(16,17),-0.563779 # DEPENDENCYPART_ARC
(16,18),-1.5314 # DEPENDENCYPART_ARC
(17,1),-4.2529 # DEPENDENCYPART_ARC
(17,2),-1.56042 # DEPENDENCYPART_ARC
(17,3),-1.23937 # DEPENDENCYPART_ARC
(17,4),-1.37287 # DEPENDENCYPART_ARC
(17,5),-2.67938 # DEPENDENCYPART_ARC
(17,6),-1.48089 # DEPENDENCYPART_ARC
(17,7),-2.0414 # DEPENDENCYPART_ARC
(17,8),-1.88271 # DEPENDENCYPART_ARC
(17,9),-2.44137 # DEPENDENCYPART_ARC
(17,10),-0.569312 # DEPENDENCYPART_ARC
(17,11),-2.46944 # DEPENDENCYPART_ARC
(17,12),-0.756139 # DEPENDENCYPART_ARC
(17,13),0.183007 # DEPENDENCYPART_ARC
(17,14),-0.0623463 # DEPENDENCYPART_ARC
(17,15),0.687224 # DEPENDENCYPART_ARC
(17,16),4.87089 # DEPENDENCYPART_ARC
(17,18),0.189757 # DEPENDENCYPART_ARC
(18,1),-2.0414 # DEPENDENCYPART_ARC
(18,2),-1.43358 # DEPENDENCYPART_ARC
(18,3),-2.2342 # DEPENDENCYPART_ARC
(18,4),-1.82949 # DEPENDENCYPART_ARC
(18,5),-2.11769 # DEPENDENCYPART_ARC
(18,6),-2.07087 # DEPENDENCYPART_ARC
(18,7),-1.92988 # DEPENDENCYPART_ARC
(18,8),-1.82803 # DEPENDENCYPART_ARC
(18,9),-1.53176 # DEPENDENCYPART_ARC
(18,10),-0.235127 # DEPENDENCYPART_ARC
(18,11),-0.595943 # DEPENDENCYPART_ARC
(18,12),0.166935 # DEPENDENCYPART_ARC
(18,13),-1.41544 # DEPENDENCYPART_ARC
(18,14),-1.26995 # DEPENDENCYPART_ARC
(18,15),-1.00856 # DEPENDENCYPART_ARC
(18,16),-0.697296 # DEPENDENCYPART_ARC
(18,17),-1.38563 # DEPENDENCYPART_ARC
