# _root_ The Watertown , Mass. , company 's sales have been dormant and its profits have dropped .
#goldHeads=6,4,4,6,4,8,6,9,0,9,10,9,14,15,12,15,9,
#predictedHeads=6,4,4,6,4,8,6,9,0,9,10,9,14,15,12,15,9,
(13,1),-3.13441 # DEPENDENCYPART_ARC
(13,2),-3.24066 # DEPENDENCYPART_ARC
(13,3),-2.91367 # DEPENDENCYPART_ARC
(13,4),-2.88309 # DEPENDENCYPART_ARC
(13,5),-2.73764 # DEPENDENCYPART_ARC
(13,6),-2.86857 # DEPENDENCYPART_ARC
(13,7),-2.7573 # DEPENDENCYPART_ARC
(13,8),-2.47598 # DEPENDENCYPART_ARC
(13,9),-2.58638 # DEPENDENCYPART_ARC
(13,10),-2.05065 # DEPENDENCYPART_ARC
(13,11),-1.6171 # DEPENDENCYPART_ARC
(13,12),-1.07329 # DEPENDENCYPART_ARC
(13,14),0.721156 # DEPENDENCYPART_ARC
(13,15),0.236394 # DEPENDENCYPART_ARC
(13,16),-0.553003 # DEPENDENCYPART_ARC
(13,17),-0.80967 # DEPENDENCYPART_ARC
(14,1),-1.29994 # DEPENDENCYPART_ARC
(14,2),-2.67287 # DEPENDENCYPART_ARC
(14,3),-1.9949 # DEPENDENCYPART_ARC
(14,4),-1.5343 # DEPENDENCYPART_ARC
(14,5),-2.04989 # DEPENDENCYPART_ARC
(14,6),0.612645 # DEPENDENCYPART_ARC
(14,7),-1.89493 # DEPENDENCYPART_ARC
(14,8),-1.2057 # DEPENDENCYPART_ARC
(14,9),-1.66923 # DEPENDENCYPART_ARC
(14,10),0.147223 # DEPENDENCYPART_ARC
(14,11),0.554809 # DEPENDENCYPART_ARC
(14,12),-0.156214 # DEPENDENCYPART_ARC
(14,13),4.10835 # DEPENDENCYPART_ARC
(14,15),0.551594 # DEPENDENCYPART_ARC
(14,16),0.0283806 # DEPENDENCYPART_ARC
(14,17),0.0887235 # DEPENDENCYPART_ARC
(15,1),-0.602748 # DEPENDENCYPART_ARC
(15,2),0.335553 # DEPENDENCYPART_ARC
(15,3),2.26513 # DEPENDENCYPART_ARC
(15,4),0.198207 # DEPENDENCYPART_ARC
(15,5),2.20803 # DEPENDENCYPART_ARC
(15,6),0.619294 # DEPENDENCYPART_ARC
(15,7),-0.0772003 # DEPENDENCYPART_ARC
(15,8),1.98587 # DEPENDENCYPART_ARC
(15,9),-0.0724964 # DEPENDENCYPART_ARC
(15,10),0.141259 # DEPENDENCYPART_ARC
(15,11),1.3071 # DEPENDENCYPART_ARC
(15,12),0.240793 # DEPENDENCYPART_ARC
(15,13),1.7851 # DEPENDENCYPART_ARC
(15,14),3.19311 # DEPENDENCYPART_ARC
(15,16),4.0768 # DEPENDENCYPART_ARC
(15,17),2.84177 # DEPENDENCYPART_ARC
(16,1),-0.331321 # DEPENDENCYPART_ARC
(16,2),-0.786249 # DEPENDENCYPART_ARC
(16,3),0.150832 # DEPENDENCYPART_ARC
(16,4),-0.530395 # DEPENDENCYPART_ARC
(16,5),0.497626 # DEPENDENCYPART_ARC
(16,6),0.175799 # DEPENDENCYPART_ARC
(16,7),-0.160815 # DEPENDENCYPART_ARC
(16,8),0.261945 # DEPENDENCYPART_ARC
(16,9),0.105348 # DEPENDENCYPART_ARC
(16,10),0.111739 # DEPENDENCYPART_ARC
(16,11),0.527681 # DEPENDENCYPART_ARC
(16,12),-0.14009 # DEPENDENCYPART_ARC
(16,13),1.51257 # DEPENDENCYPART_ARC
(16,14),1.00028 # DEPENDENCYPART_ARC
(16,15),1.48276 # DEPENDENCYPART_ARC
(16,17),0.869139 # DEPENDENCYPART_ARC
(17,1),-2.0094 # DEPENDENCYPART_ARC
(17,2),-2.34272 # DEPENDENCYPART_ARC
(17,3),-1.03887 # DEPENDENCYPART_ARC
(17,4),-2.26622 # DEPENDENCYPART_ARC
(17,5),-0.705767 # DEPENDENCYPART_ARC
(17,6),-2.06786 # DEPENDENCYPART_ARC
(17,7),-1.67201 # DEPENDENCYPART_ARC
(17,8),-1.89223 # DEPENDENCYPART_ARC
(17,9),-1.53855 # DEPENDENCYPART_ARC
(17,10),-1.14052 # DEPENDENCYPART_ARC
(17,11),-1.35937 # DEPENDENCYPART_ARC
(17,12),-1.61185 # DEPENDENCYPART_ARC
(17,13),-0.556148 # DEPENDENCYPART_ARC
(17,14),-1.24382 # DEPENDENCYPART_ARC
(17,15),-1.44939 # DEPENDENCYPART_ARC
(17,16),-0.286398 # DEPENDENCYPART_ARC
