# _root_ Now , the analyst said , only minor points remain to be cleaned up .
#goldHeads=10,5,4,5,0,5,9,9,10,5,10,11,12,13,10,
#predictedHeads=10,5,4,5,0,5,9,9,10,5,10,11,12,13,5,
(6,15),-1.00565 # DEPENDENCYPART_ARC
(7,1),-2.14006 # DEPENDENCYPART_ARC
(7,2),-1.56381 # DEPENDENCYPART_ARC
(7,3),-0.648355 # DEPENDENCYPART_ARC
(7,4),-1.21892 # DEPENDENCYPART_ARC
(7,5),-1.13847 # DEPENDENCYPART_ARC
(7,6),0.039755 # DEPENDENCYPART_ARC
(7,8),1.96206 # DEPENDENCYPART_ARC
(7,9),1.30473 # DEPENDENCYPART_ARC
(7,10),1.39593 # DEPENDENCYPART_ARC
(7,11),0.320467 # DEPENDENCYPART_ARC
(7,12),0.293491 # DEPENDENCYPART_ARC
(7,13),-0.322049 # DEPENDENCYPART_ARC
(7,14),-0.120445 # DEPENDENCYPART_ARC
(7,15),-0.154181 # DEPENDENCYPART_ARC
(8,1),-1.15714 # DEPENDENCYPART_ARC
(8,2),-0.0546831 # DEPENDENCYPART_ARC
(8,3),0.770811 # DEPENDENCYPART_ARC
(8,4),0.259265 # DEPENDENCYPART_ARC
(8,5),-0.250181 # DEPENDENCYPART_ARC
(8,6),1.15339 # DEPENDENCYPART_ARC
(8,7),1.62728 # DEPENDENCYPART_ARC
(8,9),0.836544 # DEPENDENCYPART_ARC
(8,10),0.808505 # DEPENDENCYPART_ARC
(8,11),0.250062 # DEPENDENCYPART_ARC
(8,12),-0.84087 # DEPENDENCYPART_ARC
(8,13),-0.546042 # DEPENDENCYPART_ARC
(8,14),-0.813463 # DEPENDENCYPART_ARC
(8,15),0.167775 # DEPENDENCYPART_ARC
(9,1),-2.40723 # DEPENDENCYPART_ARC
(9,2),0.0965854 # DEPENDENCYPART_ARC
(9,3),1.54051 # DEPENDENCYPART_ARC
(9,4),0.57085 # DEPENDENCYPART_ARC
(9,5),-0.0680143 # DEPENDENCYPART_ARC
(9,6),1.0764 # DEPENDENCYPART_ARC
(9,7),2.49525 # DEPENDENCYPART_ARC
(9,8),3.69934 # DEPENDENCYPART_ARC
(9,10),0.634808 # DEPENDENCYPART_ARC
(9,11),0.480273 # DEPENDENCYPART_ARC
(9,12),0.077149 # DEPENDENCYPART_ARC
(9,13),-0.490199 # DEPENDENCYPART_ARC
(9,14),-0.63024 # DEPENDENCYPART_ARC
(9,15),0.102127 # DEPENDENCYPART_ARC
(10,1),1.54013 # DEPENDENCYPART_ARC
(10,2),2.35371 # DEPENDENCYPART_ARC
(10,3),0.552978 # DEPENDENCYPART_ARC
(10,4),0.727162 # DEPENDENCYPART_ARC
(10,5),0.409205 # DEPENDENCYPART_ARC
(10,6),2.21055 # DEPENDENCYPART_ARC
(10,7),1.54196 # DEPENDENCYPART_ARC
(10,8),1.51358 # DEPENDENCYPART_ARC
(10,9),3.50887 # DEPENDENCYPART_ARC
(10,11),3.50813 # DEPENDENCYPART_ARC
(10,12),1.79798 # DEPENDENCYPART_ARC
(10,13),1.17303 # DEPENDENCYPART_ARC
(10,14),1.17977 # DEPENDENCYPART_ARC
(10,15),2.88493 # DEPENDENCYPART_ARC
(11,1),-1.47728 # DEPENDENCYPART_ARC
(11,2),-0.310096 # DEPENDENCYPART_ARC
(11,3),-0.0519927 # DEPENDENCYPART_ARC
(11,4),-0.483337 # DEPENDENCYPART_ARC
(11,5),-0.170408 # DEPENDENCYPART_ARC
(11,6),0.140911 # DEPENDENCYPART_ARC
(11,7),0.968307 # DEPENDENCYPART_ARC
(11,8),0.349268 # DEPENDENCYPART_ARC
(11,9),0.447214 # DEPENDENCYPART_ARC
(11,10),1.13113 # DEPENDENCYPART_ARC
(11,12),3.69169 # DEPENDENCYPART_ARC
(11,13),0.504823 # DEPENDENCYPART_ARC
(11,14),0.329446 # DEPENDENCYPART_ARC
(11,15),0.0112931 # DEPENDENCYPART_ARC
(12,1),-1.04907 # DEPENDENCYPART_ARC
(12,2),-0.168212 # DEPENDENCYPART_ARC
(12,3),-0.408813 # DEPENDENCYPART_ARC
(12,4),-0.419134 # DEPENDENCYPART_ARC
(12,5),-0.672469 # DEPENDENCYPART_ARC
(12,6),0.00328074 # DEPENDENCYPART_ARC
(12,7),-0.0616577 # DEPENDENCYPART_ARC
(12,8),0.336033 # DEPENDENCYPART_ARC
(12,9),1.1419 # DEPENDENCYPART_ARC
(12,10),0.440519 # DEPENDENCYPART_ARC
(12,11),1.29845 # DEPENDENCYPART_ARC
(12,13),3.49059 # DEPENDENCYPART_ARC
(12,14),1.1502 # DEPENDENCYPART_ARC
(12,15),-0.0741561 # DEPENDENCYPART_ARC
(13,1),-1.08873 # DEPENDENCYPART_ARC
(13,2),-0.526381 # DEPENDENCYPART_ARC
(13,3),-0.309397 # DEPENDENCYPART_ARC
(13,4),-0.59633 # DEPENDENCYPART_ARC
(13,5),-0.395774 # DEPENDENCYPART_ARC
(13,6),-0.120717 # DEPENDENCYPART_ARC
(13,7),-0.352352 # DEPENDENCYPART_ARC
(13,8),0.0542343 # DEPENDENCYPART_ARC
(13,9),0.0369269 # DEPENDENCYPART_ARC
(13,10),0.221231 # DEPENDENCYPART_ARC
(13,11),0.464513 # DEPENDENCYPART_ARC
(13,12),0.683154 # DEPENDENCYPART_ARC
(13,14),3.39615 # DEPENDENCYPART_ARC
(13,15),1.25107 # DEPENDENCYPART_ARC
(14,1),-1.28535 # DEPENDENCYPART_ARC
(14,2),-0.853494 # DEPENDENCYPART_ARC
(14,3),-0.570134 # DEPENDENCYPART_ARC
(14,4),-0.993516 # DEPENDENCYPART_ARC
(14,5),-0.772736 # DEPENDENCYPART_ARC
(14,6),-0.461804 # DEPENDENCYPART_ARC
(14,7),-0.573416 # DEPENDENCYPART_ARC
(14,8),-0.0471849 # DEPENDENCYPART_ARC
(14,9),-0.365159 # DEPENDENCYPART_ARC
(14,10),-0.26055 # DEPENDENCYPART_ARC
(14,11),0.385137 # DEPENDENCYPART_ARC
(14,12),0.467533 # DEPENDENCYPART_ARC
(14,13),1.01924 # DEPENDENCYPART_ARC
(14,15),-0.102234 # DEPENDENCYPART_ARC
(15,1),-1.9154 # DEPENDENCYPART_ARC
(15,2),-1.21299 # DEPENDENCYPART_ARC
(15,3),-2.1092 # DEPENDENCYPART_ARC
(15,4),-2.57636 # DEPENDENCYPART_ARC
(15,5),-1.57572 # DEPENDENCYPART_ARC
(15,6),-1.42298 # DEPENDENCYPART_ARC
(15,7),-2.06514 # DEPENDENCYPART_ARC
(15,8),-1.98581 # DEPENDENCYPART_ARC
(15,9),-1.99659 # DEPENDENCYPART_ARC
(15,10),-2.13763 # DEPENDENCYPART_ARC
(15,11),-1.76257 # DEPENDENCYPART_ARC
(15,12),-1.43405 # DEPENDENCYPART_ARC
(15,13),-1.55286 # DEPENDENCYPART_ARC
(15,14),-0.795146 # DEPENDENCYPART_ARC
