# _root_ Bear Stearns 's chief economist , Lawrence Kudlow , in the Sept. 29 issue of the firm 's Global Spectator :
#goldHeads=2,5,2,5,0,5,8,5,5,5,14,14,14,10,14,17,20,17,20,15,5,
#predictedHeads=2,5,2,5,0,5,8,5,5,5,14,14,14,10,14,17,20,17,20,15,20,
(3,10),-1.86404 # DEPENDENCYPART_ARC
(3,11),-2.04208 # DEPENDENCYPART_ARC
(3,12),-2.52381 # DEPENDENCYPART_ARC
(3,13),-2.64573 # DEPENDENCYPART_ARC
(3,14),-2.66351 # DEPENDENCYPART_ARC
(3,15),-2.58297 # DEPENDENCYPART_ARC
(3,16),-2.39659 # DEPENDENCYPART_ARC
(3,17),-2.73824 # DEPENDENCYPART_ARC
(3,18),-2.09406 # DEPENDENCYPART_ARC
(3,19),-3.35172 # DEPENDENCYPART_ARC
(3,20),-3.43096 # DEPENDENCYPART_ARC
(3,21),-2.28629 # DEPENDENCYPART_ARC
(4,1),0.427528 # DEPENDENCYPART_ARC
(4,2),0.170977 # DEPENDENCYPART_ARC
(4,3),0.591528 # DEPENDENCYPART_ARC
(4,5),0.978691 # DEPENDENCYPART_ARC
(4,6),-0.287913 # DEPENDENCYPART_ARC
(4,7),-0.483957 # DEPENDENCYPART_ARC
(4,8),-0.813414 # DEPENDENCYPART_ARC
(4,9),-0.563197 # DEPENDENCYPART_ARC
(4,10),-1.67243 # DEPENDENCYPART_ARC
(4,11),-2.02647 # DEPENDENCYPART_ARC
(4,12),-1.71109 # DEPENDENCYPART_ARC
(4,13),-2.34187 # DEPENDENCYPART_ARC
(4,14),-1.65226 # DEPENDENCYPART_ARC
(4,15),-2.21296 # DEPENDENCYPART_ARC
(4,16),-2.62578 # DEPENDENCYPART_ARC
(4,17),-2.02511 # DEPENDENCYPART_ARC
(4,18),-1.83064 # DEPENDENCYPART_ARC
(4,19),-2.55443 # DEPENDENCYPART_ARC
(4,20),-2.6133 # DEPENDENCYPART_ARC
(4,21),-0.760118 # DEPENDENCYPART_ARC
(5,1),2.83435 # DEPENDENCYPART_ARC
(5,2),4.1689 # DEPENDENCYPART_ARC
(5,3),1.68936 # DEPENDENCYPART_ARC
(5,4),4.59821 # DEPENDENCYPART_ARC
(5,6),2.72843 # DEPENDENCYPART_ARC
(5,7),1.6635 # DEPENDENCYPART_ARC
(5,8),2.41062 # DEPENDENCYPART_ARC
(5,9),2.80037 # DEPENDENCYPART_ARC
(5,10),0.760792 # DEPENDENCYPART_ARC
(5,11),0.0123223 # DEPENDENCYPART_ARC
(5,12),1.14262 # DEPENDENCYPART_ARC
(5,13),-0.0257767 # DEPENDENCYPART_ARC
(5,14),-0.0308526 # DEPENDENCYPART_ARC
(5,15),-0.988366 # DEPENDENCYPART_ARC
(5,16),-0.570645 # DEPENDENCYPART_ARC
(5,17),-0.561624 # DEPENDENCYPART_ARC
(5,18),-1.07946 # DEPENDENCYPART_ARC
(5,19),0.267184 # DEPENDENCYPART_ARC
(5,20),0.505889 # DEPENDENCYPART_ARC
(5,21),0.932127 # DEPENDENCYPART_ARC
(6,1),-2.10167 # DEPENDENCYPART_ARC
(6,2),-1.88969 # DEPENDENCYPART_ARC
(6,3),-1.2718 # DEPENDENCYPART_ARC
(6,4),-1.37824 # DEPENDENCYPART_ARC
(6,5),-0.958666 # DEPENDENCYPART_ARC
(6,7),-0.0304643 # DEPENDENCYPART_ARC
(6,8),-0.767639 # DEPENDENCYPART_ARC
(6,9),0.454376 # DEPENDENCYPART_ARC
(6,10),-1.37648 # DEPENDENCYPART_ARC
(6,11),-1.83784 # DEPENDENCYPART_ARC
(6,12),-1.82999 # DEPENDENCYPART_ARC
(6,13),-2.32855 # DEPENDENCYPART_ARC
(6,14),-2.42802 # DEPENDENCYPART_ARC
(6,15),-1.64405 # DEPENDENCYPART_ARC
(6,16),-2.25368 # DEPENDENCYPART_ARC
(6,17),-2.65634 # DEPENDENCYPART_ARC
(6,18),-2.4735 # DEPENDENCYPART_ARC
(6,19),-2.63962 # DEPENDENCYPART_ARC
(6,20),-2.77834 # DEPENDENCYPART_ARC
(6,21),-1.60503 # DEPENDENCYPART_ARC
(7,1),-1.47858 # DEPENDENCYPART_ARC
(7,2),-0.800789 # DEPENDENCYPART_ARC
(7,3),-1.97256 # DEPENDENCYPART_ARC
(7,4),-0.159353 # DEPENDENCYPART_ARC
(7,5),-1.71142 # DEPENDENCYPART_ARC
(7,6),-0.516287 # DEPENDENCYPART_ARC
(7,8),1.88058 # DEPENDENCYPART_ARC
(7,9),0.127379 # DEPENDENCYPART_ARC
(7,10),-1.2507 # DEPENDENCYPART_ARC
(7,11),-0.709137 # DEPENDENCYPART_ARC
(7,12),-0.627834 # DEPENDENCYPART_ARC
(7,13),-1.0641 # DEPENDENCYPART_ARC
(7,14),-0.493983 # DEPENDENCYPART_ARC
(7,15),-1.70615 # DEPENDENCYPART_ARC
(7,16),-1.04558 # DEPENDENCYPART_ARC
(7,17),-1.60751 # DEPENDENCYPART_ARC
(7,18),-1.09925 # DEPENDENCYPART_ARC
(7,19),-1.79577 # DEPENDENCYPART_ARC
(7,20),-1.33245 # DEPENDENCYPART_ARC
(7,21),-0.532606 # DEPENDENCYPART_ARC
(8,1),1.06157 # DEPENDENCYPART_ARC
(8,2),0.94393 # DEPENDENCYPART_ARC
(8,3),-0.30944 # DEPENDENCYPART_ARC
(8,4),1.81651 # DEPENDENCYPART_ARC
(8,5),-0.679 # DEPENDENCYPART_ARC
(8,6),0.681306 # DEPENDENCYPART_ARC
(8,7),5.08997 # DEPENDENCYPART_ARC
(8,9),1.93914 # DEPENDENCYPART_ARC
(8,10),0.724799 # DEPENDENCYPART_ARC
(8,11),-0.0338444 # DEPENDENCYPART_ARC
(8,12),0.297188 # DEPENDENCYPART_ARC
(8,13),-0.485969 # DEPENDENCYPART_ARC
(8,14),0.516157 # DEPENDENCYPART_ARC
(8,15),-0.690827 # DEPENDENCYPART_ARC
(8,16),-0.579757 # DEPENDENCYPART_ARC
(8,17),-0.898783 # DEPENDENCYPART_ARC
(8,18),-0.0510001 # DEPENDENCYPART_ARC
(8,19),-1.39098 # DEPENDENCYPART_ARC
(8,20),-0.561916 # DEPENDENCYPART_ARC
(8,21),0.821472 # DEPENDENCYPART_ARC
(9,1),-2.25523 # DEPENDENCYPART_ARC
(9,2),-2.14085 # DEPENDENCYPART_ARC
(9,3),-1.70041 # DEPENDENCYPART_ARC
(9,4),-1.70086 # DEPENDENCYPART_ARC
(9,5),-1.47902 # DEPENDENCYPART_ARC
(9,6),0.0313585 # DEPENDENCYPART_ARC
(9,7),-1.58526 # DEPENDENCYPART_ARC
(9,8),-1.0425 # DEPENDENCYPART_ARC
(9,10),-0.796997 # DEPENDENCYPART_ARC
(9,11),-1.15531 # DEPENDENCYPART_ARC
(9,12),-1.09339 # DEPENDENCYPART_ARC
(9,13),-1.70244 # DEPENDENCYPART_ARC
(9,14),-2.00419 # DEPENDENCYPART_ARC
(9,15),-1.50215 # DEPENDENCYPART_ARC
(9,16),-2.02676 # DEPENDENCYPART_ARC
(9,17),-2.55501 # DEPENDENCYPART_ARC
(9,18),-2.22676 # DEPENDENCYPART_ARC
(9,19),-2.34863 # DEPENDENCYPART_ARC
(9,20),-2.49654 # DEPENDENCYPART_ARC
(9,21),-1.40054 # DEPENDENCYPART_ARC
(10,1),-1.71139 # DEPENDENCYPART_ARC
(10,2),-1.77403 # DEPENDENCYPART_ARC
(10,3),-1.12368 # DEPENDENCYPART_ARC
(10,4),-1.13036 # DEPENDENCYPART_ARC
(10,5),-2.16295 # DEPENDENCYPART_ARC
(10,6),-0.599415 # DEPENDENCYPART_ARC
(10,7),-0.715518 # DEPENDENCYPART_ARC
(10,8),-0.982471 # DEPENDENCYPART_ARC
(10,9),0.720007 # DEPENDENCYPART_ARC
(10,11),0.597487 # DEPENDENCYPART_ARC
(10,12),1.95392 # DEPENDENCYPART_ARC
(10,13),0.306468 # DEPENDENCYPART_ARC
(10,14),2.9867 # DEPENDENCYPART_ARC
(10,15),-0.511887 # DEPENDENCYPART_ARC
(10,16),-1.39176 # DEPENDENCYPART_ARC
(10,17),-2.04995 # DEPENDENCYPART_ARC
(10,18),-0.667637 # DEPENDENCYPART_ARC
(10,19),-1.73919 # DEPENDENCYPART_ARC
(10,20),-0.476303 # DEPENDENCYPART_ARC
(10,21),0.327232 # DEPENDENCYPART_ARC
(11,1),-3.72658 # DEPENDENCYPART_ARC
(11,2),-3.62752 # DEPENDENCYPART_ARC
(11,3),-3.49975 # DEPENDENCYPART_ARC
(11,4),-3.30189 # DEPENDENCYPART_ARC
(11,5),-3.58039 # DEPENDENCYPART_ARC
(11,6),-2.88769 # DEPENDENCYPART_ARC
(11,7),-2.86676 # DEPENDENCYPART_ARC
(11,8),-2.52155 # DEPENDENCYPART_ARC
(11,9),-2.17089 # DEPENDENCYPART_ARC
(11,10),-1.53755 # DEPENDENCYPART_ARC
(11,12),-1.10503 # DEPENDENCYPART_ARC
(11,13),-0.601403 # DEPENDENCYPART_ARC
(11,14),-1.3617 # DEPENDENCYPART_ARC
(11,15),-1.30715 # DEPENDENCYPART_ARC
(11,16),-2.69682 # DEPENDENCYPART_ARC
(11,17),-1.79022 # DEPENDENCYPART_ARC
(11,18),-2.64738 # DEPENDENCYPART_ARC
(11,19),-2.7734 # DEPENDENCYPART_ARC
(11,20),-2.77532 # DEPENDENCYPART_ARC
(11,21),-1.47337 # DEPENDENCYPART_ARC
(12,1),-4.33337 # DEPENDENCYPART_ARC
(12,2),-3.99558 # DEPENDENCYPART_ARC
(12,3),-3.26667 # DEPENDENCYPART_ARC
(12,4),-2.07421 # DEPENDENCYPART_ARC
(12,5),-4.85154 # DEPENDENCYPART_ARC
(12,6),-3.19204 # DEPENDENCYPART_ARC
(12,7),-1.6422 # DEPENDENCYPART_ARC
(12,8),-2.47497 # DEPENDENCYPART_ARC
(12,9),-1.50857 # DEPENDENCYPART_ARC
(12,10),-0.88144 # DEPENDENCYPART_ARC
(12,11),2.4791 # DEPENDENCYPART_ARC
(12,13),2.06979 # DEPENDENCYPART_ARC
(12,14),0.764289 # DEPENDENCYPART_ARC
(12,15),0.916238 # DEPENDENCYPART_ARC
(12,16),-0.217026 # DEPENDENCYPART_ARC
(12,17),-0.969884 # DEPENDENCYPART_ARC
(12,18),1.10159 # DEPENDENCYPART_ARC
(12,19),-1.03845 # DEPENDENCYPART_ARC
(12,20),-0.716973 # DEPENDENCYPART_ARC
(12,21),0.150286 # DEPENDENCYPART_ARC
(13,1),-2.33958 # DEPENDENCYPART_ARC
(13,2),-2.19 # DEPENDENCYPART_ARC
(13,3),-2.13441 # DEPENDENCYPART_ARC
(13,4),-1.53272 # DEPENDENCYPART_ARC
(13,5),-2.31634 # DEPENDENCYPART_ARC
(13,6),-1.99324 # DEPENDENCYPART_ARC
(13,7),-1.30273 # DEPENDENCYPART_ARC
(13,8),-1.13021 # DEPENDENCYPART_ARC
(13,9),-0.932593 # DEPENDENCYPART_ARC
(13,10),-0.608647 # DEPENDENCYPART_ARC
(13,11),0.690134 # DEPENDENCYPART_ARC
(13,12),1.4471 # DEPENDENCYPART_ARC
(13,14),-0.0250542 # DEPENDENCYPART_ARC
(13,15),-0.761174 # DEPENDENCYPART_ARC
(13,16),-1.53636 # DEPENDENCYPART_ARC
(13,17),-1.15154 # DEPENDENCYPART_ARC
(13,18),-0.931164 # DEPENDENCYPART_ARC
(13,19),-1.41827 # DEPENDENCYPART_ARC
(13,20),-1.57564 # DEPENDENCYPART_ARC
(13,21),-0.925741 # DEPENDENCYPART_ARC
(14,1),-0.912833 # DEPENDENCYPART_ARC
(14,2),0.0146987 # DEPENDENCYPART_ARC
(14,3),-0.360135 # DEPENDENCYPART_ARC
(14,4),1.52363 # DEPENDENCYPART_ARC
(14,5),-1.91092 # DEPENDENCYPART_ARC
(14,6),0.247606 # DEPENDENCYPART_ARC
(14,7),0.282228 # DEPENDENCYPART_ARC
(14,8),-1.17533 # DEPENDENCYPART_ARC
(14,9),0.473223 # DEPENDENCYPART_ARC
(14,10),1.1884 # DEPENDENCYPART_ARC
(14,11),4.76222 # DEPENDENCYPART_ARC
(14,12),3.83981 # DEPENDENCYPART_ARC
(14,13),3.93632 # DEPENDENCYPART_ARC
(14,15),3.24488 # DEPENDENCYPART_ARC
(14,16),0.629006 # DEPENDENCYPART_ARC
(14,17),1.02901 # DEPENDENCYPART_ARC
(14,18),1.45127 # DEPENDENCYPART_ARC
(14,19),0.779339 # DEPENDENCYPART_ARC
(14,20),0.837876 # DEPENDENCYPART_ARC
(14,21),1.86109 # DEPENDENCYPART_ARC
(15,1),-1.7581 # DEPENDENCYPART_ARC
(15,2),-1.75889 # DEPENDENCYPART_ARC
(15,3),-1.42583 # DEPENDENCYPART_ARC
(15,4),-1.68226 # DEPENDENCYPART_ARC
(15,5),-2.35734 # DEPENDENCYPART_ARC
(15,6),-1.26167 # DEPENDENCYPART_ARC
(15,7),-0.847786 # DEPENDENCYPART_ARC
(15,8),-0.927194 # DEPENDENCYPART_ARC
(15,9),-0.783702 # DEPENDENCYPART_ARC
(15,10),-0.910347 # DEPENDENCYPART_ARC
(15,11),-0.432357 # DEPENDENCYPART_ARC
(15,12),0.0185469 # DEPENDENCYPART_ARC
(15,13),-0.161516 # DEPENDENCYPART_ARC
(15,14),0.882252 # DEPENDENCYPART_ARC
(15,16),0.409661 # DEPENDENCYPART_ARC
(15,17),1.69855 # DEPENDENCYPART_ARC
(15,18),0.0698547 # DEPENDENCYPART_ARC
(15,19),1.37407 # DEPENDENCYPART_ARC
(15,20),2.67957 # DEPENDENCYPART_ARC
(15,21),0.626457 # DEPENDENCYPART_ARC
(16,1),-3.97668 # DEPENDENCYPART_ARC
(16,2),-3.88766 # DEPENDENCYPART_ARC
(16,3),-3.56847 # DEPENDENCYPART_ARC
(16,4),-3.51334 # DEPENDENCYPART_ARC
(16,5),-3.91773 # DEPENDENCYPART_ARC
(16,6),-3.1595 # DEPENDENCYPART_ARC
(16,7),-3.2056 # DEPENDENCYPART_ARC
(16,8),-3.11194 # DEPENDENCYPART_ARC
(16,9),-2.82961 # DEPENDENCYPART_ARC
(16,10),-2.55123 # DEPENDENCYPART_ARC
(16,11),-1.87335 # DEPENDENCYPART_ARC
(16,12),-2.42619 # DEPENDENCYPART_ARC
(16,13),-1.6549 # DEPENDENCYPART_ARC
(16,14),-2.29434 # DEPENDENCYPART_ARC
(16,15),-0.958211 # DEPENDENCYPART_ARC
(16,17),-0.102648 # DEPENDENCYPART_ARC
(16,18),-1.4687 # DEPENDENCYPART_ARC
(16,19),-1.96749 # DEPENDENCYPART_ARC
(16,20),-2.16077 # DEPENDENCYPART_ARC
(16,21),-1.59009 # DEPENDENCYPART_ARC
(17,1),-4.08948 # DEPENDENCYPART_ARC
(17,2),-3.41962 # DEPENDENCYPART_ARC
(17,3),-2.06695 # DEPENDENCYPART_ARC
(17,4),-1.80581 # DEPENDENCYPART_ARC
(17,5),-5.26172 # DEPENDENCYPART_ARC
(17,6),-2.48169 # DEPENDENCYPART_ARC
(17,7),-2.84863 # DEPENDENCYPART_ARC
(17,8),-4.11852 # DEPENDENCYPART_ARC
(17,9),-2.16439 # DEPENDENCYPART_ARC
(17,10),-0.804217 # DEPENDENCYPART_ARC
(17,11),-0.0137133 # DEPENDENCYPART_ARC
(17,12),-0.467747 # DEPENDENCYPART_ARC
(17,13),0.00695761 # DEPENDENCYPART_ARC
(17,14),-0.897848 # DEPENDENCYPART_ARC
(17,15),0.375522 # DEPENDENCYPART_ARC
(17,16),5.17659 # DEPENDENCYPART_ARC
(17,18),3.96462 # DEPENDENCYPART_ARC
(17,19),0.477744 # DEPENDENCYPART_ARC
(17,20),0.727906 # DEPENDENCYPART_ARC
(17,21),0.938859 # DEPENDENCYPART_ARC
(18,1),-1.99839 # DEPENDENCYPART_ARC
(18,2),-2.00306 # DEPENDENCYPART_ARC
(18,3),-2.0089 # DEPENDENCYPART_ARC
(18,4),-2.14685 # DEPENDENCYPART_ARC
(18,5),-3.14617 # DEPENDENCYPART_ARC
(18,6),-2.07508 # DEPENDENCYPART_ARC
(18,7),-1.46321 # DEPENDENCYPART_ARC
(18,8),-1.23509 # DEPENDENCYPART_ARC
(18,9),-1.49861 # DEPENDENCYPART_ARC
(18,10),-1.90549 # DEPENDENCYPART_ARC
(18,11),-0.383211 # DEPENDENCYPART_ARC
(18,12),-0.907909 # DEPENDENCYPART_ARC
(18,13),-0.888259 # DEPENDENCYPART_ARC
(18,14),-1.14781 # DEPENDENCYPART_ARC
(18,15),-0.5686 # DEPENDENCYPART_ARC
(18,16),1.1426 # DEPENDENCYPART_ARC
(18,17),0.0815893 # DEPENDENCYPART_ARC
(18,19),-0.0824 # DEPENDENCYPART_ARC
(18,20),-0.644821 # DEPENDENCYPART_ARC
(18,21),-0.598348 # DEPENDENCYPART_ARC
(19,1),-4.49279 # DEPENDENCYPART_ARC
(19,2),-4.57192 # DEPENDENCYPART_ARC
(19,3),-3.37305 # DEPENDENCYPART_ARC
(19,4),-2.04568 # DEPENDENCYPART_ARC
(19,5),-4.60314 # DEPENDENCYPART_ARC
(19,6),-3.87085 # DEPENDENCYPART_ARC
(19,7),-2.95853 # DEPENDENCYPART_ARC
(19,8),-3.84455 # DEPENDENCYPART_ARC
(19,9),-2.62559 # DEPENDENCYPART_ARC
(19,10),-2.13688 # DEPENDENCYPART_ARC
(19,11),-0.56699 # DEPENDENCYPART_ARC
(19,12),-0.586799 # DEPENDENCYPART_ARC
(19,13),-0.843919 # DEPENDENCYPART_ARC
(19,14),-0.861442 # DEPENDENCYPART_ARC
(19,15),-0.769501 # DEPENDENCYPART_ARC
(19,16),1.59743 # DEPENDENCYPART_ARC
(19,17),1.73681 # DEPENDENCYPART_ARC
(19,18),0.415242 # DEPENDENCYPART_ARC
(19,20),1.54429 # DEPENDENCYPART_ARC
(19,21),-0.329245 # DEPENDENCYPART_ARC
(20,1),-1.43902 # DEPENDENCYPART_ARC
(20,2),-1.79868 # DEPENDENCYPART_ARC
(20,3),-1.01237 # DEPENDENCYPART_ARC
(20,4),0.6223 # DEPENDENCYPART_ARC
(20,5),-2.64491 # DEPENDENCYPART_ARC
(20,6),-1.80467 # DEPENDENCYPART_ARC
(20,7),0.216934 # DEPENDENCYPART_ARC
(20,8),-1.73742 # DEPENDENCYPART_ARC
(20,9),-0.802657 # DEPENDENCYPART_ARC
(20,10),-0.0938165 # DEPENDENCYPART_ARC
(20,11),2.06604 # DEPENDENCYPART_ARC
(20,12),1.35591 # DEPENDENCYPART_ARC
(20,13),1.07573 # DEPENDENCYPART_ARC
(20,14),0.442554 # DEPENDENCYPART_ARC
(20,15),1.20559 # DEPENDENCYPART_ARC
(20,16),3.58813 # DEPENDENCYPART_ARC
(20,17),4.0371 # DEPENDENCYPART_ARC
(20,18),2.17059 # DEPENDENCYPART_ARC
(20,19),5.16847 # DEPENDENCYPART_ARC
(20,21),1.90262 # DEPENDENCYPART_ARC
(21,1),-0.756264 # DEPENDENCYPART_ARC
(21,2),-0.704062 # DEPENDENCYPART_ARC
(21,3),-2.44341 # DEPENDENCYPART_ARC
(21,4),-2.34253 # DEPENDENCYPART_ARC
(21,5),-2.86461 # DEPENDENCYPART_ARC
(21,6),-0.615675 # DEPENDENCYPART_ARC
(21,7),-0.580058 # DEPENDENCYPART_ARC
(21,8),-0.477796 # DEPENDENCYPART_ARC
(21,9),0.012078 # DEPENDENCYPART_ARC
(21,10),0.291453 # DEPENDENCYPART_ARC
(21,11),-1.18484 # DEPENDENCYPART_ARC
(21,12),-0.57269 # DEPENDENCYPART_ARC
(21,13),-1.64804 # DEPENDENCYPART_ARC
(21,14),-1.8177 # DEPENDENCYPART_ARC
(21,15),-0.530723 # DEPENDENCYPART_ARC
(21,16),-0.59883 # DEPENDENCYPART_ARC
(21,17),-1.29106 # DEPENDENCYPART_ARC
(21,18),-0.572296 # DEPENDENCYPART_ARC
(21,19),-0.456726 # DEPENDENCYPART_ARC
(21,20),-0.0548571 # DEPENDENCYPART_ARC
