# _root_ Commodities : Dow Jones futures index 129.72 , off 0.15 ; spot index 130.16 , up 0.91 .
#goldHeads=0,1,6,6,6,1,6,7,7,9,6,13,6,13,14,14,16,1,
#predictedHeads=0,1,6,6,6,1,6,6,13,9,6,13,6,13,13,13,16,1,
(9,11),0.907966 # DEPENDENCYPART_ARC
(9,12),1.2116 # DEPENDENCYPART_ARC
(9,13),0.71466 # DEPENDENCYPART_ARC
(9,14),0.292408 # DEPENDENCYPART_ARC
(9,15),0.279645 # DEPENDENCYPART_ARC
(9,16),-0.29018 # DEPENDENCYPART_ARC
(9,17),-0.38773 # DEPENDENCYPART_ARC
(9,18),0.427237 # DEPENDENCYPART_ARC
(10,1),-1.59333 # DEPENDENCYPART_ARC
(10,2),-1.09715 # DEPENDENCYPART_ARC
(10,3),-1.22746 # DEPENDENCYPART_ARC
(10,4),-1.11782 # DEPENDENCYPART_ARC
(10,5),-0.877504 # DEPENDENCYPART_ARC
(10,6),-0.833925 # DEPENDENCYPART_ARC
(10,7),0.648403 # DEPENDENCYPART_ARC
(10,8),0.40501 # DEPENDENCYPART_ARC
(10,9),1.4685 # DEPENDENCYPART_ARC
(10,11),0.340494 # DEPENDENCYPART_ARC
(10,12),0.455377 # DEPENDENCYPART_ARC
(10,13),-0.401717 # DEPENDENCYPART_ARC
(10,14),-0.663458 # DEPENDENCYPART_ARC
(10,15),-0.746498 # DEPENDENCYPART_ARC
(10,16),-0.8811 # DEPENDENCYPART_ARC
(10,17),-1.12439 # DEPENDENCYPART_ARC
(10,18),-0.52573 # DEPENDENCYPART_ARC
(11,1),-2.59437 # DEPENDENCYPART_ARC
(11,2),-1.41984 # DEPENDENCYPART_ARC
(11,3),-1.47347 # DEPENDENCYPART_ARC
(11,4),-1.3759 # DEPENDENCYPART_ARC
(11,5),-2.05969 # DEPENDENCYPART_ARC
(11,6),-1.85443 # DEPENDENCYPART_ARC
(11,7),-1.35159 # DEPENDENCYPART_ARC
(11,8),-0.361756 # DEPENDENCYPART_ARC
(11,9),-0.901993 # DEPENDENCYPART_ARC
(11,10),-0.366474 # DEPENDENCYPART_ARC
(11,12),-0.497992 # DEPENDENCYPART_ARC
(11,13),-1.04379 # DEPENDENCYPART_ARC
(11,14),-1.63709 # DEPENDENCYPART_ARC
(11,15),-1.13239 # DEPENDENCYPART_ARC
(11,16),-1.84106 # DEPENDENCYPART_ARC
(11,17),-2.40248 # DEPENDENCYPART_ARC
(11,18),-0.935344 # DEPENDENCYPART_ARC
(12,1),-3.88128 # DEPENDENCYPART_ARC
(12,2),-3.29645 # DEPENDENCYPART_ARC
(12,3),-1.6054 # DEPENDENCYPART_ARC
(12,4),-1.98062 # DEPENDENCYPART_ARC
(12,5),-2.17498 # DEPENDENCYPART_ARC
(12,6),-2.28256 # DEPENDENCYPART_ARC
(12,7),-1.56494 # DEPENDENCYPART_ARC
(12,8),-1.05486 # DEPENDENCYPART_ARC
(12,9),-0.49268 # DEPENDENCYPART_ARC
(12,10),-0.242269 # DEPENDENCYPART_ARC
(12,11),-0.872316 # DEPENDENCYPART_ARC
(12,13),1.45872 # DEPENDENCYPART_ARC
(12,14),0.600598 # DEPENDENCYPART_ARC
(12,15),0.609732 # DEPENDENCYPART_ARC
(12,16),-0.133529 # DEPENDENCYPART_ARC
(12,17),-0.38575 # DEPENDENCYPART_ARC
(12,18),-0.0688621 # DEPENDENCYPART_ARC
(13,1),-1.91576 # DEPENDENCYPART_ARC
(13,2),-1.69001 # DEPENDENCYPART_ARC
(13,3),1.5929 # DEPENDENCYPART_ARC
(13,4),0.904273 # DEPENDENCYPART_ARC
(13,5),0.323686 # DEPENDENCYPART_ARC
(13,6),-0.0824945 # DEPENDENCYPART_ARC
(13,7),0.00340072 # DEPENDENCYPART_ARC
(13,8),0.669567 # DEPENDENCYPART_ARC
(13,9),1.75914 # DEPENDENCYPART_ARC
(13,10),1.18349 # DEPENDENCYPART_ARC
(13,11),0.665045 # DEPENDENCYPART_ARC
(13,12),3.9722 # DEPENDENCYPART_ARC
(13,14),2.70601 # DEPENDENCYPART_ARC
(13,15),1.59126 # DEPENDENCYPART_ARC
(13,16),1.54461 # DEPENDENCYPART_ARC
(13,17),0.990676 # DEPENDENCYPART_ARC
(13,18),1.26158 # DEPENDENCYPART_ARC
(14,1),-1.50247 # DEPENDENCYPART_ARC
(14,2),-1.14859 # DEPENDENCYPART_ARC
(14,3),-1.19801 # DEPENDENCYPART_ARC
(14,4),-0.934107 # DEPENDENCYPART_ARC
(14,5),-0.970643 # DEPENDENCYPART_ARC
(14,6),-1.2308 # DEPENDENCYPART_ARC
(14,7),0.0889513 # DEPENDENCYPART_ARC
(14,8),0.0238545 # DEPENDENCYPART_ARC
(14,9),0.415081 # DEPENDENCYPART_ARC
(14,10),0.421776 # DEPENDENCYPART_ARC
(14,11),0.461358 # DEPENDENCYPART_ARC
(14,12),0.559145 # DEPENDENCYPART_ARC
(14,13),1.32566 # DEPENDENCYPART_ARC
(14,15),1.4443 # DEPENDENCYPART_ARC
(14,16),1.11206 # DEPENDENCYPART_ARC
(14,17),0.378451 # DEPENDENCYPART_ARC
(14,18),0.295608 # DEPENDENCYPART_ARC
(15,1),-2.62846 # DEPENDENCYPART_ARC
(15,2),-1.85403 # DEPENDENCYPART_ARC
(15,3),-2.55989 # DEPENDENCYPART_ARC
(15,4),-2.47528 # DEPENDENCYPART_ARC
(15,5),-2.0517 # DEPENDENCYPART_ARC
(15,6),-1.37433 # DEPENDENCYPART_ARC
(15,7),-1.95116 # DEPENDENCYPART_ARC
(15,8),-0.332332 # DEPENDENCYPART_ARC
(15,9),-1.57429 # DEPENDENCYPART_ARC
(15,10),-1.58009 # DEPENDENCYPART_ARC
(15,11),-1.04912 # DEPENDENCYPART_ARC
(15,12),-0.932826 # DEPENDENCYPART_ARC
(15,13),-1.36291 # DEPENDENCYPART_ARC
(15,14),-0.440715 # DEPENDENCYPART_ARC
(15,16),-0.129094 # DEPENDENCYPART_ARC
(15,17),-0.453769 # DEPENDENCYPART_ARC
(15,18),-0.506162 # DEPENDENCYPART_ARC
(16,1),-2.51368 # DEPENDENCYPART_ARC
(16,2),-1.03582 # DEPENDENCYPART_ARC
(16,3),-2.12603 # DEPENDENCYPART_ARC
(16,4),-2.11512 # DEPENDENCYPART_ARC
(16,5),-2.09717 # DEPENDENCYPART_ARC
(16,6),-2.14625 # DEPENDENCYPART_ARC
(16,7),-1.33166 # DEPENDENCYPART_ARC
(16,8),-1.29847 # DEPENDENCYPART_ARC
(16,9),-0.406501 # DEPENDENCYPART_ARC
(16,10),-0.972579 # DEPENDENCYPART_ARC
(16,11),-0.320776 # DEPENDENCYPART_ARC
(16,12),-1.13963 # DEPENDENCYPART_ARC
(16,13),-1.02354 # DEPENDENCYPART_ARC
(16,14),-0.0981188 # DEPENDENCYPART_ARC
(16,15),0.148511 # DEPENDENCYPART_ARC
(16,17),2.12934 # DEPENDENCYPART_ARC
(16,18),0.353572 # DEPENDENCYPART_ARC
(17,1),-3.50869 # DEPENDENCYPART_ARC
(17,2),-2.98351 # DEPENDENCYPART_ARC
(17,3),-3.32185 # DEPENDENCYPART_ARC
(17,4),-3.2019 # DEPENDENCYPART_ARC
(17,5),-3.02678 # DEPENDENCYPART_ARC
(17,6),-3.37575 # DEPENDENCYPART_ARC
(17,7),-1.90992 # DEPENDENCYPART_ARC
(17,8),-1.69717 # DEPENDENCYPART_ARC
(17,9),-1.72992 # DEPENDENCYPART_ARC
(17,10),-1.91143 # DEPENDENCYPART_ARC
(17,11),-1.8818 # DEPENDENCYPART_ARC
(17,12),-2.03608 # DEPENDENCYPART_ARC
(17,13),-1.82764 # DEPENDENCYPART_ARC
(17,14),-0.507821 # DEPENDENCYPART_ARC
(17,15),-0.309083 # DEPENDENCYPART_ARC
(17,16),0.257631 # DEPENDENCYPART_ARC
(17,18),-0.234212 # DEPENDENCYPART_ARC
(18,1),-1.91276 # DEPENDENCYPART_ARC
(18,2),-0.867899 # DEPENDENCYPART_ARC
(18,3),-2.05383 # DEPENDENCYPART_ARC
(18,4),-2.13029 # DEPENDENCYPART_ARC
(18,5),-1.462 # DEPENDENCYPART_ARC
(18,6),-2.31338 # DEPENDENCYPART_ARC
(18,7),-2.11271 # DEPENDENCYPART_ARC
(18,8),-1.06442 # DEPENDENCYPART_ARC
(18,9),-1.73772 # DEPENDENCYPART_ARC
(18,10),-1.8527 # DEPENDENCYPART_ARC
(18,11),-0.00697089 # DEPENDENCYPART_ARC
(18,12),-1.29059 # DEPENDENCYPART_ARC
(18,13),-1.80245 # DEPENDENCYPART_ARC
(18,14),-1.47285 # DEPENDENCYPART_ARC
(18,15),-0.0711655 # DEPENDENCYPART_ARC
(18,16),-1.15584 # DEPENDENCYPART_ARC
(18,17),-0.964382 # DEPENDENCYPART_ARC
