# _root_ But then it shot upward 7 1\/2 as Goldman , Sachs & Co. stepped in and bought , traders said .
#goldHeads=4,4,4,20,4,7,5,4,14,9,9,11,12,8,14,14,16,20,20,0,20,
#predictedHeads=4,4,4,20,4,7,5,4,8,9,9,11,12,12,14,14,16,20,20,0,20,
(12,13),5.44085 # DEPENDENCYPART_ARC
(12,14),1.66119 # DEPENDENCYPART_ARC
(12,15),0.37813 # DEPENDENCYPART_ARC
(12,16),1.34625 # DEPENDENCYPART_ARC
(12,17),0.703156 # DEPENDENCYPART_ARC
(12,18),0.960537 # DEPENDENCYPART_ARC
(12,19),-0.268749 # DEPENDENCYPART_ARC
(12,20),-0.495163 # DEPENDENCYPART_ARC
(12,21),-0.0692258 # DEPENDENCYPART_ARC
(13,1),-5.30288 # DEPENDENCYPART_ARC
(13,2),-4.65794 # DEPENDENCYPART_ARC
(13,3),-3.89639 # DEPENDENCYPART_ARC
(13,4),-3.99819 # DEPENDENCYPART_ARC
(13,5),-3.83015 # DEPENDENCYPART_ARC
(13,6),-3.30879 # DEPENDENCYPART_ARC
(13,7),-3.68249 # DEPENDENCYPART_ARC
(13,8),-3.29417 # DEPENDENCYPART_ARC
(13,9),-3.3852 # DEPENDENCYPART_ARC
(13,10),-1.20993 # DEPENDENCYPART_ARC
(13,11),-2.20001 # DEPENDENCYPART_ARC
(13,12),-1.13794 # DEPENDENCYPART_ARC
(13,14),-0.986375 # DEPENDENCYPART_ARC
(13,15),-1.40421 # DEPENDENCYPART_ARC
(13,16),-1.95213 # DEPENDENCYPART_ARC
(13,17),-1.78248 # DEPENDENCYPART_ARC
(13,18),-1.75309 # DEPENDENCYPART_ARC
(13,19),-2.88318 # DEPENDENCYPART_ARC
(13,20),-2.82913 # DEPENDENCYPART_ARC
(13,21),-1.69892 # DEPENDENCYPART_ARC
(14,1),1.4068 # DEPENDENCYPART_ARC
(14,2),1.00297 # DEPENDENCYPART_ARC
(14,3),1.07094 # DEPENDENCYPART_ARC
(14,4),0.894779 # DEPENDENCYPART_ARC
(14,5),0.6803 # DEPENDENCYPART_ARC
(14,6),0.338425 # DEPENDENCYPART_ARC
(14,7),0.759952 # DEPENDENCYPART_ARC
(14,8),0.844097 # DEPENDENCYPART_ARC
(14,9),1.04894 # DEPENDENCYPART_ARC
(14,10),3.01797 # DEPENDENCYPART_ARC
(14,11),2.71987 # DEPENDENCYPART_ARC
(14,12),1.50131 # DEPENDENCYPART_ARC
(14,13),2.32987 # DEPENDENCYPART_ARC
(14,15),3.32956 # DEPENDENCYPART_ARC
(14,16),4.20026 # DEPENDENCYPART_ARC
(14,17),1.47588 # DEPENDENCYPART_ARC
(14,18),1.95186 # DEPENDENCYPART_ARC
(14,19),1.28552 # DEPENDENCYPART_ARC
(14,20),0.263584 # DEPENDENCYPART_ARC
(14,21),5.5083 # DEPENDENCYPART_ARC
(15,1),-1.67203 # DEPENDENCYPART_ARC
(15,2),-1.24633 # DEPENDENCYPART_ARC
(15,3),-1.97714 # DEPENDENCYPART_ARC
(15,4),-1.42534 # DEPENDENCYPART_ARC
(15,5),-0.798447 # DEPENDENCYPART_ARC
(15,6),-0.82071 # DEPENDENCYPART_ARC
(15,7),-0.883946 # DEPENDENCYPART_ARC
(15,8),-0.518162 # DEPENDENCYPART_ARC
(15,9),-0.92312 # DEPENDENCYPART_ARC
(15,10),-0.286137 # DEPENDENCYPART_ARC
(15,11),-0.763278 # DEPENDENCYPART_ARC
(15,12),-0.331642 # DEPENDENCYPART_ARC
(15,13),0.0753302 # DEPENDENCYPART_ARC
(15,14),0.504906 # DEPENDENCYPART_ARC
(15,16),1.7351 # DEPENDENCYPART_ARC
(15,17),0.827342 # DEPENDENCYPART_ARC
(15,18),0.624229 # DEPENDENCYPART_ARC
(15,19),-0.182026 # DEPENDENCYPART_ARC
(15,20),-0.00229658 # DEPENDENCYPART_ARC
(15,21),1.78869 # DEPENDENCYPART_ARC
(16,1),-2.5778 # DEPENDENCYPART_ARC
(16,2),-2.82221 # DEPENDENCYPART_ARC
(16,3),-2.39087 # DEPENDENCYPART_ARC
(16,4),-1.52188 # DEPENDENCYPART_ARC
(16,5),-2.49349 # DEPENDENCYPART_ARC
(16,6),-1.97795 # DEPENDENCYPART_ARC
(16,7),-1.90778 # DEPENDENCYPART_ARC
(16,8),-1.34048 # DEPENDENCYPART_ARC
(16,9),-0.555784 # DEPENDENCYPART_ARC
(16,10),-1.58999 # DEPENDENCYPART_ARC
(16,11),0.343336 # DEPENDENCYPART_ARC
(16,12),-1.37619 # DEPENDENCYPART_ARC
(16,13),0.249028 # DEPENDENCYPART_ARC
(16,14),-0.523835 # DEPENDENCYPART_ARC
(16,15),-0.276612 # DEPENDENCYPART_ARC
(16,17),3.5177 # DEPENDENCYPART_ARC
(16,18),1.23173 # DEPENDENCYPART_ARC
(16,19),0.0390928 # DEPENDENCYPART_ARC
(16,20),0.942215 # DEPENDENCYPART_ARC
(16,21),-0.201127 # DEPENDENCYPART_ARC
(17,1),-2.15571 # DEPENDENCYPART_ARC
(17,2),-1.54541 # DEPENDENCYPART_ARC
(17,3),-0.982463 # DEPENDENCYPART_ARC
(17,4),-1.75418 # DEPENDENCYPART_ARC
(17,5),-1.84168 # DEPENDENCYPART_ARC
(17,6),-1.59839 # DEPENDENCYPART_ARC
(17,7),-1.26611 # DEPENDENCYPART_ARC
(17,8),-1.91393 # DEPENDENCYPART_ARC
(17,9),-1.06909 # DEPENDENCYPART_ARC
(17,10),-1.4812 # DEPENDENCYPART_ARC
(17,11),-0.536946 # DEPENDENCYPART_ARC
(17,12),-1.96308 # DEPENDENCYPART_ARC
(17,13),-1.23455 # DEPENDENCYPART_ARC
(17,14),-0.798605 # DEPENDENCYPART_ARC
(17,15),-0.302316 # DEPENDENCYPART_ARC
(17,16),0.10474 # DEPENDENCYPART_ARC
(17,18),2.17495 # DEPENDENCYPART_ARC
(17,19),1.53958 # DEPENDENCYPART_ARC
(17,20),1.01862 # DEPENDENCYPART_ARC
(17,21),-0.451301 # DEPENDENCYPART_ARC
(18,1),-3.83546 # DEPENDENCYPART_ARC
(18,2),-4.08834 # DEPENDENCYPART_ARC
(18,3),-3.65258 # DEPENDENCYPART_ARC
(18,4),-3.14213 # DEPENDENCYPART_ARC
(18,5),-3.74496 # DEPENDENCYPART_ARC
(18,6),-3.22831 # DEPENDENCYPART_ARC
(18,7),-3.12484 # DEPENDENCYPART_ARC
(18,8),-2.74063 # DEPENDENCYPART_ARC
(18,9),-3.1376 # DEPENDENCYPART_ARC
(18,10),-1.94722 # DEPENDENCYPART_ARC
(18,11),-2.84724 # DEPENDENCYPART_ARC
(18,12),-2.7384 # DEPENDENCYPART_ARC
(18,13),-2.80092 # DEPENDENCYPART_ARC
(18,14),-2.33793 # DEPENDENCYPART_ARC
(18,15),-2.34628 # DEPENDENCYPART_ARC
(18,16),-1.98351 # DEPENDENCYPART_ARC
(18,17),-1.41513 # DEPENDENCYPART_ARC
(18,19),-0.36078 # DEPENDENCYPART_ARC
(18,20),-0.464406 # DEPENDENCYPART_ARC
(18,21),-0.991433 # DEPENDENCYPART_ARC
(19,1),-2.62064 # DEPENDENCYPART_ARC
(19,2),-3.9846 # DEPENDENCYPART_ARC
(19,3),-2.7942 # DEPENDENCYPART_ARC
(19,4),-2.18433 # DEPENDENCYPART_ARC
(19,5),-2.48568 # DEPENDENCYPART_ARC
(19,6),-2.68431 # DEPENDENCYPART_ARC
(19,7),-2.08146 # DEPENDENCYPART_ARC
(19,8),-1.58827 # DEPENDENCYPART_ARC
(19,9),-4.06811 # DEPENDENCYPART_ARC
(19,10),-2.28851 # DEPENDENCYPART_ARC
(19,11),-3.3654 # DEPENDENCYPART_ARC
(19,12),-1.24634 # DEPENDENCYPART_ARC
(19,13),-2.41447 # DEPENDENCYPART_ARC
(19,14),-0.916873 # DEPENDENCYPART_ARC
(19,15),-0.672707 # DEPENDENCYPART_ARC
(19,16),-0.49835 # DEPENDENCYPART_ARC
(19,17),0.0844816 # DEPENDENCYPART_ARC
(19,18),0.821073 # DEPENDENCYPART_ARC
(19,20),1.50062 # DEPENDENCYPART_ARC
(19,21),0.519682 # DEPENDENCYPART_ARC
(20,1),0.179961 # DEPENDENCYPART_ARC
(20,2),0.510336 # DEPENDENCYPART_ARC
(20,3),0.284625 # DEPENDENCYPART_ARC
(20,4),0.880282 # DEPENDENCYPART_ARC
(20,5),-0.290079 # DEPENDENCYPART_ARC
(20,6),-0.468484 # DEPENDENCYPART_ARC
(20,7),0.139702 # DEPENDENCYPART_ARC
(20,8),-0.376933 # DEPENDENCYPART_ARC
(20,9),-0.747981 # DEPENDENCYPART_ARC
(20,10),1.02497 # DEPENDENCYPART_ARC
(20,11),0.209092 # DEPENDENCYPART_ARC
(20,12),-0.346672 # DEPENDENCYPART_ARC
(20,13),-1.10135 # DEPENDENCYPART_ARC
(20,14),1.27214 # DEPENDENCYPART_ARC
(20,15),-0.407748 # DEPENDENCYPART_ARC
(20,16),0.3386 # DEPENDENCYPART_ARC
(20,17),1.6843 # DEPENDENCYPART_ARC
(20,18),3.75058 # DEPENDENCYPART_ARC
(20,19),4.10565 # DEPENDENCYPART_ARC
(20,21),7.25516 # DEPENDENCYPART_ARC
(21,1),-3.00801 # DEPENDENCYPART_ARC
(21,2),-2.90346 # DEPENDENCYPART_ARC
(21,3),-2.32344 # DEPENDENCYPART_ARC
(21,4),-2.6314 # DEPENDENCYPART_ARC
(21,5),-2.86952 # DEPENDENCYPART_ARC
(21,6),-2.8859 # DEPENDENCYPART_ARC
(21,7),-2.81915 # DEPENDENCYPART_ARC
(21,8),-1.80525 # DEPENDENCYPART_ARC
(21,9),-2.49199 # DEPENDENCYPART_ARC
(21,10),-1.66519 # DEPENDENCYPART_ARC
(21,11),-2.32258 # DEPENDENCYPART_ARC
(21,12),-2.07083 # DEPENDENCYPART_ARC
(21,13),-2.03669 # DEPENDENCYPART_ARC
(21,14),-1.47355 # DEPENDENCYPART_ARC
(21,15),-1.61518 # DEPENDENCYPART_ARC
(21,16),-2.03468 # DEPENDENCYPART_ARC
(21,17),-1.5841 # DEPENDENCYPART_ARC
(21,18),-0.336176 # DEPENDENCYPART_ARC
(21,19),-2.02226 # DEPENDENCYPART_ARC
(21,20),-0.970879 # DEPENDENCYPART_ARC
