# _root_ `` We 're encouraged that talks are scheduled again but beyond that , we have made no expression of expectations , '' a Boeing spokesman said .
#goldHeads=26,3,26,3,4,7,5,7,8,3,15,11,15,15,10,15,18,16,18,19,26,26,25,25,26,0,26,
#predictedHeads=26,3,26,3,4,7,5,7,8,5,10,11,15,15,10,15,18,16,18,19,26,26,25,25,26,0,26,
(1,27),-3.79512 # DEPENDENCYPART_ARC
(2,1),-0.31855 # DEPENDENCYPART_ARC
(2,3),0.809681 # DEPENDENCYPART_ARC
(2,4),-0.137853 # DEPENDENCYPART_ARC
(2,5),0.300064 # DEPENDENCYPART_ARC
(2,6),-0.0562219 # DEPENDENCYPART_ARC
(2,7),-0.502852 # DEPENDENCYPART_ARC
(2,8),-1.01424 # DEPENDENCYPART_ARC
(2,9),-0.896717 # DEPENDENCYPART_ARC
(2,10),-0.419052 # DEPENDENCYPART_ARC
(2,11),-0.182643 # DEPENDENCYPART_ARC
(2,12),-1.00401 # DEPENDENCYPART_ARC
(2,13),-0.208377 # DEPENDENCYPART_ARC
(2,14),-1.12452 # DEPENDENCYPART_ARC
(2,15),-1.60129 # DEPENDENCYPART_ARC
(2,16),-1.93552 # DEPENDENCYPART_ARC
(2,17),-1.58129 # DEPENDENCYPART_ARC
(2,18),-1.42788 # DEPENDENCYPART_ARC
(2,19),-1.41875 # DEPENDENCYPART_ARC
(2,20),-1.98939 # DEPENDENCYPART_ARC
(2,21),-0.770393 # DEPENDENCYPART_ARC
(2,22),-1.58161 # DEPENDENCYPART_ARC
(2,23),-2.16838 # DEPENDENCYPART_ARC
(2,24),-2.25476 # DEPENDENCYPART_ARC
(2,25),-2.00205 # DEPENDENCYPART_ARC
(2,26),-2.32992 # DEPENDENCYPART_ARC
(2,27),-1.79216 # DEPENDENCYPART_ARC
(3,1),2.20959 # DEPENDENCYPART_ARC
(3,2),4.3429 # DEPENDENCYPART_ARC
(3,4),3.75886 # DEPENDENCYPART_ARC
(3,5),1.3687 # DEPENDENCYPART_ARC
(3,6),0.385705 # DEPENDENCYPART_ARC
(3,7),1.30334 # DEPENDENCYPART_ARC
(3,8),1.32021 # DEPENDENCYPART_ARC
(3,9),0.42699 # DEPENDENCYPART_ARC
(3,10),1.22453 # DEPENDENCYPART_ARC
(3,11),0.100913 # DEPENDENCYPART_ARC
(3,12),-0.524509 # DEPENDENCYPART_ARC
(3,13),0.93797 # DEPENDENCYPART_ARC
(3,14),-0.849112 # DEPENDENCYPART_ARC
(3,15),-0.14595 # DEPENDENCYPART_ARC
(3,16),-0.154427 # DEPENDENCYPART_ARC
(3,17),-1.24528 # DEPENDENCYPART_ARC
(3,18),-2.58656 # DEPENDENCYPART_ARC
(3,19),-1.70136 # DEPENDENCYPART_ARC
(3,20),-2.25407 # DEPENDENCYPART_ARC
(3,21),0.131536 # DEPENDENCYPART_ARC
(3,22),1.35846 # DEPENDENCYPART_ARC
(3,23),-1.93365 # DEPENDENCYPART_ARC
(3,24),-0.197532 # DEPENDENCYPART_ARC
(3,25),-4.21676 # DEPENDENCYPART_ARC
(3,26),-1.39248 # DEPENDENCYPART_ARC
(3,27),3.8545 # DEPENDENCYPART_ARC
(4,1),0.265845 # DEPENDENCYPART_ARC
(4,2),0.751652 # DEPENDENCYPART_ARC
(4,3),0.54783 # DEPENDENCYPART_ARC
(4,5),2.71314 # DEPENDENCYPART_ARC
(4,6),1.10666 # DEPENDENCYPART_ARC
(4,7),1.00231 # DEPENDENCYPART_ARC
(4,8),0.416034 # DEPENDENCYPART_ARC
(4,9),0.446481 # DEPENDENCYPART_ARC
(4,10),0.518648 # DEPENDENCYPART_ARC
(4,11),0.223286 # DEPENDENCYPART_ARC
(4,12),-1.28215 # DEPENDENCYPART_ARC
(4,13),0.0327521 # DEPENDENCYPART_ARC
(4,14),-0.503492 # DEPENDENCYPART_ARC
(4,15),-0.5598 # DEPENDENCYPART_ARC
(4,16),-1.02054 # DEPENDENCYPART_ARC
(4,17),-1.54201 # DEPENDENCYPART_ARC
(4,18),-1.96879 # DEPENDENCYPART_ARC
(4,19),-2.20913 # DEPENDENCYPART_ARC
(4,20),-2.43731 # DEPENDENCYPART_ARC
(4,21),-0.588599 # DEPENDENCYPART_ARC
(4,22),0.185682 # DEPENDENCYPART_ARC
(4,23),-1.85722 # DEPENDENCYPART_ARC
(4,24),-0.954526 # DEPENDENCYPART_ARC
(4,25),-3.98986 # DEPENDENCYPART_ARC
(4,26),-1.8959 # DEPENDENCYPART_ARC
(4,27),0.132244 # DEPENDENCYPART_ARC
(5,1),0.0225268 # DEPENDENCYPART_ARC
(5,2),-0.343835 # DEPENDENCYPART_ARC
(5,3),-0.604767 # DEPENDENCYPART_ARC
(5,4),0.639216 # DEPENDENCYPART_ARC
(5,6),1.15161 # DEPENDENCYPART_ARC
(5,7),3.63241 # DEPENDENCYPART_ARC
(5,8),-0.0448545 # DEPENDENCYPART_ARC
(5,9),-1.25735 # DEPENDENCYPART_ARC
(5,10),2.55961 # DEPENDENCYPART_ARC
(5,11),-0.0654606 # DEPENDENCYPART_ARC
(5,12),-1.81082 # DEPENDENCYPART_ARC
(5,13),0.689192 # DEPENDENCYPART_ARC
(5,14),-3.04159 # DEPENDENCYPART_ARC
(5,15),1.38583 # DEPENDENCYPART_ARC
(5,16),-1.1183 # DEPENDENCYPART_ARC
(5,17),-3.72785 # DEPENDENCYPART_ARC
(5,18),-6.61616 # DEPENDENCYPART_ARC
(5,19),-1.10998 # DEPENDENCYPART_ARC
(5,20),-7.85365 # DEPENDENCYPART_ARC
(5,21),0.419896 # DEPENDENCYPART_ARC
(5,22),0.763129 # DEPENDENCYPART_ARC
(5,23),-5.29896 # DEPENDENCYPART_ARC
(5,24),-4.34816 # DEPENDENCYPART_ARC
(5,25),-10.4272 # DEPENDENCYPART_ARC
(5,26),-0.851522 # DEPENDENCYPART_ARC
(5,27),2.7587 # DEPENDENCYPART_ARC
(6,1),-0.761566 # DEPENDENCYPART_ARC
(6,2),-0.614058 # DEPENDENCYPART_ARC
(6,3),-0.953363 # DEPENDENCYPART_ARC
(6,4),0.494934 # DEPENDENCYPART_ARC
(6,5),0.567223 # DEPENDENCYPART_ARC
(6,7),1.54515 # DEPENDENCYPART_ARC
(6,8),1.45587 # DEPENDENCYPART_ARC
(6,9),0.869431 # DEPENDENCYPART_ARC
(6,10),0.0792607 # DEPENDENCYPART_ARC
(6,11),1.51474 # DEPENDENCYPART_ARC
(6,12),-0.122983 # DEPENDENCYPART_ARC
(6,13),0.7668 # DEPENDENCYPART_ARC
(6,14),-0.325731 # DEPENDENCYPART_ARC
(6,15),-0.547866 # DEPENDENCYPART_ARC
(6,16),-0.0104249 # DEPENDENCYPART_ARC
(6,17),-0.502564 # DEPENDENCYPART_ARC
(6,18),-1.27378 # DEPENDENCYPART_ARC
(6,19),-0.95529 # DEPENDENCYPART_ARC
(6,20),-0.447085 # DEPENDENCYPART_ARC
(6,21),-0.114378 # DEPENDENCYPART_ARC
(6,22),0.0198276 # DEPENDENCYPART_ARC
(6,23),-0.853708 # DEPENDENCYPART_ARC
(6,24),-0.538119 # DEPENDENCYPART_ARC
(6,25),-1.94359 # DEPENDENCYPART_ARC
(6,26),-1.36136 # DEPENDENCYPART_ARC
(6,27),-0.702501 # DEPENDENCYPART_ARC
(7,1),0.511216 # DEPENDENCYPART_ARC
(7,2),0.640441 # DEPENDENCYPART_ARC
(7,3),-0.263724 # DEPENDENCYPART_ARC
(7,4),0.174407 # DEPENDENCYPART_ARC
(7,5),0.754676 # DEPENDENCYPART_ARC
(7,6),2.92854 # DEPENDENCYPART_ARC
(7,8),3.2405 # DEPENDENCYPART_ARC
(7,9),0.975336 # DEPENDENCYPART_ARC
(7,10),1.2317 # DEPENDENCYPART_ARC
(7,11),0.0857639 # DEPENDENCYPART_ARC
(7,12),-0.533078 # DEPENDENCYPART_ARC
(7,13),0.857091 # DEPENDENCYPART_ARC
(7,14),-0.701016 # DEPENDENCYPART_ARC
(7,15),0.288324 # DEPENDENCYPART_ARC
(7,16),-0.237034 # DEPENDENCYPART_ARC
(7,17),-1.07807 # DEPENDENCYPART_ARC
(7,18),-1.83178 # DEPENDENCYPART_ARC
(7,19),-1.93603 # DEPENDENCYPART_ARC
(7,20),-1.61289 # DEPENDENCYPART_ARC
(7,21),0.56936 # DEPENDENCYPART_ARC
(7,22),0.603994 # DEPENDENCYPART_ARC
(7,23),-1.90851 # DEPENDENCYPART_ARC
(7,24),-1.07827 # DEPENDENCYPART_ARC
(7,25),-3.61524 # DEPENDENCYPART_ARC
(7,26),-1.47224 # DEPENDENCYPART_ARC
(7,27),1.97009 # DEPENDENCYPART_ARC
(8,1),-0.336616 # DEPENDENCYPART_ARC
(8,2),-0.0185695 # DEPENDENCYPART_ARC
(8,3),-0.506178 # DEPENDENCYPART_ARC
(8,4),-0.20804 # DEPENDENCYPART_ARC
(8,5),1.24962 # DEPENDENCYPART_ARC
(8,6),0.604034 # DEPENDENCYPART_ARC
(8,7),0.92353 # DEPENDENCYPART_ARC
(8,9),2.93601 # DEPENDENCYPART_ARC
(8,10),1.6022 # DEPENDENCYPART_ARC
(8,11),1.94855 # DEPENDENCYPART_ARC
(8,12),0.0219535 # DEPENDENCYPART_ARC
(8,13),1.02058 # DEPENDENCYPART_ARC
(8,14),0.727617 # DEPENDENCYPART_ARC
(8,15),0.474128 # DEPENDENCYPART_ARC
(8,16),0.598252 # DEPENDENCYPART_ARC
(8,17),-0.287247 # DEPENDENCYPART_ARC
(8,18),-0.549442 # DEPENDENCYPART_ARC
(8,19),-0.307779 # DEPENDENCYPART_ARC
(8,20),-0.753647 # DEPENDENCYPART_ARC
(8,21),0.441218 # DEPENDENCYPART_ARC
(8,22),1.03949 # DEPENDENCYPART_ARC
(8,23),-0.680267 # DEPENDENCYPART_ARC
(8,24),0.174166 # DEPENDENCYPART_ARC
(8,25),-2.17161 # DEPENDENCYPART_ARC
(8,26),-0.704039 # DEPENDENCYPART_ARC
(8,27),1.59012 # DEPENDENCYPART_ARC
(9,1),-1.06924 # DEPENDENCYPART_ARC
(9,2),-1.31152 # DEPENDENCYPART_ARC
(9,3),-1.07206 # DEPENDENCYPART_ARC
(9,4),-0.825252 # DEPENDENCYPART_ARC
(9,5),-0.254307 # DEPENDENCYPART_ARC
(9,6),-0.393077 # DEPENDENCYPART_ARC
(9,7),-0.37669 # DEPENDENCYPART_ARC
(9,8),0.899376 # DEPENDENCYPART_ARC
(9,10),1.85806 # DEPENDENCYPART_ARC
(9,11),1.23968 # DEPENDENCYPART_ARC
(9,12),0.382477 # DEPENDENCYPART_ARC
(9,13),0.504606 # DEPENDENCYPART_ARC
(9,14),-0.165409 # DEPENDENCYPART_ARC
(9,15),0.148398 # DEPENDENCYPART_ARC
(9,16),-0.177607 # DEPENDENCYPART_ARC
(9,17),-0.605123 # DEPENDENCYPART_ARC
(9,18),-1.52622 # DEPENDENCYPART_ARC
(9,19),-0.400721 # DEPENDENCYPART_ARC
(9,20),-1.43832 # DEPENDENCYPART_ARC
(9,21),-0.00125775 # DEPENDENCYPART_ARC
(9,22),0.134657 # DEPENDENCYPART_ARC
(9,23),-0.756088 # DEPENDENCYPART_ARC
(9,24),-1.14118 # DEPENDENCYPART_ARC
(9,25),-2.6993 # DEPENDENCYPART_ARC
(9,26),-0.925536 # DEPENDENCYPART_ARC
(9,27),0.442192 # DEPENDENCYPART_ARC
(10,1),-2.04292 # DEPENDENCYPART_ARC
(10,2),-1.96022 # DEPENDENCYPART_ARC
(10,3),-1.4339 # DEPENDENCYPART_ARC
(10,4),-1.47772 # DEPENDENCYPART_ARC
(10,5),-1.18558 # DEPENDENCYPART_ARC
(10,6),-0.921001 # DEPENDENCYPART_ARC
(10,7),-0.779095 # DEPENDENCYPART_ARC
(10,8),-0.898894 # DEPENDENCYPART_ARC
(10,9),-0.252545 # DEPENDENCYPART_ARC
(10,11),3.10013 # DEPENDENCYPART_ARC
(10,12),1.19715 # DEPENDENCYPART_ARC
(10,13),1.16907 # DEPENDENCYPART_ARC
(10,14),-0.115973 # DEPENDENCYPART_ARC
(10,15),2.50496 # DEPENDENCYPART_ARC
(10,16),0.877864 # DEPENDENCYPART_ARC
(10,17),-0.692025 # DEPENDENCYPART_ARC
(10,18),-2.26992 # DEPENDENCYPART_ARC
(10,19),0.414519 # DEPENDENCYPART_ARC
(10,20),-3.76851 # DEPENDENCYPART_ARC
(10,21),0.0728457 # DEPENDENCYPART_ARC
(10,22),0.754081 # DEPENDENCYPART_ARC
(10,23),-1.70605 # DEPENDENCYPART_ARC
(10,24),-1.29186 # DEPENDENCYPART_ARC
(10,25),-3.9386 # DEPENDENCYPART_ARC
(10,26),0.410634 # DEPENDENCYPART_ARC
(10,27),0.990703 # DEPENDENCYPART_ARC
(11,1),-0.733655 # DEPENDENCYPART_ARC
(11,2),-1.35594 # DEPENDENCYPART_ARC
(11,3),-1.21756 # DEPENDENCYPART_ARC
(11,4),-0.76921 # DEPENDENCYPART_ARC
(11,5),0.39252 # DEPENDENCYPART_ARC
(11,6),-0.429987 # DEPENDENCYPART_ARC
(11,7),-0.813957 # DEPENDENCYPART_ARC
(11,8),-0.174823 # DEPENDENCYPART_ARC
(11,9),0.745443 # DEPENDENCYPART_ARC
(11,10),1.221 # DEPENDENCYPART_ARC
(11,12),3.34275 # DEPENDENCYPART_ARC
(11,13),1.01931 # DEPENDENCYPART_ARC
(11,14),-0.0165663 # DEPENDENCYPART_ARC
(11,15),1.09477 # DEPENDENCYPART_ARC
(11,16),0.417886 # DEPENDENCYPART_ARC
(11,17),-0.662695 # DEPENDENCYPART_ARC
(11,18),-1.1681 # DEPENDENCYPART_ARC
(11,19),0.0586471 # DEPENDENCYPART_ARC
(11,20),-2.09363 # DEPENDENCYPART_ARC
(11,21),0.200491 # DEPENDENCYPART_ARC
(11,22),0.366007 # DEPENDENCYPART_ARC
(11,23),-2.31325 # DEPENDENCYPART_ARC
(11,24),-2.26654 # DEPENDENCYPART_ARC
(11,25),-4.74693 # DEPENDENCYPART_ARC
(11,26),-0.750581 # DEPENDENCYPART_ARC
(11,27),1.2049 # DEPENDENCYPART_ARC
(12,1),-1.85866 # DEPENDENCYPART_ARC
(12,2),-1.52186 # DEPENDENCYPART_ARC
(12,3),-1.87268 # DEPENDENCYPART_ARC
(12,4),-1.65303 # DEPENDENCYPART_ARC
(12,5),-0.990945 # DEPENDENCYPART_ARC
(12,6),-1.55558 # DEPENDENCYPART_ARC
(12,7),-1.50948 # DEPENDENCYPART_ARC
(12,8),-1.05502 # DEPENDENCYPART_ARC
(12,9),-0.512677 # DEPENDENCYPART_ARC
(12,10),-0.562425 # DEPENDENCYPART_ARC
(12,11),0.592129 # DEPENDENCYPART_ARC
(12,13),0.709629 # DEPENDENCYPART_ARC
(12,14),-0.393356 # DEPENDENCYPART_ARC
(12,15),1.62949 # DEPENDENCYPART_ARC
(12,16),0.362103 # DEPENDENCYPART_ARC
(12,17),-1.69592 # DEPENDENCYPART_ARC
(12,18),-1.50587 # DEPENDENCYPART_ARC
(12,19),0.403958 # DEPENDENCYPART_ARC
(12,20),-1.9698 # DEPENDENCYPART_ARC
(12,21),0.343496 # DEPENDENCYPART_ARC
(12,22),0.21663 # DEPENDENCYPART_ARC
(12,23),-2.44271 # DEPENDENCYPART_ARC
(12,24),-1.12564 # DEPENDENCYPART_ARC
(12,25),-1.96864 # DEPENDENCYPART_ARC
(12,26),0.371759 # DEPENDENCYPART_ARC
(12,27),0.74706 # DEPENDENCYPART_ARC
(13,1),-2.35977 # DEPENDENCYPART_ARC
(13,2),-2.77497 # DEPENDENCYPART_ARC
(13,3),-2.81551 # DEPENDENCYPART_ARC
(13,4),-1.79628 # DEPENDENCYPART_ARC
(13,5),-2.11703 # DEPENDENCYPART_ARC
(13,6),-2.29637 # DEPENDENCYPART_ARC
(13,7),-2.26498 # DEPENDENCYPART_ARC
(13,8),-1.7658 # DEPENDENCYPART_ARC
(13,9),-2.20406 # DEPENDENCYPART_ARC
(13,10),-1.79647 # DEPENDENCYPART_ARC
(13,11),-1.46549 # DEPENDENCYPART_ARC
(13,12),-0.382143 # DEPENDENCYPART_ARC
(13,14),-0.377304 # DEPENDENCYPART_ARC
(13,15),-0.512735 # DEPENDENCYPART_ARC
(13,16),-1.14362 # DEPENDENCYPART_ARC
(13,17),-1.70571 # DEPENDENCYPART_ARC
(13,18),-1.92636 # DEPENDENCYPART_ARC
(13,19),-1.40376 # DEPENDENCYPART_ARC
(13,20),-2.16613 # DEPENDENCYPART_ARC
(13,21),-0.0917366 # DEPENDENCYPART_ARC
(13,22),-1.40292 # DEPENDENCYPART_ARC
(13,23),-2.26743 # DEPENDENCYPART_ARC
(13,24),-1.94154 # DEPENDENCYPART_ARC
(13,25),-2.82443 # DEPENDENCYPART_ARC
(13,26),-2.05825 # DEPENDENCYPART_ARC
(13,27),-1.92702 # DEPENDENCYPART_ARC
(14,1),-2.56733 # DEPENDENCYPART_ARC
(14,2),-2.51629 # DEPENDENCYPART_ARC
(14,3),-2.23551 # DEPENDENCYPART_ARC
(14,4),-2.04366 # DEPENDENCYPART_ARC
(14,5),-1.75916 # DEPENDENCYPART_ARC
(14,6),-2.16691 # DEPENDENCYPART_ARC
(14,7),-1.85332 # DEPENDENCYPART_ARC
(14,8),-1.58165 # DEPENDENCYPART_ARC
(14,9),-1.69738 # DEPENDENCYPART_ARC
(14,10),-1.43398 # DEPENDENCYPART_ARC
(14,11),-0.682372 # DEPENDENCYPART_ARC
(14,12),0.167326 # DEPENDENCYPART_ARC
(14,13),0.878728 # DEPENDENCYPART_ARC
(14,15),0.894433 # DEPENDENCYPART_ARC
(14,16),-0.0500814 # DEPENDENCYPART_ARC
(14,17),0.0778215 # DEPENDENCYPART_ARC
(14,18),-0.187093 # DEPENDENCYPART_ARC
(14,19),-0.263318 # DEPENDENCYPART_ARC
(14,20),-0.541826 # DEPENDENCYPART_ARC
(14,21),0.250187 # DEPENDENCYPART_ARC
(14,22),-0.43794 # DEPENDENCYPART_ARC
(14,23),-0.702353 # DEPENDENCYPART_ARC
(14,24),-0.89365 # DEPENDENCYPART_ARC
(14,25),-0.89121 # DEPENDENCYPART_ARC
(14,26),-0.929775 # DEPENDENCYPART_ARC
(14,27),-0.689677 # DEPENDENCYPART_ARC
(15,1),1.55841 # DEPENDENCYPART_ARC
(15,2),1.01835 # DEPENDENCYPART_ARC
(15,3),0.13986 # DEPENDENCYPART_ARC
(15,4),0.269779 # DEPENDENCYPART_ARC
(15,5),1.17158 # DEPENDENCYPART_ARC
(15,6),0.61055 # DEPENDENCYPART_ARC
(15,7),-0.197517 # DEPENDENCYPART_ARC
(15,8),0.440192 # DEPENDENCYPART_ARC
(15,9),1.04643 # DEPENDENCYPART_ARC
(15,10),1.44152 # DEPENDENCYPART_ARC
(15,11),2.75884 # DEPENDENCYPART_ARC
(15,12),1.31141 # DEPENDENCYPART_ARC
(15,13),3.34692 # DEPENDENCYPART_ARC
(15,14),4.34448 # DEPENDENCYPART_ARC
(15,16),5.0157 # DEPENDENCYPART_ARC
(15,17),0.766729 # DEPENDENCYPART_ARC
(15,18),1.12952 # DEPENDENCYPART_ARC
(15,19),0.318329 # DEPENDENCYPART_ARC
(15,20),0.120381 # DEPENDENCYPART_ARC
(15,21),1.76057 # DEPENDENCYPART_ARC
(15,22),1.53996 # DEPENDENCYPART_ARC
(15,23),-0.7255 # DEPENDENCYPART_ARC
(15,24),0.970973 # DEPENDENCYPART_ARC
(15,25),-0.999787 # DEPENDENCYPART_ARC
(15,26),0.283429 # DEPENDENCYPART_ARC
(15,27),2.67479 # DEPENDENCYPART_ARC
(16,1),-1.10594 # DEPENDENCYPART_ARC
(16,2),-0.794827 # DEPENDENCYPART_ARC
(16,3),-1.03562 # DEPENDENCYPART_ARC
(16,4),-1.10719 # DEPENDENCYPART_ARC
(16,5),-0.27739 # DEPENDENCYPART_ARC
(16,6),-0.165003 # DEPENDENCYPART_ARC
(16,7),-0.52137 # DEPENDENCYPART_ARC
(16,8),-0.745656 # DEPENDENCYPART_ARC
(16,9),-0.667622 # DEPENDENCYPART_ARC
(16,10),-0.917003 # DEPENDENCYPART_ARC
(16,11),0.236524 # DEPENDENCYPART_ARC
(16,12),0.538819 # DEPENDENCYPART_ARC
(16,13),0.924314 # DEPENDENCYPART_ARC
(16,14),1.04458 # DEPENDENCYPART_ARC
(16,15),0.827706 # DEPENDENCYPART_ARC
(16,17),2.05011 # DEPENDENCYPART_ARC
(16,18),3.40547 # DEPENDENCYPART_ARC
(16,19),2.29702 # DEPENDENCYPART_ARC
(16,20),2.05443 # DEPENDENCYPART_ARC
(16,21),1.4223 # DEPENDENCYPART_ARC
(16,22),1.97247 # DEPENDENCYPART_ARC
(16,23),0.550883 # DEPENDENCYPART_ARC
(16,24),1.48987 # DEPENDENCYPART_ARC
(16,25),0.698807 # DEPENDENCYPART_ARC
(16,26),0.839187 # DEPENDENCYPART_ARC
(16,27),1.88873 # DEPENDENCYPART_ARC
(17,1),-3.01768 # DEPENDENCYPART_ARC
(17,2),-2.55797 # DEPENDENCYPART_ARC
(17,3),-2.70708 # DEPENDENCYPART_ARC
(17,4),-2.47586 # DEPENDENCYPART_ARC
(17,5),-1.92061 # DEPENDENCYPART_ARC
(17,6),-2.50143 # DEPENDENCYPART_ARC
(17,7),-2.31036 # DEPENDENCYPART_ARC
(17,8),-2.11841 # DEPENDENCYPART_ARC
(17,9),-1.99267 # DEPENDENCYPART_ARC
(17,10),-2.33528 # DEPENDENCYPART_ARC
(17,11),-1.05997 # DEPENDENCYPART_ARC
(17,12),-0.866766 # DEPENDENCYPART_ARC
(17,13),-1.129 # DEPENDENCYPART_ARC
(17,14),-0.747622 # DEPENDENCYPART_ARC
(17,15),-1.09119 # DEPENDENCYPART_ARC
(17,16),-0.130605 # DEPENDENCYPART_ARC
(17,18),1.06755 # DEPENDENCYPART_ARC
(17,19),0.967889 # DEPENDENCYPART_ARC
(17,20),0.15924 # DEPENDENCYPART_ARC
(17,21),0.424498 # DEPENDENCYPART_ARC
(17,22),0.0268606 # DEPENDENCYPART_ARC
(17,23),-1.02121 # DEPENDENCYPART_ARC
(17,24),-0.221524 # DEPENDENCYPART_ARC
(17,25),-0.676715 # DEPENDENCYPART_ARC
(17,26),-0.551649 # DEPENDENCYPART_ARC
(17,27),0.0288297 # DEPENDENCYPART_ARC
(18,1),-2.53756 # DEPENDENCYPART_ARC
(18,2),-2.74283 # DEPENDENCYPART_ARC
(18,3),-2.52259 # DEPENDENCYPART_ARC
(18,4),-3.11923 # DEPENDENCYPART_ARC
(18,5),-1.03707 # DEPENDENCYPART_ARC
(18,6),-2.33811 # DEPENDENCYPART_ARC
(18,7),-2.37363 # DEPENDENCYPART_ARC
(18,8),-1.90155 # DEPENDENCYPART_ARC
(18,9),-2.44887 # DEPENDENCYPART_ARC
(18,10),-1.05871 # DEPENDENCYPART_ARC
(18,11),0.216858 # DEPENDENCYPART_ARC
(18,12),-1.2281 # DEPENDENCYPART_ARC
(18,13),-0.172722 # DEPENDENCYPART_ARC
(18,14),-0.166827 # DEPENDENCYPART_ARC
(18,15),-0.617375 # DEPENDENCYPART_ARC
(18,16),0.792525 # DEPENDENCYPART_ARC
(18,17),3.58539 # DEPENDENCYPART_ARC
(18,19),3.75305 # DEPENDENCYPART_ARC
(18,20),1.68902 # DEPENDENCYPART_ARC
(18,21),1.35025 # DEPENDENCYPART_ARC
(18,22),1.16783 # DEPENDENCYPART_ARC
(18,23),0.289219 # DEPENDENCYPART_ARC
(18,24),0.597223 # DEPENDENCYPART_ARC
(18,25),0.177729 # DEPENDENCYPART_ARC
(18,26),0.415631 # DEPENDENCYPART_ARC
(18,27),0.747167 # DEPENDENCYPART_ARC
(19,1),-2.1662 # DEPENDENCYPART_ARC
(19,2),-2.84643 # DEPENDENCYPART_ARC
(19,3),-2.64606 # DEPENDENCYPART_ARC
(19,4),-1.92381 # DEPENDENCYPART_ARC
(19,5),-0.274224 # DEPENDENCYPART_ARC
(19,6),-2.141 # DEPENDENCYPART_ARC
(19,7),-2.25925 # DEPENDENCYPART_ARC
(19,8),-1.6738 # DEPENDENCYPART_ARC
(19,9),-1.64318 # DEPENDENCYPART_ARC
(19,10),-1.72575 # DEPENDENCYPART_ARC
(19,11),-1.06298 # DEPENDENCYPART_ARC
(19,12),-0.899417 # DEPENDENCYPART_ARC
(19,13),-1.28665 # DEPENDENCYPART_ARC
(19,14),-1.30464 # DEPENDENCYPART_ARC
(19,15),-1.31771 # DEPENDENCYPART_ARC
(19,16),-0.467057 # DEPENDENCYPART_ARC
