# _root_ Five African nations , however , said they would continue selling the valuable tusks .
#goldHeads=3,3,7,7,7,7,0,9,7,9,10,14,14,11,7,
#predictedHeads=3,3,7,7,7,7,0,9,7,9,10,14,14,11,7,
(3,10),0.0329778 # DEPENDENCYPART_ARC
(3,11),-0.457255 # DEPENDENCYPART_ARC
(3,12),-0.151187 # DEPENDENCYPART_ARC
(3,13),-0.0489689 # DEPENDENCYPART_ARC
(3,14),-0.116168 # DEPENDENCYPART_ARC
(3,15),0.180621 # DEPENDENCYPART_ARC
(4,1),-0.70687 # DEPENDENCYPART_ARC
(4,2),-0.878696 # DEPENDENCYPART_ARC
(4,3),-0.804823 # DEPENDENCYPART_ARC
(4,5),-0.443616 # DEPENDENCYPART_ARC
(4,6),0.47233 # DEPENDENCYPART_ARC
(4,7),-0.806731 # DEPENDENCYPART_ARC
(4,8),-1.56321 # DEPENDENCYPART_ARC
(4,9),-1.44479 # DEPENDENCYPART_ARC
(4,10),-1.46783 # DEPENDENCYPART_ARC
(4,11),-1.57053 # DEPENDENCYPART_ARC
(4,12),-2.10924 # DEPENDENCYPART_ARC
(4,13),-2.24709 # DEPENDENCYPART_ARC
(4,14),-2.53445 # DEPENDENCYPART_ARC
(4,15),-1.478 # DEPENDENCYPART_ARC
(5,1),-0.568724 # DEPENDENCYPART_ARC
(5,2),0.501167 # DEPENDENCYPART_ARC
(5,3),-0.338007 # DEPENDENCYPART_ARC
(5,4),1.09445 # DEPENDENCYPART_ARC
(5,6),1.59501 # DEPENDENCYPART_ARC
(5,7),0.707882 # DEPENDENCYPART_ARC
(5,8),-0.167402 # DEPENDENCYPART_ARC
(5,9),-0.151088 # DEPENDENCYPART_ARC
(5,10),-0.594278 # DEPENDENCYPART_ARC
(5,11),-1.08367 # DEPENDENCYPART_ARC
(5,12),-1.29401 # DEPENDENCYPART_ARC
(5,13),-1.03013 # DEPENDENCYPART_ARC
(5,14),-1.60457 # DEPENDENCYPART_ARC
(5,15),-0.210583 # DEPENDENCYPART_ARC
(6,1),-1.44926 # DEPENDENCYPART_ARC
(6,2),-1.24164 # DEPENDENCYPART_ARC
(6,3),-1.36005 # DEPENDENCYPART_ARC
(6,4),0.0145193 # DEPENDENCYPART_ARC
(6,5),-0.560462 # DEPENDENCYPART_ARC
(6,7),-0.201542 # DEPENDENCYPART_ARC
(6,8),-1.37803 # DEPENDENCYPART_ARC
(6,9),-1.42429 # DEPENDENCYPART_ARC
(6,10),-1.50059 # DEPENDENCYPART_ARC
(6,11),-1.88482 # DEPENDENCYPART_ARC
(6,12),-2.256 # DEPENDENCYPART_ARC
(6,13),-2.44083 # DEPENDENCYPART_ARC
(6,14),-2.74497 # DEPENDENCYPART_ARC
(6,15),-1.90921 # DEPENDENCYPART_ARC
(7,1),0.485815 # DEPENDENCYPART_ARC
(7,2),0.214537 # DEPENDENCYPART_ARC
(7,3),0.37324 # DEPENDENCYPART_ARC
(7,4),2.5089 # DEPENDENCYPART_ARC
(7,5),2.65371 # DEPENDENCYPART_ARC
(7,6),3.12554 # DEPENDENCYPART_ARC
(7,8),0.773958 # DEPENDENCYPART_ARC
(7,9),3.57566 # DEPENDENCYPART_ARC
(7,10),1.04856 # DEPENDENCYPART_ARC
(7,11),0.473317 # DEPENDENCYPART_ARC
(7,12),-1.3066 # DEPENDENCYPART_ARC
(7,13),-1.55333 # DEPENDENCYPART_ARC
(7,14),-2.21259 # DEPENDENCYPART_ARC
(7,15),6.38522 # DEPENDENCYPART_ARC
(8,1),-1.815 # DEPENDENCYPART_ARC
(8,2),-1.59385 # DEPENDENCYPART_ARC
(8,3),-1.86298 # DEPENDENCYPART_ARC
(8,4),-0.578278 # DEPENDENCYPART_ARC
(8,5),-1.2066 # DEPENDENCYPART_ARC
(8,6),-0.0674758 # DEPENDENCYPART_ARC
(8,7),-0.211577 # DEPENDENCYPART_ARC
(8,9),0.76802 # DEPENDENCYPART_ARC
(8,10),-0.332557 # DEPENDENCYPART_ARC
(8,11),-0.200911 # DEPENDENCYPART_ARC
(8,12),-0.482398 # DEPENDENCYPART_ARC
(8,13),-1.03857 # DEPENDENCYPART_ARC
(8,14),-0.678495 # DEPENDENCYPART_ARC
(8,15),-0.336524 # DEPENDENCYPART_ARC
(9,1),-0.701192 # DEPENDENCYPART_ARC
(9,2),-0.768185 # DEPENDENCYPART_ARC
(9,3),-1.21891 # DEPENDENCYPART_ARC
(9,4),0.475927 # DEPENDENCYPART_ARC
(9,5),0.61172 # DEPENDENCYPART_ARC
(9,6),0.977638 # DEPENDENCYPART_ARC
(9,7),0.079346 # DEPENDENCYPART_ARC
(9,8),4.27184 # DEPENDENCYPART_ARC
(9,10),3.65907 # DEPENDENCYPART_ARC
(9,11),0.321819 # DEPENDENCYPART_ARC
(9,12),-0.641042 # DEPENDENCYPART_ARC
(9,13),-0.829895 # DEPENDENCYPART_ARC
(9,14),-0.204096 # DEPENDENCYPART_ARC
(9,15),2.80727 # DEPENDENCYPART_ARC
(10,1),-1.1392 # DEPENDENCYPART_ARC
(10,2),-0.983122 # DEPENDENCYPART_ARC
(10,3),-1.23147 # DEPENDENCYPART_ARC
(10,4),-0.516116 # DEPENDENCYPART_ARC
(10,5),-0.223518 # DEPENDENCYPART_ARC
(10,6),-0.36019 # DEPENDENCYPART_ARC
(10,7),-0.4961 # DEPENDENCYPART_ARC
(10,8),0.851901 # DEPENDENCYPART_ARC
(10,9),0.461272 # DEPENDENCYPART_ARC
(10,11),3.49261 # DEPENDENCYPART_ARC
(10,12),-0.151136 # DEPENDENCYPART_ARC
(10,13),0.732994 # DEPENDENCYPART_ARC
(10,14),0.911539 # DEPENDENCYPART_ARC
(10,15),-0.199212 # DEPENDENCYPART_ARC
(11,1),-0.660498 # DEPENDENCYPART_ARC
(11,2),-0.678175 # DEPENDENCYPART_ARC
(11,3),-0.522726 # DEPENDENCYPART_ARC
(11,4),-0.284745 # DEPENDENCYPART_ARC
(11,5),-0.367659 # DEPENDENCYPART_ARC
(11,6),0.0641731 # DEPENDENCYPART_ARC
(11,7),-0.139973 # DEPENDENCYPART_ARC
(11,8),0.721213 # DEPENDENCYPART_ARC
(11,9),0.17899 # DEPENDENCYPART_ARC
(11,10),1.35147 # DEPENDENCYPART_ARC
(11,12),1.88069 # DEPENDENCYPART_ARC
(11,13),2.26607 # DEPENDENCYPART_ARC
(11,14),3.59977 # DEPENDENCYPART_ARC
(11,15),1.0725 # DEPENDENCYPART_ARC
(12,1),-2.73801 # DEPENDENCYPART_ARC
(12,2),-2.65569 # DEPENDENCYPART_ARC
(12,3),-2.77707 # DEPENDENCYPART_ARC
(12,4),-2.45041 # DEPENDENCYPART_ARC
(12,5),-2.46612 # DEPENDENCYPART_ARC
(12,6),-2.17001 # DEPENDENCYPART_ARC
(12,7),-2.20543 # DEPENDENCYPART_ARC
(12,8),-1.43916 # DEPENDENCYPART_ARC
(12,9),-1.73124 # DEPENDENCYPART_ARC
(12,10),-0.94182 # DEPENDENCYPART_ARC
(12,11),-0.545651 # DEPENDENCYPART_ARC
(12,13),-0.294983 # DEPENDENCYPART_ARC
(12,14),-0.905037 # DEPENDENCYPART_ARC
(12,15),-1.21345 # DEPENDENCYPART_ARC
(13,1),-1.65441 # DEPENDENCYPART_ARC
(13,2),-1.26794 # DEPENDENCYPART_ARC
(13,3),-2.05969 # DEPENDENCYPART_ARC
(13,4),-1.41339 # DEPENDENCYPART_ARC
(13,5),-1.79636 # DEPENDENCYPART_ARC
(13,6),-1.25629 # DEPENDENCYPART_ARC
(13,7),-1.61695 # DEPENDENCYPART_ARC
(13,8),-1.19092 # DEPENDENCYPART_ARC
(13,9),-1.18075 # DEPENDENCYPART_ARC
(13,10),-0.386546 # DEPENDENCYPART_ARC
(13,11),-0.054442 # DEPENDENCYPART_ARC
(13,12),2.36017 # DEPENDENCYPART_ARC
(13,14),0.342292 # DEPENDENCYPART_ARC
(13,15),-0.606476 # DEPENDENCYPART_ARC
(14,1),-0.287709 # DEPENDENCYPART_ARC
(14,2),-0.827515 # DEPENDENCYPART_ARC
(14,3),-2.21016 # DEPENDENCYPART_ARC
(14,4),-0.573849 # DEPENDENCYPART_ARC
(14,5),-2.31354 # DEPENDENCYPART_ARC
(14,6),-0.999377 # DEPENDENCYPART_ARC
(14,7),-0.483511 # DEPENDENCYPART_ARC
(14,8),-0.5496 # DEPENDENCYPART_ARC
(14,9),-0.395971 # DEPENDENCYPART_ARC
(14,10),0.309477 # DEPENDENCYPART_ARC
(14,11),0.775256 # DEPENDENCYPART_ARC
(14,12),4.41449 # DEPENDENCYPART_ARC
(14,13),4.18343 # DEPENDENCYPART_ARC
(14,15),0.429231 # DEPENDENCYPART_ARC
(15,1),-2.58215 # DEPENDENCYPART_ARC
(15,2),-2.28357 # DEPENDENCYPART_ARC
(15,3),-2.29941 # DEPENDENCYPART_ARC
(15,4),-0.638486 # DEPENDENCYPART_ARC
(15,5),-0.968184 # DEPENDENCYPART_ARC
(15,6),-0.441222 # DEPENDENCYPART_ARC
(15,7),-1.02363 # DEPENDENCYPART_ARC
(15,8),-1.20574 # DEPENDENCYPART_ARC
(15,9),-0.886852 # DEPENDENCYPART_ARC
(15,10),-1.66193 # DEPENDENCYPART_ARC
(15,11),-1.02564 # DEPENDENCYPART_ARC
(15,12),-0.528465 # DEPENDENCYPART_ARC
(15,13),-1.60922 # DEPENDENCYPART_ARC
(15,14),-1.63094 # DEPENDENCYPART_ARC
