# _root_ Asked what stocks the computer bought , the money manager says , `` I do n't know . ''
#goldHeads=11,3,6,5,6,1,11,10,10,11,0,11,15,15,11,15,15,11,11,
#predictedHeads=11,3,1,5,6,3,11,10,10,11,0,11,11,15,11,15,15,15,15,
(2,3),(2,5),-0.017963 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0368764 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0450728 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0174864 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0233592 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0164079 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0092959 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0198473 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00379378 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00837459 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0569347 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.00205497 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.00708634 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0200987 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0569347 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0433627 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0359576 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0492224 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.00245223 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0879572 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0455113 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.103032 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0135375 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.071071 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0609004 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.024461 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0243794 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.154685 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0609004 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0698145 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0878025 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.00835038 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0774785 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.297697 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0911975 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0405587 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0369333 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0454669 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0260218 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0368572 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.057117 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0454669 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.067535 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.068771 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0314522 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0529838 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.130752 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0567469 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0145686 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0229916 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0232461 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0313134 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0236602 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0229916 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.018719 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0209159 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0221004 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.00249032 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.00339905 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0018661 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0617124 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0478578 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0612014 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0696381 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0617124 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0569573 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0639482 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0363719 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0502055 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0188917 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.00526665 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0409385 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00462372 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0507318 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0669381 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.014445 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0253649 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.00437046 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0468517 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0297981 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.00832811 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0497463 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0263172 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0265526 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0225461 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0232784 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.00226744 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.00880892 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.00892904 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.00719286 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0249732 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0101804 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0251389 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0204231 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0222929 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.00169763 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0197313 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.00418309 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0274411 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0643504 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0694685 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0117169 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0458883 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0224268 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.00331652 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.014445 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0253649 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.00437046 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0468517 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0297981 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.00832811 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0135398 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0133536 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0170756 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.00773781 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0574453 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.00375761 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.0389606 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0375541 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.0746439 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0786702 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.0893647 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.073319 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.0325865 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.0130739 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.18333 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00393698 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00152373 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0266076 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0140001 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0517106 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0329188 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0184628 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0283622 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.127634 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00145702 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0537628 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.021758 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0402495 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0537628 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0204702 # DEPENDENCYPART_SIBL
