# _root_ In fact , Lever Bros. confirms that its Sunlight brand does contain chlorine bleach , even though it is n't listed on the label for the powder version .
#goldHeads=6,1,6,6,4,0,6,10,10,11,7,11,14,12,12,17,12,19,17,19,19,21,24,22,24,28,28,25,6,
#predictedHeads=6,1,6,5,6,0,6,10,10,11,7,11,14,12,12,17,12,19,17,19,19,21,24,22,21,28,28,25,6,
(11,12),0.810352 # DEPENDENCYPART_ARC
(11,13),-0.213149 # DEPENDENCYPART_ARC
(11,14),-0.617594 # DEPENDENCYPART_ARC
(11,15),-1.22088 # DEPENDENCYPART_ARC
(11,16),-1.49797 # DEPENDENCYPART_ARC
(11,17),-1.30419 # DEPENDENCYPART_ARC
(11,18),-1.5845 # DEPENDENCYPART_ARC
(11,19),-1.31147 # DEPENDENCYPART_ARC
(11,20),-1.78683 # DEPENDENCYPART_ARC
(11,21),-1.86776 # DEPENDENCYPART_ARC
(11,22),-1.73678 # DEPENDENCYPART_ARC
(11,25),-1.80238 # DEPENDENCYPART_ARC
(11,29),-0.0317015 # DEPENDENCYPART_ARC
(12,1),-1.86004 # DEPENDENCYPART_ARC
(12,3),-2.23384 # DEPENDENCYPART_ARC
(12,7),-1.50408 # DEPENDENCYPART_ARC
(12,8),-1.63521 # DEPENDENCYPART_ARC
(12,9),-1.53548 # DEPENDENCYPART_ARC
(12,10),-1.42711 # DEPENDENCYPART_ARC
(12,11),-0.36451 # DEPENDENCYPART_ARC
(12,13),0.7939 # DEPENDENCYPART_ARC
(12,14),-0.0236181 # DEPENDENCYPART_ARC
(12,15),-0.967489 # DEPENDENCYPART_ARC
(12,16),-0.993107 # DEPENDENCYPART_ARC
(12,17),-0.915346 # DEPENDENCYPART_ARC
(12,18),-1.47578 # DEPENDENCYPART_ARC
(12,19),-1.29507 # DEPENDENCYPART_ARC
(12,20),-1.67939 # DEPENDENCYPART_ARC
(12,21),-1.61637 # DEPENDENCYPART_ARC
(12,22),-1.28956 # DEPENDENCYPART_ARC
(12,25),-1.36844 # DEPENDENCYPART_ARC
(12,29),-0.724473 # DEPENDENCYPART_ARC
(13,8),-1.87448 # DEPENDENCYPART_ARC
(13,9),-1.85035 # DEPENDENCYPART_ARC
(13,10),-1.70517 # DEPENDENCYPART_ARC
(13,12),-0.53942 # DEPENDENCYPART_ARC
(13,14),-0.52889 # DEPENDENCYPART_ARC
(13,16),-1.56202 # DEPENDENCYPART_ARC
(13,17),-1.65558 # DEPENDENCYPART_ARC
(13,19),-1.60475 # DEPENDENCYPART_ARC
(13,21),-2.11267 # DEPENDENCYPART_ARC
(14,4),-1.5292 # DEPENDENCYPART_ARC
(14,5),-1.75242 # DEPENDENCYPART_ARC
(14,8),-1.00427 # DEPENDENCYPART_ARC
(14,9),-0.736646 # DEPENDENCYPART_ARC
(14,10),-0.766645 # DEPENDENCYPART_ARC
(14,12),-0.651311 # DEPENDENCYPART_ARC
(14,13),1.6013 # DEPENDENCYPART_ARC
(14,15),-0.169542 # DEPENDENCYPART_ARC
(14,16),-1.44861 # DEPENDENCYPART_ARC
(14,17),-1.456 # DEPENDENCYPART_ARC
(14,18),-1.69191 # DEPENDENCYPART_ARC
(14,19),-1.43884 # DEPENDENCYPART_ARC
(14,20),-1.82395 # DEPENDENCYPART_ARC
(14,21),-1.96517 # DEPENDENCYPART_ARC
(14,22),-1.68323 # DEPENDENCYPART_ARC
(14,24),-1.90302 # DEPENDENCYPART_ARC
(14,25),-1.84052 # DEPENDENCYPART_ARC
(14,28),-2.23621 # DEPENDENCYPART_ARC
(14,29),-1.93165 # DEPENDENCYPART_ARC
(16,14),-1.72625 # DEPENDENCYPART_ARC
(16,15),-0.503971 # DEPENDENCYPART_ARC
(16,17),0.125323 # DEPENDENCYPART_ARC
(16,18),-0.854388 # DEPENDENCYPART_ARC
(16,19),-0.795536 # DEPENDENCYPART_ARC
(16,20),-1.3937 # DEPENDENCYPART_ARC
(16,21),-1.53599 # DEPENDENCYPART_ARC
(16,22),-1.41962 # DEPENDENCYPART_ARC
(16,24),-1.74157 # DEPENDENCYPART_ARC
(16,25),-1.73636 # DEPENDENCYPART_ARC
(17,1),-1.37221 # DEPENDENCYPART_ARC
(17,12),-1.53924 # DEPENDENCYPART_ARC
(17,14),-1.18455 # DEPENDENCYPART_ARC
(17,15),-1.34112 # DEPENDENCYPART_ARC
(17,16),0.57285 # DEPENDENCYPART_ARC
(17,18),0.0372571 # DEPENDENCYPART_ARC
(17,19),-0.142959 # DEPENDENCYPART_ARC
(17,20),-1.48524 # DEPENDENCYPART_ARC
(17,21),-1.54509 # DEPENDENCYPART_ARC
(17,22),-1.62838 # DEPENDENCYPART_ARC
(17,24),-2.1788 # DEPENDENCYPART_ARC
(17,25),-1.72019 # DEPENDENCYPART_ARC
(17,29),-2.01892 # DEPENDENCYPART_ARC
(19,1),-1.67196 # DEPENDENCYPART_ARC
(19,2),-1.65413 # DEPENDENCYPART_ARC
(19,3),-2.37253 # DEPENDENCYPART_ARC
(19,5),-2.14497 # DEPENDENCYPART_ARC
(19,6),-1.80836 # DEPENDENCYPART_ARC
(19,7),-2.03525 # DEPENDENCYPART_ARC
(19,8),-2.1391 # DEPENDENCYPART_ARC
(19,9),-1.92183 # DEPENDENCYPART_ARC
(19,10),-1.60028 # DEPENDENCYPART_ARC
(19,11),-1.77728 # DEPENDENCYPART_ARC
(19,12),-1.90224 # DEPENDENCYPART_ARC
(19,13),-1.40504 # DEPENDENCYPART_ARC
(19,14),-1.48671 # DEPENDENCYPART_ARC
(19,15),-1.69491 # DEPENDENCYPART_ARC
(19,16),-1.46633 # DEPENDENCYPART_ARC
(19,17),-1.13645 # DEPENDENCYPART_ARC
(19,18),0.668389 # DEPENDENCYPART_ARC
(19,20),0.859897 # DEPENDENCYPART_ARC
(19,21),0.0102432 # DEPENDENCYPART_ARC
(19,22),-0.491485 # DEPENDENCYPART_ARC
(19,24),-0.834214 # DEPENDENCYPART_ARC
(19,25),-1.05973 # DEPENDENCYPART_ARC
(19,28),-1.59893 # DEPENDENCYPART_ARC
(19,29),-0.209525 # DEPENDENCYPART_ARC
(20,18),-1.75911 # DEPENDENCYPART_ARC
(20,21),-0.431956 # DEPENDENCYPART_ARC
(20,22),-1.15632 # DEPENDENCYPART_ARC
(20,24),-1.63169 # DEPENDENCYPART_ARC
(21,1),-2.64305 # DEPENDENCYPART_ARC
(21,7),-1.84635 # DEPENDENCYPART_ARC
(21,16),-1.65513 # DEPENDENCYPART_ARC
(21,17),-1.65659 # DEPENDENCYPART_ARC
(21,18),-1.64351 # DEPENDENCYPART_ARC
(21,20),-0.0141754 # DEPENDENCYPART_ARC
(21,22),1.0128 # DEPENDENCYPART_ARC
(21,24),-0.45361 # DEPENDENCYPART_ARC
(21,25),-0.495762 # DEPENDENCYPART_ARC
(21,28),-0.99958 # DEPENDENCYPART_ARC
(21,29),-1.33385 # DEPENDENCYPART_ARC
(22,20),-1.48429 # DEPENDENCYPART_ARC
(22,23),-0.0220481 # DEPENDENCYPART_ARC
(22,24),0.34371 # DEPENDENCYPART_ARC
(22,25),-0.971348 # DEPENDENCYPART_ARC
(22,27),-1.20296 # DEPENDENCYPART_ARC
(22,28),-1.41017 # DEPENDENCYPART_ARC
(24,20),-1.42138 # DEPENDENCYPART_ARC
(24,23),1.32932 # DEPENDENCYPART_ARC
(24,25),0.204272 # DEPENDENCYPART_ARC
(24,27),-1.1628 # DEPENDENCYPART_ARC
(24,28),-1.45751 # DEPENDENCYPART_ARC
(25,24),-0.974528 # DEPENDENCYPART_ARC
(25,26),-0.135963 # DEPENDENCYPART_ARC
(25,27),-0.118319 # DEPENDENCYPART_ARC
(25,28),-0.435404 # DEPENDENCYPART_ARC
(27,26),-0.13645 # DEPENDENCYPART_ARC
(28,8),-1.92551 # DEPENDENCYPART_ARC
(28,23),-1.60256 # DEPENDENCYPART_ARC
(28,24),-1.15849 # DEPENDENCYPART_ARC
(28,26),0.371377 # DEPENDENCYPART_ARC
(28,27),1.53013 # DEPENDENCYPART_ARC
(0,6),(0,11),-0.177447 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.204929 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.206733 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00646354 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0954097 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0954098 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00328009 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.00957304 # DEPENDENCYPART_SIBL
(1,2),(1,29),0.0627353 # DEPENDENCYPART_SIBL
(1,3),(1,4),1.62598e-05 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.000209092 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0728004 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0737019 # DEPENDENCYPART_SIBL
(1,3),(1,29),0.19052 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.108981 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0625495 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0652167 # DEPENDENCYPART_SIBL
(1,4),(1,29),0.0055927 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0625495 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0652168 # DEPENDENCYPART_SIBL
(1,5),(1,29),0.00559254 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0762237 # DEPENDENCYPART_SIBL
(1,6),(1,29),0.134028 # DEPENDENCYPART_SIBL
(1,11),(1,29),0.148741 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0207564 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0519589 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0519614 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0222175 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00473731 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00418352 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0402122 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00834538 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0207564 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0459858 # DEPENDENCYPART_SIBL
(2,1),(2,29),0.0144248 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00360136 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00337112 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.015689 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0776673 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00081581 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0127885 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.00136328 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0176329 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0228155 # DEPENDENCYPART_SIBL
(2,3),(2,29),-0.0313112 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0427707 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0113815 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0142937 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0531584 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0127292 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0522305 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0118517 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0369174 # DEPENDENCYPART_SIBL
(2,4),(2,29),-0.0100976 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0113818 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0142941 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0531587 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0127295 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0522307 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0120334 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0369187 # DEPENDENCYPART_SIBL
(2,5),(2,29),-0.010098 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.028681 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0193443 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0157097 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0198364 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.00505349 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.027627 # DEPENDENCYPART_SIBL
(2,6),(2,29),0.065639 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0506895 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0167513 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0495624 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0207885 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0356404 # DEPENDENCYPART_SIBL
(2,7),(2,29),0.177018 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.001258 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0400489 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0201989 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.0133804 # DEPENDENCYPART_SIBL
(2,10),(2,29),0.0147963 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0122926 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.00630699 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.0341319 # DEPENDENCYPART_SIBL
(2,11),(2,29),0.0475961 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0226348 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.0131063 # DEPENDENCYPART_SIBL
(2,14),(2,29),0.00553999 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.0228155 # DEPENDENCYPART_SIBL
(2,15),(2,29),-0.0313112 # DEPENDENCYPART_SIBL
(2,21),(2,29),-0.0108689 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.10514 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0330377 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.120852 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.024957 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00261737 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0381935 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00111715 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00894592 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0240268 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0140257 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0408348 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00808079 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00129611 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0213904 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0349192 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0031204 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0231517 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0119079 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0708628 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00652266 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.112518 # DEPENDENCYPART_SIBL
(5,2),(5,10),4.11507e-05 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00821267 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0181955 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0341347 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.120854 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.14687 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.026054 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0302945 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.000761545 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0348383 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0252598 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00894475 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00708545 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0243339 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0253947 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0137197 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0057681 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0167456 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00581597 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0424327 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0213013 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0150746 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0124315 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0856425 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0551826 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00233325 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0437478 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0574409 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.082829 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.00769272 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.00679483 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0585185 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0594551 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.00129706 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0537565 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0305042 # DEPENDENCYPART_SIBL
(6,1),(6,25),-0.00921172 # DEPENDENCYPART_SIBL
(6,1),(6,29),0.0131013 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.015102 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.111739 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.123835 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.055191 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0129825 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0140311 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0101799 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00850656 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0112956 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.00632762 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0130764 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.031388 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0525934 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0288378 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.00222406 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0631987 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0154348 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.0136404 # DEPENDENCYPART_SIBL
(6,2),(6,25),0.0315046 # DEPENDENCYPART_SIBL
(6,2),(6,29),0.0329038 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0337651 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00243797 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0623756 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0244043 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0132971 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0147894 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0119804 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0271058 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0244738 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0664109 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0134264 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.00938699 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.00435622 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.0287199 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.00254932 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.00577069 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0517692 # DEPENDENCYPART_SIBL
(6,3),(6,25),-0.0487043 # DEPENDENCYPART_SIBL
(6,3),(6,29),-0.0146527 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0888943 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00156858 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0152632 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00573278 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.02287 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0075837 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0157038 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0184515 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0100427 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0147132 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0101069 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0454083 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.0452495 # DEPENDENCYPART_SIBL
(6,4),(6,20),0.0537713 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0106613 # DEPENDENCYPART_SIBL
(6,4),(6,22),0.0567337 # DEPENDENCYPART_SIBL
(6,4),(6,25),-0.0438311 # DEPENDENCYPART_SIBL
(6,4),(6,29),0.030763 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0133536 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0258213 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00661719 # DEPENDENCYPART_SIBL
