# _root_ A spokesman for Dow Jones said he had n't seen the group 's filing , but added , `` obviously Dow Jones disagrees with their conclusions .
#goldHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
#predictedHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
(3,5),(3,16),0.00587334 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0120343 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0405896 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0225088 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0103693 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0659575 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.079852 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.106825 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0565481 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0476574 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0575892 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.124494 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.000722184 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.00433003 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0101883 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0272932 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0815443 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0301501 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.109722 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0368049 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0262846 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0664711 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.193542 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.133837 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0360532 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0512337 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0587014 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0683897 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.119953 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0940936 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00407605 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.037427 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0575764 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0476814 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0592464 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0240293 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0291964 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0304761 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.042259 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0435092 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0570829 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0219097 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0686732 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0416185 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0399042 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.132328 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0144112 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.226107 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0567551 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.276803 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0940248 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0807509 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0392429 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0576895 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0494973 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0351825 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0259433 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0292103 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0323902 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0338932 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00529923 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0737469 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.021906 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0664039 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0393715 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0109783 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0823152 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.111321 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0475876 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.101647 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0753903 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0113472 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0247961 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0463171 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.137346 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.070995 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0463171 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.0749775 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0440937 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.0922788 # DEPENDENCYPART_SIBL
(6,2),(6,27),0.286564 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.00832925 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0280813 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0840354 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0882089 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0924482 # DEPENDENCYPART_SIBL
