# _root_ And Fairfax County , Va. , Water Authority 's 7 1\/4 % issue of 2027 was down 3\/4 at 99 7\/8 bid .
#goldHeads=16,5,5,5,8,5,8,13,8,11,13,11,16,13,14,0,16,17,16,21,22,19,16,
#predictedHeads=16,3,16,3,3,16,8,13,8,11,12,13,16,13,14,0,16,17,16,21,19,21,16,
(14,17),-1.55996 # DEPENDENCYPART_ARC
(14,18),-1.76128 # DEPENDENCYPART_ARC
(14,19),-1.67704 # DEPENDENCYPART_ARC
(14,20),-2.41486 # DEPENDENCYPART_ARC
(14,21),-2.4995 # DEPENDENCYPART_ARC
(14,22),-1.6357 # DEPENDENCYPART_ARC
(15,10),-1.6692 # DEPENDENCYPART_ARC
(15,11),-1.69804 # DEPENDENCYPART_ARC
(15,13),-1.52306 # DEPENDENCYPART_ARC
(15,14),-0.164177 # DEPENDENCYPART_ARC
(15,16),-0.440729 # DEPENDENCYPART_ARC
(15,17),-1.42281 # DEPENDENCYPART_ARC
(15,18),-2.04295 # DEPENDENCYPART_ARC
(16,1),-1.35256 # DEPENDENCYPART_ARC
(16,2),-1.75854 # DEPENDENCYPART_ARC
(16,3),-1.64136 # DEPENDENCYPART_ARC
(16,4),-1.36304 # DEPENDENCYPART_ARC
(16,5),-1.73868 # DEPENDENCYPART_ARC
(16,6),-1.18511 # DEPENDENCYPART_ARC
(16,7),-1.72463 # DEPENDENCYPART_ARC
(16,8),-1.72005 # DEPENDENCYPART_ARC
(16,10),-1.5957 # DEPENDENCYPART_ARC
(16,11),-1.56123 # DEPENDENCYPART_ARC
(16,12),-1.0066 # DEPENDENCYPART_ARC
(16,13),-0.613977 # DEPENDENCYPART_ARC
(16,14),-0.777091 # DEPENDENCYPART_ARC
(16,15),-0.0333589 # DEPENDENCYPART_ARC
(16,17),1.01167 # DEPENDENCYPART_ARC
(16,18),-0.428744 # DEPENDENCYPART_ARC
(16,19),-0.150662 # DEPENDENCYPART_ARC
(16,20),-1.20562 # DEPENDENCYPART_ARC
(16,21),-1.32598 # DEPENDENCYPART_ARC
(16,22),-1.18609 # DEPENDENCYPART_ARC
(16,23),0.311291 # DEPENDENCYPART_ARC
(17,15),-1.82845 # DEPENDENCYPART_ARC
(17,18),0.42548 # DEPENDENCYPART_ARC
(17,19),-0.753872 # DEPENDENCYPART_ARC
(17,20),-1.03483 # DEPENDENCYPART_ARC
(17,21),-1.16667 # DEPENDENCYPART_ARC
(17,22),-0.966145 # DEPENDENCYPART_ARC
(17,23),-1.3813 # DEPENDENCYPART_ARC
(18,1),-2.00461 # DEPENDENCYPART_ARC
(18,10),-1.85123 # DEPENDENCYPART_ARC
(18,11),-1.93074 # DEPENDENCYPART_ARC
(18,13),-1.84268 # DEPENDENCYPART_ARC
(18,14),-1.42695 # DEPENDENCYPART_ARC
(18,15),-1.14618 # DEPENDENCYPART_ARC
(18,17),-0.138875 # DEPENDENCYPART_ARC
(18,19),-0.238497 # DEPENDENCYPART_ARC
(18,20),-1.32609 # DEPENDENCYPART_ARC
(18,21),-1.69094 # DEPENDENCYPART_ARC
(18,22),-1.45802 # DEPENDENCYPART_ARC
(19,17),-1.70072 # DEPENDENCYPART_ARC
(19,18),-0.950805 # DEPENDENCYPART_ARC
(19,20),-0.0492384 # DEPENDENCYPART_ARC
(19,21),-0.949838 # DEPENDENCYPART_ARC
(19,22),-0.969281 # DEPENDENCYPART_ARC
(19,23),-1.7794 # DEPENDENCYPART_ARC
(20,18),-1.51344 # DEPENDENCYPART_ARC
(20,19),-0.63225 # DEPENDENCYPART_ARC
(20,21),-0.755919 # DEPENDENCYPART_ARC
(20,22),-1.16058 # DEPENDENCYPART_ARC
(21,14),-1.31142 # DEPENDENCYPART_ARC
(21,15),-1.40193 # DEPENDENCYPART_ARC
(21,17),-1.68853 # DEPENDENCYPART_ARC
(21,18),-1.10042 # DEPENDENCYPART_ARC
(21,19),-0.771662 # DEPENDENCYPART_ARC
(21,20),1.0011 # DEPENDENCYPART_ARC
(21,22),0.117455 # DEPENDENCYPART_ARC
(22,2),-2.38894 # DEPENDENCYPART_ARC
(22,3),-2.62691 # DEPENDENCYPART_ARC
(22,5),-2.17392 # DEPENDENCYPART_ARC
(22,8),-1.81361 # DEPENDENCYPART_ARC
(22,14),-1.59594 # DEPENDENCYPART_ARC
(22,15),-1.92226 # DEPENDENCYPART_ARC
(22,17),-1.16119 # DEPENDENCYPART_ARC
(22,18),-1.30648 # DEPENDENCYPART_ARC
(22,19),-1.01859 # DEPENDENCYPART_ARC
(22,20),-0.449116 # DEPENDENCYPART_ARC
(22,21),0.802037 # DEPENDENCYPART_ARC
(22,23),-0.44652 # DEPENDENCYPART_ARC
(23,21),-1.82742 # DEPENDENCYPART_ARC
(23,22),-0.959308 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.00846117 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.00166864 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0318614 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.108095 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0534501 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0581255 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.146551 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0585357 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.146579 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.12252 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0464573 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0366731 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0552439 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.042463 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.030862 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0574562 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.048816 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0582078 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0454269 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0312442 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0574562 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0325691 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0244774 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0143793 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.02689 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.042463 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0334683 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0577852 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0318439 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.057458 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.0437387 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0361198 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0519474 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0354362 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0519474 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0383192 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0333151 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0217422 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0721168 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0072897 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0432887 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0072897 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0225717 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0399698 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0593266 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.00855925 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.11343 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.062871 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.089314 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0391204 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0396702 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.0380618 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0569357 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00433219 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0220946 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0390063 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.0360335 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.089314 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0391204 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0396702 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0380618 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0338247 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0529522 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0131158 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.00567514 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.0716409 # DEPENDENCYPART_SIBL
(2,16),(2,23),0.00684145 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0275489 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0331002 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0216504 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0331002 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0206208 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0245334 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.206777 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0554213 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0598527 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0544772 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0408093 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0327209 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0204447 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.00951433 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0741458 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0467016 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.025341 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0467016 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0262869 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0167303 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.158851 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0100851 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0282251 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0112295 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.028761 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.00845223 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.051713 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.011333 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0499928 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0988556 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.061168 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0886177 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0835316 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0324247 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0220727 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0216424 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.000663437 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0407039 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0359749 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0375603 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.00250922 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0432745 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0569439 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00311516 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.000846552 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0861531 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0163331 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0168416 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.029052 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0176816 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.00783695 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0370368 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0122399 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0432644 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0886177 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0835316 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0324247 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0220727 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0216424 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.000663437 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0407039 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0359749 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0375603 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.00250922 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.0432745 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00193759 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0889353 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0191153 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0196238 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0200623 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.00869193 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.00989799 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.039949 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0127247 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.038998 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0963653 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0265468 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0270553 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0363937 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0250233 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.00605157 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0465909 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0268036 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0247386 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0159243 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0167062 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.071232 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0612041 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.182641 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0457927 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.114107 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.028886 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0227986 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.00593125 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.00226584 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0234522 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.017637 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0444948 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.0176632 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0105166 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.00454786 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0205469 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.00518716 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0420575 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.00517902 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.106745 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0684098 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0101965 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0371206 # DEPENDENCYPART_SIBL
(3,12),(3,23),0.0777491 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0187231 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.00804917 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0157022 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0715565 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0333814 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0156536 # DEPENDENCYPART_SIBL
(3,14),(3,23),0.0320881 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0245632 # DEPENDENCYPART_SIBL
(3,16),(3,23),0.00819347 # DEPENDENCYPART_SIBL
(3,19),(3,23),0.0437378 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0196142 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0137936 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0499277 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0464226 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0345747 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0384873 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.208572 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0546726 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.059104 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0492119 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.035544 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0213066 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0626096 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0217359 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0226313 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0628013 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0721168 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0622029 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0345624 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0327572 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00241135 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00714523 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.152207 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0111304 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0292704 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00405705 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0359334 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0206985 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0268854 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.051662 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0234051 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0218906 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0433891 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0587321 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0942438 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0198794 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0103228 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.16599 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00510763 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0130323 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0124827 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0524732 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0355595 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0106474 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.065028 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0387081 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.00565261 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.0642257 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0691566 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.116924 # DEPENDENCYPART_SIBL
