# _root_ After Mr. Stanley 's article was published in two Namibian newspapers , Mr. O'Linn had criminal charges brought against their editors , publisher and lawyer .
#goldHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,15,18,21,19,21,21,23,24,15,
#predictedHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,17,18,21,19,21,21,23,24,15,
(7,6),-0.394901 # DEPENDENCYPART_ARC
(7,8),0.881811 # DEPENDENCYPART_ARC
(7,9),-0.73261 # DEPENDENCYPART_ARC
(7,10),-0.946214 # DEPENDENCYPART_ARC
(7,11),-0.887899 # DEPENDENCYPART_ARC
(7,12),-1.11576 # DEPENDENCYPART_ARC
(7,14),-1.41452 # DEPENDENCYPART_ARC
(7,15),-1.47884 # DEPENDENCYPART_ARC
(7,17),-1.50894 # DEPENDENCYPART_ARC
(7,18),-1.74849 # DEPENDENCYPART_ARC
(7,19),-1.28197 # DEPENDENCYPART_ARC
(7,21),-1.75627 # DEPENDENCYPART_ARC
(7,22),-1.285 # DEPENDENCYPART_ARC
(7,23),-1.59252 # DEPENDENCYPART_ARC
(7,24),-2.05831 # DEPENDENCYPART_ARC
(7,26),-1.66726 # DEPENDENCYPART_ARC
(8,5),-1.53105 # DEPENDENCYPART_ARC
(8,9),-0.0722265 # DEPENDENCYPART_ARC
(8,10),-1.02991 # DEPENDENCYPART_ARC
(8,11),-0.420694 # DEPENDENCYPART_ARC
(8,12),-1.524 # DEPENDENCYPART_ARC
(8,14),-2.17415 # DEPENDENCYPART_ARC
(8,15),-1.5957 # DEPENDENCYPART_ARC
(8,17),-1.88385 # DEPENDENCYPART_ARC
(8,26),-1.30716 # DEPENDENCYPART_ARC
(9,8),-0.334128 # DEPENDENCYPART_ARC
(9,10),-0.205139 # DEPENDENCYPART_ARC
(9,12),-1.12269 # DEPENDENCYPART_ARC
(9,14),-1.66291 # DEPENDENCYPART_ARC
(9,15),-1.4318 # DEPENDENCYPART_ARC
(9,22),-1.50839 # DEPENDENCYPART_ARC
(10,5),-1.81014 # DEPENDENCYPART_ARC
(10,9),-0.364493 # DEPENDENCYPART_ARC
(11,1),-1.57714 # DEPENDENCYPART_ARC
(11,3),-1.2829 # DEPENDENCYPART_ARC
(11,5),-1.23681 # DEPENDENCYPART_ARC
(11,6),-1.37515 # DEPENDENCYPART_ARC
(11,7),-0.978286 # DEPENDENCYPART_ARC
(11,8),-1.05973 # DEPENDENCYPART_ARC
(11,9),0.210973 # DEPENDENCYPART_ARC
(11,10),1.4334 # DEPENDENCYPART_ARC
(11,12),0.182705 # DEPENDENCYPART_ARC
(11,13),-1.29551 # DEPENDENCYPART_ARC
(11,14),-1.38357 # DEPENDENCYPART_ARC
(11,15),-1.18873 # DEPENDENCYPART_ARC
(11,16),-1.69438 # DEPENDENCYPART_ARC
(11,17),-1.49235 # DEPENDENCYPART_ARC
(11,18),-1.67458 # DEPENDENCYPART_ARC
(11,19),-1.44073 # DEPENDENCYPART_ARC
(11,21),-1.62886 # DEPENDENCYPART_ARC
(11,22),-1.10462 # DEPENDENCYPART_ARC
(11,23),-2.08023 # DEPENDENCYPART_ARC
(11,24),-2.34549 # DEPENDENCYPART_ARC
(11,25),-2.27153 # DEPENDENCYPART_ARC
(11,26),-2.32512 # DEPENDENCYPART_ARC
(13,11),-1.73189 # DEPENDENCYPART_ARC
(13,14),-0.294163 # DEPENDENCYPART_ARC
(13,17),-1.85405 # DEPENDENCYPART_ARC
(14,9),-1.96709 # DEPENDENCYPART_ARC
(14,10),-1.45708 # DEPENDENCYPART_ARC
(14,11),-1.10975 # DEPENDENCYPART_ARC
(14,12),-1.44205 # DEPENDENCYPART_ARC
(14,13),1.3306 # DEPENDENCYPART_ARC
(14,16),-1.34588 # DEPENDENCYPART_ARC
(14,17),-1.67318 # DEPENDENCYPART_ARC
(15,1),-0.730947 # DEPENDENCYPART_ARC
(15,3),-1.88611 # DEPENDENCYPART_ARC
(15,5),-1.45539 # DEPENDENCYPART_ARC
(15,6),-1.76891 # DEPENDENCYPART_ARC
(15,7),-1.63913 # DEPENDENCYPART_ARC
(15,8),-0.79941 # DEPENDENCYPART_ARC
(15,9),-1.50509 # DEPENDENCYPART_ARC
(15,10),-1.40843 # DEPENDENCYPART_ARC
(15,11),-1.00707 # DEPENDENCYPART_ARC
(15,12),-0.459721 # DEPENDENCYPART_ARC
(15,13),-0.837726 # DEPENDENCYPART_ARC
(15,14),0.151898 # DEPENDENCYPART_ARC
(15,16),0.64911 # DEPENDENCYPART_ARC
(15,17),0.233425 # DEPENDENCYPART_ARC
(15,18),-0.40308 # DEPENDENCYPART_ARC
(15,19),-0.612369 # DEPENDENCYPART_ARC
(15,21),-1.05797 # DEPENDENCYPART_ARC
(15,22),-1.02395 # DEPENDENCYPART_ARC
(15,23),-1.18059 # DEPENDENCYPART_ARC
(15,24),-1.37353 # DEPENDENCYPART_ARC
(15,25),-1.29609 # DEPENDENCYPART_ARC
(15,26),-0.0765209 # DEPENDENCYPART_ARC
(16,14),-1.24717 # DEPENDENCYPART_ARC
(16,17),-0.137917 # DEPENDENCYPART_ARC
(16,18),-0.987605 # DEPENDENCYPART_ARC
(16,19),-1.19911 # DEPENDENCYPART_ARC
(16,21),-1.5697 # DEPENDENCYPART_ARC
(17,7),-1.64648 # DEPENDENCYPART_ARC
(17,9),-1.52702 # DEPENDENCYPART_ARC
(17,10),-1.13019 # DEPENDENCYPART_ARC
(17,11),-1.52195 # DEPENDENCYPART_ARC
(17,13),-0.801075 # DEPENDENCYPART_ARC
(17,14),-0.574793 # DEPENDENCYPART_ARC
(17,15),-0.679519 # DEPENDENCYPART_ARC
(17,16),1.41569 # DEPENDENCYPART_ARC
(17,18),0.363205 # DEPENDENCYPART_ARC
(17,19),-0.666775 # DEPENDENCYPART_ARC
(17,21),-1.18061 # DEPENDENCYPART_ARC
(17,22),-1.27016 # DEPENDENCYPART_ARC
(17,23),-1.61544 # DEPENDENCYPART_ARC
(17,24),-1.76662 # DEPENDENCYPART_ARC
(17,25),-1.84723 # DEPENDENCYPART_ARC
(17,26),-1.80561 # DEPENDENCYPART_ARC
(18,1),-1.94079 # DEPENDENCYPART_ARC
(18,5),-1.66753 # DEPENDENCYPART_ARC
(18,6),-1.70152 # DEPENDENCYPART_ARC
(18,7),-2.02776 # DEPENDENCYPART_ARC
(18,8),-1.7675 # DEPENDENCYPART_ARC
(18,11),-1.57177 # DEPENDENCYPART_ARC
(18,13),-1.71566 # DEPENDENCYPART_ARC
(18,14),-1.60198 # DEPENDENCYPART_ARC
(18,15),-1.28358 # DEPENDENCYPART_ARC
(18,16),-1.37704 # DEPENDENCYPART_ARC
(18,17),-0.390955 # DEPENDENCYPART_ARC
(18,19),0.837136 # DEPENDENCYPART_ARC
(18,20),-0.884234 # DEPENDENCYPART_ARC
(18,21),-0.754666 # DEPENDENCYPART_ARC
(18,22),-1.29889 # DEPENDENCYPART_ARC
(18,23),-1.04661 # DEPENDENCYPART_ARC
(18,24),-1.40535 # DEPENDENCYPART_ARC
(18,25),-1.23794 # DEPENDENCYPART_ARC
(18,26),-1.36122 # DEPENDENCYPART_ARC
(19,17),-1.54178 # DEPENDENCYPART_ARC
(19,18),-0.451673 # DEPENDENCYPART_ARC
(19,20),0.0630168 # DEPENDENCYPART_ARC
(19,21),0.0452174 # DEPENDENCYPART_ARC
(19,22),-1.09474 # DEPENDENCYPART_ARC
(19,23),-1.03468 # DEPENDENCYPART_ARC
(19,24),-1.39039 # DEPENDENCYPART_ARC
(19,25),-1.7657 # DEPENDENCYPART_ARC
(20,23),-1.50169 # DEPENDENCYPART_ARC
(21,9),-2.11151 # DEPENDENCYPART_ARC
(21,16),-1.49814 # DEPENDENCYPART_ARC
(21,17),-1.4139 # DEPENDENCYPART_ARC
(21,18),-1.17961 # DEPENDENCYPART_ARC
(21,19),-0.970147 # DEPENDENCYPART_ARC
(21,20),1.13748 # DEPENDENCYPART_ARC
(21,22),0.182515 # DEPENDENCYPART_ARC
(21,23),-1.04458 # DEPENDENCYPART_ARC
(21,24),-1.62717 # DEPENDENCYPART_ARC
(21,25),-1.56479 # DEPENDENCYPART_ARC
(22,23),-0.335326 # DEPENDENCYPART_ARC
(23,18),-1.63818 # DEPENDENCYPART_ARC
(23,19),-1.46692 # DEPENDENCYPART_ARC
(23,20),-0.713335 # DEPENDENCYPART_ARC
(23,21),-0.652532 # DEPENDENCYPART_ARC
(23,22),-0.250488 # DEPENDENCYPART_ARC
(23,24),1.04678 # DEPENDENCYPART_ARC
(23,25),-0.804957 # DEPENDENCYPART_ARC
(23,26),-0.955614 # DEPENDENCYPART_ARC
(24,25),0.876643 # DEPENDENCYPART_ARC
(24,26),-0.736681 # DEPENDENCYPART_ARC
(25,20),-1.53533 # DEPENDENCYPART_ARC
(25,21),-1.61184 # DEPENDENCYPART_ARC
(25,23),-0.951396 # DEPENDENCYPART_ARC
(0,1),(0,6),-0.143871 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.05035 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.128845 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.056096 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.104769 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.240072 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.104809 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0922337 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.105412 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0961936 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0893711 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0690454 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.117772 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.076375 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0662751 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0460801 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.091388 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0100646 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0624038 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.0102766 # DEPENDENCYPART_SIBL
(1,2),(1,26),-0.0585233 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0689304 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.117192 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0760857 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0661242 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0458284 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0908194 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0114694 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.062129 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.00833994 # DEPENDENCYPART_SIBL
(1,3),(1,26),-0.0456693 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0999157 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0365138 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0171444 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0634681 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0884955 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0669692 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0454599 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.0171011 # DEPENDENCYPART_SIBL
(1,4),(1,26),-0.0583596 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.047824 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.051242 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0543086 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.142738 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.00093715 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0569044 # DEPENDENCYPART_SIBL
(1,5),(1,24),0.0190245 # DEPENDENCYPART_SIBL
(1,5),(1,26),-0.0546838 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0101703 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0455395 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0287222 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0279286 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0697291 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.18578 # DEPENDENCYPART_SIBL
(1,6),(1,26),0.094296 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0181392 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0499322 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0412456 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0201616 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.0352821 # DEPENDENCYPART_SIBL
(1,7),(1,26),-0.0180995 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.035007 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.021834 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0499821 # DEPENDENCYPART_SIBL
(1,8),(1,24),-0.0169251 # DEPENDENCYPART_SIBL
(1,8),(1,26),-0.078811 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0464416 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.0566059 # DEPENDENCYPART_SIBL
(1,11),(1,24),0.0392922 # DEPENDENCYPART_SIBL
(1,11),(1,26),-0.0324053 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0190764 # DEPENDENCYPART_SIBL
(1,12),(1,24),0.0314651 # DEPENDENCYPART_SIBL
(1,12),(1,26),0.00714828 # DEPENDENCYPART_SIBL
(1,15),(1,24),0.115315 # DEPENDENCYPART_SIBL
(1,15),(1,26),0.0648135 # DEPENDENCYPART_SIBL
(1,24),(1,26),-0.04212 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.171409 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0866629 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.171369 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0273266 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00422476 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.021068 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0184143 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0182073 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.12064 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0933806 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0209724 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0121316 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.03702 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.061376 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0493364 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0462713 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.021869 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00703429 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0645519 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00285974 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00183708 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0134535 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0181241 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0438453 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0027239 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0358921 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0252464 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0230015 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0162738 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0361424 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0159901 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0193444 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0158878 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.036914 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00812412 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0946978 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0251771 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0118278 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0291578 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00801031 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0746485 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0103249 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.128499 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.116525 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0476879 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00256983 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0847106 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0166365 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0738325 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0645169 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0490684 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0106575 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0307593 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.054009 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00435714 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.010215 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0271883 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.00712798 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.00490365 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0423177 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0273386 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.00150239 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0265323 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0228014 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0370164 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.00213583 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00193664 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0243518 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00798102 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0364068 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.070592 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0133831 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0326279 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0289727 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0718343 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0602834 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0253621 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0360722 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.00241731 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0718343 # DEPENDENCYPART_SIBL
(6,1),(6,24),0.00383066 # DEPENDENCYPART_SIBL
(6,1),(6,26),0.0482933 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0688473 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0735239 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0472243 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00698942 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0168708 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0121998 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0767056 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0216395 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0600292 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0429429 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0613728 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0289345 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.0216395 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0307803 # DEPENDENCYPART_SIBL
(6,3),(6,26),-0.0297897 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.00614501 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.000848497 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0324755 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0321628 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0193579 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0269566 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.00760721 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0338006 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0453522 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.00908228 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0203008 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.00760721 # DEPENDENCYPART_SIBL
(6,4),(6,24),-0.0566803 # DEPENDENCYPART_SIBL
(6,4),(6,26),0.0325543 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00182658 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0218284 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0214284 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0179777 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00995634 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00196884 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.048087 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0071324 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.00288028 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.00517925 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.00196884 # DEPENDENCYPART_SIBL
(6,5),(6,24),0.0373315 # DEPENDENCYPART_SIBL
(6,5),(6,26),0.0557404 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0732964 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0688364 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0995748 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0789612 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0546132 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.113285 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0382007 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.17298 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.1365 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.0546132 # DEPENDENCYPART_SIBL
(6,7),(6,24),0.0162773 # DEPENDENCYPART_SIBL
(6,7),(6,26),0.00323436 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0322976 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0252447 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0158492 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0101208 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0539424 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0118051 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0432001 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0576029 # DEPENDENCYPART_SIBL
(6,8),(6,22),0.0101208 # DEPENDENCYPART_SIBL
(6,8),(6,24),-0.0293249 # DEPENDENCYPART_SIBL
(6,8),(6,26),-0.0202458 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0927348 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.116628 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0197631 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0880041 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0241471 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.102804 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.135644 # DEPENDENCYPART_SIBL
(6,9),(6,22),-0.0197631 # DEPENDENCYPART_SIBL
(6,9),(6,24),-0.0588606 # DEPENDENCYPART_SIBL
