# _root_ That 50 % is now held by Clifford Parker , Regatta 's president and chief executive officer , who will continue to manage Regatta 's operations under Gitano .
#goldHeads=3,3,4,0,4,4,6,9,7,9,13,11,9,13,17,17,14,9,20,9,20,21,22,26,24,23,23,27,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,9,13,11,9,13,17,17,14,9,20,17,20,21,22,26,24,23,23,27,4,
(7,20),-1.67324 # DEPENDENCYPART_ARC
(8,9),-0.498787 # DEPENDENCYPART_ARC
(8,10),-1.23796 # DEPENDENCYPART_ARC
(8,11),-1.93678 # DEPENDENCYPART_ARC
(8,12),-2.34511 # DEPENDENCYPART_ARC
(8,13),-1.89993 # DEPENDENCYPART_ARC
(8,14),-2.30091 # DEPENDENCYPART_ARC
(8,17),-2.27666 # DEPENDENCYPART_ARC
(8,18),-2.21807 # DEPENDENCYPART_ARC
(9,1),-2.71823 # DEPENDENCYPART_ARC
(9,3),-1.84102 # DEPENDENCYPART_ARC
(9,5),-1.83028 # DEPENDENCYPART_ARC
(9,6),-1.44955 # DEPENDENCYPART_ARC
(9,8),1.27225 # DEPENDENCYPART_ARC
(9,10),0.525466 # DEPENDENCYPART_ARC
(9,11),-1.27929 # DEPENDENCYPART_ARC
(9,12),-1.22865 # DEPENDENCYPART_ARC
(9,13),-1.13467 # DEPENDENCYPART_ARC
(9,14),-1.82815 # DEPENDENCYPART_ARC
(9,15),-1.80586 # DEPENDENCYPART_ARC
(9,17),-1.60832 # DEPENDENCYPART_ARC
(9,18),-1.32584 # DEPENDENCYPART_ARC
(9,19),-2.09157 # DEPENDENCYPART_ARC
(9,20),-1.73453 # DEPENDENCYPART_ARC
(9,25),-2.70482 # DEPENDENCYPART_ARC
(9,28),-3.09249 # DEPENDENCYPART_ARC
(9,29),-1.96806 # DEPENDENCYPART_ARC
(11,1),-2.74319 # DEPENDENCYPART_ARC
(11,6),-1.77541 # DEPENDENCYPART_ARC
(11,8),-0.753337 # DEPENDENCYPART_ARC
(11,9),-1.00333 # DEPENDENCYPART_ARC
(11,10),-0.544183 # DEPENDENCYPART_ARC
(11,12),1.30379 # DEPENDENCYPART_ARC
(11,13),-0.739038 # DEPENDENCYPART_ARC
(11,14),-0.977552 # DEPENDENCYPART_ARC
(11,18),-1.45743 # DEPENDENCYPART_ARC
(11,25),-1.79168 # DEPENDENCYPART_ARC
(13,3),-2.19826 # DEPENDENCYPART_ARC
(13,8),-1.3905 # DEPENDENCYPART_ARC
(13,9),-1.31467 # DEPENDENCYPART_ARC
(13,10),-1.78093 # DEPENDENCYPART_ARC
(13,11),0.315428 # DEPENDENCYPART_ARC
(13,12),0.162466 # DEPENDENCYPART_ARC
(13,14),0.686114 # DEPENDENCYPART_ARC
(13,15),-0.985238 # DEPENDENCYPART_ARC
(13,16),-1.18919 # DEPENDENCYPART_ARC
(13,17),-1.2265 # DEPENDENCYPART_ARC
(13,18),-1.28566 # DEPENDENCYPART_ARC
(13,19),-1.58318 # DEPENDENCYPART_ARC
(13,20),-1.33301 # DEPENDENCYPART_ARC
(13,21),-1.69857 # DEPENDENCYPART_ARC
(13,22),-1.38946 # DEPENDENCYPART_ARC
(13,24),-1.86996 # DEPENDENCYPART_ARC
(13,25),-2.21869 # DEPENDENCYPART_ARC
(13,26),-1.63473 # DEPENDENCYPART_ARC
(13,27),-1.47505 # DEPENDENCYPART_ARC
(13,28),-1.96034 # DEPENDENCYPART_ARC
(13,29),-1.66979 # DEPENDENCYPART_ARC
(14,15),0.502757 # DEPENDENCYPART_ARC
(14,16),-0.478411 # DEPENDENCYPART_ARC
(14,17),-0.633835 # DEPENDENCYPART_ARC
(14,18),-1.12556 # DEPENDENCYPART_ARC
(14,19),-1.63062 # DEPENDENCYPART_ARC
(14,20),-1.60144 # DEPENDENCYPART_ARC
(14,21),-1.76736 # DEPENDENCYPART_ARC
(14,22),-1.42301 # DEPENDENCYPART_ARC
(14,26),-2.18382 # DEPENDENCYPART_ARC
(15,16),-0.431763 # DEPENDENCYPART_ARC
(15,20),-1.47216 # DEPENDENCYPART_ARC
(15,22),-1.71824 # DEPENDENCYPART_ARC
(16,15),0.253007 # DEPENDENCYPART_ARC
(17,8),-1.67966 # DEPENDENCYPART_ARC
(17,9),-1.81733 # DEPENDENCYPART_ARC
(17,11),-0.910302 # DEPENDENCYPART_ARC
(17,13),-0.88174 # DEPENDENCYPART_ARC
(17,15),0.175469 # DEPENDENCYPART_ARC
(17,16),1.48623 # DEPENDENCYPART_ARC
(17,18),0.00921686 # DEPENDENCYPART_ARC
(17,19),-1.50122 # DEPENDENCYPART_ARC
(17,20),-1.2924 # DEPENDENCYPART_ARC
(17,21),-1.74618 # DEPENDENCYPART_ARC
(17,22),-1.66273 # DEPENDENCYPART_ARC
(17,25),-2.22657 # DEPENDENCYPART_ARC
(17,26),-2.02245 # DEPENDENCYPART_ARC
(17,29),-1.81166 # DEPENDENCYPART_ARC
(19,17),-1.57479 # DEPENDENCYPART_ARC
(19,21),-1.18143 # DEPENDENCYPART_ARC
(20,1),-2.34684 # DEPENDENCYPART_ARC
(20,3),-2.07879 # DEPENDENCYPART_ARC
(20,4),-2.04883 # DEPENDENCYPART_ARC
(20,5),-2.11077 # DEPENDENCYPART_ARC
(20,6),-1.91073 # DEPENDENCYPART_ARC
(20,7),-1.44814 # DEPENDENCYPART_ARC
(20,8),-1.79795 # DEPENDENCYPART_ARC
(20,9),-1.89166 # DEPENDENCYPART_ARC
(20,10),-2.36594 # DEPENDENCYPART_ARC
(20,11),-1.81057 # DEPENDENCYPART_ARC
(20,13),-1.55359 # DEPENDENCYPART_ARC
(20,14),-1.65336 # DEPENDENCYPART_ARC
(20,15),-1.96561 # DEPENDENCYPART_ARC
(20,17),-1.27335 # DEPENDENCYPART_ARC
(20,18),-1.11157 # DEPENDENCYPART_ARC
(20,19),0.26929 # DEPENDENCYPART_ARC
(20,21),1.2977 # DEPENDENCYPART_ARC
(20,22),-0.714038 # DEPENDENCYPART_ARC
(20,23),-0.571322 # DEPENDENCYPART_ARC
(20,24),-1.30746 # DEPENDENCYPART_ARC
(20,26),-1.46186 # DEPENDENCYPART_ARC
(20,27),-1.26748 # DEPENDENCYPART_ARC
(20,28),-1.72398 # DEPENDENCYPART_ARC
(20,29),-0.610939 # DEPENDENCYPART_ARC
(21,1),-2.14915 # DEPENDENCYPART_ARC
(21,3),-1.77417 # DEPENDENCYPART_ARC
(21,4),-1.94229 # DEPENDENCYPART_ARC
(21,13),-1.59919 # DEPENDENCYPART_ARC
(21,17),-1.32824 # DEPENDENCYPART_ARC
(21,18),-1.38345 # DEPENDENCYPART_ARC
(21,19),-1.07059 # DEPENDENCYPART_ARC
(21,22),0.952584 # DEPENDENCYPART_ARC
(21,23),-0.354189 # DEPENDENCYPART_ARC
(21,24),-0.853738 # DEPENDENCYPART_ARC
(21,25),-1.30608 # DEPENDENCYPART_ARC
(21,26),-0.998163 # DEPENDENCYPART_ARC
(21,27),-0.832408 # DEPENDENCYPART_ARC
(21,28),-1.52765 # DEPENDENCYPART_ARC
(21,29),-1.38349 # DEPENDENCYPART_ARC
(22,19),-1.2876 # DEPENDENCYPART_ARC
(22,23),1.10495 # DEPENDENCYPART_ARC
(22,24),-0.724852 # DEPENDENCYPART_ARC
(22,25),-1.2321 # DEPENDENCYPART_ARC
(22,26),-0.921801 # DEPENDENCYPART_ARC
(22,27),-1.22037 # DEPENDENCYPART_ARC
(22,28),-1.81044 # DEPENDENCYPART_ARC
(23,4),-2.19265 # DEPENDENCYPART_ARC
(23,19),-1.39707 # DEPENDENCYPART_ARC
(23,24),0.428903 # DEPENDENCYPART_ARC
(23,25),-0.688464 # DEPENDENCYPART_ARC
(23,26),-0.56369 # DEPENDENCYPART_ARC
(23,27),-0.761224 # DEPENDENCYPART_ARC
(23,28),-1.12813 # DEPENDENCYPART_ARC
(23,29),-1.33668 # DEPENDENCYPART_ARC
(24,19),-1.67769 # DEPENDENCYPART_ARC
(24,23),0.138527 # DEPENDENCYPART_ARC
(24,25),1.37472 # DEPENDENCYPART_ARC
(24,26),-0.713941 # DEPENDENCYPART_ARC
(24,27),-0.830802 # DEPENDENCYPART_ARC
(24,28),-1.41707 # DEPENDENCYPART_ARC
(26,6),-1.94255 # DEPENDENCYPART_ARC
(26,8),-2.19772 # DEPENDENCYPART_ARC
(26,9),-2.34252 # DEPENDENCYPART_ARC
(26,11),-1.91854 # DEPENDENCYPART_ARC
(26,13),-1.66981 # DEPENDENCYPART_ARC
(26,15),-1.64456 # DEPENDENCYPART_ARC
(26,16),-1.66368 # DEPENDENCYPART_ARC
(26,19),-1.85101 # DEPENDENCYPART_ARC
(26,24),0.310656 # DEPENDENCYPART_ARC
(26,25),0.357516 # DEPENDENCYPART_ARC
(26,27),0.0362981 # DEPENDENCYPART_ARC
(26,28),-1.45121 # DEPENDENCYPART_ARC
(26,29),-1.41042 # DEPENDENCYPART_ARC
(27,26),-0.805568 # DEPENDENCYPART_ARC
(27,28),0.322644 # DEPENDENCYPART_ARC
(28,24),-1.51909 # DEPENDENCYPART_ARC
(28,26),-0.935295 # DEPENDENCYPART_ARC
(28,27),-0.101044 # DEPENDENCYPART_ARC
(28,29),-0.357817 # DEPENDENCYPART_ARC
(29,28),-0.528771 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0737204 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0871112 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.017733 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0577351 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.133651 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0382946 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0999722 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.111272 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.122794 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.053946 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00344217 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0487488 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00211425 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.03509 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0243901 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00318886 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0244024 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.00901754 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.11288 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0276081 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0514104 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.000218842 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0408103 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.00484348 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.10522 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.127375 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0766383 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.235108 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.204637 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.234616 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.108477 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0118625 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0946591 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0423258 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0482773 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.00454237 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0160209 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.030464 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.068239 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.0218604 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.022087 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0540238 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.0282332 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.215439 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.181807 # DEPENDENCYPART_SIBL
(1,14),(1,20),-0.0244011 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0385557 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.063172 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0312119 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.10109 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0152469 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0324143 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00157895 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00225844 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0520775 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00327523 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0839687 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0219349 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0544447 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.131792 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0423838 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.1753 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0213095 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0952552 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0788761 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0211408 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0685737 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0315363 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0669603 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0186276 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0104595 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0034968 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.102955 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0340819 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0346924 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0109927 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0134331 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0660311 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.119195 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.000185112 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0643465 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.190141 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.178897 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.184718 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.1142 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.183602 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0605486 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0206918 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.163191 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.101946 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0127707 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.1142 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0356008 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0394888 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.172023 # DEPENDENCYPART_SIBL
(4,1),(4,29),-0.196636 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.138791 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0248138 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0764296 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0514601 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0274978 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0333059 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0116591 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0322028 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0695104 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0268326 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0346387 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0133015 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0300182 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0116591 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.04186 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0295044 # DEPENDENCYPART_SIBL
(4,2),(4,27),-0.0177735 # DEPENDENCYPART_SIBL
(4,2),(4,29),-0.0374146 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00741735 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0169344 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0296893 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0436526 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0490982 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0352085 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0479891 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.00333512 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0738316 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0223637 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.032863 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0663977 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0352085 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0329784 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0462006 # DEPENDENCYPART_SIBL
(4,3),(4,27),-0.0160627 # DEPENDENCYPART_SIBL
(4,3),(4,29),-0.0506382 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0863524 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0550948 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0563263 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0563264 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0550913 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0563264 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0579079 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0891386 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.010722 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.100717 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.103053 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0550913 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0528896 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0310474 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.093266 # DEPENDENCYPART_SIBL
(4,5),(4,29),0.0776732 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.198861 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.114756 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.114756 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0427464 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.114756 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0863447 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.132743 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.100053 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0918406 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.121735 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0427464 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0604521 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.121348 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.126977 # DEPENDENCYPART_SIBL
(4,6),(4,29),-0.0155104 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0608326 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0608402 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00411901 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0608325 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0529053 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0141671 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0370025 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.041186 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.029574 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.00411901 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0698305 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0667953 # DEPENDENCYPART_SIBL
(4,7),(4,27),0.0377234 # DEPENDENCYPART_SIBL
(4,7),(4,29),-0.0703887 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0598929 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00591628 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0598909 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0618612 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0471007 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.027488 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00375747 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0290301 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.00591628 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.00970359 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0256306 # DEPENDENCYPART_SIBL
(4,8),(4,27),0.000629716 # DEPENDENCYPART_SIBL
(4,8),(4,29),0.00119354 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00699462 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0605519 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0625143 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.047957 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0268706 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.00441058 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0298864 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.00699462 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0103567 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.0262837 # DEPENDENCYPART_SIBL
(4,9),(4,27),-3.60546e-05 # DEPENDENCYPART_SIBL
(4,9),(4,29),-0.00123673 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0038472 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0202958 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.111456 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.046922 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0661117 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.107757 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0234152 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0316761 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0093009 # DEPENDENCYPART_SIBL
