# _root_ It also recommends better retirement and day-care benefits , and basing pay on education , experience and nurses ' demanding work schedules .
#goldHeads=3,3,0,5,3,5,8,6,8,8,10,11,11,13,14,14,16,22,18,22,22,17,3,
#predictedHeads=3,3,0,5,3,5,8,6,3,3,10,11,11,13,14,14,16,22,18,22,22,17,3,
(9,8),-0.417987 # DEPENDENCYPART_ARC
(9,10),-0.192243 # DEPENDENCYPART_ARC
(10,8),-1.59146 # DEPENDENCYPART_ARC
(10,9),-0.624102 # DEPENDENCYPART_ARC
(10,11),0.240688 # DEPENDENCYPART_ARC
(10,12),-0.493683 # DEPENDENCYPART_ARC
(10,13),-1.31031 # DEPENDENCYPART_ARC
(10,14),-1.51168 # DEPENDENCYPART_ARC
(10,15),-1.0466 # DEPENDENCYPART_ARC
(10,16),-2.04617 # DEPENDENCYPART_ARC
(10,17),-0.856442 # DEPENDENCYPART_ARC
(10,22),-2.82542 # DEPENDENCYPART_ARC
(11,5),-2.1414 # DEPENDENCYPART_ARC
(11,8),-1.87805 # DEPENDENCYPART_ARC
(11,12),0.583151 # DEPENDENCYPART_ARC
(11,13),-0.332575 # DEPENDENCYPART_ARC
(11,14),-0.686234 # DEPENDENCYPART_ARC
(11,15),-1.27791 # DEPENDENCYPART_ARC
(11,16),-1.14536 # DEPENDENCYPART_ARC
(11,17),-1.5261 # DEPENDENCYPART_ARC
(11,18),-1.35801 # DEPENDENCYPART_ARC
(11,22),-1.60736 # DEPENDENCYPART_ARC
(11,23),-1.77902 # DEPENDENCYPART_ARC
(12,4),-1.71026 # DEPENDENCYPART_ARC
(12,5),-1.87152 # DEPENDENCYPART_ARC
(12,7),-1.17286 # DEPENDENCYPART_ARC
(12,8),-1.27065 # DEPENDENCYPART_ARC
(12,9),-1.77151 # DEPENDENCYPART_ARC
(12,10),-0.923477 # DEPENDENCYPART_ARC
(12,11),0.276493 # DEPENDENCYPART_ARC
(12,13),0.339383 # DEPENDENCYPART_ARC
(12,14),-0.985345 # DEPENDENCYPART_ARC
(12,15),-1.25888 # DEPENDENCYPART_ARC
(12,16),-1.29156 # DEPENDENCYPART_ARC
(12,17),-1.83724 # DEPENDENCYPART_ARC
(12,18),-1.5346 # DEPENDENCYPART_ARC
(12,19),-2.09992 # DEPENDENCYPART_ARC
(12,22),-1.66982 # DEPENDENCYPART_ARC
(12,23),-1.5241 # DEPENDENCYPART_ARC
(13,9),-1.92951 # DEPENDENCYPART_ARC
(13,12),-0.656824 # DEPENDENCYPART_ARC
(13,14),1.50019 # DEPENDENCYPART_ARC
(13,15),-1.08988 # DEPENDENCYPART_ARC
(13,16),-0.818572 # DEPENDENCYPART_ARC
(13,17),-1.41492 # DEPENDENCYPART_ARC
(13,18),-1.28982 # DEPENDENCYPART_ARC
(13,22),-1.68979 # DEPENDENCYPART_ARC
(14,11),-1.71519 # DEPENDENCYPART_ARC
(14,12),-1.1732 # DEPENDENCYPART_ARC
(14,13),-0.38028 # DEPENDENCYPART_ARC
(14,15),0.143071 # DEPENDENCYPART_ARC
(14,16),-0.659644 # DEPENDENCYPART_ARC
(14,17),-1.54299 # DEPENDENCYPART_ARC
(14,18),-1.33603 # DEPENDENCYPART_ARC
(14,19),-1.85053 # DEPENDENCYPART_ARC
(14,22),-1.66604 # DEPENDENCYPART_ARC
(14,23),-1.80984 # DEPENDENCYPART_ARC
(16,11),-1.53697 # DEPENDENCYPART_ARC
(16,12),-1.47681 # DEPENDENCYPART_ARC
(16,13),-1.2912 # DEPENDENCYPART_ARC
(16,14),-0.512838 # DEPENDENCYPART_ARC
(16,15),-0.1991 # DEPENDENCYPART_ARC
(16,17),0.776434 # DEPENDENCYPART_ARC
(16,18),-0.657535 # DEPENDENCYPART_ARC
(16,19),-1.07018 # DEPENDENCYPART_ARC
(16,20),-1.27509 # DEPENDENCYPART_ARC
(16,21),-1.36319 # DEPENDENCYPART_ARC
(16,22),-1.26786 # DEPENDENCYPART_ARC
(16,23),-1.35983 # DEPENDENCYPART_ARC
(17,18),0.77575 # DEPENDENCYPART_ARC
(17,19),-0.714121 # DEPENDENCYPART_ARC
(17,20),-1.24413 # DEPENDENCYPART_ARC
(17,21),-1.31492 # DEPENDENCYPART_ARC
(17,22),-1.57636 # DEPENDENCYPART_ARC
(18,16),-0.808092 # DEPENDENCYPART_ARC
(18,19),0.798166 # DEPENDENCYPART_ARC
(18,20),-1.02235 # DEPENDENCYPART_ARC
(18,21),-1.12158 # DEPENDENCYPART_ARC
(18,22),-1.15313 # DEPENDENCYPART_ARC
(18,23),-1.4 # DEPENDENCYPART_ARC
(19,18),-0.0706911 # DEPENDENCYPART_ARC
(19,20),-0.398231 # DEPENDENCYPART_ARC
(19,22),-1.58416 # DEPENDENCYPART_ARC
(20,18),-1.41244 # DEPENDENCYPART_ARC
(20,19),-0.384329 # DEPENDENCYPART_ARC
(20,21),-0.445938 # DEPENDENCYPART_ARC
(21,18),-1.61405 # DEPENDENCYPART_ARC
(21,19),-1.51085 # DEPENDENCYPART_ARC
(21,20),-0.120511 # DEPENDENCYPART_ARC
(22,4),-1.58709 # DEPENDENCYPART_ARC
(22,5),-1.59719 # DEPENDENCYPART_ARC
(22,12),-1.22808 # DEPENDENCYPART_ARC
(22,14),-0.94862 # DEPENDENCYPART_ARC
(22,16),-1.00244 # DEPENDENCYPART_ARC
(22,18),-0.698776 # DEPENDENCYPART_ARC
(22,19),-0.976312 # DEPENDENCYPART_ARC
(22,20),0.325235 # DEPENDENCYPART_ARC
(22,21),1.93766 # DEPENDENCYPART_ARC
(22,23),-0.420369 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0135337 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0901334 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0163022 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.110405 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0141522 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0690908 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0250239 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0153152 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0185131 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00163793 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.036397 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00163793 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0131187 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0115219 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0139037 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0409258 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0139037 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0124909 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00176748 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0510763 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00176748 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00143481 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0718168 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.00143481 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0551044 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.559316 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0240805 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0247525 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00455628 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0260156 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0930563 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0930563 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0293638 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0304195 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0258593 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0537074 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0537074 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.147452 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00832076 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0333458 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0333458 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.0304394 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0288662 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0288662 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.00892997 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.516224 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0563708 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.0563708 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0120205 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0348169 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.058264 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.122349 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0584892 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00357896 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0702468 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.122349 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.043861 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0454222 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0301421 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0702468 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.122349 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.00244995 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0246874 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0140834 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0273751 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0534363 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0276694 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0168506 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0616439 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0534363 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0784867 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00162097 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0570706 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0616439 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0534363 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0196288 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.153605 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0298627 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0446864 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0298627 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0687053 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0126995 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0446864 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0253283 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0208449 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.00395972 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0126995 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0446864 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0682152 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.0161821 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.072163 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0260529 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0652263 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0422413 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.072163 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0220303 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.01938 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0422269 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0422413 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.072163 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0662846 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0360718 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.009383 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0120318 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00562855 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.575528 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0371344 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.000335227 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0218226 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.00562855 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.575528 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0122227 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.0519879 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0650467 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0311951 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0676568 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0222074 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0192038 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0474359 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0311951 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0676568 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.066105 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.0398269 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0629245 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0747118 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0941399 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.00919981 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0923277 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0629245 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0747118 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.08481 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0536417 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0743125 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.105037 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0623095 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0344493 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0142431 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.0743125 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0140347 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.05499 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0371344 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.000335227 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0218226 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.00562855 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.575528 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.0122227 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.0519879 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0429579 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.071437 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0148211 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0613898 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.0662969 # DEPENDENCYPART_SIBL
(3,11),(3,23),0.0414121 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0543134 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0326097 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.121928 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0592473 # DEPENDENCYPART_SIBL
(3,12),(3,23),0.0467793 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0682351 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0251312 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0111141 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0809587 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.0743125 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.0140347 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.05499 # DEPENDENCYPART_SIBL
(3,17),(3,22),0.0122227 # DEPENDENCYPART_SIBL
(3,17),(3,23),0.0519879 # DEPENDENCYPART_SIBL
(3,22),(3,23),0.0375276 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0452422 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00922738 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0201916 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0969702 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.029041 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0280843 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0969702 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0384553 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0438879 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0280843 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0969702 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00898252 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00663604 # DEPENDENCYPART_SIBL
(4,2),(4,6),-2.84237e-05 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0194656 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0192381 # DEPENDENCYPART_SIBL
(4,2),(4,10),-2.84237e-05 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0266603 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0101925 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0192381 # DEPENDENCYPART_SIBL
(4,2),(4,17),-2.84237e-05 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0198503 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0432716 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0178412 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.000111875 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0432716 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00424477 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0142048 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.000111875 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0432716 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0254042 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0524556 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00339202 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0254042 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.000503045 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.00134775 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.00339202 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0254042 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0286216 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.000879378 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.518518 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0236128 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00909158 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.000879378 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.518518 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0281062 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0172003 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0284338 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0116881 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0281062 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.0172003 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0912558 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0499037 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00357081 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0333677 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0912558 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0236128 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.00909158 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.000879378 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.518518 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0215368 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.00452339 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0336382 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0291843 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.0754561 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.0912558 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0396509 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0486933 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00289167 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.046143 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0656571 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.00511702 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0795831 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.046143 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.00621697 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0767514 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0247657 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0654889 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0795831 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0660298 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.046143 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.00819165 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.104074 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0282588 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0478937 # DEPENDENCYPART_SIBL
