# _root_ `` It 's pure psychology , '' said William Au Yeung , an account executive for Drexel Burnham Lambert ( HK ) Ltd. in Hong Kong .
#goldHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
#predictedHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
(18,19),-0.580055 # DEPENDENCYPART_ARC
(18,21),-1.85843 # DEPENDENCYPART_ARC
(18,23),-2.20694 # DEPENDENCYPART_ARC
(18,24),-2.26507 # DEPENDENCYPART_ARC
(18,26),-2.75892 # DEPENDENCYPART_ARC
(19,1),-1.90364 # DEPENDENCYPART_ARC
(19,3),-2.10209 # DEPENDENCYPART_ARC
(19,4),-2.18987 # DEPENDENCYPART_ARC
(19,5),-2.07856 # DEPENDENCYPART_ARC
(19,9),-1.85741 # DEPENDENCYPART_ARC
(19,10),-2.02422 # DEPENDENCYPART_ARC
(19,11),-2.45819 # DEPENDENCYPART_ARC
(19,12),-2.57411 # DEPENDENCYPART_ARC
(19,13),-2.02487 # DEPENDENCYPART_ARC
(19,14),-0.903769 # DEPENDENCYPART_ARC
(19,15),-0.895666 # DEPENDENCYPART_ARC
(19,16),-1.22472 # DEPENDENCYPART_ARC
(19,17),0.368559 # DEPENDENCYPART_ARC
(19,18),1.27839 # DEPENDENCYPART_ARC
(19,20),0.00705705 # DEPENDENCYPART_ARC
(19,21),-0.732214 # DEPENDENCYPART_ARC
(19,22),-0.811744 # DEPENDENCYPART_ARC
(19,23),-1.33295 # DEPENDENCYPART_ARC
(19,24),-1.54782 # DEPENDENCYPART_ARC
(19,25),-2.06738 # DEPENDENCYPART_ARC
(19,26),-1.91843 # DEPENDENCYPART_ARC
(20,21),-0.438965 # DEPENDENCYPART_ARC
(20,22),-0.829424 # DEPENDENCYPART_ARC
(21,17),-1.62138 # DEPENDENCYPART_ARC
(21,18),-1.49284 # DEPENDENCYPART_ARC
(21,19),-1.08392 # DEPENDENCYPART_ARC
(21,20),0.357297 # DEPENDENCYPART_ARC
(21,22),0.151533 # DEPENDENCYPART_ARC
(21,23),-1.3529 # DEPENDENCYPART_ARC
(21,24),-1.54637 # DEPENDENCYPART_ARC
(21,25),-2.12708 # DEPENDENCYPART_ARC
(21,26),-2.26243 # DEPENDENCYPART_ARC
(22,20),-1.77081 # DEPENDENCYPART_ARC
(22,21),-0.686169 # DEPENDENCYPART_ARC
(22,23),-0.238996 # DEPENDENCYPART_ARC
(22,24),-1.12391 # DEPENDENCYPART_ARC
(22,25),-1.50174 # DEPENDENCYPART_ARC
(22,26),-1.72787 # DEPENDENCYPART_ARC
(23,1),-2.04913 # DEPENDENCYPART_ARC
(23,17),-2.06093 # DEPENDENCYPART_ARC
(23,18),-1.59072 # DEPENDENCYPART_ARC
(23,19),-1.53747 # DEPENDENCYPART_ARC
(23,20),-1.09369 # DEPENDENCYPART_ARC
(23,21),-0.541259 # DEPENDENCYPART_ARC
(23,22),0.105114 # DEPENDENCYPART_ARC
(23,24),-0.0988983 # DEPENDENCYPART_ARC
(23,25),-1.39067 # DEPENDENCYPART_ARC
(23,26),-1.70188 # DEPENDENCYPART_ARC
(24,20),-1.83445 # DEPENDENCYPART_ARC
(24,23),-0.918456 # DEPENDENCYPART_ARC
(24,25),0.243283 # DEPENDENCYPART_ARC
(24,26),-0.274444 # DEPENDENCYPART_ARC
(25,23),-2.00428 # DEPENDENCYPART_ARC
(25,26),-0.682195 # DEPENDENCYPART_ARC
(26,1),-2.0602 # DEPENDENCYPART_ARC
(26,9),-2.87007 # DEPENDENCYPART_ARC
(26,10),-2.97245 # DEPENDENCYPART_ARC
(26,11),-3.3599 # DEPENDENCYPART_ARC
(26,15),-1.94993 # DEPENDENCYPART_ARC
(26,17),-1.91763 # DEPENDENCYPART_ARC
(26,18),-2.05674 # DEPENDENCYPART_ARC
(26,19),-2.23442 # DEPENDENCYPART_ARC
(26,20),-1.97244 # DEPENDENCYPART_ARC
(26,21),-1.4462 # DEPENDENCYPART_ARC
(26,22),-1.58452 # DEPENDENCYPART_ARC
(26,23),-1.05766 # DEPENDENCYPART_ARC
(26,25),1.24876 # DEPENDENCYPART_ARC
(0,3),(0,8),-0.236016 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00928247 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00944705 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00965081 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0361756 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00859956 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0486387 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0361756 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0362963 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0137015 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0551517 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0368993 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0137015 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0605944 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0200866 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0199384 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0605944 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0125262 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.00183429 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.138 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.00725235 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.08204 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.04022 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0117905 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.061273 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0942398 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0266605 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.513828 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0890956 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0779548 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0779548 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0266605 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0982493 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.109537 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0881999 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.100308 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.375877 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0954631 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.212917 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.148732 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.18672 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0235144 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0140836 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0140836 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.148732 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.206425 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.352105 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.122326 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.272935 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.216546 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0458721 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.04096 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0137793 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.035359 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0273186 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0273186 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.04096 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0476817 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0321157 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.00804567 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.0227218 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0570548 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0126017 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0130737 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0792167 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0760327 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0760327 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0126017 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0749174 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0140795 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0157893 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.0394553 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.0112533 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0069633 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0637812 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0461398 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0461398 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0294821 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.00905143 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.034564 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.00794686 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.0709893 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0105299 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0770962 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0446837 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0446837 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0416091 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0140694 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0376208 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0270063 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0185696 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.0270605 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0932018 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0932018 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0276195 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0949691 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0714702 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.00261457 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.0625005 # DEPENDENCYPART_SIBL
(3,8),(3,27),-0.0336002 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0691846 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.00204837 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0455569 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0363954 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.0129525 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.0186538 # DEPENDENCYPART_SIBL
(3,10),(3,27),-0.0148426 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.00204837 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0455569 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0363954 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.0129525 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.0186538 # DEPENDENCYPART_SIBL
(3,11),(3,27),-0.0148426 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.00905143 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.034564 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.00794686 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.0709893 # DEPENDENCYPART_SIBL
(3,12),(3,27),0.0105299 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.00805784 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.0137905 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.0292376 # DEPENDENCYPART_SIBL
(3,15),(3,27),-0.00164468 # DEPENDENCYPART_SIBL
(3,16),(3,22),0.018318 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.0201777 # DEPENDENCYPART_SIBL
(3,16),(3,27),0.04073 # DEPENDENCYPART_SIBL
(3,22),(3,24),-0.0255969 # DEPENDENCYPART_SIBL
(3,22),(3,27),-0.0486446 # DEPENDENCYPART_SIBL
(3,24),(3,27),-0.0382569 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0515902 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0306639 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0110072 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0319682 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.677757 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0142711 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0609915 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00534429 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00183545 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00771595 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0446288 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0240373 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00982424 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0501717 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.041328 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0131859 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0034752 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00888521 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0276789 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00811364 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00481525 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0820748 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0567564 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0719166 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0390323 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.870774 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0129793 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.119601 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.120773 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.120773 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0390323 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0399385 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0526964 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.12169 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.136015 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.044248 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0815893 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0671331 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.007494 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0225389 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0226597 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0226597 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0815893 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0621314 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0650288 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.023582 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0871259 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0215816 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0481357 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0667706 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0514701 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0526363 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0526363 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0215816 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0435477 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.054663 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0535583 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0322691 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0652745 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0181867 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0486085 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0487407 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0487407 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0322691 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0161803 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.037372 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0484949 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0746694 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.00389713 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0443337 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0424045 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0424045 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0464854 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0692874 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0186245 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.0473751 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.013165 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.039908 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0399756 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0399756 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0391662 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0803606 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0105837 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.0401716 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.00817588 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0082419 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0082419 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0508553 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0140064 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0322215 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.00847229 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0372085 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0372085 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0181979 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0429613 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0681867 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0354876 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0368998 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0166062 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0425649 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0679679 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0351789 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0166062 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0425649 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0679679 # DEPENDENCYPART_SIBL
