# _root_ By the market 's close , volume on the New York exchange totaled more than 416 million , the fourth highest on record .
#goldHeads=13,3,5,3,1,13,13,7,12,12,12,8,0,17,17,17,13,17,20,17,20,20,22,13,
#predictedHeads=13,3,5,3,1,13,13,7,12,12,12,8,0,17,17,17,13,13,20,21,13,21,22,13,
(1,2),(1,15),-0.00550789 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.120414 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0358663 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.190139 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0136524 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.183206 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00338736 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0960089 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.00402767 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.072894 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.121494 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0720217 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.11562 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0868645 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0514969 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0828223 # DEPENDENCYPART_SIBL
(1,4),(1,24),-0.0528085 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00493899 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.182785 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0154747 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0760316 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.000813248 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.0755232 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0662313 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0954847 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0130895 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0882617 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.0284934 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.000427805 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.083167 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.00259386 # DEPENDENCYPART_SIBL
(1,7),(1,24),-0.0533477 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0614018 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0101016 # DEPENDENCYPART_SIBL
(1,8),(1,24),-0.0240763 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.0583611 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.0412206 # DEPENDENCYPART_SIBL
(1,15),(1,24),-0.093104 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0755964 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0705071 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0184767 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0543749 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0257896 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0625838 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0342686 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.0430227 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.467838 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0595655 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.02681 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0969384 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.151564 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.129778 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.173419 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0385341 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0811931 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0377837 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.099525 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0164673 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0675985 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0109002 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0307179 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0448237 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00559268 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0126349 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0419145 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0305136 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0213222 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.000216559 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0454297 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0220994 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.000683266 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00750134 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.111371 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.0088116 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0494623 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0537628 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0154693 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00358089 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.01577 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0260915 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0535249 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0224795 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0567594 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0414157 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0407723 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0211942 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.038801 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0171218 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0156922 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0118149 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0535249 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0198505 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.0144728 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.0567594 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.029106 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0353897 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.080443 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0101533 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.075946 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0378901 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0135603 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00353638 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0046927 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0216344 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.254572 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0659829 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.104124 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.112607 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.075946 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.070353 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0853275 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0135603 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0127228 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0591971 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0180586 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0730214 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.019546 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0480981 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0704155 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0629515 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0118898 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0107035 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0434265 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0447728 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.00834357 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0730214 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0476757 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0688601 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.0480981 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.0120014 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.000550099 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0129585 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.014915 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.000103523 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0142498 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0120206 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0192946 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0163712 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0217624 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0401066 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0254179 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0129585 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.00840932 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0186677 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.000103523 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.0206554 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.123536 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0686965 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.050671 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0605579 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0395728 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0663617 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0359561 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0579403 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0677295 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0946739 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0604847 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0589272 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0942271 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.050671 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.0634022 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.00843758 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.024965 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.034883 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0417272 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0208576 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0225671 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.00264384 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0455286 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0145568 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.0202495 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0172303 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.0025354 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.024965 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.0241392 # DEPENDENCYPART_SIBL
(5,7),(5,24),0.00220844 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0475966 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0338287 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0413079 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.00141025 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0144456 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.062926 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0800664 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0427261 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.0366638 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.057658 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.0421726 # DEPENDENCYPART_SIBL
(5,8),(5,23),0.0422185 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.116476 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0510125 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0449433 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0192713 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0189788 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0483033 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0338892 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.00906221 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.0197433 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.00722736 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.0390905 # DEPENDENCYPART_SIBL
(5,10),(5,23),-0.0442684 # DEPENDENCYPART_SIBL
(5,10),(5,24),-0.018654 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0430355 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0196908 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0193474 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0408841 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0338037 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.04102 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0199951 # DEPENDENCYPART_SIBL
(5,11),(5,21),0.00685692 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.032128 # DEPENDENCYPART_SIBL
(5,11),(5,23),-0.0423606 # DEPENDENCYPART_SIBL
(5,11),(5,24),-0.0300446 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0244845 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.00314811 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.047253 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.0136292 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.0270773 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.0184437 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.00162127 # DEPENDENCYPART_SIBL
(5,12),(5,22),0.0171683 # DEPENDENCYPART_SIBL
(5,12),(5,23),-0.0261054 # DEPENDENCYPART_SIBL
(5,12),(5,24),-0.010714 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.00056314 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0081092 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.047785 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.0613325 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.0133397 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.0284032 # DEPENDENCYPART_SIBL
(5,13),(5,22),0.00694983 # DEPENDENCYPART_SIBL
(5,13),(5,23),0.00256382 # DEPENDENCYPART_SIBL
(5,13),(5,24),0.00303451 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0154709 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.11341 # DEPENDENCYPART_SIBL
