# _root_ In 1988 the Cincinnati company earned $ 3.1 million , or 32 cents a share , on revenue of $ 148.5 million .
#goldHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,7,6,17,18,19,20,20,6,
#predictedHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,6,6,17,18,19,20,20,6,
(1,2),(1,16),-0.0702134 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0215835 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0679401 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.172314 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0361772 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0719481 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0916087 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0137121 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.00135662 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0137121 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.00737842 # DEPENDENCYPART_SIBL
(1,4),(1,23),0.00523304 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0302727 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.116699 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.13592 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0484688 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0274714 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0484688 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0436617 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.0163139 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0548739 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0562126 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.00528322 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.06561 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.00528322 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0579971 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.117112 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0778917 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.03229 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0403424 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.03229 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0135882 # DEPENDENCYPART_SIBL
(1,7),(1,23),0.0094386 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.00545523 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0891798 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.00545523 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.00184641 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.0394505 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0579743 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.00857223 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.160685 # DEPENDENCYPART_SIBL
(1,10),(1,23),0.19052 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.00931084 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.077161 # DEPENDENCYPART_SIBL
(1,11),(1,23),-0.0709835 # DEPENDENCYPART_SIBL
(1,16),(1,17),0.160685 # DEPENDENCYPART_SIBL
(1,16),(1,23),0.19052 # DEPENDENCYPART_SIBL
(1,17),(1,23),0.0176698 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0328349 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0689879 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0817976 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0301554 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0279857 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.000733514 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.098906 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.000733514 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0131546 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00398988 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0189464 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0140908 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.021584 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0356728 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.021584 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0112662 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.01591 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0581398 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.068617 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.037303 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.068617 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00429461 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0692509 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0186602 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00836061 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0186602 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0276405 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0770191 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.000905269 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0770191 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.097725 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0373396 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.097725 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0613919 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.172673 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0826981 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0124813 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0596206 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.029895 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0165692 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0219114 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00680281 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0537039 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0742333 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.040979 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0496988 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0339244 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.0276522 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.107796 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0478468 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.110825 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0281729 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00338399 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0159965 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0212536 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0282314 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0212536 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.204512 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0367495 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0190945 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0640197 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0120338 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0914112 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0120338 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.086708 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.198115 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.178784 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0280008 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.14713 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0280008 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00715635 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0655268 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0137006 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0254833 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0137006 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0181657 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0747907 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0257026 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0747907 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.182243 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.170075 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.182243 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0723979 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0384878 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.00992035 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.051934 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0118815 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0459677 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.00273041 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0591594 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.00988633 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00350138 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0121209 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0266389 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0100354 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.037269 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0213973 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0121209 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0353414 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.00747983 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0298053 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0591594 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.107613 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.083548 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.018918 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0369447 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00919348 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.050467 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0553156 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0252271 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0146901 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0504898 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.00250538 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.00458341 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0252271 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0110139 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0176983 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0563368 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.00919348 # DEPENDENCYPART_SIBL
(6,2),(6,23),-0.00373827 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.061429 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.046412 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.113899 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.142626 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.133833 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0872334 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0876629 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.138903 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0792749 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0985978 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0872334 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.00479341 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0944828 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.157101 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.113899 # DEPENDENCYPART_SIBL
(6,3),(6,23),-0.0685836 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.071456 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0207807 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00740116 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00239382 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0106529 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0208586 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.00714309 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0082809 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0530317 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0106529 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0168222 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0171511 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0610318 # DEPENDENCYPART_SIBL
(6,4),(6,20),0.0207807 # DEPENDENCYPART_SIBL
(6,4),(6,23),0.00617947 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0492066 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0168843 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0122602 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0308393 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0114833 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0169127 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0460652 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0421113 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0308393 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.130726 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.00607063 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0274578 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0492066 # DEPENDENCYPART_SIBL
(6,5),(6,23),0.0732421 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0106664 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0163773 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0439242 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0346713 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0106659 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0726355 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.00652938 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0439242 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0726198 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0207697 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0247297 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0488465 # DEPENDENCYPART_SIBL
(6,7),(6,23),0.0379653 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00846531 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.00682941 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0322811 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0575391 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0895529 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0431992 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.00682941 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.00598793 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0503307 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0498326 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.0184888 # DEPENDENCYPART_SIBL
(6,8),(6,23),-0.0341105 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0282044 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0241537 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0605624 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0839066 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0635351 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0282044 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.00824699 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0575508 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.00964788 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.0404893 # DEPENDENCYPART_SIBL
(6,9),(6,23),-0.0203842 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0970515 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0641781 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0483764 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0822294 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0256708 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0140726 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0170349 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.004516 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.0145368 # DEPENDENCYPART_SIBL
(6,10),(6,23),0.0096965 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.111086 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0449414 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0803753 # DEPENDENCYPART_SIBL
