# _root_ He said the third-quarter estimate indicates profit for the nine months of $ 4.65 a share , `` almost equal to the full-year 1988 earnings '' of $ 108.6 million , or $ 4.81 a share .
#goldHeads=2,0,5,5,6,2,6,7,11,11,8,7,12,13,16,13,7,20,20,7,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
#predictedHeads=2,0,5,5,6,2,6,7,11,11,8,11,12,13,16,13,13,13,20,13,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
(6,18),-1.66555 # DEPENDENCYPART_ARC
(6,19),-2.07868 # DEPENDENCYPART_ARC
(6,20),-2.02026 # DEPENDENCYPART_ARC
(6,21),-2.18102 # DEPENDENCYPART_ARC
(6,25),-1.9644 # DEPENDENCYPART_ARC
(6,26),-0.899168 # DEPENDENCYPART_ARC
(6,31),-1.54256 # DEPENDENCYPART_ARC
(6,37),0.0674079 # DEPENDENCYPART_ARC
(7,2),-1.55311 # DEPENDENCYPART_ARC
(7,3),-0.937854 # DEPENDENCYPART_ARC
(7,4),-0.612077 # DEPENDENCYPART_ARC
(7,5),-0.26756 # DEPENDENCYPART_ARC
(7,6),0.182173 # DEPENDENCYPART_ARC
(7,8),0.219705 # DEPENDENCYPART_ARC
(7,10),-1.38843 # DEPENDENCYPART_ARC
(7,11),-1.3411 # DEPENDENCYPART_ARC
(7,12),-1.72609 # DEPENDENCYPART_ARC
(7,13),-1.7219 # DEPENDENCYPART_ARC
(7,16),-1.75576 # DEPENDENCYPART_ARC
(7,17),-1.80239 # DEPENDENCYPART_ARC
(7,18),-1.95445 # DEPENDENCYPART_ARC
(7,19),-2.07825 # DEPENDENCYPART_ARC
(7,20),-2.17805 # DEPENDENCYPART_ARC
(7,21),-2.08136 # DEPENDENCYPART_ARC
(8,5),-1.71474 # DEPENDENCYPART_ARC
(8,6),-1.6554 # DEPENDENCYPART_ARC
(8,7),-0.858336 # DEPENDENCYPART_ARC
(8,9),-0.0948117 # DEPENDENCYPART_ARC
(8,10),-0.794837 # DEPENDENCYPART_ARC
(8,11),-0.324469 # DEPENDENCYPART_ARC
(8,12),-1.28176 # DEPENDENCYPART_ARC
(8,13),-1.47189 # DEPENDENCYPART_ARC
(8,16),-1.52404 # DEPENDENCYPART_ARC
(8,17),-1.63963 # DEPENDENCYPART_ARC
(8,20),-2.07488 # DEPENDENCYPART_ARC
(8,21),-2.06439 # DEPENDENCYPART_ARC
(8,25),-2.33443 # DEPENDENCYPART_ARC
(9,10),-0.169482 # DEPENDENCYPART_ARC
(9,12),-1.25251 # DEPENDENCYPART_ARC
(10,8),-1.53319 # DEPENDENCYPART_ARC
(10,9),-0.179013 # DEPENDENCYPART_ARC
(10,12),-1.40543 # DEPENDENCYPART_ARC
(10,13),-1.55085 # DEPENDENCYPART_ARC
(11,2),-2.0079 # DEPENDENCYPART_ARC
(11,3),-1.97176 # DEPENDENCYPART_ARC
(11,4),-1.65534 # DEPENDENCYPART_ARC
(11,5),-1.67002 # DEPENDENCYPART_ARC
(11,6),-1.47365 # DEPENDENCYPART_ARC
(11,7),-1.4444 # DEPENDENCYPART_ARC
(11,8),-1.05595 # DEPENDENCYPART_ARC
(11,9),0.545613 # DEPENDENCYPART_ARC
(11,10),1.1959 # DEPENDENCYPART_ARC
(11,12),0.368099 # DEPENDENCYPART_ARC
(11,13),-0.849675 # DEPENDENCYPART_ARC
(11,14),-1.25224 # DEPENDENCYPART_ARC
(11,16),-1.08043 # DEPENDENCYPART_ARC
(11,17),-1.3632 # DEPENDENCYPART_ARC
(11,18),-1.50707 # DEPENDENCYPART_ARC
(11,19),-1.41583 # DEPENDENCYPART_ARC
(11,20),-1.71863 # DEPENDENCYPART_ARC
(11,21),-1.62196 # DEPENDENCYPART_ARC
(11,23),-1.87859 # DEPENDENCYPART_ARC
(11,25),-1.63364 # DEPENDENCYPART_ARC
(11,26),-1.24059 # DEPENDENCYPART_ARC
(11,27),-2.22844 # DEPENDENCYPART_ARC
(11,36),-1.80533 # DEPENDENCYPART_ARC
(12,10),-1.81514 # DEPENDENCYPART_ARC
(12,11),-0.683493 # DEPENDENCYPART_ARC
(12,13),0.247729 # DEPENDENCYPART_ARC
(12,14),-1.09561 # DEPENDENCYPART_ARC
(12,16),-0.979625 # DEPENDENCYPART_ARC
(12,19),-2.05465 # DEPENDENCYPART_ARC
(12,20),-2.35347 # DEPENDENCYPART_ARC
(12,25),-2.25157 # DEPENDENCYPART_ARC
(12,28),-2.71043 # DEPENDENCYPART_ARC
(13,8),-1.66134 # DEPENDENCYPART_ARC
(13,9),-1.6119 # DEPENDENCYPART_ARC
(13,10),-1.68416 # DEPENDENCYPART_ARC
(13,11),-1.28186 # DEPENDENCYPART_ARC
(13,12),0.143442 # DEPENDENCYPART_ARC
(13,14),1.24547 # DEPENDENCYPART_ARC
(13,15),-0.683745 # DEPENDENCYPART_ARC
(13,16),-0.692421 # DEPENDENCYPART_ARC
(13,17),-0.880376 # DEPENDENCYPART_ARC
(13,18),-1.24561 # DEPENDENCYPART_ARC
(13,19),-1.39737 # DEPENDENCYPART_ARC
(13,20),-1.30069 # DEPENDENCYPART_ARC
(13,21),-1.76155 # DEPENDENCYPART_ARC
(13,22),-1.68126 # DEPENDENCYPART_ARC
(13,23),-1.5403 # DEPENDENCYPART_ARC
(13,24),-2.17892 # DEPENDENCYPART_ARC
(13,25),-1.93845 # DEPENDENCYPART_ARC
(13,26),-1.48352 # DEPENDENCYPART_ARC
(13,27),-2.01386 # DEPENDENCYPART_ARC
(13,28),-1.77509 # DEPENDENCYPART_ARC
(13,29),-2.35948 # DEPENDENCYPART_ARC
(13,30),-2.41908 # DEPENDENCYPART_ARC
(13,31),-1.6685 # DEPENDENCYPART_ARC
(13,32),-2.58363 # DEPENDENCYPART_ARC
(13,33),-1.99146 # DEPENDENCYPART_ARC
(13,34),-2.9757 # DEPENDENCYPART_ARC
(13,36),-1.95238 # DEPENDENCYPART_ARC
(14,10),-1.58716 # DEPENDENCYPART_ARC
(14,12),-1.17485 # DEPENDENCYPART_ARC
(14,16),-0.891456 # DEPENDENCYPART_ARC
(14,17),-0.96075 # DEPENDENCYPART_ARC
(16,9),-2.06904 # DEPENDENCYPART_ARC
(16,13),-0.914748 # DEPENDENCYPART_ARC
(16,14),-0.678874 # DEPENDENCYPART_ARC
(16,15),1.52653 # DEPENDENCYPART_ARC
(16,17),-0.408134 # DEPENDENCYPART_ARC
(16,18),-1.4088 # DEPENDENCYPART_ARC
(16,19),-1.72392 # DEPENDENCYPART_ARC
(16,20),-1.87668 # DEPENDENCYPART_ARC
(16,21),-1.80824 # DEPENDENCYPART_ARC
(16,25),-2.04832 # DEPENDENCYPART_ARC
(18,16),-1.70976 # DEPENDENCYPART_ARC
(19,18),-0.663065 # DEPENDENCYPART_ARC
(19,20),-0.294293 # DEPENDENCYPART_ARC
(19,21),-0.66156 # DEPENDENCYPART_ARC
(19,22),-1.29438 # DEPENDENCYPART_ARC
(19,23),-1.5332 # DEPENDENCYPART_ARC
(19,24),-1.56246 # DEPENDENCYPART_ARC
(19,27),-1.56873 # DEPENDENCYPART_ARC
(19,28),-1.83608 # DEPENDENCYPART_ARC
(19,30),-2.00906 # DEPENDENCYPART_ARC
(19,32),-1.51077 # DEPENDENCYPART_ARC
(20,13),-1.74122 # DEPENDENCYPART_ARC
(20,16),-1.51068 # DEPENDENCYPART_ARC
(20,17),-1.51834 # DEPENDENCYPART_ARC
(20,18),-1.1125 # DEPENDENCYPART_ARC
(20,19),0.52697 # DEPENDENCYPART_ARC
(20,21),0.527379 # DEPENDENCYPART_ARC
(20,22),-1.13592 # DEPENDENCYPART_ARC
(20,23),-1.25381 # DEPENDENCYPART_ARC
(20,24),-1.55541 # DEPENDENCYPART_ARC
(20,25),-1.3933 # DEPENDENCYPART_ARC
(20,26),-1.18622 # DEPENDENCYPART_ARC
(20,27),-1.30275 # DEPENDENCYPART_ARC
(20,28),-1.89712 # DEPENDENCYPART_ARC
(20,30),-2.00599 # DEPENDENCYPART_ARC
(20,31),-1.62617 # DEPENDENCYPART_ARC
(20,32),-1.7521 # DEPENDENCYPART_ARC
(21,18),-1.68698 # DEPENDENCYPART_ARC
(21,19),-1.52938 # DEPENDENCYPART_ARC
(21,22),0.271564 # DEPENDENCYPART_ARC
(21,23),-0.682052 # DEPENDENCYPART_ARC
(21,24),-1.22657 # DEPENDENCYPART_ARC
(21,25),-0.92724 # DEPENDENCYPART_ARC
(21,26),-1.01097 # DEPENDENCYPART_ARC
(21,27),-1.19863 # DEPENDENCYPART_ARC
(21,28),-1.34291 # DEPENDENCYPART_ARC
(21,30),-1.94883 # DEPENDENCYPART_ARC
(21,31),-1.22446 # DEPENDENCYPART_ARC
(21,32),-1.62841 # DEPENDENCYPART_ARC
(21,33),-1.65205 # DEPENDENCYPART_ARC
(21,36),-1.96397 # DEPENDENCYPART_ARC
(22,23),-0.568897 # DEPENDENCYPART_ARC
(22,24),-1.26958 # DEPENDENCYPART_ARC
(23,22),-0.218388 # DEPENDENCYPART_ARC
(23,24),-0.180519 # DEPENDENCYPART_ARC
(23,26),-1.05684 # DEPENDENCYPART_ARC
(23,27),-1.29071 # DEPENDENCYPART_ARC
(23,28),-1.68223 # DEPENDENCYPART_ARC
(23,31),-1.69576 # DEPENDENCYPART_ARC
(23,32),-1.6952 # DEPENDENCYPART_ARC
(24,22),-0.888383 # DEPENDENCYPART_ARC
(24,23),-0.00920777 # DEPENDENCYPART_ARC
(24,27),-1.53129 # DEPENDENCYPART_ARC
(24,28),-1.75755 # DEPENDENCYPART_ARC
(25,13),-1.85673 # DEPENDENCYPART_ARC
(25,16),-1.70984 # DEPENDENCYPART_ARC
(25,18),-1.61332 # DEPENDENCYPART_ARC
(25,19),-1.24392 # DEPENDENCYPART_ARC
(25,20),-0.947469 # DEPENDENCYPART_ARC
(25,22),-0.34843 # DEPENDENCYPART_ARC
(25,23),0.255264 # DEPENDENCYPART_ARC
(25,24),1.30538 # DEPENDENCYPART_ARC
(25,26),0.00501489 # DEPENDENCYPART_ARC
(25,27),-0.874842 # DEPENDENCYPART_ARC
(25,28),-1.08875 # DEPENDENCYPART_ARC
(25,30),-1.68029 # DEPENDENCYPART_ARC
(25,31),-1.4558 # DEPENDENCYPART_ARC
(25,32),-1.80306 # DEPENDENCYPART_ARC
(25,33),-1.70702 # DEPENDENCYPART_ARC
(25,36),-1.75141 # DEPENDENCYPART_ARC
(26,23),-1.69088 # DEPENDENCYPART_ARC
(26,24),-1.51524 # DEPENDENCYPART_ARC
(26,25),-0.437604 # DEPENDENCYPART_ARC
(26,27),-0.378402 # DEPENDENCYPART_ARC
(26,28),-1.32064 # DEPENDENCYPART_ARC
(27,25),-1.65528 # DEPENDENCYPART_ARC
(27,26),-0.378616 # DEPENDENCYPART_ARC
(27,28),0.33557 # DEPENDENCYPART_ARC
(27,29),-0.983597 # DEPENDENCYPART_ARC
(27,30),-1.47714 # DEPENDENCYPART_ARC
(27,31),-1.28631 # DEPENDENCYPART_ARC
(27,32),-1.74694 # DEPENDENCYPART_ARC
(27,33),-1.93785 # DEPENDENCYPART_ARC
(27,36),-1.65301 # DEPENDENCYPART_ARC
(28,22),-1.94227 # DEPENDENCYPART_ARC
(28,23),-1.73362 # DEPENDENCYPART_ARC
(28,24),-1.82973 # DEPENDENCYPART_ARC
(28,26),-1.09058 # DEPENDENCYPART_ARC
(28,27),0.314059 # DEPENDENCYPART_ARC
(28,29),1.36328 # DEPENDENCYPART_ARC
(28,30),0.159339 # DEPENDENCYPART_ARC
(28,31),-0.487962 # DEPENDENCYPART_ARC
(28,32),-0.933924 # DEPENDENCYPART_ARC
(28,33),-1.10331 # DEPENDENCYPART_ARC
(28,34),-1.43921 # DEPENDENCYPART_ARC
(28,36),-1.53499 # DEPENDENCYPART_ARC
(29,30),-0.590434 # DEPENDENCYPART_ARC
(29,32),-1.37516 # DEPENDENCYPART_ARC
(29,33),-1.6962 # DEPENDENCYPART_ARC
(30,22),-1.83967 # DEPENDENCYPART_ARC
(30,24),-1.64941 # DEPENDENCYPART_ARC
(30,29),0.382599 # DEPENDENCYPART_ARC
(30,31),-0.441463 # DEPENDENCYPART_ARC
(30,32),-1.18901 # DEPENDENCYPART_ARC
(30,33),-1.45012 # DEPENDENCYPART_ARC
(30,36),-1.82583 # DEPENDENCYPART_ARC
(32,33),0.48016 # DEPENDENCYPART_ARC
(32,34),-0.78495 # DEPENDENCYPART_ARC
(32,36),-1.32699 # DEPENDENCYPART_ARC
(33,30),-1.73416 # DEPENDENCYPART_ARC
(33,34),1.25797 # DEPENDENCYPART_ARC
(33,35),-0.674363 # DEPENDENCYPART_ARC
(33,36),-0.741574 # DEPENDENCYPART_ARC
(34,30),-1.59962 # DEPENDENCYPART_ARC
(34,33),-0.300199 # DEPENDENCYPART_ARC
(34,36),-0.783449 # DEPENDENCYPART_ARC
(36,22),-2.13231 # DEPENDENCYPART_ARC
(36,33),-0.87376 # DEPENDENCYPART_ARC
(36,34),-0.674491 # DEPENDENCYPART_ARC
(36,35),1.39361 # DEPENDENCYPART_ARC
(0,2),(0,6),-0.208468 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0102942 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.144942 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.045112 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0938819 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0361319 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.044996 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0646793 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.179347 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.123133 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0371751 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0654094 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.00250579 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0286657 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0488451 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.277269 # DEPENDENCYPART_SIBL
(2,1),(2,26),-0.0130345 # DEPENDENCYPART_SIBL
(2,1),(2,31),0.0654094 # DEPENDENCYPART_SIBL
(2,1),(2,37),0.0461027 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.018671 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0520283 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0475342 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0579969 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0265841 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0432348 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0761171 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0322492 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.046334 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0374378 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0283867 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0187545 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.114566 # DEPENDENCYPART_SIBL
(2,3),(2,26),-0.103473 # DEPENDENCYPART_SIBL
(2,3),(2,31),-0.046334 # DEPENDENCYPART_SIBL
(2,3),(2,37),-0.158287 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0020861 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0266783 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00462554 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0218272 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0531892 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0441828 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0425782 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0433811 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.00615163 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0266431 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0530483 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0614563 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.00433937 # DEPENDENCYPART_SIBL
(2,4),(2,31),-0.0433811 # DEPENDENCYPART_SIBL
(2,4),(2,37),-0.0225915 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0249444 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0718267 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.055026 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.103379 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0676345 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0351287 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.000372312 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.00746043 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0365619 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0388152 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.113152 # DEPENDENCYPART_SIBL
(2,5),(2,26),-0.0510196 # DEPENDENCYPART_SIBL
(2,5),(2,31),0.000372312 # DEPENDENCYPART_SIBL
(2,5),(2,37),-0.0677075 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0507421 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.08844 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0754498 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.106231 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0563825 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0502885 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0415233 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.051651 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0498883 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.140908 # DEPENDENCYPART_SIBL
(2,6),(2,26),-0.0125368 # DEPENDENCYPART_SIBL
(2,6),(2,31),-0.0502885 # DEPENDENCYPART_SIBL
(2,6),(2,37),0.0136827 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0233032 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0786896 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0500687 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.014853 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0141402 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0444618 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0203409 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0188153 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.113224 # DEPENDENCYPART_SIBL
(2,7),(2,26),-0.0262206 # DEPENDENCYPART_SIBL
(2,7),(2,31),0.0141402 # DEPENDENCYPART_SIBL
(2,7),(2,37),0.00645241 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.00975178 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0453614 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0109312 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.018306 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0152512 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0307843 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.00768081 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.141048 # DEPENDENCYPART_SIBL
(2,8),(2,26),-0.0302989 # DEPENDENCYPART_SIBL
(2,8),(2,31),0.018306 # DEPENDENCYPART_SIBL
(2,8),(2,37),-0.0824912 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.173427 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.115879 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.118213 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0744411 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.118329 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.109967 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.142073 # DEPENDENCYPART_SIBL
(2,11),(2,26),-0.0862273 # DEPENDENCYPART_SIBL
(2,11),(2,31),-0.118213 # DEPENDENCYPART_SIBL
(2,11),(2,37),-0.251512 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0122845 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.057884 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0110652 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.0689833 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.0127267 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.163712 # DEPENDENCYPART_SIBL
(2,12),(2,26),-0.123228 # DEPENDENCYPART_SIBL
(2,12),(2,31),-0.057884 # DEPENDENCYPART_SIBL
(2,12),(2,37),-0.0678431 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0430698 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.00226727 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.0329929 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0187358 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.0388002 # DEPENDENCYPART_SIBL
(2,13),(2,26),-0.0526606 # DEPENDENCYPART_SIBL
(2,13),(2,31),0.0430698 # DEPENDENCYPART_SIBL
(2,13),(2,37),-0.0410643 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0788265 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.0193216 # DEPENDENCYPART_SIBL
(2,17),(2,20),0.0188481 # DEPENDENCYPART_SIBL
(2,17),(2,21),-0.096044 # DEPENDENCYPART_SIBL
(2,17),(2,26),0.0611369 # DEPENDENCYPART_SIBL
(2,17),(2,31),-0.044162 # DEPENDENCYPART_SIBL
(2,17),(2,37),-0.0768676 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0376869 # DEPENDENCYPART_SIBL
(2,18),(2,20),-0.0141055 # DEPENDENCYPART_SIBL
(2,18),(2,21),-0.105497 # DEPENDENCYPART_SIBL
(2,18),(2,26),0.00441215 # DEPENDENCYPART_SIBL
(2,18),(2,31),-0.0504282 # DEPENDENCYPART_SIBL
(2,18),(2,37),-0.00497172 # DEPENDENCYPART_SIBL
(2,19),(2,20),-0.0026858 # DEPENDENCYPART_SIBL
(2,19),(2,21),-0.0593098 # DEPENDENCYPART_SIBL
(2,19),(2,26),-0.0302001 # DEPENDENCYPART_SIBL
(2,19),(2,31),-0.0353194 # DEPENDENCYPART_SIBL
(2,19),(2,37),-0.0426834 # DEPENDENCYPART_SIBL
(2,20),(2,21),-0.0960401 # DEPENDENCYPART_SIBL
(2,20),(2,26),-0.00184982 # DEPENDENCYPART_SIBL
(2,20),(2,31),-0.0175806 # DEPENDENCYPART_SIBL
(2,20),(2,37),-0.0485814 # DEPENDENCYPART_SIBL
(2,21),(2,26),-0.0518827 # DEPENDENCYPART_SIBL
(2,21),(2,31),-0.066186 # DEPENDENCYPART_SIBL
(2,21),(2,37),-0.158506 # DEPENDENCYPART_SIBL
(2,26),(2,31),7.98874e-05 # DEPENDENCYPART_SIBL
(2,26),(2,37),-0.0446927 # DEPENDENCYPART_SIBL
(2,31),(2,37),-0.0768676 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.010363 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0227122 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0422033 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0371752 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0136601 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0162706 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0683781 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0122093 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0224234 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0127494 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0470855 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.118473 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.224122 # DEPENDENCYPART_SIBL
