# _root_ Across the country , many people took yesterday 's events in stride , while remaining generally uneasy about the stock market in general .
#goldHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,21,22,7,
#predictedHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,15,22,7,
(7,14),-0.373546 # DEPENDENCYPART_ARC
(7,15),-0.693074 # DEPENDENCYPART_ARC
(7,16),-1.01976 # DEPENDENCYPART_ARC
(7,17),-1.29093 # DEPENDENCYPART_ARC
(7,18),-1.14596 # DEPENDENCYPART_ARC
(7,21),-1.55366 # DEPENDENCYPART_ARC
(7,22),-1.29199 # DEPENDENCYPART_ARC
(7,24),0.195047 # DEPENDENCYPART_ARC
(8,5),-1.53712 # DEPENDENCYPART_ARC
(8,6),-1.12843 # DEPENDENCYPART_ARC
(8,9),1.07953 # DEPENDENCYPART_ARC
(8,10),-0.688394 # DEPENDENCYPART_ARC
(8,11),-0.868741 # DEPENDENCYPART_ARC
(8,12),-1.15023 # DEPENDENCYPART_ARC
(8,13),-1.39733 # DEPENDENCYPART_ARC
(8,14),-1.37815 # DEPENDENCYPART_ARC
(8,15),-1.29075 # DEPENDENCYPART_ARC
(8,16),-1.39244 # DEPENDENCYPART_ARC
(8,17),-1.53859 # DEPENDENCYPART_ARC
(8,18),-1.39729 # DEPENDENCYPART_ARC
(8,24),-1.51948 # DEPENDENCYPART_ARC
(9,1),-1.79957 # DEPENDENCYPART_ARC
(9,6),-1.4705 # DEPENDENCYPART_ARC
(9,10),-0.524449 # DEPENDENCYPART_ARC
(10,1),-1.81464 # DEPENDENCYPART_ARC
(10,2),-1.86075 # DEPENDENCYPART_ARC
(10,3),-1.4848 # DEPENDENCYPART_ARC
(10,4),-2.13874 # DEPENDENCYPART_ARC
(10,5),-1.0861 # DEPENDENCYPART_ARC
(10,6),-0.976727 # DEPENDENCYPART_ARC
(10,7),-1.28033 # DEPENDENCYPART_ARC
(10,8),0.0368644 # DEPENDENCYPART_ARC
(10,9),0.3123 # DEPENDENCYPART_ARC
(10,11),0.309247 # DEPENDENCYPART_ARC
(10,12),-0.929762 # DEPENDENCYPART_ARC
(10,13),-1.20038 # DEPENDENCYPART_ARC
(10,14),-1.37588 # DEPENDENCYPART_ARC
(10,15),-1.41307 # DEPENDENCYPART_ARC
(10,16),-1.41819 # DEPENDENCYPART_ARC
(10,17),-1.79496 # DEPENDENCYPART_ARC
(10,18),-1.39449 # DEPENDENCYPART_ARC
(10,21),-2.01089 # DEPENDENCYPART_ARC
(10,22),-1.91071 # DEPENDENCYPART_ARC
(10,24),-2.01378 # DEPENDENCYPART_ARC
(11,1),-1.69154 # DEPENDENCYPART_ARC
(11,9),-1.49586 # DEPENDENCYPART_ARC
(11,10),-0.70838 # DEPENDENCYPART_ARC
(11,12),1.47275 # DEPENDENCYPART_ARC
(11,13),-0.998376 # DEPENDENCYPART_ARC
(11,14),-1.11545 # DEPENDENCYPART_ARC
(11,15),-1.26822 # DEPENDENCYPART_ARC
(11,16),-1.70766 # DEPENDENCYPART_ARC
(11,17),-2.08964 # DEPENDENCYPART_ARC
(12,8),-1.48086 # DEPENDENCYPART_ARC
(12,10),-1.06135 # DEPENDENCYPART_ARC
(12,13),-0.0761397 # DEPENDENCYPART_ARC
(12,14),-1.27309 # DEPENDENCYPART_ARC
(12,15),-1.38199 # DEPENDENCYPART_ARC
(12,16),-1.65887 # DEPENDENCYPART_ARC
(12,17),-1.8431 # DEPENDENCYPART_ARC
(12,18),-1.54658 # DEPENDENCYPART_ARC
(12,21),-1.75993 # DEPENDENCYPART_ARC
(12,22),-2.15653 # DEPENDENCYPART_ARC
(12,24),-1.87001 # DEPENDENCYPART_ARC
(14,11),-1.57126 # DEPENDENCYPART_ARC
(14,12),-1.93344 # DEPENDENCYPART_ARC
(14,13),-0.820343 # DEPENDENCYPART_ARC
(14,15),0.838699 # DEPENDENCYPART_ARC
(14,16),-0.998495 # DEPENDENCYPART_ARC
(14,17),-1.41054 # DEPENDENCYPART_ARC
(14,18),-1.53292 # DEPENDENCYPART_ARC
(14,21),-2.24747 # DEPENDENCYPART_ARC
(14,22),-1.59162 # DEPENDENCYPART_ARC
(15,10),-1.76405 # DEPENDENCYPART_ARC
(15,11),-1.60614 # DEPENDENCYPART_ARC
(15,12),-1.42471 # DEPENDENCYPART_ARC
(15,14),-0.565628 # DEPENDENCYPART_ARC
(15,16),0.546839 # DEPENDENCYPART_ARC
(15,17),-0.483233 # DEPENDENCYPART_ARC
(15,18),-0.548214 # DEPENDENCYPART_ARC
(15,20),-0.764375 # DEPENDENCYPART_ARC
(15,21),-1.03488 # DEPENDENCYPART_ARC
(15,22),-1.07214 # DEPENDENCYPART_ARC
(15,23),-1.30219 # DEPENDENCYPART_ARC
(15,24),-1.47311 # DEPENDENCYPART_ARC
(16,14),-1.38686 # DEPENDENCYPART_ARC
(16,15),-0.65837 # DEPENDENCYPART_ARC
(16,17),-0.542858 # DEPENDENCYPART_ARC
(16,18),-1.15423 # DEPENDENCYPART_ARC
(16,21),-1.73225 # DEPENDENCYPART_ARC
(16,22),-1.91962 # DEPENDENCYPART_ARC
(17,1),-1.78919 # DEPENDENCYPART_ARC
(17,11),-1.50094 # DEPENDENCYPART_ARC
(17,12),-1.49909 # DEPENDENCYPART_ARC
(17,13),-1.53721 # DEPENDENCYPART_ARC
(17,14),-1.09396 # DEPENDENCYPART_ARC
(17,15),-1.23357 # DEPENDENCYPART_ARC
(17,16),0.701413 # DEPENDENCYPART_ARC
(17,18),0.53188 # DEPENDENCYPART_ARC
(17,19),-1.07218 # DEPENDENCYPART_ARC
(17,20),-1.09496 # DEPENDENCYPART_ARC
(17,21),-1.32133 # DEPENDENCYPART_ARC
(17,22),-1.22863 # DEPENDENCYPART_ARC
(17,23),-1.60932 # DEPENDENCYPART_ARC
(17,24),-1.4221 # DEPENDENCYPART_ARC
(18,16),-1.6152 # DEPENDENCYPART_ARC
(18,17),-0.957496 # DEPENDENCYPART_ARC
(18,19),-0.443229 # DEPENDENCYPART_ARC
(18,20),-0.356157 # DEPENDENCYPART_ARC
(18,21),-0.847399 # DEPENDENCYPART_ARC
(18,22),-1.49507 # DEPENDENCYPART_ARC
(18,23),-1.27865 # DEPENDENCYPART_ARC
(20,19),-0.106479 # DEPENDENCYPART_ARC
(20,22),-1.28183 # DEPENDENCYPART_ARC
(21,16),-1.26608 # DEPENDENCYPART_ARC
(21,17),-1.30392 # DEPENDENCYPART_ARC
(21,18),-0.838104 # DEPENDENCYPART_ARC
(21,19),0.57403 # DEPENDENCYPART_ARC
(21,20),1.55975 # DEPENDENCYPART_ARC
(21,22),-0.0247531 # DEPENDENCYPART_ARC
(21,23),-1.19991 # DEPENDENCYPART_ARC
(21,24),-1.24597 # DEPENDENCYPART_ARC
(22,21),-0.685554 # DEPENDENCYPART_ARC
(22,23),1.38948 # DEPENDENCYPART_ARC
(23,19),-1.92665 # DEPENDENCYPART_ARC
(23,20),-1.41929 # DEPENDENCYPART_ARC
(23,21),-1.18902 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0635365 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0421963 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.12662 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0841487 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.123046 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.144454 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0911637 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0116418 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0398715 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0697179 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0631787 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0257724 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0665847 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0486368 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0116418 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.100588 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0264324 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0616779 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.137498 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0370207 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.00490359 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.130432 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.018178 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0264324 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.0135926 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0259465 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0406384 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0402718 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0149613 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0290479 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0831228 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0187628 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.0847087 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0810743 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0730884 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.00984074 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0774061 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0336827 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.025565 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.0404677 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0808362 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0196487 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.164594 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0189477 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.000625433 # DEPENDENCYPART_SIBL
(1,6),(1,24),-0.0275121 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0106693 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0463995 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.048699 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0297614 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.0794397 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0881819 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0806343 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0686905 # DEPENDENCYPART_SIBL
(1,9),(1,24),-0.0309292 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0152279 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.00861832 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.0131509 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0199732 # DEPENDENCYPART_SIBL
(1,11),(1,24),-0.0463428 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.0847087 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0308283 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.015307 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0114079 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0312895 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.02525 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0409793 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.05712 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.031962 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0579737 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0228199 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.015307 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0197864 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.0527713 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0376704 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.168186 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.161489 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.232385 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00791898 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.543862 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.162532 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0653243 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.058384 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0376704 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.00836819 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0978273 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0202828 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0478056 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0264984 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0222888 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0668816 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0582454 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00187178 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0474558 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0679926 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0169418 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.000372124 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0109834 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.011495 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0109214 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.000858012 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.00842355 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0167436 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00192092 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0103211 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.00513809 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0190148 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0425248 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0306671 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0345048 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0815208 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0105656 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0331934 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00616787 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0188915 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.0151088 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0263216 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0221082 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00502838 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0277641 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00644908 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0709746 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0121067 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.0120783 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.000671425 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0126086 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0810163 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0161078 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0816037 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.016383 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.0320007 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0465355 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.112762 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0531484 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0744451 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0155588 # DEPENDENCYPART_SIBL
(3,9),(3,24),-0.0778467 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.00264663 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0382433 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0108486 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0152657 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.000415103 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0491747 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0398634 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.00853029 # DEPENDENCYPART_SIBL
(3,11),(3,24),0.0518993 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0165551 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0171031 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.00824893 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0169418 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.000372124 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.00277008 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00770786 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0142685 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00939146 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0578792 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0251273 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00549463 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0674034 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0538895 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0758686 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0643949 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.000148294 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0620276 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0625417 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0301322 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0270811 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0499221 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.128591 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.299562 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0565161 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0618628 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0841468 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0107155 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00539077 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0657811 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.027961 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0329397 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0072599 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0379041 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0464279 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0320775 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0340018 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0824192 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0323398 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.02082 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0223193 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.000959086 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.03543 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0327512 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0679913 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0303135 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0275665 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0103 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.147135 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0067186 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0412242 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0288406 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0281904 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0551531 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0536131 # DEPENDENCYPART_SIBL
(6,1),(6,24),0.0724741 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0362885 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0302066 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0683643 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.274959 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0657373 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.364053 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0278905 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.150863 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0742008 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.00741375 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0937044 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0541365 # DEPENDENCYPART_SIBL
(6,2),(6,24),0.0325798 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0578286 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0298653 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0484944 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0204727 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.110734 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0153076 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0749646 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0125117 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.124512 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0780264 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.187342 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.019652 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0498755 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0154523 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.025536 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.364291 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00965008 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0560266 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0359542 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0512185 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0357479 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0494801 # DEPENDENCYPART_SIBL
(6,4),(6,24),0.143686 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0242952 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0517252 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.140755 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0105663 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0606889 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0345061 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0126185 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0486292 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0842453 # DEPENDENCYPART_SIBL
(6,5),(6,24),-0.0338934 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.019283 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0053261 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0258402 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0215551 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.125566 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0218686 # DEPENDENCYPART_SIBL
