# _root_ Applied , then a closely held company , was stagnating under the management of its controlling family .
#goldHeads=9,7,7,7,6,7,1,7,0,9,10,13,11,13,17,17,14,9,
#predictedHeads=9,1,7,7,6,7,1,1,0,9,10,13,11,13,17,17,14,9,
(14,13),-0.704249 # DEPENDENCYPART_ARC
(14,15),0.124067 # DEPENDENCYPART_ARC
(14,16),-0.57398 # DEPENDENCYPART_ARC
(14,17),-0.430384 # DEPENDENCYPART_ARC
(15,16),-0.340429 # DEPENDENCYPART_ARC
(16,1),-2.62116 # DEPENDENCYPART_ARC
(16,7),-2.11469 # DEPENDENCYPART_ARC
(16,15),-0.590489 # DEPENDENCYPART_ARC
(16,17),0.328551 # DEPENDENCYPART_ARC
(16,18),-1.19313 # DEPENDENCYPART_ARC
(17,6),-1.75604 # DEPENDENCYPART_ARC
(17,12),-1.22239 # DEPENDENCYPART_ARC
(17,13),-1.11379 # DEPENDENCYPART_ARC
(17,14),-0.935446 # DEPENDENCYPART_ARC
(17,15),0.27182 # DEPENDENCYPART_ARC
(17,16),0.656026 # DEPENDENCYPART_ARC
(17,18),-0.507809 # DEPENDENCYPART_ARC
(18,17),-0.868994 # DEPENDENCYPART_ARC
(0,1),(0,6),-0.0604481 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.146822 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.117731 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0900673 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0513564 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.10163 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0498883 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0772236 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0775944 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0571858 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0196821 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.078077 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.068268 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0439062 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0613786 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00814722 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.00180667 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.00146277 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0627289 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0135968 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0100345 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0300807 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0140069 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0427919 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0357466 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.062051 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00817908 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00572552 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.018257 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.00100827 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.00319944 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0205382 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.00527003 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.00172079 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.00530356 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0368944 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0206312 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0674822 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0413795 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.00625824 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0227487 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0343015 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0475453 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0405001 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0111862 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0469116 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0307541 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.00538901 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0481247 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.00551173 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0632285 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0702731 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0559197 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0495936 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0105534 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0129033 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0214644 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0782256 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0842356 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0806853 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0571858 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0196821 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.078077 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.068268 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.0439062 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.0613786 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0532981 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.00159388 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0559085 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0629507 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.00531316 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0635901 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0181951 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0111511 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0856322 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.00932441 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.00414848 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0348924 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.108779 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0740074 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.0869062 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00994711 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00921641 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0172751 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0225465 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0592563 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0332158 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.154798 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0242898 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.000160208 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.00481447 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0332548 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.015084 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00217199 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0115854 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0148846 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00730452 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0395111 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0369588 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.503515 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.021424 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0230635 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.013352 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0213796 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0727482 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.037365 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.016468 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00947156 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0431433 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00205684 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00776905 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00667763 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0103647 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00854608 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.00440595 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0166709 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.010693 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0146766 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0210079 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00433847 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0261387 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.024073 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0265094 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0362054 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.00104818 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0384901 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0269747 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0658369 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0410657 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0265117 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00264662 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.022174 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0181769 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0431973 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.00473931 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0222353 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0387103 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0288265 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.036896 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.047154 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0350759 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0620803 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0382491 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0497286 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0831101 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0428784 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0309661 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.00537314 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00394411 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00359277 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.030955 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.116797 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0115424 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0221774 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.013136 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0181915 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0115424 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0616199 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.019782 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.00460463 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0486741 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.020596 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0120825 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0397391 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.00935272 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.065056 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0386106 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0364894 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0391663 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0648495 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0650387 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0354545 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0110569 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.052176 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0300237 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00259699 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0157258 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0986661 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0126529 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0025124 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0494559 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.020486 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.159833 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.00447172 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0560388 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0115559 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0239821 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0672696 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0217868 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0268477 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0181657 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0635636 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0269775 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.134301 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00966486 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00641017 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0325785 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0587941 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0335057 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.144476 # DEPENDENCYPART_SIBL
(5,1),(5,10),7.90115e-05 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.00907246 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0108219 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00621071 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0158797 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0300091 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0455643 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.465452 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0142766 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0178871 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0772792 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0985097 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.121265 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0816589 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.155245 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0198827 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.104206 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0780157 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.200777 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.070052 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0357023 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.128872 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0368291 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0560002 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0387345 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0335966 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0208466 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0230742 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0163912 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0196323 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0437998 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0273601 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0229874 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0593111 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0278719 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0339487 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0251421 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0607865 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0302347 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.000598595 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0360303 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0512692 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0368531 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0393015 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0331286 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.036347 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0169278 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0122788 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0390925 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0274135 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0149146 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0419634 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.122845 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.074995 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0322222 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0907797 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0255008 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0832856 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0175846 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0366471 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0331296 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.00999597 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0218149 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0509472 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.00859334 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0525527 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0150548 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0401247 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0500959 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00193402 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.060464 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0969204 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0284198 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0465938 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0613808 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0987834 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0439436 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0226608 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0542583 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.104237 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.061357 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0658996 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0967448 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0188064 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0937641 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0230799 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0929401 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0967741 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0616616 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0556024 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0170965 # DEPENDENCYPART_SIBL
