# _root_ New management at Kentucky Fried Chicken , a unit of PepsiCo Inc. , has fought back with new medium and large chicken sandwiches for the lunch crowd .
#goldHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,23,23,19,20,23,17,23,27,27,24,14,
#predictedHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,19,17,19,23,23,20,23,27,27,24,14,
(11,21),-1.83497 # DEPENDENCYPART_ARC
(11,23),-2.03488 # DEPENDENCYPART_ARC
(11,28),-1.81129 # DEPENDENCYPART_ARC
(12,2),-2.45446 # DEPENDENCYPART_ARC
(12,9),-1.48314 # DEPENDENCYPART_ARC
(12,11),0.870493 # DEPENDENCYPART_ARC
(12,13),-0.436892 # DEPENDENCYPART_ARC
(12,14),-1.44355 # DEPENDENCYPART_ARC
(14,1),-1.63898 # DEPENDENCYPART_ARC
(14,2),-1.52227 # DEPENDENCYPART_ARC
(14,3),-1.77177 # DEPENDENCYPART_ARC
(14,4),-1.23188 # DEPENDENCYPART_ARC
(14,5),-1.21355 # DEPENDENCYPART_ARC
(14,6),-1.05814 # DEPENDENCYPART_ARC
(14,7),-1.40491 # DEPENDENCYPART_ARC
(14,9),-1.08811 # DEPENDENCYPART_ARC
(14,10),-1.41953 # DEPENDENCYPART_ARC
(14,11),-1.02119 # DEPENDENCYPART_ARC
(14,12),-0.520029 # DEPENDENCYPART_ARC
(14,13),0.427901 # DEPENDENCYPART_ARC
(14,15),1.30528 # DEPENDENCYPART_ARC
(14,16),-0.49159 # DEPENDENCYPART_ARC
(14,17),-0.878398 # DEPENDENCYPART_ARC
(14,18),-1.2184 # DEPENDENCYPART_ARC
(14,19),-0.857228 # DEPENDENCYPART_ARC
(14,20),-1.13726 # DEPENDENCYPART_ARC
(14,23),-1.42552 # DEPENDENCYPART_ARC
(14,24),-1.19082 # DEPENDENCYPART_ARC
(14,28),0.651607 # DEPENDENCYPART_ARC
(15,2),-1.76828 # DEPENDENCYPART_ARC
(15,3),-1.78639 # DEPENDENCYPART_ARC
(15,5),-1.8412 # DEPENDENCYPART_ARC
(15,6),-1.90652 # DEPENDENCYPART_ARC
(15,7),-1.78299 # DEPENDENCYPART_ARC
(15,9),-1.46946 # DEPENDENCYPART_ARC
(15,10),-1.47673 # DEPENDENCYPART_ARC
(15,11),-1.60594 # DEPENDENCYPART_ARC
(15,12),-1.41664 # DEPENDENCYPART_ARC
(15,13),-1.48827 # DEPENDENCYPART_ARC
(15,14),-0.259967 # DEPENDENCYPART_ARC
(15,16),0.642725 # DEPENDENCYPART_ARC
(15,17),0.000566016 # DEPENDENCYPART_ARC
(15,18),-0.859899 # DEPENDENCYPART_ARC
(15,19),-0.525087 # DEPENDENCYPART_ARC
(15,20),-1.09973 # DEPENDENCYPART_ARC
(15,21),-1.37724 # DEPENDENCYPART_ARC
(15,22),-0.897783 # DEPENDENCYPART_ARC
(15,23),-1.14737 # DEPENDENCYPART_ARC
(15,24),-0.803004 # DEPENDENCYPART_ARC
(15,27),-1.22732 # DEPENDENCYPART_ARC
(15,28),-0.869756 # DEPENDENCYPART_ARC
(16,2),-2.12323 # DEPENDENCYPART_ARC
(16,3),-1.74906 # DEPENDENCYPART_ARC
(16,15),-0.406316 # DEPENDENCYPART_ARC
(16,17),0.0825159 # DEPENDENCYPART_ARC
(16,18),-0.989224 # DEPENDENCYPART_ARC
(16,19),-1.184 # DEPENDENCYPART_ARC
(16,20),-1.35183 # DEPENDENCYPART_ARC
(16,21),-1.58865 # DEPENDENCYPART_ARC
(16,23),-1.8879 # DEPENDENCYPART_ARC
(16,24),-1.79774 # DEPENDENCYPART_ARC
(16,28),-1.67277 # DEPENDENCYPART_ARC
(17,2),-1.99761 # DEPENDENCYPART_ARC
(17,16),-0.416041 # DEPENDENCYPART_ARC
(17,18),-0.114882 # DEPENDENCYPART_ARC
(17,19),0.319994 # DEPENDENCYPART_ARC
(17,20),-1.02575 # DEPENDENCYPART_ARC
(17,21),-1.50891 # DEPENDENCYPART_ARC
(17,22),-1.04258 # DEPENDENCYPART_ARC
(17,23),-1.1847 # DEPENDENCYPART_ARC
(17,24),-0.877927 # DEPENDENCYPART_ARC
(17,27),-2.1788 # DEPENDENCYPART_ARC
(17,28),-1.7905 # DEPENDENCYPART_ARC
(18,16),-1.45202 # DEPENDENCYPART_ARC
(18,17),-0.539453 # DEPENDENCYPART_ARC
(18,19),-0.406661 # DEPENDENCYPART_ARC
(18,20),-1.32677 # DEPENDENCYPART_ARC
(19,11),-2.18935 # DEPENDENCYPART_ARC
(19,15),-1.49226 # DEPENDENCYPART_ARC
(19,16),-1.24268 # DEPENDENCYPART_ARC
(19,17),-1.01804 # DEPENDENCYPART_ARC
(19,18),1.12882 # DEPENDENCYPART_ARC
(19,20),0.726283 # DEPENDENCYPART_ARC
(19,21),-1.0206 # DEPENDENCYPART_ARC
(19,22),-1.0866 # DEPENDENCYPART_ARC
(19,23),-1.17234 # DEPENDENCYPART_ARC
(19,24),-1.13611 # DEPENDENCYPART_ARC
(19,27),-1.83883 # DEPENDENCYPART_ARC
(19,28),-1.65146 # DEPENDENCYPART_ARC
(20,21),0.500476 # DEPENDENCYPART_ARC
(20,22),-0.349922 # DEPENDENCYPART_ARC
(20,23),-0.949721 # DEPENDENCYPART_ARC
(20,24),-1.24017 # DEPENDENCYPART_ARC
(20,27),-1.83729 # DEPENDENCYPART_ARC
(21,22),-0.344318 # DEPENDENCYPART_ARC
(22,18),-1.75767 # DEPENDENCYPART_ARC
(22,21),-0.159019 # DEPENDENCYPART_ARC
(22,24),-1.27822 # DEPENDENCYPART_ARC
(22,27),-1.99212 # DEPENDENCYPART_ARC
(23,1),-1.58283 # DEPENDENCYPART_ARC
(23,3),-1.41389 # DEPENDENCYPART_ARC
(23,11),-1.65078 # DEPENDENCYPART_ARC
(23,15),-1.33588 # DEPENDENCYPART_ARC
(23,16),-1.69515 # DEPENDENCYPART_ARC
(23,17),-1.45916 # DEPENDENCYPART_ARC
(23,18),-0.311508 # DEPENDENCYPART_ARC
(23,19),-0.66105 # DEPENDENCYPART_ARC
(23,21),0.382466 # DEPENDENCYPART_ARC
(23,22),2.0929 # DEPENDENCYPART_ARC
(23,24),0.077869 # DEPENDENCYPART_ARC
(23,25),-1.55188 # DEPENDENCYPART_ARC
(23,26),-1.25294 # DEPENDENCYPART_ARC
(23,27),-1.54158 # DEPENDENCYPART_ARC
(23,28),-1.60971 # DEPENDENCYPART_ARC
(24,23),-0.756141 # DEPENDENCYPART_ARC
(24,25),-0.174056 # DEPENDENCYPART_ARC
(24,26),-0.0188909 # DEPENDENCYPART_ARC
(24,27),-0.437146 # DEPENDENCYPART_ARC
(26,25),-0.122418 # DEPENDENCYPART_ARC
(26,27),-0.596935 # DEPENDENCYPART_ARC
(27,18),-1.80043 # DEPENDENCYPART_ARC
(27,21),-1.73049 # DEPENDENCYPART_ARC
(27,22),-1.15474 # DEPENDENCYPART_ARC
(27,23),-0.803917 # DEPENDENCYPART_ARC
(27,25),0.32236 # DEPENDENCYPART_ARC
(27,26),1.47541 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0421162 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0272338 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0204457 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.106773 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0170007 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0432953 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0476438 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.132029 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0376033 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0433717 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.127659 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0525244 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.115448 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0572954 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.103095 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0202598 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00346704 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00623605 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0261834 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0662497 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0188279 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.109034 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.129458 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.134942 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.129972 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.209588 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0441649 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0321684 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.129967 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.122258 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.209588 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.110281 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.117117 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.013675 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.118527 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.067682 # DEPENDENCYPART_SIBL
(2,1),(2,28),0.0414514 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0282829 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0266668 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0282819 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00905918 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0436931 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0325507 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0282819 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0326618 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.00905918 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0155486 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0198734 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0119932 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0473342 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.0117245 # DEPENDENCYPART_SIBL
(2,3),(2,28),0.0771765 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0381732 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0397883 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00066303 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0605689 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0383005 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0397883 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0442143 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.00066303 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0104655 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0319119 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.00314147 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0224723 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0585329 # DEPENDENCYPART_SIBL
(2,4),(2,28),-0.00778123 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0273466 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00058553 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0560973 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0426103 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0273466 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0317726 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.00058553 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0202561 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0271537 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.00745133 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0272305 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.0542231 # DEPENDENCYPART_SIBL
(2,5),(2,28),-0.00508589 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00209095 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0607596 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.038301 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0391992 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0436252 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00209095 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.00990184 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0319121 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.00314201 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0224719 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.0585324 # DEPENDENCYPART_SIBL
(2,6),(2,28),-0.00778119 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0475654 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0959714 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0552631 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.00879632 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0394501 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0697187 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.070129 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0697078 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0706179 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.0490442 # DEPENDENCYPART_SIBL
(2,7),(2,28),0.0199562 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0373993 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0306994 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0330048 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0204578 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0137926 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0154071 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0108009 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0107531 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.0261612 # DEPENDENCYPART_SIBL
(2,9),(2,28),0.00267413 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.020125 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0125839 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.00410137 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0473788 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0168623 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0390812 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0352712 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.0194977 # DEPENDENCYPART_SIBL
(2,10),(2,28),0.000913876 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.045459 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00433918 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0104655 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0319119 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.00292307 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0219841 # DEPENDENCYPART_SIBL
(2,11),(2,24),-0.0587513 # DEPENDENCYPART_SIBL
(2,11),(2,28),-0.00822493 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0351085 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.00565217 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0537551 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0329079 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.0425339 # DEPENDENCYPART_SIBL
(2,12),(2,24),-0.101785 # DEPENDENCYPART_SIBL
(2,12),(2,28),0.00132984 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0697187 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.070129 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0697078 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0706179 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.0490442 # DEPENDENCYPART_SIBL
(2,13),(2,28),0.0199562 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0359916 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.00624616 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.0213653 # DEPENDENCYPART_SIBL
(2,14),(2,24),0.00777624 # DEPENDENCYPART_SIBL
(2,14),(2,28),0.058383 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0128981 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.0366356 # DEPENDENCYPART_SIBL
(2,15),(2,24),0.0172239 # DEPENDENCYPART_SIBL
(2,15),(2,28),-0.0108836 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.0265311 # DEPENDENCYPART_SIBL
(2,17),(2,24),-0.0210715 # DEPENDENCYPART_SIBL
(2,17),(2,28),0.0411211 # DEPENDENCYPART_SIBL
(2,20),(2,24),-0.0187977 # DEPENDENCYPART_SIBL
(2,20),(2,28),-0.016102 # DEPENDENCYPART_SIBL
(2,24),(2,28),0.109207 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00894685 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0365031 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0366057 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0366057 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0254307 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0340255 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0366003 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0376803 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0234085 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.044688 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0440206 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0440206 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0123459 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.027007 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0440234 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0334522 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0694184 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.111656 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.111657 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.033542 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.134333 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.111656 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.122468 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.110619 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.107516 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0347019 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.134472 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.107516 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.118328 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.108108 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0349617 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.13452 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.111063 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.121875 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.111178 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.025733 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0352552 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0686845 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0131533 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0889218 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0907063 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0977521 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.123709 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.110615 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.110009 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0121484 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00138229 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0306467 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.00138229 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00638695 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0330196 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00638695 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0593608 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0206198 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0232576 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.111583 # DEPENDENCYPART_SIBL
