# _root_ In 1989 , Regatta will have sales `` in excess of $ 10 million '' and will show a profit , Mr. Parker said .
#goldHeads=5,1,5,5,24,5,6,9,6,9,10,11,12,12,9,5,16,17,20,18,24,23,24,0,24,
#predictedHeads=5,1,5,5,24,5,6,6,6,9,10,11,12,12,5,5,16,17,20,18,24,23,24,0,24,
(23,22),1.47242 # DEPENDENCYPART_ARC
(23,24),-0.328121 # DEPENDENCYPART_ARC
(24,1),-1.90372 # DEPENDENCYPART_ARC
(24,2),-2.0696 # DEPENDENCYPART_ARC
(24,3),-2.50686 # DEPENDENCYPART_ARC
(24,4),-1.9825 # DEPENDENCYPART_ARC
(24,5),-0.8568 # DEPENDENCYPART_ARC
(24,6),-1.12388 # DEPENDENCYPART_ARC
(24,7),-1.87103 # DEPENDENCYPART_ARC
(24,8),-1.10341 # DEPENDENCYPART_ARC
(24,9),-1.59657 # DEPENDENCYPART_ARC
(24,10),-1.84062 # DEPENDENCYPART_ARC
(24,12),-1.74644 # DEPENDENCYPART_ARC
(24,14),-1.72273 # DEPENDENCYPART_ARC
(24,15),-1.35336 # DEPENDENCYPART_ARC
(24,16),-1.43942 # DEPENDENCYPART_ARC
(24,17),-0.94188 # DEPENDENCYPART_ARC
(24,18),-1.21683 # DEPENDENCYPART_ARC
(24,20),-1.21903 # DEPENDENCYPART_ARC
(24,21),-0.31906 # DEPENDENCYPART_ARC
(24,22),-0.839234 # DEPENDENCYPART_ARC
(24,23),0.211204 # DEPENDENCYPART_ARC
(24,25),1.46508 # DEPENDENCYPART_ARC
(0,5),(0,24),-0.20725 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0728543 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.104546 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0449177 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.102119 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.154863 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.119924 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00780557 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.00646678 # DEPENDENCYPART_SIBL
(1,3),(1,4),1.62598e-05 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.113049 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0167218 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0114792 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0329276 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.158858 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.202766 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0507819 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0700209 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0913796 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0909891 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0121172 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0322266 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00468882 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.00402218 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.00934715 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.127267 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.116384 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0383428 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0599477 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0285306 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0264806 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0512209 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0542594 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.034016 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0695487 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.000576208 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0788231 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.02596 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0722027 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0095623 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0197455 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.108853 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0804149 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.136181 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0112015 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0451712 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.02794 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00134558 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00807496 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0598985 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0430772 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0125615 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0461723 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0761621 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0321953 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00931133 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0406854 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.155563 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.10824 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0430861 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0421229 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.034462 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0582067 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00425208 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.014245 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.165797 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0118209 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.00407641 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0646553 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0155555 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0133738 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0357572 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0830138 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0276036 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.068321 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0726557 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0187889 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.000325879 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.0634248 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0188394 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0324195 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.101552 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0392311 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0289088 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0520007 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00828499 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0212489 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0355364 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.000619608 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.039209 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0410128 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0229047 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.000217052 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0028217 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.0208358 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00621818 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0730191 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0823149 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00234177 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0635641 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0838479 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.120457 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.065885 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.00805986 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0651213 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0238075 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.00933225 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0203777 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.117303 # DEPENDENCYPART_SIBL
(5,3),(5,25),0.0274648 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.17335 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0662723 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.000515693 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0588082 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0533346 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0991469 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0234319 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0546463 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0404709 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.00291421 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0553891 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.00602073 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.0162737 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.010435 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0020271 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0353122 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0245566 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0421699 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0369386 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.00557841 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.102687 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.108223 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.101406 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.164564 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0178741 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.0282348 # DEPENDENCYPART_SIBL
(5,6),(5,25),0.153657 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0173782 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00476286 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0130514 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0318024 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00161035 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0169701 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.00893775 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0478805 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.0616454 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.00704661 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0123205 # DEPENDENCYPART_SIBL
(5,7),(5,25),0.0665777 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00917346 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0244509 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0758697 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0502542 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.187459 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0687935 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0613378 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0545318 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.05448 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.00442572 # DEPENDENCYPART_SIBL
(5,8),(5,25),0.0139933 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.00514434 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0775325 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0333012 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0161567 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0295532 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.00567897 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.0390353 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0141932 # DEPENDENCYPART_SIBL
(5,9),(5,24),-0.00217611 # DEPENDENCYPART_SIBL
(5,9),(5,25),-0.0361237 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0167343 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0053213 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.00344341 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.00389463 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0158284 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0510041 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.00308491 # DEPENDENCYPART_SIBL
(5,10),(5,24),-0.0139823 # DEPENDENCYPART_SIBL
(5,10),(5,25),0.0143173 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0127648 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.102844 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0234198 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.034623 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.0166233 # DEPENDENCYPART_SIBL
(5,11),(5,21),0.00837772 # DEPENDENCYPART_SIBL
(5,11),(5,24),-0.0475822 # DEPENDENCYPART_SIBL
(5,11),(5,25),-0.0448685 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.034982 # DEPENDENCYPART_SIBL
(5,12),(5,16),-2.18777e-05 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.0174715 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.00133714 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.0583636 # DEPENDENCYPART_SIBL
(5,12),(5,24),-0.0366181 # DEPENDENCYPART_SIBL
(5,12),(5,25),0.00902101 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.0653488 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0372895 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.0235717 # DEPENDENCYPART_SIBL
(5,15),(5,21),0.00805115 # DEPENDENCYPART_SIBL
(5,15),(5,24),-0.0257869 # DEPENDENCYPART_SIBL
(5,15),(5,25),-0.0517951 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.0109686 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.0430903 # DEPENDENCYPART_SIBL
(5,16),(5,21),-0.0014486 # DEPENDENCYPART_SIBL
(5,16),(5,24),-0.00944779 # DEPENDENCYPART_SIBL
(5,16),(5,25),0.000560083 # DEPENDENCYPART_SIBL
(5,17),(5,18),-0.0184791 # DEPENDENCYPART_SIBL
(5,17),(5,21),-0.0232814 # DEPENDENCYPART_SIBL
(5,17),(5,24),-0.0482712 # DEPENDENCYPART_SIBL
(5,17),(5,25),0.00320724 # DEPENDENCYPART_SIBL
(5,18),(5,21),-0.0590378 # DEPENDENCYPART_SIBL
(5,18),(5,24),-0.106838 # DEPENDENCYPART_SIBL
(5,18),(5,25),-0.00143145 # DEPENDENCYPART_SIBL
(5,21),(5,24),-0.0322695 # DEPENDENCYPART_SIBL
(5,21),(5,25),-0.0246942 # DEPENDENCYPART_SIBL
(5,24),(5,25),0.0273001 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0364253 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.021762 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0034447 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0743113 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0791808 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0858572 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0425912 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0268675 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0177422 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.00229764 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0273559 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0648484 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0418881 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0443954 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0472017 # DEPENDENCYPART_SIBL
(6,1),(6,23),-0.107454 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0411137 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.011616 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.051407 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0181892 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.073087 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.00201194 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0207401 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0357207 # DEPENDENCYPART_SIBL
