# _root_ `` Futures were pulling the stock market higher , '' said Donald Selkin , head of stock-index futures research at Prudential-Bache Securities Inc .
#goldHeads=11,3,11,3,7,7,4,4,11,11,0,13,11,13,13,15,19,19,16,19,22,20,22,11,
#predictedHeads=11,3,11,3,7,7,4,4,11,11,0,13,11,13,13,15,19,19,16,15,22,20,22,11,
(13,11),-0.691924 # DEPENDENCYPART_ARC
(13,12),1.8185 # DEPENDENCYPART_ARC
(13,14),0.485151 # DEPENDENCYPART_ARC
(13,15),-0.537944 # DEPENDENCYPART_ARC
(13,16),-1.33696 # DEPENDENCYPART_ARC
(13,17),-1.56009 # DEPENDENCYPART_ARC
(13,18),-1.69874 # DEPENDENCYPART_ARC
(13,19),-1.64707 # DEPENDENCYPART_ARC
(13,20),-1.81704 # DEPENDENCYPART_ARC
(13,22),-2.77832 # DEPENDENCYPART_ARC
(13,23),-2.52626 # DEPENDENCYPART_ARC
(13,24),-1.77848 # DEPENDENCYPART_ARC
(14,15),-0.360128 # DEPENDENCYPART_ARC
(15,1),-2.01355 # DEPENDENCYPART_ARC
(15,4),-1.94049 # DEPENDENCYPART_ARC
(15,5),-1.18987 # DEPENDENCYPART_ARC
(15,7),-1.99123 # DEPENDENCYPART_ARC
(15,8),-1.88868 # DEPENDENCYPART_ARC
(15,10),-1.60018 # DEPENDENCYPART_ARC
(15,12),-0.903828 # DEPENDENCYPART_ARC
(15,13),-0.499969 # DEPENDENCYPART_ARC
(15,14),-0.142811 # DEPENDENCYPART_ARC
(15,16),0.663752 # DEPENDENCYPART_ARC
(15,17),-0.922966 # DEPENDENCYPART_ARC
(15,18),-0.781972 # DEPENDENCYPART_ARC
(15,19),-1.02548 # DEPENDENCYPART_ARC
(15,20),-0.82806 # DEPENDENCYPART_ARC
(15,22),-1.65114 # DEPENDENCYPART_ARC
(15,23),-1.75009 # DEPENDENCYPART_ARC
(16,17),-0.212035 # DEPENDENCYPART_ARC
(16,18),0.0726413 # DEPENDENCYPART_ARC
(16,19),-0.84242 # DEPENDENCYPART_ARC
(16,20),-1.31282 # DEPENDENCYPART_ARC
(16,21),-1.95873 # DEPENDENCYPART_ARC
(16,22),-2.07714 # DEPENDENCYPART_ARC
(16,23),-2.27984 # DEPENDENCYPART_ARC
(17,16),-0.681705 # DEPENDENCYPART_ARC
(17,18),-0.153787 # DEPENDENCYPART_ARC
(17,20),-1.36399 # DEPENDENCYPART_ARC
(18,17),0.261475 # DEPENDENCYPART_ARC
(18,19),-0.749304 # DEPENDENCYPART_ARC
(18,20),-1.36007 # DEPENDENCYPART_ARC
(18,21),-1.74651 # DEPENDENCYPART_ARC
(18,22),-1.93755 # DEPENDENCYPART_ARC
(18,23),-2.03709 # DEPENDENCYPART_ARC
(19,1),-1.37383 # DEPENDENCYPART_ARC
(19,2),-1.06474 # DEPENDENCYPART_ARC
(19,3),-1.48254 # DEPENDENCYPART_ARC
(19,4),-1.46804 # DEPENDENCYPART_ARC
(19,5),-1.52909 # DEPENDENCYPART_ARC
(19,7),-1.78939 # DEPENDENCYPART_ARC
(19,8),-1.56825 # DEPENDENCYPART_ARC
(19,9),-1.81633 # DEPENDENCYPART_ARC
(19,10),-1.62456 # DEPENDENCYPART_ARC
(19,12),-1.40066 # DEPENDENCYPART_ARC
(19,13),-1.53228 # DEPENDENCYPART_ARC
(19,14),-1.45256 # DEPENDENCYPART_ARC
(19,15),-0.733773 # DEPENDENCYPART_ARC
(19,16),-0.634911 # DEPENDENCYPART_ARC
(19,17),0.576361 # DEPENDENCYPART_ARC
(19,18),1.66878 # DEPENDENCYPART_ARC
(19,20),-0.193068 # DEPENDENCYPART_ARC
(19,21),-1.46378 # DEPENDENCYPART_ARC
(19,22),-1.54246 # DEPENDENCYPART_ARC
(19,23),-1.77538 # DEPENDENCYPART_ARC
(20,19),-0.896323 # DEPENDENCYPART_ARC
(20,21),-0.027559 # DEPENDENCYPART_ARC
(20,22),-0.61667 # DEPENDENCYPART_ARC
(20,23),-1.21239 # DEPENDENCYPART_ARC
(21,22),-0.920588 # DEPENDENCYPART_ARC
(21,23),-1.79656 # DEPENDENCYPART_ARC
(22,17),-1.88517 # DEPENDENCYPART_ARC
(22,19),-1.40065 # DEPENDENCYPART_ARC
(22,21),0.542769 # DEPENDENCYPART_ARC
(22,23),-0.179538 # DEPENDENCYPART_ARC
(23,1),-2.20342 # DEPENDENCYPART_ARC
(23,17),-1.84912 # DEPENDENCYPART_ARC
(23,18),-1.12284 # DEPENDENCYPART_ARC
(23,19),-1.17721 # DEPENDENCYPART_ARC
(23,21),-0.142362 # DEPENDENCYPART_ARC
(23,22),0.63632 # DEPENDENCYPART_ARC
(23,24),0.0411388 # DEPENDENCYPART_ARC
(0,3),(0,11),-0.283458 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0337798 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0288879 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0380692 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0409589 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0282303 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.847587 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0272417 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.146057 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0282303 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0347058 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00993696 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.026197 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.000824396 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0588568 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0121499 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.026197 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00015134 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0184391 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0348438 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00672084 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0022249 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0184391 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0148657 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0249648 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0282616 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0193077 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0148657 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0729181 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.00884726 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0347043 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00898059 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.030943 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0630028 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0033789 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0268651 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0575958 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.00648304 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0204355 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0746148 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0659025 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0641112 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.056557 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0023932 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0101949 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.358113 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0782034 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0782413 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0101949 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0499985 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0275876 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.23892 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0503687 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0541617 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.019521 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00291883 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0321976 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00973483 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0362881 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0455223 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0908628 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.00973483 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00348017 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0785555 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0438822 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0542308 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0669374 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0822897 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0815329 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00481672 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0198463 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0323685 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0834891 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.00481672 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0772459 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.107895 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0050791 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00811552 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00750849 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.019854 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0357471 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0213802 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0233509 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0401922 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0357471 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.00178575 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0171227 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0527739 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0718232 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.045877 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00914852 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0186901 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0410668 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0698505 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.00914852 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0580701 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0284077 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.0488731 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0376922 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0204849 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0218778 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0452884 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0655961 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0204849 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0352717 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.029703 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.056665 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0637344 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00179624 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0470224 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0913173 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0637344 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0510918 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0655208 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.017207 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0431731 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0146027 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0729612 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0181454 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.00978653 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.00279022 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.00670172 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.034237 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0345507 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0116608 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.025764 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0340929 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.0470217 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0774373 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0186914 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0666435 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0987316 # DEPENDENCYPART_SIBL
(3,11),(3,24),0.000291358 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0275614 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0130181 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.00190325 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.016459 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.00978653 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.00279022 # DEPENDENCYPART_SIBL
(3,14),(3,24),0.00670172 # DEPENDENCYPART_SIBL
(3,15),(3,20),-0.0590465 # DEPENDENCYPART_SIBL
(3,15),(3,24),-0.0845076 # DEPENDENCYPART_SIBL
(3,20),(3,24),-0.0155272 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0119655 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0236969 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0122292 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.062133 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0379122 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0253556 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0070269 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.623442 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0561455 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0748274 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0070269 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0364723 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0371785 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0405566 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.017698 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.077882 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0732436 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0162452 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0113679 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0564541 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00746436 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0193811 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00394043 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0237595 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0135171 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0244646 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.00394043 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0187543 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0261878 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0118572 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0543122 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0237572 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0266315 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00515268 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0338361 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00752268 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.00858518 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00801233 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0334922 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0444634 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0519146 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.00801233 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.01291 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0179832 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0147865 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.00895972 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0521958 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0485996 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0331598 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0390043 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0280329 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00375569 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0442108 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0403837 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0531578 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.00375569 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0344383 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0409235 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0339001 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0103272 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.056704 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.0531589 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0456479 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0274678 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0639104 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0191656 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0275768 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0100887 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0639104 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0342217 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.00319025 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0340499 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0771042 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0177836 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.00573323 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.021709 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.025868 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00811013 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0411371 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0137905 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.025868 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0329591 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0120479 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0327874 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.043045 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0214854 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.00943495 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0241739 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0285529 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0258306 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0198997 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0241739 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0155333 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0261885 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0149937 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0506279 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0234471 # DEPENDENCYPART_SIBL
