# _root_ Guber-Peters 's net income in the latest quarter compared with a net loss of $ 6.9 million , or 62 cents a share , in the year-earlier period .
#goldHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
#predictedHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
(8,5),-0.707797 # DEPENDENCYPART_ARC
(8,6),0.411091 # DEPENDENCYPART_ARC
(8,7),0.840526 # DEPENDENCYPART_ARC
(8,9),-0.0884129 # DEPENDENCYPART_ARC
(8,10),-1.01385 # DEPENDENCYPART_ARC
(8,13),-1.59769 # DEPENDENCYPART_ARC
(8,14),-1.75419 # DEPENDENCYPART_ARC
(8,18),-1.85394 # DEPENDENCYPART_ARC
(8,19),-2.32212 # DEPENDENCYPART_ARC
(8,24),-2.07998 # DEPENDENCYPART_ARC
(8,29),-2.53883 # DEPENDENCYPART_ARC
(9,1),-1.69167 # DEPENDENCYPART_ARC
(9,2),-1.86894 # DEPENDENCYPART_ARC
(9,4),-1.52762 # DEPENDENCYPART_ARC
(9,5),-1.52195 # DEPENDENCYPART_ARC
(9,6),-1.55216 # DEPENDENCYPART_ARC
(9,7),-1.36505 # DEPENDENCYPART_ARC
(9,8),-0.352321 # DEPENDENCYPART_ARC
(9,10),0.994366 # DEPENDENCYPART_ARC
(9,13),-0.706136 # DEPENDENCYPART_ARC
(9,14),-1.1896 # DEPENDENCYPART_ARC
(9,15),-1.47496 # DEPENDENCYPART_ARC
(9,18),-1.18938 # DEPENDENCYPART_ARC
(9,19),-1.75285 # DEPENDENCYPART_ARC
(9,21),-1.77577 # DEPENDENCYPART_ARC
(9,24),-1.3757 # DEPENDENCYPART_ARC
(9,25),-1.89654 # DEPENDENCYPART_ARC
(9,29),-0.773971 # DEPENDENCYPART_ARC
(10,4),-1.87249 # DEPENDENCYPART_ARC
(10,5),-1.68765 # DEPENDENCYPART_ARC
(10,7),-1.77902 # DEPENDENCYPART_ARC
(10,8),-1.82111 # DEPENDENCYPART_ARC
(10,9),-0.66921 # DEPENDENCYPART_ARC
(10,11),-0.129844 # DEPENDENCYPART_ARC
(10,12),-0.875545 # DEPENDENCYPART_ARC
(10,13),-0.290768 # DEPENDENCYPART_ARC
(10,14),-1.22232 # DEPENDENCYPART_ARC
(10,15),-1.59301 # DEPENDENCYPART_ARC
(10,17),-2.17259 # DEPENDENCYPART_ARC
(10,18),-1.63258 # DEPENDENCYPART_ARC
(10,19),-1.80267 # DEPENDENCYPART_ARC
(10,21),-1.98882 # DEPENDENCYPART_ARC
(10,25),-0.998589 # DEPENDENCYPART_ARC
(10,29),-1.92684 # DEPENDENCYPART_ARC
(11,14),-1.2359 # DEPENDENCYPART_ARC
(12,11),-0.228528 # DEPENDENCYPART_ARC
(12,14),-1.02252 # DEPENDENCYPART_ARC
(12,15),-1.4564 # DEPENDENCYPART_ARC
(13,1),-1.49809 # DEPENDENCYPART_ARC
(13,4),-2.44753 # DEPENDENCYPART_ARC
(13,5),-1.53612 # DEPENDENCYPART_ARC
(13,6),-2.19928 # DEPENDENCYPART_ARC
(13,7),-1.50696 # DEPENDENCYPART_ARC
(13,8),-1.3783 # DEPENDENCYPART_ARC
(13,9),-1.29127 # DEPENDENCYPART_ARC
(13,10),-1.07527 # DEPENDENCYPART_ARC
(13,11),0.613938 # DEPENDENCYPART_ARC
(13,12),1.50239 # DEPENDENCYPART_ARC
(13,14),0.553265 # DEPENDENCYPART_ARC
(13,15),-0.840861 # DEPENDENCYPART_ARC
(13,17),-1.35629 # DEPENDENCYPART_ARC
(13,18),-1.53002 # DEPENDENCYPART_ARC
(13,19),-1.6693 # DEPENDENCYPART_ARC
(13,20),-1.69911 # DEPENDENCYPART_ARC
(13,21),-1.5571 # DEPENDENCYPART_ARC
(13,23),-1.71515 # DEPENDENCYPART_ARC
(13,24),-1.58956 # DEPENDENCYPART_ARC
(13,25),-1.6443 # DEPENDENCYPART_ARC
(13,28),-1.90072 # DEPENDENCYPART_ARC
(13,29),-2.02009 # DEPENDENCYPART_ARC
(14,15),0.345343 # DEPENDENCYPART_ARC
(14,16),-1.13321 # DEPENDENCYPART_ARC
(14,17),-1.57414 # DEPENDENCYPART_ARC
(14,18),-1.4988 # DEPENDENCYPART_ARC
(14,21),-1.73679 # DEPENDENCYPART_ARC
(14,23),-1.83143 # DEPENDENCYPART_ARC
(14,25),-1.37054 # DEPENDENCYPART_ARC
(15,1),-2.00221 # DEPENDENCYPART_ARC
(15,5),-1.88576 # DEPENDENCYPART_ARC
(15,14),0.181508 # DEPENDENCYPART_ARC
(15,16),1.41615 # DEPENDENCYPART_ARC
(15,17),0.212212 # DEPENDENCYPART_ARC
(15,18),-0.43509 # DEPENDENCYPART_ARC
(15,19),-0.814929 # DEPENDENCYPART_ARC
(15,20),-1.30943 # DEPENDENCYPART_ARC
(15,21),-1.51871 # DEPENDENCYPART_ARC
(15,23),-1.58419 # DEPENDENCYPART_ARC
(15,24),-1.26964 # DEPENDENCYPART_ARC
(15,25),-1.67279 # DEPENDENCYPART_ARC
(15,28),-1.85515 # DEPENDENCYPART_ARC
(15,29),-1.62166 # DEPENDENCYPART_ARC
(16,17),-0.598732 # DEPENDENCYPART_ARC
(16,19),-1.37259 # DEPENDENCYPART_ARC
(17,7),-1.73461 # DEPENDENCYPART_ARC
(17,16),0.381044 # DEPENDENCYPART_ARC
(17,18),-0.454237 # DEPENDENCYPART_ARC
(17,19),-1.14172 # DEPENDENCYPART_ARC
(17,21),-1.79112 # DEPENDENCYPART_ARC
(19,20),0.217863 # DEPENDENCYPART_ARC
(19,21),-0.42649 # DEPENDENCYPART_ARC
(19,23),-1.1874 # DEPENDENCYPART_ARC
(19,25),-1.69007 # DEPENDENCYPART_ARC
(19,28),-1.98595 # DEPENDENCYPART_ARC
(20,17),-1.32772 # DEPENDENCYPART_ARC
(20,19),-0.11916 # DEPENDENCYPART_ARC
(20,21),-0.483589 # DEPENDENCYPART_ARC
(20,23),-1.49688 # DEPENDENCYPART_ARC
(21,17),-1.4095 # DEPENDENCYPART_ARC
(21,18),-1.64509 # DEPENDENCYPART_ARC
(21,20),1.08066 # DEPENDENCYPART_ARC
(21,22),-0.190263 # DEPENDENCYPART_ARC
(21,23),-0.401764 # DEPENDENCYPART_ARC
(21,24),-1.03805 # DEPENDENCYPART_ARC
(21,25),-1.10161 # DEPENDENCYPART_ARC
(21,28),-1.42841 # DEPENDENCYPART_ARC
(21,29),-1.47294 # DEPENDENCYPART_ARC
(22,25),-1.42291 # DEPENDENCYPART_ARC
(23,20),-1.19421 # DEPENDENCYPART_ARC
(23,21),-0.622197 # DEPENDENCYPART_ARC
(23,22),1.48913 # DEPENDENCYPART_ARC
(23,24),-0.320315 # DEPENDENCYPART_ARC
(23,25),-1.1618 # DEPENDENCYPART_ARC
(23,28),-1.75367 # DEPENDENCYPART_ARC
(25,23),-2.09353 # DEPENDENCYPART_ARC
(25,24),-0.807153 # DEPENDENCYPART_ARC
(25,26),0.119809 # DEPENDENCYPART_ARC
(25,27),-0.648936 # DEPENDENCYPART_ARC
(25,28),0.242736 # DEPENDENCYPART_ARC
(25,29),-1.14822 # DEPENDENCYPART_ARC
(27,26),-0.318811 # DEPENDENCYPART_ARC
(28,21),-1.33377 # DEPENDENCYPART_ARC
(28,22),-1.59333 # DEPENDENCYPART_ARC
(28,23),-1.37059 # DEPENDENCYPART_ARC
(28,24),-1.45743 # DEPENDENCYPART_ARC
(28,26),0.528533 # DEPENDENCYPART_ARC
(28,27),1.39419 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0341457 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.031589 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0724462 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0416669 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0350671 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0738908 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0568018 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0717367 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0139475 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0704102 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0434923 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.00846637 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0705883 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0172573 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0704037 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0353597 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0174891 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0220006 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0414569 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0197909 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0409146 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0708585 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0407095 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0789102 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0135644 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0819212 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0493515 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0666056 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.00555413 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0477093 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0444454 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0260932 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0444466 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.000778495 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0843898 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.081739 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00358423 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0684852 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0299093 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0369298 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0669125 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0265705 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00366472 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0590448 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0488504 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0984922 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.00721476 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0496373 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.0984922 # DEPENDENCYPART_SIBL
(1,2),(1,29),-0.0518516 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00450417 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.02631 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.000604995 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00015809 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0283886 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0229033 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.00789037 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.066589 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0389301 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0184292 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.000981416 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.0389301 # DEPENDENCYPART_SIBL
(1,3),(1,29),0.0610242 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0420973 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0252334 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0276506 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0393028 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0130919 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0228815 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0170074 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0255721 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0068873 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.042045 # DEPENDENCYPART_SIBL
(1,4),(1,24),-0.0255721 # DEPENDENCYPART_SIBL
(1,4),(1,29),0.0635451 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0111301 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.00800238 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.062074 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.000789347 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.037425 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0249763 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0070847 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.00784625 # DEPENDENCYPART_SIBL
(1,5),(1,23),0.00968391 # DEPENDENCYPART_SIBL
(1,5),(1,24),0.0070847 # DEPENDENCYPART_SIBL
(1,5),(1,29),0.0484326 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0150331 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.00420512 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.00753576 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.00735112 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.00448558 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.00814698 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.0284211 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.0152824 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.00814698 # DEPENDENCYPART_SIBL
(1,7),(1,29),0.0264097 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0271177 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.000530778 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0246727 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.000814627 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.00825097 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.000315729 # DEPENDENCYPART_SIBL
(1,8),(1,23),-0.0426709 # DEPENDENCYPART_SIBL
(1,8),(1,24),-0.00825097 # DEPENDENCYPART_SIBL
(1,8),(1,29),0.059172 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0424243 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.041401 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.0345741 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.020448 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.0175433 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.0439191 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.020448 # DEPENDENCYPART_SIBL
(1,9),(1,29),0.042869 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.053578 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.00546957 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.035302 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.0197597 # DEPENDENCYPART_SIBL
(1,10),(1,23),0.0268475 # DEPENDENCYPART_SIBL
(1,10),(1,24),0.035302 # DEPENDENCYPART_SIBL
(1,10),(1,29),0.126255 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.0109859 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.00712248 # DEPENDENCYPART_SIBL
(1,13),(1,19),-0.00893961 # DEPENDENCYPART_SIBL
(1,13),(1,23),-0.0421121 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.00712248 # DEPENDENCYPART_SIBL
(1,13),(1,29),0.0581645 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.0296681 # DEPENDENCYPART_SIBL
(1,14),(1,19),-0.0764469 # DEPENDENCYPART_SIBL
(1,14),(1,23),0.00500611 # DEPENDENCYPART_SIBL
(1,14),(1,24),-0.0296681 # DEPENDENCYPART_SIBL
(1,14),(1,29),0.0263847 # DEPENDENCYPART_SIBL
(1,18),(1,19),0.0635585 # DEPENDENCYPART_SIBL
(1,18),(1,23),0.00329949 # DEPENDENCYPART_SIBL
(1,18),(1,24),0.045153 # DEPENDENCYPART_SIBL
(1,18),(1,29),0.010672 # DEPENDENCYPART_SIBL
(1,19),(1,23),0.00434909 # DEPENDENCYPART_SIBL
(1,19),(1,24),0.0137466 # DEPENDENCYPART_SIBL
(1,19),(1,29),-0.0650944 # DEPENDENCYPART_SIBL
(1,23),(1,24),0.0342011 # DEPENDENCYPART_SIBL
(1,23),(1,29),0.074948 # DEPENDENCYPART_SIBL
(1,24),(1,29),0.010672 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0350863 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0134107 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.012364 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0155209 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0286216 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0384101 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.11285 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0248037 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.011881 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0441757 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0092629 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0547973 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0977986 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00734528 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0238321 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0146775 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0580145 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00722574 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00918318 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0191599 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00753662 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0351167 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0150036 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0193137 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.00985928 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0160766 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.0193137 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.0146775 # DEPENDENCYPART_SIBL
(4,1),(4,28),-0.0164717 # DEPENDENCYPART_SIBL
(4,1),(4,29),0.0438303 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.095117 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00635259 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0406595 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.000753044 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0180777 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0256821 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0618895 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.034223 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0283294 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.00504194 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0193292 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.010059 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.00504194 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.00635259 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.0208891 # DEPENDENCYPART_SIBL
(4,2),(4,29),0.122609 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0761954 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.000497671 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0534895 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0720683 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0118887 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0740273 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0330046 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.184204 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.100189 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0733893 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0672465 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.100189 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0761954 # DEPENDENCYPART_SIBL
(4,3),(4,28),0.0582378 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.0203442 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0298488 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0286645 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0396129 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0975108 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0190272 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0598552 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.00159439 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0585144 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0430336 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.0759022 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.0585144 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.0364146 # DEPENDENCYPART_SIBL
(4,5),(4,28),0.0610664 # DEPENDENCYPART_SIBL
(4,5),(4,29),0.0379642 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0289571 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0262687 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0297598 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0459616 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0315759 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0249634 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0174842 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0681629 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.00485558 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.0174842 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0655671 # DEPENDENCYPART_SIBL
(4,6),(4,28),-0.0239221 # DEPENDENCYPART_SIBL
(4,6),(4,29),-0.109462 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00290152 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00924515 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00289675 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.00830254 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0217599 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0582356 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0445385 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.0190605 # DEPENDENCYPART_SIBL
(4,7),(4,24),0.0582356 # DEPENDENCYPART_SIBL
