# _root_ Ilford , for example , recently introduced a black-and-white film that can be processed quickly by color labs .
#goldHeads=7,7,7,3,7,7,0,10,10,7,12,10,12,13,14,14,18,16,7,
#predictedHeads=7,7,7,3,7,7,0,10,10,7,12,10,12,13,14,14,18,16,7,
(13,11),-1.10601 # DEPENDENCYPART_ARC
(13,14),0.794942 # DEPENDENCYPART_ARC
(13,15),-0.579356 # DEPENDENCYPART_ARC
(13,16),-0.777156 # DEPENDENCYPART_ARC
(13,18),-1.1357 # DEPENDENCYPART_ARC
(13,19),-1.04878 # DEPENDENCYPART_ARC
(14,1),-1.96717 # DEPENDENCYPART_ARC
(14,2),-1.92625 # DEPENDENCYPART_ARC
(14,3),-1.73108 # DEPENDENCYPART_ARC
(14,5),-1.97846 # DEPENDENCYPART_ARC
(14,6),-1.84309 # DEPENDENCYPART_ARC
(14,7),-1.68863 # DEPENDENCYPART_ARC
(14,10),-1.32071 # DEPENDENCYPART_ARC
(14,11),-1.04396 # DEPENDENCYPART_ARC
(14,12),-1.22612 # DEPENDENCYPART_ARC
(14,15),0.523247 # DEPENDENCYPART_ARC
(14,16),-0.0909355 # DEPENDENCYPART_ARC
(14,17),-0.5231 # DEPENDENCYPART_ARC
(14,18),-0.927801 # DEPENDENCYPART_ARC
(14,19),-1.10857 # DEPENDENCYPART_ARC
(15,11),-1.93131 # DEPENDENCYPART_ARC
(15,14),-0.396113 # DEPENDENCYPART_ARC
(15,16),0.0327773 # DEPENDENCYPART_ARC
(15,17),-0.83481 # DEPENDENCYPART_ARC
(15,18),-1.20971 # DEPENDENCYPART_ARC
(16,11),-1.72245 # DEPENDENCYPART_ARC
(16,15),-0.153523 # DEPENDENCYPART_ARC
(16,17),0.592922 # DEPENDENCYPART_ARC
(16,18),-0.115046 # DEPENDENCYPART_ARC
(16,19),-1.4364 # DEPENDENCYPART_ARC
(17,15),-1.89864 # DEPENDENCYPART_ARC
(17,18),-0.269428 # DEPENDENCYPART_ARC
(18,2),-2.14971 # DEPENDENCYPART_ARC
(18,9),-1.61857 # DEPENDENCYPART_ARC
(18,10),-1.40465 # DEPENDENCYPART_ARC
(18,11),-1.88112 # DEPENDENCYPART_ARC
(18,14),-0.983467 # DEPENDENCYPART_ARC
(18,15),-1.04253 # DEPENDENCYPART_ARC
(18,16),-0.703146 # DEPENDENCYPART_ARC
(18,17),1.90509 # DEPENDENCYPART_ARC
(18,19),-0.397932 # DEPENDENCYPART_ARC
(19,18),-0.851508 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0697831 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.131076 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0635944 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.14071 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.100082 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.127872 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00913727 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0377807 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0316677 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0555848 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0436742 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0515362 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0659702 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.073868 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.0267147 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0936695 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0667857 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0375308 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0418927 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.102216 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0071281 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0444377 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.11475 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0236194 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00145841 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0120815 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.108705 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0213294 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.00126064 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0909202 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0555848 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0436742 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0515362 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0659702 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.073868 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.0267147 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.010968 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0384536 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0129576 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0085051 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.04132 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0470903 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0288361 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.00859059 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.00846753 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0198148 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.000336489 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.0819102 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.0308527 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.080711 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.0177411 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0718155 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00434301 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0634024 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0636681 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.061179 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00205185 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0726358 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0478856 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0906655 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0552629 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0663857 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0304397 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.918327 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00870673 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0648215 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00837113 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0125759 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0210433 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.122772 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.183627 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.050888 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.012223 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0538523 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.187834 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.145073 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0736605 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0969996 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0163782 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.109858 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0342888 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0472671 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00332163 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0487128 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0152784 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.100353 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0183981 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0387432 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0290928 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.020786 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00104872 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0464051 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0764013 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0269399 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0509616 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0348408 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.110635 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.138159 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0668076 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0926571 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.00463642 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0268981 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0394521 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0759882 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0333244 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.134874 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0548159 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0383012 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0366479 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0383268 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0495776 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0357315 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.000701836 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.106556 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.00722755 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0969974 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00700973 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0515808 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0304249 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0382765 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0749324 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0665864 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0725409 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0959176 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.031361 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0502339 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0444513 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0498999 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0150218 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0065425 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0133166 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0556357 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.00644889 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00732077 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0371031 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0476752 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0309089 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0045528 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0506746 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0550001 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0596258 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0391518 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0598449 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00480924 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0670547 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0059934 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.00480924 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0183264 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0396588 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00412852 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0269901 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0389725 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0656957 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00546619 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0620182 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00702081 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0268986 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0144089 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.00774735 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0252114 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.029585 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00976046 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0137592 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0632967 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0658004 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.000281229 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0300705 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0227595 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00280488 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0125745 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0074693 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.01349 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0120933 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00702081 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0268986 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0144089 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.00774735 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0252114 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00127528 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.00619098 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.00409585 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0223659 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0500733 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0384706 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.00394191 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0207052 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0345878 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.0889271 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0148444 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.00677308 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0483457 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0148444 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.00788555 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0143845 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0356722 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0173452 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0300155 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0671114 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0595919 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.00703675 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.00674513 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0756825 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.00462649 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0181826 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0203746 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.00697279 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.00389329 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0585306 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0204766 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0646093 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0061212 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.103943 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.112006 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0622609 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0741754 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0618786 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.032304 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.010583 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.0329477 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0190635 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0111743 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.00386639 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0528976 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0121626 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0272177 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0179974 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0477393 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0762292 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0615467 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0760233 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0311768 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.000641474 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0298198 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0117676 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0127669 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0483218 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.035568 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0326322 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0478469 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0391945 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0329096 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0384916 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0227605 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.040033 # DEPENDENCYPART_SIBL
(7,4),(7,18),0.0184259 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.0164808 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0585306 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0204766 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0646093 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0061212 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.103943 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.112006 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0622609 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0741754 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0618786 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.032304 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.010583 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.0329477 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00475052 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0113256 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.063494 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0441227 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0227882 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0221607 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.00929341 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0316843 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0508868 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0389316 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.0506896 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0415568 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0577629 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.075701 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0454738 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0510362 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0127632 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0250211 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0419732 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0528703 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0718419 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0169606 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0729061 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.00723169 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0361755 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0111454 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.013376 # DEPENDENCYPART_SIBL
