# _root_ `` The pendulum is swinging back to black and white , '' says Richard DeMoulin , the general manager of Eastman Kodak Co. 's professional photography division .
#goldHeads=4,3,4,13,4,5,5,7,8,9,4,4,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
#predictedHeads=13,3,4,13,4,5,6,7,8,9,13,13,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
(13,20),-1.68159 # DEPENDENCYPART_ARC
(13,21),-1.90041 # DEPENDENCYPART_ARC
(13,22),-1.89035 # DEPENDENCYPART_ARC
(13,23),-1.96915 # DEPENDENCYPART_ARC
(13,24),-1.64073 # DEPENDENCYPART_ARC
(13,27),-2.0645 # DEPENDENCYPART_ARC
(13,28),0.753711 # DEPENDENCYPART_ARC
(14,15),-0.643564 # DEPENDENCYPART_ARC
(14,16),-1.50203 # DEPENDENCYPART_ARC
(14,19),-1.86515 # DEPENDENCYPART_ARC
(14,20),-2.16221 # DEPENDENCYPART_ARC
(14,27),-3.13201 # DEPENDENCYPART_ARC
(15,1),-2.08736 # DEPENDENCYPART_ARC
(15,4),-2.02307 # DEPENDENCYPART_ARC
(15,5),-1.89128 # DEPENDENCYPART_ARC
(15,6),-2.13261 # DEPENDENCYPART_ARC
(15,7),-2.17441 # DEPENDENCYPART_ARC
(15,8),-1.50318 # DEPENDENCYPART_ARC
(15,10),-1.28001 # DEPENDENCYPART_ARC
(15,11),-1.90315 # DEPENDENCYPART_ARC
(15,12),-1.42019 # DEPENDENCYPART_ARC
(15,14),1.41181 # DEPENDENCYPART_ARC
(15,16),0.512333 # DEPENDENCYPART_ARC
(15,17),-1.20508 # DEPENDENCYPART_ARC
(15,18),-1.30374 # DEPENDENCYPART_ARC
(15,19),-0.988345 # DEPENDENCYPART_ARC
(15,20),-1.66603 # DEPENDENCYPART_ARC
(15,21),-2.51752 # DEPENDENCYPART_ARC
(15,22),-2.5934 # DEPENDENCYPART_ARC
(15,23),-2.57325 # DEPENDENCYPART_ARC
(15,24),-2.60142 # DEPENDENCYPART_ARC
(15,25),-2.08911 # DEPENDENCYPART_ARC
(15,26),-2.31591 # DEPENDENCYPART_ARC
(15,27),-2.48128 # DEPENDENCYPART_ARC
(18,17),-0.438226 # DEPENDENCYPART_ARC
(18,20),-1.23887 # DEPENDENCYPART_ARC
(19,1),-1.7496 # DEPENDENCYPART_ARC
(19,4),-1.84887 # DEPENDENCYPART_ARC
(19,5),-1.80749 # DEPENDENCYPART_ARC
(19,14),-1.32541 # DEPENDENCYPART_ARC
(19,15),-1.42872 # DEPENDENCYPART_ARC
(19,16),-1.43929 # DEPENDENCYPART_ARC
(19,17),0.50816 # DEPENDENCYPART_ARC
(19,18),1.55386 # DEPENDENCYPART_ARC
(19,20),0.599833 # DEPENDENCYPART_ARC
(19,21),-1.05396 # DEPENDENCYPART_ARC
(19,22),-1.06841 # DEPENDENCYPART_ARC
(19,23),-1.31478 # DEPENDENCYPART_ARC
(19,24),-1.85275 # DEPENDENCYPART_ARC
(19,25),-1.54239 # DEPENDENCYPART_ARC
(19,26),-1.65546 # DEPENDENCYPART_ARC
(19,27),-1.88012 # DEPENDENCYPART_ARC
(20,21),-0.0850178 # DEPENDENCYPART_ARC
(20,22),-0.720584 # DEPENDENCYPART_ARC
(20,23),-1.46588 # DEPENDENCYPART_ARC
(20,26),-1.30349 # DEPENDENCYPART_ARC
(20,27),-1.28708 # DEPENDENCYPART_ARC
(21,22),-0.857357 # DEPENDENCYPART_ARC
(21,23),-1.82159 # DEPENDENCYPART_ARC
(21,24),-2.2834 # DEPENDENCYPART_ARC
(22,17),-2.32789 # DEPENDENCYPART_ARC
(22,18),-1.9371 # DEPENDENCYPART_ARC
(22,21),0.426532 # DEPENDENCYPART_ARC
(22,23),-0.279598 # DEPENDENCYPART_ARC
(22,24),-0.942537 # DEPENDENCYPART_ARC
(22,25),-1.38074 # DEPENDENCYPART_ARC
(22,26),-1.39548 # DEPENDENCYPART_ARC
(22,27),-1.61219 # DEPENDENCYPART_ARC
(23,17),-1.98448 # DEPENDENCYPART_ARC
(23,18),-1.47803 # DEPENDENCYPART_ARC
(23,19),-1.28766 # DEPENDENCYPART_ARC
(23,21),0.460581 # DEPENDENCYPART_ARC
(23,22),1.76449 # DEPENDENCYPART_ARC
(23,24),1.36831 # DEPENDENCYPART_ARC
(23,25),-0.941312 # DEPENDENCYPART_ARC
(23,26),-1.1116 # DEPENDENCYPART_ARC
(24,21),-1.13409 # DEPENDENCYPART_ARC
(24,22),-0.948183 # DEPENDENCYPART_ARC
(24,25),-0.422344 # DEPENDENCYPART_ARC
(25,21),-1.5404 # DEPENDENCYPART_ARC
(25,22),-1.3309 # DEPENDENCYPART_ARC
(25,23),-1.0726 # DEPENDENCYPART_ARC
(25,24),-0.373601 # DEPENDENCYPART_ARC
(25,26),-0.281759 # DEPENDENCYPART_ARC
(26,21),-1.83645 # DEPENDENCYPART_ARC
(26,22),-1.67405 # DEPENDENCYPART_ARC
(26,23),-1.23985 # DEPENDENCYPART_ARC
(26,25),-0.148814 # DEPENDENCYPART_ARC
(27,1),-1.37028 # DEPENDENCYPART_ARC
(27,4),-1.60529 # DEPENDENCYPART_ARC
(27,5),-1.61175 # DEPENDENCYPART_ARC
(27,17),-1.81799 # DEPENDENCYPART_ARC
(27,18),-1.3324 # DEPENDENCYPART_ARC
(27,21),-0.999378 # DEPENDENCYPART_ARC
(27,22),-0.536699 # DEPENDENCYPART_ARC
(27,23),-0.106214 # DEPENDENCYPART_ARC
(27,24),-0.727814 # DEPENDENCYPART_ARC
(27,25),0.344863 # DEPENDENCYPART_ARC
(27,26),1.82899 # DEPENDENCYPART_ARC
(0,4),(0,13),-0.231539 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00891418 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0498715 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0144065 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0286226 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0101856 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0349387 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0748811 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0309975 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0475579 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0332794 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0707672 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.870774 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.127049 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0417267 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0261526 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.123243 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00103449 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0778003 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.05976 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00928493 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00974087 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0252847 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0295703 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00104603 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0430632 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00425424 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00377134 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.000791788 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.00656172 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0131782 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00154783 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0565055 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0270457 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0507606 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0671584 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0409422 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0136836 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00717585 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.00118034 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0169348 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0044859 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00285835 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.045938 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0376486 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00399573 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0173629 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.067017 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00998355 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.021925 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.370359 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.036355 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0176863 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.021925 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0289383 # DEPENDENCYPART_SIBL
(4,1),(4,28),0.125037 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.096863 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.150187 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0765523 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.230964 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0695497 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.172322 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0792481 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.11921 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0483165 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0144668 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.202236 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.11921 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0806981 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.219102 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0286883 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00882955 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0518082 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0459352 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0375006 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0525177 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0226232 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.037829 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0322046 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.000201522 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0226232 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0583269 # DEPENDENCYPART_SIBL
(4,3),(4,28),-0.000291873 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.107496 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0230281 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0809155 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0400741 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0817892 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0453126 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0319992 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0523949 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0958641 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0453126 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0818337 # DEPENDENCYPART_SIBL
(4,5),(4,28),-0.00842047 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0755493 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0781407 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00862125 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0730348 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00260703 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.00621062 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0049981 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0329052 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00260703 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0780606 # DEPENDENCYPART_SIBL
(4,6),(4,28),0.000964577 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0375398 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0337503 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0384253 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00689077 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0167959 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0617479 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0582419 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.00689077 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0384558 # DEPENDENCYPART_SIBL
(4,7),(4,28),-0.00310743 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.000934673 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0517569 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0185794 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0403717 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0388329 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0677824 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0185794 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0541874 # DEPENDENCYPART_SIBL
(4,8),(4,28),-0.0100686 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00530501 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.014956 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0170077 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0350626 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0267371 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.014956 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.00699221 # DEPENDENCYPART_SIBL
(4,9),(4,28),0.0140565 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.00155277 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0278557 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0315919 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0604439 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00155277 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0439419 # DEPENDENCYPART_SIBL
(4,10),(4,28),0.0120557 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.000374404 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.00771202 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0038472 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0234152 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0939165 # DEPENDENCYPART_SIBL
(4,11),(4,28),0.000254243 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0494416 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0462486 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.078441 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0156075 # DEPENDENCYPART_SIBL
(4,12),(4,28),-0.038486 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0582167 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.00846957 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.033795 # DEPENDENCYPART_SIBL
(4,13),(4,28),0.019499 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.00656599 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0345835 # DEPENDENCYPART_SIBL
(4,15),(4,28),-0.00207656 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0939165 # DEPENDENCYPART_SIBL
(4,16),(4,28),0.000254243 # DEPENDENCYPART_SIBL
(4,19),(4,28),0.0102568 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.011482 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00730557 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0307569 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0578619 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0624729 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0472009 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0687142 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0405635 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.00704539 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.623473 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0288316 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0748451 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.00704539 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0483802 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0372422 # DEPENDENCYPART_SIBL
(5,1),(5,27),0.0384976 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0386685 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0219458 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0345134 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0953048 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0139795 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.118662 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.023158 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0517318 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.073325 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.123191 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0633435 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0517318 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0274824 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.377285 # DEPENDENCYPART_SIBL
(5,2),(5,27),-0.0256403 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0270787 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0140652 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0429659 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.00905668 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.199609 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00687468 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0283101 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.070561 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.00867443 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0155688 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0283101 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.00345739 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0311708 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.010032 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0480909 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.124107 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00170942 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0223046 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00523273 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00471782 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0405993 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0638385 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0562827 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.00471782 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.00262119 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0598008 # DEPENDENCYPART_SIBL
(5,4),(5,27),-0.00648762 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0453186 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0256533 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0443036 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.018897 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0203077 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0170165 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.02524 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.00136885 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0203077 # DEPENDENCYPART_SIBL
